05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_163.03 b,doll_163.03 b,doll_12.89 b,doll_97.2 b,doll_97.2 b,doll_69.41 b,doll_97.2 b
doll_97.49 b,doll_97.49 b,doll_9.34 b,doll_35.3 b,doll_35.32 b,doll_186.05 b,doll_35.32 b
doll_56.17 b,doll_56.17 b,doll_7.45 b,doll_35.2 b,doll_35.22 b,"doll_1,117.18 b",doll_35.22 b
doll_44.99 b,doll_44.99 b,doll_7.24 b,doll_130.2 b,doll_130.16 b,doll_193.22 b,doll_130.16 b
doll_50.87 b,doll_50.87 b,doll_5.9 b,doll_146.9 b,doll_146.94 b,doll_178.13 b,doll_146.94 b
doll_36.91 b,doll_36.91 b,doll_5.87 b,doll_205.8 b,doll_205.79 b,doll_374.72 b,doll_205.79 b
doll_58.39 b,doll_58.39 b,doll_4.32 b,doll_54.4 b,doll_54.42 b,doll_696.51 b,doll_54.42 b
doll_130.34 b,doll_130.34 b,doll_8.39 b,doll_21.9 b,doll_21.85 b,doll_835.97 b,doll_21.85 b
doll_36.6 b,doll_36.6 b,doll_8.47 b,doll_54.8 b,doll_54.77 b,"doll_1,247.94 b",doll_54.77 b
doll_149.76 b,doll_149.76 b,doll_3.86 b,doll_64.4 b,doll_64.36 b,doll_161.4 b,doll_64.36 b
doll_65.84 b,doll_65.84 b,doll_3.77 b,doll_99.4 b,doll_99.41 b,doll_235.33 b,doll_99.41 b
doll_52.28 b,doll_52.28 b,doll_7.24 b,doll_90.5 b,doll_90.5 b,doll_156.99 b,doll_90.5 b
doll_54.88 b,doll_54.88 b,doll_12.29 b,doll_32.1 b,doll_32.12 b,doll_432.38 b,doll_32.12 b
doll_160.98 b,doll_160.98 b,doll_6.99 b,doll_46.4 b,doll_46.38 b,doll_109.31 b,doll_46.38 b
doll_282.86 b,doll_282.86 b,doll_9.77 b,doll_38.7 b,doll_38.73 b,doll_94.35 b,doll_38.73 b
doll_203.34 b,doll_203.34 b,doll_7.56 b,doll_41.8 b,doll_41.83 b,doll_108.64 b,doll_41.83 b
doll_33.98 b,doll_33.98 b,doll_16.97 b,doll_57.4 b,doll_57.37 b,doll_548.83 b,doll_57.37 b
doll_72.74 b,doll_72.74 b,doll_6.92 b,doll_26.5 b,doll_26.53 b,doll_804.51 b,doll_26.53 b
doll_82.03 b,doll_82.03 b,doll_22.47 b,doll_54.4 b,doll_54.4 b,doll_89.61 b,doll_54.4 b
doll_35.09 b,doll_35.09 b,doll_6.04 b,doll_99.8 b,doll_99.83 b,doll_410.49 b,doll_99.83 b
doll_219.71 b,doll_219.71 b,doll_7.72 b,doll_39.2 b,doll_39.21 b,doll_95.12 b,doll_39.21 b
doll_31.42 b,doll_31.42 b,doll_6.49 b,doll_73.6 b,doll_73.61 b,"doll_2,358.5 b",doll_73.61 b
doll_88.6 b,doll_88.6 b,doll_4.98 b,doll_61.6 b,doll_61.64 b,doll_129.16 b,doll_61.64 b
doll_253.39 b,doll_253.39 b,doll_5.51 b,doll_210.2 b,doll_210.22 b,doll_63.08 b,doll_210.22 b
doll_49.04 b,doll_49.04 b,doll_4.99 b,doll_214.6 b,doll_214.6 b,doll_141.28 b,doll_214.6 b
doll_116.16 b,doll_116.16 b,doll_7.15 b,doll_62 b,doll_62 b,doll_85.4 b,doll_62 b
doll_97.92 b,doll_97.92 b,doll_4.65 b,doll_51.7 b,doll_51.68 b,doll_143.39 b,doll_51.68 b
doll_42.33 b,doll_42.33 b,doll_6.4 b,doll_35.5 b,doll_35.5 b,"doll_2,176.62 b",doll_35.5 b
doll_124.43 b,doll_124.43 b,doll_8.08 b,doll_46.1 b,doll_46.06 b,doll_90.66 b,doll_46.06 b
doll_112.09 b,doll_112.09 b,doll_6.03 b,doll_46.9 b,doll_46.92 b,doll_107.14 b,doll_46.92 b
doll_41.42 b,doll_41.42 b,doll_4.95 b,doll_47.8 b,doll_47.84 b,"doll_1,215.67 b",doll_47.84 b
doll_39.76 b,doll_39.76 b,doll_5.67 b,doll_47.2 b,doll_47.17 b,doll_691.18 b,doll_47.17 b
doll_75.48 b,doll_75.48 b,doll_7.21 b,doll_23.1 b,doll_23.12 b,doll_586.52 b,doll_23.12 b
doll_51.78 b,doll_51.78 b,doll_6.53 b,doll_92.9 b,doll_92.9 b,doll_102.41 b,doll_92.9 b
doll_62.6 b,doll_62.6 b,doll_10.91 b,doll_37.8 b,doll_37.77 b,doll_123.42 b,doll_37.77 b
doll_210.98 b,doll_210.98 b,doll_7.7 b,doll_44.5 b,doll_44.51 b,doll_75.2 b,doll_44.51 b
doll_70.26 b,doll_70.26 b,doll_4.63 b,doll_46.2 b,doll_46.23 b,doll_161.2 b,doll_46.23 b
doll_62.81 b,doll_62.81 b,doll_8 b,doll_52 b,doll_52.02 b,doll_95.81 b,doll_52.02 b
doll_52.89 b,doll_52.89 b,doll_4.96 b,doll_36 b,doll_35.96 b,doll_372.3 b,doll_35.96 b
doll_115.91 b,doll_115.91 b,doll_6.49 b,doll_51 b,doll_50.98 b,doll_82.79 b,doll_50.98 b
doll_40.83 b,doll_40.83 b,doll_7.01 b,doll_108.3 b,doll_108.31 b,doll_119.73 b,doll_108.31 b
doll_45.95 b,doll_45.95 b,doll_6.52 b,doll_108 b,doll_107.99 b,doll_102.18 b,doll_107.99 b
doll_127.6 b,doll_127.6 b,doll_5.77 b,doll_19 b,doll_18.98 b,doll_681 b,doll_18.98 b
doll_67.64 b,doll_67.64 b,doll_6.44 b,doll_23.2 b,doll_23.19 b,doll_544.34 b,doll_23.19 b
doll_90.92 b,doll_90.92 b,doll_4.94 b,doll_37.6 b,doll_37.55 b,doll_133.69 b,doll_37.55 b
doll_45.78 b,doll_45.78 b,doll_5.87 b,doll_91.9 b,doll_91.9 b,doll_116.57 b,doll_91.9 b
doll_74.12 b,doll_74.12 b,doll_5.98 b,doll_49.2 b,doll_49.17 b,doll_94.14 b,doll_49.17 b
doll_37.61 b,doll_37.61 b,doll_4.32 b,doll_102.7 b,doll_102.7 b,doll_196.8 b,doll_102.7 b
doll_25.26 b,doll_25.26 b,doll_8.63 b,doll_57 b,doll_56.99 b,"doll_1,261.96 b",doll_56.99 b
doll_436.49 b,doll_436.49 b,doll_12.84 b,doll_25.5 b,doll_25.48 b,doll_81.93 b,doll_25.48 b
doll_111.76 b,doll_111.76 b,doll_6.95 b,doll_106 b,doll_106 b,doll_53.81 b,doll_106 b
doll_35.28 b,doll_35.28 b,doll_5.04 b,doll_42 b,doll_41.98 b,doll_753.83 b,doll_41.98 b
"doll_1,038.73 b","doll_1,038.73 b",doll_5.52 b,doll_53.8 b,doll_53.82 b,doll_62.13 b,doll_53.82 b
doll_123.81 b,doll_123.81 b,doll_5.64 b,doll_44.5 b,doll_44.45 b,doll_79.61 b,doll_44.45 b
