,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
105,0,0,doll_0.064388 b,doll_0.003864 b,0,0,doll_0.16140000000000002 b,doll_0.073068 b,doll_0.088336 b
106,0,0,doll_0.12307 b,0,0,0,0,0,0
107,0,0,doll_0.019374 b,doll_0.005901 b,0,0,doll_0.17698 b,doll_0.035283 b,doll_0.1417 b
108,0,0,doll_0.076991 b,doll_0.03327 b,0,0,doll_0.003833 b,doll_0.32024 b,doll_0.003513 b
109,0,0,doll_0.080118 b,doll_0.003024 b,0,0,doll_0.20656 b,doll_0.06910200000000001 b,doll_0.13746 b
110,0,0,doll_0.02906 b,doll_0.004199 b,0,0,doll_0.031391999999999996 b,doll_-0.005314 b,doll_0.036707000000000004 b
111,0,0,doll_0.043171 b,doll_0.0068579999999999995 b,0,0,doll_0.13251 b,doll_0.075686 b,doll_0.05682 b
112,0,0,doll_0.062286 b,doll_-0.004202 b,0,0,doll_0.13855 b,doll_-0.014999 b,doll_0.15355000000000002 b
113,0,0,doll_0.017737 b,doll_0.00239 b,0,0,doll_0.02091 b,doll_0.0055899999999999995 b,doll_0.01532 b
114,0,0,0,0,0,0,0,0,0
115,0,0,doll_0.025979 b,doll_0.005893 b,0,0,doll_0.061165 b,doll_0.0067 b,doll_0.054465000000000006 b
116,0,0,doll_0.13326 b,doll_0.018247 b,0,0,doll_0.28926999999999997 b,doll_0.18952000000000002 b,doll_0.099755 b
117,0,0,doll_0.071887 b,doll_0.020758 b,0,0,doll_0.002291 b,doll_0.20197 b,doll_0.002089 b
118,0,0,doll_0.009635 b,doll_0.003402 b,0,0,doll_0.019736 b,doll_0.014755 b,doll_0.004981 b
119,0,0,doll_0.064989 b,doll_0.021635 b,0,0,doll_0.001463 b,doll_0.11 b,doll_0.001353 b
120,0,0,doll_0.012743 b,doll_0.004825 b,0,0,doll_0.23556 b,doll_0.027464 b,doll_0.20809 b
121,0,0,doll_0.00571 b,doll_0.001704 b,0,0,doll_0.013555 b,doll_0.011901 b,doll_0.001653 b
122,0,0,doll_0.043932 b,doll_0.005963 b,0,0,doll_0.08411400000000001 b,doll_0.018431 b,doll_0.065683 b
123,0,0,doll_0.063495 b,doll_0.021094 b,0,0,doll_0.1029 b,doll_0.051432000000000005 b,doll_0.051463999999999996 b
124,0,0,doll_0.05735 b,doll_0.005743000000000001 b,0,0,doll_0.132 b,doll_0.018901 b,doll_0.11309999999999999 b
125,0,0,doll_0.050970999999999995 b,doll_0.006489 b,0,0,doll_0.082793 b,doll_0.016484000000000002 b,doll_0.06630899999999999 b
126,0,0,doll_0.009356 b,doll_0.0025670000000000003 b,0,0,doll_0.069887 b,doll_0.0050810000000000004 b,doll_0.064806 b
127,0,0,doll_0.0182 b,doll_0.003827 b,0,0,doll_0.04301 b,doll_0.011205999999999999 b,doll_0.031804 b
128,0,0,doll_0.047525 b,doll_0.007427 b,0,0,doll_0.33987 b,doll_0.060467 b,doll_0.27941000000000005 b
129,0,0,doll_0.016562 b,doll_0.007456000000000001 b,0,0,doll_0.84129 b,doll_0.050424 b,doll_0.79087 b
130,0,0,doll_0.008297 b,doll_0.003024 b,0,0,doll_0.015026 b,doll_0.002032 b,doll_0.012994 b
131,0,0,doll_0.1683 b,doll_0.034220999999999994 b,0,0,doll_0.44447000000000003 b,doll_0.27717 b,doll_0.1673 b
132,0,0,doll_0.051682 b,doll_0.004654 b,0,0,doll_0.14249 b,doll_0.01405 b,doll_0.12844 b
133,0,0,doll_0.054304000000000005 b,doll_0.0046689999999999995 b,0,0,doll_0.21763 b,doll_0.068669 b,doll_0.14896 b
134,0,0,doll_0.13316999999999998 b,doll_0.008 b,0,0,doll_0.76839 b,doll_0.075186 b,doll_0.6932 b
135,0,0,doll_0.044655 b,doll_0.00574 b,0,0,doll_0.10355 b,doll_0.019707000000000002 b,doll_0.083839 b
136,0,0,doll_0.106 b,doll_0.006946 b,0,0,doll_0.053811 b,doll_0.012827 b,doll_0.040984 b
137,0,0,doll_0.074196 b,doll_-0.00652 b,0,0,doll_0.19887 b,doll_0.040310000000000006 b,doll_0.15856 b
138,0,0,doll_0.005896 b,doll_0.23 b,0,0,doll_0.010798 b,doll_0.003695 b,doll_0.007103 b
139,0,0,doll_0.004759 b,doll_0.002939 b,0,0,doll_0.058485999999999996 b,doll_0.033426000000000004 b,doll_0.025059 b
140,0,0,doll_0.11 b,0,0,0,0,0,0
141,0,0,doll_0.057468000000000005 b,doll_0.0046429999999999996 b,0,0,doll_0.11797 b,doll_0.010432 b,doll_0.10753 b
142,0,0,doll_0.005991 b,doll_-0.352 b,0,0,doll_0.013708 b,doll_0.004775000000000001 b,doll_0.008932 b
143,0,0,0,doll_0.006104 b,0,0,doll_0.09745999999999999 b,doll_0.03606 b,doll_0.061399999999999996 b
144,0,0,doll_0.027704999999999997 b,doll_0.005861 b,0,0,doll_0.058849 b,doll_0.043933 b,doll_0.014916 b
145,0,0,doll_0.1495 b,doll_-0.559 b,0,0,doll_0.078001 b,doll_0.03282 b,doll_0.045181 b
146,0,0,doll_0.045828 b,doll_0.008079000000000001 b,0,0,doll_0.090661 b,doll_0.045406 b,doll_0.045255000000000004 b
147,0,0,doll_0.006936 b,0,0,0,0,0,0
148,0,0,doll_0.049100000000000005 b,0,0,0,0,0,0
149,0,0,doll_0.031853 b,doll_0.0035310000000000003 b,0,0,doll_0.060111 b,doll_0.026933 b,doll_0.033178 b
150,0,0,doll_0.016045999999999998 b,doll_0.002948 b,0,0,doll_0.063068 b,doll_0.003225 b,doll_0.059842 b
151,0,0,doll_0.019445 b,doll_0.003499 b,0,0,doll_0.034235999999999996 b,doll_0.014707000000000001 b,doll_0.019527000000000003 b
152,0,0,doll_0.034022 b,doll_0.004677 b,0,0,doll_0.067105 b,doll_0.048886000000000006 b,doll_0.018218 b
153,0,0,doll_0.08870600000000001 b,doll_0.008618 b,0,0,doll_0.17412 b,doll_0.065805 b,doll_0.10832 b
154,0,0,doll_0.021695 b,doll_0.003367 b,0,0,doll_0.049989 b,doll_0.023514 b,doll_0.026474 b
155,0,0,doll_0.016311 b,doll_0.002968 b,0,0,doll_0.015555 b,doll_0.009994 b,doll_0.009941 b
156,0,0,doll_0.11404 b,doll_0.007284 b,0,0,doll_0.0012549999999999998 b,doll_0.088107 b,doll_0.001167 b
157,0,0,doll_0.035355 b,doll_0.005921 b,0,0,doll_0.047072 b,doll_0.015045999999999999 b,doll_0.032026000000000006 b
158,0,0,doll_0.009955 b,doll_-0.0020459999999999996 b,0,0,doll_0.018756000000000002 b,doll_0.007398 b,doll_0.011356999999999999 b
159,0,0,doll_0.017 b,0,0,0,0,0,0
160,0,0,doll_0.010958 b,doll_0.001165 b,0,0,doll_0.023641 b,doll_0.006178 b,doll_0.017463 b
161,0,0,doll_0.091686 b,0,0,0,0,0,0
162,0,0,doll_0.006835 b,doll_0.0039310000000000005 b,0,0,doll_0.16631 b,doll_0.017948 b,doll_0.14836000000000002 b
163,0,0,doll_0.010493 b,doll_0.002254 b,0,0,doll_0.028346 b,doll_0.014577 b,doll_0.013768 b
164,0,0,doll_0.15774000000000002 b,doll_0.0075650000000000005 b,0,0,doll_0.28726999999999997 b,doll_0.07546299999999999 b,doll_0.21181 b
165,0,0,doll_0.13634000000000002 b,doll_0.017937 b,0,0,doll_0.25704000000000005 b,doll_0.048519 b,doll_0.20852 b
166,0,0,doll_0.027708 b,doll_0.003242 b,0,0,doll_0.028936 b,doll_0.015754 b,doll_0.013182000000000001 b
167,0,0,doll_0.06704399999999999 b,doll_0.006315 b,0,0,doll_0.050872999999999995 b,doll_0.010959 b,doll_0.039914 b
168,0,0,doll_0.017108 b,doll_0.001994 b,0,0,doll_0.034631 b,doll_0.014877000000000001 b,doll_0.019754 b
169,0,0,doll_0.007776 b,doll_0.0020369999999999997 b,0,0,doll_0.013900000000000001 b,doll_0.004543 b,doll_0.009356999999999999 b
170,0,0,doll_0.0476 b,0,0,0,0,0,0
171,0,0,doll_0.21287 b,0,0,0,0,0,0
172,0,0,doll_0.021111 b,doll_0.002464 b,0,0,doll_0.039523 b,doll_-0.001606 b,doll_0.041129 b
173,0,0,doll_0.001219 b,doll_-0.679 b,0,0,doll_0.006649 b,doll_0.0050490000000000005 b,doll_0.0016 b
174,0,0,doll_0.11989 b,doll_0.004602 b,0,0,doll_0.31035 b,doll_0.047032 b,doll_0.26332 b
175,0,0,doll_0.031453 b,doll_0.443 b,0,0,doll_0.043042000000000004 b,doll_0.01517 b,doll_0.027873000000000002 b
176,0,0,doll_0.02872 b,doll_0.0043 b,0,0,doll_0.067092 b,doll_0.028269 b,doll_0.038823 b
177,0,0,doll_0.017227 b,doll_0.004605000000000001 b,0,0,doll_0.017195000000000002 b,doll_0.006278 b,doll_0.010917 b
178,0,0,doll_0.046634 b,doll_0.006151 b,0,0,doll_0.084915 b,doll_0.048036 b,doll_0.036878 b
179,0,0,doll_0.019135000000000003 b,doll_0.005409 b,0,0,doll_0.46668 b,doll_0.054009999999999996 b,doll_0.41267000000000004 b
180,0,0,doll_0.027305 b,doll_0.006225 b,0,0,doll_0.067952 b,doll_0.021068999999999997 b,doll_0.046883 b
181,0,0,doll_0.20383 b,doll_0.0027730000000000003 b,0,0,0,0,0
182,0,0,doll_0.03362 b,doll_0.008903000000000001 b,0,0,doll_0.17981 b,doll_0.087835 b,doll_0.091976 b
183,0,0,doll_0.088744 b,doll_0.008562 b,0,0,doll_0.14712 b,doll_0.039009999999999996 b,doll_0.10811 b
184,0,0,doll_0.07573099999999999 b,doll_0.003966 b,0,0,doll_0.391 b,doll_0.04635499999999999 b,doll_0.34464999999999996 b
185,0,0,doll_0.020954999999999998 b,doll_0.002166 b,0,0,doll_0.017685 b,doll_0.010043 b,doll_0.007642 b
186,0,0,doll_0.1147 b,0,0,0,0,0,0
187,0,0,doll_0.127 b,doll_0.010019 b,0,0,doll_0.24472 b,doll_0.059744 b,doll_0.18497 b
188,0,0,doll_0.022721 b,doll_0.007605000000000001 b,0,0,doll_0.57328 b,doll_0.054918 b,doll_0.51837 b
189,0,0,doll_0.0 b,doll_0.010456 b,0,0,doll_0.002903 b,doll_0.12991 b,doll_0.0027730000000000003 b
190,0,0,doll_0.018471 b,doll_0.012202 b,0,0,doll_0.0073360000000000005 b,doll_0.002561 b,doll_0.004775000000000001 b
