,name,codice,pricecap,price,country
250,Bayer,BAYZF,$61.01 B,$62.10,Germany
251,Siemens Healthineers,SHL.DE,$60.88 B,$54.39,Germany
252,Daiichi Sankyō,4568.T,$60.70 B,$31.67,Japan
253,KKR & Co.,KKR,$60.60 B,$54.00,USA
254,Charter Communications,CHTR,$60.47 B,$388.47,USA
255,Midea,000333.SZ,$60.25 B,$8.61,China
256,Emirates Telecom (Etisalat Group),EAND.AE,$60.23 B,$6.93,UAE
257,Intercontinental Exchange,ICE,$60.11 B,$107.63,USA
258,Activision Blizzard,ATVI,$59.99 B,$76.66,USA
259,Southern Copper,SCCO,$59.57 B,$77.06,USA
260,KLA,KLAC,$59.52 B,$420.04,USA
261,Occidental Petroleum,OXY,$59.36 B,$65.31,USA
262,The Saudi National Bank,1180.SR,$59.23 B,$13.35,S. Arabia
263,Norfolk Southern,NSC,$59.06 B,$255.13,USA
264,Hong Kong Exchanges & Clearing,0388.HK,$59.00 B,$46.54,Hong Kong
265,Atlas Copco,ATCO-B.ST,$58.92 B,$11.02,Sweden
266,Foshan Haitian Flavouring and Food,603288.SS,$58.83 B,$12.70,China
267,Uber,UBER,$58.71 B,$29.44,USA
268,Safran,SAF.PA,$58.68 B,$137.60,France
269,Housing Development Finance Corporation,HDFC.NS,$58.33 B,$31.94,India
270,Westpac Banking,WBC.AX,$58.29 B,$16.67,Australia
271,Anglo American,AAL.L,$58.17 B,$43.50,UK
272,China Telecom,0728.HK,$58.05 B,$0.44,China
273,NetEase,NTES,$58.03 B,$88.36,China
274,Moody's,MCO,$57.62 B,$314.53,USA
275,Verbund AG,OEWA.F,$57.54 B,$82.65,Austria
276,Heineken,HEIA.AS,$57.26 B,$99.48,Netherlands
277,Marathon Petroleum,MPC,$57.14 B,$121.93,USA
278,Emerson,EMR,$57.01 B,$97.92,USA
279,Fast Retailing,9983.T,$56.99 B,$557.78,Japan
280,Pioneer Natural Resources,PXD,$56.78 B,$238.99,USA
281,Santander,SAN,$56.75 B,$3.37,Spain
282,Industrial Bank,601166.SS,$56.52 B,$2.72,China
283,Thomson Reuters,TRI,$56.47 B,$117.80,Canada
284,MetLife,MET,$56.42 B,$71.92,USA
285,Enterprise Products,EPD,$56.02 B,$25.75,USA
286,RELX,RELX,$55.76 B,$29.14,UK
287,Bharti Airtel,BHARTIARTL.NS,$55.70 B,$9.34,India
288,ENI,E,$55.40 B,$31.45,Italy
289,Life Insurance Corporation of India (LIC),LICI.NS,$55.21 B,$8.73,India
290,MercadoLibre,MELI,$54.46 B,"$1,083",Argentina
291,Pernod Ricard,RI.PA,$54.25 B,$211.83,France
292,McKesson,MCK,$54.13 B,$381.81,USA
293,United Heavy Machinery,OMZZP.ME,$53.58 B,$63.30,Russia
294,Vmware,VMW,$53.41 B,$124.93,USA
295,Monster Beverage,MNST,$53.29 B,$102.08,USA
296,Tokyo Electron,8035.T,$53.07 B,$340.79,Japan
297,BASF,BAS.DE,$52.95 B,$57.66,Germany
298,Reckitt Benckiser,RKT.L,$52.50 B,$73.36,UK
299,Valero Energy,VLO,$52.48 B,$136.13,USA
300,Dominion Energy,D,$52.42 B,$62.92,USA
301,Dollar General,DG,$52.20 B,$233.52,USA
302,ANZ Bank,ANZ.AX,$52.08 B,$17.34,Australia
303,Kraft Heinz,KHC,$51.96 B,$42.42,USA
304,General Motors,GM,$51.86 B,$36.51,USA
305,Deutsche Post,DPW.DE,$51.58 B,$42.35,Germany
306,Dassault Systèmes,DSY.PA,$51.56 B,$38.60,France
307,Shin-Etsu Chemical,4063.T,$51.37 B,$127.00,Japan
308,Public Storage,PSA,$51.22 B,$290.87,USA
309,Marriott International,MAR,$51.20 B,$161.78,USA
310,Ford,F,$51.14 B,$12.72,USA
311,O'Reilly Automotive,ORLY,$51.02 B,$815.47,USA
312,Adani Enterprises,ADANIENT.NS,$50.78 B,$44.55,India
313,Synopsys,SNPS,$50.75 B,$332.97,USA
314,Recruit,6098.T,$50.72 B,$31.62,Japan
315,EDF (Electricité de France),EDF.PA,$50.67 B,$13.04,France
316,Sempra Energy,SRE,$50.55 B,$160.83,USA
317,Keurig Dr Pepper,KDP,$50.54 B,$35.69,USA
318,Adani Total Gas,ATGL.NS,$50.52 B,$45.92,India
319,Saudi Telecom Company,7010.SR,$50.47 B,$10.11,S. Arabia
320,ITC,ITC.NS,$50.44 B,$4.06,India
321,Takeda Pharmaceutical,TAK,$50.05 B,$16.10,Japan
322,Bank of Communications,601328.SS,$50.03 B,$0.72,China
323,LONGi Green Energy Technology,601012.SS,$49.78 B,$6.57,China
324,ING,ING,$49.74 B,$13.70,Netherlands
325,Stellantis,STLA,$49.55 B,$15.42,Netherlands
326,Shopify,SHOP,$49.47 B,$38.89,Canada
327,Woodside Energy,WDS,$49.02 B,$25.82,Australia
328,London Stock Exchange,LS4C.F,$48.97 B,$91.23,UK
329,Nintendo,7974.T,$48.95 B,$41.91,Japan
330,Hikvision,002415.SZ,$48.79 B,$5.17,China
331,Munich RE (Münchener Rück),MUV2.DE,$48.76 B,$348.83,Germany
332,American Electric Power,AEP,$48.73 B,$94.84,USA
333,Itaú Unibanco,ITUB,$48.71 B,$5.03,Brazil
334,Phillips 66,PSX,$48.69 B,$103.03,USA
335,General Mills,GIS,$48.64 B,$82.51,USA
336,Archer Daniels Midland (ADM),ADM,$48.56 B,$88.40,USA
337,Macquarie,MQG.AX,$48.48 B,$125.42,Australia
338,Edwards Lifesciences,EW,$48.41 B,$78.31,USA
339,Mitsubishi Corporation,8058.T,$48.33 B,$33.10,Japan
340,First Abu Dhabi Bank,FAB.AE,$48.24 B,$4.37,UAE
341,Oriental Land,4661.T,$48.22 B,$147.25,Japan
342,Maaden,1211.SR,$48.12 B,$19.55,S. Arabia
343,Daikin,6367.T,$48.11 B,$164.39,Japan
344,Baidu,BIDU,$48.02 B,$138.98,China
345,Fortescue,FMG.AX,$47.90 B,$15.56,Australia
346,American International Group,AIG,$47.85 B,$64.41,USA
347,Amphenol,APH,$47.82 B,$80.37,USA
348,Roper Technologies,ROP,$47.82 B,$450.98,USA
349,SK Hynix,000660.KS,$47.68 B,$69.35,S. Korea
350,FedEx,FDX,$47.60 B,$188.63,USA
351,Intesa Sanpaolo,ISP.MI,$47.34 B,$2.48,Italy
352,Johnson Controls,JCI,$47.26 B,$68.83,Ireland
353,Simon Property Group,SPG,$46.99 B,$125.57,USA
354,Hess,HES,$46.92 B,$152.21,USA
355,Alimentation Couche-Tard,ATD.TO,$46.90 B,$47.04,Canada
356,Universal Music Group,UMG.AS,$46.62 B,$25.24,Netherlands
357,The Hershey Company,HSY,$46.47 B,$226.61,USA
358,Agilent Technologies,A,$46.45 B,$156.92,USA
359,National Grid,NGG,$46.43 B,$63.15,UK
360,Cadence Design Systems,CDNS,$46.43 B,$169.26,USA
361,Samsung Biologics,207940.KS,$46.42 B,$652.26,S. Korea
362,Hitachi,6501.T,$46.28 B,$49.35,Japan
363,Kimberly-Clark,KMB,$46.17 B,$136.83,USA
364,Itōchū Shōji,8001.T,$45.79 B,$31.22,Japan
365,Cintas,CTAS,$45.61 B,$448.92,USA
366,The Travelers Companies,TRV,$45.44 B,$193.92,USA
367,Mitsui Bussan,8031.T,$45.36 B,$29.24,Japan
368,Adyen,ADYEN.AS,$45.32 B,"$1,463",Netherlands
369,Bank Rakyat Indonesia,BYRA.F,$45.31 B,$0.28,Indonesia
370,Snowflake,SNOW,$45.30 B,$140.87,USA
371,Aflac,AFL,$45.29 B,$72.85,USA
372,CITIC Securities,600030.SS,$45.28 B,$3.21,China
373,Infineon,IFX.DE,$44.98 B,$34.55,Germany
374,Foxconn (Hon Hai Precision Industry),2317.TW,$44.90 B,$3.24,Taiwan
375,Corteva,CTVA,$44.81 B,$62.72,USA
376,Bajaj Finance,BAJFINANCE.NS,$44.78 B,$73.98,India
377,Wanhua Chemical,600309.SS,$44.73 B,$14.25,China
378,Zijin Mining,601899.SS,$44.70 B,$1.72,China
379,S.F. Express,002352.SZ,$44.63 B,$9.12,China
380,NXP Semiconductors,NXPI,$44.52 B,$171.82,Netherlands
381,Motorola Solutions,MSI,$44.47 B,$266.01,USA
382,AutoZone,AZO,$44.45 B,"$2,369",USA
383,East Money Information,300059.SZ,$44.41 B,$3.36,China
384,Bayan Resources,BYAN.JK,$44.25 B,$1.33,Indonesia
385,Ecolab,ECL,$43.98 B,$154.43,USA
386,Suncor Energy,SU,$43.76 B,$32.44,Canada
387,Realty Income,O,$43.70 B,$66.19,USA
388,Ping An Bank,000001.SZ,$43.67 B,$2.25,China
389,Prudential,PUK,$43.65 B,$31.75,UK
390,Kotak Mahindra Bank,KOTAKBANK.NS,$43.62 B,$21.97,India
391,Centene,CNC,$43.62 B,$77.04,USA
392,Budweiser APAC,1876.HK,$43.58 B,$3.29,Hong Kong
393,Banco Santander Brasil,BSBR,$43.57 B,$5.86,Brazil
394,Paychex,PAYX,$43.36 B,$120.31,USA
395,Autodesk,ADSK,$43.28 B,$200.59,USA
396,WuXi AppTec,2359.HK,$43.23 B,$13.39,China
397,Newmont,NEM,$43.13 B,$54.35,USA
398,Exelon Corporation,EXC,$43.10 B,$43.38,USA
399,Ferrari,RACE,$43.03 B,$235.92,Italy
400,OCBC Bank,O39.SI,$42.99 B,$9.57,Singapore
401,Workday,WDAY,$42.95 B,$167.15,USA
402,Block,SQ,$42.85 B,$71.65,USA
403,TC Energy,TRP,$42.83 B,$42.79,Canada
404,Ambev,ABEV,$42.77 B,$2.71,Brazil
405,BCE,BCE,$42.58 B,$46.66,Canada
406,DexCom,DXCM,$42.57 B,$108.47,USA
407,Nordea Bank,NDA-FI.HE,$42.53 B,$11.55,Finland
408,Kinder Morgan,KMI,$42.36 B,$18.85,USA
409,Chipotle Mexican Grill,CMG,$42.26 B,"$1,525",USA
410,Tokio Marine,8766.T,$42.26 B,$21.05,Japan
411,Trane Technologies,TT,$42.21 B,$183.31,Ireland
412,Naspers,NPSNY,$42.03 B,$40.07,South Africa
413,Las Vegas Sands,LVS,$42.00 B,$54.97,USA
414,Palo Alto Networks,PANW,$41.98 B,$138.86,USA
415,YANGHE,002304.SZ,$41.89 B,$27.80,China
416,Apollo Global Management,APO,$41.82 B,$69.71,USA
417,Sika,SIKA.SW,$41.73 B,$272.54,Switzerland
418,Mizuho Financial Group,MFG,$41.68 B,$3.29,Japan
419,Devon Energy,DVN,$41.56 B,$63.59,USA
420,Banco Bilbao Vizcaya Argentaria,BBVA,$41.54 B,$6.89,Spain
421,Constellation Brands,STZ,$41.52 B,$225.00,USA
422,Biogen,BIIB,$41.47 B,$288.04,USA
423,Arthur J. Gallagher & Co.,AJG,$41.44 B,$196.55,USA
424,Fidelity National Information Services,FIS,$41.38 B,$69.75,USA
425,Ørsted,DOGEF,$41.36 B,$98.41,Denmark
426,Ross Stores,ROST,$41.32 B,$120.01,USA
427,Dow,DOW,$41.29 B,$58.68,USA
428,IQVIA,IQV,$41.26 B,$222.14,USA
429,Microchip Technology,MCHP,$41.20 B,$74.92,USA
430,Chugai Pharmaceutical,4519.T,$41.06 B,$24.97,Japan
431,Jiangsu Hengrui Medicine,600276.SS,$41.06 B,$6.44,China
432,Compass Group,CPG.L,$41.02 B,$23.28,UK
433,7-Eleven,3382.T,$41.02 B,$46.45,Japan
434,Muyuan Foods,002714.SZ,$40.83 B,$7.46,China
435,Parker-Hannifin,PH,$40.76 B,$317.49,USA
436,Adani Green Energy,ADANIGREEN.NS,$40.74 B,$25.72,India
437,Sysco,SYY,$40.70 B,$80.33,USA
438,Lloyds Banking Group,LYG,$40.54 B,$2.41,UK
439,Nucor,NUE,$40.42 B,$157.56,USA
440,MSCI,MSCI,$40.39 B,$505.24,USA
441,Sun Hung Kai Properties,0016.HK,$40.30 B,$13.91,Hong Kong
442,lululemon athletica,LULU,$40.22 B,$315.47,Canada
443,Anta Sports,AS7.F,$40.03 B,$14.60,China
444,Williams Companies,WMB,$39.97 B,$32.81,USA
445,Lonza,LONN.SW,$39.95 B,$538.50,Switzerland
446,Honda,HMC,$39.89 B,$23.58,Japan
447,IDEXX Laboratories,IDXX,$39.67 B,$479.08,USA
448,Bank of New York Mellon,BK,$39.63 B,$49.03,USA
449,Kuaishou Technology,1024.HK,$39.62 B,$9.16,China
450,CIBC,CM,$39.62 B,$43.67,Canada
451,WuXi Biologics,WXXWY,$39.57 B,$18.76,China
452,Republic Services,RSG,$39.46 B,$124.89,USA
453,TE Connectivity,TEL,$39.41 B,$124.24,Switzerland
454,Capital One,COF,$39.25 B,$102.85,USA
455,Volvo Group,VOLVF,$39.24 B,$19.42,Sweden
456,Energy Transfer Partners,ET,$39.22 B,$12.67,USA
457,Nutrien,NTR,$39.13 B,$75.17,Canada
458,Xcel Energy,XEL,$38.94 B,$71.17,USA
459,Cheniere Energy,LNG,$38.91 B,$156.51,USA
460,Halliburton,HAL,$38.73 B,$42.66,USA
461,Wesfarmers,WES.AX,$38.50 B,$33.94,Australia
462,Carrier,CARR,$38.35 B,$45.87,USA
463,Maersk,DP4A.F,$38.22 B,"$2,129",Denmark
464,Fortinet,FTNT,$38.17 B,$48.87,USA
