,employees_number_2017,employees_number_2020,sector,revenue_2017_eu,name,country,link,revenue_2020_eu,compound_annual_growth_rate_cagr_pct,founding_year,absolute_growth_rate_pct
4332,,70,support services,,fb.m. s.r.l.,italy,https://www.fbmsrl.net,doll_0.0053 b,,2012,
4333,,4,personal & household goods,,new systems handelsgmbh,austria,https://www.new-systems.at/,doll_0.004 b,,2009,
4334,,66,technology,,info-tech systems integrators,singapore,https://www.info-tech.com.sg/,doll_0.01097 b,,2007,
4335,,123,technology,,wantedly,japan,https://wantedlyinc.com/ja,doll_0.02898 b,,2010,
4336,,30,technology,,karadanote,japan,https://corp.karadanote.jp/,doll_0.006860000000000001 b,,2008,
4337,,372,technology,,brainpad,japan,https://www.brainpad.co.jp/,doll_0.05218 b,,2004,
4338,,12,media,,rewind networks,singapore,http://www.rewindnetworks.com/,doll_0.0054800000000000005 b,,2012,
4339,,1647,technology,,maveric systems,india,https://maveric-systems.com/,doll_0.04796 b,,2000,
4340,,65,construction,,koesea,germany,https://www.koesea-gmbh.de/,doll_0.0034 b,,2016,
4341,,42,technology,,obido,poland,https://obido.pl,doll_0.00206 b,,2015,
4342,,3,transport,,ccl fruit y vegetales*,spain,https://www.cclfruit.es,doll_0.004200000000000001 b,,2014,
4343,,37,retail,,rojen commerce*,romania,not found,doll_0.023440000000000003 b,,2015,
4344,,21,technology,,yourparkingspace,united kingdom,https://www.yourparkingspace.co.uk/,doll_0.0073 b,,2013,
4345,,10,property,,hokkyokusei corporation,japan,https://hokkyokusei.co.jp/,doll_0.03443 b,,2012,
4346,,714,media,,gtpl,india,https://www.gtpl.net/,doll_0.23692 b,,2006,
4347,,49,sales & marketing,,cygnus trust,japan,http://cygnus-trust.com/,doll_0.01735 b,,2011,
4348,,619,telecoms,,ishan group,india,https://www.ishanitech.biz/,doll_0.00962 b,,2007,
4349,,42,education,,surala,japan,https://surala.jp/company/,doll_0.010490000000000001 b,,2008,
4350,,1805,technology,,kg group,india,https://www.kgisl.com/,doll_0.026629999999999997 b,,1994,
4351,,38,automobiles,,podium advanced technologies,italy,https://www.podium-tech.com/,doll_0.01803 b,,2011,
4352,,166,construction,,spegra,croatia,https://www.spegra.hr/en,doll_0.01706 b,,2010,
4353,,120,waste management & recycling,,phenix,france,https://wearephenix.com,doll_0.01357 b,,2014,
4354,,3,advertising,,upgrade,italy,https://www.upgrademedia.it,doll_0.0023 b,,2014,
4355,,45,construction,,infratech bau,germany,https://www.infratech-bau.de/,doll_0.0128 b,,2007,
4356,,64,games industry,,ndreams,united kingdom,https://www.ndreams.com/,doll_0.0020099999999999996 b,,2002,
4357,,429,technology,,brainvire,india,https://www.brainvire.com/,doll_0.00409 b,,2012,
4358,,974,technology,,infobeans,india,https://www.infobeans.com/,doll_0.02624 b,,2011,
4359,,21,advertising,,local digital,australia,https://www.localdigital.com.au/,doll_0.0019 b,,2015,
4360,,438,agricultural commodities,,supple tek,india,https://www.suppletek.in/,doll_0.5140800000000001 b,,2013,
4361,,16,technology,,rush hour media,hong kong,https://rushhourmedia.com/,doll_0.00101 b,,2012,
4362,,not found,beauty,,déesse vivante biomed,taiwan,https://www.dvbiomed.com/,doll_0.06242 b,,2011,
4363,,117,industrial goods,,gpainnova,spain,https://gpainnova.com/,doll_0.01525 b,,2013,
4364,,23,management consulting,,soluzione tasse,italy,https://www.soluzionetasse.com/,doll_0.018940000000000002 b,,2016,
4365,,286,technology,,sta portage,france,https://www.sta-portage.com,doll_0.028030000000000003 b,,2012,
4366,,15,construction,,tecnoprogetti,italy,https://www.tecnoprogetti.org,doll_0.006 b,,2001,
4367,,33,industrial goods,,nova cartotecnica roberto.s,italy,https://www.novacartotecnicaroberto.it/,doll_0.0020800000000000003 b,,2012,
4368,,7,construction,,neuhoff massivbau,germany,http://www.neuhoff-massivbau.de/,doll_0.00206 b,,2014,
4369,,118,technology,,xilnex,malaysia,https://xilnex.com/,doll_0.00367 b,,2007,
4370,,39,media,,"toothlife co., ltd.",south korea,https://www.toothlife.co.kr/,doll_0.00418 b,,2014,
4371,,416,technology,,capital numbers,india,https://www.capitalnumbers.com/,doll_0.00634 b,,2012,
4372,,470,education,,insource,japan,https://www.insource.co.jp/index.html,doll_0.05155 b,,2002,
4373,,6,health,,snowdome foundation,australia,https://www.snowdome.org.au/,doll_0.004849999999999999 b,,2010,
4374,,48,chemicals,,morex industries,india,http://morexindustries.com/,doll_0.00631 b,,1991,
4375,,15,retail,,velocultour,germany,https://www.velocultour.de/,doll_0.00246 b,,2016,
4376,,65,personal & household goods,,domator24.com,poland,https://www.domator24.com,doll_0.01695 b,,2002,
4377,,36,construction,,imasd energías,spain,https://www.idenergias.com,doll_0.0126 b,,2008,
4378,,860,support services,,hr xperience,germany,https://www.hr-xp.com/,doll_0.0219 b,,2015,
4379,,15,ecommerce,,ogrodosfera,poland,https://ogrodosfera.pl/,doll_0.00596 b,,2012,
4380,,60,technology,,the missing link,australia,https://www.themissinglink.com.au/,doll_0.023399999999999997 b,,1997,
4381,,645,technology,,aem holdings,singapore,https://aem.com.sg/,doll_0.37613 b,,1992,
4382,,55,retail,,hyperxchange,india,https://hxkart.com/,doll_0.0030099999999999997 b,,2016,
4383,,180,agricultural commodities,,mukka,india,http://www.mukkaseafoods.com/,doll_0.08220999999999999 b,,2010,
4384,,52,pharmaceuticals,,the clinuvel group,australia,https://www.clinuvel.com/,doll_0.024210000000000002 b,,2001,
4385,,2,travel & leisure,,ablaze,japan,https://www.ablaze-corp.com/,doll_0.0022 b,,2016,
4386,,7,ecommerce,,butorpiac.hu,hungary,https://www.butorpiac.hu/,doll_0.00218 b,,2011,
4387,,44,technology,,success solutions,czech republic,https://www.success-solutions.cz/,doll_0.00263 b,,2016,
4388,,87,insurance,,herrero brigantina,spain,https://www.grupoherrerobrigantina.com,doll_0.01285 b,,2012,
4389,,11,advertising,,peoplegrapher,germany,https://www.peoplegrapher.com,doll_0.00481 b,,2016,
4390,,3,retail,,machines broker,italy,https://www.machinesbroker.it,doll_0.0016 b,,2013,
4391,,77,advertising,,velvet media italia,italy,https://www.velvetmedia.it/,doll_0.00328 b,,2013,
4392,,72,ecommerce,,sendcloud,netherlands,https://www.sendcloud.com/,doll_0.033600000000000005 b,,2012,
4393,,233,food & beverage,,beston global food company,australia,https://bestonglobalfoods.com.au/,doll_0.07740000000000001 b,,2015,
4394,,401,management consulting,,vision consulting,japan,https://visioncon.co.jp/,doll_0.03537 b,,2014,
4395,,38,transport,,kanazawa jitsugyou,japan,https://www.kanazawajitsugyou.com/,doll_0.0030600000000000002 b,,2006,
4396,,939,transport,,gke corporation,singapore,http://www.gke.com.sg/,doll_0.07862999999999999 b,,2000,
4397,,245,construction,,aidea,philippines,https://www.aidea.com.ph/,doll_0.01041 b,,1995,
4398,,45,technology,,data connect technologies,singapore,https://d-connect.net/,doll_0.0041600000000000005 b,,2003,
4399,,1,health,,bug bite thing europe,denmark,https://bugbitething.eu/,doll_0.00158 b,,1989,
4400,,4,industrial goods,,zara,italy,https://zaraimballaggi.nwksite.com,doll_0.0017 b,,1984,
4401,,104,fintech,,smarkets,united kingdom,https://www.smarkets.com,doll_0.0242 b,,2008,
4402,,5,retail,,ds glass,italy,https://www.dsglass.it/,doll_0.006849999999999999 b,,2013,
4403,,50,technology,,liikennevirta,finland,https://www.virta.global/,doll_0.00412 b,,2013,
4404,,"1,872",technology,,qburst,india,https://www.qburst.com/,doll_0.04491 b,,2004,
4405,,120,advertising,,ad efficiency,south korea,http://www.adefficiency.com/,doll_0.01548 b,,2012,
4406,,42,industrial goods,,major-power technology,taiwan,https://www.major-power.com.tw/,doll_0.00973 b,,2011,
4407,,not found,technology,,accton,taiwan,http://www.accton.com/,doll_0.0 b,,1988,
4408,,410,retail,,elan,japan,https://www.kkelan.com/,doll_0.1978 b,,1997,
4409,,78,health,,nuffield dental holdings,singapore,https://www.nuffielddental.com.sg/,doll_0.00788 b,,2014,
4410,,24,technology,,dexatel,estonia,https://dexatel.com/,doll_0.01109 b,,2015,
4411,,6,construction,,gemco,italy,https://gemco2.webnode.com/,doll_0.00394 b,,2015,
4412,,62,technology,,truu wasserweik,germany,https://www.truu.com/,doll_0.01721 b,,2011,
4413,,38,technology,,contrader,italy,https://contrader.it,doll_0.0025499999999999997 b,,2012,
4414,,16,technology,,clicklearn,denmark,https://www.clicklearn.com,doll_0.0021000000000000003 b,,2010,
4415,,28,cyber security,,metaminds,romania,https://www.metaminds.com/,doll_0.01065 b,,2015,
4416,,2,automobiles,,prestige car center,finland,https://prestigecarcenter.fi/,doll_0.0047 b,,2014,
4417,,131,agricultural commodities,,mukka,india,https://mukkaproteins.com/,doll_0.08148999999999999 b,,2010,
4418,,114,advertising,,apparent,australia,https://apparent.com.au/,doll_0.01474 b,,2008,
4419,,300,technology,,ergos the grainbank,india,https://www.ergos.in/,doll_0.0058 b,,2012,
4420,,28,chemicals,,kenergie,india,https://www.kentchem.com/,doll_0.01498 b,,2004,
4421,,207,health,,eirgenix,taiwan,http://www.eirgenix.com/,doll_0.015390000000000001 b,,2012,
4422,,271,property,,ambition,japan,https://www.am-bition.jp/,doll_0.25198 b,,2007,
4423,,not found,construction,,lyonnaise de construction et renovation,france,https://www.amotech.fr/,doll_0.00664 b,,2015,
4424,,50,management consulting,,skills rh,france,https://www.skills-rh.fr,doll_0.01214 b,,2012,
4425,,25,industrial goods,,idrowatt italia,italy,http://n/a,doll_0.0015 b,,2015,
4426,,50,retail,,progetto olimpo,italy,https://www.centroolimpopalermo.it,doll_0.0091 b,,2014,
4427,,131,energy,,eland oil & gas**,united kingdom,https://www.elandoilandgas.com/,doll_0.14327 b,,2009,
4428,,47,management consulting,,athena infonomics,india,https://www.athenainfonomics.com/,doll_0.0029 b,,2010,
4429,,26,games industry,,antec,taiwan,https://www.antec.com/,doll_0.05806 b,,1986,
4430,,791,technology,,infobeans,india,https://www.infobeans.com/,doll_0.02224 b,,2011,
4431,,305,sales & marketing,,izmo,india,https://www.izmoltd.com/,doll_0.014369999999999999 b,,1995,
4432,,702,food & beverage,,gousto,uk,https://www.gousto.co.uk/,doll_0.21095 b,,2012,
4433,,6,beauty,,winter in venice,uk,https://www.winterinvenice.co.uk/,doll_0.01268 b,,2010,
4434,,3,energy,,green team,italy,http://www.greenteamsrl.com,doll_0.0019299999999999999 b,,2016,
4435,,20,advertising,,web stars channel,italy,https://www.webstarschannel.it,doll_0.0037 b,,2013,
4436,,3,agricultural commodities,,intradelog,hungary,http://itls.co.hu/,doll_0.00381 b,,2006,
4437,,725,industrial goods,,dfi,taiwan,https://www.dfi.com/,doll_0.28224 b,,1981,
4438,,185,technology,,nividous,india,https://www.nividous.com/,doll_0.00613 b,,2011,
4439,,12,technology,,highreso,japan,https://highreso.jp/,doll_0.00679 b,,2007,
4440,,5649,fashion,,"golden abc, inc.",philippines,https://www.goldenabc.com/,doll_0.20815999999999998 b,,1988,
4441,,not found,technology,,aspeed technology,taiwan,http://www.aspeedtech.com/,doll_0.08033 b,,2004,
4442,,72,construction,,infratech bau,germany,https://www.infratech-bau.de/,doll_0.06007 b,,2007,
4443,,46,construction,,4streets building innovation tunnels bridges roads,italy,https://www.4streets.it/,doll_0.00674 b,,2016,
4444,,55,construction,,groupe n.a.t,france,https://www.groupe-nat.fr,doll_0.00376 b,,2016,
4445,,31,beauty,,fancystage unipessoal,portugal,https://www.fancystage.eu,doll_0.0033 b,,2012,
4446,,29,technology,,gecko labs,united kingdom,http://www.geckoengage.com/,doll_0.00155 b,,2012,
4447,,12,property,,sri,singapore,https://sri.sg/,doll_0.036899999999999995 b,,2016,
4448,,142,technology,,doctor qube,japan,http://www.doctorqube.com/,doll_0.0145 b,,2001,
4449,,543,technology,,donuts,japan,https://www.donuts.ne.jp/,doll_0.12586 b,,2007,
4450,,not found,ecommerce,,momo,taiwan,http://www.momoshop.com.tw/,doll_0.0 b,,2004,
4451,,87,aerospace & defence,,sika,india,http://www.sikaglobal.com/,doll_0.00912 b,,1985,
4452,,not found,travel & leisure,,unusual,singapore,https://www.unusual.com.sg/,doll_0.04541 b,,1997,
4453,,95,fintech,,landbay,uk,https://landbay.co.uk/intermediaries,doll_0.00898 b,,2013,
4454,,57,industrial goods,,steros gpa innovative,spain,https://www.gpainnova.com,doll_0.005900000000000001 b,,2013,
4455,,6,interiors,,laudaco,slovakia,https://www.laudaco.com,doll_0.0025 b,,2012,
4456,,10,technology,,silxo,united kingdom,https://silxo.com/,doll_0.00483 b,,2014,
4457,,70,travel & leisure,,tripla,japan,https://tripla.io/,doll_0.00276 b,,2015,
4458,,256,energy,,union gas,singapore,https://www.uniongas.com.sg/,doll_0.06247 b,,2016,
4459,,5,support services,,iideas,singapore,https://www.iideas.com.sg/,doll_0.00115 b,,2016,
4460,,134,media,,gamewith,japan,https://gamewith.co.jp/en,doll_0.02656 b,,2013,
4461,,45,technology,,rolling arrays consulting,singapore,https://www.rollingarrays.com/,doll_0.00539 b,,2009,
4462,,18,technology,,degoo,sweden,https://degoo.com/,doll_0.00197 b,,2012,
4463,,57,waste management & recycling,,sas remove,france,http://remove-france.com/,doll_0.00646 b,,2015,
4464,,60,automobiles,,vetrocar & bus,italy,https://www.vetrocar.it,doll_0.0188 b,,2008,
4465,,5,energy,,solsol,czech republic,https://www.solsol.cz/,doll_0.0070599999999999994 b,,2012,
4466,,102,media,,the news lens,taiwan,https://www.thenewslens.com/,doll_0.0029 b,,2013,
4467,,329,ecommerce,,furlenco,india,https://www.furlenco.com/,doll_0.011380000000000001 b,,2012,
4468,,"5,300",property,,square yards,india,https://www.squareyards.com/,doll_0.047229999999999994 b,,2014,
4469,,311,transport,,sevenseas,india,https://sevenseasexpress.com/,doll_0.027800000000000002 b,,2007,
4470,,1293,restaurants,,tofu restaurant group,taiwan,http://www.tofuglobal.com/,doll_0.04511 b,,2008,
4471,,8,ecommerce,,yellow octopus,australia,https://www.yellowoctopus.com.au/,doll_0.0034100000000000003 b,,2013,
4472,,320,food & beverage,,franco fresco,germany,https://www.gustavo-gusto.de/,doll_0.05072 b,,2016,
4473,,107,technology,,frontify,switzerland,https://frontify.com,doll_0.00788 b,,2013,
4474,,90,fintech,,movetia digital,spain,https://www.movetia.com,doll_0.004900000000000001 b,,2011,
4475,,6,advertising,,synapsy*,italy,https://www.synapsy.events,doll_0.0058 b,,2014,
4476,,71,technology,,ministry of programming,bosnia and herzegovina,https://www.mop.ba/,doll_0.00381 b,,2015,
4477,,20,fintech,,peppermint innovation,australia,https://pepltd.com.au/,doll_0.00133 b,,2015,
4478,,42,sales & marketing,,blue mark confidence,japan,https://www.bm-c.co.jp/,doll_0.00567 b,,2015,
4479,,436,industrial goods,,brightflexi,india,https://www.akbansalgroup.com/,doll_0.02537 b,,2015,
4480,,18,food & beverage,,actspand,singapore,http://www.actspand.com/,doll_0.0015300000000000001 b,,2005,
4481,,144,fintech,,minkabu the infonoid,japan,https://minkabu.co.jp/,doll_0.02565 b,,2006,
4482,,84,fintech,,lendable,uk,https://www.lendable.co.uk/,doll_0.040310000000000006 b,,2014,
4483,,6,education,,ulrich müller wealth academy,germany,https://www.ulrichmueller.de/,doll_0.00352 b,,2014,
4484,,290,technology,,anytech365,spain,http://www.anytech365.com,doll_0.016489999999999998 b,,2014,
4485,,32,industrial goods,,gps gmbh,germany,https://www.gps-germany.com,doll_0.004200000000000001 b,,2014,
4486,,18,technology,,ramge software distribution,germany,https://www.ramgesoft.de/,doll_0.00762 b,,2004,
4487,,901,technology,,genius sports group*,united kingdom,https://www.geniussports.com/contact-us,doll_0.07435 b,,2015,
4488,,120,waste management & recycling,,hasiru dala innovations,india,https://www.hasirudalainnovations.com/,doll_0.0015400000000000001 b,,2015,
4489,,36,technology,,transerve technologies,india,https://transerve.com/,doll_0.0013700000000000001 b,,2009,
4490,,200,personal & household goods,,ankur,india,http://ankurwares.com/,doll_0.05031 b,,1998,
4491,,306,technology,,machvision,taiwan,http://www.machvision.com.tw/,doll_0.08224 b,,1998,
4492,,70,technology,,inergy technology,taiwan,http://www.inergy.com.tw/,doll_0.02427 b,,2007,
4493,,84,health,,cerascreen,germany,https://www.cerascreen.de/,doll_0.0105 b,,2012,
4494,,52,retail,,firstphone,hungary,https://www.firstphone.hu/,doll_0.02084 b,,2013,
4495,,17,education,,canadian school of milan,italy,https://www.canadianschool.it,doll_0.0024 b,,2004,
4496,,8,retail,,itp technologie,france,https://www.itp-technologie.com/fr,doll_0.00831 b,,2013,
4497,,35,advertising,,docodoor,japan,http://docodoor.co.jp/,doll_0.00161 b,,2011,
4498,,30,financial services,,crowd bank,japan,https://crowdbank.jp/,doll_0.02061 b,,2014,
4499,,221,telecoms,,fibergate,japan,https://www.fibergate.co.jp/,doll_0.07953 b,,2000,
4500,,61,technology,,esco,singapore,https://www.esco.com.sg/,doll_0.027280000000000002 b,,1989,
4501,,55,advertising,,supple solutions,australia,https://supple.com.au/,doll_0.00523 b,,2012,
4502,,43,energy,,eqinov,france,https://www.eqinov.com/,doll_0.07018 b,,2011,
4503,,55,restaurants,,arte e passione,italy,https://www.artepassioneristorazione.it,doll_0.00229 b,,2016,
4504,,9,energy,,treesystem,italy,https://www.treesystem.it,doll_0.0031 b,,2010,
4505,,7,ecommerce,,letisan (rocketbaby),italy,https://www.rocketbaby.it/,doll_0.00232 b,,2014,
4506,,16,health,,delight room,south korea,https://www.delightroom.com/,doll_0.00475 b,,2013,
4507,,9,fintech,,triple a technologies,singapore,https://triple-a.io/,doll_0.00198 b,,2017,
4508,,13,energy,,saluran pasifik,malaysia,http://www.saluranpasifik.com/,doll_0.020149999999999998 b,,2005,
4509,,5048,industrial goods,,advantest,japan,https://www.advantest.com/,doll_0.0 b,,1954,
4510,,12,food & beverage,,serre famiglia pederiva viticoltori dal 1958,italy,https://proseccoserre.com/,doll_0.00902 b,,1996,
4511,,24,advertising,,dwd werbeagentur,germany,http://deutschewebdesign.de,doll_0.00188 b,,2014,
4512,,2,technology,,gt company,france,https://www.gtcompany.fr,doll_0.0019 b,,2013,
4513,,3,agricultural commodities,,santigado,portugal,not found,doll_0.0016699999999999998 b,,2015,
4514,,27,advertising,,hotglue,australia,https://www.hotglue.com.au/,doll_0.00522 b,,2010,
4515,,617,construction,,tuaman,india,http://tuaman.co.in/,doll_0.057659999999999996 b,,2005,
4516,,"3,188",technology,,nanofilm technologies international,singapore,https://www.nti-nanofilm.com/,doll_0.15825 b,,1999,
4517,,3500,food & beverage,,mega fishing corporation,philippines,https://megaglobal.com.ph/,doll_0.05634 b,,1975,
4518,,35,management consulting,,clicktrue,singapore,https://page.clicktrue.biz/,doll_0.0066 b,,2009,
4519,,170,ecommerce,,bloom & wild,uk,https://www.bloomandwild.com/,doll_0.1556 b,,2013,
4520,,56,technology,,messengerpeople,germany,https://www.messengerpeople.com,doll_0.010150000000000001 b,,2015,
4521,,3,technology,,osiway,france,https://www.osiway.com,doll_0.0024 b,,2014,
4522,,17,retail,,kombitex,germany,https://www.kombitex.com/,doll_0.00863 b,,2014,
4523,,"3,792",technology,,mastek,india,https://www.mastek.com/,doll_0.23237 b,,1982,
4524,,31,interiors,,aj2,singapore,https://www.tcb.com.sg/,doll_0.00411 b,,2014,
4525,,26,industrial goods,,mlion corporation,singapore,https://www.mlioncorp.com/,doll_0.06652 b,,2011,
4526,,187,technology,,polestar solutions,india,https://www.polestarllp.com/,doll_0.00379 b,,2012,
4527,,not found,batteries,,long time technology,taiwan,http://www.lttech.com.tw/,doll_0.01838 b,,2009,
4528,,1433,support services,,jac recruitment,japan,https://corp.jac-recruitment.jp/,doll_0.22216999999999998 b,,1975,
4529,,29,automobiles,,bräutigam,germany,https://www.braeutigam-gmbh.eu/de,doll_0.00632 b,,2016,
4530,,7,construction,,newil & bau,finland,https://newilbau.fi/en/,doll_0.019420000000000003 b,,2006,
4531,,18,support services,,soorce,germany,https://www.soorce.de,doll_0.00968 b,,2004,
4532,,25,financial services,,mint tower capital management,netherlands,https://www.minttowercapital.com,doll_0.0067 b,,2010,
4533,,381,health,,tower hamlets gp care group,united kingdom,https://www.gpcaregroup.org/section/387/home,doll_0.026719999999999997 b,,2014,
4534,,20,energy,,regen power,australia,https://regenpower.com/,doll_0.01543 b,,2003,
4535,,11,media,,rewind networks,singapore,https://www.rewindnetworks.com/,doll_0.00622 b,,2012,
4536,,not found,technology,,ma tek,taiwan,http://www.ma-tek.com/,doll_0.08218 b,,2009,
4537,,2214,personal & household goods,,jindal worldwide,india,http://www.jindaltextiles.com/,doll_0.28636 b,,1986,
4538,,not found,technology,,m31 technology,taiwan,http://www.m31tech.com/,doll_0.0281 b,,2011,
4539,,411,fintech,,id finance,spain,https://idfinance.com/es/,doll_0.10363 b,,2015,
4540,,24,retail,,wasserneutral,germany,https://www.wasserneutral-gmbh.de,doll_0.00562 b,,2014,
4541,,4,precious metals,,kiara bijoux,italy,https://www.kiarabijoux.com,doll_0.0063 b,,2012,
4542,,15,property,,defama deutsche fachmarkt,germany,https://www.defama.de/,doll_0.009089999999999999 b,,2014,
4543,,149,technology,,flect,japan,https://www.flect.co.jp/,doll_0.023969999999999998 b,,2005,
4544,,20,advertising,,v wonderland extension,south korea,http://www.v-w.co.kr/,doll_0.0017 b,,2006,
4545,,"1,026",technology,,dynacons,india,http://dynacons.com/,doll_0.05883 b,,1995,
4546,,12,beauty,,swagger,south korea,http://www.swagger.kr/,doll_0.0020099999999999996 b,,2011,
4547,,not found,technology,,kingstate,taiwan,https://www.kingstate.com.tw/,doll_0.10851000000000001 b,,1977,
4548,,471,retail,,valuence,japan,http://www.valuence.inc/,doll_0.34743999999999997 b,,2011,
4549,,600,health,,kry,sweden,https://kry.health/,doll_0.07776000000000001 b,,2014,
4550,,25,technology,,sixth sense,italy,https://sixth-sense.ai/,doll_0.00392 b,,2015,
4551,,15,energy,,dall energy,denmark,https://dallenergy.com,doll_0.00375 b,,2007,
4552,,8,telecoms,,syntelix avances tecnológicos,spain,https://www.syntelix.net,doll_0.0016 b,,2014,
4553,,248,food & beverage,,etno cafe,poland,https://etnocafe.com/,doll_0.00491 b,,2012,
4554,,90,games industry,,lockwood publishing,united kingdom,https://www.lockwoodpublishing.com/,doll_0.02034 b,,2007,
4555,,12,advertising,,tpmn,south korea,http://www.tpmn.io/,doll_0.00743 b,,2013,
4556,,352,support services,,d&v philippines,philippines,https://www.dvphilippines.com/,doll_0.00713 b,,2012,
4557,,28,transport,,trukky,india,https://www.trukky.com/,doll_0.0019199999999999998 b,,2015,
4558,,60,technology,,yield microelectronic,taiwan,http://www.ymc.com.tw/,doll_0.00432 b,,1990,
4559,,64,technology,,property data bank,japan,http://www.propertydbk.com/,doll_0.01695 b,,2000,
4560,,118,health,,icares medicus,taiwan,https://www.icaresmedicus.com/,doll_0.013560000000000001 b,,2011,
4561,,19,cyber security,,nethive,italy,https://www.nethive.it/,doll_0.00396 b,,2014,
4562,,8,financial services,,latitude investment management,uk,https://www.latitudeim.com/,doll_0.00175 b,,2016,
4563,,31,media,,performance54,uk,http://www.performance54.com,doll_0.01445 b,,2015,
4564,,14,support services,,iso recruiting consultants,germany,https://www.iso-gruppe.com,doll_0.0078 b,,2013,
4565,,94,telecoms,,plan communications holding,united kingdom,https://www.plan.com/,doll_0.0541 b,,2015,
4566,,121,technology,,maruti techlabs,india,https://marutitech.com/,doll_0.00265 b,,2009,
4567,,55,support services,,transact,japan,https://transact.co.jp/,doll_0.00333 b,,2013,
4568,,32,technology,,source central,australia,https://www.sourcecentral.com.au/,doll_0.010490000000000001 b,,2005,
4569,,9300,technology,,lotes,taiwan,https://www.lotes.cc/,doll_0.48789 b,,1986,
4570,,not found,beauty,,shiny brands,taiwan,https://www.shinybrands.com/,doll_0.03334 b,,2009,
4571,,68,fintech,,qred,sweden,https://qred.com/,doll_0.03041 b,,2015,
4572,,55,technology,,oculavis,germany,https://www.oculavis.de/,doll_0.00392 b,,2016,
4573,,347,fintech,,iutecredit europe,estonia,https://iutecredit.com,doll_0.05078 b,,2008,
4574,,2,construction,,mpfinance,italy,https://www.mpfinance.it,doll_0.004 b,,2012,
4575,,28,retail,,roberto demeglio,italy,https://www.robertodemeglio.it,doll_0.008 b,,2014,
4576,,15,industrial goods,,am-lagertechnik,germany,https://www.am-lagertechnik.de,doll_0.0273 b,,2011,
4577,,37,telecoms,,globalwork,italy,https://www.global-work.it/,doll_0.00229 b,,2011,
4578,,318,health,,oasis fertility,india,https://www.oasisindia.in/,doll_0.0092 b,,2009,
4579,,200,food & beverage,,jayshree grain,india,file:///users/chris.campbell/downloads/na,doll_0.02002 b,,2014,
4580,,40,cyber security,,logpresso,south korea,https://www.logpresso.com/,doll_0.00298 b,,2013,
4581,,13500,support services,,world class services,india,http://www.wcspl.org/,doll_0.033659999999999995 b,,2011,
4582,,19237,financial services,,sacombank,vietnam,https://www.sacombank.com.vn/,doll_0.0 b,,1991,
4583,,23,pharmaceuticals,,del trade international,india,http://www.deltrade.in/,doll_0.04102 b,,2010,
4584,,30,technology,,the information lab,italy,https://www.theinformationlab.it/,doll_0.00425 b,,2015,
4585,,10,construction,,md sonnenschutztechnik,germany,https://www.rollladenbau-markisen.de/,doll_0.004070000000000001 b,,2015,
4586,,115,ecommerce,,everli,italy,https://it.everli.com,doll_0.029 b,,2014,
4587,,27,advertising,,"dms gmbh, druckerei, werbung und marketing",germany,https://www.druck-media-service.com,doll_0.014 b,,2013,
4588,,45,telecoms,,elettro tlc,italy,https://www.elettrotlc.it,doll_0.0092 b,,2014,
4589,,21,telecoms,,parlem telecom ,spain,https://parlem.com/,doll_0.00571 b,,2012,
4590,,295,technology,,anteco systems (anytech365),spain,https://anytech365.com/,doll_0.010060000000000001 b,,2014,
4591,,"3,238",support services,,indegene,india,https://www.indegene.com/,doll_0.13040000000000002 b,,1998,
4592,,232,telecoms,,pt&t,philippines,https://www.ptt.com.ph/,doll_0.008230000000000001 b,,1962,
4593,,554,health,,chsi,philippines,http://chsiphil.com/,doll_0.005679999999999999 b,,2005,
4594,,322,retail,,gseven,taiwan,https://www.gseven.com.tw/,doll_0.07693000000000001 b,,1994,
4595,,37,health,,lac medical supplies,malaysia,http://www.lacmedical.com/,doll_0.01067 b,,2003,
4596,,45,financial services,,mackay goodwin,australia,https://www.mackaygoodwin.com.au/,doll_0.00477 b,,2004,
4597,,43,technology,,syntio,croatia,https://www.syntio.net/,doll_0.00213 b,,2017,
4598,,125,technology,,hexonia,germany,https://www.hexonia.de,doll_0.0466 b,,2005,
4599,,224,fintech,,iwoca,united kingdom,https://www.iwoca.co.uk,doll_0.0294 b,,2011,
4600,,not found,technology,,xtream codes,bulgaria,https://www.xtream-codes.com/,doll_0.00302 b,,2015,
4601,,58,technology,,mobile wave solutions,bulgaria,https://mobilewaves.com/,doll_0.00272 b,,2014,
4602,,471,technology,,tpisoftware corporation,taiwan,https://www.tpisoftware.com/,doll_0.01448 b,,2005,
4603,,18,retail,,re blast,japan,https://www.re-blast.com/,doll_0.00256 b,,2011,
4604,,7,retail,,sin chwee mini mart,singapore,https://www.tankfullyfresh.com/,doll_0.00121 b,,1990,
4605,,38510,financial services,,bdo unibank,philippines,https://www.bdo.com.ph/,doll_0.0 b,,1967,
4606,,582,management consulting,,nihon m&a center,japan,https://www.nihon-ma.co.jp/,doll_0.29423 b,,1991,
4607,,429,fintech,,lendi,australia,https://www.lendi.com.au/,doll_0.02609 b,,2013,
4608,,13,financial services,,bomae,denmark,https://www.bomae.dk/,doll_0.00166 b,,2016,
4609,,12,property,,crest investment,germany,https://crest-investment.com,doll_0.00196 b,,2016,
4610,,24,technology,,agrivi d.o.o.,croatia,https://www.agrivi.com,doll_0.00157 b,,2013,
4611,,42,support services,,motius,germany,https://www.motius.de,doll_0.0021000000000000003 b,,2013,
