00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_32.026 m,doll_15.046 m,doll_47.072 m,doll_35.355 m,"34,022 million usd"
doll_11.357 m,doll_7.398 m,doll_18.756 m,doll_9.955 m,"19,445 million usd"
,,,doll_17.000 m,"16,046 million usd"
doll_17.463 m,doll_6.178 m,doll_23.641 m,doll_10.958 m,"10,958 million usd"
,,,doll_91.686 m,"7,776 million usd"
doll_148.360 m,doll_17.948 m,doll_166.310 m,doll_6.835 m,"17,108 million usd"
doll_13.768 m,doll_14.577 m,doll_28.346 m,doll_10.493 m,"67,044 million usd"
doll_211.810 m,doll_75.463 m,doll_287.270 m,doll_157.740 m,"27,708 million usd"
doll_208.520 m,doll_48.519 m,doll_257.040 m,doll_136.340 m,"136,340 million usd"
doll_13.182 m,doll_15.754 m,doll_28.936 m,doll_27.708 m,"157,740 million usd"
doll_39.914 m,doll_10.959 m,doll_50.873 m,doll_67.044 m,"10,493 million usd"
doll_19.754 m,doll_14.877 m,doll_34.631 m,doll_17.108 m,"6,835 million usd"
doll_9.357 m,doll_4.543 m,doll_13.900 m,doll_7.776 m,"91,686 million usd"
,,,doll_47.600 m,"19,135 million usd"
,,,doll_212.870 m,"46,634 million usd"
doll_41.129 m,doll_-1.606 m,doll_39.523 m,doll_21.111 m,"17,227 million usd"
doll_1.600 m,doll_5.049 m,doll_6.649 m,doll_1.219 m,"28,720 million usd"
doll_263.320 m,doll_47.032 m,doll_310.350 m,doll_119.890 m,"31,453 million usd"
doll_27.873 m,doll_15.170 m,doll_43.042 m,doll_31.453 m,"119,890 million usd"
doll_38.823 m,doll_28.269 m,doll_67.092 m,doll_28.720 m,"1,219 million usd"
doll_10.917 m,doll_6.278 m,doll_17.195 m,doll_17.227 m,"21,111 million usd"
doll_36.878 m,doll_48.036 m,doll_84.915 m,doll_46.634 m,"212,870 million usd"
doll_412.670 m,doll_54.010 m,doll_466.680 m,doll_19.135 m,"47,600 million usd"
doll_46.883 m,doll_21.069 m,doll_67.952 m,doll_27.305 m,0 million usd
,,,doll_203.830 m,"22,721 million usd"
doll_91.976 m,doll_87.835 m,doll_179.810 m,doll_33.620 m,"127,000 million usd"
doll_108.110 m,doll_39.010 m,doll_147.120 m,doll_88.744 m,"114,700 million usd"
doll_344.650 m,doll_46.355 m,doll_391.000 m,doll_75.731 m,"20,955 million usd"
doll_7.642 m,doll_10.043 m,doll_17.685 m,doll_20.955 m,"75,731 million usd"
,,,doll_114.700 m,"88,744 million usd"
doll_184.970 m,doll_59.744 m,doll_244.720 m,doll_127.000 m,"33,620 million usd"
doll_518.370 m,doll_54.918 m,doll_573.280 m,doll_22.721 m,"203,830 million usd"
doll_2.773.200 m,doll_129.910 m,doll_2.903.200 m,0 million usd,"27,305 million usd"
doll_4.775 m,doll_2.561 m,doll_7.336 m,doll_18.471 m,"21,842 million usd"
doll_471.970 m,doll_69.271 m,doll_541.240 m,doll_22.259 m,"48,549 million usd"
doll_20.604 m,doll_18.168 m,doll_38.772 m,doll_11.564 m,"7,318 million usd"
doll_3.994 m,doll_9.829 m,doll_13.824 m,doll_14.622 m,"23,771 million usd"
doll_855.050 m,doll_56.051 m,doll_911.100 m,doll_23.771 m,"14,622 million usd"
doll_14.329 m,doll_37.992 m,doll_52.322 m,doll_7.318 m,"11,564 million usd"
doll_22.458 m,doll_6.003 m,doll_28.461 m,doll_48.549 m,"22,259 million usd"
doll_26.715 m,doll_38.775 m,doll_65.490 m,doll_21.842 m,"18,471 million usd"
doll_2.273 m,doll_12.267 m,doll_14.540 m,doll_7.774 m,"40,963 million usd"
doll_140.340 m,doll_59.714 m,doll_200.050 m,doll_40.963 m,"7,774 million usd"
,,,doll_16.080 m,"49,966 million usd"
doll_31.773 m,doll_9.422 m,doll_41.196 m,doll_22.577 m,"19,944 million usd"
doll_27.041 m,doll_13.490 m,doll_40.531 m,doll_12.522 m,"43,000 million usd"
doll_319.740 m,doll_50.747 m,doll_370.490 m,0 million usd,"19,915 million usd"
doll_30.782 m,doll_8.258 m,doll_39.040 m,doll_6.340 m,"25,714 million usd"
doll_27.903 m,doll_23.651 m,doll_51.555 m,doll_25.714 m,"6,340 million usd"
doll_20.893 m,doll_20.623 m,doll_41.516 m,doll_19.915 m,0 million usd
,,,doll_43.000 m,"12,522 million usd"
doll_18.229 m,doll_2.437 m,doll_20.666 m,doll_19.944 m,"22,577 million usd"
doll_36.835 m,doll_19.620 m,doll_56.455 m,doll_49.966 m,"16,080 million usd"
,,,doll_85.803 m,"19,820 million usd"
doll_200.520 m,doll_43.251 m,doll_243.770 m,,"38,100 million usd"
doll_120.290 m,doll_49.296 m,doll_169.590 m,doll_25.097 m,"37,600 million usd"
doll_24.316 m,doll_14.458 m,doll_38.774 m,doll_17.455 m,"45,399 million usd"
doll_169.380 m,doll_27.399 m,doll_196.780 m,doll_4.689 m,"19,833 million usd"
doll_28.478 m,doll_17.673 m,doll_46.151 m,doll_19.833 m,"4,689 million usd"
doll_261.500 m,doll_85.432 m,doll_346.930 m,doll_45.399 m,"17,455 million usd"
doll_86.301 m,doll_48.588 m,doll_134.890 m,doll_37.600 m,"25,097 million usd"
,,,doll_38.100 m,
doll_23.379 m,doll_11.009 m,doll_34.388 m,doll_19.820 m,"85,803 million usd"
doll_11.857 m,doll_71.674 m,doll_83.532 m,doll_5.459 m,"94,862 million usd"
doll_141.760 m,doll_133.160 m,doll_274.930 m,doll_398.860 m,"31,817 million usd"
doll_7.250 m,doll_7.101 m,doll_14.352 m,doll_11.646 m,"8,098 million usd"
doll_51.675 m,-933 million usd,doll_50.742 m,doll_58.752 m,"38,535 million usd"
,,,doll_12.184 m,"90,085 million usd"
doll_49.100 m,doll_20.979 m,doll_70.078 m,doll_90.085 m,"12,184 million usd"
doll_2.809.900 m,doll_137.780 m,doll_2.947.700 m,doll_38.535 m,"58,752 million usd"
doll_20.122 m,doll_27.691 m,doll_47.813 m,doll_8.098 m,"11,646 million usd"
