00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
135 million usd,602 million usd,737 million usd,29 million usd,734 million usd
,,,,391 million usd
doll_4.089 m,doll_2.330 m,doll_6.419 m,doll_2.197 m,214 million usd
,,,,"1,338 million usd"
,,,,"1,503 million usd"
,,,,0 million usd
doll_1.482 m,492 million usd,doll_1.974 m,doll_1.503 m,0 million usd
doll_6.787 m,doll_3.240 m,doll_10.027 m,doll_1.338 m,
98 million usd,128 million usd,227 million usd,214 million usd,
doll_2.556 m,doll_1.626 m,doll_4.182 m,391 million usd,
335 million usd,380 million usd,715 million usd,734 million usd,"17,810 million usd"
,,,,
3 million usd,doll_2.043 m,doll_2.046 m,436 million usd,524 million usd
379 million usd,doll_2.958 m,doll_3.416 m,239 million usd,"1,267 million usd"
doll_8.728 m,doll_3.621 m,doll_12.349 m,doll_2.757 m,
108 million usd,doll_1.275 m,doll_1.383 m,0 million usd,
,,,,492 million usd
,,,524 million usd,204 million usd
doll_1.462 m,doll_2.320 m,doll_3.782 m,doll_1.267 m,
,,,,
doll_4.706 m,963 million usd,doll_5.669 m,doll_17.810 m,302 million usd
,,,,909 million usd
,,,,"6,234 million usd"
,,,,
109 million usd,doll_1.276 m,doll_1.385 m,0 million usd,"1,274 million usd"
,,,,106 million usd
622 million usd,0 million usd,doll_1.378 m,doll_1.274 m,
,,,,
doll_1.097 m,doll_1.917 m,doll_3.015 m,doll_6.234 m,606 million usd
doll_2.039 m,326 million usd,doll_2.366 m,909 million usd,
,,,302 million usd,
,,,,
,,,,591 million usd
1 million usd,doll_1.227 m,doll_1.229 m,204 million usd,715 million usd
555 million usd,535 million usd,doll_1.090 m,492 million usd,632 million usd
301 million usd,830 million usd,doll_1.131 m,106 million usd,616 million usd
doll_2.189 m,578 million usd,doll_2.767 m,632 million usd,
757 million usd,624 million usd,doll_1.381 m,715 million usd,24 million usd
doll_54.961 m,doll_3.424 m,doll_58.385 m,591 million usd,
,,,,"2,010 million usd"
,,,,440 million usd
,,,,
197 million usd,363 million usd,560 million usd,606 million usd,"3,347 million usd"
,,,,287 million usd
,,,,"1,923 million usd"
728 million usd,526 million usd,doll_1.254 m,616 million usd,"11,540 million usd"
doll_1.337 m,556 million usd,doll_1.894 m,doll_1.923 m,0 million usd
162 million usd,205 million usd,368 million usd,287 million usd,
doll_1.205 m,416 million usd,doll_1.621 m,doll_3.347 m,173 million usd
,,,,
366 million usd,396 million usd,763 million usd,440 million usd,
doll_2.700 m,doll_1.027 m,doll_3.727 m,doll_2.010 m,"2,171 million usd"
,,,,385 million usd
11 million usd,126 million usd,137 million usd,24 million usd,
,,,,"1,161 million usd"
doll_35.762 m,doll_3.746 m,doll_39.508 m,doll_11.540 m,"4,563 million usd"
643 million usd,615 million usd,doll_1.259 m,doll_1.161 m,197 million usd
,,,,10 million usd
292 million usd,320 million usd,612 million usd,385 million usd,931 million usd
doll_14.039 m,doll_2.004 m,doll_16.043 m,doll_2.171 m,303 million usd
,,,,
,,,,686 million usd
94 million usd,143 million usd,237 million usd,173 million usd,147 million usd
,,,,
179 million usd,343 million usd,523 million usd,0 million usd,"1,652 million usd"
doll_1.379 m,902 million usd,doll_2.280 m,doll_4.563 m,
399 million usd,doll_1.529 m,doll_1.929 m,doll_1.652 m,27 million usd
,,,,219 million usd
102 million usd,385 million usd,488 million usd,147 million usd,"3,432 million usd"
403 million usd,126 million usd,529 million usd,686 million usd,864 million usd
178 million usd,73 million usd,251 million usd,303 million usd,
,,,,361 million usd
doll_5.771 m,600 million usd,doll_6.371 m,931 million usd,
46 million usd,586 million usd,631 million usd,10 million usd,104 million usd
184 million usd,101 million usd,286 million usd,197 million usd,"1,199 million usd"
,,,,"1,241 million usd"
870 million usd,doll_1.053 m,doll_1.923 m,doll_1.199 m,122 million usd
81 million usd,164 million usd,246 million usd,104 million usd,
,,,,"17,808 million usd"
803 million usd,doll_1.870 m,doll_2.673 m,361 million usd,239 million usd
,,,,54 million usd
314 million usd,848 million usd,doll_1.163 m,864 million usd,"1,874 million usd"
doll_1.339 m,doll_1.819 m,doll_3.157 m,doll_3.432 m,723 million usd
772 million usd,913 million usd,doll_1.685 m,219 million usd,
47 million usd,300 million usd,347 million usd,27 million usd,
doll_98.493 m,doll_4.900 m,doll_103.390 m,doll_1.241 m,
,,,,"2,283 million usd"
,,,,
992 million usd,doll_2.798 m,doll_3.791 m,723 million usd,489 million usd
677 million usd,doll_1.531 m,doll_2.208 m,doll_1.874 m,
134 million usd,127 million usd,260 million usd,54 million usd,"2,843 million usd"
543 million usd,437 million usd,980 million usd,239 million usd,
doll_9.883 m,doll_4.261 m,doll_14.145 m,doll_17.808 m,
,,,,
872 million usd,843 million usd,doll_1.715 m,122 million usd,"1,139 million usd"
,,,,332 million usd
306 million usd,241 million usd,548 million usd,doll_1.139 m,
,,,,6 million usd
,,,,397 million usd
,,,,327 million usd
doll_4.681 m,527 million usd,doll_5.208 m,doll_2.843 m,"1,154 million usd"
,,,,
278 million usd,366 million usd,644 million usd,489 million usd,887 million usd
,,,,219 million usd
doll_4.687 m,doll_1.970 m,doll_6.658 m,doll_2.283 m,
174 million usd,128 million usd,303 million usd,332 million usd,"21,355 million usd"
,,,,"3,236 million usd"
870 million usd,doll_1.038 m,doll_1.908 m,219 million usd,442 million usd
doll_1.459 m,doll_1.585 m,doll_3.043 m,887 million usd,
,,,,183 million usd
839 million usd,608 million usd,doll_1.448 m,doll_1.154 m,
84 million usd,605 million usd,689 million usd,327 million usd,522 million usd
195 million usd,234 million usd,430 million usd,397 million usd,"1,142 million usd"
160 million usd,369 million usd,530 million usd,6 million usd,
,,,,"1,151 million usd"
doll_9.907 m,757 million usd,doll_10.664 m,doll_21.355 m,101 million usd
doll_2.019 m,doll_1.118 m,doll_3.136 m,doll_1.151 m,"2,545 million usd"
,,,,
449 million usd,507 million usd,957 million usd,doll_1.142 m,
377 million usd,425 million usd,803 million usd,522 million usd,
,,,,277 million usd
23 million usd,82 million usd,105 million usd,183 million usd,
,,,,0 million usd
113 million usd,372 million usd,485 million usd,442 million usd,
820 million usd,960 million usd,doll_1.779 m,doll_3.236 m,"2,642 million usd"
508 million usd,doll_1.026 m,doll_1.534 m,101 million usd,
doll_96.388 m,doll_8.373 m,doll_104.760 m,doll_2.642 m,289 million usd
,,,,
5 million usd,125 million usd,129 million usd,0 million usd,"3,511 million usd"
,,,,577 million usd
61 million usd,271 million usd,332 million usd,277 million usd,161 million usd
,,,,824 million usd
,,,,
,,,,
doll_1.903 m,doll_2.026 m,doll_3.930 m,doll_2.545 m,343 million usd
,,,,506 million usd
doll_9.724 m,doll_1.615 m,doll_11.339 m,343 million usd,"1,183 million usd"
,,,,"1,183 million usd"
,,,,"2,184 million usd"
271 million usd,285 million usd,556 million usd,824 million usd,"1,251 million usd"
38 million usd,191 million usd,229 million usd,161 million usd,915 million usd
166 million usd,doll_2.047 m,doll_2.213 m,577 million usd,
,,,doll_3.511 m,266 million usd
,,,,837 million usd
332 million usd,217 million usd,549 million usd,289 million usd,171 million usd
doll_1.176 m,637 million usd,doll_1.813 m,506 million usd,
doll_1.730 m,doll_2.265 m,doll_3.995 m,171 million usd,403 million usd
303 million usd,999 million usd,doll_1.302 m,837 million usd,385 million usd
doll_1.074 m,120 million usd,doll_1.195 m,266 million usd,"4,987 million usd"
,,,,"4,154 million usd"
doll_57.011 m,doll_5.340 m,doll_62.351 m,915 million usd,
doll_12.576 m,doll_1.807 m,doll_14.383 m,doll_1.251 m,
687 million usd,doll_1.139 m,doll_1.826 m,doll_2.184 m,"5,826 million usd"
doll_9.933 m,doll_3.043 m,doll_12.976 m,doll_1.183 m,
804 million usd,638 million usd,doll_1.443 m,doll_1.183 m,
,,,,"1,916 million usd"
,,,,"1,323 million usd"
,,,,971 million usd
doll_2.180 m,221 million usd,doll_2.401 m,doll_5.826 m,263 million usd
,,,,"5,265 million usd"
,,,,
doll_2.032 m,529 million usd,doll_2.561 m,doll_4.154 m,228 million usd
doll_1.035 m,983 million usd,doll_2.018 m,doll_4.987 m,
doll_8.435 m,doll_1.109 m,doll_9.545 m,385 million usd,"1,097 million usd"
doll_11.540 m,doll_1.319 m,doll_12.859 m,403 million usd,136 million usd
doll_1.866 m,307 million usd,doll_2.173 m,doll_1.916 m,557 million usd
26 million usd,doll_1.681 m,doll_1.707 m,136 million usd,
256 million usd,654 million usd,911 million usd,doll_1.097 m,
,,,,173 million usd
136 million usd,239 million usd,375 million usd,228 million usd,
,,,,"2,442 million usd"
doll_4.216 m,doll_1.970 m,doll_6.186 m,doll_5.265 m,
415 million usd,doll_1.424 m,doll_1.839 m,263 million usd,439 million usd
410 million usd,217 million usd,627 million usd,971 million usd,116 million usd
607 million usd,957 million usd,doll_1.564 m,doll_1.323 m,552 million usd
doll_25.633 m,doll_2.176 m,doll_27.809 m,557 million usd,623 million usd
138 million usd,216 million usd,356 million usd,552 million usd,131 million usd
58 million usd,129 million usd,188 million usd,116 million usd,
816 million usd,222 million usd,doll_1.039 m,439 million usd,"1,714 million usd"
,,,,"4,938 million usd"
doll_8.030 m,doll_1.589 m,doll_9.619 m,doll_2.442 m,
,,,,392 million usd
,,,173 million usd,200 million usd
,,,,467 million usd
,,,,386 million usd
889 million usd,486 million usd,doll_1.376 m,623 million usd,
654 million usd,doll_1.295 m,doll_1.948 m,386 million usd,"2,248 million usd"
383 million usd,397 million usd,780 million usd,467 million usd,
doll_8.388 m,doll_1.242 m,doll_9.631 m,200 million usd,
182 million usd,312 million usd,494 million usd,392 million usd,
,,,,"2,537 million usd"
doll_16.104 m,doll_10.369 m,doll_26.473 m,doll_4.938 m,
351 million usd,322 million usd,672 million usd,doll_1.714 m,
,,,,
doll_1.227 m,doll_1.168 m,doll_2.396 m,131 million usd,
,,,,
,,,,
,,,,
,,,,234 million usd
,,,,253 million usd
doll_1.810 m,330 million usd,doll_2.139 m,doll_2.537 m,"2,975 million usd"
,,,,
,,,,
,,,,303 million usd
doll_1.570 m,doll_1.455 m,doll_3.025 m,doll_2.248 m,"3,865 million usd"
,,,,"3,745 million usd"
doll_2.650 m,doll_2.663 m,doll_5.314 m,doll_3.865 m,
59 million usd,293 million usd,352 million usd,303 million usd,
,,,,476 million usd
,,,,"1,957 million usd"
doll_2.057 m,doll_1.087 m,doll_3.144 m,doll_2.975 m,
168 million usd,435 million usd,604 million usd,253 million usd,746 million usd
301 million usd,810 million usd,doll_1.112 m,234 million usd,"5,469 million usd"
,,,,
,,,,"1,005 million usd"
doll_1.615 m,doll_1.624 m,doll_3.239 m,doll_3.745 m,187 million usd
239 million usd,303 million usd,542 million usd,doll_1.005 m,
,,,,744 million usd
doll_18.867 m,doll_5.381 m,doll_24.248 m,doll_5.469 m,
doll_3.323 m,781 million usd,doll_4.104 m,746 million usd,134 million usd
,,,,377 million usd
doll_10.532 m,doll_1.706 m,doll_12.238 m,doll_1.957 m,0 million usd
doll_10.312 m,508 million usd,doll_10.820 m,476 million usd,
,,,,"1,257 million usd"
,,,,151 million usd
733 million usd,169 million usd,902 million usd,187 million usd,"1,495 million usd"
308 million usd,686 million usd,995 million usd,151 million usd,362 million usd
doll_2.951 m,doll_6.802 m,doll_9.754 m,doll_1.257 m,692 million usd
,,,,
28 million usd,360 million usd,389 million usd,0 million usd,159 million usd
93 million usd,459 million usd,552 million usd,377 million usd,259 million usd
,,,134 million usd,
,,,,"1,186 million usd"
330 million usd,doll_1.263 m,doll_1.594 m,744 million usd,"2,585 million usd"
,,,,265 million usd
doll_7.598 m,doll_1.555 m,doll_9.153 m,doll_1.495 m,450 million usd
,,,265 million usd,827 million usd
doll_11.069 m,doll_2.774 m,doll_13.844 m,doll_2.585 m,"1,332 million usd"
598 million usd,525 million usd,doll_1.122 m,doll_1.186 m,370 million usd
,,,,214 million usd
240 million usd,811 million usd,doll_1.052 m,259 million usd,
70 million usd,94 million usd,164 million usd,159 million usd,
,,,,184 million usd
549 million usd,767 million usd,doll_1.316 m,692 million usd,"2,148 million usd"
427 million usd,261 million usd,689 million usd,362 million usd,0 million usd
doll_34.430 m,doll_2.490 m,doll_36.921 m,450 million usd,
32 million usd,593 million usd,626 million usd,0 million usd,"1,501 million usd"
doll_1.383 m,doll_1.077 m,doll_2.461 m,doll_2.148 m,
313 million usd,393 million usd,707 million usd,184 million usd,
,,,,"9,030 million usd"
,,,,
doll_6.633 m,827 million usd,doll_7.461 m,214 million usd,"2,622 million usd"
115 million usd,234 million usd,350 million usd,370 million usd,"3,344 million usd"
393 million usd,doll_1.645 m,doll_2.037 m,doll_1.332 m,"1,075 million usd"
doll_3.886 m,325 million usd,doll_4.211 m,827 million usd,"1,578 million usd"
,,,,
667 million usd,doll_1.135 m,doll_1.802 m,doll_1.578 m,660 million usd
493 million usd,704 million usd,doll_1.197 m,doll_1.075 m,"12,368 million usd"
doll_2.244 m,doll_1.166 m,doll_3.410 m,doll_3.344 m,584 million usd
doll_1.729 m,692 million usd,doll_2.422 m,doll_2.622 m,"1,461 million usd"
doll_11.201 m,doll_6.161 m,doll_17.361 m,doll_9.030 m,"2,356 million usd"
,,,,
,,,,"1,244 million usd"
,,,,"1,692 million usd"
doll_1.025 m,318 million usd,doll_1.344 m,doll_1.501 m,
,,,,303 million usd
,,,,
doll_1.592 m,453 million usd,doll_2.045 m,doll_1.692 m,
doll_1.788 m,743 million usd,doll_2.531 m,doll_1.244 m,675 million usd
,,,,"1,062 million usd"
doll_1.112 m,819 million usd,doll_1.932 m,doll_2.356 m,490 million usd
doll_2.069 m,706 million usd,doll_2.774 m,doll_1.461 m,152 million usd
501 million usd,-118 million usd,383 million usd,584 million usd,
doll_16.027 m,-810 million usd,doll_15.217 m,doll_12.368 m,462 million usd
doll_1.704 m,doll_2.473 m,doll_4.177 m,660 million usd,0 million usd
doll_1.261 m,doll_1.649 m,doll_2.910 m,303 million usd,
62 million usd,436 million usd,499 million usd,0 million usd,"2,122 million usd"
249 million usd,doll_1.023 m,doll_1.272 m,462 million usd,
,,,,290 million usd
91 million usd,344 million usd,436 million usd,152 million usd,921 million usd
652 million usd,412 million usd,doll_1.065 m,490 million usd,31 million usd
doll_1.777 m,303 million usd,doll_2.080 m,doll_1.062 m,"4,622 million usd"
617 million usd,251 million usd,869 million usd,675 million usd,535 million usd
,,,,"2,973 million usd"
,,,,"3,107 million usd"
,,,,
809 million usd,699 million usd,doll_1.508 m,doll_3.107 m,"7,625 million usd"
doll_5.463 m,522 million usd,doll_5.985 m,doll_2.973 m,612 million usd
235 million usd,527 million usd,762 million usd,535 million usd,"4,674 million usd"
doll_2.830 m,doll_1.825 m,doll_4.655 m,doll_4.622 m,
71 million usd,111 million usd,182 million usd,31 million usd,629 million usd
401 million usd,doll_1.130 m,doll_1.531 m,921 million usd,579 million usd
70 million usd,165 million usd,235 million usd,290 million usd,"1,642 million usd"
,,,,458 million usd
567 million usd,509 million usd,doll_1.076 m,doll_2.122 m,
,,,,"2,212 million usd"
,,,,
306 million usd,90 million usd,397 million usd,458 million usd,
492 million usd,doll_1.152 m,doll_1.644 m,doll_1.642 m,176 million usd
873 million usd,815 million usd,doll_1.689 m,579 million usd,"1,479 million usd"
doll_10.653 m,doll_1.416 m,doll_12.069 m,629 million usd,418 million usd
,,,,249 million usd
doll_14.014 m,959 million usd,doll_14.973 m,doll_4.674 m,
doll_3.958 m,doll_3.128 m,doll_7.086 m,612 million usd,249 million usd
doll_6.352 m,doll_9.857 m,doll_16.210 m,doll_7.625 m,472 million usd
doll_1.148 m,421 million usd,doll_1.569 m,doll_2.212 m,
,,,472 million usd,
149 million usd,754 million usd,903 million usd,249 million usd,
,,,,"9,877 million usd"
106 million usd,606 million usd,712 million usd,249 million usd,
353 million usd,613 million usd,966 million usd,418 million usd,"1,237 million usd"
doll_4.525 m,doll_-1.740 m,doll_2.785 m,doll_1.479 m,"1,836 million usd"
161 million usd,336 million usd,497 million usd,176 million usd,497 million usd
,,,,265 million usd
,,,,
,,,,
,,,,562 million usd
161 million usd,512 million usd,674 million usd,265 million usd,801 million usd
359 million usd,doll_1.637 m,doll_1.996 m,497 million usd,"2,577 million usd"
doll_1.601 m,doll_1.330 m,doll_2.932 m,doll_1.836 m,
772 million usd,457 million usd,doll_1.229 m,doll_1.237 m,
,,,,32 million usd
doll_13.100 m,doll_6.356 m,doll_19.455 m,doll_9.877 m,"11,093 million usd"
,,,,0 million usd
,,,,145 million usd
,,,,"1,660 million usd"
302 million usd,176 million usd,479 million usd,145 million usd,496 million usd
44 million usd,456 million usd,501 million usd,0 million usd,"1,378 million usd"
doll_45.939 m,doll_12.058 m,doll_57.997 m,doll_11.093 m,372 million usd
,,,32 million usd,374 million usd
,,,,
,,,,122 million usd
doll_8.366 m,doll_2.336 m,doll_10.702 m,doll_2.577 m,
doll_1.560 m,607 million usd,doll_2.168 m,801 million usd,782 million usd
415 million usd,859 million usd,doll_1.274 m,562 million usd,
doll_1.792 m,doll_2.193 m,doll_3.985 m,doll_1.660 m,749 million usd
,,,,521 million usd
265 million usd,330 million usd,595 million usd,782 million usd,
,,,,"6,850 million usd"
383 million usd,594 million usd,978 million usd,122 million usd,
,,,,
206 million usd,381 million usd,587 million usd,374 million usd,
249 million usd,244 million usd,494 million usd,372 million usd,445 million usd
829 million usd,767 million usd,doll_1.597 m,doll_1.378 m,142 million usd
doll_4.394 m,doll_1.183 m,doll_5.577 m,496 million usd,341 million usd
doll_2.464 m,doll_1.652 m,doll_4.117 m,749 million usd,646 million usd
722 million usd,968 million usd,doll_1.691 m,341 million usd,155 million usd
doll_1.056 m,962 million usd,doll_2.018 m,142 million usd,"3,616 million usd"
305 million usd,608 million usd,914 million usd,445 million usd,
,,,,
,,,,
,,,,
doll_1.802 m,635 million usd,doll_2.438 m,doll_6.850 m,
,,,,
,,,521 million usd,"3,783 million usd"
,,,646 million usd,"19,833 million usd"
doll_1.452 m,558 million usd,doll_2.011 m,doll_3.783 m,250 million usd
,,,,"1,992 million usd"
,,,,560 million usd
,,,,
,,,,"1,231 million usd"
,,,,514 million usd
,,,,201 million usd
doll_1.295 m,doll_2.142 m,doll_3.437 m,doll_3.616 m,
doll_1.034 m,doll_1.111 m,doll_2.145 m,155 million usd,261 million usd
doll_9.952 m,doll_1.815 m,doll_11.768 m,doll_19.833 m,315 million usd
doll_3.701 m,doll_2.431 m,doll_6.133 m,261 million usd,
,,,,
918 million usd,doll_1.021 m,doll_1.940 m,201 million usd,
393 million usd,222 million usd,615 million usd,514 million usd,
600 million usd,doll_1.084 m,doll_1.685 m,doll_1.231 m,
,,,,
doll_2.452 m,doll_3.042 m,doll_5.495 m,560 million usd,734 million usd
523 million usd,doll_1.646 m,doll_2.169 m,doll_1.992 m,0 million usd
41 million usd,doll_1.591 m,doll_1.632 m,250 million usd,126 million usd
,,,,643 million usd
doll_6.190 m,652 million usd,doll_6.843 m,315 million usd,955 million usd
88 million usd,50 million usd,139 million usd,126 million usd,"9,103 million usd"
26 million usd,357 million usd,384 million usd,0 million usd,188 million usd
doll_4.770 m,doll_1.154 m,doll_5.923 m,734 million usd,
,,,,"5,554 million usd"
,,,,
,,,,
,,,,
,,,,964 million usd
188 million usd,688 million usd,876 million usd,643 million usd,
doll_5.685 m,doll_1.142 m,doll_6.827 m,964 million usd,
,,,,384 million usd
,,,,976 million usd
,,,,
doll_5.282 m,doll_3.068 m,doll_8.350 m,doll_5.554 m,426 million usd
,,,,
700 million usd,doll_1.372 m,doll_2.072 m,188 million usd,
doll_15.953 m,doll_10.613 m,doll_26.566 m,doll_9.103 m,
471 million usd,doll_1.563 m,doll_2.034 m,955 million usd,
,,,,
,,,,
,,,,
,,,,10 million usd
,,,,"2,647 million usd"
328 million usd,400 million usd,728 million usd,426 million usd,777 million usd
,,,,245 million usd
192 million usd,666 million usd,858 million usd,976 million usd,683 million usd
248 million usd,160 million usd,407 million usd,384 million usd,
,,,,
,,,,"1,674 million usd"
,,,,426 million usd
,,,,"3,352 million usd"
537 million usd,827 million usd,doll_1.365 m,683 million usd,380 million usd
710 million usd,334 million usd,doll_1.044 m,245 million usd,860 million usd
132 million usd,554 million usd,686 million usd,777 million usd,874 million usd
doll_1.695 m,doll_2.238 m,doll_3.933 m,doll_2.647 m,288 million usd
197 million usd,929 million usd,doll_1.127 m,10 million usd,167 million usd
,,,,207 million usd
,,,,204 million usd
587 million usd,doll_1.041 m,doll_1.628 m,doll_1.674 m,
62 million usd,177 million usd,239 million usd,204 million usd,
79 million usd,174 million usd,254 million usd,207 million usd,857 million usd
doll_4.337 m,doll_1.513 m,doll_5.851 m,167 million usd,554 million usd
doll_1.349 m,942 million usd,doll_2.291 m,288 million usd,
doll_70.458 m,doll_4.031 m,doll_74.489 m,874 million usd,
doll_3.129 m,935 million usd,doll_4.064 m,860 million usd,"1,579 million usd"
doll_4.310 m,doll_1.157 m,doll_5.467 m,380 million usd,69 million usd
958 million usd,917 million usd,doll_1.875 m,doll_3.352 m,
doll_2.159 m,doll_2.343 m,doll_4.502 m,426 million usd,
,,,,
,,,,0 million usd
,,,,"3,610 million usd"
200 million usd,325 million usd,525 million usd,69 million usd,203 million usd
314 million usd,188 million usd,503 million usd,doll_1.579 m,"3,865 million usd"
,,,,
,,,,592 million usd
451 million usd,72 million usd,523 million usd,554 million usd,"6,150 million usd"
672 million usd,630 million usd,doll_1.303 m,857 million usd,362 million usd
,,,,
,,,,-5 million usd
,,,,
73 million usd,doll_2.314 m,doll_2.387 m,362 million usd,805 million usd
doll_2.919 m,doll_1.007 m,doll_3.927 m,doll_6.150 m,637 million usd
334 million usd,396 million usd,730 million usd,592 million usd,
,,,,"1,623 million usd"
doll_12.874 m,doll_3.656 m,doll_16.530 m,doll_3.865 m,
,,,203 million usd,
doll_5.330 m,doll_1.458 m,doll_6.789 m,doll_3.610 m,"3,979 million usd"
,,,0 million usd,"1,090 million usd"
692 million usd,doll_1.645 m,doll_2.337 m,-5 million usd,517 million usd
626 million usd,435 million usd,doll_1.061 m,doll_1.090 m,
doll_18.741 m,doll_1.718 m,doll_20.459 m,doll_3.979 m,356 million usd
,,,,258 million usd
,,,,
doll_1.294 m,618 million usd,doll_1.912 m,doll_1.623 m,344 million usd
388 million usd,doll_1.987 m,doll_2.376 m,637 million usd,257 million usd
,,,805 million usd,"3,459 million usd"
,,,,-585 million usd
,,,,
doll_1.726 m,doll_2.423 m,doll_4.149 m,517 million usd,316 million usd
,,,,221 million usd
,,,-585 million usd,
doll_10.182 m,doll_1.629 m,doll_11.812 m,doll_3.459 m,568 million usd
370 million usd,-125 million usd,244 million usd,257 million usd,167 million usd
331 million usd,552 million usd,884 million usd,344 million usd,531 million usd
,,,,"2,270 million usd"
808 million usd,368 million usd,doll_1.176 m,258 million usd,
64 million usd,129 million usd,194 million usd,356 million usd,"2,241 million usd"
,,,,235 million usd
164 million usd,270 million usd,434 million usd,316 million usd,"1,207 million usd"
35 million usd,120 million usd,155 million usd,235 million usd,
doll_8.493 m,doll_-3.193 m,doll_5.299 m,doll_2.241 m,135 million usd
,,,,294 million usd
doll_1.797 m,807 million usd,doll_2.604 m,doll_2.270 m,
148 million usd,336 million usd,485 million usd,531 million usd,
144 million usd,doll_1.384 m,doll_1.529 m,167 million usd,"1,471 million usd"
346 million usd,245 million usd,599 million usd,568 million usd,895 million usd
,,,,223 million usd
doll_5.586 m,462 million usd,doll_6.049 m,221 million usd,247 million usd
doll_1.668 m,doll_1.093 m,doll_2.761 m,doll_1.207 m,
531 million usd,394 million usd,925 million usd,247 million usd,
,,,223 million usd,"1,387 million usd"
,,,895 million usd,"5,574 million usd"
411 million usd,539 million usd,950 million usd,doll_1.471 m,
,,,,567 million usd
,,,,
doll_9.132 m,doll_1.064 m,doll_10.196 m,294 million usd,910 million usd
doll_1.261 m,doll_1.289 m,doll_2.550 m,135 million usd,"3,190 million usd"
,,,,
,,,,277 million usd
,,,,
doll_3.147 m,doll_1.192 m,doll_4.338 m,doll_3.190 m,
397 million usd,408 million usd,806 million usd,910 million usd,525 million usd
,,,,703 million usd
298 million usd,338 million usd,637 million usd,567 million usd,
,,,,524 million usd
doll_1.606 m,994 million usd,doll_2.599 m,doll_5.574 m,"1,227 million usd"
doll_1.524 m,doll_1.505 m,doll_3.029 m,doll_1.387 m,671 million usd
,,,,
doll_2.120 m,doll_1.972 m,doll_4.092 m,277 million usd,
,,,,110 million usd
doll_3.561 m,doll_3.212 m,doll_6.773 m,671 million usd,
770 million usd,630 million usd,doll_1.401 m,doll_1.227 m,865 million usd
267 million usd,185 million usd,453 million usd,524 million usd,429 million usd
,,,,483 million usd
doll_10.958 m,774 million usd,doll_11.732 m,703 million usd,
doll_13.320 m,doll_1.386 m,doll_14.706 m,525 million usd,"2,553 million usd"
,,,,232 million usd
,,,,251 million usd
,,,,
123 million usd,210 million usd,333 million usd,251 million usd,17 million usd
684 million usd,doll_1.516 m,doll_2.200 m,232 million usd,127 million usd
doll_1.894 m,doll_1.342 m,doll_3.237 m,doll_2.553 m,168 million usd
,,,,335 million usd
146 million usd,609 million usd,755 million usd,483 million usd,963 million usd
688 million usd,604 million usd,doll_1.292 m,429 million usd,279 million usd
432 million usd,doll_1.275 m,doll_1.707 m,865 million usd,232 million usd
,,,,934 million usd
130 million usd,449 million usd,579 million usd,110 million usd,356 million usd
,,,,
159 million usd,doll_1.334 m,doll_1.495 m,356 million usd,
977 million usd,757 million usd,doll_1.734 m,934 million usd,"1,563 million usd"
172 million usd,doll_1.345 m,doll_1.518 m,232 million usd,399 million usd
62 million usd,259 million usd,321 million usd,279 million usd,51 million usd
doll_84.253 m,doll_4.643 m,doll_88.897 m,963 million usd,
967 million usd,-320 million usd,647 million usd,335 million usd,381 million usd
,,,168 million usd,964 million usd
93 million usd,651 million usd,746 million usd,127 million usd,
4 million usd,45 million usd,49 million usd,17 million usd,
,,,,"2,057 million usd"
,,,,
,,,,719 million usd
442 million usd,983 million usd,doll_1.425 m,964 million usd,21 million usd
doll_10.372 m,doll_1.182 m,doll_11.554 m,381 million usd,"1,962 million usd"
,,,,
343 million usd,560 million usd,903 million usd,51 million usd,
doll_10.873 m,doll_1.192 m,doll_12.066 m,399 million usd,"1,359 million usd"
,,,doll_1.563 m,"5,900 million usd"
,,,,
,,,doll_2.057 m,457 million usd
,,,,847 million usd
,,,doll_5.900 m,
883 million usd,doll_1.227 m,doll_2.110 m,doll_1.359 m,155 million usd
,,,,268 million usd
,,,,487 million usd
121 million usd,272 million usd,394 million usd,21 million usd,
doll_7.253 m,doll_3.607 m,doll_3.646 m,doll_1.962 m,279 million usd
668 million usd,509 million usd,doll_1.177 m,719 million usd,
128 million usd,197 million usd,326 million usd,457 million usd,
,,,,0 million usd
,,,,667 million usd
,,,,
639 million usd,548 million usd,doll_1.187 m,279 million usd,
,,,,
doll_4.937 m,810 million usd,doll_5.747 m,487 million usd,
doll_2.031 m,275 million usd,doll_2.307 m,268 million usd,"1,690 million usd"
382 million usd,314 million usd,696 million usd,155 million usd,
,,,,
doll_10.519 m,doll_2.435 m,doll_12.954 m,847 million usd,592 million usd
51 million usd,409 million usd,460 million usd,0 million usd,591 million usd
295 million usd,353 million usd,647 million usd,592 million usd,"1,820 million usd"
,,,,
,,,,
doll_8.403 m,doll_3.459 m,doll_11.862 m,doll_1.690 m,
,,,,
,,,,
,,,,"1,030 million usd"
,,,,680 million usd
734 million usd,924 million usd,doll_1.659 m,667 million usd,589 million usd
,,,591 million usd,0 million usd
275 million usd,124 million usd,400 million usd,589 million usd,522 million usd
773 million usd,-56 million usd,717 million usd,680 million usd,"5,062 million usd"
doll_1.083 m,569 million usd,doll_1.652 m,doll_1.030 m,"6,086 million usd"
