,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
1748,Visualitics,Italy,Technology,,,2131000.0,15.0,3,2016.0,676000.0,
1749,HiFi extra,Germany,Retail,,,49190436.0,32.0,14,2016.0,15610826.0,
1750,Ankerkraut,Germany,Food & Beverage,,,26010474.0,150.0,70,2013.0,8271702.0,
1751,GDA,Italy,Fashion,,,20745690.0,205.0,98,2008.0,6615000.0,
1752,Nexid,Italy,Technology,,,2696270.0,25.0,9,2006.0,859960.0,
1753,GS Studio & Service,Italy,Energy,,,2087000.0,16.0,7,2013.0,666210.0,
1754,Neosperience,Italy,Technology,,,16367000.0,160.0,60,2006.0,5229000.0,
1755,Lunos,Slovenia,Technology,,,6356404.0,16.0,11,2010.0,2031522.0,
1756,Meic Costruzioni,Italy,Construction,,,10456300.0,71.0,39,2013.0,3342120.0,
1757,Trident Lifting Solutions Ltd,UK,Construction,,,15846632.0,14.0,12,2016.0,5105700.0,
1758,Smart Battery Solutions,Germany,Technology,,,10203000.0,69.0,28,2010.0,3264000.0,
1759,eu-bay Commerce,Germany,Retail,,,8122686.0,20.0,10,2003.0,2601485.0,
1760,Jens Rabe Academy,Germany,Education,,,3655345.0,20.0,6,2009.0,1171373.0,
1761,Hyperoptic,UK,Telecoms,,,57766084.0,1251.0,407,2010.0,18649681.0,
1762,SEPALE,France,Energy,,,7879983.0,21.0,2,2009.0,2531055.0,
1763,3A Informatica,Italy,Telecoms,,,1970000.0,33.0,19,2005.0,633990.0,
1764,EMSPROTO,France,Ecommerce,,,3136947.0,22.0,10,2014.0,1009846.0,
1765,Laboratoires Dermosun,France,Chemicals & Pharmaceuticals,,,5626849.0,13.0,9,2011.0,1815835.0,
1766,Saico,Italy,Construction,,,6737600.0,23.0,13,2013.0,2177950.0,
1767,Nutis,Italy,Food & Beverage,,,6566530.0,19.0,9,1956.0,2124990.0,
1768,Ogrodosfera.pl,Poland,Ecommerce,,,13256472.0,23.0,12,2011.0,4693330.0,
1769,SVTI,France,Industrial Goods,,,3981300.0,30.0,17,2010.0,1290312.0,
1770,Enhancers,Italy,Technology,,,3352210.0,38.0,13,2011.0,1087520.0,
1771,AGRIPOWER FRANCE,France,Waste management & recycling,,,7701275.0,16.0,6,2012.0,2498792.0,
1772,Next Turbo Technologies,Italy,Industrial Goods,,,9481040.0,18.0,8,2014.0,3080610.0,
1773,Velvet Media Italia,Italy,Advertising,,,5411160.0,98.0,46,2013.0,1759490.0,
1774,Booster Box,Italy,Advertising,,,2049365.0,35.0,9,2016.0,667837.0,
1775,RMF Group,Slovakia,Food & Beverage,,,3289892.0,2.0,3,2014.0,1072117.0,
1776,Darwin Group Limited,UK,Construction,,,70393894.0,140.0,89,2005.0,23141358.0,
1777,ITFS,Poland,Technology,,,10446862.0,230.0,90,2012.0,3730405.0,
1778,SKILLSDAY,France,Education,,,3154795.0,25.0,9,2015.0,1031988.0,
1779,Gapps,Finland,Technology,,,8707000.0,34.0,23,2010.0,2850000.0,
1780,Maxfel,Italy,Interiors,,,2201160.0,15.0,6,1984.0,720650.0,
1781,Herrero Brigantina,Spain,Insurance,,,14725853.0,55.0,33,2012.0,4832212.0,
1782,Manitech,Italy,Industrial Goods,,,3834910.0,6.0,3,2016.0,1263420.0,
1783,Tradeco,Italy,Industrial Goods,,,5889890.0,16.0,6,2016.0,1944720.0,
1784,MON CHASSEUR IMMO,France,Property,,,4794423.0,28.0,13,2012.0,1585727.0,
1785,UpSlide,France,Support Services,,,8274214.0,75.0,20,2013.0,2737704.0,
1786,COGECLIM ENERGIES,France,Construction,,,2622506.0,18.0,5,2015.0,868406.0,
1787,Cellarius,Hungary,Sales & Marketing,,,2571079.0,14.0,10,2004.0,989785.0,
1788,careful-service,Germany,Health,,,3537769.0,141.0,75,2014.0,1173908.0,
1789,Softneta,Lithuania,Health,,,1778249.0,30.0,24,2007.0,590642.0,
1790,Progeny,UK,Financial Services,,,16601337.0,161.0,64,2016.0,5561585.0,
1791,Web Geo Services,France,Technology,,,24114000.0,57.0,29,2009.0,8022358.0,
1792,Spedition Ibov,Germany,Transport,,,3424863.0,,,2013.0,1140000.0,
1793,MyPostcard.com,Germany,Retail,,,6358307.0,25.0,21,2014.0,2119022.0,
1794,VARIOSAN,Germany,Retail,,,3233968.0,3.0,2,2013.0,1078808.0,
1795,Riedle + Bertsch,Germany,Technology,,,2331579.0,36.0,8,2013.0,777849.0,
1796,Mobili Fiver,Italy,Interiors,,,11897820.0,50.0,23,1999.0,3973460.0,
1797,KLC DESAMIANTAGE,France,Construction,,,6182419.0,46.0,11,2015.0,2065220.0,
1798,SECRET ARTS OF SPIRITS,France,Retail,,,3308224.0,6.0,3,2014.0,1105569.0,
1799,MPB Group Limited,UK,Ecommerce,,,72503245.0,184.0,68,2011.0,24429686.0,
1800,3zehn Auto Discount,Germany,Automobiles,,,25448057.0,12.0,5,2016.0,8527777.0,
1801,ADIKTEEV,France,Technology,,,45616000.0,67.0,50,2012.0,15292051.0,
1802,Fundis Reitsport,Germany,Retail,,,7066208.0,50.0,3,2009.0,2370645.0,
1803,Antriebstechnik Ebner-Seibold,Germany,Retail,,,2245423.0,17.0,9,2009.0,753352.0,
1804,Invibes Advertising,Belgium,Technology,,,11530000.0,102.0,30,2011.0,3880663.0,
1805,Jointly il welfare condiviso,Italy,Support Services,,,2400550.0,34.0,18,2014.0,808700.0,
1806,ABTOT Mark & Anläggning AB,Sweden,Construction,,,9983094.0,23.0,10,2012.0,3450305.0,
1807,DUSAPRO Immobilien,Germany,Property,,,33903865.0,36.0,10,2012.0,11484801.0,
1808,SOLDATS FILMS,France,Media,,,2320653.0,8.0,4,2012.0,787160.0,
1809,Eagleprojects,Italy,Telecoms,,,15140480.0,287.0,120,2016.0,5137900.0,
1810,Agile Lab,Italy,Technology,,,5590450.0,43.0,15,2013.0,1897650.0,
1811,importpris.no,Norway,Ecommerce,,,3113197.0,8.0,4,2012.0,1126971.0,
1812,truu,Germany,Industrial Goods,,,12472561.0,72.0,18,2011.0,4245861.0,
1813,L’Atelier,France,Technology,,,4288024.0,15.0,5,2016.0,1461226.0,
