04-iGMM-world_rank__jan_07_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,07-silvestri-employees_2022
"1,667","24,102","24,102",
"1,668","2,384",17,
"1,669","28,289","12,157",
"1,670",456,,
"1,671","48,519","3,271",
"1,672","4,086","4,086",
"1,673",,"11,250",
"1,674",,"5,727",
"1,675","11,785",,
"1,676","82,334","5,610",
"1,677","2,000","2,000",
"1,677","5,610","82,334",
"1,678",,"11,785",
"1,679","5,727",,
"1,679","11,250",,
"1,680","1,852","1,852",
"1,681","69,000","3,610",
"1,681","6,630",,
"1,682",,"39,375",
"1,683",186,"1,080",
"1,684","2,241","2,241",
"1,685","1,080",186,
"1,686","39,375",,
"1,687",,"6,630",
"1,688","3,610","69,000",
"1,689","42,681","42,681",
"1,690",,"4,150",
"1,691","8,513","32,475",
"1,692","34,183","11,000",
"1,693","3,049","1,208",
"1,694","18,624","18,624",
"1,695","1,208","3,049",
"1,696","11,000","34,183",
"1,697","32,475","8,513",
"1,698","4,150",,
"1,699","14,276","14,276",
"1,700","14,099","7,241",
"1,701","1,832","16,272",
"1,702","7,765","179,565",
"1,703","23,000","5,400",
"1,704",225,225,
"1,705","5,400","23,000",
"1,706","179,565","7,765",
"1,707","16,272","1,832",
"1,708","7,241","14,099",
"1,709",,"77,000",
"1,710","160,100",,
"1,711","11,000","2,892",
"1,712","2,874","16,400",
"1,713","30,908","46,724",
"1,714","46,724","30,908",
"1,715","16,400","2,874",
"1,716","2,892","11,000",
"1,717",,"160,100",
"1,718","77,000",,
"1,719","5,625","5,625",
"1,720","11,000","22,322",
"1,721",,,
"1,722","21,000","11,265",
"1,723",,"62,222",
"1,724","2,004","2,004",
"1,725","62,222",,
"1,726",,"21,000",
"1,727","22,322",,
"1,728","11,265","11,000",
"1,729","3,400","3,400",
"1,730","21,000","2,216",
"1,731","118,359","13,308",
"1,732","12,000","87,401",
"1,733","23,668","5,586",
"1,734","2,394","2,394",
"1,735","5,586","23,668",
"1,736","87,401","12,000",
"1,737","13,308","118,359",
"1,738","2,216","21,000",
"1,739","17,000","17,000",
"1,740","9,289",,
"1,741","283,910",,
"1,742","7,000","52,000",
"1,742","1,746","1,902",
"1,743","2,051","2,051",
"1,744","1,902","1,746",
"1,745","52,000","7,000",
"1,746",,"283,910",
"1,747",,"9,289",
"1,748","2,084","2,084",
"1,749","5,441","9,685",
"1,750","19,794","59,462",
"1,751","7,342",,
"1,752","21,600","5,060",
"1,753","6,152","6,152",
"1,754","5,060","21,600",
"1,755",,"7,342",
"1,756","59,462","19,794",
"1,757","9,685","5,441",
"1,758","20,840","20,840",
"1,759",,,
"1,760","64,734","18,300",
"1,760","4,500","5,000",
"1,761","39,745","27,619",
"1,762","1,036","1,036",
"1,763","27,619","39,745",
"1,764","5,000","4,500",
"1,765","18,300","64,734",
"1,766",,,
"1,767","17,000","17,000",
"1,768",,"10,818",
"1,769","2,253","6,873",
"1,770","8,658","16,400",
"1,771","1,225","52,347",
"1,772","5,500","5,500",
"1,773","52,347","1,225",
"1,774","16,400","8,658",
"1,775","6,873","2,253",
"1,776","10,818",,
"1,777",,,
"1,778","36,806","17,251",
"1,779",,,
"1,780","28,949","12,000",
"1,781","40,776","12,000",
"1,782","5,423","5,423",
"1,783","12,000","40,776",
"1,784","12,000","28,949",
"1,785",,,
"1,786","17,251","36,806",
"1,787","4,081","4,081",
"1,788","9,900",,
"1,789","31,517","44,000",
"1,790","89,400",572,
"1,790","5,000","69,824",
"1,791",,,
"1,792","69,824","5,000",
"1,793",572,"89,400",
"1,794","44,000","31,517",
"1,795",,"9,900",
"1,796","51,000","51,000",
"1,797","13,500",,
"1,798",478,"4,625",
"1,799","4,361",128,
"1,800",,"2,841",
"1,801","10,045","10,045",
"1,802","2,841",,
"1,803",128,"4,361",
"1,804","4,625",478,
"1,805",,"13,500",
"1,806","9,000","9,000",
"1,807",,,
"1,807",315,"10,651",
"1,808",,"17,887",
"1,809","21,650","27,000",
"1,810","38,510","38,510",
"1,811","27,000","21,650",
"1,812","17,887",,
"1,813","10,651",315,
"1,814",,,
"1,815","3,700","3,700",
"1,816",77,"20,200",
"1,817",,,
"1,818","33,720","13,700",
"1,819","2,878",,
"1,820","5,139","5,139",
"1,821",,"2,878",
"1,822","13,700","33,720",
"1,823",,77,
"1,824","20,200",,
"1,825","1,400","3,495",
"1,826",620,"6,684",
"1,827","6,684",620,
"1,828","3,495","1,400",
"1,829","27,812","1,491",
"1,830",,"10,863",
"1,831","25,574",,
"1,832",,"25,574",
"1,833","10,863",,
"1,834","1,491","27,812",
"1,835","4,899","4,899",
"1,836","5,400",141,
"1,837","3,750","10,717",
"1,838","6,998",,
"1,839","3,076","3,600",
"1,840","8,184","8,184",
"1,841","3,600","3,076",
"1,842",,"6,998",
"1,843","10,717","3,750",
"1,844",141,"5,400",
"1,845","7,800","7,800",
"1,846","9,520","6,655",
"1,847",504,"10,663",
"1,848",883,"38,967",
"1,849",750,"1,562",
"1,850","39,189","39,189",
"1,851","1,562",750,
"1,852","38,967",883,
"1,853","10,663",504,
"1,854","6,655","9,520",
"1,855","41,097","41,097",
"1,856",,,
"1,857","21,991","5,876",
"1,858",,"3,222",
"1,859","6,000","1,715",
"1,859","4,500","4,500",
"1,860","1,715","6,000",
"1,861","3,222",,
"1,862","5,876","21,991",
"1,863",,,
"1,863","15,059","15,059",
"1,863","136,709","17,000",
"1,864","1,680","1,400",
"1,865","3,628",,
"1,866","114,628","8,200",
"1,867",,,
"1,868","8,200","114,628",
"1,869",,"3,628",
"1,870","1,400","1,680",
"1,871","17,000","136,709",
"1,872","3,921","3,921",
"1,873","2,978","9,000",
"1,874","20,681","24,934",
"1,875","55,621","28,400",
"1,876","8,906","8,600",
"1,877",,,
"1,878","8,600","8,906",
"1,879","28,400","55,621",
"1,880","24,934","20,681",
"1,881","9,000","2,978",
"1,882","238,000","238,000",
"1,883","7,867","4,530",
"1,884","2,992","3,770",
"1,885","27,500",,
"1,886","14,484","19,200",
"1,887",,,
"1,888","19,200","14,484",
"1,889",,"27,500",
"1,890","3,770","2,992",
"1,891","4,530","7,867",
"1,892","6,635","6,635",
"1,893","28,000","47,000",
"1,894","72,500","3,211",
"1,895","6,800","5,556",
"1,896","5,354",,
"1,897","40,216","40,216",
"1,898",,"5,354",
"1,899","5,556","6,800",
"1,900","3,211","72,500",
"1,901","47,000","28,000",
"1,902","1,463","1,463",
"1,903",,"23,000",
"1,904","78,000","8,328",
"1,905","5,273","12,501",
"1,906","1,897",,
"1,907",,"1,897",
"1,908","1,916","1,916",
"1,909","12,501","5,273",
"1,910","8,328","78,000",
"1,911","23,000",,
"1,912","4,000","4,000",
"1,913",,"12,100",
"1,914",,"14,500",
"1,915",,"32,000",
"1,916","109,600","8,613",
"1,917","8,613","109,600",
"1,918","32,000",,
"1,919","14,500",,
"1,920","12,100",,
"1,921","21,000","26,950",
"1,922","26,950","1,200",
"1,923","9,892","48,031",
"1,924","12,217",,
"1,925",,"26,236",
"1,926","12,757",94,
"1,927",94,"12,757",
"1,928","26,236",,
"1,929",,"12,217",
"1,930","48,031","9,892",
"1,931","1,200","18,110",
"1,931","18,110","4,500",
"1,932","64,533","16,500",
"1,933",,"27,900",
"1,934","4,049","21,600",
"1,935",,,
"1,936",,,
"1,936","21,600","4,049",
"1,937","27,900",,
"1,938","16,500","64,533",
"1,939","4,500",,
"1,940","2,024",,
"1,941","7,500","45,849",
"1,942",,"11,111",
"1,943","6,500","41,663",
"1,944","45,000","45,000",
"1,945","41,663","6,500",
"1,946","11,111",,
"1,947","45,849","7,500",
"1,948",,"2,024",
"1,949",,"13,117",
"1,950","16,768",,
"1,951","20,173","18,000",
"1,952",375,"138,353",
"1,953",,"1,497",
"1,954","16,800","16,800",
"1,954","1,497",,
"1,955","138,353",375,
"1,956","18,000","20,173",
"1,957",,"16,768",
"1,958","13,117","94,000",
"1,959","94,000","2,260",
"1,960","3,800",,
"1,961","19,719",,
"1,962",,"3,441",
"1,963","28,000",,
"1,964",,"28,000",
"1,965","3,441",,
"1,966",,"19,719",
"1,967",,"3,800",
"1,968","2,260","8,941",
"1,969","8,941","18,232",
"1,970","2,885","1,127",
"1,971","12,821",,
"1,972","50,800","4,465",
"1,973","17,336","9,114",
"1,974","9,114","17,336",
"1,975","4,465","50,800",
"1,976",,"12,821",
"1,977","1,127","2,885",
"1,978","18,232","24,831",
"1,979","6,400","36,856",
"1,980","5,800","4,907",
"1,981","27,176",856,
"1,982","2,630","1,931",
"1,983","7,110","7,110",
"1,984","1,931","2,630",
"1,985",856,"27,176",
"1,986","4,907","5,800",
"1,987","36,856","6,400",
"1,988","24,831","16,600",
"1,989","16,600","6,150",
"1,990","3,222","30,674",
"1,991","2,368","4,500",
"1,992",40,117,
"1,993","62,939","62,939",
"1,994","248,300","248,300",
"1,995","4,500",40,
"1,996",117,"2,368",
"1,997","30,674","3,222",
"1,998","6,150","14,600",
"1,999","14,600","10,730",
"2,000",,"3,677",
"2,001",,"4,000",
"2,002","61,000","34,700",
"2,003","13,313","20,700",
"2,004","20,700","13,313",
"2,005","34,700","61,000",
"2,006","4,000",,
"2,007","3,677",,
"2,008","10,730","66,275",
"2,009","66,275",909,
"2,010",648,"27,202",
"2,011","17,000",,
"2,012","7,700","2,073",
"2,013",,"9,778",
"2,014","9,778",,
"2,015","2,073","7,700",
"2,016",,"17,000",
"2,017","27,202",648,
"2,018",909,,
"2,019",,,
"2,020","2,689","2,138",
"2,021","5,752","13,134",
"2,022",,,
"2,023","1,070","260,000",
"2,024","260,000","1,070",
"2,025",,,
"2,026","13,134","5,752",
"2,027","2,138","2,689",
"2,028",,"23,700",
"2,029","23,700","21,150",
"2,030","15,600","52,576",
"2,031","2,667",,
"2,032","13,303",,
"2,033",400,,
"2,034",,400,
"2,035",,"13,303",
"2,036",,"2,667",
"2,037","52,576","15,600",
"2,037","21,150",,
"2,038",,,
"2,039","5,000","17,611",
"2,040","24,608","20,000",
"2,041","4,800","4,059",
"2,042",,,
"2,043",,,
"2,044","4,059","4,800",
"2,045","20,000","24,608",
"2,046","17,611","5,000",
"2,047",,"22,161",
"2,048","22,161",965,
"2,049","4,000",,
"2,050",,,
"2,051","1,373","4,567",
"2,052",713,"6,400",
"2,053","6,400",713,
"2,054","4,567","1,373",
"2,055",,,
"2,056",,"34,000",
"2,057",965,"55,255",
"2,058","34,000","3,300",
"2,059",,,
"2,060","1,712",,
"2,061","24,769","4,000",
"2,062","12,600","12,600",
"2,063","4,000","24,769",
"2,064",,"1,712",
"2,065",,,
"2,066","3,300",200,
"2,067","55,255",,
"2,068",200,"2,942",
"2,069",,"17,608",
"2,069",,"45,000",
"2,069",,"6,574",
"2,069",,,
"2,069","6,574",,
"2,069","45,000",,
"2,069","17,608",,
"2,069","2,942","4,700",
"2,069",,,
"2,070","4,700","5,932",
"2,071",,,
"2,072","3,600","1,610",
"2,073",,"4,406",
"2,074","5,000","5,000",
"2,075","4,406",,
"2,076","1,610","3,600",
"2,077",,,
"2,078","5,932",,
"2,079",,,
"2,080",,"6,114",
"2,081","20,972",650,
"2,081",,,
"2,082","10,197","58,263",
"2,083","2,245","2,245",
"2,084","58,263","10,197",
"2,085",,"20,972",
"2,086",650,,
"2,087","6,114","20,000",
"2,088",,"4,700",
"2,089","20,000",,
"2,090","111,900","3,224",
"2,091",,"1,158",
"2,092","1,892","12,868",
"2,093",29,29,
"2,094","12,868","1,892",
"2,095","1,158",,
"2,096","3,224","111,900",
"2,097",,"5,500",
"2,098","4,700","1,631",
"2,099","5,500","13,836",
"2,100","15,500",,
"2,101","6,580",,
"2,102","22,200",,
"2,103","35,455","35,455",
"2,104",,"22,200",
"2,105",,"6,580",
"2,106",,"15,500",
"2,107","13,836",,
"2,108","1,631","34,000",
"2,109",,"4,200",
"2,110",,"4,553",
"2,111","16,291","32,992",
"2,112",,"225,000",
"2,113","9,000","9,000",
"2,114","225,000",,
"2,115","32,992","16,291",
"2,116","4,553",,
"2,117","4,200","23,000",
"2,118","34,000",693,
"2,119","23,000","16,264",
"2,120","81,631","290,000",
"2,121",,"18,307",
"2,122",552,"9,900",
"2,123","1,803","1,803",
"2,124","9,900",552,
"2,125","18,307",,
"2,126","290,000","81,631",
"2,127","16,264","7,750",
"2,128",693,,
"2,129","7,750","6,400",
"2,130","10,470","6,029",
"2,131","13,351","1,460",
"2,132",,,
"2,133",82,82,
"2,134",,,
"2,135","1,460","13,351",
"2,136","6,029","10,470",
"2,137","6,400","19,597",
"2,138",,"31,850",
"2,139","19,597","11,487",
"2,140","7,600","6,296",
"2,141","7,483","12,160",
"2,142","5,227",,
"2,143",,,
"2,144",,"5,227",
"2,145","12,160","7,483",
"2,146","6,296","7,600",
"2,147","11,487",797,
"2,148","31,850","3,600",
"2,149","3,382",,
"2,150","130,000","30,264",
"2,151",696,"4,705",
"2,152",,72,
"2,153",72,,
"2,154","4,705",696,
"2,155","30,264","130,000",
"2,156",,"3,382",
"2,157","3,600","7,861",
"2,158",797,,
"2,159","19,063",,
"2,160",,800,
"2,161","1,500",,
"2,162",,800,
"2,163",800,,
"2,164",,"1,500",
"2,165",800,,
"2,166",,"19,063",
"2,167",,"4,998",
"2,168","7,861","25,000",
"2,169","4,998",,
"2,170","8,500","30,000",
"2,171",,"10,465",
"2,172","20,203",,
"2,173","101,000","101,000",
"2,174",,"20,203",
"2,175","30,000",,
"2,176","10,465","8,500",
"2,177",,244,
"2,178","25,000","16,300",
"2,179",244,"1,620",
"2,180","32,000","3,375",
"2,181","21,000","3,934",
"2,182",,"11,000",
"2,183","13,715","13,715",
"2,184","11,000",,
"2,185","3,934","21,000",
"2,186","3,375","32,000",
"2,187","1,620","8,000",
"2,188","16,300",,
"2,189","8,000",,
"2,190",,"6,447",
"2,191","12,773",,
"2,192","5,510","160,000",
"2,193","11,430","11,430",
"2,194","160,000","5,510",
"2,195",,"12,773",
"2,196","6,447",,
"2,197",,,
"2,198",,"9,300",
"2,199",,"25,554",
"2,200","2,231","42,000",
"2,201","2,876",,
"2,202",,,
"2,203",867,867,
"2,204",,,
"2,205",,"2,876",
"2,205","42,000","2,231",
"2,206","25,554",,
"2,207","9,300",625,
"2,208",,"33,681",
"2,209","5,000",,
"2,209","130,716",,
"2,210","12,229",,
"2,211","13,000","13,000",
"2,212",,"12,229",
"2,213",,"130,716",
"2,214",,"5,000",
"2,215","33,681","2,841",
"2,216",625,"19,000",
"2,217","2,841","11,700",
"2,218",,"26,398",
"2,219","35,653","13,546",
"2,219","5,776",,
"2,220","5,182","5,182",
"2,221",,"5,776",
"2,222","13,546","35,653",
"2,222","26,398",,
"2,223","11,700",,
"2,224","19,000",365,
"2,225",,"11,524",
"2,226","127,000",,
"2,227",,"10,500",
"2,228","44,000","32,913",
"2,229","9,211","9,211",
"2,230","32,913","44,000",
"2,231","10,500",,
"2,232",,"127,000",
"2,233","11,524","27,000",
"2,234",365,"6,000",
"2,235","27,000","20,920",
"2,235","1,479","7,300",
"2,236",,,
"2,237","21,973",50,
"2,238","9,476","9,476",
"2,239",50,"21,973",
"2,240",,,
"2,241","7,300","1,479",
"2,242","20,920",,
"2,243","6,000","28,000",
"2,244",,"102,000",
"2,245","16,591",,
"2,246","5,000",,
"2,247","64,009","3,100",
"2,248",162,162,
"2,249","3,100","64,009",
"2,250",,"5,000",
"2,251",,"16,591",
"2,252","102,000","15,000",
"2,253","28,000","1,702",
"2,254","15,000","28,000",
"2,255","33,586","37,575",
"2,256","2,070","50,000",
"2,257","1,300","5,872",
"2,258","5,872","1,300",
"2,259","50,000","2,070",
"2,260","37,575","33,586",
"2,261",,"23,637",
"2,262","28,000","2,583",
"2,263","1,702",,
"2,264","23,637","6,624",
"2,265",,"13,161",
"2,266",,"36,952",
"2,267","17,160","13,006",
"2,268","13,006","17,160",
"2,269","36,952",,
"2,270","13,161",,
"2,271","6,624","10,000",
"2,272",,"1,602",
"2,273","2,583","29,805",
"2,273","10,000",,
"2,274",,"11,208",
"2,275","5,100",,
"2,276","13,500",,
"2,277",,"13,500",
"2,278",,"5,100",
"2,279","11,208",,
"2,280",,"8,600",
"2,281","29,805","88,857",
"2,282","1,602",,
"2,283","8,600",,
"2,283","5,073","7,556",
"2,284",628,312,
"2,285","4,023","53,928",
"2,286","53,928","4,023",
"2,286",312,628,
"2,287","7,556","5,073",
"2,288",,"3,500",
"2,289",,86,
"2,290","88,857","16,676",
"2,291","3,500","12,292",
"2,292","1,020","9,600",
"2,293","18,848","39,000",
"2,294",530,"7,511",
"2,295","7,511",530,
"2,296","39,000","18,848",
"2,297","9,600","1,020",
"2,298","12,292",,
"2,299","16,676",,
"2,300",86,"14,542",
"2,301",,"1,026",
"2,302","6,579","36,300",
"2,303","5,836",,
"2,304","9,000","1,864",
"2,305","1,864","9,000",
"2,306",,"5,836",
"2,307","36,300","6,579",
"2,308","1,026",,
"2,309","14,542","22,000",
"2,310",,,
"2,311",,,
"2,312","44,000","9,050",
"2,313",,,
"2,314",,"24,000",
"2,315","24,000",,
"2,316",,,
"2,317","9,050","44,000",
"2,318",,"16,272",
"2,319",,"18,582",
"2,320","22,000","3,400",
"2,321","16,272",,
"2,322",,"3,006",
"2,323","12,065",17,
"2,324","5,700",,
"2,325",,"5,700",
"2,326",17,"12,065",
"2,327","3,006",,
"2,328",,"5,469",
"2,329","3,400",509,
"2,330","18,582",604,
"2,331","5,469","27,960",
"2,332",501,"4,988",
"2,333","25,800","4,711",
"2,334","14,137","10,500",
"2,335","10,500","14,137",
"2,336","4,711","25,800",
"2,337","4,988",501,
"2,338","27,960","6,525",
"2,339",604,,
"2,340",509,"22,961",
"2,341","6,525","41,000",
"2,342",,"33,554",
"2,343","27,003","14,000",
"2,344","3,851",,
"2,345",,"3,851",
"2,346","14,000","27,003",
"2,347","33,554",,
"2,348","41,000","1,774",
"2,349","22,961","5,618",
"2,350",,"4,593",
"2,351","1,774","7,044",
"2,352","147,000","14,235",
"2,353",,"11,441",
"2,354",839,839,
"2,355",846,846,
"2,356","14,235",,
"2,357","11,441","147,000",
"2,358","7,044",,
"2,358","4,593","1,552",
"2,358","5,618","4,101",
"2,358",,,
"2,358","20,636","1,596",
"2,358",,"5,245",
"2,358","136,549",,
"2,359",,"136,549",
"2,360","5,245",,
"2,361","1,596","20,636",
"2,362",,277,
"2,363","4,101","1,667",
"2,363","1,552","22,000",
"2,364",277,"110,300",
"2,365","103,926",,
"2,366","15,000","38,000",
"2,367",,"224,280",
"2,368","224,280","15,000",
"2,369","38,000","103,926",
"2,370",,"1,196",
"2,371","110,300","22,209",
"2,372","22,000",,
"2,373","1,667","12,983",
"2,374","1,196","1,500",
"2,375",,581,
"2,376","3,217","13,000",
"2,377","71,044","71,044",
"2,378","13,000","3,217",
"2,379",581,,
"2,380","1,500","5,961",
"2,381","12,983","2,185",
"2,382",,,
"2,383","22,209","29,300",
"2,384","5,961",70,
"2,385","21,077",,
"2,386","5,818",,
"2,387",409,409,
"2,388",,"5,818",
"2,389",,"21,077",
"2,390",70,,
"2,391","29,300","20,000",
"2,392",,,
"2,393","2,185",,
"2,394",,"7,418",
"2,395","11,600","17,000",
"2,396","300,000",,
"2,397",500,500,
"2,398",,"300,000",
"2,399","17,000","11,600",
"2,400","7,418",840,
"2,401",,"8,500",
"2,402",,,
"2,403","20,000",,
"2,404",840,"37,975",
"2,405","2,321",,
"2,406","4,000","3,030",
"2,407","13,000","13,000",
"2,408","3,030","4,000",
"2,409",,"2,321",
"2,410","37,975","3,202",
"2,411",,"22,200",
"2,412",,,
"2,413","8,500","31,900",
"2,414","3,202","13,100",
"2,415","10,000","1,600",
"2,416","2,147",,
"2,417",,,
"2,418",,"2,147",
"2,419","1,600","10,000",
"2,420","13,100","7,000",
"2,421","31,900",,
"2,422",,418,
"2,423","22,200","15,803",
"2,424","7,000","16,094",
"2,425",,"20,300",
"2,426","8,560","9,000",
"2,427","6,500","6,500",
"2,428","9,000","8,560",
"2,429","20,300",,
"2,430","16,094","1,100",
"2,431","15,803",357,
"2,432",418,"31,575",
"2,433",,"9,638",
"2,434","1,100","1,402",
"2,435",,"31,600",
"2,436",,"37,205",
"2,437","2,000","2,000",
"2,438","37,205",,
"2,439","31,600",,
"2,440","1,402","21,723",
"2,441","9,638","41,518",
"2,442","31,575",,
"2,443",357,767,
"2,444","21,723","6,029",
"2,445",,"2,194",
"2,446","2,000","63,360",
"2,447",,,
"2,448","63,360","2,000",
"2,449","2,194",,
"2,450","6,029","2,709",
"2,451",767,,
"2,452",,"309,084",
"2,453","41,518",,
"2,454","2,709","103,598",
"2,455","129,000","10,735",
"2,456","23,000","1,357",
"2,457","65,000","65,000",
"2,458","1,357","23,000",
"2,460","10,735","129,000",
"2,461","103,598","6,919",
"2,462",,"17,475",
"2,463","309,084",,
"2,464",,"14,400",
"2,465","6,919","18,444",
"2,466","10,163","5,500",
"2,467","11,200","11,700",
"2,468",,,
"2,469","11,700","11,200",
"2,470","5,500","10,163",
"2,471","18,444",,
"2,472","14,400",765,
"2,473",,,
"2,474","17,475","4,100",
"2,475",,900,
"2,476","15,114",,
"2,477","13,067","339,716",
"2,478","5,000","5,000",
"2,479","339,716","13,067",
"2,480",,"15,114",
"2,481",900,"51,121",
"2,482","4,100","9,520",
"2,483",,"12,881",
"2,484",765,"3,800",
"2,485","9,085","58,000",
"2,486","2,670","3,982",
"2,487","7,848","23,365",
"2,488","23,365","7,848",
"2,489","3,982","2,670",
"2,490","58,000","9,085",
"2,491","3,800","3,704",
"2,492","12,881","2,816",
"2,493","9,520","4,227",
"2,494","51,121",,
"2,495","3,704",783,
"2,496","108,316","3,300",
"2,497",,500,
"2,498",,,
"2,499",500,,
"2,500","3,300","108,316",
"2,501",783,"7,200",
"2,502",,"1,700",
"2,503","4,227",,
"2,504","2,816",,
"2,505","7,200",,
"2,506","5,271","177,047",
"2,507",,,
"2,508","28,000","28,000",
"2,509",,,
"2,510","177,047","5,271",
"2,511",,,
"2,512",,,
"2,513",,930,
"2,514","1,700",,
"2,515",,,
"2,516",,"22,833",
"2,517",,"17,736",
"2,518","25,000","25,000",
"2,518","17,736",,
"2,519","22,833",,
"2,520",,"16,000",
"2,520",,"3,500",
"2,521",930,,
"2,522",,"5,600",
"2,523","16,000","3,128",
"2,524","15,000","59,400",
"2,525","245,472",,
"2,526",,,
"2,527",,"245,472",
"2,528","59,400","15,000",
"2,529","3,128","6,305",
"2,530","5,600","58,415",
"2,531",,,
"2,532","3,500",,
"2,533","6,305",,
"2,534","5,100",,
"2,535",,"3,800",
"2,536","3,800",,
"2,537",,"5,100",
"2,537",,,
"2,538",,,
"2,539",,,
"2,540",,"5,360",
"2,541","58,415",,
"2,542",,"1,023",
"2,543","18,297","8,800",
"2,544","24,540","50,834",
"2,545","49,000","49,000",
"2,546","50,834","24,540",
"2,547","8,800","18,297",
"2,548","1,023","6,253",
"2,549",,"117,830",
"2,550","5,360","33,340",
"2,551",,"8,951",
"2,552","6,253","19,744",
"2,553",,"1,071",
"2,554",,,
"2,555","48,000","48,000",
"2,556",,,
"2,557","1,071",,
"2,558","19,744",784,
"2,559","8,951","30,000",
"2,560","33,340","9,059",
"2,561","117,830","30,179",
"2,562",784,"1,895",
"2,562",,"1,616",
"2,563","13,500","9,693",
"2,564","9,612","9,612",
"2,565","9,693","13,500",
"2,566","1,616",,
"2,567","1,895",,
"2,568","30,179","4,742",
"2,569","9,059","22,000",
"2,570","30,000","147,000",
"2,571",,,
"2,572",924,"129,000",
"2,573","4,500",,
"2,574","22,654","22,654",
"2,575",,"4,500",
"2,576","129,000",924,
"2,577",,"31,530",
"2,578","147,000","104,739",
"2,579","22,000",,
"2,580","4,742",,
"2,581","31,530",,
"2,582","122,000","3,730",
"2,583",,"5,600",
"2,584","2,245","2,245",
"2,585","5,600",,
"2,586","3,730","122,000",
"2,587",,"8,578",
"2,588",,,
"2,589",,497,
"2,590","104,739","3,782",
"2,591","8,578","34,000",
"2,592","4,353","10,500",
"2,593","10,714","1,896",
"2,594","8,599","8,599",
"2,595","1,896","10,714",
"2,596","10,500","4,353",
"2,597","34,000",,
"2,598","3,782","7,644",
"2,599",497,53,
"2,600",,"4,400",
"2,601",,"38,181",
"2,602","31,514","1,284",
"2,603",270,,
"2,604",482,482,
"2,605",,270,
"2,606","1,284","31,514",
"2,607","38,181","15,622",
"2,608","4,400",,
"2,609",53,"14,193",
"2,610","7,644",,
"2,611","15,622","4,541",
"2,612","2,600","14,900",
"2,613","12,000","75,000",
"2,614","6,080","6,080",
"2,615","75,000","12,000",
"2,616","14,900","2,600",
"2,617","4,541",,
"2,618",,,
"2,619","14,193","1,179",
"2,620",,,
"2,621",,,
"2,622","3,559","18,637",
"2,623",70,"1,753",
"2,624","2,050","2,050",
"2,624","1,753",70,
"2,625","18,637","3,559",
"2,626",,"11,383",
"2,627",,,
"2,628","1,179","15,000",
"2,629",,,
"2,630","11,383","5,860",
"2,631","5,085",,
"2,632",,,
"2,633","25,000","25,000",
"2,634",,,
"2,635",,"5,085",
"2,636","5,860","11,687",
"2,637",,"7,600",
"2,638","15,000",,
"2,639",,,
"2,640","11,687",,
"2,641",,"2,300",
"2,642","33,730","28,000",
"2,643",,,
"2,644","28,000","33,730",
"2,645","2,300",,
"2,645",,,
"2,646",,"24,000",
"2,647",,"22,514",
"2,647","7,600","4,265",
"2,648",,"4,990",
"2,649","10,352","2,315",
"2,650","5,391","1,900",
"2,651",,,
"2,652","1,900","5,391",
"2,653","2,315","10,352",
"2,654","4,990","1,452",
"2,655","4,265",28,
"2,656","22,514","8,800",
"2,657","24,000","21,100",
"2,658","1,452",701,
"2,659",,"3,934",
"2,660","5,500","333,000",
"2,661",,,
"2,661","333,000","5,500",
"2,662","3,934",,
"2,663",701,,
"2,664","21,100",,
"2,665","8,800","18,000",
"2,666",28,,
"2,667",,"22,000",
"2,668","4,800","9,800",
"2,669",,,
"2,670","1,154","1,154",
"2,671",,,
"2,672","9,800","4,800",
"2,673","22,000","17,765",
"2,674",,,
"2,676","18,000",547,
"2,677",,"8,209",
"2,677","17,765","3,500",
"2,678","37,926","10,000",
"2,679","43,000","3,500",
"2,680",,,
"2,682","3,500","43,000",
"2,683","10,000","37,926",
"2,684","3,500","14,000",
"2,685","8,209",,
"2,686",547,"8,631",
"2,687",,,
"2,688","14,000",,
"2,689","9,499","14,700",
"2,690","2,037",700,
"2,691",,,
"2,692",700,"2,037",
"2,693","14,700","9,499",
"2,694",,,
"2,695",,,
"2,695","8,631","1,739",
"2,696",,,
"2,697",,"1,779",
"2,698",829,,
"2,699",,,
"2,700","1,399","1,399",
"2,701",,,
"2,702",,829,
"2,703","1,779","1,550",
"2,704",,"15,088",
"2,704","1,739","1,076",
"2,705",,"22,000",
"2,706","1,550",,
"2,707","1,000",,
"2,707","8,000",40,
"2,707","1,650","1,650",
"2,707",40,"8,000",
"2,707",,"1,000",
"2,707",,"1,576",
"2,707","22,000","7,000",
"2,707","1,076",,
"2,708","15,088",,
"2,709","1,576","2,543",
"2,710",,"12,473",
"2,711","6,080","9,800",
"2,712","9,800","6,080",
"2,713",,,
"2,714","12,473",,
"2,715","2,543","2,000",
"2,716",,"30,300",
"2,717",,"7,873",
"2,718","7,000","3,299",
"2,719","2,000","335,038",
"2,720",,"1,089",
"2,721","22,415","16,622",
"2,722","2,998","2,998",
"2,723","16,622","22,415",
"2,724","1,089",,
"2,725","335,038","9,882",
"2,726","3,299",,
"2,727","7,873",,
"2,728","30,300",,
"2,729","9,882","2,140",
"2,730",,"8,800",
"2,731","5,574","4,597",
"2,732","4,929","4,929",
"2,733","4,597","5,574",
"2,734","8,800",,
"2,735","2,140","73,300",
"2,736",,,
"2,737",,260,
"2,738",,253,
"2,739","73,300",,
"2,740","23,939",316,
