id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
db48e819ffc24a22a3acb3f50778933b,Banca Popolare Di Sondrio Spa,"PIAZZA GIUSEPPE GARIBALDI 16, SONDRIO, 23100, SONDRIO, ITALY",IT00053810149,H-IT0049413783,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1871
a4504fb3679c48e6b1bdc8f526986770,General Cavi Spa,"VIA DELL'INDUSTRIA 22, CONSELICE, 48017, RAVENNA, ITALY",IT01208310399,H-IT0070462135,Manufacturing,Mfg conductive wiring devices (3643),Corporation,1992
9ba7a9f4ba1e48009371ea68f913fcb3,Solvay Specialty Polymers Italy Spa,"VIALE LOMBARDIA 20, BOLLATE, 20021, MILANO, ITALY",IT03521920961,H-IT0003962121,Manufacturing,Mfg industrial inorganic chemicals (2819),Corporation,1971
1de6f6fbec91403babac6fde16d6a9d2,Arcese Holding Sapa Di Eleuterio Arcese E C.,"VIA ALDO MORO 95, ARCO, 38062, TRENTO, ITALY",IT01725840225,H-IT0007815514,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2001
4b2ed9cf67214dc4a7eb51c520a5494c,Infineum Italia Srl,"STRADA DI SCORRIMENTO 2, VADO LIGURE, 17047, SAVONA, ITALY",IT12640380155,H-IT0001742299,Manufacturing,Mfg chemical preparations (2899),Corporation,1998
e2cb9a51ce064893803be634788a3dc2,Smeg Spa,"VIA LEONARDO DA VINCI 4, GUASTALLA, 42016, REGGIO EMILIA, ITALY",IT01555030350,H-IT0002513277,Manufacturing,Mfg electric housewares/fans (3634),Corporation,1985
f1e8aa2dcfa2439d8fd8c8e6db19a4ce,Sasol Italy Spa,"VIALE ENRICO FORLANINI 23, MILANO, 20134, MILANO, ITALY",IT04758570826,H-IT0032307985,Manufacturing,Mfg industrial organic chemicals (2869),Corporation,1957
22242eee664f41ab84f365fd45702f6f,Nordea Investment Funds S.a.,"VIA TORTONA 9, MILANO, 20144, MILANO, ITALY",97615180151,H-IT0018764584,"Finance, Insurance, and Real Estate",Investment advisory service (6282),Foreign Company,2012
c05508a2b22a4287bbf01dcc4b8ab88c,Sanpellegrino Spa,"VIA DEL MULINO 6, ASSAGO, 20057, MILANO, ITALY",IT00753740158,H-IT0008587930,Services,Misc personal services (7299),Corporation,1899
f4422857e9944bd09c3cd45aadcd8e7c,Retitalia Spa,"VIA GASPARE GOZZI 1/A, MILANO, 20129, MILANO, ITALY",IT04784780969,H-IT0002368692,Wholesale Trade,Whol petroleum products (5172),Corporation,2005
f3453b2571134a84b1276fe51426ec74,Unoenergy Spa,"CORSO FELICE CAVALLOTTI 30, SANREMO, 18038, IMPERIA, ITALY",IT01368720080,H-IT0007913850,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2004
4c023ae77ae345aa952122621b59a902,United Parcel Service Italia Srl,"VIA GAUDENZIO FANTOLI 15/2 15/8, MILANO, 20138, MILANO, ITALY",IT08537690151,H-IT0054498589,"Transportation, Communications, Electric, Gas, and Sanitary Services",Courier service (4215),Corporation,1986
cfabc70151d44fceb538a58eec081465,Alstom Ferroviaria Spa,"VIA OTTAVIO MORENO 23, SAVIGLIANO, 12038, CUNEO, ITALY",IT02791070044,H-IT0075690152,Manufacturing,Mfg railroad equipment (3743),Corporation,1950
2b4509b8ae0f41adb8da895a95aed742,Elfin Srl,"CORSO FELICE CAVALLOTTI 30, SANREMO, 18038, IMPERIA, ITALY",IT01702610088,H-IT0067882900,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2019
3b67f6d35fc5446bb535b82392b8bc8c,Uno Holding Srl,"VIA CALDERA 21, MILANO, 20153, MILANO, ITALY",IT09142880963,H-IT0046926836,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2015
93e14fdb722e4449925924a2208574b8,Bticino Spa,"VIALE LUIGI BORRI 231, VARESE, 21100, VARESE, ITALY",IT10991860155,H-IT0070586640,Manufacturing,Mfg switchgear/switchboards (3613),Corporation,1945
54b5423819b544ad8a52381904d10bff,Prysmian Powerlink Srl,"VIA CHIESE 6, MILANO, 20126, MILANO, ITALY",IT05931070964,H-IT0002115379,Manufacturing,Mfg conductive wiring devices (3643),Corporation,2007
c9c55420bcbc4564b220ae7e777c8839,Compass Banca Spa,"FORO BUONAPARTE 10, MILANO, 20121, MILANO, ITALY",IT00864530159,H-IT0009567917,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1951
6fb7fc621ad7417b84377cd592462d0b,Carlo Colombo Spa,"VIA REGONA 3, PIZZIGHETTONE, 26026, CREMONA, ITALY",IT05055530157,H-IT0040846679,Manufacturing,Copper rolling/drawing (3351),Corporation,1982
e37165cf58324d999ce71e311f249a32,Lb Holding Spa,"VIA COLOMBARA 113, VENEZIA, 30176, VENEZIA, ITALY",IT04455700270,H-IT0058540547,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2017
