,name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
420,Viaréno,France,Construction,6937737,1459655,30,8,2014
421,CMT,Slovakia,Waste management & recycling,1951232,411858,19,10,2013
422,Rets,Poland,Property,5206032,1201964,97,31,2014
423,MUBI,UK,Media,18356623,3954351,104,33,2007
424,Dynamicom Education,Italy,Education,9018160,1906790,27,3,2001
425,Touch4IT,Slovakia,Technology,2064141,437747,47,25,2015
426,TattaHome.com,Italy,Interiors,2800000,595800,8,4,1986
427,Speechmatics,UK,Technology,7161145,1541070,90,37,2006
428,Samy Road,Spain,Advertising,19458114,4163750,118,20,2012
429,Prometeo,Italy,Support Services,3580500,766510,9,6,2006
430,Dialectica,UK,Management Consulting,17078846,3688264,260,65,2015
431,Wolf & Badger,UK,Ecommerce,11604670,2508842,62,32,2009
432,Eco CO2,France,Support Services,9220216,1982251,94,28,2009
433,Lakógép Kft.,Hungary,Construction,25335854,6328462,20,3,2011
434,Beyer Betonwaren,Germany,Construction,2062749,443694,20,9,2017
435,Fill Up Média,France,Media,4999802,1081079,42,12,2011
436,Zara Imballaggi Fabriano,Italy,Industrial Goods,2297210,496790,6,4,1984
437,CD Projekt,Poland,Games industry,468257487,110835763,1177,744,1994
438,VPACE Bikes,Germany,Retail,2643580,573145,10,1,2015
439,Tooltester,Spain,Sales & Marketing,3646507,790712,6,0,2014
440,Bunker Partner,Estonia,Energy,101726265,22060642,7,2,2015
441,Tikamoon,France,Ecommerce,56122322,12200275,130,40,2006
442,S.T.A.R. Digital,Croatia,Advertising,3211868,699907,8,10,2013
443,Funding Options,UK,Fintech,5922043,1297717,62,29,2011
444,Isimed,Italy,Health,4828920,1050660,14,8,2014
445,"Sonar, SonarQube, SonarCloud, SonarLint",Switzerland,Technology,83632640,16861349,195,50,2008
446,Scherer,Germany,Support Services,4285766,934994,30,4,2016
447,Mycroclean Italia,Italy,Support Services,3366730,736000,24,14,2002
448,Piscor,Italy,Ecommerce,4842410,1061360,16,8,2015
449,Marwincar,Italy,Automobiles,5083140,1114200,3,1,2016
450,Brighton & Hove Albion Football Club,UK,Travel & Leisure,148505285,32824451,1038,288,1993
451,INPE Transport,Bulgaria,Transport,1816274,398676,60,5,2015
452,RTB House,Poland,Technology,191601076,45981552,773,266,2013
453,Obiz,France,Media,15377000,3389300,38,27,2010
454,VmWay,Italy,Technology,15901220,3525720,70,33,2012
455,Legimi,Poland,Media,7007093,1698358,12,8,2009
456,MSG Beauty,Germany,Retail,2910737,645633,11,5,2011
457,Leogra Trading,Germany,Retail,5078464,1128243,11,4,2014
458,Benefind,Italy,Technology,2262490,505520,32,10,2012
459,AB Oil & Gas Service,Italy,Support Services,2310000,516640,13,5,2017
460,Mailtrack,Spain,Technology,3445698,775341,23,14,2013
461,Bumper,UK,Fintech,3394214,771504,33,15,2013
462,OTL - Online Trainer,Germany,Health,6607564,1492190,46,22,2015
463,Macingo Technologies,Italy,Support Services,1601000,361790,17,9,2014
464,MYCS,Germany,Retail,39355846,8935361,210,120,2014
465,Audience Serv,Germany,Advertising,6107018,1389534,92,23,2008
466,Start,Italy,Telecoms,3769100,857590,8,4,2012
467,MvH Media,The Netherlands,Sales & Marketing,2391654,544943,29,8,2010
468,PURE GAMING,France,Ecommerce,6984956,1593667,2,1,2010
469,Parcel Compare,UK,Transport,9085936,2091995,8,4,1998
470,Ames Centro Polidiagnostico Strumentale,Italy,Health,40391360,9235130,81,71,1979
471,Arcadia Italia,Italy,Energy,3249140,743130,6,1,2016
472,Zia Lucia,UK,Restaurants,4853930,1119494,43,16,2016
473,Travaglini Costruzioni,Italy,Construction,4603740,1062010,37,16,1952
474,Versa Design Zycle,Spain,Technology,9501888,2199640,81,10,2008
475,MAUCHER CONSULT,Germany,Construction,1952000,452091,15,5,2016
476,Ayes,Italy,Technology,10827070,2510930,137,51,2015
477,BrandUp Group,Italy,Advertising,2718640,630660,5,1,2016
478,Opyn,Italy,Financial Services,4168220,969930,19,11,2012
479,VAR Capital,UK,Financial Services,2132001,499815,8,4,2014
480,StoryTerrace,UK,Technology,2843048,667467,25,9,2017
481,Blubit,Slovenia,Technology,2964852,691140,22,8,2009
482,ZEN’UP,France,Insurance,1891361,441271,9,9,2014
483,Lörcher Bauunternehmen,Germany,Construction,3932792,917735,25,17,2001
484,Barcode Architects,The Netherlands,Architecture,4851997,1134256,62,23,2010
485,TOP CHALEUR,France,Retail,7260096,1702165,27,9,2002
486,Seingim,Italy,Construction,13479380,3163540,160,52,1999
487,Amphibian Scaffolding,UK,Construction,4011415,948813,49,21,2008
488,Beliani,Liechtenstein,Ecommerce,93438770,20298288,551,205,2009
489,Hatstore,Sweden,Ecommerce,17453187,4195789,45,17,2011
490,Carpenteria Martino,Italy,Construction,9719750,2286000,27,19,2006
491,CapitalOnTap,UK,Fintech,82238372,19489369,147,61,2012
492,Netguru,Poland,Technology,34677235,8933769,637,199,2008
493,Fazio,Italy,Retail,3375810,799170,7,6,2014
494,Grillfürst,Germany,Retail,38599408,9145411,84,37,2010
495,Dealernet,Italy,Automobiles,22704300,5394020,18,14,2017
496,Alpha Real Estate,Germany,Property,119161137,28378990,57,14,2013
497,Appwise,Belgium,Technology,4546110,1084812,74,12,2013
498,Convert Group,Greece,Technology,2789489,666118,55,17,2014
499,Revolution Race,Sweden,Ecommerce,89332521,21841341,65,17,2013
500,GONG Galaxy,France,Retail,11320706,2708258,40,11,2009
501,GDR Costruzioni,Italy,Construction,1573480,376440,8,8,2011
502,Emporio Elettrico,Italy,Ecommerce,1979050,473640,4,1,2015
503,Exscientia AI,UK,Technology,10807048,2606296,87,15,2012
504,Featurespace,UK,Fintech,23501473,5688822,324,128,2005
505,XL ENERGIES,France,Energy,8358760,2013403,11,3,2016
506,Claveria,Spain,Support Services,4715363,1137450,43,20,2015
507,Timberagents,Germany,Retail,5302985,1280989,4,3,2010
508,fermeture econ’home,France,Construction,1862632,451196,30,2,2012
509,NRSE,Sweden,Management Consulting,3268813,815449,70,20,2014
510,SIMWERT,Germany,Telecoms,26386701,6450759,21,16,2011
511,Flex Legal,UK,Law,4319146,1064498,24,2,2015
512,Documaster,Norway,Technology,3328791,868552,41,15,2010
513,Immo-Team Allgäu,Germany,Construction,21974565,5381108,4,1,2014
514,creditshelf,Germany,Financial Services,4899200,1201900,57,17,2014
515,Blife,Italy,Food & Beverage,4133980,1016480,10,7,2016
516,Nohup,Italy,Technology,4785480,1177860,18,9,2004
517,Noctuai,Poland,Technology,2443117,657377,56,17,2012
518,Ares,Germany,Industrial Goods,14000000,3450000,96,47,2013
519,Moonpig Group,UK,Ecommerce,411390748,102139979,399,242,2000
520,Wealth Club,UK,Financial Services,6774867,1685348,22,15,2016
521,FACTORY,France,Property,12609000,3119000,25,4,2016
522,Beck Ingredients,Spain,Health,7532293,1865319,6,2,2016
523,Mentors & Partners Group,Hungary,Management Consulting,1822227,524552,3,3,2010
524,SB Supply,The Netherlands,Ecommerce,4363977,1081844,9,4,2011
525,Mediaboard,Czech Republic,Media,2243594,572798,24,8,2015
526,DW TRANS,France,Transport,9485173,2357096,80,20,2012
527,NACELEXPERT,France,Industrial Goods,2727392,679247,4,2,2006
528,keylight,Germany,Technology,3499555,871779,31,14,2015
529,Technacy,Italy,Technology,3059440,762200,13,3,2011
530,Genoskin,France,Chemicals & Pharmaceuticals,2810120,700823,25,12,2011
531,Payment Assist,UK,Fintech,5993895,1518678,21,12,2013
532,my Boo,Germany,Retail,4706000,1184000,65,14,2013
533,84codes.com,Sweden,Technology,12120207,3118698,25,11,2012
534,KLG LIQUIDA,Germany,Chemicals & Pharmaceuticals,5034595,1267224,20,6,2013
535,Ignimission,France,Technology,2280542,574323,35,8,2011
536,Adamant BioNRG,Italy,Energy,117997000,29718000,7,4,2013
537,Xplort,UK,Interiors,2252358,571513,5,2,2015
538,Bambridge Accountants,UK,Financial Services,3368822,855283,12,7,2010
539,G2Park,Slovakia,Property,2902148,732924,13,7,2016
540,Pelizzari Studio,Italy,Architecture,2625660,663100,5,2,2014
541,Postex,The Netherlands,Technology,5248908,1334213,9,4,2014
542,Consorzio Stabile Ambientemilia,Italy,Waste management & recycling,9752760,2492730,5,5,2013
543,Yocabe’,Italy,Ecommerce,3293860,842600,12,6,2016
544,Chez Nestor,France,Property,8559263,2189720,33,19,2012
545,Mint Italia,Italy,Transport,2415110,621500,9,2,2016
546,Sendcloud,The Netherlands,Ecommerce,81775452,21052232,233,27,2012
547,Datakey Software Engineering,Italy,Technology,1898000,488940,10,6,2008
548,Metaminds,Romania,Cyber Security,32103084,8605113,41,21,2015
549,Time Vision,Italy,Education,2793340,721090,29,11,2012
550,Werksräder24,Germany,Automobiles,14896000,3847000,36,16,2013
551,FOD Mobility Group,UK,Technology,13309945,3465675,70,35,2008
552,Selferg,Italy,Energy,2050130,531960,60,10,2007
553,Poppri Fashion Auctions,Lithuania,Ecommerce,13028856,3386414,94,45,2012
554,Vizion Network,UK,Automobiles,117817156,30862156,194,156,2008
555,Beyond Law Group*,UK,Law,8233616,2159010,66,27,2017
556,EDA Warehousing,Germany,Transport,4570000,1190000,14,13,2014
557,BPV,Germany,Telecoms,22704275,5923571,90,45,2013
558,Ultra Premium Direct,France,Agricultural Commodities,20779890,5422583,81,29,2013
559,AFR-IX telecom,Spain,Telecoms,9933867,2593649,24,12,2013
560,Blue energy,Poland,Cyber Security,4527970,1293181,44,28,2010
561,C’JUSTE PARIS,France,Retail,2404398,628388,15,5,2013
562,SOS-accessoire,France,Ecommerce,14690408,3848262,44,13,2007
563,Hannes König,Germany,Construction,8750671,2295632,27,18,2017
564,ZANATTA media group,Germany,Advertising,8383859,2202906,9,6,2007
565,Wastepack,UK,Waste management & recycling,22373295,5924389,20,18,1997
566,Radar Consulting Italia,Italy,Support Services,1580450,416960,17,7,2010
567,Agriconomie,France,Agricultural Commodities,37248117,9838779,53,32,2014
568,AnyTech365,Spain,Technology,18743704,4985758,364,187,2014
569,Cladspray Solutions,UK,Construction,1863819,499484,12,4,2013
570,iM Global Partner,France,Financial Services,31463692,8392541,50,10,2015
571,Confinvest,Italy,Precious metals,41130000,10982110,6,2,1983
572,Ethic Technology,France,Technology,8340824,2229273,3,2,2012
573,Bomax,Italy,Telecoms,71290680,19088830,7,6,2001
574,KK-Trade,Germany,Retail,4383254,1174770,15,4,2017
575,Marsapet,Germany,Retail,3960200,1061642,26,4,2015
576,Gruppo Tera,Italy,Ecommerce,20222750,5428300,16,8,2015
577,CodicePlastico,Italy,Technology,3068430,824450,14,7,2009
578,Tremend,Romania,Technology,20679155,5772716,426,185,2005
579,Doofinder,Spain,Technology,6590434,1771758,61,17,2010
580,Hostinger,Lithuania,Technology,25860664,6955394,780,80,2004
581,Catalyx,Switzerland,Sales & Marketing,6540543,1627160,39,9,2013
582,Harness Code,Bulgaria,Sales & Marketing,2223308,599612,9,6,2016
583,Nanoprom Chemicals,Italy,Chemicals & Pharmaceuticals,2779910,749940,17,5,2014
584,Elite,Spain,Construction,10060550,2716240,49,27,2012
585,AppUnite,Poland,Technology,4424063,1310532,119,26,2012
586,Eskalia et Nakupenda,France,Retail,1515414,410775,7,2,2006
587,LGX Logistics,Germany,Transport,8070059,2191733,12,3,2006
588,Polipop,Portugal,Industrial Goods,3351671,910392,22,11,2015
589,StampaSi,Italy,Ecommerce,2543820,691110,10,1,2016
590,CAM,Italy,Industrial Goods,12280490,3336600,67,45,1984
591,Plug In Digital,France,Media,13767602,3743740,37,12,2012
592,Predica,Poland,Technology,17589082,5233937,241,82,2009
593,Ocean Transport,Spain,Transport,4783846,1304073,19,2,2009
594,Serinus,UK,Energy,19651446,5474802,75,103,1997
595,DEMV Deutscher Maklerverbund,Germany,Financial Services,5012841,1375943,50,20,2009
596,STI Norland,Spain,Energy,199822150,54990779,221,53,1996
597,HD Elektrotechnik,Germany,Technology,4207672,1158042,76,27,2011
598,Engenie Group,Italy,Technology,2025040,558480,9,1,2017
599,Groupe N.A.T,France,Support Services,4180122,1156596,64,25,2016
600,La Sarraz Pictures,Italy,Media,1513710,419430,5,2,2015
601,Smart-Planet,Germany,Retail,4598207,1276483,9,5,2016
602,Sidea Group,Italy,Management Consulting,2429590,674560,49,8,2015
603,COUTEAUJAPONAIS.COM,France,Retail,4579102,1272558,17,5,2004
604,PHYSIDIA,France,Health,16746545,4656191,58,20,2010
605,Horando Deutschland,Germany,Retail,8111269,2257390,3,2,2013
606,"Diablochairs, Jan Nowak",Poland,Ecommerce,21520495,6549376,79,22,2004
607,Parkster,Sweden,Technology,55139984,15711602,28,16,2011
608,BIOTYFULL,France,Ecommerce,20248436,5642145,13,5,2015
609,Bioksan,Spain,Food & Beverage,5914732,1650756,51,14,2014
610,Trippel,Norway,Support Services,3057807,910070,118,37,1999
611,Yourparkingspace Limited,UK,Technology,13863431,3904618,32,15,2013
612,Carslift,France,Automobiles,2226659,622989,35,1,2012
613,Zimmerei Nordmann,Germany,Construction,2074577,580537,11,5,2009
614,SI Silicone Innovation,Germany,Industrial Goods,3640511,1018843,40,20,2015
615,A.U.E. Genc Warenhandels-UG,Germany,Retail,19890000,5573000,12,8,2010
616,MGvision,Italy,Advertising,4010560,1127170,18,10,2010
617,New General Service,Italy,Support Services,1539360,433540,26,13,2015
618,ANDRE RENOVATION,France,Construction,11594389,3266703,41,15,2010
619,M.D.G. Components Unipersonale,Italy,Industrial Goods,2283970,644440,14,10,2017
620,Amco-Bulgaria,Bulgaria,Retail,6298606,1778274,22,5,2011
621,Symprove,UK,Personal & Household Goods,12298843,3498275,39,16,2005
622,Tecknuovo,UK,Technology,26273556,7477852,22,10,2015
623,Platform.sh,France,Technology,22077678,6242232,217,62,2010
624,ISG Express Logistik,Germany,Transport,5822692,1646307,46,5,2011
625,Manelli Impresa,Italy,Construction,43355980,12259540,173,55,2008
626,SA Formação,Portugal,Education,3647652,1031733,53,22,2009
627,SM SektManufaktur,Germany,Industrial Goods,2408586,681652,14,3,2015
628,Beauty Consult Deutschland,Germany,Health,3725665,1055100,31,8,2011
629,Finauto,Italy,Automobiles,11789870,3350270,8,5,1977
630,AuCOFFRE.com,France,Financial Services,114037838,32428296,21,18,2009
631,Divido,UK,Fintech,3786036,1084616,46,37,2014
632,R&K Ingenieure,Germany,Construction,5210500,1482100,17,6,2016
633,Nephos Technologies,UK,Technology,17559447,5031697,25,11,2011
634,La Vida,UK,Support Services,7572128,2178629,15,8,2002
635,Midstream Lighting,UK,Technology,8204844,2363526,12,4,2012
636,PROPULSE IT,France,Technology,6326861,1809858,2,2,2014
637,Additius Santa Maria,Spain,Agricultural Commodities,31757362,9100083,30,25,2012
638,CONEXIO TELECOM,France,Telecoms,1908640,547084,15,3,2017
639,Tripin,Germany,Retail,5465080,1568506,9,5,2012
640,Continental Wood Kft.,Hungary,Industrial Goods,2724073,910973,9,4,1996
641,GeoTeam,Italy,Energy,7623730,2195780,120,71,2008
642,Leascorp,France,Financial Services,18481247,5325214,7,4,2014
643,Positive Healthcare,UK,Management Consulting,6731831,1954609,19,3,2014
644,Ralph Schmolke,Germany,Retail,2281929,658317,8,4,2010
645,Roomie Milano,Italy,Property,3728920,1079340,10,2,2016
646,Trencadis Corp,Romania,Technology,20410511,6137755,89,40,2007
647,WORTEKS,France,Technology,1870845,541582,11,4,2016
648,REMOVE,France,Construction,8988475,2608093,74,27,2015
649,Citadelo,Czech Republic,Cyber Security,1556521,452557,27,15,2006
650,Grill Autoservice,Germany,Automobiles,18141216,5283415,26,13,2017
651,Inbrooll,Spain,Industrial Goods,2663110,776268,15,8,2013
652,Cross,Germany,Retail,88590000,25858983,4,3,2010
653,B1gas S.p.A,Italy,Energy,41474660,12106480,6,2,2010
654,Filva,Italy,Construction,6188900,1808710,10,8,2009
655,Archingest,Italy,Construction,3515000,1030000,6,2,2005
656,Alpha FX Group,UK,Financial Services,51640733,15241075,124,51,2009
657,lemonads,Switzerland,Advertising,4952255,1451770,50,7,2012
658,Signicat,Norway,Technology,42514150,13309441,213,71,2007
659,Alfred Döpker,Germany,Construction,77358225,22730529,55,41,1965
660,Bavaria-Ei,Germany,Retail,13067279,3842670,88,42,2001
661,Oxylabs.io,Lithuania,Technology,25040954,7381686,245,57,2015
662,A.S.H. Automobile,Germany,Automobiles,2333452,687958,5,2,2014
663,Vascular,Hungary,Health,29099679,9987236,57,18,2007
664,ANDJARO,France,Support Services,3189298,943718,57,30,2015
665,Röhrtaler Wertstoff,Germany,Waste management & recycling,3286187,973460,34,22,2013
666,Autel Karnetic,UK,Technology,8520830,2543343,7,6,2016
667,Discoup.com,Italy,Advertising,2075110,616520,10,8,2013
668,Hellas Direct,Cyprus,Insurance,34488971,10247832,85,52,2011
669,HERRLES,Germany,Automobiles,10242075,3044054,45,30,2009
670,Investmentpunk Academy,Austria,Education,3179000,947000,12,6,2016
671,Born Stahlbau,Germany,Industrial Goods,4527093,1351164,13,6,2015
672,RETTEL Projektbau,Germany,Construction,8073458,2410212,7,5,2016
673,Suntronic,Italy,Energy,2347320,700960,4,2,2005
674,TMT,Italy,Industrial Goods,12763524,3811838,42,6,2014
675,Gedankenburg,Germany,Advertising,2950010,881275,5,2,2015
676,SVOP Special Vehicle Operation,Sweden,Automobiles,4526309,1385662,16,6,2013
677,Glenholme Healthcare Group,UK,Health,14845073,4476517,415,132,2011
678,AUDENSIEL,France,Technology,57451279,17203160,720,230,2013
679,Ivnosys,Spain,Technology,8743069,2618069,106,34,2011
680,Mulconsa,Spain,Construction,6687402,2002982,45,30,2012
681,50NRTH,Germany,Retail,35107348,10518963,54,14,2004
682,Delecto,Croatia,Retail,2649288,793957,10,6,2008
683,Mardruk Opakowania,Poland,Industrial Goods,3226645,1058063,47,7,2015
684,MANANG,France,Construction,6205559,1862272,40,15,2012
685,bestbion dx,Germany,Health,14863628,4461170,27,21,2011
686,Avamore Capital,UK,Financial Services,2552248,772943,21,7,2015
687,Solaris and more,Germany,Energy,4692660,1414501,30,13,2011
688,Clearcycle,UK,Retail,2176368,660767,11,8,2015
689,Opteamis,France,Support Services,13856500,4180523,35,12,2005
690,Codenor,Spain,Construction,6385196,1926967,20,10,2010
691,HAPPYBULLE,France,Ecommerce,4209975,1271353,18,8,2015
692,Aurora Energy Research,UK,Energy,15079425,4587687,158,46,2013
693,Bacci,Spain,Fashion,24048302,7265350,14,19,2003
694,Emilia Foods,Italy,Food & Beverage,26824140,8110160,25,8,2013
695,T.E.A.M. - Ti educa a migliorare,Italy,Health,3370490,1020690,211,82,2001
696,Brainhub,Poland,Technology,3513741,1163241,75,30,2016
697,Assitech,Italy,Construction,2675750,810750,9,10,2016
698,Schott Packaging,UK,Ecommerce,2272847,694501,11,4,2016
699,Alba,Italy,Energy,3299330,1001740,30,12,2010
700,FinTrU,UK,Financial Services,32392546,9915609,740,219,2013
701,Global Edilizia,Italy,Construction,4028000,1226000,5,4,2011
702,TPXimpact,UK,Management Consulting,57093437,17515305,381,2,2016
703,LGS SportLab,Italy,Advertising,4014220,1222870,9,6,2010
704,Weiser Brandschutz & Technik,Germany,Construction,5986199,1825769,45,4,2005
705,Fairfax and Favor,UK,Fashion,18178322,5602279,47,13,2013
706,FAO Consulting,France,Technology,7781600,2384156,85,39,2014
707,Gruppo Del Barba Consulting,Italy,Financial Services,5855040,1794120,37,8,2010
708,Exclaimer,UK,Technology,26143857,8075796,109,62,2003
709,Join Business Management Consulting,Italy,Management Consulting,10189790,3128700,77,25,2013
710,Vennes,Germany,Construction,17048000,5244000,57,27,2003
711,Piggy,The Netherlands,Technology,2946126,906341,31,7,2013
712,Epassi,Finland,Fintech,205312456,63207258,130,40,2007
713,Atheneum Partners,Germany,Technology,33400000,10300000,315,150,2010
714,Pharmacy2U,UK,Technology,156232906,48580102,454,211,1999
715,PHOENIX DEVELOPPEMENT,France,Support Services,1797294,556159,18,6,2011
716,Wiwie Transport,Germany,Transport,4200000,1300000,25,10,2016
717,Mevas Auto Center,Romania,Automobiles,2595034,834708,31,23,2003
718,BK Beachhouse Mode,Germany,Retail,5172479,1602458,35,21,2015
719,F.lli Urso,Italy,Construction,2009090,622800,9,3,2015
720,GoHenry,UK,Financial Services,22020382,6882489,166,61,2011
721,Adrilog,Italy,Transport,57057180,17727950,816,634,2014
722,Attachment,UK,Advertising,7191249,2250946,6,2,2015
723,PARIS HERBES,France,Agricultural Commodities,12934943,4020469,25,15,2015
724,Interlog Logistic,France,Transport,5480946,1703819,28,37,2015
725,Conglomerati Bituminosi,Italy,Construction,33371870,10393680,75,34,1975
726,Nikkel Art,Belgium,Ecommerce,3762160,1172617,26,5,2010
727,Esyen,Italy,Technology,3868940,1206770,25,9,2011
728,Sav-eco Packaging Ltd,UK,Industrial Goods,16923940,5322238,165,104,2014
729,Elmar Mair Tiefbau,Germany,Construction,2302685,719638,19,8,2016
730,ATLAS Innovative Engineering,Spain,Energy,3495981,1094666,15,12,2014
731,SECURE-IC,France,Technology,6934182,2171492,76,48,2010
732,DATALYO,France,Technology,3544255,1111687,36,16,2014
733,Signify Technology,UK,Management Consulting,2547992,805029,29,14,2016
734,BOXT,UK,Ecommerce,38373430,12127395,59,20,2017
735,James and James Fulfilment,UK,Ecommerce,30887883,9762332,158,55,2010
736,Armonie,Italy,Food & Beverage,2803150,879670,9,5,2014
737,Maverick Group,Italy,Technology,5313290,1674690,5,1,2017
738,Brainpull,Italy,Advertising,4264120,1344240,29,10,2012
739,Wiseband,France,Media,1636674,516164,15,4,2014
740,Groupe Ezdo La Boulangerie Des Gourmets,France,Agricultural Commodities,40777823,12867410,15,4,2013
741,Pakar Service,Poland,Support Services,9729642,3363800,396,257,2010
742,BIO-UV,France,Industrial Goods,32175000,10181000,117,62,2000
743,F.G. Service,Italy,Construction,2554140,809450,14,2,2015
744,Allways Logistics System,Italy,Transport,9569120,3033150,125,2,2012
745,Matsmart,Sweden,Ecommerce,49576899,16075963,164,75,2013
746,autargo,Germany,Construction,1807173,573070,5,2,2016
747,Brewshop.no,Norway,Food & Beverage,4392988,1484883,9,7,2015
748,Visualitics,Italy,Technology,2131000,676000,15,3,2016
749,HiFi extra,Germany,Retail,49190436,15610826,32,14,2016
750,Ankerkraut,Germany,Food & Beverage,26010474,8271702,150,70,2013
751,GDA,Italy,Fashion,20745690,6615000,205,98,2008
752,Nexid,Italy,Technology,2696270,859960,25,9,2006
753,GS Studio & Service,Italy,Energy,2087000,666210,16,7,2013
754,Neosperience,Italy,Technology,16367000,5229000,160,60,2006
755,Lunos,Slovenia,Technology,6356404,2031522,16,11,2010
756,Meic Costruzioni,Italy,Construction,10456300,3342120,71,39,2013
757,Trident Lifting Solutions Ltd,UK,Construction,15846632,5105700,14,12,2016
758,Smart Battery Solutions,Germany,Technology,10203000,3264000,69,28,2010
759,eu-bay Commerce,Germany,Retail,8122686,2601485,20,10,2003
760,Jens Rabe Academy,Germany,Education,3655345,1171373,20,6,2009
761,Hyperoptic,UK,Telecoms,57766084,18649681,1251,407,2010
762,SEPALE,France,Energy,7879983,2531055,21,2,2009
763,3A Informatica,Italy,Telecoms,1970000,633990,33,19,2005
764,EMSPROTO,France,Ecommerce,3136947,1009846,22,10,2014
765,Laboratoires Dermosun,France,Chemicals & Pharmaceuticals,5626849,1815835,13,9,2011
766,Saico,Italy,Construction,6737600,2177950,23,13,2013
767,Nutis,Italy,Food & Beverage,6566530,2124990,19,9,1956
768,Ogrodosfera.pl,Poland,Ecommerce,13256472,4693330,23,12,2011
769,SVTI,France,Industrial Goods,3981300,1290312,30,17,2010
770,Enhancers,Italy,Technology,3352210,1087520,38,13,2011
771,AGRIPOWER FRANCE,France,Waste management & recycling,7701275,2498792,16,6,2012
772,Next Turbo Technologies,Italy,Industrial Goods,9481040,3080610,18,8,2014
773,Velvet Media Italia,Italy,Advertising,5411160,1759490,98,46,2013
774,Booster Box,Italy,Advertising,2049365,667837,35,9,2016
775,RMF Group,Slovakia,Food & Beverage,3289892,1072117,2,3,2014
776,Darwin Group Limited,UK,Construction,70393894,23141358,140,89,2005
777,ITFS,Poland,Technology,10446862,3730405,230,90,2012
778,SKILLSDAY,France,Education,3154795,1031988,25,9,2015
779,Gapps,Finland,Technology,8707000,2850000,34,23,2010
780,Maxfel,Italy,Interiors,2201160,720650,15,6,1984
781,Herrero Brigantina,Spain,Insurance,14725853,4832212,55,33,2012
782,Manitech,Italy,Industrial Goods,3834910,1263420,6,3,2016
783,Tradeco,Italy,Industrial Goods,5889890,1944720,16,6,2016
784,MON CHASSEUR IMMO,France,Property,4794423,1585727,28,13,2012
785,UpSlide,France,Support Services,8274214,2737704,75,20,2013
786,COGECLIM ENERGIES,France,Construction,2622506,868406,18,5,2015
787,Cellarius,Hungary,Sales & Marketing,2571079,989785,14,10,2004
788,careful-service,Germany,Health,3537769,1173908,141,75,2014
789,Softneta,Lithuania,Health,1778249,590642,30,24,2007
790,Progeny,UK,Financial Services,16601337,5561585,161,64,2016
791,Web Geo Services,France,Technology,24114000,8022358,57,29,2009
792,Spedition Ibov,Germany,Transport,3424863,1140000,n/a,n/a,2013
793,MyPostcard.com,Germany,Retail,6358307,2119022,25,21,2014
794,VARIOSAN,Germany,Retail,3233968,1078808,3,2,2013
795,Riedle + Bertsch,Germany,Technology,2331579,777849,36,8,2013
796,Mobili Fiver,Italy,Interiors,11897820,3973460,50,23,1999
797,KLC DESAMIANTAGE,France,Construction,6182419,2065220,46,11,2015
798,SECRET ARTS OF SPIRITS,France,Retail,3308224,1105569,6,3,2014
799,MPB Group Limited,UK,Ecommerce,72503245,24429686,184,68,2011
800,3zehn Auto Discount,Germany,Automobiles,25448057,8527777,12,5,2016
801,ADIKTEEV,France,Technology,45616000,15292051,67,50,2012
802,Fundis Reitsport,Germany,Retail,7066208,2370645,50,3,2009
803,Antriebstechnik Ebner-Seibold,Germany,Retail,2245423,753352,17,9,2009
804,Invibes Advertising,Belgium,Technology,11530000,3880663,102,30,2011
805,Jointly il welfare condiviso,Italy,Support Services,2400550,808700,34,18,2014
806,ABTOT Mark & Anläggning AB,Sweden,Construction,9983094,3450305,23,10,2012
807,DUSAPRO Immobilien,Germany,Property,33903865,11484801,36,10,2012
808,SOLDATS FILMS,France,Media,2320653,787160,8,4,2012
809,Eagleprojects,Italy,Telecoms,15140480,5137900,287,120,2016
810,Agile Lab,Italy,Technology,5590450,1897650,43,15,2013
811,importpris.no,Norway,Ecommerce,3113197,1126971,8,4,2012
812,truu,Germany,Industrial Goods,12472561,4245861,72,18,2011
813,L’Atelier,France,Technology,4288024,1461226,15,5,2016
814,frigoclim Kälte-Klima,Germany,Construction,3890690,1326082,22,7,2014
815,M Coffee Company,Germany,Retail,2117442,722795,5,3,2013
816,PROTEXTYL,France,Retail,5324116,1818032,22,12,2011
817,SP architecte,France,Construction,2825876,964998,18,14,2009
818,Embargos a lo bestia,Spain,Retail,22559217,7709375,178,54,2011
819,Snigel,Ireland,Technology,20479764,7000063,3,2,2011
820,IMS Rettungsdienst,Germany,Health,1900000,650000,120,5,2006
821,Way2Global SB,Italy,Support Services,2411600,828820,16,1,2017
822,Media Access Solutions,UK,Support Services,3407930,1181642,33,3,2014
823,Exadi,Spain,Sales and Marketing,42525086,14649568,44,21,2008
824,Fiber-Service-Gesellschaft,Germany,Telecoms,4049655,1395607,29,10,2014
825,TenderHut (Group),Poland,Technology,10264611,3868483,280,140,2010
826,Worldwide Fishing Company,Spain,Food & Beverage,140442673,48449141,30,12,2016
827,Doctor Hail spa,Italy,Automobiles,18101114,6246592,43,26,2013
828,KBS Group,Germany,Support Services,42006000,14500000,1500,650,2011
829,Terre Ehitus,Estonia,Construction,2089215,723064,12,5,2017
830,Bauer Energiekonzepte,Germany,Energy,36223730,12554325,19,7,2013
831,New Euroart,Italy,Construction,9307640,3226280,77,26,2001
