,Name,Industry,headQuarters,Founded,Area Served
235,Google,Artificial intelligence Advertising Cloud computing Computer software Computer hardware Internet,1600 Amphitheatre Parkway,"September 4, 1998; 24 years ago (1998-09-04)[a] in Menlo Park, California, United States",Worldwide
236,GoDaddy,"internet, IT Consulting, SMEs","Tempe, Arizona",1997; 25 years ago (1997) (as Jomax Technologies),Worldwide
237,GoPro,Technology Videography Consumer electronics,"Tempe, Arizona",2002; 20 years ago (2002),Worldwide
238,Harley-Davidson,Technology Videography Consumer electronics,"Milwaukee, Wisconsin, U.S.",1903; 119 years ago (1903),
239,Hermès,Luxury goods,Rue du Faubourg Saint-Honoré,1837; 185 years ago (1837) in Paris,
240,Haier,Home appliances Consumer electronics,Rue du Faubourg Saint-Honoré,1984; 38 years ago (1984),
241,Harrods,Retail,Brompton Road,1849; 173 years ago (1849),
242,Haribo,Confectionery,Brompton Road,13 December 1920; 102 years ago (1920-12-13),
243,Hard Rock Cafe,"Casual dining restaurants, casinos, hotels",Davie,"14 June 1971; 51 years ago (1971-06-14) London, England",
244,Halliburton,Fossil fuel,"Houston, Texas","1919; 103 years ago (1919), in Duncan, Oklahoma, U.S.",Worldwide
245,Hankook Tire,Auto and Truck parts,Bundang-gu,10 May 1941; 81 years ago (1941-05-10) (as the Chosun Tire Company),
246,House Foods,Food,Bundang-gu,"November 11, 1913; 109 years ago (1913-11-11) as Urakami Shoten",Worldwide
247,Hartwall,Food,Bundang-gu,"November 11, 1913; 109 years ago (1913-11-11) as Urakami Shoten",
248,H&M,Retail,Bundang-gu,"1947; 75 years ago (1947) (as Hennes) Västerås, Sweden",Worldwide
249,Hasbro,Toys and entertainment,Bundang-gu,1923; 99 years ago (1923),Worldwide
250,Hearst Communications,Media,Hearst Tower,"March 4, 1887; 135 years ago (1887-03-04) San Francisco, California, United States",
251,Henkel,FMCG,Düsseldorf,1876; 146 years ago (1876),
252,Hewlett Packard Enterprise,Information technology,Düsseldorf,"November 1, 2015; 7 years ago (2015-11-01) in San Jose, California",Worldwide
253,Hilti,Manufacturing,Schaan,1941,
254,Hisamitsu Pharmaceutical,Pharmaceuticals,"Tosu, Saga",1847; 175 years ago (1847),Worldwide
255,Hitachi,Conglomerate,"Tosu, Saga","1910; 112 years ago (1910) Hitachi, Ibaraki, Japan",Worldwide
256,Honda,Manufacturing,"Tosu, Saga","Hamamatsu, Japan (October 1946 (1946-10), incorporated 24 September 1948; 74 years ago (1948-09-24))",Worldwide
257,Honeywell,Conglomerate,"Charlotte, North Carolina, U.S.","1906; 116 years ago (1906) Wabash, Indiana",Worldwide
258,HP Inc.,Computer hardware,"Charlotte, North Carolina, U.S.","January 1, 1939; 83 years ago (1939-01-01) (as Hewlett-Packard) November 1, 2015; 7 years ago (2015-11-01)[1] (as HP Inc.)",Worldwide
259,HSBC,Financial services,8 Canada Square,"First established on 3 March 1865; 157 years ago (1865-03-03) in British Hong Kong[1] (as The Hongkong and Shanghai Bank) First incorporated on 14 August 1866; 156 years ago (1866-08-14)[2] (as The Hongkong and Shanghai Banking Corporation) 25 March 1991; 31 years ago (1991-03-25)[1][3] in London (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)",Worldwide
260,HTC,Telecommunications equipment,8 Canada Square,15 May 1997; 25 years ago (1997-05-15),Worldwide
261,Huayi Brothers,Entertainment,8 Canada Square,1994; 28 years ago (1994),China
262,Huawei,Consumer electronics Telecom equipment Networking equipment Semiconductors Artificial intelligence Automation Cloud computing Internet of things,8 Canada Square,15 September 1987; 35 years ago (1987-09-15),Worldwide (exempting United States since 2019)
263,Huntington Bancshares,Banking,"Columbus, Ohio","1866; 156 years ago (1866) as P. W. Huntington & Company in Columbus, Ohio","Colorado, Indiana, Kentucky, Minnesota, Michigan, Ohio, Pennsylvania, West Virginia, Illinois, and Wisconsin"
264,Huntington Ingalls Industries,"Defense, Shipbuilding, Defense Technologies","Columbus, Ohio","March 31, 2011; 11 years ago (2011-03-31)",Worldwide
265,Huntsman Corporation,Chemicals,"The Woodlands, Texas, U.S.",1970; 52 years ago (1970),
266,Hytera,Telecommunications,Shenzhen,1993,Worldwide
267,HMD Global,Consumer electronics,Espoo,1 December 2016; 6 years ago (2016-12-01),Worldwide
268,Hyundai Motor Company,Automotive,Espoo,29 December 1967; 54 years ago (1967-12-29),Worldwide
269,IBM,Information technology,Espoo,"June 16, 1911; 111 years ago (1911-06-16) (as Computing-Tabulating-Recording Company) Endicott, New York, U.S.[1]",177 countries[2]
270,NEX Group,Financial services,Espoo,1999; 23 years ago (1999),
271,ICICI Bank,Financial services,Espoo,5 January 1994; 28 years ago (1994-01-05),Worldwide
272,IJM Corporation,Construction Property Infrastructure Plantations Industry,Espoo,1983,
273,Indeed,Construction Property Infrastructure Plantations Industry,"Austin, Texas",November 2004; 18 years ago (2004-11),
274,Intracom Holdings,Conglomerate,"Austin, Texas",1977,Europe Middle East & Africa United States South East Asia
275,IKEA,Retail,,28 July 1943; 79 years ago (1943-07-28)[1] in Sweden,Europe Middle East North Africa East Asia India Southeast Asia Oceania North America South America
276,Illinois Tool Works,Manufacturing,"Glenview, Illinois",1912; 110 years ago (1912),Worldwide
277,Infosys,Information technology Consulting Outsourcing,"Glenview, Illinois",2 July 1981; 41 years ago (2 July 1981),Worldwide
278,ING Group,Financial services,Amsterdam,1991 through merger[1] (est. 1743 as Kooger Doodenbos),"Europe, Asia, Oceania, North America, South America"
279,Ingersoll Rand,Diversified Machinery,Amsterdam,1859,
280,Intel,Semiconductors Computer hardware Autonomous cars Automation Artificial intelligence,Amsterdam,"July 18, 1968; 54 years ago (1968-07-18)",Worldwide
281,Intesa Sanpaolo,Financial services,Grattacielo Intesa Sanpaolo,2007; 15 years ago (2007) (merger) 1583; 439 years ago (1583) as Istituto Bancario San Paolo di Torino,
282,Isuzu,Manufacturing,Grattacielo Intesa Sanpaolo,30 March 1934; 88 years ago (1934-03-30) (as Isuzu),Worldwide
283,Jelly Belly,Confections,"Fairfield, California","1869; 153 years ago (1869) in Belleville, Illinois, U.S.",Worldwide
284,Jim Beam,Confections,"Fairfield, California","1869; 153 years ago (1869) in Belleville, Illinois, U.S.",
285,The J.M. Smucker Company,Food Beverage,"Fairfield, California","1897; 125 years ago (1897) in Orrville, Ohio, U.S.",
286,Jardine Matheson,Conglomerate,Jardine House,1 July 1832; 190 years ago (1 July 1832)[1],Worldwide
287,JG Summit Holdings,Various,Robinsons Equitable Tower,1990; 32 years ago (1990),Philippines
288,Johnnie Walker,Various,Robinsons Equitable Tower,1990; 32 years ago (1990),
289,Johnson & Johnson,Pharmaceutical Medical Technology Consumer Healthcare,"New Brunswick, New Jersey","January 1886; 136 years ago (1886-01) in New Brunswick, New Jersey, United States",Worldwide
290,Jollibee Foods Corporation,Restaurants,Ortigas Center,"Quezon City, Philippines (January 1978; 44 years ago (1978-01))[note 1]","East Asia, Southeast Asia, Middle East, North America, Western Europe"
291,JPMorgan Chase,Financial services,383 Madison Avenue,"December 1, 2000; 22 years ago (2000-12-01)",Worldwide
292,JVCKenwood,Electronics,383 Madison Avenue,"October 1, 2008; 14 years ago (2008-10-01) (as a merger between Kenwood Corporation and Victor Company of Japan, Ltd)",
293,JXD,Consumer electronics,383 Madison Avenue,"October 1, 2008; 14 years ago (2008-10-01) (as a merger between Kenwood Corporation and Victor Company of Japan, Ltd)","North America, South America, Europe, Asia, Middle East, Africa, Oceania"
294,KBC Group,Financial services,Brussels,"1935; 87 years ago (1935) (Kredietbank), present name (KBC Group) dates from 2005",
295,Kawasaki Heavy Industries,Heavy equipment Automotive Defense,Ch??,15 October 1896; 126 years ago (1896-10-15),
296,Kappa (brand),Sports equipment Textile,Ch??,1978; 44 years ago (1978),Worldwide
297,Kellogg's,Food processing,Ch??,"February 19, 1906; 116 years ago (1906-02-19) (as Battle Creek Toasted Corn Flake Company) Battle Creek, Michigan, U.S.",Worldwide
298,Kikkoman,Food,Ch??,"1603; 419 years ago (1603) (oldest establishment)[1] December 7, 1917; 105 years ago (1917-12-07) (incorporated)",
299,Kirin Company,Beverage,Ch??,1888; 134 years ago (1888),
