,pricecap,revenue,earnings,share_price,url
316,doll_47.90 b,,,doll_61.97,
317,doll_47.88 b,,,doll_6.84,
318,doll_47.71 b,,,doll_670.33,
319,doll_47.91 b,,,doll_149.74,
320,doll_48.09 b,,,doll_67.31,
321,doll_47.97 b,,,doll_80.62,
322,doll_47.95 b,,,doll_3.46,
323,doll_48.15 b,,,doll_261.05,
324,doll_48.13 b,,,doll_234.73,
325,doll_48.45 b,,,doll_43.97,
326,doll_48.41 b,,,doll_33.07,
327,doll_48.57 b,,,doll_85.79,
328,doll_48.78 b,,,doll_39.83,
329,doll_48.87 b,,,doll_95.12,
330,doll_48.82 b,,,doll_166.83,
331,doll_48.81 b,,,"doll_2,572",
332,doll_48.98 b,,,doll_127.07,
333,doll_49.21 b,,,doll_385.99,
334,doll_49.13 b,,,doll_3.10,
335,doll_49.10 b,,,doll_12.64,
336,doll_49.39 b,,,doll_5.04,
337,doll_49.38 b,,,doll_15.37,
338,doll_49.74 b,,,doll_10.74,
339,doll_49.64 b,,,doll_82.00,
340,doll_49.83 b,,,doll_9.98,
341,doll_49.82 b,,,doll_42.65,
342,doll_49.93 b,,,doll_2.95,
343,doll_49.85 b,,,doll_40.93,
344,doll_50.09 b,,,doll_53.25,
345,doll_50.03 b,,,"doll_1,563",
346,doll_50.11 b,,,doll_16.75,
347,doll_50.41 b,,,doll_106.66,
348,doll_50.38 b,,,doll_60.47,
349,doll_50.37 b,,,doll_91.71,
350,doll_50.59 b,,,doll_8.00,
351,doll_51.35 b,,,doll_86.52,
352,doll_51.31 b,,,doll_120.84,
353,doll_51.30 b,,,doll_40.47,
354,doll_51.39 b,,,doll_4.14,
355,doll_51.80 b,,,doll_32.16,
356,doll_51.52 b,,,doll_2.48,
357,doll_51.41 b,,,doll_0.40,
358,doll_43.04 b,,,doll_298.90,
359,doll_42.93 b,,,doll_2.21,
360,doll_42.93 b,,,doll_4.55,
361,doll_43.11 b,,,doll_151.36,
362,doll_43.24 b,,,doll_85.33,
363,doll_43.39 b,,,doll_47.27,
364,doll_43.39 b,,,doll_63.10,
365,doll_43.40 b,,,doll_31.94,
366,doll_28.80 b,,,doll_59.51,
367,doll_43.41 b,,,doll_201.11,
368,doll_43.53 b,,,doll_43.22,
369,doll_43.71 b,,,doll_26.59,
370,doll_43.77 b,,,doll_170.99,
371,doll_43.75 b,,,doll_23.97,
372,doll_43.79 b,,,doll_230.00,
373,doll_44.02 b,,,doll_33.80,
374,doll_44.16 b,,,doll_12.03,
375,doll_43.94 b,,,doll_74.06,
376,doll_44.40 b,,,doll_144.02,
377,doll_44.32 b,,,doll_171.06,
378,doll_44.41 b,,,doll_317.71,
379,doll_44.40 b,,,doll_140.52,
380,doll_44.48 b,,,"doll_1,605",
381,doll_44.41 b,,,doll_189.54,
382,doll_44.66 b,,,doll_119.34,
383,doll_44.98 b,,,doll_72.34,
384,doll_44.82 b,,,doll_28.49,
385,doll_44.75 b,,,doll_68.46,
386,doll_45.49 b,,,doll_23.96,
387,doll_45.40 b,,,doll_125.98,
