,Unnamed: 0,market_cap,revenue
363,363,0,doll_1.2 b
364,364,doll_1.1 b,doll_1.2 b
365,365,doll_1.5 b,doll_1.2 b
366,366,doll_6.8 b,doll_1.2 b
367,367,doll_3.6 b,doll_1.2 b
368,368,doll_5.2 b,doll_1.2 b
369,369,doll_6.7 b,doll_1.2 b
370,370,doll_1.5 b,doll_1.2 b
371,371,doll_1.7 b,doll_1.2 b
372,372,doll_6.3 b,doll_1.2 b
373,373,doll_20.5 b,doll_1.2 b
374,374,doll_0.7976 b,doll_1.2 b
375,375,doll_2.6 b,doll_1.2 b
376,376,doll_3.3 b,doll_1.2 b
377,377,doll_1.1 b,doll_1.2 b
378,378,doll_9.1 b,doll_1.2 b
379,379,0,doll_1.2 b
380,380,doll_1.1 b,doll_1.2 b
381,381,0,doll_1.2 b
382,382,doll_0.5612 b,doll_1.2 b
383,383,doll_1.3 b,doll_1.2 b
384,384,doll_0.1193 b,doll_1.2 b
385,385,doll_3.8 b,doll_1.2 b
386,386,doll_2.1 b,doll_1.2 b
387,387,doll_0.7908999999999999 b,doll_1.2 b
388,388,doll_1.3 b,doll_1.2 b
389,389,doll_1.1 b,doll_1.2 b
390,390,doll_1.3 b,doll_1.2 b
391,391,doll_22.4 b,doll_1.2 b
392,392,doll_2.5 b,doll_1.2 b
393,393,doll_0.6032000000000001 b,doll_1.2 b
394,394,doll_5.6 b,doll_1.2 b
395,395,doll_2.5 b,doll_1.2 b
396,396,doll_1.1 b,doll_1.2 b
397,397,doll_1.9 b,doll_1.2 b
398,398,doll_1.1 b,doll_1.2 b
399,399,doll_3.8 b,doll_1.2 b
400,400,0,doll_1.2 b
401,401,doll_19.9 b,doll_1.2 b
402,402,0,doll_1.2 b
403,403,0,doll_1.2 b
404,404,doll_2.8 b,doll_1.2 b
405,405,doll_4.1 b,doll_1.2 b
406,406,doll_1.2 b,doll_1.2 b
407,407,doll_0.2697 b,doll_1.2 b
408,408,0,doll_1.2 b
409,409,doll_3.1 b,doll_1.2 b
410,410,doll_0.1571 b,doll_1.2 b
411,411,doll_1.2 b,doll_1.2 b
412,412,doll_18.7 b,doll_1.2 b
413,413,doll_8.0 b,doll_1.2 b
414,414,doll_0.2285 b,doll_1.2 b
415,415,doll_2.9 b,doll_1.2 b
416,416,0,doll_1.2 b
417,417,doll_1.5 b,doll_1.2 b
418,418,doll_2.6 b,doll_1.2 b
419,419,doll_5.0 b,doll_1.2 b
420,420,doll_1.5 b,doll_1.2 b
421,421,doll_2.6 b,doll_1.2 b
422,422,doll_2.9 b,doll_1.2 b
423,423,doll_3.1 b,doll_1.2 b
424,424,doll_0.4808 b,doll_1.2 b
425,425,doll_4.5 b,doll_1.2 b
426,426,doll_0.2948 b,doll_1.2 b
