,Unnamed: 0,revenue_2020_eu
711,711,doll_0.0029500000000000004 b
712,712,doll_0.20531 b
713,713,doll_0.0334 b
714,714,doll_0.15622999999999998 b
715,715,doll_0.0018 b
716,716,doll_0.004200000000000001 b
717,717,doll_0.0026 b
718,718,doll_0.00517 b
719,719,doll_0.0020099999999999996 b
720,720,doll_0.022019999999999998 b
721,721,doll_0.05706 b
722,722,doll_0.00719 b
723,723,doll_0.01293 b
724,724,doll_0.0054800000000000005 b
725,725,doll_0.03337 b
726,726,doll_0.00376 b
727,727,doll_0.00387 b
728,728,doll_0.01692 b
729,729,doll_0.0023 b
730,730,doll_0.0035 b
731,731,doll_0.0069299999999999995 b
732,732,doll_0.00354 b
733,733,doll_0.0025499999999999997 b
734,734,doll_0.038369999999999994 b
735,735,doll_0.03089 b
736,736,doll_0.0028 b
737,737,doll_0.00531 b
738,738,doll_0.00426 b
739,739,doll_0.00164 b
740,740,doll_0.040780000000000004 b
741,741,doll_0.00973 b
742,742,doll_0.032170000000000004 b
743,743,doll_0.0025499999999999997 b
744,744,doll_0.00957 b
745,745,doll_0.04958 b
746,746,doll_0.00181 b
747,747,doll_0.00439 b
748,748,doll_0.00213 b
749,749,doll_0.04919 b
750,750,doll_0.026010000000000002 b
751,751,doll_0.02075 b
752,752,doll_0.0027 b
753,753,doll_0.00209 b
754,754,doll_0.016370000000000003 b
755,755,doll_0.00636 b
756,756,doll_0.01046 b
757,757,doll_0.01585 b
758,758,doll_0.010199999999999999 b
759,759,doll_0.008119999999999999 b
760,760,doll_0.00366 b
761,761,doll_0.05777 b
762,762,doll_0.00788 b
763,763,doll_0.00197 b
764,764,doll_0.00314 b
765,765,doll_0.00563 b
766,766,doll_0.00674 b
767,767,doll_0.00657 b
768,768,doll_0.01326 b
769,769,doll_0.00398 b
770,770,doll_0.00335 b
771,771,doll_0.0077 b
772,772,doll_0.00948 b
773,773,doll_0.00541 b
774,774,doll_0.0020499999999999997 b
775,775,doll_0.00329 b
776,776,doll_0.07039 b
777,777,doll_0.01045 b
778,778,doll_0.00315 b
779,779,doll_0.00871 b
780,780,doll_0.0022 b
781,781,doll_0.01473 b
782,782,doll_0.00383 b
783,783,doll_0.005889999999999999 b
784,784,doll_0.00479 b
785,785,doll_0.00827 b
786,786,doll_0.00262 b
787,787,doll_0.00257 b
788,788,doll_0.00354 b
789,789,doll_0.0017800000000000001 b
790,790,doll_0.0166 b
791,791,doll_0.02411 b
792,792,doll_0.00342 b
793,793,doll_0.00636 b
794,794,doll_0.00323 b
795,795,doll_0.00233 b
796,796,doll_0.0119 b
797,797,doll_0.00618 b
798,798,doll_0.00331 b
799,799,doll_0.0725 b
800,800,doll_0.02545 b
801,801,doll_0.04562 b
802,802,doll_0.00707 b
803,803,doll_0.00225 b
804,804,doll_0.011529999999999999 b
805,805,doll_0.0024 b
806,806,doll_0.009980000000000001 b
807,807,doll_0.0339 b
808,808,doll_0.00232 b
809,809,doll_0.01514 b
810,810,doll_0.0055899999999999995 b
811,811,doll_0.00311 b
812,812,doll_0.01247 b
813,813,doll_0.00429 b
814,814,doll_0.0038900000000000002 b
815,815,doll_0.00212 b
816,816,doll_0.00532 b
817,817,doll_0.00283 b
818,818,doll_0.02256 b
819,819,doll_0.02048 b
820,820,doll_0.0019 b
821,821,doll_0.0024100000000000002 b
822,822,doll_0.0034100000000000003 b
823,823,doll_0.04253 b
824,824,doll_0.00405 b
825,825,doll_0.01026 b
826,826,doll_0.14044 b
827,827,doll_0.0181 b
828,828,doll_0.04201 b
829,829,doll_0.00209 b
830,830,doll_0.03622 b
831,831,doll_0.00931 b
832,832,doll_0.00166 b
833,833,doll_0.10876000000000001 b
834,834,doll_0.0020099999999999996 b
835,835,doll_0.018760000000000002 b
836,836,doll_0.0081 b
837,837,doll_0.055560000000000005 b
838,838,doll_0.00195 b
839,839,doll_0.00304 b
840,840,doll_0.00663 b
841,841,doll_0.00151 b
842,842,doll_0.10515000000000001 b
843,843,doll_0.00663 b
844,844,doll_0.01051 b
845,845,doll_0.0018700000000000001 b
846,846,doll_0.007 b
847,847,doll_0.00404 b
848,848,doll_0.01675 b
849,849,doll_0.01126 b
850,850,doll_0.0045 b
851,851,doll_0.00289 b
852,852,doll_0.00181 b
853,853,doll_0.00644 b
854,854,doll_0.01789 b
855,855,doll_0.00164 b
856,856,doll_0.00504 b
857,857,doll_0.08006999999999999 b
858,858,doll_0.00547 b
859,859,doll_0.0033900000000000002 b
860,860,doll_0.08304 b
861,861,doll_0.00408 b
862,862,doll_0.00244 b
863,863,doll_0.01183 b
864,864,doll_0.00636 b
865,865,doll_0.0049900000000000005 b
866,866,doll_0.00879 b
867,867,doll_0.00151 b
868,868,doll_0.00387 b
869,869,doll_0.01128 b
870,870,doll_0.00784 b
871,871,doll_0.00449 b
872,872,doll_0.00302 b
873,873,doll_0.0034500000000000004 b
874,874,doll_0.01508 b
875,875,doll_0.00279 b
876,876,doll_0.03027 b
877,877,doll_0.031039999999999998 b
878,878,doll_0.00232 b
879,879,doll_0.00932 b
880,880,doll_0.034409999999999996 b
881,881,doll_0.00158 b
882,882,doll_0.0028399999999999996 b
883,883,doll_0.022420000000000002 b
884,884,doll_0.01626 b
885,885,doll_0.00396 b
886,886,doll_0.0022 b
887,887,doll_0.01317 b
888,888,doll_0.0055 b
889,889,doll_0.0022299999999999998 b
890,890,doll_0.00215 b
891,891,doll_0.08398 b
892,892,doll_0.009640000000000001 b
893,893,doll_0.03308 b
894,894,doll_0.0165 b
895,895,doll_0.004070000000000001 b
896,896,doll_0.00697 b
897,897,doll_0.02536 b
898,898,doll_0.00454 b
899,899,doll_0.00158 b
900,900,doll_0.00273 b
901,901,doll_0.010369999999999999 b
902,902,doll_0.004059999999999999 b
903,903,doll_0.06801 b
904,904,doll_0.00601 b
905,905,doll_0.0022400000000000002 b
906,906,doll_0.0062 b
907,907,doll_0.0035600000000000002 b
908,908,doll_0.0023599999999999997 b
909,909,doll_0.00319 b
910,910,doll_0.01455 b
911,911,doll_0.0928 b
912,912,doll_0.00497 b
913,913,doll_0.01669 b
914,914,doll_0.00335 b
915,915,doll_0.004019999999999999 b
916,916,doll_0.07876999999999999 b
917,917,doll_0.00539 b
918,918,doll_0.00519 b
919,919,doll_0.01862 b
920,920,doll_0.03761 b
921,921,doll_0.00951 b
922,922,doll_0.0046500000000000005 b
923,923,doll_0.020390000000000002 b
924,924,doll_0.00176 b
925,925,doll_0.01411 b
926,926,doll_0.0023799999999999997 b
927,927,doll_0.00213 b
928,928,doll_0.00188 b
929,929,doll_0.013439999999999999 b
930,930,doll_0.00188 b
