,name,industry,sector,headquarters,founded,type,founders,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
2264,Petrolina,Oil & gas,Exploration & production,Larnaca,1959,,,,,,,,,
2265,Pevex Management,Financials,Investment services,Nicosia,2008,,,,,,,,,
2266,Port of Limassol,Industrials,Industrial transportation,Limassol,1956,,,,,,,,,
2267,PrimeTel PLC,Telecommunications,Fixed line telecom,Nicosia,2003,,,,,,,,,
2268,RCB Bank,Financials,Banks,Limassol,1995,,,,,,,,,
2269,Rusal,Basic materials,Industrial metals & mining,Nicosia,2007,,,,,,,,,
2270,SAT-7,Consumer services,Broadcasting & entertainment,Nicosia,1995,,,,,,,,,
2271,Telepassport Telecommunications,Telecommunications,Fixed line telecom,Nicosia,2002,,,,,,,,,
2272,The American Heart Institute,Consumer services,Health,Strovolos,1999,,,,,,,,,
2273,The Cyprus Institute,Technology,Research,Nicosia,2005,,,,,,,,,
2274,The Muscular Dystropy Research Foundation,Technology,Research,Nicosia,1987,,,,,,,,,
2275,The Cyprus Institute of Neurology and Genetics,Technology,Research,Nicosia,1990,,,,,,,,,
2276,Tsokkos,Consumer services,Hospitality,Ayia Napa,1979,,,,,,,,,
2277,Tus Airways,Consumer services,Travel & Leisure,Larnaca,2015,,,,,,,,,
2278,Universal Life,Financials,Life insurance,Nicosia,1970,,,,,,,,,
2279,University of Cyprus,Consumer services,Education,Nicosia,1989,,,,,,,,,
2280,University of Nicosia,Consumer services,Education,Nicosia,1980,,,,,,,,,
2281,Wargaming,Technology,Software,Nicosia,1998,,,,,,,,,
2282,Woolworths,Consumer services,Broadline retailers,Nicosia,1950,,,,,,,,,
2283,xHamster,Technology,Software,Nicosia,2007,,,,,,,,,
2284,3. Maj,Industrials,Commercial vehicles & trucks,Rijeka,1892,,,,,,,,,
