wikipedia-notes,disfold-sector,ft-sector,valuetoday-sector,wikipedia-sector,ambitiobox-industry,ariregister-industry,cbinsights-industry,disfold-industry,forbes-industry,globaldata-industry,hithorizons-industry,teamblind-industry,valuetoday-industry,wikipedia-industry,companiesmarketcap-categories,disfold-categories
menswear,industrials,beauty,,clothing & accessories,it services & consulting,,,specialty industrial machinery,it software & services,financial services,,,"['shell company', 'consumer electronics']",consumer goods,"['software', 'tech']",
watches,consumer discretionary,fintech,,clothing & accessories,engineering & construction,,,resorts & casinos,construction,energy and utilities,,,"['healthcare', 'medical equipment', 'healthcare products']",consumer goods,['packaging'],
comic books,financials,technology,,publishing,power,,,banks,banking,financial services,,,"['basic materials', 'mining']",consumer services,"['engineering', 'construction']",
dairy goods and snacks,basic materials,support services,,food products,hospitality,,,agricultural inputs,"construction, oil & gas operations, mining and chemicals",construction,,,"['basic materials', 'iron and steel']",consumer goods,"['construction', 'infrastructure']",
"aircraft, defunct 1998",technology,technology,,aerospace,electrical equipment,,,information technology services,chemicals,power,,,"['energy', 'oil and gas', 'oil and gas equipment', 'oil and gas equipment and services', 'engineering services']",industrials,['transportation'],
motorbikes,technology,support services,,automobiles,it services & consulting,,,information technology services,chemicals,technology and communications,,,"['financial services', 'banking services']",consumer goods,"['autonomous driving', 'software', 'tech']",
juvenile products and toys,utilities,chemicals,,toys,it services & consulting,,,utilities—renewable,media,automotive,,,"['education', 'technology', 'internet or mobile app based business']",consumer goods,"['manufacturing', 'machinery manufacturing']",
firearms,industrials,pharmaceuticals,,defense,industrial machinery,,,airlines,health care equipment & services,financial services,,,"['technology', 'software and it']",industrials,"['banks', 'financial services']",
confectionery and gum,technology,education,,food products,sports & recreation,,,software—infrastructure,it software & services,pharmaceuticals and healthcare,,,"['technology', 'electronics', 'semiconductors', 'solar power devices']",consumer goods,"['reits', 'real estate', 'investment']",
yachts,healthcare,technology,,shipbuilding,industrial machinery,,,biotechnology,oil & gas operations,financial services,,,"['industries', 'outsourcing and staffing']",industrials,"['investment', 'asset management', 'biotech']",
construction and engineering,energy,industrial goods,,heavy construction,electrical equipment,,,oil & gas e&p,banking,financial services,,,"['basic materials', 'iron and steel']",industrials,['food'],
theater drapes and stage curtains,technology,energy,,recreational products,chemicals / agri inputs,,,software—infrastructure,consumer durables,financial services,,,"['healthcare', 'biotechnology', 'biopharmaceutical']",consumer goods,,
eyewear,consumer staples,technology,,clothing & accessories,logistics,,,household & personal products,diversified financials,transport and logistics,,,"['industries', 'engineering products', 'engineering services', 'construction', 'infrastructure']",consumer goods,['gloves & ppe'],
"confectionery, part of nestlé (switzerland)",utilities,fashion,,food products,internet,,,utilities—regulated electric,retailing,technology and communications,,,"['energy', 'engineering products', 'engineering services', 'oil and gas']",consumer goods,,
aerospace manufacturing,financials,ecommerce,,aerospace & defense,internet,,,banks,health care equipment & services,financial services,,,"['technology', 'communications equipment']",industrials,"['pharmaceuticals', 'biotech']",
scooters,communication services,advertising,,automobiles,fintech,,,entertainment,household & personal products,consumer packaged goods,,,"['consumer defensive', 'package foods']",consumer goods,"['software', 'tech', 'it services', 'professional services']",
"bicycles, part of catterton partners (us)",energy,beauty,,recreational products,metals & mining,,,oil & gas e&p,banking,construction,,,"['healthcare', 'consumer services', 'professional services', 'hospitals']",consumer goods,['pulp and paper'],
"car body styling, part of mahindra group (india)",industrials,technology,,automobiles,engineering & construction,,,marine shipping,banking,financial services,,,"['financial services', 'banking services']",consumer goods,,
tires,industrials,sales & marketing,,tires,internet,,,airports & air services,insurance,technology and communications,,,"['industries', 'railway', 'aerospace and defense', 'aerospace products', 'technology', 'aeroplane', 'railway vehicles and railway components', 'space products']",consumer goods,,
bicycles,consumer discretionary,telecoms,,recreational products,real estate,,,auto manufacturers,drugs & biotechnology,financial services,,,"['financial services', 'stock markets, trading, capital markets']",consumer goods,,
fashion,financials,financial services,,clothing & accessories,it services & consulting,,,asset management,retailing,automotive,,,"['real estate', 'property investments']",consumer goods,"['real estate', 'investment', 'reits']",
"cargo airline, part of poste italiane",technology,technology,,airlines,hospitality,,,software—application,diversified financials,metals and mining,,,"['consumer cyclical', 'consumer services']",consumer services,"['tech', 'tech hardware', 'electronics']",
postal services,real estate,retail,,delivery services,pharma,,,reit—residential,construction,financial services,,,"['healthcare', 'healthcare service', 'hospitals']",industrials,,
fashion,healthcare,support services,,clothing & accessories,engineering & construction,,,medical care facilities,trading companies,energy and utilities,,,"['healthcare', 'pharmaceutical']",consumer goods,,
bicycles,industrials,fintech,,recreational products,it services & consulting,,,business equipment & supplies,oil & gas operations,construction,,,"['industries', 'construction']",consumer goods,"['biotech', 'genomics', 'diagnostics and testing']",
electrical cable,communication services,sales & marketing,,electrical components & equipment,software product,,,telecom services,drugs & biotechnology,financial services,,,"['real estate', 'consumer services', 'retail', 'property investments']",industrials,"['biotech', 'pharmaceuticals']",
state media,basic materials,industrial goods,,broadcasting & entertainment,fmcg,,,building materials,chemicals,consumer packaged goods,,,"['basic materials', 'chemicals']",consumer services,['electronics'],
espresso machines,industrials,energy,,durable household products,nbfc,,,farm & heavy construction machinery,materials,transport and logistics,,,"['healthcare', 'healthcare service', 'hospitals']",consumer goods,['transportation'],
glasses,technology,construction,,clothing & accessories,engineering & construction,,,electronic components,retailing,metals and mining,,,"['consumer cyclical', 'automobile service', 'automobile parts', 'retail', 'consumer services']",consumer goods,"['pharmaceuticals', 'biotech']",
publishing group,basic materials,support services,,publishing,food processing,,,gold,banking,power,,,"['consumer cyclical', 'automobile parts', 'plastics / plastic products', 'engineering products', 'electrical products', 'electronics', 'capital goods', 'automobile']",consumer services,['tires'],
fashion,industrials,telecoms,,clothing & accessories,it services & consulting,,,specialty industrial machinery,drugs & biotechnology,leisure and arts,,,"['industries', 'telecom', 'consumer non durables', 'telecom equipment', 'electrical products']",consumer goods,"['real estate', 'investment', 'reits']",
general contractor,financials,technology,,heavy construction,internet,,,credit services,consumer durables,pharmaceuticals and healthcare,,,"['industries', 'capital goods', 'industry machinery', 'machinery manufacturing']",industrials,"['pharmaceuticals', 'biotech']",
racing accessories,basic materials,support services,,auto parts,logistics,,,building materials,consumer durables,consumer packaged goods,,,"['real estate', 'financial services']",consumer goods,,
espresso machines,financials,ecommerce,,durable household products,financial services,,,capital markets,"it, internet, software & services",consumer packaged goods,,,"['consumer cyclical', 'retail']",consumer goods,"['software', 'tech']",
eyewear,consumer discretionary,technology,,clothing & accessories,law enforcement & security,,,specialty retail,consumer durables,automotive,,,"['technology', 'software and it', 'cloud services']",consumer goods,,
industrial group,healthcare,support services,,heavy construction,auto components,,,medical instruments & supplies,retail and wholesale,financial services,,,"['technology', 'software and it', 'software products']",industrials,"['energy', 'renewable energy', 'biofuel']",
fashion,utilities,construction,,clothing & accessories,chemicals,,,utilities—diversified,chemicals,agriculture and forestry,,,"['basic materials', 'chemicals']",consumer goods,"['energy', 'oil&gas']",
"mineral water, part of nestlé (switzerland)",healthcare,advertising,,beverages,auto components,,,health information services,retailing,financial services,,,"['technology', 'electronics', 'semiconductors']",consumer goods,"['media/press', 'entertainment']",
petroleum,technology,management consulting,,oil & gas exploration & production,retail,,,software—infrastructure,"food, soft beverages, alcohol & tobacco",transport and logistics,,,"['consumer cyclical', 'healthcare service', 'gym and fitness', 'leisure']",oil & gas,"['electronics', 'manufacturing']",
televisions,industrials,construction,,consumer electronics,hospitality,,,electrical equipment & parts,"engineering, manufacturing",metals and mining,,,"['communication services', 'telecom', 'consumer services', 'telecom equipment']",consumer goods,['automotive suppliers'],
"defunct 2015, now leonardo",real estate,food & beverage,,aerospace,facility management services,,,reit—healthcare facilities,banking,financial services,,,"['consumer cyclical', 'retail', 'ecommerce']",industrials,,
footwear,utilities,food & beverage,,footwear,engineering & construction,,,utilities—regulated electric,banking,financial services,,,"['technology', 'software and it']",consumer goods,"['oil&gas', 'energy']",
shoes and handbags,utilities,chemicals,,clothing & accessories,retail,,,utilities—diversified,it software & services,financial services,,,"['healthcare', 'biotechnology', 'technology', 'healthcare products']",consumer goods,['medical devices'],
network equipment,consumer discretionary,advertising,,telecommunications equipment,internet,,,auto parts,drugs & biotechnology,financial services,,,"['technology', 'electronics', 'capital goods']",technology,"['airlines', 'transportation', 'travel']",
"aircraft, defunct 1983",healthcare,automobiles,,aerospace,it services & consulting,,,drug manufacturers—general,diversified financials,consumer packaged goods,,,"['real estate', 'investments']",industrials,,
test and certification,basic materials,automobiles,,telecommunications equipment,jewellery,,,steel,banking,technology and communications,,,"['industries', 'shipping']",technology,"['banks', 'financial services']",
pharmaceuticals,industrials,technology,,pharmaceuticals,facility management services,,,tools & accessories,capital goods,financial services,,,"['financial services', 'banking services']",health care,"['banks', 'financial services']",
ammunition,industrials,education,,defense,healthcare,,,electrical equipment & parts,consumer durables,energy and utilities,,,"['industries', 'industry machinery']",industrials,['real estate'],
appliances,consumer staples,technology,,durable household products,engineering & construction,,,household & personal products,diversified financials,energy and utilities,,,"['basic materials', 'chemicals']",consumer goods,['education'],
gas infrastructure,financials,technology,,gas distribution,auto components,,,banks,banking,industrial goods and machinery,,,"['financial services', 'insurance']",utilities,"['banks', 'financial services']",
"ferries line, part of mediterranean shipping company (switzerland)",basic materials,chemicals,,marine transportation,food processing,,,copper,banking,retailing,,,"['communication services', 'entertainment']",industrials,"['video games', 'entertainment']",
developer,industrials,construction,,real estate holding & development,nbfc,,,farm & heavy construction machinery,utilities,energy and utilities,,,"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg']",financials,['food'],
defunct 1921,communication services,food & beverage,,automobiles,industrial automation,,,telecom services,consumer durables,industrial goods and machinery,,,"['real estate', 'construction']",consumer goods,['security & protection services'],
construction equipment,technology,technology,,commercial vehicles & trucks,software product,,,semiconductors,construction,power,,,"['consumer defensive', 'pharmaceutical', 'healthcare products', 'cosmetics', 'fmcg']",industrials,"['semiconductors', 'tech']",
bicycles,financials,ecommerce,,recreational products,education & training,,,mortgage finance,diversified financials,retailing,,,"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology']",consumer goods,"['real estate', 'reits', 'investment']",
racing gear,utilities,advertising,,auto parts,industrial automation,,,utilities—regulated electric,retail and wholesale,technology and communications,,,"['utilities', 'electricity generation']",consumer goods,,
automatic test equipment,basic materials,food & beverage,,semiconductors,real estate,,,specialty chemicals,banking,financial services,,,"['technology', 'electronics', 'capital goods']",technology,['pharmaceuticals'],
helmets,communication services,technology,,auto parts,education & training,,,entertainment,construction,pharmaceuticals and healthcare,,,real estate,consumer goods,"['banks', 'financial services']",
shoes,technology,sales & marketing,,footwear,financial services,,,semiconductors,insurance,energy and utilities,,,"['technology', 'electronics', 'computers hardware']",consumer goods,"['software', 'tech']",
firearms,technology,chemicals,,defense,industrial machinery,,,scientific & technical instruments,semiconductors,automotive,,,"['basic materials', 'glass products', 'chemicals']",industrials,"['oil&gas', 'energy', 'utility companies']",
"steel, machinery, oil & gas, mining",consumer discretionary,technology,,-,it services & consulting,,,lodging,trading companies,automotive,,,"['industries', 'construction equipment', 'infrastructure', 'investments', 'oil refining', 'shipping', 'industry machinery']",conglomerates,"['e-commerce', 'internet', 'tech']",
fitness equipment,consumer discretionary,fintech,,recreational products,engineering & construction,,,travel services,banking,energy and utilities,,,"['consumer cyclical', 'retail', 'ecommerce']",consumer goods,"['airlines', 'travel', 'transportation']",
motorbikes,industrials,education,,automobiles,industrial machinery,,,farm & heavy construction machinery,automotive,industrial goods and machinery,,,"['healthcare', 'biotechnology', 'medical equipment']",consumer goods,"['pharmaceuticals', 'biotech']",
ferries line,communication services,construction,,marine transportation,electrical equipment,,,broadcasting,drugs & biotechnology,chemicals,,,"['financial services', 'stock markets, trading, capital markets', 'banking services']",industrials,['financial services'],
fashion,consumer staples,technology,,clothing & accessories,it services & consulting,,,farm products,it software & services,financial services,,,"['communication services', 'publishing']",consumer goods,['hydrogen fuel cell'],
fashion,financials,technology,,clothing & accessories,marketing & advertising,,,banks,business services & supplies,transport and logistics,,,"['healthcare', 'pharmaceutical', 'healthcare products']",consumer goods,"['chemicals', 'agriculture']",
"brandy, part of sazerac company (us)",healthcare,technology,,distillers & vintners,chemicals,,,medical instruments & supplies,consumer durables,financial services,,,"['industries', 'forest products', 'building products and equipment']",consumer goods,['conglomerate'],
banking,financials,fintech,,banks,real estate,,,capital markets,"food, drink & tobacco",power,,,"['healthcare', 'healthcare products']",financials,['clothing'],
banking,real estate,technology,,banks,power,,,reit—residential,packaged goods,retailing,,,"['real estate', 'consumer services', 'technology', 'data centers', 'property investments', 'commercial properties']",financials,"['ports', 'infrastructure']",
banking,healthcare,industrial goods,,banks,internet,,,biotechnology,conglomerates,retailing,,,"['industries', 'transportation', 'logistics', 'airlines', 'aviation', 'freight transport', 'hotels']",financials,"['scientific & technical instruments', 'biotech']",
jewelry,healthcare,fintech,,clothing & accessories,petrochemicals,,,medical instruments & supplies,insurance,business and consumer services,,,"['consumer cyclical', 'automobile', 'cars', 'electric vehicles']",consumer goods,['pulp and paper'],
fashion,consumer discretionary,travel & leisure,,clothing & accessories,healthcare,,,apparel manufacturing,consumer durables,leisure and arts,,,"['industries', 'heavy machinery']",consumer goods,"['robotics', 'medical devices']",
fashion house,industrials,technology,,clothing & accessories,engineering & construction,,,specialty industrial machinery,banking,industrial goods and machinery,,,"['industries', 'electronics', 'aerospace and defense']",consumer goods,"['real estate', 'investment', 'reits']",
"scooters, part of piaggio",utilities,transport,,automobiles,electronics manufacturing,,,utilities—regulated electric,construction,energy and utilities,,,"['industries', 'mining', 'automobile', 'automobile parts']",consumer goods,,
heavy equipment,consumer discretionary,management consulting,,commercial vehicles & trucks,financial services,,,textile manufacturing,consumer durables,financial services,,,"['financial services', 'investments', 'mutual funds', 'asset management']",industrials,['financial services'],
"motorbikes, production ceased",healthcare,automobiles,,automobiles,it services & consulting,,,biotechnology,business services & supplies,financial services,,,"['real estate', 'consumer services', 'property investments']",consumer goods,"['alcoholic beverages', 'beverages']",
footwear,basic materials,construction,,footwear,pharma,,,agricultural inputs,materials,financial services,,,"['industries', 'heavy machinery']",consumer goods,"['airports', 'infrastructure']",
coachbuilder,consumer staples,technology,,commercial vehicles & trucks,electronics manufacturing,,,beverages—brewers,banking,power,,,"['consumer cyclical', 'retail', 'apparels and accessories', 'fashion and luxury goods']",industrials,['energy'],
musical instruments,industrials,industrial goods,,recreational products,electronics manufacturing,,,railroads,chemicals,retailing,,,"['healthcare', 'medical equipment', 'technology']",consumer goods,"['advertising', 'telecommunication', 'tech']",
diesel engines,basic materials,insurance,,auto parts,industrial machinery,,,chemicals,it software & services,power,,,"['communication services', 'telecom']",consumer goods,"['tech', 'internet']",
"food, pasta",healthcare,agricultural commodities,,food products,financial services,,,diagnostics & research,business services & supplies,power,,,"['industries', 'construction']",consumer goods,,
motorbikes,technology,advertising,,automobiles,marketing & advertising,,,consumer electronics,health care equipment & services,construction,,,"['industries', 'industry machinery']",consumer goods,"['building materials', 'construction']",
construction,healthcare,management consulting,,heavy construction,banking,,,biotechnology,chemicals,retailing,,,"['consumer defensive', 'dairy products', 'food chains / distributor']",industrials,"['transportation', 'maritime transportation']",
bicycles,industrials,technology,,recreational products,real estate,,,marine shipping,conglomerates,power,,,real estate,consumer goods,['professional services'],
fashion,technology,financial services,,clothing & accessories,chemicals,,,communication equipment,banking,industrial goods and machinery,,,"['industries', 'engineering products', 'engineering services', 'industry machinery']",consumer services,"['pharmaceuticals', 'biotech']",
coachbuilder,consumer staples,restaurants,,commercial vehicles & trucks,power,,,packaged foods,consumer durables,financial services,,,"['education', 'training services', 'technology']",industrials,['hospitality'],
pharmaceuticals,financials,pharmaceuticals,,pharmaceuticals,petrochemicals,,,insurance—property & casualty,oil & gas operations,retailing,,,"['technology', 'cloud services', 'software and it']",health care,['real estate'],
amusement rides,financials,technology,,recreational products,engineering & construction,,,banks,insurance,consumer packaged goods,,,"['technology', 'computers hardware', 'laptops']",consumer goods,['automotive suppliers'],
"appliances, part of electrolux (sweden)",industrials,retail,,durable household products,healthcare,,,farm & heavy construction machinery,banking,transport and logistics,,,"['utilities', 'electric utilities']",consumer goods,['rental & leasing services'],
private bank,utilities,support services,,banks,internet,,,utilities—regulated gas,banking,power,,,"['basic materials', 'paper and pulp']",financials,['pharmaceuticals'],
wind tunnels,consumer staples,telecoms,,industrial machinery,bpo,,,beverages—non-alcoholic,materials,automotive,,,"['consumer defensive', 'fmcg', 'package foods', 'food products']",industrials,,
national airline,real estate,advertising,,airlines,it services & consulting,,,reit—residential,utilities,business and consumer services,,,"['financial services', 'asset management']",consumer services,['electronics'],
shipping,basic materials,ecommerce,,marine transportation,healthcare,,,specialty chemicals,materials,financial services,,,"['consumer cyclical', 'construction', 'construction materials', 'capital goods']",industrials,,
terminal,technology,technology,,transportation services,management consulting,,,software—infrastructure,drugs & biotechnology,medical equipment,,,"['utilities', 'energy', 'oil and gas', 'gas utilities']",industrials,"['banks', 'financial services']",
"bank, defunct 1995",utilities,media,,banks,,,,utilities—independent power producers,banking,retailing,,,"['technology', 'semiconductors']",financials,"['internet', 'e-commerce', 'retail', 'tech']",
central bank,industrials,architecture,,banks,building material,,,conglomerates,health care equipment & services,power,,,"['financial services', 'banking services']",financials,"['footwear', 'clothing']",
record label,consumer discretionary,telecoms,,broadcasting & entertainment,internet,,,auto manufacturers,construction,technology and communications,,,"['financial services', 'banking services']",consumer services,,
brewery,financials,ecommerce,,brewers,financial services,,,banks,banking,financial services,,,"['industries', 'outsourcing and staffing']",consumer goods,,
bank,consumer discretionary,technology,,banks,hospitality,,,apparel manufacturing,drugs & biotechnology,consumer packaged goods,,,utilities,financials,,
armored vehicles,healthcare,construction,,automobiles,it services & consulting,,,medical devices,capital goods,automotive,,,"['basic materials', 'cement', 'construction materials']",consumer goods,"['oil&gas', 'energy']",
daily newspaper,industrials,retail,,publishing,it services & consulting,,,consulting services,oil & gas operations,technology and communications,,,"['industries', 'technology', 'rent / lease services', 'airlines']",consumer services,['tires'],
coffee chain,consumer staples,law,,restaurants & bars,engineering & construction,,,beverages—brewers,it software & services,pharmaceuticals and healthcare,,,"['industries', 'construction materials', 'building products and equipment']",consumer services,"['real estate', 'investment', 'reits']",
computers and electronics,financials,construction,,consumer electronics,pharma,,,banks,banking,consumer packaged goods,,,asset management,consumer goods,"['pharmaceuticals', 'biotech']",
"automotive, defunct 1940",energy,food & beverage,,automobiles,consumer electronics & appliances,,,oil & gas e&p,chemicals,technology and communications,,,"['healthcare', 'medical equipment']",consumer goods,['financial services'],
defunct 2013,industrials,technology,,software,auto components,,,railroads,drugs & biotechnology,consumer packaged goods,,,"['technology', 'software and it']",technology,"['oil&gas', 'energy']",
pharmaceutical,technology,education,,pharmaceuticals,it services & consulting,,,semiconductors,materials,power,,,"['basic materials', 'chemicals']",health care,"['banks', 'financial services']",
cargo airline. defunct 2012,financials,interiors,,delivery services,financial services,,,capital markets,business services & supplies,industrial goods and machinery,,,"['consumer cyclical', 'automobile', 'automobile parts', 'tyres']",industrials,"['pharmaceuticals', 'biotech']",
mobile phone designer,consumer staples,technology,,telecommunications equipment,industrial automation,,,household & personal products,utilities,technology and communications,,,"['consumer cyclical', 'apparels and accessories', 'imports / exports services', 'luxury goods']",telecommunications,"['banks', 'financial services']",
confectionery,industrials,property,,food products,non-profit,,,integrated freight & logistics,banking,energy and utilities,,,"['technology', 'electronics', 'computers hardware']",consumer goods,"['biotech', 'pharmaceuticals']",
telecom and isp,industrials,technology,,fixed line telecommunications,ports & shipping,,,building products & equipment,banking,energy and utilities,,,"['financial services', 'banking services']",telecommunications,,
electrical utility,consumer discretionary,fintech,,conventional electricity,education & training,,,auto manufacturers,transportation,technology and communications,,,"['real estate', 'consumer services', 'property investments', 'commercial properties']",utilities,['building materials'],
gsm,financials,automobiles,,mobile telecommunications,it services & consulting,,,insurance—property & casualty,construction,metals and mining,,,"['real estate', 'retail', 'property investments', 'commercial properties']",telecommunications,['entertainment'],
shipping,basic materials,ecommerce,,marine transportation,waste management,,,agricultural inputs,diversified financials,financial services,,,"['industries', 'industry machinery']",industrials,['real estate'],
beverages,industrials,transport,,soft drinks,metals & mining,,,building products & equipment,diversified financials,retailing,,,"['utilities', 'electric utilities', 'power generation', 'electricity generation', 'renewable energy']",consumer goods,"['advertising', 'software', 'tech']",
natural gas,industrials,industrial goods,,exploration & production,defence & aerospace,,,farm & heavy construction machinery,consumer durables,construction,,,"['healthcare', 'health care diagnostics']",oil & gas,,
"bank, defunct 2011",financials,travel & leisure,,banks,it services & consulting,,,banks,chemicals,metals and mining,,,"['basic materials', 'chemicals']",financials,,
postal service,real estate,technology,,delivery services,chemicals,,,reit—industrial,telecommunications services,transport and logistics,,,"['technology', 'computers hardware']",logistics,"['engineering', 'scientific & technical instruments']",
record label,consumer discretionary,financial services,,broadcasting & entertainment,electrical equipment,,,restaurants,retail and wholesale,technology and communications,,,"['communication services', 'telecom']",consumer services,['professional services'],
bank,technology,food & beverage,,banks,facility management services,,,semiconductors,business services & supplies,technology and communications,,,"['financial services', 'asset management']",financials,"['gambling', 'entertainment']",
pharmaceutical,technology,sales & marketing,,pharmaceuticals,consumer electronics & appliances,,,communication equipment,construction,financial services,,,"['communication services', 'publishing', 'entertainment', 'video games / mobile games / tech games / casino games']",health care,,
bank,consumer discretionary,technology,,banks,leather,,,specialty retail,"semiconductors, electronics, electrical engineering, technology hardware & equipment",financial services,,,"['consumer cyclical', 'footwear', 'leather products', 'shoes']",financials,['real estate'],
"bank, part of privatbank (ukraine)",financials,ecommerce,,banks,auto components,,,insurance—life,media,aerospace and defense,,,"['technology', 'electronics', 'capital goods']",financials,"['agriculture', 'machinery manufacturing', 'manufacturing']",
airline,financials,automobiles,,airlines,auto components,,,banks,chemicals,technology and communications,,,"['consumer cyclical', 'consumer durables', 'electrical products', 'retail']",consumer services,,
bank,financials,management consulting,,banks,pharma,,,banks,retailing,metals and mining,,,"['industries', 'business services', 'food service', 'airports operating']",financials,,
"vehicles, defunct 1998",technology,property,,automobiles,food processing,,,scientific & technical instruments,transportation,power,,,"['industries', 'aviation', 'transportation', 'freight transport', 'airlines']",consumer goods,,
general retail and supermarkets,financials,fashion,,food retailers & wholesalers,engineering & construction,,,financial data & stock exchanges,banking,technology and communications,,,"['real estate', 'investments']",consumer services,"['healthcare', 'real estate', 'investment', 'reits']",
"automobiles, defunct 1923",energy,health,,automobiles,healthcare,,,thermal coal,business services & supplies,construction,,,retail,consumer goods,"['mining', 'gold mining']",
microwave data equipment,consumer discretionary,management consulting,,telecommunications equipment,engineering & construction,,,leisure,banking,financial services,,,financial services,technology,"['internet', 'software', 'tech']",
bank,financials,energy,,banks,education & training,,,insurance—life,telecommunications services,retailing,,,"['industries', 'infrastructure', 'construction']",financials,"['hotels', 'travel']",
trading cards and stickers,industrials,advertising,,recreational products,internet,,,integrated freight & logistics,transportation,energy and utilities,,,"['consumer defensive', 'alcoholic beverages', 'beverages']",consumer goods,['financial services'],
airline,real estate,energy,,airlines,beverage,,,real estate—diversified,banking,automotive,,,"['consumer cyclical', 'restaurants', 'consumer services']",consumer services,"['furniture', 'retail']",
"electronics, defunct 1999",financials,health,,consumer electronics,auto components,,,banks,utilities,consumer packaged goods,,,"['real estate', 'property investments', 'commercial properties']",consumer goods,"['pharmaceuticals', 'biotech']",
fertilizer,industrials,agricultural commodities,,specialty chemicals,hospitality,,,consulting services,transportation,pharmaceuticals and healthcare,,,"['real estate', 'investments', 'property investments']",basic materials,"['travel', 'internet', 'tech']",
brewery,basic materials,management consulting,,brewers,education & training,,,other industrial metals & mining,banking,chemicals,,,"['industries', 'industry machinery']",consumer goods,,
retail clothing,healthcare,industrial goods,,apparel retailers,internet,,,medical care facilities,banking,chemicals,,,"['industries', 'aerospace and defense', 'aerospace products']",consumer services,"['banks', 'financial services']",
"charter airline, defunct 2013",communication services,retail,,airlines,it services & consulting,,,electronic gaming & multimedia,it software & services,retailing,,,"['technology', 'electronics', 'capital goods']",consumer services,['building materials'],
aviation support,healthcare,management consulting,,transportation services,emerging technologies,,,medical instruments & supplies,health care equipment & services,industrial goods and machinery,,,"['healthcare', 'health care diagnostics']",industrials,"['supermarket chains', 'retail']",
aviation leasing and support,financials,technology,,transportation services,auto components,,,insurance—life,banking,chemicals,,,"['consumer cyclical', 'automobile', 'automobile parts', 'capital goods']",industrials,['real estate'],
cargo airline,financials,transport,,delivery services,it services & consulting,,,banks,insurance,construction,,,,industrials,"['banks', 'financial services']",
charter airline,basic materials,technology,,airlines,bpo,,,gold,business services & supplies,financial services,,,"['consumer cyclical', 'home furnishing']",consumer services,"['software', 'tech']",
shipyard,technology,technology,,commercial vehicles & trucks,industrial machinery,,,software—application,retailing,financial services,,,"['industries', 'metal fabrication products']",industrials,"['steel producers', 'steel industry']",
bicycles,communication services,retail,,recreational products,engineering & construction,,,entertainment,transportation,automotive,,,"['industries', 'electronics', 'electrical products', 'capital goods', 'aerospace and defense']",consumer goods,"['biofuel', 'renewable energy']",
restaurant chain,basic materials,support services,,restaurants & bars,engineering & construction,,,other industrial metals & mining,capital goods,technology and communications,,,"['consumer cyclical', 'automobile', 'automobile parts']",consumer services,['telecommunications equipment'],
airline,technology,technology,,airlines,education & training,,,computer hardware,technology hardware & equipment,automotive,,,"['financial services', 'stock markets, trading, capital markets', 'asset management', 'investments', 'wealth management', 'trading']",consumer services,"['biotech', 'pharmaceuticals']",
ceramic tile,consumer staples,support services,,building materials & fixtures,it services & consulting,,,packaged foods,trading companies,pharmaceuticals and healthcare,,,real estate,industrials,['construction'],
laser manufacturing,industrials,property,,electronic equipment,logistics,,,specialty industrial machinery,diversified financials,alternative energy,,,"['financial services', 'banking services', 'insurance', 'wealth management']",industrials,['real estate'],
brewery,real estate,aerospace & defence,,brewers,industrial machinery,,,reit—industrial,"food, soft beverages, alcohol & tobacco",technology and communications,,,"['technology', 'electronics', 'technology hardware and instruments']",consumer goods,['mining'],
brewery,communication services,construction,,brewers,bpo,,,internet content & information,construction,wholesale,,,"['financial services', 'stock markets, trading, capital markets']",consumer goods,"['staffing & employment services', 'professional services']",
"natural gas, part of lietuvos energija",technology,retail,,gas distribution,engineering & construction,,,semiconductors,insurance,media,,,"['real estate', 'investments', 'property investments', 'retail', 'commercial properties']",utilities,,
power,technology,technology,,conventional electricity,it services & consulting,,,software—application,banking,consumer packaged goods,,,"['consumer cyclical', 'consumer services', 'retail', 'internet or mobile app based business', 'ecommerce']",utilities,['professional services'],
postal service,technology,advertising,,delivery services,other,,,information technology services,consumer durables,technology and communications,,,"['financial services', 'asset management']",consumer services,"['energy', 'oil&gas']",
retail chain,technology,technology,,broadline retailers,media & entertainment,,,scientific & technical instruments,banking,consumer packaged goods,,,"['utilities', 'energy', 'power generation']",consumer services,"['software', 'tech']",
charter airline,technology,telecoms,,airlines,it services & consulting,,,software—application,drugs & biotechnology,automotive,,,"['consumer defensive', 'sugar', 'food and beverage', 'fmcg', 'package foods', 'food products']",consumer services,"['banks', 'financial services']",
distillery,consumer discretionary,pharmaceuticals,,distillers & vintners,pharma,,,travel services,diversified financials,wholesale,,,"['industries', 'electrical products']",consumer goods,['automotive suppliers'],
brewery,energy,sales & marketing,,brewers,auto components,,,oil & gas integrated,banking,transport and logistics,,,"['industries', 'batteries', 'electrical products']",consumer goods,['professional services'],
telecom,industrials,health,,fixed line telecommunications,,,,conglomerates,banking,industrial goods and machinery,,,"['basic materials', 'iron and steel']",telecommunications,"['software', 'tech']",
commercial bank,financials,fintech,,banks,telecom,,,banks,trading companies,business and consumer services,,,"['technology', 'software and it infrastructure']",financials,"['video games', 'tech', 'entertainment']",
retail chain,consumer discretionary,health,,broadline retailers,consumer electronics & appliances,,,leisure,chemicals,financial services,,,"['financial services', 'insurance']",consumer services,,
