ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"dearborn, michigan, united states (usa)",,hdfc bank limited,mr. sashidhar  jagdishan,,dame emma walmsley
"gurgaon,haryana, india",,"blackrock, inc.",mr. laurence douglas fink,,brian cornell
"gurgaon/gurugram, haryana, india",,unilever plc,mr. alan w. jope,,h. lawrence culp jr
"chennai, tamil nadu, india",,,mr. arvind  krishna,,bill mcdermott
"mumbai, maharashtra, india",,,ms. gail koziara boudreaux,,hamid moghadam
"round rock,texas, united states",,"applied materials, inc.",mr. gary e. dickerson,,
"mumbai, maharashtra, india",,"prologis, inc.",mr. hamid r. moghadam,,guillaume faury
"mumbai,maharashtra, india",,christian dior se,mr. sidney  toledano,,brian chesky
"hyderabad/secunderabad, telangana, india",,,mr. anders  opedal,,gail koziara boudreaux
"minnetonka, minnesota, united states (usa)",,,,,sanjay mehrotra
"pune, maharashtra, india",,,mr. d. james umpleby iii,,liu qiangdong
"kochi/cochin, kerala, india",,,mr. james d. taiclet jr.,,ryan lance
"mumbai, maharashtra, india",,aia group ltd,,,
"trivandrum/thiruvananthapuram, kerala, india",,rio tinto group,"mr. jakob  stausholm m.s., ms",,
"moline, illinois, united states (usa)",,sony group corporation,mr. kenichiro  yoshida,,jean-pascal tricoire
"san jose, california, united states (usa)",,,mr. toshiki  kawai,,carlos a. rodriguez
"ypsilanti, michigan, united states (usa)",,,mr. andrew j. cecere,,francois-henri pinault
"chennai, tamil nadu, india",,,mr. francesco  milleri,,motoyuki ii
"bangalore/bengaluru, karnataka, india",,,mr. jay a. brown,,jun sawada
"mumbai, maharashtra, india",,,"mr. ross maxwell mcewan b.b.s., cbe",,belen garijo
"mumbai, maharashtra, india",,,mr. samuel n. hazen,,salil parekh
,,,mr. benoit  potier,,oliver bate
"southborough, massachusetts, united states (usa)",,shopify inc.,mr. tobias  lã¼tke,,mike roman
"san mateo,california, united states",,,mr. david michael cordani,,forrest li
"mumbai, maharashtra, india",,,mr. hironori  kamezawa,,
"hyderabad/secunderabad, telangana, india",,,mr. sanjay  mehrotra,,glenn d. fogel
"seoul, seoul, south korea",,,mr. daniel s. glaser,,
"bangalore, india",,,mr. terrence a. duffy,,waleed a. al-mogbel
"noida, uttar pradesh, india",,,mr. gary  nagle,,paul perreault
"issy les moulineaux, france",,,mr. james bruce flatt,,bernard looney
"bangalore,karnataka, india",,,"mr. stephen allen schwarzman b.a., m.b.a.",,jim farley
"pune, maharashtra, india",,,"mr. brian johnston porter a.m.p., b.com.",,pablo isla
"minnesota, united states (usa)",,,ms. lynn j. good,,james d. taiclet
"illinois city, illinois, united states (usa)",,,mr. michael f. roman,,kevin a. lobo
"ahmedabad, gujrat, india",,,mr. paul r. perreault b.a.,,juan ramn alaix
"mumbai, maharashtra, india",,,ms. kristin c. peck,,anders dons
"noida, uttar pradesh, india",,,,,markus duesmann
"new jersey, united states",,"jd.com, inc.",mr. qiangdong  liu,,billy gifford
"gurgaon/gurugram, haryana, india",,,mr. dirk  van de put,,frank slootman
"gurgaon/gurugram, haryana, india",,,ms. belen  garijo lopez m.d.,,timotheus hottges
"bangalore, india",,,mr. timotheus  hottges,,
"mumbai, india",,,mr. jean-pascal  tricoire,,dirk van de put
"vadodara/baroda, gujarat, india",,,mr. al  monaco,,timothy m. archer
"bangalore/bengaluru, karnataka, india",,,ms. tracy a. robinson,,yousef al-benyan
"chennai, tamil nadu, india",,,mr. glenn d. fogel,,william s. demchak
"mumbai, maharashtra, india",,,,,daniel o'day
"bangalore,karnataka, india",,,,,ola kallenius
"new delhi, delhi, india",,,mr. carlos a. rodriguez,,jack bowles
"gurgaon,haryana, india",,,mr. michael a. mussallem,,anders opedal
"montreal, quebec, canada",,,mr. mario  greco,,bruce flatt
"new york city,new york, united states",,,mr. michael  cannon-brookes,,hisayuki idekoba
"vadodara/baroda, gujrat, india",,,mr. ernie l. herrman,,
,,,mr. jeffrey c. sprecher,,mary barra
"mumbai, maharashtra, india",,,,,andrew cecere
"hyderabad/secunderabad, telangana, india",,,mr. william henry rogers jr.,,jean-laurent bonnafe
"noida, uttar pradesh, india",,,"dr. leonard s. schleifer m.d., ph.d.",,stephane bancel
"mumbai, maharashtra, india",,,mr. daniel p.  o'day,,william h. bill rogers jr
"zurich, switzerland",,,mr. thomas e. polen jr.,,tracy robinson
"frankfurt, germany",,,mr. william s. demchak,,toshiki kawai
"mumbai, maharashtra, india",,,mr. timothy m. archer,,brian j. porter
"kolkata, west bengal, india",,,mr. thomas a. fanning,,vincent roche
"mumbai, maharashtra, india",,,,,ernie herrman
"gurgaon/gurugram, haryana, india",,,,,francesco milleri
"vilnius,vilniaus apskritis, lithuania",,,mr. franã§ois-henri  pinault,,nick hayek jr.
"bangalore/bengaluru, karnataka, india",,,mr. william darryl white,,evan g. greenberg
"mumbai, maharashtra, india",,,ms. mary t. barra,,brenton l. saunders
"mumbai, maharashtra, india",,,mr. michel abbas khalaf,,stephen a. schwarzman
"ahmedabad, gujrat, india",,,mr. bernard s. charles,,james m. foote
"mumbai, maharashtra, india",,,mr. william j. fehrman,,herman gref
"chicago, illinois, united states (usa)",,,,,jay a. brown
"pune,maharashtra, india",,,mr. frederick w. smith,,francois jackow
"wedel,schleswig-holstein, germany",,,,,jerome lambert
"florham park, new jersey, united states (usa)",,,mr. soren  skou,,
"bangalore, india",,,,,john g. morikis
"london, united kingdom (uk)",,,mr. toshio  kagami,,paul fang
"bangalore/bengaluru, karnataka, india",,,mr. frank  slootman,,
"london, united kingdom (uk)",,,mr. christopher mark crane,,faisal omar al-sakkaf
"san jose,california, united states",,,mr. noel r. wallace,,lynn good
"copenhagen, denmark",,,mr. james d. farley jr.,,dara khosrowshahi
