ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
doll_6.39 m,doll_51.50,doll_19.77 b,doll_131.15 b,doll_175.88 b,doll_573.9 m,doll_4.797 m,"362,320",,,doll_1.0 b,,doll_83.89 b,,doll_83.98 b,doll_24.002 m
doll_14.18 m,doll_214.73,doll_4.93 b,doll_132.01 b,doll_184.19 b,doll_1.3 b,doll_2.318 m,"805,870",,,doll_1.0 b,,doll_128.59 b,,doll_91.72 b,doll_18.970 m
doll_57.67 m,doll_148.67,doll_11.46 b,doll_133.25 b,doll_cn¥1.181 t,doll_1.6 b,doll_7.545 m,"3,306,795",,,doll_1.0 b,,doll_56.2 b,,doll_273.76 b,doll_23.222 m
doll_109.25 m,doll_21.57,doll_24.14 b,doll_133.48 b,doll_cn¥1.183 t,doll_410.6 m,doll_17.790 m,"6,287,460",,,doll_1.0 b,,doll_51.63 b,,doll_200.73 b,doll_48.553 m
doll_2.21 m,doll_112.03,doll_10.02 b,doll_133.26 b,doll_186.57 b,doll_1.1 b,doll_24.021 m,"128,176",,,doll_1.0 b,,doll_127 b,,doll_57.89 b,doll_52.877 m
doll_4.0 m,doll_102.58,doll_8.57 b,doll_134.78 b,doll_cn¥1.205 t,0,doll_9.040 m,"255,062",,,doll_1.0 b,,doll_88.37 b,,doll_117.87 b,doll_33.560 m
doll_5.16 m,doll_445.61,doll_7.87 b,doll_134.49 b,doll_190.50 b,doll_1.3 b,doll_5.855 m,"330,763",,,doll_1.0 b,,doll_130.5 b,,doll_43.02 b,doll_18.996 m
doll_1.83 m,doll_751.90,doll_15.24 b,doll_135.84 b,doll_193.80 b,doll_1.4 b,112 million usd,"107,492",,,doll_1.0 b,,doll_68.69 b,,doll_308.14 b,doll_37.417 m
doll_2.21 m,doll_19.02,doll_7.43 b,doll_135.55 b,doll_199.57 b,doll_182.8 m,doll_-21.680 m,"131,164",,,doll_1.0 b,,doll_45.16 b,,doll_120.19 b,doll_180.640 m
doll_20.15 m,doll_99.64,doll_6.55 b,doll_139.63 b,doll_200.01 b,doll_561.9 m,doll_21.391 m,"1,199,580",,,doll_1.0 b,,doll_71.08 b,,doll_57.39 b,doll_45.066 m
doll_40.81 m,doll_55.83,doll_16.92 b,doll_136.36 b,doll_201.72 b,doll_1.4 b,doll_6.523 m,"2,474,341",,,doll_1.0 b,,doll_65.55 b,,doll_178.07 b,doll_21.804 m
doll_4.46 m,doll_125.66,doll_16.43 b,doll_140.86 b,doll_£153.84 b,doll_4.3 b,doll_7.769 m,"270,750",,,doll_1.0 b,,doll_151.16 b,,doll_310.13 b,doll_18.344 m
doll_11.76 m,doll_320.41,doll_7.86 b,doll_142.58 b,doll_chf188.95 b,doll_22.1 b,doll_8.409 m,"742,746",,,doll_1.0 b,,doll_46.29 b,,doll_136.72 b,doll_96.250 m
doll_4.9 m,doll_0.41,doll_6.55 b,doll_140.40 b,doll_£158.36 b,doll_4.9 b,doll_3.573 m,"314,150",,,doll_1.0 b,,doll_76.46 b,,doll_102.23 b,doll_17.069 m
doll_3.87 m,doll_144.56,doll_16.78 b,doll_144.55 b,doll_126.77 b,doll_1.8 b,doll_3.826 m,"249,176",,,doll_1.0 b,,doll_176.61 b,,doll_44.26 b,doll_30.793 m
doll_4.84 m,doll_219.08,doll_5.21 b,doll_147.29 b,doll_128.29 b,doll_1.9 b,doll_2.695 m,"320,411",,,doll_1.0 b,,doll_69.58 b,,doll_69.22 b,doll_9.898 m
doll_10.02 m,doll_101.01,doll_11.98 b,doll_148.49 b,doll_130.31 b,doll_1.2 b,doll_5.542 m,"672,821",,,doll_1.0 b,,doll_111.4 b,,doll_48.79 b,doll_34.392 m
doll_2120.07 m,doll_6.59,doll_21.06 b,doll_149.18 b,doll_€119.73 b,doll_3.8 b,doll_15.964 m,"145,398,192",,,doll_1.0 b,,doll_63.46 b,,doll_117.78 b,doll_202.290 m
doll_5.64 m,doll_60.61,doll_3.97 b,doll_151.61 b,doll_133.92 b,0,doll_9.109 m,"387,161",,,doll_1.0 b,,doll_78.82 b,,doll_80.94 b,doll_31.405 m
doll_3.5 m,doll_122.18,doll_5.37 b,doll_152.24 b,doll_€121.45 b,doll_2.0 b,doll_6.437 m,"245,000",,,doll_1.0 b,,doll_174.27 b,,doll_81.2 b,doll_72.397 m
doll_7.29 m,doll_0.78,doll_7.61 b,doll_153.33 b,doll_cn¥854.25 b,doll_1.7 b,doll_3.162 m,"518,613",,,doll_1.0 b,,doll_70.93 b,,doll_43.6 b,doll_16.434 m
doll_3.69 m,doll_285.51,doll_7.62 b,doll_152.34 b,doll_135.27 b,doll_1.6 b,doll_12.230 m,"262,421",,,doll_1.0 b,,doll_79.47 b,,doll_238.13 b,doll_35.376 m
doll_23.8 m,doll_42.24,doll_13.05 b,doll_154.57 b,doll_136.32 b,doll_2.4 b,doll_-3.698 m,"1,702,000",,,doll_1.0 b,,doll_50.37 b,,doll_213.83 b,doll_28.141 m
doll_2.61 m,doll_82.46,doll_6.24 b,doll_153.93 b,doll_136.48 b,doll_245.8 m,doll_2.066 m,"188,680",,,doll_1.0 b,,doll_144.35 b,,doll_121.25 b,doll_12.726 m
doll_107.86 m,doll_341.53,doll_7.96 b,doll_158.77 b,doll_€124.45 b,doll_242.2 m,doll_35.097 m,"7,930,094",,,doll_1.0 b,,doll_30.35 b,,doll_80.58 b,doll_104.700 m
doll_12.57 m,doll_35.86,doll_9.39 b,doll_155.03 b,hkdoll_1.091 t,doll_3.0 b,doll_5.791 m,"925,527",,,doll_1.0 b,,doll_52.06 b,,doll_48.73 b,doll_30.682 m
doll_5.76 m,doll_92.10,doll_5 b,doll_155.65 b,doll_£106.87 b,doll_5.6 b,doll_7.910 m,"422,420",,,doll_1.0 b,,doll_203.41 b,,doll_79.9 b,doll_292.110 m
doll_2.18 m,doll_63.43,doll_11.82 b,doll_160.50 b,doll_cn¥898.61 b,doll_1.9 b,doll_16.032 m,"159,707",,,doll_1.0 b,,doll_51.55 b,,doll_213.36 b,doll_184.630 m
doll_74.07 m,doll_38.18,doll_4.66 b,doll_160.34 b,doll_141.72 b,doll_5.3 b,doll_6.788 m,"5,581,858",,,doll_1.0 b,,doll_54.33 b,,doll_118.52 b,doll_68.616 m
doll_1.53 m,doll_177.66,doll_3.08 b,doll_161.23 b,doll_143.77 b,doll_2.8 b,doll_6.994 m,"113,072",,,doll_1.0 b,,doll_72.98 b,,doll_215.33 b,doll_46.385 m
doll_3.32 m,doll_104.30,doll_8.54 b,doll_161.68 b,adoll_192.42 b,doll_5.6 b,doll_5.038 m,"247,465",,,doll_1.0 b,,doll_40.95 b,,doll_87.31 b,doll_31.677 m
doll_1.88 m,doll_337.35,doll_9.03 b,doll_166.77 b,doll_cn¥919.47 b,doll_8.8 b,doll_2.214 m,"139,300",,,doll_1.0 b,,doll_91.21 b,,doll_31.96 b,doll_5.511 m
doll_3.06 m,doll_189.39,doll_7.36 b,doll_163.80 b,cdoll_182.02 b,doll_744.2 m,doll_2.914 m,"228,076",,,doll_1.0 b,,doll_58.48 b,,doll_41.34 b,doll_4.611 m
doll_9.19 m,"doll_1,601",doll_5.52 b,doll_167.38 b,doll_€134.84 b,doll_619.8 m,doll_5.450 m,"684,874",,,doll_1.0 b,,doll_67.25 b,,doll_124.33 b,doll_70.765 m
doll_2.27 m,doll_85.20,doll_7.36 b,doll_169.30 b,doll_150.76 b,doll_3.1 b,doll_13.413 m,"171,057",,,doll_1.0 b,,doll_44.63 b,,doll_136.86 b,doll_380.440 m
doll_3.86 m,doll_146.40,doll_12.89 b,doll_87.16 b,doll_150.96 b,doll_2.7 b,doll_10.803 m,"291,481",,,doll_1.0 b,,doll_97.2 b,,doll_163.03 b,doll_32.501 m
doll_11.53 m,doll_4.94,doll_9.34 b,doll_123.17 b,doll_97.31 b,doll_3.2 b,doll_6.666 m,"882,099",,,doll_1.0 b,,doll_35.32 b,,doll_97.49 b,doll_57.793 m
doll_8.73 m,doll_6.84,doll_7.45 b,doll_88.10 b,doll_€88.16 b,doll_6.0 b,doll_12.607 m,"664,000",,,doll_1.0 b,,doll_35.22 b,,doll_56.17 b,doll_63.644 m
doll_2.85 m,doll_127.83,doll_7.24 b,doll_87.19 b,doll_98.37 b,doll_1.3 b,doll_5.888 m,"217,460",,,doll_1.0 b,,doll_130.16 b,,doll_44.99 b,doll_23.063 m
doll_6.89 m,doll_23.23,doll_5.9 b,doll_90.17 b,doll_€89.12 b,0,doll_14.839 m,"530,667",,,doll_1.0 b,,doll_146.94 b,,doll_50.87 b,doll_250.120 m
