03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
877275,"877,275","877,275",doll_5.09 m
441260,"441,260","441,260",doll_2.56 m
473344,"473,344","473,344",doll_2.72 m
7007000,"7,007,000","7,007,000",doll_40.55 m
638739,"638,739","638,739",doll_3.67 m
347190,"347,190","347,190",doll_1.99 m
349641,"349,641","349,641",doll_2.0 m
332372,"332,372","332,372",doll_1.9 m
493000,"493,000","493,000",doll_2.82 m
3185180,"3,185,180","3,185,180",doll_18.17 m
2423113,"2,423,113","2,423,113",doll_13.82 m
631500,"631,500","631,500",doll_3.6 m
2267165,"2,267,165","2,267,165",doll_12.82 m
408336,"408,336","408,336",doll_2.31 m
2884392,"2,884,392","2,884,392",doll_16.39 m
558820,"558,820","558,820",doll_3.17 m
338300,"338,300","338,300",doll_1.91 m
1644134,"1,644,134","1,644,134",doll_9.24 m
3878370,"3,878,370","3,878,370",doll_21.82 m
9719653,"9,719,653","9,719,653",doll_54.15 m
2610679,"2,610,679","2,610,679",doll_14.64 m
419240,"419,240","419,240",doll_2.34 m
2696485,"2,696,485","2,696,485",doll_15.05 m
1600000,"1,600,000","1,600,000",doll_8.9 m
751071,"751,071","751,071",doll_4.06 m
532690,"532,690","532,690",doll_2.94 m
12709000,"12,709,000","12,709,000",doll_70.18 m
289766,"289,766","289,766",doll_1.6 m
539486,"539,486","539,486",doll_2.94 m
910963,"910,963","910,963",doll_4.99 m
318370,"318,370","318,370",doll_1.74 m
348129,"348,129","348,129",doll_1.88 m
1418769,"1,418,769","1,418,769",doll_7.05 m
2982238,"2,982,238","2,982,238",doll_16.07 m
856790,"856,790","856,790",doll_4.64 m
4253600,"4,253,600","4,253,600",doll_22.95 m
4893654,"4,893,654","4,893,654",doll_26.2 m
1349250,"1,349,250","1,349,250",doll_7.26 m
635400,"635,400","635,400",doll_3.4 m
1013181,"1,013,181","1,013,181",doll_5.4 m
1481398,"1,481,398","1,481,398",doll_7.83 m
564910,"564,910","564,910",doll_3.0 m
20436426,"20,436,426","20,436,426",doll_108.5 m
2127151,"2,127,151","2,127,151",doll_11.22 m
7339330,"7,339,330","7,339,330",doll_38.43 m
461671,"461,671","461,671",doll_2.41 m
4176347,"4,176,347","4,176,347",doll_21.79 m
569646,"569,646","569,646",doll_2.97 m
391540,"391,540","391,540",doll_2.04 m
6035116,"6,035,116","6,035,116",doll_31.4 m
826430,"826,430","826,430",doll_4.3 m
3013629,"3,013,629","3,013,629",doll_15.64 m
655000,"655,000","655,000",doll_3.4 m
2635420,"2,635,420","2,635,420",doll_12.47 m
1454711,"1,454,711","1,454,711",doll_7.34 m
2148122,"2,148,122","2,148,122",doll_11.07 m
1304060,"1,304,060","1,304,060",doll_6.67 m
1090920,"1,090,920","1,090,920",doll_5.58 m
2577297,"2,577,297","2,577,297",doll_13.09 m
4356500,"4,356,500","4,356,500",doll_22.07 m
340309,"340,309","340,309",doll_1.72 m
846360,"846,360","846,360",doll_4.27 m
1061327,"1,061,327","1,061,327",doll_5.34 m
792093,"792,093","792,093",doll_3.98 m
4641712,"4,641,712","4,641,712",doll_22.44 m
2408187,"2,408,187","2,408,187",doll_12.06 m
5629906,"5,629,906","5,629,906",doll_28.14 m
2163006,"2,163,006","2,163,006",doll_10.8 m
7671961,"7,671,961","7,671,961",doll_38.0 m
770031,"770,031","770,031",doll_3.81 m
303615,"303,615","303,615",doll_1.51 m
11728040,"11,728,040","11,728,040",doll_58.42 m
341370,"341,370","341,370",doll_1.7 m
608053,"608,053","608,053",doll_3.02 m
