,name,address,country,hhid,industry,sic_code,type,est_of_ownership
50,Unicredit Allianz Vita Spa,"PIAZZA TRE TORRI 3, MILANO, 20145, MILANO, ITALY",IT11931360157,H-IT0018259456,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1995
51,Acquirente Unico Spa,"VIA GUIDUBALDO DEL MONTE 45, ROMA, 00197, ROMA, ITALY",IT05877611003,H-IT0067043127,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
52,Volkswagen Group Italia Spa,"VIALE GERARD RICHARD GUMPERT 1, VERONA, 37137, VERONA, ITALY",IT01779120235,H-IT0010567739,Retail Trade,Ret new/used automobiles (5511),Corporation,1984
53,Versalis Spa,"PIAZZA MARCELLO BOLDRINI 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT01768800748,H-IT0064072819,Manufacturing,Mfg chemical preparations (2899),Corporation,1989
54,A. Menarini Industrie Farmaceutiche Riunite Srl,"VIA DEI SETTE SANTI 3, FIRENZE, 50131, FIRENZE, ITALY",IT00395270481,H-IT0022029265,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1886
55,Barilla Holding Srl,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY",IT00489540344,H-IT0029320852,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1978
56,Guido M. Barilla E F.lli Sapa,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY",IT01736530344,H-IT0064643417,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1984
57,Cremonini Spa,"VIA MODENA 53, CASTELVETRO DI MODENA, 41014, MODENA, ITALY",IT00162810360,H-IT0013386905,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1966
58,Cremofin Srl,"VIA MODENA 53, CASTELVETRO DI MODENA, 41014, MODENA, ITALY",IT01598040366,H-IT0075279762,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1985
59,Societa' Europea Veicoli Leggeri Sevel Spa,"VIALE AVVOCATO GIOVANNI AGNELLI 10, ATESSA, 66041, CHIETI, ITALY",IT00297220691,H-IT0011629053,Manufacturing,Mfg motor vehicle/car bodies (3711),Corporation,1978
60,Ferrari - Societa'per Azioni Esercizio Fabbriche Automobili E Corse,"VIA ABETONE INFERIORE 2, MARANELLO, 41053, MODENA, ITALY",IT00159560366,H-IT0010782370,Manufacturing,Mfg motor vehicle/car bodies (3711),Corporation,1947
61,Credit Agricole Vita Spa,"STRADA DELL'UNIVERSITA' 1, PARMA, 43121, PARMA, ITALY",IT01966110346,H-IT0069830649,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1988
62,Sonatrach Raffineria Italiana Srl,"CONTRADA MARCELLINO C.P. 88 SNC, AUGUSTA, 96011, SIRACUSA, ITALY",IT10410680960,H-IT0062076590,Manufacturing,Petroleum refiner (2911),Corporation,2018
63,Coop Alleanza 3.0 Soc Coop,"VIA VILLANOVA 29/7, CASTENASO, 40055, BOLOGNA, ITALY",IT03503411203,H-IT0048664421,Retail Trade,Ret groceries (5411),Corporation,1923
64,Chimet Spa,"VIA DEI LAGHI 31/33, CIVITELLA IN VAL DI CHIANA, 52041, AREZZO, ITALY",IT00155440514,H-IT0010938249,Manufacturing,Primary nonferrous metal producer (3339),Corporation,1974
65,Riva Forni Elettrici Spa,"VIALE CERTOSA 249, MILANO, 20151, MILANO, ITALY",IT07969220966,H-IT0007097441,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2012
66,Nuovo Pignone Holding Spa,"VIA FELICE MATTEUCCI 2, FIRENZE, 50127, FIRENZE, ITALY",IT00395360480,H-IT0008020531,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1954
67,Zeor Finanziaria Spa,"VIA DI PORTA PINCIANA 4, ROMA, 00187, ROMA, ITALY",IT05678591008,H-IT0071035370,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1999
68,Autostrade Per L'italia Spa,"VIA ALBERTO BERGAMINI 50, ROMA, 00159, ROMA, ITALY",IT07516911000,H-IT0072798300,"Transportation, Communications, Electric, Gas, and Sanitary Services",Transportation services (4789),Corporation,1950
69,Trenitalia Spa,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY",IT05403151003,H-IT0008914621,"Transportation, Communications, Electric, Gas, and Sanitary Services",Railroad line-haul operator (4011),Corporation,1905
70,Fideuram Vita Spa,"VIA ENNIO QUIRINO VISCONTI 80, ROMA, 00193, ROMA, ITALY",IT10830461009,H-IT0003516644,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1980
71,Marcegaglia Holding Srl,"VIA BRESCIANI 16, GAZOLDO DEGLI IPPOLITI, 46040, MANTOVA, ITALY",IT02466980204,H-IT0046685529,Manufacturing,Mfg steel pipe/tubes (3317),Corporation,2015
72,Vodafone Italia Spa,"VIA GUGLIELMO JERVIS 13, IVREA, 10015, TORINO, ITALY",IT08539010010,H-IT0065547691,"Transportation, Communications, Electric, Gas, and Sanitary Services",Telephone communications (4813),Corporation,2002
73,Edison Energia Spa,"FORO BUONAPARTE 31, MILANO, 20121, MILANO, ITALY",IT08526440154,H-IT0073491527,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1986
