07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,04-iGMM-world_rank__jan_07_2022,04-iGMM-world_rank__jan_2020
,"41,409",659,"4,003",5631.0
,640,640,"4,004",3277.0
,659,,"4,005",
,"9,039","20,990","4,006",2343.0
,"7,452",861,"4,007",3784.0
,789,"2,775","4,007",4013.0
,,"18,933","4,008",5043.0
,"78,202","7,800","4,009",2808.0
,,313,"4,010",3585.0
,"45,328",75,"4,011",3261.0
,,,"4,012",3071.0
,"1,277","1,277","4,013",3622.0
,,,"4,014",3131.0
,313,,"4,015",7191.0
,75,,"4,016",4107.0
,"7,800",,"4,017",4430.0
,"18,933",,"4,018",3294.0
,"2,775",,"4,019",2727.0
,861,"7,484","4,020",3534.0
,"20,990","6,120","4,021",3095.0
,,"8,000","4,022",3172.0
,"1,109","1,109","4,023",6732.0
,"8,000","2,532","4,024",3763.0
,"6,120","1,049","4,025",3398.0
,"7,484",304,"4,026",3201.0
,,"13,900","4,027",4246.0
,,"9,251","4,028",5663.0
,,800,"4,029",3129.0
,,,"4,030",4196.0
,,"13,868","4,031",2839.0
,"2,532","25,000","4,032",3388.0
,"6,545","6,545","4,033",3008.0
,"25,000","1,251","4,034",3005.0
,"13,868",63,"4,035",3439.0
,,400,"4,036",
,800,"37,902","4,037",2515.0
,"9,251",248,"4,038",5916.0
,"13,900","2,808","4,039",2635.0
,304,"1,476","4,040",3779.0
,"1,049","18,195","4,041",4244.0
,"1,251","12,900","4,042",3859.0
,"7,823","7,823","4,043",2871.0
,"12,900",356,"4,044",4900.0
,"18,195","1,203","4,045",3123.0
,"1,476","2,054","4,046",6081.0
,"2,808","5,125","4,047",2530.0
,248,,"4,048",7256.0
,"37,902","1,900","4,049",4343.0
,400,630,"4,050",9718.0
,63,,"4,051",2836.0
,356,,"4,052",3683.0
,,,"4,053",2668.0
,,"2,195","4,054",3305.0
,,"8,959","4,055",5295.0
,630,,"4,056",6415.0
,"1,900",,"4,057",4231.0
,,"1,934","4,058",4389.0
,"5,125","29,676","4,059",4292.0
,"2,054","70,000","4,060",3323.0
,"1,203",954,"4,061",11404.0
,"2,195",,"4,062",4207.0
,"3,695","3,695","4,063",2675.0
,,,"4,064",4100.0
,954,"1,983","4,065",3347.0
,"70,000",,"4,066",19524.0
,"29,676","4,900","4,067",4792.0
,"1,934",,"4,068",3929.0
,,"146,683","4,069",1315.0
,,"20,935","4,070",3292.0
,"8,959","3,100","4,070",4333.0
,,,"4,071",5027.0
,"7,821","7,821","4,072",3782.0
,,870,"4,073",2682.0
,"3,100","7,981","4,074",4035.0
,"20,935",221,"4,075",
,"146,683","3,000","4,076",4650.0
,,"4,409","4,077",5410.0
,"4,900","1,271","4,078",13639.0
,,650,"4,079",6963.0
,"1,983","3,872","4,080",10466.0
,870,,"4,081",3202.0
,"3,245","3,245","4,082",
,,412,"4,083",2824.0
,"3,872",150,"4,084",4241.0
,650,,"4,085",6128.0
,"1,271","40,141","4,086",3229.0
,"4,409","32,000","4,087",1959.0
,"3,000",,"4,088",2519.0
,221,"12,160","4,089",
,"7,981","6,341","4,090",3278.0
,412,"2,671","4,091",3999.0
,"10,500","10,500","4,092",4441.0
,"2,671",,"4,093",
,"6,341",,"4,094",3688.0
,"12,160","50,500","4,095",3817.0
,,"7,698","4,096",3482.0
,"32,000",650,"4,097",7665.0
,"40,141",,"4,098",3315.0
,,"2,450","4,099",3310.0
,150,,"4,099",7693.0
,,"27,163","4,099",
,"2,641","2,641","4,100",10309.0
,"27,163","6,929","4,101",3675.0
,,"3,593","4,102",4138.0
,,713,"4,103",7368.0
,"2,450","6,504","4,104",3624.0
,650,,"4,105",5582.0
,"7,698",,"4,106",
,"50,500","5,000","4,107",6023.0
,,85,"4,108",4008.0
,"6,929","4,500","4,109",3018.0
,"1,771","1,771","4,110",4960.0
,"4,500","10,086","4,111",3299.0
,85,864,"4,112",6770.0
,"5,000","6,519","4,113",3847.0
,,"8,012","4,114",4124.0
,,"1,878","4,115",3639.0
,"6,504","4,000","4,116",3510.0
,713,"42,244","4,117",
,"3,593",,"4,118",3513.0
,"10,086","7,736","4,119",3358.0
,,,"4,120",4068.0
,"7,736",,"4,121",4998.0
,,"1,566","4,122",3325.0
,"42,244","8,191","4,123",3668.0
,"4,000","27,984","4,124",4330.0
,"1,878","1,448","4,125",4704.0
,"8,012","1,143","4,126",
,"6,519",,"4,127",1927.0
,864,,"4,128",2411.0
,,"14,066","4,129",5114.0
,174,174,"4,130",3660.0
,"14,066","4,926","4,131",5074.0
,,"4,993","4,132",3734.0
,,"10,494","4,133",2255.0
,"1,143","6,588","4,134",5847.0
,"1,448","5,416","4,135",4579.0
,"27,984",900,"4,136",
,"8,191","1,699","4,137",2925.0
,"1,566","16,464","4,138",3701.0
,"4,926",,"4,139",3456.0
,"6,500","6,500","4,140",2964.0
,,,"4,141",5200.0
,"16,464",118,"4,142",5270.0
,"1,699","7,874","4,143",5233.0
,900,,"4,144",8623.0
,"5,416","5,179","4,145",3403.0
,"6,588",292,"4,146",5442.0
,"10,494",438,"4,147",8748.0
,"4,993","62,000","4,148",2270.0
,,"1,346","4,149",3824.0
,"5,900","5,900","4,150",3605.0
,"1,346",,"4,151",5157.0
,"62,000","30,130","4,152",3031.0
,438,"2,907","4,153",5661.0
,292,"13,900","4,154",7151.0
,"5,179","2,600","4,155",5048.0
,,"14,000","4,156",3459.0
,"7,874","7,988","4,157",4687.0
,118,"28,786","4,158",5144.0
,,"14,000","4,159",3313.0
,"14,100","14,100","4,160",2475.0
,"14,000","2,637","4,161",3690.0
,"28,786","4,259","4,162",5607.0
,"7,988","20,284","4,163",3656.0
,"14,000",409,"4,164",3577.0
,"2,600",,"4,165",6030.0
,"13,900",,"4,166",
,"2,907",,"4,167",4167.0
,"30,130",233,"4,167",
,"2,637","20,200","4,168",2086.0
,540,540,"4,169",3857.0
,"20,200","3,262","4,170",4032.0
,233,,"4,171",
,,"8,331","4,172",3840.0
,,"3,270","4,173",3894.0
,,"5,903","4,174",6299.0
,409,"1,097","4,175",2834.0
,"20,284",,"4,176",2402.0
,"4,259","5,000","4,177",6076.0
,"3,262","2,000","4,178",3802.0
,,,"4,179",3615.0
,"2,000",,"4,180",3991.0
,"5,000","6,500","4,181",4534.0
,,"11,624","4,182",4450.0
,"1,097","8,833","4,183",4270.0
,"5,903",,"4,184",4672.0
,"3,270",,"4,185",2545.0
,"8,331","8,613","4,186",3416.0
,,"1,219","4,187",3224.0
,,"7,048","4,188",3910.0
,,,"4,189",3258.0
,"7,048","2,389","4,190",4467.0
,"1,219","15,000","4,191",3851.0
,"8,613",,"4,192",7359.0
,,"3,328","4,193",5859.0
,,"1,266","4,194",4969.0
,"8,833","1,782","4,195",
,"11,624","1,525","4,196",5599.0
,"6,500",295,"4,197",2889.0
,"2,389",280,"4,198",5894.0
,53,53,"4,199",2320.0
,280,"2,056","4,200",3320.0
,295,"1,863","4,201",4049.0
,"1,525",,"4,202",5761.0
,"1,266",,"4,203",13064.0
,"1,782","2,822","4,204",6372.0
,"3,328","1,366","4,205",7693.0
,,,"4,206",4197.0
,"15,000","3,678","4,207",6545.0
,"2,056",817,"4,208",3730.0
,,,"4,209",
,817,"9,356","4,210",2500.0
,"3,678","23,632","4,211",4586.0
,,"2,544","4,212",5640.0
,"1,366","1,100","4,213",4557.0
,"2,822","1,148","4,213",6052.0
,,,"4,214",3041.0
,,"3,651","4,215",3710.0
,"1,863","15,322","4,216",3138.0
,"9,356",514,"4,217",2252.0
,491,491,"4,218",6334.0
,514,,"4,219",8618.0
,"15,322",,"4,220",11207.0
,"3,651","7,000","4,221",
,,,"4,222",2919.0
,"1,148","8,954","4,223",3740.0
,"1,100","10,471","4,224",4548.0
,"2,544","2,853","4,225",3985.0
,"23,632",,"4,226",2413.0
,,192,"4,227",3700.0
,"2,080","2,080","4,228",4568.0
,192,,"4,229",1949.0
,,,"4,230",
,"2,853","5,139","4,231",3118.0
,"10,471",,"4,232",7401.0
,"8,954",,"4,233",4803.0
,,,"4,234",4174.0
,"7,000",264,"4,235",5529.0
,,"1,073","4,236",3943.0
,,"1,839","4,237",4718.0
,61,61,"4,238",
,"1,839",500,"4,239",
,"1,073","6,047","4,240",3218.0
,264,224,"4,241",5341.0
,,487,"4,242",3174.0
,,"23,632","4,243",3373.0
,,"30,747","4,244",2713.0
,"5,139",,"4,245",
,,,"4,246",3593.0
,500,"3,600","4,247",3211.0
,"3,215","3,215","4,248",2892.0
,"3,600","1,300","4,249",6490.0
,,545,"4,250",9212.0
,,"2,732","4,251",
,"30,747",,"4,252",2536.0
,"23,632","22,000","4,253",
,487,,"4,254",4878.0
,224,"6,618","4,255",4612.0
,"6,047","7,000","4,256",4968.0
,"1,300",750,"4,256",4256.0
,"1,165","1,165","4,257",5374.0
,750,,"4,258",7824.0
,"7,000","6,631","4,259",4744.0
,"6,618",,"4,260",
,,"13,300","4,261",6032.0
,"22,000","16,300","4,262",3539.0
,,"4,330","4,263",3933.0
,"2,732","11,400","4,264",2471.0
,545,"1,227","4,265",
,,"8,500","4,266",5000.0
,"4,249","4,249","4,267",2776.0
,"8,500","4,123","4,268",4216.0
,"1,227",,"4,269",5336.0
,"11,400",500,"4,270",2521.0
,"4,330","8,000","4,271",4499.0
,"16,300","2,601","4,272",4036.0
,"13,300","17,000","4,273",3560.0
,,,"4,274",3607.0
,"6,631","5,000","4,275",3400.0
,"4,123","3,500","4,276",3404.0
,"5,357","5,357","4,277",3800.0
,"3,500","1,156","4,278",3899.0
,"5,000",,"4,279",5462.0
,,"6,369","4,280",2583.0
,"17,000","46,000","4,281",3691.0
,"2,601","11,187","4,282",3695.0
,"8,000","8,005","4,283",3112.0
,500,41,"4,284",3282.0
,,,"4,285",
,"1,156","1,207","4,286",4482.0
,287,287,"4,287",4525.0
,"1,207","6,200","4,288",4541.0
,,"1,259","4,289",
,41,"18,636","4,290",1846.0
,"11,187",,"4,291",3949.0
,"8,005","5,974","4,292",2468.0
,"46,000",,"4,293",5313.0
,"6,369","6,737","4,294",6480.0
,,"1,365","4,295",3024.0
,"6,200",,"4,296",9014.0
,735,735,"4,297",4434.0
,,"13,735","4,298",4380.0
,"1,365","471,056","4,299",2887.0
,"6,737","14,402","4,300",3595.0
,,,"4,301",3402.0
,"5,974","5,622","4,302",5905.0
,,"17,626","4,303",
,"18,636","5,667","4,304",2873.0
,"1,259",,"4,304",4304.0
,"13,735","3,303","4,305",6862.0
,848,848,"4,306",4890.0
,"3,303",,"4,307",6382.0
,,,"4,308",5059.0
,"5,667",,"4,309",4474.0
,"17,626","14,297","4,310",
,"5,622","18,634","4,311",3153.0
,,,"4,312",3434.0
,"14,402",,"4,313",5603.0
,"471,056",,"4,314",3391.0
,,,"4,315",5810.0
,,,"4,316",3149.0
,,,"4,316",5699.0
,,714,"4,317",4119.0
,,,"4,318",
,,"8,316","4,319",3384.0
,"18,634","7,618","4,320",4759.0
,"14,297",353,"4,321",4669.0
,,,"4,322",7937.0
,,"10,929","4,323",5135.0
,,,"4,324",4513.0
,"37,075","37,075","4,325",3030.0
,,"4,213","4,326",4404.0
,"10,929","2,909","4,327",4412.0
,,"1,480","4,328",6864.0
,353,"1,272","4,329",8505.0
,"7,618",,"4,330",3816.0
,"8,316",512,"4,331",5528.0
,,"7,721","4,332",878.0
,714,"6,485","4,333",5180.0
,"4,213","6,000","4,334",2616.0
,,,"4,335",2844.0
,"6,000","3,732","4,336",4830.0
,"6,485",,"4,337",
,"7,721","25,032","4,338",2716.0
,512,"13,424","4,339",4795.0
,,"50,490","4,340",3301.0
,"1,272",,"4,341",3263.0
,"1,480","57,000","4,342",3043.0
,"2,909","1,783","4,343",3778.0
,"3,732",,"4,344",3594.0
,86,86,"4,345",6143.0
,,,"4,346",
,"1,783","3,343","4,347",3470.0
,"57,000","4,625","4,348",2843.0
,,,"4,348",3262.0
,"50,490","18,211","4,349",3941.0
,"13,424","20,968","4,350",3106.0
,"25,032","11,644","4,351",
,,"4,790","4,352",
,,"2,244","4,353",3892.0
,,,"4,354",3798.0
,"2,244","14,470","4,355",4848.0
,"4,790",703,"4,356",5457.0
,"11,644",473,"4,357",
,"20,968","1,317","4,358",3055.0
,"18,211","10,000","4,359",
,,,"4,360",2987.0
,"4,625","5,779","4,361",8867.0
,"3,343","6,134","4,362",4267.0
,"14,470",970,"4,363",11587.0
,"17,796","17,796","4,364",4515.0
,970,,"4,365",10170.0
,"6,134","5,216","4,366",3408.0
,"5,779","2,345","4,367",4576.0
,,"2,500","4,368",4491.0
,"10,000","4,327","4,369",4951.0
,"1,317","13,711","4,370",5331.0
,473,219,"4,371",
,703,"13,200","4,372",5467.0
,,"1,343","4,373",6597.0
,"2,000","2,000","4,374",3905.0
,"1,343","210,067","4,375",3680.0
,"13,200","5,800","4,376",2918.0
,219,,"4,377",4843.0
,"13,711","40,200","4,378",4278.0
,"4,327",,"4,379",9674.0
,"2,500","11,900","4,380",4779.0
,"2,345",,"4,381",9847.0
,"5,216",,"4,382",6077.0
,"210,067",986,"4,383",5072.0
,"25,214","25,214","4,384",4088.0
,986,,"4,385",8558.0
,,,"4,386",6109.0
,,"7,315","4,387",3159.0
,"11,900",37,"4,388",5159.0
,,75,"4,389",6061.0
,"40,200","3,710","4,390",2852.0
,,"3,029","4,391",6118.0
,"5,800","12,890","4,392",4935.0
,,"4,300","4,393",3298.0
,"3,500","3,500","4,394",4916.0
,"4,300",,"4,395",
,"12,890","4,586","4,396",6701.0
,"3,029","26,286","4,397",6195.0
,"3,710","2,049","4,398",4686.0
,75,,"4,399",4575.0
,37,"4,325","4,400",3142.0
,"7,315",,"4,401",3365.0
,,,"4,402",4173.0
,,"101,002","4,403",1976.0
,"5,198","5,198","4,404",2697.0
,"101,002","4,836","4,405",5259.0
,,"3,805","4,406",6805.0
,,"2,370","4,407",4479.0
,"4,325",690,"4,408",
,,,"4,409",
,"2,049","478,070","4,410",2205.0
,"26,286","2,989","4,411",
,"4,586","5,329","4,412",3504.0
,"4,836","4,800","4,413",5560.0
,"3,677","3,677","4,414",3300.0
,"4,800","4,460","4,415",3747.0
,"5,329",,"4,416",7115.0
,"2,989",,"4,417",
,"478,070","4,004","4,418",3960.0
,,,"4,419",4394.0
,690,"24,298","4,420",4615.0
,"2,370",,"4,421",
,"3,805","5,337","4,422",5394.0
,"4,460",,"4,423",4016.0
,200,200,"4,423",6015.0
,,,"4,424",
,"5,337","1,055","4,425",3752.0
,,"1,319","4,426",1147.0
,"24,298",,"4,427",3203.0
,,"12,416","4,428",3694.0
,"4,004","66,000","4,429",2357.0
,,"1,279","4,430",7455.0
,,,"4,431",4431.0
,,,"4,431",6066.0
,,,"4,432",4176.0
,,242,"4,433",4464.0
,,"6,900","4,434",13556.0
,"1,279",,"4,435",10657.0
,"66,000","13,602","4,436",4213.0
,"12,416",652,"4,437",9389.0
,,"15,500","4,438",3048.0
,"1,319",,"4,439",
,"1,055","6,148","4,440",5325.0
,242,361,"4,441",4184.0
,"4,800","4,800","4,442",4879.0
,361,"7,657","4,443",7597.0
,"6,148","1,116","4,444",
,,"31,000","4,445",4835.0
,"15,500","10,000","4,446",7383.0
,652,"2,900","4,447",
,"13,602",,"4,448",3096.0
,,"5,643","4,449",3850.0
,"6,900","1,719","4,449",7714.0
,"7,657","2,900","4,450",
,"5,934","5,934","4,451",2535.0
,"2,900",95,"4,452",4599.0
,"1,719","3,681","4,453",5896.0
,"5,643","42,710","4,454",4937.0
,,"3,154","4,455",5928.0
,"2,900",964,"4,455",4455.0
,"10,000","25,000","4,456",4338.0
,"31,000",,"4,457",7436.0
,"1,116","11,552","4,458",4722.0
,95,"4,000","4,459",
,220,220,"4,460",3728.0
,"4,000",,"4,461",5272.0
,"11,552",,"4,462",5899.0
,,,"4,463",
,"25,000",,"4,464",9243.0
,964,"40,582","4,465",4249.0
,"3,154",,"4,466",
,"42,710",,"4,467",2815.0
,"3,681","121,953","4,468",4325.0
,,,"4,469",4540.0
,,,"4,470",4800.0
,,"4,434","4,471",2039.0
,"121,953",973,"4,472",3881.0
,,"1,761","4,472",4472.0
,,600,"4,472",4472.0
,"40,582","1,081","4,472",4472.0
,,"2,056","4,472",4472.0
,,"2,289","4,472",4472.0
,,50,"4,472",4472.0
,"4,434",288,"4,472",4472.0
,"2,944","2,944","4,473",8342.0
,50,"2,900","4,474",2888.0
,288,"2,200","4,475",6563.0
,"2,289",,"4,476",4335.0
,"2,056","1,283","4,476",
,"1,081","1,828","4,477",4452.0
,600,553,"4,478",3395.0
,"1,761","15,837","4,479",
,973,230,"4,480",
,"2,900","6,446","4,481",5674.0
,,,"4,482",
,"6,446","11,377","4,483",3522.0
,230,"60,000","4,484",3122.0
,"15,837","1,751","4,485",3939.0
,553,,"4,486",9833.0
,"1,828",,"4,487",
,"1,283","15,986","4,488",2898.0
,,,"4,489",2804.0
,"2,200","1,699","4,490",4783.0
,"11,377",174,"4,491",
,"16,745","16,745","4,492",
,174,,"4,493",
,"1,699",,"4,494",
,,"33,140","4,495",3145.0
,"15,986","4,500","4,496",4156.0
,,239,"4,497",3178.0
,,,"4,497",3637.0
,"1,751",,"4,498",6931.0
,"60,000",,"4,499",3219.0
,,"8,956","4,500",3853.0
,,,"4,501",2819.0
,"8,956",,"4,502",4093.0
,,"5,110","4,503",4967.0
,,"2,293","4,504",5112.0
,,"1,500","4,505",4043.0
,239,117,"4,506",17361.0
,"4,500",,"4,507",
,"33,140",,"4,508",11182.0
,,236,"4,509",3964.0
,,"9,600","4,510",4626.0
,"11,400","11,400","4,511",3795.0
,"9,600","1,001","4,512",3786.0
,236,495,"4,513",4285.0
,,"13,676","4,514",5744.0
,,"1,543","4,515",4623.0
,117,"8,808","4,516",3620.0
,"1,500",,"4,517",4179.0
,"2,293",,"4,518",5988.0
,"5,110",250,"4,519",4163.0
,"1,001",299,"4,519",
,,,"4,520",
,299,567,"4,521",2351.0
,250,,"4,522",3849.0
,,"4,960","4,523",3372.0
,,,"4,524",6187.0
,"8,808","2,817","4,525",3982.0
,"1,543",,"4,526",3834.0
,"13,676","188,327","4,527",3528.0
,495,"2,368","4,528",3565.0
,567,"11,000","4,529",4083.0
,"7,028","7,028","4,530",3364.0
,"11,000","21,475","4,531",5077.0
,"2,368",394,"4,532",3663.0
,"188,327","68,000","4,533",4533.0
,,"10,300","4,533",5508.0
,"2,817",,"4,534",4168.0
,,"7,228","4,535",4215.0
,"4,960","1,665","4,536",
,,858,"4,537",3429.0
,"21,475",,"4,538",
,39,39,"4,539",3094.0
,,,"4,540",5038.0
,858,"90,003","4,541",2639.0
,"1,665",,"4,542",3582.0
,"7,228",,"4,543",4473.0
,,34,"4,544",3013.0
,"10,300",,"4,545",7380.0
,"68,000","17,415","4,546",6018.0
,394,"15,497","4,547",4693.0
,,,"4,548",6265.0
,"120,000","120,000","4,549",1892.0
,,,"4,550",3702.0
,"15,497","3,146","4,551",3073.0
,"17,415","7,054","4,552",5518.0
,,,"4,553",
,34,"1,138","4,554",7693.0
,,"15,054","4,555",3322.0
,,,"4,556",9511.0
,,"20,000","4,557",2976.0
,"90,003",,"4,558",4570.0
,,,"4,559",2753.0
,,"12,000","4,560",3944.0
,"20,000",,"4,560",4560.0
,,"22,708","4,561",4410.0
,"15,054","2,374","4,562",3830.0
,"1,138","3,075","4,563",
,,"3,970","4,564",10230.0
,"7,054",,"4,565",2296.0
,"3,146",857,"4,566",5774.0
,"12,000",350,"4,567",5681.0
,,,"4,568",4699.0
,350,"3,327","4,569",4417.0
,857,,"4,570",4662.0
,,377,"4,571",4094.0
,"3,970","2,921","4,572",13764.0
,"3,075",852,"4,573",
,"2,374",,"4,574",
,"22,708",,"4,575",
,,,"4,576",
,"3,327","5,317","4,577",4219.0
,,,"4,577",4577.0
,"5,317","1,115","4,578",3517.0
,,,"4,579",
,,143,"4,580",3872.0
,,,"4,581",4223.0
,852,"3,010","4,582",6421.0
,"2,921","9,300","4,583",5190.0
,377,"3,015","4,584",5950.0
,,"2,507","4,585",6531.0
,"1,115",,"4,586",3340.0
,25,25,"4,587",3057.0
,,"4,546","4,588",6936.0
,"2,507","4,182","4,589",4589.0
,"3,015",,"4,589",7540.0
,"9,300","3,011","4,590",
,"3,010",467,"4,591",3085.0
,,"4,733","4,592",4076.0
,143,"17,155","4,593",3050.0
,,,"4,594",4966.0
,"4,546",,"4,595",8435.0
,"9,762","9,762","4,596",3804.0
,,"4,562","4,597",4793.0
,,,"4,597",
,"17,155","10,000","4,598",4440.0
,"4,733","5,767","4,599",
,467,"6,229","4,600",8616.0
,"3,011",804,"4,601",4765.0
,,"18,195","4,602",3369.0
,"4,182",,"4,603",3150.0
,"4,562",,"4,604",3144.0
,"70,000","70,000","4,605",3327.0
,,"1,895","4,606",
,,369,"4,607",3487.0
,"18,195",,"4,608",3908.0
,804,"1,754","4,609",5133.0
,"6,229","6,856","4,610",2896.0
,"5,767",,"4,611",4046.0
,"10,000",,"4,612",4041.0
,,"5,000","4,613",4930.0
,"1,895","2,384","4,614",3244.0
,,,"4,615",11792.0
,"2,384","26,659","4,616",3554.0
,"5,000","4,800","4,616",3915.0
,,,"4,616",4616.0
,,,"4,617",
,"6,856","21,398","4,618",
,"1,754","1,650","4,619",8783.0
,,,"4,620",
,369,"20,129","4,621",3357.0
,"26,659","1,483","4,622",3422.0
,,,"4,623",4275.0
,"1,483",735,"4,624",3536.0
,"20,129",,"4,625",
,,,"4,626",5426.0
,"1,650","12,556","4,627",3379.0
,"21,398",,"4,628",8137.0
,,"1,249","4,629",5999.0
,,420,"4,630",3281.0
,"4,800",,"4,630",4369.0
,735,322,"4,631",5217.0
,,,"4,632",
,322,228,"4,633",
,,"17,450","4,634",2577.0
,420,,"4,635",5664.0
,"1,249","23,635","4,636",3489.0
,,496,"4,637",4517.0
,"12,556","3,891","4,638",3551.0
,,"1,237","4,639",5082.0
,,"7,166","4,640",5726.0
,228,,"4,641",2612.0
,"8,600","8,600","4,642",4954.0
,,"6,957","4,643",4910.0
,"7,166",,"4,644",3501.0
,"1,237",,"4,645",4195.0
,"3,891","49,933","4,646",3105.0
,496,,"4,647",2770.0
,"23,635",,"4,648",3286.0
,,,"4,649",3645.0
,"17,450","8,245","4,650",5009.0
,"6,957",952,"4,651",7381.0
,,,"4,652",4652.0
,952,"2,661","4,652",8252.0
,"8,245",723,"4,653",6413.0
,,"11,856","4,654",4883.0
,,467,"4,655",4691.0
,,,"4,656",
,"49,933",,"4,657",720.0
,,"8,100","4,658",4199.0
,,,"4,658",
,"2,661",,"4,659",3111.0
,"3,136","3,136","4,660",5606.0
,,,"4,661",4303.0
,,62,"4,662",
,"8,100","4,600","4,663",4571.0
,,"2,996","4,664",4653.0
,,131,"4,665",5275.0
,467,"2,000","4,666",6161.0
,"11,856",,"4,667",
,723,628,"4,668",
,,"60,663","4,669",2810.0
,"2,631","2,631","4,670",8385.0
,"60,663",,"4,671",
,628,"8,200","4,672",7154.0
,,,"4,673",4415.0
,"2,000",,"4,674",7278.0
,131,"9,800","4,675",3072.0
,"2,996","2,190","4,676",3179.0
,"4,600",,"4,677",3435.0
,62,"3,006","4,678",4357.0
,,"6,672","4,679",5012.0
,"7,400","7,400","4,680",4194.0
,"6,672","24,054","4,681",2364.0
,"3,006","3,350","4,682",4175.0
,,325,"4,683",4198.0
,"2,190","5,000","4,684",4907.0
,"9,800",693,"4,685",3062.0
,,"9,565","4,686",5613.0
,,"6,482","4,687",4725.0
,"8,200",,"4,688",4882.0
,"24,054","3,963","4,689",5573.0
,,,"4,690",5701.0
,"3,963",51,"4,691",3576.0
,,"1,883","4,692",3098.0
,"6,482","6,601","4,693",
,"9,565",,"4,694",4874.0
,693,"11,679","4,695",4753.0
,"5,000",31,"4,696",3115.0
,325,,"4,697",3788.0
,"3,350","3,860","4,698",2978.0
,51,"18,125","4,699",3386.0
,902,902,"4,700",6835.0
,"18,125","3,068","4,701",5123.0
,"3,860","6,100","4,702",3572.0
,,,"4,703",6619.0
,31,"9,107","4,704",3801.0
,"11,679",,"4,705",
,,"1,643","4,706",5890.0
,"6,601","1,200","4,707",3673.0
,"1,883","4,300","4,708",4268.0
,"3,068","23,100","4,709",4486.0
,58,58,"4,710",3361.0
,"23,100","1,609","4,711",3940.0
,"4,300",,"4,712",6946.0
,"1,200",,"4,713",5515.0
,"1,643",,"4,714",
,,"1,648","4,715",3473.0
,"9,107","28,964","4,716",3498.0
,,39,"4,717",4139.0
,"6,100","1,353","4,718",3578.0
,"1,609","33,498","4,719",4668.0
,"7,111","7,111","4,720",6941.0
,"33,498","14,000","4,721",4078.0
,"1,353",,"4,722",3156.0
,39,,"4,723",5835.0
,"28,964","22,800","4,724",3874.0
,"1,648","5,030","4,725",5556.0
,,,"4,726",7438.0
,,"82,132","4,727",2745.0
,,,"4,728",
,"14,000",585,"4,729",3918.0
,"1,862","1,862","4,730",5249.0
,585,,"4,731",3022.0
,,"14,500","4,732",5904.0
,,"1,700","4,733",8566.0
,"5,030",,"4,734",4287.0
,"22,800","5,241","4,735",3039.0
,"82,132","11,193","4,736",2748.0
,,630,"4,737",6000.0
,,,"4,738",5320.0
,"8,635",,"4,739",
,,"8,635","4,740",3871.0
,,,"4,741",6502.0
,630,"37,966","4,742",1574.0
,"11,193",382,"4,743",5555.0
,"5,241",58,"4,744",4201.0
,,"2,926","4,745",4387.0
,"1,700",,"4,746",4912.0
,"14,500",55,"4,747",6934.0
,,441,"4,748",5619.0
,,"4,362","4,749",5201.0
,,,"4,750",6524.0
,"4,362",,"4,751",4661.0
,441,190,"4,751",11175.0
,55,,"4,752",6167.0
,,,"4,753",3925.0
,"2,926",,"4,753",4023.0
,58,"7,645","4,754",3604.0
,382,"29,576","4,755",2314.0
,"37,966",,"4,755",4755.0
,,"7,550","4,756",3052.0
,"5,396","5,396","4,757",3685.0
,"7,550","9,988","4,758",4457.0
,,250,"4,760",5885.0
,"29,576",,"4,761",10534.0
,"7,645","1,115","4,762",7729.0
,,"25,000","4,763",5167.0
,,,"4,764",
,,"4,500","4,765",5161.0
,190,,"4,765",5346.0
,"9,988",,"4,766",3137.0
,,,"4,767",6331.0
,,,"4,768",6648.0
,,,"4,769",
,"4,500","5,382","4,770",
,,,"4,771",3759.0
,"25,000","38,063","4,771",5438.0
,"1,115",,"4,772",4694.0
,,"8,650","4,773",2476.0
,250,"5,766","4,774",7689.0
,,425,"4,775",4328.0
,,,"4,776",4677.0
,425,"15,824","4,777",3822.0
,"5,766",,"4,777",4777.0
,"8,650","4,974","4,778",
,,"4,894","4,779",4859.0
,"38,063","9,000","4,780",4399.0
,,850,"4,781",5110.0
,"5,382","13,550","4,782",4276.0
,,67,"4,783",5991.0
,"15,824","22,482","4,784",3961.0
,,,"4,785",26038.0
,"22,482","1,030","4,786",5749.0
,67,"2,258","4,787",
,"13,550","7,500","4,788",2409.0
,850,,"4,788",4510.0
,"9,000","17,330","4,789",3641.0
,"4,894",,"4,790",2962.0
,"4,974",333,"4,791",
,,"3,110","4,792",4129.0
,"1,030",613,"4,793",4986.0
,"10,528","10,528","4,794",3627.0
,613,"42,187","4,795",
,"3,110","2,490","4,796",7712.0
,333,"2,489","4,797",4226.0
,,"2,848","4,798",5032.0
,"17,330",,"4,799",2884.0
,,238,"4,800",3420.0
,"7,500","16,003","4,801",3687.0
,"2,258","4,691","4,802",4208.0
,"42,187",,"4,803",
,,,"4,804",2788.0
,,"1,809","4,805",3739.0
,"4,691",,"4,806",4806.0
,"16,003","6,218","4,806",5647.0
,238,"1,610","4,807",7515.0
,,"2,436","4,808",
,"2,848",,"4,809",9012.0
,"2,489",,"4,810",3877.0
,"2,490",,"4,811",4373.0
,"1,809","3,601","4,812",5434.0
,728,728,"4,813",2846.0
