07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
doll_12.79 m,doll_7.1 b,doll_68.46 m,doll_111.66 b
doll_22.2 m,doll_5.78 b,doll_52.61 m,doll_20.69 b
doll_11.47 m,doll_3.14 b,doll_48.99 m,doll_14.54 b
doll_22.33 m,doll_1.6 b,doll_42.69 m,doll_2.48 b
0,doll_2.44 b,doll_44.28 m,doll_11.85 b
doll_8.74 m,doll_7.87 b,doll_55.71 m,doll_35.26 b
0,doll_2.41 b,doll_66.7 m,doll_23.11 b
doll_34.56 m,doll_2.09 b,doll_73.44 m,doll_20.25 b
doll_17.6 m,doll_3.0 b,doll_50.93 m,doll_11.14 b
0,doll_1.05 b,doll_39.56 m,doll_3.93 b
doll_23.06 m,doll_4.28 b,doll_63.05 m,doll_43.1 b
doll_11.85 m,doll_1.33 b,doll_79.16 m,doll_16.23 b
doll_12.84 m,doll_26.02 b,doll_70.06 m,doll_62.99 b
doll_11.31 m,doll_417.0 m,doll_86.29 m,doll_13.88 b
doll_11.39 m,doll_3.65 b,doll_44.91 m,doll_15.14 b
doll_10.82 m,doll_852.0 m,doll_42.9 m,doll_5.36 b
doll_12.99 m,doll_2.17 b,doll_59.95 m,doll_17.42 b
doll_14.85 m,doll_4.97 b,doll_42.02 m,doll_203.75 b
doll_13.8 m,doll_12.38 b,doll_54.03 m,doll_111.21 b
doll_14.07 m,doll_2.28 b,doll_35.06 m,doll_6.39 b
doll_12.18 m,0.0,0,doll_36.4 b
doll_8.27 m,doll_-421.0 m,doll_18.19 m,doll_4.46 b
doll_16.52 m,doll_1.22 b,doll_47.92 m,doll_14.76 b
doll_8.2 m,doll_3.82 b,doll_39.93 m,doll_93.51 b
doll_15.95 m,doll_500.0 m,doll_50.31 m,doll_6.63 b
doll_13.9 m,doll_3.9 b,doll_61.32 m,doll_10.41 b
doll_11.12 m,doll_2.21 b,doll_45.2 m,doll_6.22 b
doll_7.53 m,doll_-4747.0 m,0,doll_27.0 m
doll_8.9 m,doll_4.4 b,doll_55.27 m,doll_11.55 b
doll_13.16 m,doll_6.09 b,doll_70.79 m,doll_86.61 b
doll_6.93 m,doll_17.94 b,doll_28.03 m,doll_61.79 b
doll_16.83 m,doll_22.89 b,doll_1.04 b,doll_97.14 b
doll_13.43 m,0.0,0,doll_62.54 b
doll_13.1 m,doll_4.91 b,doll_69.17 m,doll_39.74 b
doll_7.32 m,doll_1.32 b,doll_14.01 m,doll_11.78 b
doll_11.89 m,doll_5.2 b,doll_62.11 m,doll_65.8 b
doll_18.38 m,doll_1.82 b,doll_48.22 m,doll_17.93 b
doll_21.05 m,doll_1.04 b,0,doll_4.32 b
doll_5.22 m,doll_2.14 b,doll_39.31 m,doll_19.63 b
doll_13.4 m,doll_2.65 b,doll_47.52 m,doll_13.76 b
doll_19.04 m,doll_1.93 b,doll_35.78 m,doll_40.25 b
doll_10.91 m,doll_7.46 b,doll_46.42 m,0.0
doll_11.97 m,doll_-487.0 m,doll_23.49 m,doll_4.12 b
doll_10.54 m,doll_12.15 b,doll_58.78 m,doll_32.49 b
doll_14.32 m,doll_9.87 b,doll_54.24 m,doll_43.08 b
doll_14.29 m,doll_2.13 b,doll_60.29 m,doll_5.42 b
doll_20.54 m,doll_2.1 b,doll_51.51 m,doll_10.32 b
doll_10.57 m,doll_1.13 b,doll_55.33 m,doll_12.73 b
doll_14.83 m,doll_12.39 b,doll_47.73 m,0.0
doll_10.53 m,doll_999.0 m,doll_40.84 m,doll_14.0 b
doll_12.54 m,doll_1.59 b,doll_41.67 m,doll_22.69 b
doll_12.36 m,doll_166.0 m,doll_27.47 m,doll_17.66 b
doll_17.4 m,doll_4.94 b,doll_49.82 m,doll_10.28 b
doll_14.02 m,0.0,0,0.0
doll_10.57 m,doll_8.11 b,doll_51.62 m,doll_52.66 b
doll_7.37 m,doll_3.29 b,doll_68.7 m,doll_13.96 b
doll_14.82 m,doll_8.07 b,doll_41.28 m,doll_16.07 b
doll_11.25 m,doll_15.65 b,0,doll_164.66 b
doll_29.34 m,doll_3.35 b,doll_43.01 m,doll_47.68 b
doll_10.5 m,doll_1.4 b,doll_24.88 m,doll_5.43 b
doll_9.38 m,doll_3.88 b,doll_23.04 m,doll_17.19 b
doll_10.98 m,doll_3.32 b,doll_28.97 m,doll_9.21 b
doll_17.25 m,doll_7.0 b,doll_59.88 m,doll_35.67 b
doll_11.82 m,doll_915.0 m,doll_42.03 m,doll_4.71 b
doll_9.47 m,doll_2.22 b,doll_52.75 m,doll_37.06 b
doll_13.66 m,doll_29.0 m,doll_38.89 m,doll_5.14 b
doll_34.41 m,doll_1.16 b,doll_30.69 m,doll_3.68 b
doll_8.5 m,doll_1.95 b,doll_44.92 m,doll_3.42 b
doll_12.11 m,doll_4.83 b,doll_59.7 m,doll_12.74 b
doll_14.6 m,doll_1.25 b,doll_48.78 m,doll_12.19 b
doll_8.47 m,doll_-42.0 m,doll_57.94 m,doll_17.32 b
doll_16.36 m,doll_880.0 m,doll_35.78 m,doll_2.52 b
doll_10.84 m,doll_4.31 b,doll_19.46 m,doll_22.84 b
doll_7.95 m,doll_8.95 b,doll_71.79 m,0.0
doll_5.05 m,doll_3.1 b,0,doll_7.84 b
doll_10.98 m,doll_3.44 b,doll_35.34 m,doll_39.08 b
doll_10.82 m,doll_2.86 b,doll_64.25 m,doll_55.08 b
doll_19.58 m,doll_1.3 b,doll_47.44 m,doll_8.82 b
doll_11.42 m,doll_1.04 b,doll_63.1 m,doll_11.89 b
doll_17.26 m,doll_3.02 b,doll_54.76 m,doll_16.91 b
doll_13.63 m,doll_8.56 b,doll_39.78 m,doll_41.55 b
0,doll_1.29 b,doll_29.41 m,doll_12.19 b
doll_6.2 m,doll_9.02 b,doll_66.23 m,doll_110.01 b
0,doll_3.78 b,0,doll_41.52 b
doll_11.27 m,doll_3.26 b,doll_55.62 m,doll_38.47 b
doll_12.06 m,doll_614.0 m,doll_14.29 m,doll_1.58 b
doll_12.76 m,doll_1.87 b,doll_35.77 m,doll_11.06 b
doll_12.24 m,doll_4.42 b,doll_42.41 m,doll_27.96 b
doll_13.72 m,doll_1.93 b,doll_48.35 m,doll_9.48 b
doll_7.61 m,doll_3.04 b,doll_35.26 m,doll_51.58 b
doll_11.26 m,doll_3.26 b,doll_34.44 m,doll_4.77 b
doll_8.9 m,doll_762.0 m,doll_49.44 m,doll_4.53 b
doll_8.77 m,doll_497.0 m,doll_41.07 m,doll_4.39 b
doll_8.65 m,doll_3.13 b,doll_27.31 m,doll_5.75 b
doll_9.39 m,doll_4.33 b,doll_48.85 m,doll_12.52 b
doll_8.78 m,doll_4.66 b,doll_48.91 m,doll_19.67 b
doll_14.23 m,doll_4.08 b,doll_33.67 m,doll_69.05 b
doll_6.85 m,doll_3.78 b,doll_60.6 m,doll_14.55 b
doll_12.54 m,doll_2.3 b,doll_47.0 m,doll_18.24 b
doll_9.81 m,doll_6.55 b,doll_48.91 m,doll_71.08 b
doll_8.89 m,doll_2.34 b,doll_57.25 m,doll_7.57 b
doll_11.29 m,doll_773.0 m,doll_10.64 m,doll_2.91 b
doll_12.15 m,doll_5.26 b,doll_47.99 m,0.0
doll_11.85 m,doll_4.26 b,doll_41.64 m,doll_74.9 b
doll_12.58 m,doll_10.0 b,doll_15.14 m,doll_24.55 b
doll_12.38 m,doll_4.82 b,doll_37.31 m,doll_15.35 b
doll_8.01 m,doll_1.64 b,doll_31.66 m,doll_23.67 b
doll_8.25 m,doll_649.0 m,0,doll_35.54 b
doll_13.4 m,doll_6.12 b,doll_38.3 m,doll_24.01 b
doll_7.31 m,doll_873.0 m,doll_17.61 m,doll_4.78 b
doll_11.43 m,doll_1.11 b,doll_26.54 m,doll_9.84 b
