,link,rank,name,ceo,founded,revenue,country,industry
2386,https://www.value.today/company/weibo-corporation,2287,weibo corporation,not found,2010,doll_2.257 m,china,"['communication services', 'software and it', 'internet or mobile app based business', 'technology', 'software products']"
2387,https://www.value.today/company/china-international-marine-containers-group,2285,china international marine containers (group),not found,1980,doll_25.694 m,china,"['industries', 'metal fabrication products', 'logistics']"
2388,https://www.value.today/company/covivio,2283,covivio,not found,2000,858 million usd,france,"['real estate', 'hotels', 'investments', 'property investments']"
2389,https://www.value.today/company/elbit-systems,2290,elbit systems,not found,1966,doll_5.278 m,israel,"['industries', 'capital goods', 'aerospace and defense', 'aerospace products', 'aircrafts', 'helicoptors', 'security systems and solutions', 'medical equipment', 'technology', 'technology hardware and instruments', 'electronics']"
2390,https://www.value.today/company/pldt,2296,pldt,not found,1928,doll_3.704 m,philippines,"['communication services', 'telecom', 'utilities', 'telecom equipment', 'internet providers']"
2391,https://www.value.today/company/washington-h.-soul-pattinson-and-company,2299,washington h. soul pattinson and company,not found,1872,983 million usd,australia,"['energy', 'mining', 'coal mining']"
2392,https://www.value.today/company/old-republic-international-corporation,2292,old republic international corporation,not found,1969,doll_8.590 m,usa,"['financial services', 'insurance']"
2393,https://www.value.today/company/hella-gmbh-co.-kgaa,2293,hella gmbh & co. kgaa,not found,1899,doll_6.324 m,germany,"['consumer cyclical', 'automobile', 'automobile parts', 'lighting products', 'electronics']"
2394,https://www.value.today/company/baloise-holding-ag,2298,baloise holding ag,not found,1962,doll_9.381 m,switzerland,"['financial services', 'insurance', 'banking services']"
2395,https://www.value.today/company/seek,2297,seek limited,not found,1997,773 million usd,australia,"['industries', 'internet or mobile app based business', 'outsourcing and staffing']"
2396,https://www.value.today/company/land-securities-group,2295,land securities group,not found,1944,800 million usd,uk,"['real estate', 'commercial properties', 'investments', 'property investments']"
2397,https://www.value.today/company/taishin-financial-holding,2294,taishin financial holding,not found,2002,doll_1.936 m,taiwan,"['financial services', 'banking services']"
2398,https://www.value.today/company/wacker-chemie-ag,2300,wacker chemie ag,not found,1914,doll_6.711 m,germany,"['basic materials', 'chemicals']"
2399,https://www.value.today/company/zhejiang-supor,2291,zhejiang supor,not found,1994,doll_3.388 m,china,"['consumer cyclical', 'consumer durables', 'kitchen appliances', 'home furnishing']"
2400,https://www.value.today/company/brookfield-office-properties,2309,brookfield office properties,not found,1923,doll_6.593 m,usa,"['real estate', 'property investments', 'commercial properties']"
2401,https://www.value.today/company/mesaieed-petrochemical-holding-company-0,2310,mesaieed petrochemical holding company,not found,2013,515 million usd,qatar,"['chemicals', 'petrochemicals']"
2402,https://www.value.today/company/macrotech-developers-limited,2308,macrotech developers limited,not found,not found,doll_1.145 m,india,['real estate']
2403,https://www.value.today/company/piramal-enterprises,2307,piramal enterprises,not found,1984,doll_1.731 m,india,"['healthcare', 'conglomerate', 'real estate', 'pharmaceutical', 'financial services', 'healthcare products']"
2404,https://www.value.today/company/shanghai-commercial-savings-bank,2304,shanghai commercial & savings bank,not found,1915,doll_1.263 m,taiwan,"['financial services', 'banking services']"
2405,https://www.value.today/company/charter-hall-long-wale-reit,2303,charter hall long wale reit,not found,not found,152 million usd,australia,"['real estate', 'property investments', 'investments']"
2406,https://www.value.today/company/huntsman-corporation,2305,huntsman corporation,not found,1982,doll_8.453 m,usa,"['basic materials', 'chemicals', 'adhesives']"
2407,https://www.value.today/company/pagseguro-digital,2306,pagseguro digital,not found,2006,doll_1.335 m,brazil,"['technology', 'software and it', 'software products', 'software and it infrastructure']"
2408,https://www.value.today/company/canadian-apartment-properties-real-estate-investment-trust,2301,canadian apartment properties real estate investment trust,not found,1997,740 million usd,canada,"['real estate', 'investments', 'property investments']"
2409,https://www.value.today/company/mattel,2302,mattel,not found,1945,doll_5.457 m,usa,"['consumer cyclical', 'consumer non durables', 'gaming', 'toys', 'leisure']"
2410,https://www.value.today/company/netmarble-corporation,2320,netmarble corporation,not found,2000,doll_2.040 m,south korea,"['communication services', 'software and it', 'technology', 'video games / mobile games / tech games / casino games', 'software products', 'gaming']"
2411,https://www.value.today/company/fuzhou-rockchip-electronics-co.ltd.,2316,"fuzhou rockchip electronics co.,ltd.",not found,2001,396 million usd,china,"['technology', 'semiconductors']"
2412,https://www.value.today/company/huntington-ingalls-industries,2317,huntington ingalls industries,not found,2011,doll_9.524 m,usa,"['industries', 'defense products', 'transportation', 'capital goods', 'marine transportation', 'shipping', 'aerospace and defense']"
2413,https://www.value.today/company/jsr-corporation,2312,jsr corporation,not found,1957,doll_2.488 m,japan,"['basic materials', 'rubber products', 'chemicals', 'plastics / plastic products', 'semiconductors']"
2414,https://www.value.today/company/japan-real-estate-investment-corporation,2315,japan real estate investment corporation,not found,2001,524 million usd,japan,"['real estate', 'property investments', 'investments', 'commercial properties']"
2415,https://www.value.today/company/amlogic-shanghai,2311,amlogic (shanghai),not found,2003,695 million usd,china,"['technology', 'electronics', 'capital goods']"
