00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"3,038 million usd","1,288 million usd",1288000000.0
"1,926 million usd","9,018 million usd",9018000000.0
"4,422 million usd","3,776 million usd",3776000000.0
"1,871 million usd","3,257 million usd",3257000000.0
614 million usd,614 million usd,614000000.0
"3,257 million usd","1,871 million usd",1871000000.0
"3,776 million usd","4,422 million usd",4422000000.0
"9,018 million usd","1,926 million usd",1926000000.0
"1,288 million usd","3,038 million usd",3038000000.0
"3,258 million usd","3,258 million usd",3258000000.0
"6,554 million usd",762 million usd,762000000.0
"2,303 million usd",497 million usd,497000000.0
"3,780 million usd","3,129 million usd",3129000000.0
"4,076 million usd","4,326 million usd",4326000000.0
"4,664 million usd","4,664 million usd",4664000000.0
"4,326 million usd","4,076 million usd",4076000000.0
"3,129 million usd","3,780 million usd",3780000000.0
497 million usd,"2,303 million usd",2303000000.0
762 million usd,"6,554 million usd",6554000000.0
873 million usd,"2,342 million usd",2342000000.0
"6,122 million usd",773 million usd,773000000.0
649 million usd,"5,264 million usd",5264000000.0
"1,637 million usd","4,258 million usd",4258000000.0
"4,822 million usd","10,000 million usd",10000000000.0
"10,000 million usd","4,822 million usd",4822000000.0
"4,258 million usd","1,637 million usd",1637000000.0
"5,264 million usd",649 million usd,649000000.0
773 million usd,"6,122 million usd",6122000000.0
"2,342 million usd",873 million usd,873000000.0
83 million usd,"1,113 million usd",1113000000.0
"1,344 million usd","1,706 million usd",1706000000.0
"2,332 million usd",-77 million usd,-77000000.0
"4,373 million usd","2,399 million usd",2399000000.0
739 million usd,"3,411 million usd",3411000000.0
"3,411 million usd",739 million usd,739000000.0
"2,399 million usd","4,373 million usd",4373000000.0
-77 million usd,"2,332 million usd",2332000000.0
"1,706 million usd","1,344 million usd",1344000000.0
"1,113 million usd",83 million usd,83000000.0
"3,486 million usd","3,486 million usd",3486000000.0
"4,096 million usd","1,102 million usd",1102000000.0
"1,393 million usd",47 million usd,47000000.0
979 million usd,"1,158 million usd",1158000000.0
"4,185 million usd","1,099 million usd",1099000000.0
"1,529 million usd","1,529 million usd",1529000000.0
"1,099 million usd","4,185 million usd",4185000000.0
"1,158 million usd",979 million usd,979000000.0
47 million usd,"1,393 million usd",1393000000.0
"1,102 million usd","4,096 million usd",4096000000.0
"4,808 million usd","4,808 million usd",4808000000.0
"2,771 million usd","1,607 million usd",1607000000.0
"5,341 million usd","2,485 million usd",2485000000.0
"1,658 million usd","2,249 million usd",2249000000.0
,"2,146 million usd",2146000000.0
621 million usd,621 million usd,621000000.0
"2,146 million usd",,
"2,249 million usd","1,658 million usd",1658000000.0
"2,485 million usd","5,341 million usd",5341000000.0
"1,607 million usd","2,771 million usd",2771000000.0
"3,354 million usd",-267 million usd,-267000000.0
"1,200 million usd","2,261 million usd",2261000000.0
"10,289 million usd","6,753 million usd",6753000000.0
606 million usd,"1,029 million usd",1029000000.0
"3,550 million usd",533 million usd,533000000.0
533 million usd,"3,550 million usd",3550000000.0
"1,029 million usd",606 million usd,606000000.0
"6,753 million usd","10,289 million usd",10289000000.0
"2,261 million usd","1,200 million usd",1200000000.0
-267 million usd,"3,354 million usd",3354000000.0
"1,820 million usd","1,375 million usd",1375000000.0
"3,872 million usd","4,597 million usd",4597000000.0
757 million usd,"12,874 million usd",12874000000.0
"2,292 million usd",659 million usd,659000000.0
"5,159 million usd","7,571 million usd",7571000000.0
"7,571 million usd","5,159 million usd",5159000000.0
659 million usd,"2,292 million usd",2292000000.0
"12,874 million usd",757 million usd,757000000.0
"4,597 million usd","3,872 million usd",3872000000.0
"1,375 million usd","1,820 million usd",1820000000.0
59 million usd,59 million usd,59000000.0
"4,222 million usd","1,506 million usd",1506000000.0
"3,397 million usd","9,388 million usd",9388000000.0
,-29 million usd,-29000000.0
"1,377 million usd",801 million usd,801000000.0
"2,699 million usd","2,699 million usd",2699000000.0
801 million usd,"1,377 million usd",1377000000.0
-29 million usd,,
"9,388 million usd","3,397 million usd",3397000000.0
"1,506 million usd","4,222 million usd",4222000000.0
"2,118 million usd","-2,042 million usd",-2042000000.0
982 million usd,"5,293 million usd",5293000000.0
"3,361 million usd","3,632 million usd",3632000000.0
-491 million usd,"1,881 million usd",1881000000.0
966 million usd,"1,590 million usd",1590000000.0
"1,590 million usd",966 million usd,966000000.0
"1,881 million usd",-491 million usd,-491000000.0
"3,632 million usd","3,361 million usd",3361000000.0
"5,293 million usd",982 million usd,982000000.0
"-2,042 million usd","2,118 million usd",2118000000.0
"1,814 million usd","1,814 million usd",1814000000.0
"1,166 million usd",86 million usd,86000000.0
"2,269 million usd",793 million usd,793000000.0
"9,397 million usd","6,841 million usd",6841000000.0
"1,648 million usd","1,562 million usd",1562000000.0
,,
"1,562 million usd","1,648 million usd",1648000000.0
"6,841 million usd","9,397 million usd",9397000000.0
793 million usd,"2,269 million usd",2269000000.0
86 million usd,"1,166 million usd",1166000000.0
"1,780 million usd","4,727 million usd",4727000000.0
"6,512 million usd","6,512 million usd",6512000000.0
"4,727 million usd","1,780 million usd",1780000000.0
"1,392 million usd","1,622 million usd",1622000000.0
"2,542 million usd","2,933 million usd",2933000000.0
323 million usd,744 million usd,744000000.0
"-1,661 million usd","-1,661 million usd",-1661000000.0
744 million usd,323 million usd,323000000.0
"2,933 million usd","2,542 million usd",2542000000.0
"1,622 million usd","1,392 million usd",1392000000.0
,"1,005 million usd",1005000000.0
,"6,440 million usd",6440000000.0
750 million usd,-40 million usd,-40000000.0
379 million usd,873 million usd,873000000.0
"2,164 million usd",695 million usd,695000000.0
695 million usd,"2,164 million usd",2164000000.0
873 million usd,379 million usd,379000000.0
-40 million usd,750 million usd,750000000.0
"6,440 million usd",,
"1,005 million usd",,
"2,077 million usd","2,137 million usd",2137000000.0
"1,285 million usd","5,986 million usd",5986000000.0
"-1,542 million usd",590 million usd,590000000.0
725 million usd,"1,012 million usd",1012000000.0
154 million usd,"1,709 million usd",1709000000.0
"1,709 million usd",154 million usd,154000000.0
"1,012 million usd",725 million usd,725000000.0
590 million usd,"-1,542 million usd",-1542000000.0
"5,986 million usd","1,285 million usd",1285000000.0
"2,137 million usd","2,077 million usd",2077000000.0
"2,488 million usd",-468 million usd,-468000000.0
-468 million usd,"2,488 million usd",2488000000.0
"1,347 million usd","10,295 million usd",10295000000.0
-20 million usd,652 million usd,652000000.0
"1,664 million usd","1,600 million usd",1600000000.0
,"1,423 million usd",1423000000.0
"1,423 million usd",,
"1,600 million usd","1,664 million usd",1664000000.0
652 million usd,-20 million usd,-20000000.0
"10,295 million usd","1,347 million usd",1347000000.0
"9,738 million usd","1,881 million usd",1881000000.0
"6,311 million usd","5,563 million usd",5563000000.0
"1,284 million usd","3,009 million usd",3009000000.0
"1,210 million usd","1,318 million usd",1318000000.0
"3,082 million usd","2,103 million usd",2103000000.0
"2,103 million usd","3,082 million usd",3082000000.0
"1,318 million usd","1,210 million usd",1210000000.0
"3,009 million usd","1,284 million usd",1284000000.0
"5,563 million usd","6,311 million usd",6311000000.0
"1,881 million usd","9,738 million usd",9738000000.0
-164 million usd,532 million usd,532000000.0
"3,240 million usd",965 million usd,965000000.0
