00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
,8 million usd,
,-18 million usd,
,79 million usd,
-18 million usd,-104 million usd,
8 million usd,-706 million usd,
79 million usd,,
,21 million usd,
58 million usd,80 million usd,58000000.0
,317 million usd,
,,79000000.0
,-63 million usd,8000000.0
,87 million usd,-18000000.0
79 million usd,,79000000.0
87 million usd,,-104000000.0
-63 million usd,-6 million usd,-706000000.0
,-131 million usd,
317 million usd,14 million usd,21000000.0
80 million usd,393 million usd,80000000.0
21 million usd,-79 million usd,317000000.0
,57 million usd,
-706 million usd,203 million usd,-63000000.0
-104 million usd,,87000000.0
,,
,373 million usd,
203 million usd,332 million usd,-6000000.0
57 million usd,,-131000000.0
-79 million usd,280 million usd,14000000.0
393 million usd,-157 million usd,393000000.0
14 million usd,108 million usd,-79000000.0
-131 million usd,,57000000.0
-6 million usd,161 million usd,203000000.0
,,
,55 million usd,
,342 million usd,373000000.0
161 million usd,153 million usd,332000000.0
,,
108 million usd,72 million usd,280000000.0
-157 million usd,,-157000000.0
280 million usd,,108000000.0
,"-1,184 million usd",
332 million usd,-24 million usd,161000000.0
373 million usd,-156 million usd,
55 million usd,-54 million usd,55000000.0
-24 million usd,,342000000.0
-156 million usd,173 million usd,153000000.0
"-1,184 million usd",,
,,72000000.0
,62 million usd,
72 million usd,164 million usd,
,-303 million usd,-1184000000.0
153 million usd,164 million usd,-24000000.0
342 million usd,173 million usd,-156000000.0
-54 million usd,254 million usd,-54000000.0
173 million usd,,
164 million usd,414 million usd,173000000.0
-303 million usd,,
164 million usd,44 million usd,
62 million usd,,62000000.0
,39 million usd,164000000.0
,,-303000000.0
173 million usd,-118 million usd,164000000.0
,,173000000.0
254 million usd,,254000000.0
,,
-118 million usd,,414000000.0
,,
39 million usd,,44000000.0
,0 million usd,
44 million usd,,39000000.0
,38 million usd,
414 million usd,80 million usd,-118000000.0
,31 million usd,
,73 million usd,
31 million usd,152 million usd,
80 million usd,,
38 million usd,284 million usd,
,37 million usd,
0 million usd,-19 million usd,0.0
,,
,,38000000.0
,48 million usd,80000000.0
,54 million usd,31000000.0
73 million usd,,73000000.0
54 million usd,,152000000.0
48 million usd,,
,-29 million usd,284000000.0
,58 million usd,37000000.0
-19 million usd,,-19000000.0
37 million usd,171 million usd,
284 million usd,67 million usd,
,,48000000.0
152 million usd,197 million usd,54000000.0
,,
197 million usd,17 million usd,
,,
67 million usd,-5 million usd,-29000000.0
171 million usd,,58000000.0
,-338 million usd,
58 million usd,199 million usd,171000000.0
-29 million usd,,67000000.0
,90 million usd,
,22 million usd,197000000.0
,,
22 million usd,,17000000.0
90 million usd,126 million usd,
,3 million usd,-5000000.0
199 million usd,47 million usd,
-338 million usd,25 million usd,-338000000.0
,,199000000.0
-5 million usd,99 million usd,
,,90000000.0
17 million usd,-71 million usd,22000000.0
,170 million usd,
-71 million usd,,
,91 million usd,126000000.0
99 million usd,,3000000.0
,48 million usd,47000000.0
25 million usd,140 million usd,25000000.0
47 million usd,64 million usd,
3 million usd,72 million usd,99000000.0
126 million usd,679 million usd,
,584 million usd,-71000000.0
170 million usd,,170000000.0
584 million usd,59 million usd,
679 million usd,54 million usd,91000000.0
72 million usd,,
64 million usd,14 million usd,48000000.0
140 million usd,,140000000.0
48 million usd,,64000000.0
,,72000000.0
91 million usd,,679000000.0
,844 million usd,584000000.0
,191 million usd,
844 million usd,-21 million usd,59000000.0
,30 million usd,54000000.0
,128 million usd,
,-485 million usd,14000000.0
,162 million usd,
14 million usd,27 million usd,
,123 million usd,
54 million usd,770 million usd,
59 million usd,-108 million usd,844000000.0
191 million usd,46 million usd,191000000.0
-108 million usd,571 million usd,-21000000.0
770 million usd,44 million usd,30000000.0
123 million usd,47 million usd,128000000.0
27 million usd,-138 million usd,-485000000.0
162 million usd,,162000000.0
-485 million usd,459 million usd,27000000.0
128 million usd,,123000000.0
30 million usd,,770000000.0
-21 million usd,,-108000000.0
46 million usd,,46000000.0
,-319 million usd,571000000.0
,,44000000.0
,16 million usd,47000000.0
459 million usd,,-138000000.0
,,
-138 million usd,73 million usd,459000000.0
47 million usd,,
44 million usd,,
571 million usd,77 million usd,
,83 million usd,
77 million usd,,-319000000.0
,160 million usd,
,47 million usd,16000000.0
73 million usd,80 million usd,
,,
,89 million usd,73000000.0
16 million usd,144 million usd,
,112 million usd,
-319 million usd,154 million usd,77000000.0
83 million usd,168 million usd,83000000.0
154 million usd,"1,998 million usd",
112 million usd,,160000000.0
144 million usd,,47000000.0
89 million usd,,80000000.0
,-1 million usd,
80 million usd,"1,589 million usd",89000000.0
47 million usd,106 million usd,144000000.0
160 million usd,52 million usd,112000000.0
,65 million usd,154000000.0
168 million usd,-62 million usd,168000000.0
65 million usd,54 million usd,1998000000.0
52 million usd,,
106 million usd,203 million usd,
"1,589 million usd",250 million usd,
-1 million usd,,-1000000.0
,,1589000000.0
,,106000000.0
,25 million usd,52000000.0
"1,998 million usd",111 million usd,65000000.0
-62 million usd,68 million usd,-62000000.0
111 million usd,,54000000.0
25 million usd,-250 million usd,
,42 million usd,203000000.0
,217 million usd,250000000.0
,71 million usd,
250 million usd,108 million usd,
203 million usd,,
,331 million usd,25000000.0
54 million usd,15 million usd,111000000.0
68 million usd,72 million usd,68000000.0
15 million usd,,
331 million usd,,-250000000.0
,-153 million usd,42000000.0
108 million usd,125 million usd,217000000.0
71 million usd,"1,604 million usd",71000000.0
217 million usd,-95 million usd,108000000.0
42 million usd,105 million usd,
-250 million usd,-302 million usd,331000000.0
,10 million usd,15000000.0
72 million usd,37 million usd,72000000.0
10 million usd,-9 million usd,
-302 million usd,,
105 million usd,168 million usd,-153000000.0
-95 million usd,47 million usd,125000000.0
"1,604 million usd",28 million usd,1604000000.0
125 million usd,136 million usd,-95000000.0
-153 million usd,117 million usd,105000000.0
,112 million usd,-302000000.0
,-26 million usd,10000000.0
37 million usd,35 million usd,37000000.0
-26 million usd,,-9000000.0
112 million usd,,
117 million usd,43 million usd,168000000.0
136 million usd,40 million usd,47000000.0
28 million usd,,28000000.0
47 million usd,,136000000.0
168 million usd,,117000000.0
,40 million usd,112000000.0
-9 million usd,223 million usd,-26000000.0
35 million usd,221 million usd,35000000.0
223 million usd,,
40 million usd,43 million usd,
,79 million usd,43000000.0
,179 million usd,40000000.0
,,
40 million usd,-505 million usd,
43 million usd,14 million usd,
,47 million usd,40000000.0
,62 million usd,223000000.0
221 million usd,156 million usd,221000000.0
62 million usd,111 million usd,
47 million usd,-10 million usd,43000000.0
14 million usd,102 million usd,79000000.0
-505 million usd,112 million usd,179000000.0
,,
179 million usd,,-505000000.0
79 million usd,229 million usd,14000000.0
43 million usd,,47000000.0
,54 million usd,62000000.0
156 million usd,,156000000.0
54 million usd,,111000000.0
,,-10000000.0
229 million usd,-26 million usd,102000000.0
,,112000000.0
,,
112 million usd,-13 million usd,
102 million usd,,229000000.0
-10 million usd,,
111 million usd,92 million usd,54000000.0
,,
92 million usd,84 million usd,
,,
,25 million usd,-26000000.0
-13 million usd,71 million usd,
,4 million usd,
,66 million usd,-13000000.0
-26 million usd,274 million usd,
,90 million usd,
,26 million usd,92000000.0
,167 million usd,
26 million usd,18 million usd,84000000.0
90 million usd,133 million usd,
274 million usd,211 million usd,25000000.0
66 million usd,-11 million usd,71000000.0
4 million usd,,4000000.0
71 million usd,,66000000.0
25 million usd,119 million usd,274000000.0
,350 million usd,90000000.0
84 million usd,,26000000.0
167 million usd,164 million usd,167000000.0
,,18000000.0
350 million usd,74 million usd,133000000.0
119 million usd,-41 million usd,211000000.0
,,-11000000.0
,178 million usd,
-11 million usd,50 million usd,
211 million usd,-516 million usd,119000000.0
133 million usd,-10 million usd,350000000.0
18 million usd,,
164 million usd,69 million usd,164000000.0
,153 million usd,
-10 million usd,-64 million usd,74000000.0
-516 million usd,107 million usd,-41000000.0
50 million usd,0 million usd,
178 million usd,16 million usd,178000000.0
,72 million usd,50000000.0
-41 million usd,2 million usd,-516000000.0
74 million usd,62 million usd,-10000000.0
,91 million usd,
69 million usd,,69000000.0
91 million usd,,153000000.0
62 million usd,,-64000000.0
2 million usd,,107000000.0
72 million usd,195 million usd,0.0
16 million usd,-199 million usd,16000000.0
0 million usd,109 million usd,72000000.0
107 million usd,,2000000.0
-64 million usd,254 million usd,62000000.0
153 million usd,-59 million usd,91000000.0
,,
-59 million usd,41 million usd,
254 million usd,-8 million usd,
,,
109 million usd,,195000000.0
-199 million usd,278 million usd,-199000000.0
195 million usd,66 million usd,109000000.0
,231 million usd,
,-51 million usd,254000000.0
,,-59000000.0
,,
,33 million usd,41000000.0
-51 million usd,468 million usd,-8000000.0
231 million usd,12 million usd,
66 million usd,201 million usd,
278 million usd,81 million usd,278000000.0
,,66000000.0
,195 million usd,231000000.0
-8 million usd,28 million usd,-51000000.0
41 million usd,223 million usd,
,,
223 million usd,,33000000.0
28 million usd,,468000000.0
195 million usd,,12000000.0
,,201000000.0
81 million usd,68 million usd,81000000.0
201 million usd,43 million usd,
12 million usd,,195000000.0
468 million usd,,28000000.0
33 million usd,-192 million usd,223000000.0
,,
-192 million usd,161 million usd,
,46 million usd,
,148 million usd,
43 million usd,250 million usd,
68 million usd,4 million usd,68000000.0
,,43000000.0
,187 million usd,
,85 million usd,
,,-192000000.0
,,
,128 million usd,161000000.0
187 million usd,87 million usd,46000000.0
85 million usd,,148000000.0
,,250000000.0
4 million usd,,4000000.0
250 million usd,54 million usd,
148 million usd,29 million usd,187000000.0
46 million usd,,85000000.0
161 million usd,224 million usd,
,188 million usd,
224 million usd,277 million usd,128000000.0
,97 million usd,87000000.0
29 million usd,,
54 million usd,,
,-7 million usd,
,117 million usd,54000000.0
,-70 million usd,29000000.0
87 million usd,96 million usd,
128 million usd,176 million usd,224000000.0
188 million usd,108 million usd,188000000.0
176 million usd,42 million usd,277000000.0
96 million usd,,97000000.0
-70 million usd,48 million usd,
117 million usd,56 million usd,
-7 million usd,258 million usd,-7000000.0
,46 million usd,117000000.0
,,-70000000.0
97 million usd,277 million usd,96000000.0
277 million usd,592 million usd,176000000.0
108 million usd,,108000000.0
592 million usd,188 million usd,42000000.0
277 million usd,402 million usd,
,,48000000.0
46 million usd,,56000000.0
258 million usd,,258000000.0
56 million usd,,46000000.0
48 million usd,,
,,277000000.0
42 million usd,,592000000.0
,106 million usd,
,,188000000.0
,,402000000.0
,,
,,
,-36 million usd,
,207 million usd,
,44 million usd,
402 million usd,,
188 million usd,176 million usd,
106 million usd,,106000000.0
176 million usd,,
,17 million usd,
44 million usd,,
207 million usd,17 million usd,
-36 million usd,213 million usd,-36000000.0
,26 million usd,207000000.0
,74 million usd,44000000.0
,17 million usd,
,,176000000.0
,,
,125 million usd,
17 million usd,78 million usd,17000000.0
74 million usd,88 million usd,
26 million usd,135 million usd,17000000.0
213 million usd,19 million usd,213000000.0
17 million usd,,26000000.0
17 million usd,68 million usd,74000000.0
,72 million usd,17000000.0
,-180 million usd,
,-24 million usd,
-180 million usd,,125000000.0
72 million usd,,78000000.0
68 million usd,6 million usd,88000000.0
,,135000000.0
19 million usd,-187 million usd,19000000.0
135 million usd,120 million usd,
88 million usd,90 million usd,68000000.0
78 million usd,17 million usd,72000000.0
125 million usd,124 million usd,-180000000.0
-24 million usd,,-24000000.0
124 million usd,352 million usd,
17 million usd,141 million usd,
90 million usd,435 million usd,6000000.0
120 million usd,,
-187 million usd,67 million usd,-187000000.0
,-20 million usd,120000000.0
6 million usd,20 million usd,90000000.0
,133 million usd,17000000.0
,-168 million usd,124000000.0
,2 million usd,
-168 million usd,-4 million usd,352000000.0
133 million usd,,141000000.0
20 million usd,,435000000.0
-20 million usd,,
67 million usd,35 million usd,67000000.0
,,-20000000.0
435 million usd,,20000000.0
141 million usd,291 million usd,133000000.0
352 million usd,,-168000000.0
2 million usd,,2000000.0
,77 million usd,-4000000.0
,203 million usd,
291 million usd,,
,,
35 million usd,134 million usd,35000000.0
,-213 million usd,
,140 million usd,
,,291000000.0
-4 million usd,87 million usd,
,-3 million usd,
87 million usd,,77000000.0
,,203000000.0
140 million usd,169 million usd,
-213 million usd,,
134 million usd,,134000000.0
,,-213000000.0
,229 million usd,140000000.0
203 million usd,86 million usd,
77 million usd,-38 million usd,87000000.0
-3 million usd,35 million usd,-3000000.0
-38 million usd,,
86 million usd,-10 million usd,
229 million usd,,169000000.0
,199 million usd,
,54 million usd,
,,
169 million usd,137 million usd,229000000.0
,39 million usd,86000000.0
,117 million usd,-38000000.0
35 million usd,324 million usd,35000000.0
117 million usd,-346 million usd,
39 million usd,,-10000000.0
137 million usd,-41 million usd,
,,199000000.0
54 million usd,,54000000.0
199 million usd,"-1,638 million usd",
,25 million usd,137000000.0
-10 million usd,,39000000.0
,371 million usd,117000000.0
324 million usd,21 million usd,324000000.0
371 million usd,-60 million usd,-346000000.0
,53 million usd,
25 million usd,-69 million usd,-41000000.0
"-1,638 million usd",27 million usd,
,,
,114 million usd,-1638000000.0
-41 million usd,-71 million usd,25000000.0
,,
-346 million usd,85 million usd,371000000.0
21 million usd,,21000000.0
85 million usd,-125 million usd,-60000000.0
,-50 million usd,53000000.0
-71 million usd,184 million usd,-69000000.0
114 million usd,71 million usd,27000000.0
27 million usd,,
,359 million usd,114000000.0
-69 million usd,,-71000000.0
53 million usd,-21 million usd,
-60 million usd,44 million usd,85000000.0
,122 million usd,
44 million usd,56 million usd,-125000000.0
-21 million usd,,-50000000.0
,"1,013 million usd",184000000.0
359 million usd,38 million usd,71000000.0
,-11 million usd,
71 million usd,121 million usd,359000000.0
184 million usd,-105 million usd,
-50 million usd,,-21000000.0
-125 million usd,,44000000.0
122 million usd,,122000000.0
,73 million usd,56000000.0
,,
-105 million usd,94 million usd,1013000000.0
121 million usd,,38000000.0
-11 million usd,83 million usd,-11000000.0
38 million usd,,121000000.0
"1,013 million usd",,-105000000.0
,,
56 million usd,41 million usd,
,22 million usd,
41 million usd,,73000000.0
,-13 million usd,
,48 million usd,94000000.0
,74 million usd,
83 million usd,80 million usd,83000000.0
,,
94 million usd,16 million usd,
,119 million usd,
73 million usd,,41000000.0
22 million usd,232 million usd,22000000.0
,332 million usd,
119 million usd,48 million usd,-13000000.0
16 million usd,,48000000.0
,123 million usd,74000000.0
80 million usd,,80000000.0
74 million usd,59 million usd,
48 million usd,131 million usd,16000000.0
-13 million usd,,119000000.0
,187 million usd,
232 million usd,95 million usd,232000000.0
187 million usd,157 million usd,332000000.0
,,48000000.0
131 million usd,,
59 million usd,,123000000.0
,49 million usd,
123 million usd,,59000000.0
,-13 million usd,131000000.0
48 million usd,,
332 million usd,465 million usd,187000000.0
95 million usd,,95000000.0
465 million usd,69 million usd,157000000.0
,,
-13 million usd,177 million usd,
,529 million usd,
49 million usd,57 million usd,49000000.0
,104 million usd,
,-301 million usd,-13000000.0
,,
157 million usd,186 million usd,465000000.0
,37 million usd,
186 million usd,115 million usd,69000000.0
,106 million usd,
-301 million usd,95 million usd,177000000.0
104 million usd,142 million usd,529000000.0
57 million usd,193 million usd,57000000.0
529 million usd,,104000000.0
177 million usd,-25 million usd,-301000000.0
,43 million usd,
69 million usd,102 million usd,186000000.0
37 million usd,,37000000.0
102 million usd,123 million usd,115000000.0
43 million usd,138 million usd,106000000.0
-25 million usd,249 million usd,95000000.0
,6 million usd,142000000.0
193 million usd,,193000000.0
142 million usd,,
95 million usd,72 million usd,-25000000.0
106 million usd,,43000000.0
115 million usd,,102000000.0
,32 million usd,
,203 million usd,123000000.0
,45 million usd,138000000.0
72 million usd,174 million usd,249000000.0
,13 million usd,6000000.0
,,
6 million usd,47 million usd,
249 million usd,,72000000.0
138 million usd,17 million usd,
123 million usd,135 million usd,
32 million usd,147 million usd,32000000.0
135 million usd,,203000000.0
17 million usd,,45000000.0
,42 million usd,174000000.0
47 million usd,,13000000.0
,439 million usd,
13 million usd,,47000000.0
174 million usd,72 million usd,
45 million usd,19 million usd,17000000.0
203 million usd,99 million usd,135000000.0
147 million usd,77 million usd,147000000.0
99 million usd,74 million usd,
19 million usd,,
72 million usd,31 million usd,42000000.0
,475 million usd,
439 million usd,,439000000.0
,21 million usd,
42 million usd,76 million usd,72000000.0
,83 million usd,19000000.0
,93 million usd,99000000.0
77 million usd,,77000000.0
93 million usd,54 million usd,74000000.0
83 million usd,,
76 million usd,,31000000.0
21 million usd,,475000000.0
,-43 million usd,
475 million usd,,21000000.0
31 million usd,,76000000.0
,,83000000.0
74 million usd,,93000000.0
,,
,,54000000.0
,,
,-171 million usd,
,-1 million usd,
-43 million usd,172 million usd,-43000000.0
,,
,,
,37 million usd,
54 million usd,196 million usd,
,396 million usd,
196 million usd,,
37 million usd,,
,114 million usd,-171000000.0
,128 million usd,-1000000.0
172 million usd,,172000000.0
-1 million usd,-133 million usd,
-171 million usd,417 million usd,
,,37000000.0
,97 million usd,196000000.0
396 million usd,-139 million usd,396000000.0
97 million usd,,
,5 million usd,
417 million usd,,114000000.0
-133 million usd,"-1,018 million usd",128000000.0
,67 million usd,
128 million usd,-114 million usd,-133000000.0
114 million usd,,417000000.0
,-227 million usd,
,-234 million usd,97000000.0
-139 million usd,-544 million usd,-139000000.0
-234 million usd,60 million usd,
-227 million usd,38 million usd,5000000.0
,,
-114 million usd,22 million usd,-1018000000.0
67 million usd,37 million usd,67000000.0
"-1,018 million usd",,-114000000.0
,73 million usd,
5 million usd,29 million usd,-227000000.0
,76 million usd,-234000000.0
-544 million usd,128 million usd,-544000000.0
76 million usd,-192 million usd,60000000.0
29 million usd,438 million usd,38000000.0
73 million usd,45 million usd,
,86 million usd,22000000.0
37 million usd,,37000000.0
22 million usd,,
,1 million usd,73000000.0
38 million usd,189 million usd,29000000.0
60 million usd,-69 million usd,76000000.0
128 million usd,,128000000.0
-69 million usd,21 million usd,-192000000.0
189 million usd,,438000000.0
1 million usd,,45000000.0
,2 million usd,86000000.0
,,
86 million usd,-18 million usd,
45 million usd,78 million usd,1000000.0
438 million usd,104 million usd,189000000.0
-192 million usd,161 million usd,-69000000.0
,,
161 million usd,-139 million usd,21000000.0
104 million usd,230 million usd,
78 million usd,-145 million usd,
-18 million usd,26 million usd,2000000.0
2 million usd,150 million usd,
,,-18000000.0
,209 million usd,78000000.0
,42 million usd,104000000.0
21 million usd,,161000000.0
,124 million usd,
,,-139000000.0
42 million usd,,230000000.0
209 million usd,52 million usd,-145000000.0
,60 million usd,26000000.0
150 million usd,-27 million usd,150000000.0
26 million usd,-47 million usd,
-145 million usd,,209000000.0
230 million usd,121 million usd,42000000.0
-139 million usd,"-1,269 million usd",
124 million usd,,124000000.0
"-1,269 million usd",118 million usd,
121 million usd,,
,46 million usd,52000000.0
-47 million usd,80 million usd,60000000.0
-27 million usd,5 million usd,-27000000.0
60 million usd,380 million usd,-47000000.0
52 million usd,48 million usd,
,-13 million usd,121000000.0
,86 million usd,-1269000000.0
,,
86 million usd,489 million usd,118000000.0
-13 million usd,570 million usd,
48 million usd,-189 million usd,46000000.0
380 million usd,,80000000.0
5 million usd,175 million usd,5000000.0
80 million usd,53 million usd,380000000.0
46 million usd,105 million usd,48000000.0
,-256 million usd,-13000000.0
118 million usd,,86000000.0
,-167 million usd,
,,489000000.0
-256 million usd,,570000000.0
105 million usd,-47 million usd,-189000000.0
53 million usd,-305 million usd,
175 million usd,54 million usd,175000000.0
,39 million usd,53000000.0
-189 million usd,,105000000.0
570 million usd,42 million usd,-256000000.0
489 million usd,-168 million usd,
-167 million usd,,-167000000.0
-168 million usd,,
42 million usd,,
,158 million usd,-47000000.0
39 million usd,,-305000000.0
54 million usd,390 million usd,54000000.0
-305 million usd,-49 million usd,39000000.0
-47 million usd,139 million usd,
,69 million usd,42000000.0
,,-168000000.0
,,
,43 million usd,
69 million usd,"-1,625 million usd",
139 million usd,156 million usd,158000000.0
-49 million usd,,
390 million usd,,390000000.0
,-28 million usd,-49000000.0
158 million usd,"-2,397 million usd",139000000.0
,-122 million usd,69000000.0
,-115 million usd,
,218 million usd,
-115 million usd,144 million usd,43000000.0
-122 million usd,-36 million usd,-1625000000.0
"-2,397 million usd",61 million usd,156000000.0
-28 million usd,47 million usd,
,,
,107 million usd,-28000000.0
156 million usd,,-2397000000.0
"-1,625 million usd",67 million usd,-122000000.0
43 million usd,,-115000000.0
218 million usd,-11 million usd,218000000.0
,-444 million usd,144000000.0
67 million usd,-126 million usd,-36000000.0
,144 million usd,61000000.0
107 million usd,,47000000.0
,,
47 million usd,,107000000.0
61 million usd,-4 million usd,
-36 million usd,74 million usd,67000000.0
144 million usd,-20 million usd,
-11 million usd,24 million usd,-11000000.0
-20 million usd,57 million usd,-444000000.0
74 million usd,148 million usd,-126000000.0
-4 million usd,,144000000.0
,,
,,
,,
144 million usd,,-4000000.0
-126 million usd,,74000000.0
-444 million usd,114 million usd,-20000000.0
24 million usd,70 million usd,24000000.0
114 million usd,249 million usd,57000000.0
,75 million usd,148000000.0
,89 million usd,
,,
,143 million usd,
,14 million usd,
,-6 million usd,
148 million usd,,
57 million usd,282 million usd,114000000.0
70 million usd,110 million usd,70000000.0
282 million usd,,249000000.0
,,75000000.0
-6 million usd,,89000000.0
14 million usd,,
143 million usd,,143000000.0
,,14000000.0
89 million usd,118 million usd,-6000000.0
75 million usd,-120 million usd,
249 million usd,-41 million usd,282000000.0
,152 million usd,110000000.0
110 million usd,189 million usd,
-41 million usd,333 million usd,
-120 million usd,87 million usd,
118 million usd,,
,39 million usd,
,,
,,118000000.0
,,-120000000.0
,90 million usd,-41000000.0
152 million usd,,152000000.0
90 million usd,,189000000.0
,21 million usd,333000000.0
,93 million usd,87000000.0
,,
39 million usd,63 million usd,39000000.0
,,
87 million usd,,
333 million usd,,
189 million usd,,90000000.0
,,
,,
,,21000000.0
,-250 million usd,93000000.0
,328 million usd,
63 million usd,243 million usd,63000000.0
,-143 million usd,
93 million usd,100 million usd,
21 million usd,,
,,
,85 million usd,
,163 million usd,
,62 million usd,
100 million usd,3 million usd,-250000000.0
-143 million usd,78 million usd,328000000.0
243 million usd,134 million usd,243000000.0
328 million usd,72 million usd,-143000000.0
-250 million usd,56 million usd,100000000.0
,4 million usd,
,42 million usd,
85 million usd,,85000000.0
42 million usd,,163000000.0
4 million usd,57 million usd,62000000.0
56 million usd,-81 million usd,3000000.0
72 million usd,,78000000.0
134 million usd,,134000000.0
78 million usd,75 million usd,72000000.0
3 million usd,-139 million usd,56000000.0
62 million usd,,4000000.0
163 million usd,,42000000.0
,,
,-246 million usd,
,98 million usd,57000000.0
-139 million usd,36 million usd,-81000000.0
75 million usd,-82 million usd,
,,
,189 million usd,75000000.0
-81 million usd,177 million usd,-139000000.0
57 million usd,342 million usd,
,,
,-7 million usd,
,,-246000000.0
342 million usd,81 million usd,98000000.0
177 million usd,33 million usd,36000000.0
189 million usd,,-82000000.0
,94 million usd,
-82 million usd,,189000000.0
36 million usd,,177000000.0
98 million usd,210 million usd,342000000.0
-246 million usd,64 million usd,
-7 million usd,91 million usd,-7000000.0
64 million usd,,
210 million usd,43 million usd,81000000.0
,62 million usd,33000000.0
,,
94 million usd,214 million usd,94000000.0
33 million usd,-102 million usd,
81 million usd,113 million usd,
,-892 million usd,210000000.0
,,64000000.0
91 million usd,61 million usd,91000000.0
,91 million usd,
-892 million usd,,43000000.0
113 million usd,65 million usd,62000000.0
-102 million usd,165 million usd,
214 million usd,52 million usd,214000000.0
,79 million usd,-102000000.0
62 million usd,,113000000.0
43 million usd,-433 million usd,-892000000.0
,32 million usd,
61 million usd,256 million usd,61000000.0
32 million usd,,91000000.0
-433 million usd,122 million usd,
,109 million usd,65000000.0
79 million usd,,165000000.0
52 million usd,,52000000.0
165 million usd,-587 million usd,79000000.0
65 million usd,188 million usd,
,21 million usd,-433000000.0
91 million usd,45 million usd,32000000.0
256 million usd,,256000000.0
45 million usd,,
21 million usd,317 million usd,122000000.0
188 million usd,124 million usd,109000000.0
-587 million usd,,
,42 million usd,
,,-587000000.0
109 million usd,20 million usd,188000000.0
122 million usd,90 million usd,21000000.0
,,45000000.0
,78 million usd,
,,
90 million usd,,317000000.0
20 million usd,319 million usd,124000000.0
,95 million usd,
42 million usd,,42000000.0
,46 million usd,
124 million usd,73 million usd,20000000.0
317 million usd,269 million usd,90000000.0
,,
78 million usd,,78000000.0
,-71 million usd,
269 million usd,,
73 million usd,181 million usd,319000000.0
46 million usd,-68 million usd,95000000.0
,63 million usd,
95 million usd,,46000000.0
319 million usd,46 million usd,73000000.0
,231 million usd,269000000.0
,21 million usd,
,,
21 million usd,-12 million usd,-71000000.0
231 million usd,4 million usd,
46 million usd,167 million usd,181000000.0
,152 million usd,-68000000.0
63 million usd,-95 million usd,63000000.0
-68 million usd,78 million usd,
181 million usd,226 million usd,46000000.0
,50 million usd,231000000.0
-71 million usd,352 million usd,21000000.0
,,
352 million usd,,-12000000.0
50 million usd,-226 million usd,4000000.0
226 million usd,95 million usd,167000000.0
78 million usd,146 million usd,152000000.0
-95 million usd,,-95000000.0
152 million usd,118 million usd,78000000.0
167 million usd,87 million usd,226000000.0
4 million usd,,50000000.0
-12 million usd,,352000000.0
,41 million usd,
,,
,1 million usd,-226000000.0
87 million usd,60 million usd,95000000.0
118 million usd,-829 million usd,146000000.0
,,
146 million usd,,118000000.0
95 million usd,113 million usd,87000000.0
-226 million usd,43 million usd,
,,
41 million usd,33 million usd,41000000.0
,180 million usd,
43 million usd,,1000000.0
113 million usd,61 million usd,60000000.0
,48 million usd,-829000000.0
,149 million usd,
60 million usd,,
-829 million usd,-2 million usd,113000000.0
1 million usd,,43000000.0
33 million usd,,
,24 million usd,33000000.0
,97 million usd,180000000.0
,,
-2 million usd,,61000000.0
,,48000000.0
149 million usd,,149000000.0
48 million usd,223 million usd,
61 million usd,,-2000000.0
,,
180 million usd,39 million usd,
24 million usd,61 million usd,24000000.0
39 million usd,78 million usd,97000000.0
,,
,,
223 million usd,,
,,
,,223000000.0
,35 million usd,
,-162 million usd,
97 million usd,51 million usd,39000000.0
61 million usd,-86 million usd,61000000.0
51 million usd,70 million usd,78000000.0
-162 million usd,126 million usd,
35 million usd,64 million usd,
,177 million usd,
,,
,,
,169 million usd,35000000.0
,112 million usd,-162000000.0
78 million usd,118 million usd,51000000.0
-86 million usd,190 million usd,-86000000.0
118 million usd,,70000000.0
112 million usd,28 million usd,126000000.0
169 million usd,,64000000.0
,34 million usd,177000000.0
,-57 million usd,
177 million usd,,
64 million usd,8 million usd,169000000.0
126 million usd,,112000000.0
70 million usd,103 million usd,118000000.0
190 million usd,171 million usd,190000000.0
103 million usd,413 million usd,
,,28000000.0
8 million usd,,
,,34000000.0
-57 million usd,7 million usd,-57000000.0
34 million usd,,
,,8000000.0
28 million usd,39 million usd,
,,103000000.0
171 million usd,-36 million usd,171000000.0
,,413000000.0
39 million usd,,
,24 million usd,
,59 million usd,
7 million usd,,7000000.0
,-20 million usd,
,,
,,39000000.0
413 million usd,,
-36 million usd,15 million usd,-36000000.0
,85 million usd,
,55 million usd,
,,24000000.0
-20 million usd,,59000000.0
,,
59 million usd,31 million usd,-20000000.0
24 million usd,395 million usd,
,,
,,
15 million usd,80 million usd,15000000.0
,,85000000.0
,,55000000.0
395 million usd,-305 million usd,
31 million usd,-54 million usd,
,-30 million usd,
,197 million usd,31000000.0
,360 million usd,395000000.0
55 million usd,-64 million usd,
85 million usd,78 million usd,
80 million usd,65 million usd,80000000.0
78 million usd,,
-64 million usd,,
360 million usd,-59 million usd,-305000000.0
197 million usd,213 million usd,-54000000.0
-30 million usd,74 million usd,-30000000.0
-54 million usd,40 million usd,197000000.0
-305 million usd,-203 million usd,360000000.0
,,-64000000.0
,,78000000.0
,2 million usd,65000000.0
65 million usd,97 million usd,
,32 million usd,
