03-gren-market_capitalization_2022,02-GioPonSpiz-marketcap
38512000000.0,37.746 billion usd
38477000000.0,38.153 billion usd
38466000000.0,43.962 billion usd
38468000000.0,32.412 billion usd
38253000000.0,33.437 billion usd
38230000000.0,36.991 billion usd
38134000000.0,31.575 billion usd
38113000000.0,33.416 billion usd
38038000000.0,37.761 billion usd
38016000000.0,35.530 billion usd
37941000000.0,38.318 billion usd
37936000000.0,36.020 billion usd
37855000000.0,37.394 billion usd
37846000000.0,39.419 billion usd
37824000000.0,34.455 billion usd
37817000000.0,32.712 billion usd
37790000000.0,34.129 billion usd
37733000000.0,45.402 billion usd
37525000000.0,39.512 billion usd
37360000000.0,57.108 billion usd
37278000000.0,31.415 billion usd
37268000000.0,41.324 billion usd
37223000000.0,37.168 billion usd
37202000000.0,37.592 billion usd
37187000000.0,36.527 billion usd
37170000000.0,31.915 billion usd
,554
37157000000.0,35.143 billion usd
37096000000.0,42.283 billion usd
,556
37063000000.0,42.294 billion usd
36837000000.0,38.398 billion usd
36825000000.0,34.897 billion usd
36770000000.0,42.650 billion usd
36701000000.0,35.560 billion usd
36681000000.0,41.842 billion usd
36683000000.0,32.326 billion usd
36636000000.0,38.129 billion usd
36585000000.0,35.165 billion usd
36472000000.0,33.224 billion usd
36436000000.0,35.034 billion usd
36332000000.0,33.881 billion usd
36166000000.0,57.153 billion usd
36138000000.0,37.733 billion usd
36144000000.0,33.345 billion usd
36128000000.0,39.804 billion usd
36107000000.0,40.000 billion usd
36019000000.0,36.078 billion usd
35941000000.0,35.796 billion usd
35915000000.0,31.137 billion usd
35831000000.0,40.662 billion usd
35832000000.0,33.152 billion usd
35814000000.0,34.789 billion usd
35779000000.0,28.312 billion usd
35730000000.0,31.042 billion usd
35653000000.0,33.734 billion usd
35592000000.0,50.766 billion usd
35462000000.0,38.045 billion usd
35453000000.0,35.897 billion usd
35381000000.0,34.395 billion usd
35294000000.0,32.282 billion usd
35192000000.0,32.965 billion usd
35180000000.0,35.809 billion usd
35122000000.0,34.236 billion usd
35109000000.0,44.870 billion usd
35066000000.0,32.341 billion usd
35061000000.0,34.425 billion usd
34996000000.0,31.829 billion usd
34960000000.0,41.366 billion usd
34939000000.0,34.705 billion usd
