08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"11,142 million usd","31,387 million usd","2,484 million usd","23,113 million usd",23113000000.0
"3,928 million usd","17,669 million usd","14,545 million usd","20,248 million usd",20248000000.0
"20,248 million usd","16,757 million usd","20,692 million usd","11,142 million usd",11142000000.0
"14,545 million usd","1,023 million usd","111,660 million usd","3,928 million usd",3928000000.0
"43,104 million usd","54,819 million usd","6,386 million usd","43,104 million usd",43104000000.0
"5,356 million usd","7,470 million usd","111,210 million usd","16,226 million usd",16226000000.0
"203,750 million usd","6,870 million usd","203,750 million usd","62,990 million usd",62990000000.0
"62,990 million usd","7,499 million usd","17,421 million usd","13,877 million usd",13877000000.0
"13,877 million usd","1,814 million usd","5,356 million usd","15,137 million usd",15137000000.0
"15,137 million usd","12,935 million usd","15,137 million usd","5,356 million usd",5356000000.0
"16,226 million usd","25,930 million usd","13,877 million usd","17,421 million usd",17421000000.0
"6,386 million usd","31,629 million usd","62,990 million usd","203,750 million usd",203750000000.0
"111,210 million usd","48,298 million usd","16,226 million usd","111,210 million usd",111210000000.0
"17,421 million usd","16,196 million usd","43,104 million usd","6,386 million usd",6386000000.0
"36,400 million usd","180,700 million usd","86,615 million usd","36,400 million usd",36400000000.0
"14,759 million usd","1,139 million usd","11,549 million usd","4,462 million usd",4462000000.0
27 million usd,"8,495 million usd",27 million usd,"14,759 million usd",14759000000.0
"10,411 million usd","4,587 million usd","6,218 million usd","93,512 million usd",93512000000.0
"86,615 million usd","3,531 million usd","10,411 million usd","6,635 million usd",6635000000.0
"93,512 million usd","3,613 million usd","6,635 million usd","10,411 million usd",10411000000.0
"6,218 million usd","4,296 million usd","93,512 million usd","6,218 million usd",6218000000.0
"11,549 million usd","15,410 million usd","14,759 million usd",27 million usd,27000000.0
"6,635 million usd","3,691 million usd","4,462 million usd","11,549 million usd",11549000000.0
"4,462 million usd","3,688 million usd","36,400 million usd","86,615 million usd",86615000000.0
"61,787 million usd",497 million usd,"13,763 million usd","61,787 million usd",61787000000.0
"39,745 million usd","6,703 million usd","19,628 million usd","97,143 million usd",97143000000.0
"62,540 million usd","81,863 million usd","4,321 million usd","62,540 million usd",62540000000.0
"17,931 million usd","19,765 million usd","17,931 million usd","39,745 million usd",39745000000.0
"65,801 million usd","2,650 million usd","65,801 million usd","11,777 million usd",11777000000.0
"13,763 million usd","3,270 million usd","11,777 million usd","65,801 million usd",65801000000.0
"4,321 million usd","9,276 million usd","39,745 million usd","17,931 million usd",17931000000.0
"19,628 million usd","5,212 million usd","62,540 million usd","4,321 million usd",4321000000.0
"97,143 million usd","1,876 million usd","97,143 million usd","19,628 million usd",19628000000.0
"11,777 million usd","2,462 million usd","61,787 million usd","13,763 million usd",13763000000.0
"43,076 million usd","7,043 million usd","13,997 million usd","40,247 million usd",40247000000.0
"32,492 million usd","1,796 million usd",,0 million usd,0.0
"40,247 million usd","11,237 million usd","12,733 million usd","4,117 million usd",4117000000.0
"10,323 million usd","2,394 million usd","10,323 million usd","32,492 million usd",32492000000.0
"13,997 million usd","16,480 million usd","5,425 million usd","43,076 million usd",43076000000.0
0 million usd,0 million usd,"43,076 million usd","5,425 million usd",5425000000.0
"12,733 million usd","15,816 million usd","32,492 million usd","10,323 million usd",10323000000.0
"5,425 million usd","3,720 million usd","4,117 million usd","12,733 million usd",12733000000.0
"capital one financial corporation annual revenues for december-2019 ending is 27,831 million usd","2,271 million usd",0 million usd,,
"4,117 million usd","1,759 million usd","40,247 million usd","13,997 million usd",13997000000.0
not found,"3,708 million usd","5,426 million usd","22,687 million usd",22687000000.0
"10,281 million usd","11,201 million usd","47,676 million usd","17,661 million usd",17661000000.0
"52,662 million usd",0 million usd,"164,660 million usd","10,281 million usd",10281000000.0
"13,964 million usd","10,311 million usd","16,071 million usd",,
"16,071 million usd","10,086 million usd","13,964 million usd","52,662 million usd",52662000000.0
"17,661 million usd","11,994 million usd","52,662 million usd","13,964 million usd",13964000000.0
"22,687 million usd",0 million usd,,"16,071 million usd",16071000000.0
"47,676 million usd",0 million usd,"10,281 million usd","164,660 million usd",164660000000.0
"5,426 million usd","11,843 million usd","17,661 million usd","47,676 million usd",47676000000.0
"164,660 million usd","23,020 million usd","22,687 million usd","5,426 million usd",5426000000.0
"5,138 million usd","11,138 million usd","12,193 million usd","17,191 million usd",17191000000.0
"3,677 million usd",,"12,743 million usd","9,211 million usd",9211000000.0
"12,743 million usd","14,684 million usd","3,415 million usd","35,667 million usd",35667000000.0
"35,667 million usd","5,489 million usd","3,677 million usd","4,706 million usd",4706000000.0
"9,211 million usd","20,307 million usd","5,138 million usd","37,060 million usd",37060000000.0
"37,060 million usd","7,311 million usd","37,060 million usd","5,138 million usd",5138000000.0
"4,706 million usd","10,548 million usd","4,706 million usd","3,677 million usd",3677000000.0
"17,191 million usd","11,344 million usd","35,667 million usd","3,415 million usd",3415000000.0
"12,193 million usd","5,447 million usd","9,211 million usd","12,743 million usd",12743000000.0
"3,415 million usd","18,713 million usd","17,191 million usd","12,193 million usd",12193000000.0
"2,522 million usd","15,849 million usd","16,911 million usd","17,323 million usd",17323000000.0
"17,323 million usd","41,423 million usd","11,888 million usd","2,522 million usd",2522000000.0
0 million usd,"15,466 million usd","8,821 million usd","22,845 million usd",22845000000.0
"55,080 million usd","5,691 million usd","55,080 million usd",0 million usd,0.0
"8,821 million usd",958 million usd,"39,083 million usd","7,839 million usd",7839000000.0
