08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
not found,,426 million usd,,204000000.0
not found,,,,
362 million usd,,,0 million usd,
not found,,,"3,610 million usd",857000000.0
592 million usd,,69 million usd,203 million usd,554000000.0
203 million usd,,"1,579 million usd","3,865 million usd",
"3,610 million usd",,,,
"6,150 million usd",,,592 million usd,1579000000.0
"3,865 million usd",,554 million usd,"6,150 million usd",69000000.0
0 million usd,,857 million usd,362 million usd,
not found,,,,
"3,979 million usd",,,-5 million usd,
not found,,,,0.0
"1,623 million usd",,362 million usd,805 million usd,3610000000.0
not found,,"6,150 million usd",637 million usd,203000000.0
not found,,592 million usd,,3865000000.0
-5 million usd,,,"1,623 million usd",
805 million usd,,"3,865 million usd",,592000000.0
not found,,203 million usd,,6150000000.0
637 million usd,,"3,610 million usd","3,979 million usd",362000000.0
"1,090 million usd",,0 million usd,"1,090 million usd",
not found,,-5 million usd,517 million usd,-5000000.0
"3,459 million usd",,"1,090 million usd",,
257 million usd,,"3,979 million usd",356 million usd,805000000.0
not found,,,258 million usd,637000000.0
344 million usd,,,,
356 million usd,,"1,623 million usd",344 million usd,1623000000.0
-585 million usd,,637 million usd,257 million usd,
not found,,805 million usd,"3,459 million usd",
258 million usd,,,-585 million usd,3979000000.0
517 million usd,,,,1090000000.0
316 million usd,,517 million usd,316 million usd,517000000.0
235 million usd,,,221 million usd,
"2,241 million usd",,-585 million usd,,356000000.0
221 million usd,,"3,459 million usd",568 million usd,258000000.0
not found,,257 million usd,167 million usd,
"2,270 million usd",,344 million usd,531 million usd,344000000.0
not found,,,"2,270 million usd",257000000.0
167 million usd,,258 million usd,,3459000000.0
568 million usd,,356 million usd,"2,241 million usd",-585000000.0
531 million usd,,,235 million usd,
"1,207 million usd",,316 million usd,"1,207 million usd",316000000.0
223 million usd,,235 million usd,,221000000.0
247 million usd,,"2,241 million usd",135 million usd,
135 million usd,,,294 million usd,568000000.0
not found,,"2,270 million usd",,167000000.0
"1,471 million usd",,531 million usd,,531000000.0
895 million usd,,167 million usd,"1,471 million usd",2270000000.0
not found,,568 million usd,895 million usd,
not found,,,223 million usd,2241000000.0
294 million usd,,221 million usd,247 million usd,235000000.0
not found,,"1,207 million usd",,1207000000.0
910 million usd,,247 million usd,,
not found,,223 million usd,"1,387 million usd",135000000.0
567 million usd,,895 million usd,"5,574 million usd",294000000.0
not found,,"1,471 million usd",,
not found,,,567 million usd,
"1,387 million usd",,,,1471000000.0
"5,574 million usd",,294 million usd,910 million usd,895000000.0
"3,190 million usd",,135 million usd,"3,190 million usd",223000000.0
not found,,,,247000000.0
277 million usd,,,277 million usd,
not found,,,,
671 million usd,,"3,190 million usd",,1387000000.0
"1,227 million usd",,910 million usd,525 million usd,5574000000.0
not found,,,703 million usd,
525 million usd,,567 million usd,,567000000.0
703 million usd,,,524 million usd,
not found,,"5,574 million usd","1,227 million usd",910000000.0
not found,,"1,387 million usd",671 million usd,3190000000.0
524 million usd,,,,
251 million usd,,277 million usd,,277000000.0
not found,,,110 million usd,
"2,553 million usd",,671 million usd,,
not found,,"1,227 million usd",865 million usd,525000000.0
not found,,524 million usd,429 million usd,703000000.0
483 million usd,,,483 million usd,
232 million usd,,703 million usd,,524000000.0
429 million usd,,525 million usd,"2,553 million usd",1227000000.0
110 million usd,,,232 million usd,671000000.0
865 million usd,,,251 million usd,
356 million usd,,,,
279 million usd,,251 million usd,17 million usd,110000000.0
168 million usd,,232 million usd,127 million usd,
127 million usd,,"2,553 million usd",168 million usd,865000000.0
232 million usd,,,335 million usd,429000000.0
934 million usd,,483 million usd,963 million usd,483000000.0
17 million usd,,429 million usd,279 million usd,
335 million usd,,865 million usd,232 million usd,2553000000.0
not found,,,934 million usd,232000000.0
963 million usd,,110 million usd,356 million usd,251000000.0
not found,,,,
not found,,356 million usd,,17000000.0
not found,,934 million usd,"1,563 million usd",127000000.0
399 million usd,,232 million usd,399 million usd,168000000.0
964 million usd,,279 million usd,51 million usd,335000000.0
381 million usd,,963 million usd,,963000000.0
51 million usd,,335 million usd,381 million usd,279000000.0
"1,563 million usd",,168 million usd,964 million usd,232000000.0
not found,,127 million usd,,934000000.0
not found,,17 million usd,,356000000.0
"2,057 million usd",,,"2,057 million usd",
"5,900 million usd",,,,
21 million usd,,,719 million usd,1563000000.0
not found,,964 million usd,21 million usd,399000000.0
not found,,381 million usd,"1,962 million usd",51000000.0
"1,962 million usd",,,,
"1,359 million usd",,51 million usd,,381000000.0
not found,,399 million usd,"1,359 million usd",964000000.0
not found,,"1,563 million usd","5,900 million usd",
719 million usd,,,,
not found,,"2,057 million usd",457 million usd,2057000000.0
not found,,,847 million usd,
155 million usd,,"5,900 million usd",,719000000.0
487 million usd,,"1,359 million usd",155 million usd,21000000.0
not found,,,268 million usd,1962000000.0
847 million usd,,,487 million usd,
268 million usd,,21 million usd,,
279 million usd,,"1,962 million usd",279 million usd,1359000000.0
not found,,719 million usd,,5900000000.0
457 million usd,,457 million usd,,
0 million usd,,,0 million usd,457000000.0
667 million usd,,,667 million usd,847000000.0
not found,,,,
592 million usd,,279 million usd,,155000000.0
not found,,,,268000000.0
not found,,487 million usd,,487000000.0
not found,,268 million usd,"1,690 million usd",
not found,,155 million usd,,279000000.0
"1,690 million usd",,,,
not found,,847 million usd,592 million usd,
591 million usd,,0 million usd,591 million usd,0.0
not found,,592 million usd,"1,820 million usd",667000000.0
"1,030 million usd",,,,
not found,,,,
"1,820 million usd",,"1,690 million usd",,
not found,,,,
680 million usd,,,,1690000000.0
not found,,,"1,030 million usd",
not found,,,680 million usd,
589 million usd,,667 million usd,589 million usd,592000000.0
119 million usd,,591 million usd,0 million usd,591000000.0
not found,,589 million usd,522 million usd,1820000000.0
0 million usd,,680 million usd,"5,062 million usd",
not found,,"1,030 million usd","6,086 million usd",
"6,086 million usd",,,"1,496 million usd",
"5,062 million usd",,,,
522 million usd,,,,
"2,591 million usd",,,"2,591 million usd",1030000000.0
113 million usd,,,113 million usd,680000000.0
"1,496 million usd",,"1,820 million usd",119 million usd,589000000.0
194 million usd,,0 million usd,194 million usd,0.0
"1,228 million usd",,119 million usd,,522000000.0
"1,727 million usd",,113 million usd,"2,487 million usd",5062000000.0
not found,,"2,591 million usd",,6086000000.0
not found,,,740 million usd,1496000000.0
not found,,,"1,727 million usd",
709 million usd,,"1,496 million usd",,
"2,487 million usd",,"6,086 million usd",709 million usd,2591000000.0
740 million usd,,"5,062 million usd",,113000000.0
not found,,522 million usd,"1,228 million usd",119000000.0
172 million usd,,194 million usd,172 million usd,194000000.0
not found,,"1,228 million usd",451 million usd,
481 million usd,,,,2487000000.0
not found,,709 million usd,,
not found,,,,740000000.0
not found,,"1,727 million usd",,1727000000.0
not found,,740 million usd,,
not found,,,,709000000.0
451 million usd,,"2,487 million usd",481 million usd,
not found,,,,1228000000.0
207 million usd,,172 million usd,207 million usd,172000000.0
not found,,,,451000000.0
not found,,481 million usd,,
97 million usd,,,97 million usd,
"1,700 million usd",,,"1,520 million usd",
"1,520 million usd",,,,
not found,,,"1,700 million usd",
not found,,,,
not found,,,,481000000.0
not found,,451 million usd,,
not found,,207 million usd,233 million usd,207000000.0
233 million usd,,,"2,941 million usd",
not found,,,579 million usd,
"1,394 million usd",,,,97000000.0
579 million usd,,"1,700 million usd",,1520000000.0
"2,941 million usd",,,,
not found,,"1,520 million usd","1,130 million usd",1700000000.0
not found,,97 million usd,"1,394 million usd",
"1,130 million usd",,,,
not found,,,,
"1,642 million usd",,233 million usd,"1,642 million usd",233000000.0
not found,,,,2941000000.0
"3,318 million usd",,,,579000000.0
267 million usd,,"1,394 million usd",57 million usd,
"1,287 million usd",,"1,130 million usd",60 million usd,
109 million usd,,,267 million usd,
57 million usd,,,198 million usd,1130000000.0
198 million usd,,,"3,318 million usd",1394000000.0
60 million usd,,579 million usd,109 million usd,
not found,,"2,941 million usd","1,287 million usd",
476 million usd,,"1,642 million usd",476 million usd,1642000000.0
"1,202 million usd",,"1,287 million usd",,
not found,,109 million usd,,
-281 million usd,,"3,318 million usd",96 million usd,57000000.0
not found,,198 million usd,"1,202 million usd",60000000.0
"6,790 million usd",,267 million usd,"6,790 million usd",267000000.0
317 million usd,,60 million usd,317 million usd,198000000.0
not found,,57 million usd,-281 million usd,3318000000.0
not found,,,,109000000.0
96 million usd,,,,1287000000.0
not found,,,104 million usd,476000000.0
"3,736 million usd",,476 million usd,879 million usd,
104 million usd,,,"1,747 million usd",
not found,,-281 million usd,"3,736 million usd",96000000.0
-2 million usd,,317 million usd,,1202000000.0
"16,553 million usd",,"6,790 million usd",,6790000000.0
not found,,"1,202 million usd",,317000000.0
not found,,96 million usd,-2 million usd,-281000000.0
"1,747 million usd",,,"16,553 million usd",
879 million usd,,,,
417 million usd,,104 million usd,417 million usd,104000000.0
not found,,,,879000000.0
not found,,"16,553 million usd","1,977 million usd",1747000000.0
95 million usd,,-2 million usd,"1,432 million usd",3736000000.0
not found,,,,
"2,125 million usd",,,,
not found,,,,
"1,432 million usd",,"3,736 million usd",95 million usd,-2000000.0
"1,977 million usd",,"1,747 million usd",,16553000000.0
not found,,879 million usd,"2,125 million usd",
158 million usd,,417 million usd,158 million usd,417000000.0
51 million usd,,"2,125 million usd",23 million usd,
"1,131 million usd",,,"1,920 million usd",1977000000.0
"1,083 million usd",,95 million usd,488 million usd,1432000000.0
"2,610 million usd",,,"2,610 million usd",
983 million usd,,,"1,131 million usd",
not found,,,,
488 million usd,,"1,432 million usd","1,083 million usd",95000000.0
"1,920 million usd",,"1,977 million usd",983 million usd,
23 million usd,,,51 million usd,2125000000.0
71 million usd,,158 million usd,"1,882 million usd",158000000.0
not found,,51 million usd,417 million usd,23000000.0
not found,,983 million usd,,1920000000.0
417 million usd,,"1,083 million usd",,488000000.0
"1,882 million usd",,,223 million usd,2610000000.0
223 million usd,,"1,131 million usd",,1131000000.0
not found,,"2,610 million usd",,
"1,464 million usd",,488 million usd,"1,464 million usd",1083000000.0
not found,,"1,920 million usd",71 million usd,983000000.0
"13,616 million usd",,23 million usd,"13,616 million usd",51000000.0
"1,063 million usd",,"1,882 million usd","1,063 million usd",1882000000.0
103 million usd,,"13,616 million usd",121 million usd,417000000.0
not found,,71 million usd,"4,684 million usd",
292 million usd,,"1,464 million usd",,
not found,,,103 million usd,223000000.0
568 million usd,,,568 million usd,
177 million usd,,223 million usd,177 million usd,
"1,942 million usd",,,"1,942 million usd",1464000000.0
"4,684 million usd",,,292 million usd,71000000.0
121 million usd,,417 million usd,,13616000000.0
"1,315 million usd",,"1,063 million usd",9 million usd,1063000000.0
"2,791 million usd",,,,121000000.0
not found,,292 million usd,0 million usd,4684000000.0
not found,,"1,942 million usd","3,497 million usd",
"3,497 million usd",,177 million usd,,103000000.0
"1,388 million usd",,568 million usd,,568000000.0
0 million usd,,103 million usd,"1,315 million usd",177000000.0
"5,559 million usd",,,"1,388 million usd",1942000000.0
9 million usd,,"4,684 million usd","2,791 million usd",292000000.0
not found,,121 million usd,"5,559 million usd",
not found,,9 million usd,,9000000.0
not found,,"5,559 million usd",338 million usd,
not found,,"2,791 million usd",,0.0
237 million usd,,"1,388 million usd",,3497000000.0
not found,,"1,315 million usd",,
not found,,,,
not found,,,226 million usd,1315000000.0
226 million usd,,"3,497 million usd",,1388000000.0
not found,,0 million usd,,2791000000.0
338 million usd,,,237 million usd,5559000000.0
777 million usd,,,205 million usd,
not found,,237 million usd,"1,180 million usd",338000000.0
not found,,,,
not found,,,,
not found,,226 million usd,,
"1,180 million usd",,,,
not found,,,,226000000.0
214 million usd,,,,
not found,,,214 million usd,
205 million usd,,338 million usd,777 million usd,237000000.0
not found,,205 million usd,,205000000.0
229 million usd,,777 million usd,341 million usd,1180000000.0
"5,416 million usd",,214 million usd,945 million usd,
945 million usd,,,,
not found,,,229 million usd,
not found,,,,
"1,456 million usd",,,"5,416 million usd",
not found,,,,
not found,,,"1,456 million usd",214000000.0
341 million usd,,"1,180 million usd",,777000000.0
not found,,,,
not found,,"1,456 million usd",133 million usd,341000000.0
509 million usd,,,"1,261 million usd",945000000.0
155 million usd,,"5,416 million usd",42 million usd,
not found,,,309 million usd,229000000.0
"1,261 million usd",,,,
309 million usd,,229 million usd,155 million usd,5416000000.0
42 million usd,,,,
not found,,945 million usd,,1456000000.0
133 million usd,,341 million usd,509 million usd,
0 million usd,,,,
"3,537 million usd",,509 million usd,0 million usd,133000000.0
not found,,,,1261000000.0
not found,,,,42000000.0
not found,,155 million usd,427 million usd,309000000.0
not found,,,753 million usd,
150 million usd,,309 million usd,,155000000.0
427 million usd,,42 million usd,,
753 million usd,,"1,261 million usd","3,537 million usd",
not found,,133 million usd,150 million usd,509000000.0
94 million usd,,,112 million usd,
112 million usd,,150 million usd,251 million usd,0.0
not found,,"3,537 million usd",,
34 million usd,,,611 million usd,
733 million usd,,,34 million usd,427000000.0
"4,314 million usd",,753 million usd,,753000000.0
251 million usd,,427 million usd,,
not found,,,"4,314 million usd",
611 million usd,,,733 million usd,3537000000.0
not found,,0 million usd,94 million usd,150000000.0
not found,,112 million usd,"1,770 million usd",112000000.0
158 million usd,,94 million usd,"3,245 million usd",251000000.0
not found,,733 million usd,"1,476 million usd",
320 million usd,,"4,314 million usd",158 million usd,611000000.0
"3,245 million usd",,,320 million usd,34000000.0
not found,,,,
not found,,34 million usd,,
not found,,611 million usd,,4314000000.0
"1,770 million usd",,,,733000000.0
"1,476 million usd",,251 million usd,,94000000.0
not found,,"1,770 million usd",,1770000000.0
not found,,,,3245000000.0
not found,,,,1476000000.0
not found,,,,158000000.0
not found,,,,320000000.0
not found,,,,
not found,,320 million usd,,
not found,,158 million usd,,
not found,,"1,476 million usd",,
not found,,"3,245 million usd",,
111 million usd,,,111 million usd,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,111 million usd,,111000000.0
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
91 million usd,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,,
not found,,,91 million usd,
not found,,,,
"3,505 million usd",,,"3,505 million usd",
548 million usd,,,"1,096 million usd",
"1,413 million usd",,,155 million usd,
not found,,,,
not found,,,352 million usd,
"1,096 million usd",,,548 million usd,
20 million usd,,,20 million usd,
not found,,,,
352 million usd,,91 million usd,"1,413 million usd",91000000.0
155 million usd,,,,
321 million usd,,"3,505 million usd",321 million usd,3505000000.0
277 million usd,,,"2,172 million usd",1096000000.0
"7,867 million usd",,"1,413 million usd",,155000000.0
261 million usd,,,277 million usd,
not found,,20 million usd,261 million usd,352000000.0
310 million usd,,548 million usd,,548000000.0
not found,,352 million usd,,20000000.0
not found,,,310 million usd,
"2,172 million usd",,155 million usd,"7,867 million usd",1413000000.0
not found,,"1,096 million usd",,
441 million usd,,321 million usd,"3,273 million usd",321000000.0
"1,064 million usd",,,196 million usd,2172000000.0
466 million usd,,"7,867 million usd","2,032 million usd",
"2,032 million usd",,310 million usd,231 million usd,277000000.0
"3,127 million usd",,,"2,740 million usd",261000000.0
231 million usd,,,"1,064 million usd",
196 million usd,,261 million usd,"3,127 million usd",
"2,740 million usd",,277 million usd,202 million usd,310000000.0
202 million usd,,,466 million usd,7867000000.0
"3,273 million usd",,"2,172 million usd",441 million usd,
74 million usd,,"3,273 million usd",,3273000000.0
106 million usd,,441 million usd,479 million usd,196000000.0
"1,455 million usd",,466 million usd,131 million usd,2032000000.0
not found,,202 million usd,,231000000.0
479 million usd,,"3,127 million usd","1,214 million usd",2740000000.0
"1,821 million usd",,"1,064 million usd",2 million usd,1064000000.0
not found,,"2,740 million usd","1,455 million usd",3127000000.0
2 million usd,,231 million usd,74 million usd,202000000.0
131 million usd,,"2,032 million usd","1,821 million usd",466000000.0
"1,214 million usd",,196 million usd,106 million usd,441000000.0
not found,,,407 million usd,
407 million usd,,106 million usd,612 million usd,479000000.0
"1,883 million usd",,"1,821 million usd",,131000000.0
612 million usd,,74 million usd,"1,487 million usd",
not found,,"1,455 million usd",,1214000000.0
692 million usd,,2 million usd,692 million usd,2000000.0
not found,,"1,214 million usd","1,883 million usd",1455000000.0
not found,,,,74000000.0
"1,487 million usd",,131 million usd,,1821000000.0
not found,,479 million usd,,106000000.0
103 million usd,,407 million usd,103 million usd,407000000.0
231 million usd,,,,612000000.0
583 million usd,,,148 million usd,
not found,,,,1487000000.0
148 million usd,,"1,883 million usd",,
97 million usd,,,"2,208 million usd",692000000.0
"2,208 million usd",,"1,487 million usd",97 million usd,1883000000.0
not found,,692 million usd,583 million usd,
not found,,,231 million usd,
not found,,612 million usd,,
9 million usd,,103 million usd,9 million usd,103000000.0
375 million usd,,,91 million usd,
"2,318 million usd",,231 million usd,558 million usd,148000000.0
"1,584 million usd",,583 million usd,52 million usd,
259 million usd,,97 million usd,"1,609 million usd",
693 million usd,,"2,208 million usd","1,584 million usd",2208000000.0
"1,609 million usd",,,693 million usd,97000000.0
52 million usd,,,259 million usd,583000000.0
91 million usd,,148 million usd,375 million usd,231000000.0
558 million usd,,,"2,318 million usd",
290 million usd,,9 million usd,290 million usd,9000000.0
352 million usd,,"2,318 million usd",396 million usd,91000000.0
"1,262 million usd",,375 million usd,"1,119 million usd",558000000.0
314 million usd,,259 million usd,"1,262 million usd",52000000.0
524 million usd,,693 million usd,,1609000000.0
not found,,"1,584 million usd",524 million usd,1584000000.0
not found,,"1,609 million usd",314 million usd,693000000.0
not found,,52 million usd,,259000000.0
"1,119 million usd",,558 million usd,352 million usd,375000000.0
396 million usd,,91 million usd,,2318000000.0
not found,,290 million usd,973 million usd,290000000.0
not found,,,,396000000.0
"2,873 million usd",,352 million usd,763 million usd,1119000000.0
973 million usd,,,,1262000000.0
not found,,314 million usd,906 million usd,
763 million usd,,524 million usd,"2,873 million usd",524000000.0
"5,634 million usd",,,,314000000.0
not found,,"1,262 million usd","5,634 million usd",
906 million usd,,"1,119 million usd",,352000000.0
not found,,396 million usd,,
not found,,973 million usd,,973000000.0
not found,,,,
314 million usd,,,,763000000.0
"25,794 million usd",,"5,634 million usd",,
not found,,,,906000000.0
558.6 million cad for year ending december-2020,,"2,873 million usd",314 million usd,2873000000.0
not found,,906 million usd,,
not found,,,,5634000000.0
not found,,763 million usd,,
not found,,,"25,794 million usd",
not found,,,272 million usd,
101 million usd,,"25,794 million usd",101 million usd,
272 million usd,,,255 million usd,
422 million usd,,,335 million usd,
"4,252 million usd",,,"1,159 million usd",
255 million usd,,314 million usd,422 million usd,314000000.0
335 million usd,,,"4,252 million usd",
"1,159 million usd",,,69 million usd,
69 million usd,,,,
not found,,,,25794000000.0
not found,,272 million usd,,272000000.0
not found,,,,101000000.0
206 million usd,,,,255000000.0
not found,,69 million usd,,335000000.0
not found,,"4,252 million usd",206 million usd,1159000000.0
678 million usd,,422 million usd,678 million usd,422000000.0
"2,103 million usd",,"1,159 million usd",,4252000000.0
not found,,335 million usd,,69000000.0
not found,,255 million usd,,
not found,,101 million usd,"2,103 million usd",
454 million usd,,,921 million usd,
921 million usd,,"2,103 million usd",,
not found,,,,
"1,144 million usd",,,"1,144 million usd",
not found,,,,206000000.0
"3,129 million usd",,678 million usd,,678000000.0
not found,,206 million usd,,
220 million usd,,,"3,129 million usd",
not found,,,454 million usd,
not found,,,220 million usd,2103000000.0
"1,065 million usd",,921 million usd,"1,065 million usd",921000000.0
not found,,220 million usd,"2,516 million usd",
119 million usd,,454 million usd,,
"1,153 million usd",,"3,129 million usd",99 million usd,1144000000.0
99 million usd,,,"4,892 million usd",
"1,932 million usd",,,,
"4,892 million usd",,,"1,932 million usd",
344 million usd,,"1,144 million usd","1,153 million usd",3129000000.0
"2,516 million usd",,,344 million usd,454000000.0
not found,,,119 million usd,220000000.0
not found,,"1,065 million usd",,1065000000.0
226 million usd,,119 million usd,226 million usd,2516000000.0
657 million usd,,344 million usd,749 million usd,
864 million usd,,"1,153 million usd",142 million usd,99000000.0
40 million usd,,"1,932 million usd",864 million usd,4892000000.0
not found,,,,
142 million usd,,"4,892 million usd",779 million usd,1932000000.0
779 million usd,,,40 million usd,1153000000.0
"1,028 million usd",,99 million usd,657 million usd,344000000.0
749 million usd,,"2,516 million usd","1,028 million usd",119000000.0
48 million usd,,,"1,075 million usd",
"3,497 million usd",,"1,028 million usd",166 million usd,226000000.0
719 million usd,,657 million usd,"3,497 million usd",749000000.0
248 million usd,,40 million usd,,142000000.0
"1,303 million usd",,779 million usd,902 million usd,864000000.0
not found,,,248 million usd,
not found,,864 million usd,48 million usd,779000000.0
902 million usd,,142 million usd,719 million usd,40000000.0
166 million usd,,749 million usd,"1,303 million usd",657000000.0
"1,075 million usd",,226 million usd,,1028000000.0
not found,,"1,075 million usd",,1075000000.0
not found,,,,166000000.0
not found,,"1,303 million usd",80 million usd,3497000000.0
not found,,719 million usd,,
not found,,48 million usd,,902000000.0
"1,532 million usd",,248 million usd,,248000000.0
not found,,902 million usd,,48000000.0
not found,,,,719000000.0
80 million usd,,"3,497 million usd",,1303000000.0
not found,,166 million usd,"1,532 million usd",
not found,,,,
not found,,"1,532 million usd",,
242 million usd,,,"4,058 million usd",80000000.0
not found,,,100 million usd,
"1,439 million usd",,,,
100 million usd,,,,
not found,,,,
not found,,,"1,439 million usd",
"4,058 million usd",,80 million usd,,
not found,,,242 million usd,1532000000.0
not found,,,,
not found,,242 million usd,555 million usd,
not found,,,"2,022 million usd",4058000000.0
"2,300 million usd",,"1,439 million usd",,100000000.0
not found,,,"2,740 million usd",
not found,,,"2,300 million usd",
"2,740 million usd",,,,
"2,022 million usd",,100 million usd,"6,071 million usd",1439000000.0
555 million usd,,"4,058 million usd",,
"6,071 million usd",,,,242000000.0
752 million usd,,,752 million usd,
not found,,,193 million usd,555000000.0
not found,,,507 million usd,2022000000.0
"3,888 million usd",,"6,071 million usd",287 million usd,
"2,758 million usd",,,225 million usd,2740000000.0
193 million usd,,"2,300 million usd",,2300000000.0
340 million usd,,"2,740 million usd","3,888 million usd",
225 million usd,,,,6071000000.0
507 million usd,,"2,022 million usd",340 million usd,
287 million usd,,555 million usd,"2,758 million usd",
not found,,752 million usd,,752000000.0
not found,,"2,758 million usd",495 million usd,193000000.0
309 million usd,,340 million usd,95 million usd,507000000.0
not found,,,,287000000.0
542 million cad for year ending december-2020,,"3,888 million usd",,225000000.0
not found,,,390 million usd,
95 million usd,,225 million usd,,3888000000.0
495 million usd,,287 million usd,309 million usd,
81 million usd,,507 million usd,81 million usd,340000000.0
390 million usd,,193 million usd,,2758000000.0
400 million usd,,,,
476 million usd,,,,495000000.0
not found,,81 million usd,,95000000.0
125 million usd,,309 million usd,,
not found,,,476 million usd,
not found,,390 million usd,125 million usd,390000000.0
not found,,,,
not found,,,,309000000.0
not found,,95 million usd,400 million usd,81000000.0
not found,,495 million usd,,
292 million usd,,,292 million usd,
"2,483 million usd",,,"2,672 million usd",
"1,775 million usd",,400 million usd,"1,033 million usd",
"1,260 million usd",,,161 million usd,
161 million usd,,,,476000000.0
"1,536 million usd",,125 million usd,35 million usd,125000000.0
not found,,476 million usd,"1,536 million usd",
35 million usd,,,"1,775 million usd",
"2,672 million usd",,,"1,260 million usd",400000000.0
"1,033 million usd",,,"2,483 million usd",
353 million usd,,292 million usd,353 million usd,292000000.0
not found,,"2,483 million usd",,2672000000.0
9 million usd,,"1,260 million usd","1,689 million usd",1033000000.0
350 million usd,,"1,775 million usd",,161000000.0
not found,,"1,536 million usd",735 million usd,
735 million usd,,35 million usd,,35000000.0
not found,,,834 million usd,1536000000.0
not found,,161 million usd,350 million usd,1775000000.0
834 million usd,,"1,033 million usd",9 million usd,1260000000.0
"1,689 million usd",,"2,672 million usd",,2483000000.0
not found,,353 million usd,,353000000.0
not found,,9 million usd,,
not found,,,,1689000000.0
412 million usd,,350 million usd,,
not found,,834 million usd,,735000000.0
not found,,,,
535 million usd,,735 million usd,412 million usd,834000000.0
not found,,,,350000000.0
not found,,"1,689 million usd",535 million usd,9000000.0
not found,,,,
296 million usd,,,"2,125 million usd",
not found,,,"1,032 million usd",
not found,,535 million usd,,
"7,242 million usd",,,"2,772 million usd",
"1,032 million usd",,412 million usd,,
38 million usd,,,234 million usd,
"2,772 million usd",,,"7,242 million usd",412000000.0
234 million usd,,,38 million usd,
not found,,,296 million usd,535000000.0
"2,125 million usd",,,,
not found,,"2,125 million usd",,2125000000.0
not found,,,,1032000000.0
"1,689 million usd",,296 million usd,,
not found,,38 million usd,"1,689 million usd",2772000000.0
not found,,"7,242 million usd",,
not found,,234 million usd,,234000000.0
182 million usd,,,182 million usd,7242000000.0
not found,,"2,772 million usd",,38000000.0
not found,,,,296000000.0
not found,,"1,032 million usd",,
not found,,,571 million usd,
81 million usd,,,"1,459 million usd",
"1,642 million usd",,,"4,714 million usd",
not found,,,,1689000000.0
not found,,182 million usd,395 million usd,
571 million usd,,,329 million usd,
395 million usd,,,"1,642 million usd",182000000.0
"4,714 million usd",,"1,689 million usd",,
329 million usd,,,81 million usd,
"1,459 million usd",,,,
not found,,571 million usd,,571000000.0
518 million usd,,,,1459000000.0
not found,,81 million usd,,4714000000.0
"3,184 million usd",,,,
not found,,"1,642 million usd",711 million usd,395000000.0
422 million usd,,329 million usd,422 million usd,329000000.0
not found,,395 million usd,,1642000000.0
711 million usd,,,"3,184 million usd",
not found,,"4,714 million usd",,81000000.0
not found,,"1,459 million usd",518 million usd,
371 million usd,,,371 million usd,
not found,,518 million usd,505 million usd,
not found,,,,
764 million usd,,"3,184 million usd","2,054 million usd",
"2,054 million usd",,,,711000000.0
not found,,422 million usd,130 million usd,422000000.0
not found,,711 million usd,764 million usd,
