07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
,2.286 billion usd
,0.836 billion usd
,4.981 billion usd
,2.365 billion usd
,1.951 billion usd
,3.611 billion usd
,3.314 billion usd
,2.467 billion usd
,3.208 billion usd
,5.590 billion usd
,2.391 billion usd
,7.917 billion usd
,
,2.691 billion usd
,5.394 billion usd
,
,0.940 billion usd
,3.398 billion usd
,
,3.975 billion usd
,1.113 billion usd
,3.083 billion usd
,8.500 billion usd
,4.751 billion usd
,3.039 billion usd
,4.504 billion usd
,3.886 billion usd
,2.612 billion usd
,6.044 billion usd
,5.356 billion usd
,4.350 billion usd
,
,0.579 billion usd
,9.481 billion usd
,1.237 billion usd
,3.717 billion usd
,
,1.333 billion usd
,3.050 billion usd
,2.666 billion usd
,4.383 billion usd
,3.573 billion usd
,3.282 billion usd
,1.112 billion usd
,1.327 billion usd
,
,0.637 billion usd
,4.131 billion usd
,7.002 billion usd
,
,2.999 billion usd
,2.330 billion usd
,1.587 billion usd
,6.703 billion usd
,3.598 billion usd
,4.428 billion usd
,5.387 billion usd
,4.164 billion usd
,6.603 billion usd
,2.581 billion usd
,
,2.908 billion usd
,
,
,3.946 billion usd
,0.638 billion usd
,4.755 billion usd
,
,3.771 billion usd
,3.585 billion usd
,4.766 billion usd
,5.898 billion usd
,
,
,2.632 billion usd
,2.887 billion usd
,10.364 billion usd
,2.141 billion usd
,2.654 billion usd
,1.984 billion usd
,7.393 billion usd
,4.043 billion usd
,0.570 billion usd
,0.756 billion usd
,6.019 billion usd
,12.270 billion usd
,2.942 billion usd
,4.385 billion usd
,3.959 billion usd
,3.392 billion usd
,1.716 billion usd
,3.211 billion usd
,3.232 billion usd
,2.700 billion usd
,6.297 billion usd
,
,3.978 billion usd
,3.981 billion usd
,1.939 billion usd
,5.663 billion usd
,3.449 billion usd
,2.256 billion usd
,2.594 billion usd
,2.028 billion usd
,8.567 billion usd
,1.923 billion usd
,3.615 billion usd
,1.582 billion usd
,1.056 billion usd
,4.722 billion usd
,0.858 billion usd
,2.682 billion usd
,4.029 billion usd
,3.715 billion usd
,2.482 billion usd
,1.748 billion usd
,2.598 billion usd
,1.234 billion usd
,
,4.023 billion usd
,2.664 billion usd
,3.707 billion usd
,4.992 billion usd
,4.050 billion usd
,3.838 billion usd
,2.805 billion usd
,
,3.446 billion usd
,2.358 billion usd
,2.673 billion usd
,2.894 billion usd
,4.460 billion usd
,5.438 billion usd
,4.835 billion usd
,2.949 billion usd
,0.511 billion usd
,
,4.319 billion usd
,5.216 billion usd
,2.634 billion usd
,
,2.710 billion usd
,
,8.042 billion usd
,4.939 billion usd
,
,3.996 billion usd
,6.046 billion usd
,3.953 billion usd
,
,1.556 billion usd
,1.165 billion usd
,4.600 billion usd
,4.883 billion usd
,3.893 billion usd
,1.855 billion usd
,3.500 billion usd
,
,3.997 billion usd
,3.382 billion usd
,3.152 billion usd
,3.228 billion usd
,0.720 billion usd
,1.571 billion usd
,5.210 billion usd
,1.791 billion usd
,7.718 billion usd
,9.416 billion usd
,2.908 billion usd
,3.596 billion usd
,4.256 billion usd
,13.834 billion usd
,3.398 billion usd
,2.296 billion usd
,3.061 billion usd
,4.683 billion usd
,3.161 billion usd
,2.937 billion usd
,4.865 billion usd
,
,6.800 billion usd
,3.680 billion usd
,1.935 billion usd
,2.915 billion usd
,3.115 billion usd
,2.010 billion usd
,9.957 billion usd
,3.305 billion usd
,
,3.722 billion usd
,2.129 billion usd
,
,3.494 billion usd
,3.946 billion usd
,
,0.547 billion usd
,1.299 billion usd
,5.083 billion usd
,6.773 billion usd
,4.482 billion usd
,2.428 billion usd
,
,1.215 billion usd
,2.125 billion usd
,4.604 billion usd
,2.935 billion usd
,1.799 billion usd
,3.777 billion usd
,3.300 billion usd
,5.905 billion usd
,5.831 billion usd
,3.508 billion usd
,2.234 billion usd
,3.056 billion usd
,3.368 billion usd
,3.801 billion usd
,6.550 billion usd
,
,3.683 billion usd
,3.194 billion usd
,1.930 billion usd
,4.200 billion usd
,3.809 billion usd
,5.685 billion usd
,2.851 billion usd
,
,1.876 billion usd
,2.709 billion usd
,
,5.933 billion usd
,4.539 billion usd
,3.032 billion usd
,2.544 billion usd
,2.529 billion usd
,2.579 billion usd
,1.584 billion usd
,1.440 billion usd
,4.199 billion usd
,4.754 billion usd
,4.290 billion usd
,
,2.155 billion usd
,
,2.845 billion usd
,0.327 billion usd
,3.413 billion usd
,4.584 billion usd
,3.549 billion usd
,5.975 billion usd
,7.095 billion usd
,5.417 billion usd
,6.951 billion usd
,4.743 billion usd
,2.747 billion usd
,0.872 billion usd
,3.002 billion usd
,1.315 billion usd
,
,
,2.939 billion usd
,5.252 billion usd
,3.151 billion usd
,
,4.994 billion usd
,
,3.234 billion usd
,4.418 billion usd
,3.104 billion usd
,2.446 billion usd
,4.471 billion usd
,5.474 billion usd
,3.586 billion usd
,1.324 billion usd
,1.691 billion usd
,4.974 billion usd
,5.072 billion usd
,5.100 billion usd
,2.828 billion usd
,3.481 billion usd
,2.481 billion usd
,3.166 billion usd
,3.891 billion usd
,
,0.781 billion usd
,2.501 billion usd
,1.897 billion usd
,5.039 billion usd
,2.651 billion usd
,
,0.808 billion usd
,0.832 billion usd
,2.149 billion usd
,2.461 billion usd
,9.575 billion usd
,2.041 billion usd
,
,
,0.850 billion usd
,1.668 billion usd
,2.499 billion usd
,4.393 billion usd
,1.820 billion usd
,3.397 billion usd
,3.497 billion usd
,2.633 billion usd
,11.410 billion usd
,1.008 billion usd
,
,
,3.314 billion usd
,3.253 billion usd
,0.858 billion usd
,2.797 billion usd
,2.844 billion usd
,3.666 billion usd
,
,2.779 billion usd
,5.154 billion usd
,2.901 billion usd
,5.172 billion usd
,2.178 billion usd
,2.044 billion usd
,1.924 billion usd
,
,2.917 billion usd
,2.630 billion usd
,3.026 billion usd
,4.735 billion usd
,3.968 billion usd
,4.411 billion usd
,4.073 billion usd
,0.879 billion usd
,8.020 billion usd
,4.616 billion usd
,5.293 billion usd
,4.031 billion usd
,2.059 billion usd
,1.767 billion usd
,5.943 billion usd
,4.680 billion usd
,1.562 billion usd
,1.327 billion usd
,3.916 billion usd
,2.355 billion usd
,
,2.238 billion usd
,1.845 billion usd
,2.609 billion usd
,
,5.393 billion usd
,3.888 billion usd
,2.188 billion usd
,7.724 billion usd
,5.472 billion usd
,1.267 billion usd
,2.925 billion usd
,5.829 billion usd
,4.007 billion usd
,3.849 billion usd
,4.175 billion usd
,4.057 billion usd
,
,5.074 billion usd
,2.892 billion usd
,4.198 billion usd
,2.658 billion usd
,3.302 billion usd
,2.943 billion usd
,2.300 billion usd
,2.023 billion usd
,
,1.536 billion usd
,
,3.356 billion usd
,6.223 billion usd
,2.567 billion usd
,
,2.190 billion usd
,3.615 billion usd
,3.253 billion usd
,1.707 billion usd
,5.856 billion usd
,4.094 billion usd
,3.816 billion usd
,1.613 billion usd
,6.666 billion usd
,3.665 billion usd
,4.101 billion usd
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,4.442 billion usd
,3.686 billion usd
,3.124 billion usd
,3.316 billion usd
,2.650 billion usd
,2.258 billion usd
,
,4.649 billion usd
,2.370 billion usd
,
,1.938 billion usd
,2.922 billion usd
,0.760 billion usd
,1.266 billion usd
,1.442 billion usd
,4.266 billion usd
,
,3.555 billion usd
,2.013 billion usd
,2.158 billion usd
,2.544 billion usd
,5.288 billion usd
,2.741 billion usd
,2.567 billion usd
,0.299 billion usd
,5.393 billion usd
,2.096 billion usd
,
,
,0.689 billion usd
,1.802 billion usd
,2.762 billion usd
,1.979 billion usd
,3.114 billion usd
,2.826 billion usd
,3.640 billion usd
,2.568 billion usd
,3.016 billion usd
,3.156 billion usd
,2.895 billion usd
,2.640 billion usd
,1.448 billion usd
,2.147 billion usd
,5.682 billion usd
,3.138 billion usd
,1.717 billion usd
,3.844 billion usd
,
,6.047 billion usd
,3.162 billion usd
,2.924 billion usd
,2.058 billion usd
,4.743 billion usd
,3.415 billion usd
,3.868 billion usd
,4.186 billion usd
,3.371 billion usd
,4.076 billion usd
,1.110 billion usd
,2.834 billion usd
,2.521 billion usd
,3.823 billion usd
,4.943 billion usd
,3.480 billion usd
,4.148 billion usd
,4.019 billion usd
,1.244 billion usd
,3.204 billion usd
,3.664 billion usd
,3.966 billion usd
,2.694 billion usd
,1.702 billion usd
,4.080 billion usd
,2.735 billion usd
,4.661 billion usd
,3.677 billion usd
,4.325 billion usd
,4.328 billion usd
,3.601 billion usd
,
,5.514 billion usd
,1.580 billion usd
,5.176 billion usd
,3.173 billion usd
,2.695 billion usd
,3.084 billion usd
,4.597 billion usd
,2.162 billion usd
,4.087 billion usd
,1.498 billion usd
,5.451 billion usd
,1.094 billion usd
,2.604 billion usd
,0.638 billion usd
,4.666 billion usd
,3.295 billion usd
,5.084 billion usd
,3.812 billion usd
,1.899 billion usd
,1.359 billion usd
,2.709 billion usd
,2.555 billion usd
,2.653 billion usd
,3.788 billion usd
,0.463 billion usd
,2.727 billion usd
,5.073 billion usd
,2.843 billion usd
,3.759 billion usd
,0.086 billion usd
,2.232 billion usd
,3.015 billion usd
,11.707 billion usd
,3.829 billion usd
,2.610 billion usd
,2.064 billion usd
,3.166 billion usd
,5.057 billion usd
,2.909 billion usd
,
,2.336 billion usd
,1.838 billion usd
,0.311 billion usd
,1.173 billion usd
,0.558 billion usd
,3.965 billion usd
,
,4.687 billion usd
,2.698 billion usd
,1.477 billion usd
,3.911 billion usd
,7.523 billion usd
,5.498 billion usd
,
,3.843 billion usd
,2.938 billion usd
,2.512 billion usd
,
,3.293 billion usd
,3.133 billion usd
,3.547 billion usd
,0.991 billion usd
,3.804 billion usd
,3.809 billion usd
,
,
,0.574 billion usd
,3.306 billion usd
,2.799 billion usd
,1.067 billion usd
,3.366 billion usd
,1.744 billion usd
,
,1.525 billion usd
,2.929 billion usd
,4.309 billion usd
,2.116 billion usd
,3.820 billion usd
,1.234 billion usd
,3.099 billion usd
,2.820 billion usd
,3.350 billion usd
,3.510 billion usd
,
,3.507 billion usd
,3.724 billion usd
,2.877 billion usd
,2.087 billion usd
,3.785 billion usd
,3.316 billion usd
,2.612 billion usd
,2.296 billion usd
,
,7.651 billion usd
,5.824 billion usd
,2.019 billion usd
,3.328 billion usd
,2.040 billion usd
,3.235 billion usd
,6.321 billion usd
,1.608 billion usd
,2.391 billion usd
,
,4.482 billion usd
,3.276 billion usd
,3.582 billion usd
,4.396 billion usd
,1.959 billion usd
,1.916 billion usd
,1.939 billion usd
,0.808 billion usd
,3.659 billion usd
,1.824 billion usd
,0.787 billion usd
,6.288 billion usd
,3.125 billion usd
,3.392 billion usd
,1.988 billion usd
,4.270 billion usd
,1.703 billion usd
,1.116 billion usd
,2.055 billion usd
,3.578 billion usd
,2.307 billion usd
,1.999 billion usd
,3.805 billion usd
,5.644 billion usd
,3.291 billion usd
,1.731 billion usd
,3.329 billion usd
,3.428 billion usd
,1.523 billion usd
,
,2.765 billion usd
,
,6.950 billion usd
,3.087 billion usd
,2.912 billion usd
,
,3.109 billion usd
,3.050 billion usd
,1.406 billion usd
,4.667 billion usd
,5.841 billion usd
,1.501 billion usd
,3.148 billion usd
,3.382 billion usd
,2.946 billion usd
,2.428 billion usd
,2.503 billion usd
,2.674 billion usd
,2.323 billion usd
,5.421 billion usd
,3.632 billion usd
,3.917 billion usd
,3.031 billion usd
,3.873 billion usd
,2.486 billion usd
,3.094 billion usd
,1.068 billion usd
,1.601 billion usd
,2.108 billion usd
,
,1.734 billion usd
,4.551 billion usd
,1.586 billion usd
,6.115 billion usd
,3.796 billion usd
,2.901 billion usd
,1.644 billion usd
,0.344 billion usd
,1.375 billion usd
,
,2.734 billion usd
,1.317 billion usd
,3.244 billion usd
,
,5.582 billion usd
,2.387 billion usd
,1.714 billion usd
,2.415 billion usd
,1.514 billion usd
,4.240 billion usd
,3.267 billion usd
,4.066 billion usd
,6.330 billion usd
,1.391 billion usd
,0.809 billion usd
,0.483 billion usd
,
,4.495 billion usd
,3.230 billion usd
,2.424 billion usd
,2.951 billion usd
,5.817 billion usd
,3.276 billion usd
,2.402 billion usd
,7.562 billion usd
,
,4.096 billion usd
,1.059 billion usd
,2.226 billion usd
,2.756 billion usd
,1.774 billion usd
,3.005 billion usd
,2.287 billion usd
,
,
,3.936 billion usd
,1.870 billion usd
,4.017 billion usd
,3.693 billion usd
,4.975 billion usd
,
,3.403 billion usd
,3.947 billion usd
,4.545 billion usd
,1.332 billion usd
,0.710 billion usd
,
,5.440 billion usd
,
,2.173 billion usd
,2.368 billion usd
,2.108 billion usd
,
,1.857 billion usd
,0.956 billion usd
,2.269 billion usd
,
,1.523 billion usd
,3.476 billion usd
,3.013 billion usd
,5.647 billion usd
,
,2.084 billion usd
,4.825 billion usd
,2.721 billion usd
,1.871 billion usd
,5.494 billion usd
,2.467 billion usd
,2.909 billion usd
,3.446 billion usd
,3.389 billion usd
,3.662 billion usd
,3.655 billion usd
,3.148 billion usd
,3.044 billion usd
,1.812 billion usd
,5.342 billion usd
,3.288 billion usd
,3.284 billion usd
,4.101 billion usd
,3.838 billion usd
,
,2.477 billion usd
,2.439 billion usd
,2.427 billion usd
,
,8.047 billion usd
,2.999 billion usd
,5.650 billion usd
,1.887 billion usd
,1.336 billion usd
,4.283 billion usd
,0.743 billion usd
,2.516 billion usd
,2.566 billion usd
,4.557 billion usd
,3.403 billion usd
,3.661 billion usd
,1.584 billion usd
,
,4.591 billion usd
,2.641 billion usd
,1.208 billion usd
,2.166 billion usd
,1.369 billion usd
,2.047 billion usd
,2.484 billion usd
,
,4.044 billion usd
,3.607 billion usd
,1.732 billion usd
,3.671 billion usd
,1.622 billion usd
,4.047 billion usd
,1.681 billion usd
,2.824 billion usd
,
,3.682 billion usd
,2.258 billion usd
,2.324 billion usd
,0.935 billion usd
,2.008 billion usd
,2.458 billion usd
,4.272 billion usd
,2.545 billion usd
,2.542 billion usd
,1.206 billion usd
,0.828 billion usd
,3.134 billion usd
,1.774 billion usd
,18.268 billion usd
,1.972 billion usd
,5.236 billion usd
,4.647 billion usd
,2.209 billion usd
,
,4.973 billion usd
,2.231 billion usd
,3.816 billion usd
,3.865 billion usd
,4.237 billion usd
,3.173 billion usd
,3.403 billion usd
,1.469 billion usd
,
,3.570 billion usd
,4.647 billion usd
,3.865 billion usd
,3.006 billion usd
,4.118 billion usd
,
,
,3.051 billion usd
,3.149 billion usd
,2.194 billion usd
,1.813 billion usd
,
,4.219 billion usd
,
,4.362 billion usd
,0.766 billion usd
,2.681 billion usd
,0.447 billion usd
,2.455 billion usd
,0.589 billion usd
,3.645 billion usd
,2.392 billion usd
,2.472 billion usd
,2.123 billion usd
,1.873 billion usd
,
,1.807 billion usd
,1.294 billion usd
,3.038 billion usd
,3.302 billion usd
,4.496 billion usd
,2.197 billion usd
,2.667 billion usd
,0.645 billion usd
,2.243 billion usd
,0.625 billion usd
,1.500 billion usd
,2.040 billion usd
,2.853 billion usd
,0.820 billion usd
,1.487 billion usd
,4.039 billion usd
,1.987 billion usd
,1.507 billion usd
,4.628 billion usd
,1.482 billion usd
,2.137 billion usd
,3.820 billion usd
,2.153 billion usd
,
,1.254 billion usd
,1.447 billion usd
,2.307 billion usd
,2.393 billion usd
,4.061 billion usd
,3.709 billion usd
,2.756 billion usd
,7.436 billion usd
,5.024 billion usd
,1.923 billion usd
,1.225 billion usd
,2.480 billion usd
,
,
,
,
,3.519 billion usd
,1.757 billion usd
,3.819 billion usd
,3.222 billion usd
,1.130 billion usd
,
,2.984 billion usd
,2.551 billion usd
,2.367 billion usd
,
,1.846 billion usd
,2.921 billion usd
,1.531 billion usd
,
,3.214 billion usd
,13.756 billion usd
,3.964 billion usd
,3.284 billion usd
,5.997 billion usd
,1.044 billion usd
,2.518 billion usd
,1.504 billion usd
,2.754 billion usd
,2.489 billion usd
,0.316 billion usd
,0.539 billion usd
,2.723 billion usd
,0.685 billion usd
,4.231 billion usd
,
,1.877 billion usd
,2.750 billion usd
,2.173 billion usd
,1.007 billion usd
,
,2.205 billion usd
,1.062 billion usd
,
,4.146 billion usd
,3.095 billion usd
,0.979 billion usd
,
,5.441 billion usd
,2.377 billion usd
,1.586 billion usd
,2.132 billion usd
,1.572 billion usd
,
,2.607 billion usd
,1.049 billion usd
,2.285 billion usd
,
,3.245 billion usd
,1.915 billion usd
,1.585 billion usd
,
,0.705 billion usd
,2.691 billion usd
,
,4.731 billion usd
,2.616 billion usd
,2.427 billion usd
,2.228 billion usd
,7.113 billion usd
,3.063 billion usd
,
,
,
,
,
,
,
,0.857 billion usd
,4.555 billion usd
,1.310 billion usd
,2.609 billion usd
,
,2.500 billion usd
,3.666 billion usd
,
,
,1.696 billion usd
,
,3.492 billion usd
,4.090 billion usd
,3.008 billion usd
,0.627 billion usd
,
,4.531 billion usd
,4.754 billion usd
,2.240 billion usd
,
,
,
,
,4.052 billion usd
,2.778 billion usd
,4.012 billion usd
,3.351 billion usd
,1.183 billion usd
,3.928 billion usd
,3.093 billion usd
,4.709 billion usd
,2.848 billion usd
,2.108 billion usd
,2.022 billion usd
,2.906 billion usd
,0.142 billion usd
,
,0.485 billion usd
,2.981 billion usd
,2.360 billion usd
,3.154 billion usd
,3.161 billion usd
,2.660 billion usd
,1.658 billion usd
,2.362 billion usd
,3.373 billion usd
,2.752 billion usd
,1.545 billion usd
,2.773 billion usd
,
,
,6.024 billion usd
,3.095 billion usd
,3.694 billion usd
,1.451 billion usd
,2.956 billion usd
,3.115 billion usd
,3.484 billion usd
,3.440 billion usd
,2.858 billion usd
,3.712 billion usd
,2.039 billion usd
,3.324 billion usd
,2.429 billion usd
,1.786 billion usd
,2.765 billion usd
,2.722 billion usd
,
,3.611 billion usd
,
,4.150 billion usd
,2.061 billion usd
,5.159 billion usd
,3.422 billion usd
,2.484 billion usd
,4.320 billion usd
,1.063 billion usd
,1.531 billion usd
,2.303 billion usd
,1.418 billion usd
,7.798 billion usd
,3.275 billion usd
,4.180 billion usd
,1.779 billion usd
,
,
,3.788 billion usd
,0.667 billion usd
,4.374 billion usd
,2.400 billion usd
,4.884 billion usd
,3.004 billion usd
,2.411 billion usd
,2.543 billion usd
,3.118 billion usd
,
,0.583 billion usd
,6.198 billion usd
,1.636 billion usd
,1.692 billion usd
,2.299 billion usd
,2.538 billion usd
,2.328 billion usd
,2.848 billion usd
,0.304 billion usd
,
,
,
,
,2.719 billion usd
,2.391 billion usd
,3.500 billion usd
,
,3.074 billion usd
,2.717 billion usd
,1.356 billion usd
,1.966 billion usd
,1.562 billion usd
,1.321 billion usd
,3.769 billion usd
,4.218 billion usd
,1.182 billion usd
,2.382 billion usd
,1.020 billion usd
,
,4.165 billion usd
,2.868 billion usd
,4.228 billion usd
,2.109 billion usd
,0.843 billion usd
,3.147 billion usd
,2.231 billion usd
,
,2.513 billion usd
,
,0.810 billion usd
,2.256 billion usd
,3.701 billion usd
,4.046 billion usd
,4.056 billion usd
,3.781 billion usd
,
,3.539 billion usd
,3.034 billion usd
,2.010 billion usd
,4.535 billion usd
,2.902 billion usd
,2.907 billion usd
,2.141 billion usd
,3.889 billion usd
,0.431 billion usd
,3.461 billion usd
,3.030 billion usd
,2.366 billion usd
,
,
,0.780 billion usd
,
,3.731 billion usd
,3.622 billion usd
,2.670 billion usd
,3.478 billion usd
,
,1.829 billion usd
,3.685 billion usd
,0.892 billion usd
,1.540 billion usd
,3.840 billion usd
,2.578 billion usd
,1.949 billion usd
,
,
,5.348 billion usd
,1.701 billion usd
,3.538 billion usd
,2.454 billion usd
,3.464 billion usd
,2.036 billion usd
,1.667 billion usd
,5.242 billion usd
,2.122 billion usd
,2.155 billion usd
,3.524 billion usd
,2.735 billion usd
,4.124 billion usd
,4.842 billion usd
,3.835 billion usd
,3.340 billion usd
,2.081 billion usd
,1.063 billion usd
,2.334 billion usd
,0.876 billion usd
,1.360 billion usd
,2.170 billion usd
,2.304 billion usd
,
,22.222 billion usd
,2.733 billion usd
,
,4.102 billion usd
,1.731 billion usd
,2.641 billion usd
,
,2.398 billion usd
,2.334 billion usd
,1.913 billion usd
,1.464 billion usd
,
,
,4.740 billion usd
,0.850 billion usd
,
,1.119 billion usd
,2.539 billion usd
,1.090 billion usd
,4.182 billion usd
,4.011 billion usd
,3.606 billion usd
,2.590 billion usd
,2.079 billion usd
,2.738 billion usd
,5.978 billion usd
,2.754 billion usd
,2.734 billion usd
,2.158 billion usd
,4.206 billion usd
,1.728 billion usd
,2.285 billion usd
,2.171 billion usd
,1.749 billion usd
,1.681 billion usd
,3.428 billion usd
,4.144 billion usd
,
,2.174 billion usd
,2.265 billion usd
,4.100 billion usd
,3.159 billion usd
,4.372 billion usd
,3.679 billion usd
,1.215 billion usd
,2.013 billion usd
,3.433 billion usd
,1.285 billion usd
,3.148 billion usd
,
,1.587 billion usd
,3.309 billion usd
,2.679 billion usd
,2.474 billion usd
,3.718 billion usd
,3.007 billion usd
,1.178 billion usd
,1.781 billion usd
,
,3.568 billion usd
,3.528 billion usd
,2.797 billion usd
,3.426 billion usd
,2.324 billion usd
,1.179 billion usd
,2.868 billion usd
,4.042 billion usd
,1.612 billion usd
,3.073 billion usd
,1.760 billion usd
,1.048 billion usd
,4.908 billion usd
,
,3.027 billion usd
,1.929 billion usd
,4.298 billion usd
,1.584 billion usd
,0.819 billion usd
,2.658 billion usd
,4.253 billion usd
,4.905 billion usd
,1.539 billion usd
,1.884 billion usd
,
,3.074 billion usd
,1.329 billion usd
,9.680 billion usd
,1.761 billion usd
,2.733 billion usd
,2.557 billion usd
,2.155 billion usd
,1.183 billion usd
,1.724 billion usd
,1.958 billion usd
,1.324 billion usd
,2.329 billion usd
,0.486 billion usd
,1.461 billion usd
,3.023 billion usd
,2.916 billion usd
,3.393 billion usd
,6.134 billion usd
,2.261 billion usd
,4.227 billion usd
,3.295 billion usd
,2.493 billion usd
,1.589 billion usd
,0.551 billion usd
,0.977 billion usd
,1.981 billion usd
,
,1.985 billion usd
,1.867 billion usd
,4.068 billion usd
,1.393 billion usd
,1.273 billion usd
,
,
,3.210 billion usd
,1.825 billion usd
,2.303 billion usd
,5.638 billion usd
,0.986 billion usd
,2.613 billion usd
,2.321 billion usd
,3.126 billion usd
,2.247 billion usd
,
,2.184 billion usd
,2.547 billion usd
,2.023 billion usd
,2.668 billion usd
,1.542 billion usd
,2.983 billion usd
,0.013 billion usd
,1.655 billion usd
,
,5.826 billion usd
,2.460 billion usd
,3.348 billion usd
,4.402 billion usd
,
,2.813 billion usd
,2.097 billion usd
,3.355 billion usd
,
,0.980 billion usd
,2.712 billion usd
,2.063 billion usd
,4.565 billion usd
,3.623 billion usd
,3.293 billion usd
,2.727 billion usd
,
,4.797 billion usd
,3.231 billion usd
,2.223 billion usd
,1.710 billion usd
,1.024 billion usd
,
,0.744 billion usd
,3.064 billion usd
,2.576 billion usd
,1.827 billion usd
,4.643 billion usd
,2.218 billion usd
,3.901 billion usd
,2.942 billion usd
,1.680 billion usd
,3.434 billion usd
,1.038 billion usd
,
,3.122 billion usd
,1.459 billion usd
,0.992 billion usd
,3.434 billion usd
,2.704 billion usd
,3.203 billion usd
,2.579 billion usd
,3.142 billion usd
,1.671 billion usd
,2.035 billion usd
,1.639 billion usd
,
,
,6.183 billion usd
,4.064 billion usd
,2.855 billion usd
,1.956 billion usd
,1.531 billion usd
,
,2.643 billion usd
,
,2.485 billion usd
,
,3.225 billion usd
,0.648 billion usd
,5.048 billion usd
,1.295 billion usd
,1.705 billion usd
,1.348 billion usd
,3.577 billion usd
,0.957 billion usd
,1.816 billion usd
,
,4.564 billion usd
,2.267 billion usd
,0.682 billion usd
,5.159 billion usd
,2.512 billion usd
,5.980 billion usd
,3.249 billion usd
,2.614 billion usd
,2.662 billion usd
,
,
,
,1.272 billion usd
,1.430 billion usd
,0.887 billion usd
,3.615 billion usd
,5.240 billion usd
,3.802 billion usd
,
,0.994 billion usd
,2.833 billion usd
,1.256 billion usd
,3.863 billion usd
,3.508 billion usd
,2.812 billion usd
,2.127 billion usd
,0.908 billion usd
,1.796 billion usd
,5.210 billion usd
,0.974 billion usd
,2.291 billion usd
,
,0.860 billion usd
,1.144 billion usd
,9.459 billion usd
,3.269 billion usd
,0.618 billion usd
,0.802 billion usd
,1.782 billion usd
,2.438 billion usd
,1.348 billion usd
,0.747 billion usd
,0.035 billion usd
,5.906 billion usd
,3.774 billion usd
,
,
,3.994 billion usd
,
,1.230 billion usd
,2.407 billion usd
,
,0.900 billion usd
,0.746 billion usd
,
,5.484 billion usd
,3.028 billion usd
,2.465 billion usd
,3.189 billion usd
,3.815 billion usd
,3.764 billion usd
,
,2.103 billion usd
,4.483 billion usd
,2.334 billion usd
,2.888 billion usd
,1.906 billion usd
,0.664 billion usd
,1.371 billion usd
,6.650 billion usd
,2.150 billion usd
,
,1.682 billion usd
,0.803 billion usd
,3.353 billion usd
,
,1.350 billion usd
,1.751 billion usd
,37.887 billion usd
,3.364 billion usd
,1.911 billion usd
,3.351 billion usd
,1.068 billion usd
,3.832 billion usd
,7.260 billion usd
,5.055 billion usd
,2.284 billion usd
,2.304 billion usd
,3.295 billion usd
,3.107 billion usd
,3.503 billion usd
,4.631 billion usd
,2.682 billion usd
,
,0.007 billion usd
,2.127 billion usd
,
,1.491 billion usd
,2.724 billion usd
,0.990 billion usd
,0.885 billion usd
,
,
,2.826 billion usd
,4.409 billion usd
,1.682 billion usd
,0.909 billion usd
,2.363 billion usd
,0.723 billion usd
,2.090 billion usd
,0.621 billion usd
,
,3.488 billion usd
,0.578 billion usd
,4.529 billion usd
,
,3.822 billion usd
,
,2.374 billion usd
,2.596 billion usd
,1.419 billion usd
,
,1.769 billion usd
,2.025 billion usd
,0.830 billion usd
,2.106 billion usd
,
,0.244 billion usd
,
,4.623 billion usd
,2.534 billion usd
,3.879 billion usd
,3.619 billion usd
,0.585 billion usd
,0.787 billion usd
,3.137 billion usd
,2.815 billion usd
,1.411 billion usd
,2.482 billion usd
,1.948 billion usd
,0.512 billion usd
,
,1.005 billion usd
,
,1.832 billion usd
,3.683 billion usd
,1.589 billion usd
,2.776 billion usd
,2.153 billion usd
,1.184 billion usd
,
,3.838 billion usd
,4.021 billion usd
,1.290 billion usd
,
,2.859 billion usd
,0.734 billion usd
,1.813 billion usd
,2.411 billion usd
,3.397 billion usd
,2.436 billion usd
,1.800 billion usd
,0.750 billion usd
,
,1.402 billion usd
,0.024 billion usd
,2.122 billion usd
,2.317 billion usd
,6.939 billion usd
,3.453 billion usd
,2.902 billion usd
,4.339 billion usd
,1.234 billion usd
,
,1.859 billion usd
,1.949 billion usd
,1.245 billion usd
,1.500 billion usd
,2.810 billion usd
,1.970 billion usd
,4.546 billion usd
,5.101 billion usd
,2.613 billion usd
,1.866 billion usd
,2.449 billion usd
,2.422 billion usd
,2.307 billion usd
,
,0.581 billion usd
,2.577 billion usd
,1.575 billion usd
,2.485 billion usd
,2.102 billion usd
,1.409 billion usd
,0.923 billion usd
,1.557 billion usd
,
,
,1.855 billion usd
,4.824 billion usd
,
,3.058 billion usd
,1.910 billion usd
,0.956 billion usd
,2.742 billion usd
,2.626 billion usd
,2.846 billion usd
,1.237 billion usd
,1.115 billion usd
,1.589 billion usd
,1.301 billion usd
,2.081 billion usd
,
,
,2.205 billion usd
,
,2.920 billion usd
,
,3.308 billion usd
,3.027 billion usd
,1.658 billion usd
,1.794 billion usd
,4.910 billion usd
,2.983 billion usd
,2.817 billion usd
,2.467 billion usd
,
,2.183 billion usd
,
,2.563 billion usd
,2.097 billion usd
,2.033 billion usd
,1.040 billion usd
,
,1.862 billion usd
,1.554 billion usd
,2.727 billion usd
,3.437 billion usd
,2.896 billion usd
,
