07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
6.800 billion usd,20.915 billion usd
2.937 billion usd,26.831 billion usd
,17.136 billion usd
,14.413 billion usd
6.773 billion usd,15.363 billion usd
2.428 billion usd,33.576 billion usd
,54.377 billion usd
,27.901 billion usd
,11.175 billion usd
3.032 billion usd,27.457 billion usd
5.933 billion usd,25.967 billion usd
2.709 billion usd,20.337 billion usd
2.544 billion usd,28.460 billion usd
4.199 billion usd,7.516 billion usd
5.417 billion usd,11.334 billion usd
5.100 billion usd,19.591 billion usd
3.166 billion usd,32.460 billion usd
0.832 billion usd,40.029 billion usd
2.041 billion usd,22.268 billion usd
3.397 billion usd,13.896 billion usd
1.820 billion usd,24.108 billion usd
3.666 billion usd,39.294 billion usd
2.044 billion usd,
4.073 billion usd,19.973 billion usd
4.616 billion usd,19.452 billion usd
5.943 billion usd,26.586 billion usd
,5.793 billion usd
4.007 billion usd,41.029 billion usd
,
2.943 billion usd,13.825 billion usd
4.175 billion usd,24.582 billion usd
,18.924 billion usd
3.302 billion usd,31.188 billion usd
3.356 billion usd,10.117 billion usd
1.707 billion usd,29.933 billion usd
2.567 billion usd,17.479 billion usd
2.258 billion usd,12.681 billion usd
3.665 billion usd,12.588 billion usd
3.124 billion usd,9.327 billion usd
4.101 billion usd,7.801 billion usd
,19.043 billion usd
2.013 billion usd,15.737 billion usd
2.158 billion usd,41.535 billion usd
0.689 billion usd,5.955 billion usd
5.393 billion usd,7.431 billion usd
3.114 billion usd,5.938 billion usd
2.834 billion usd,16.113 billion usd
3.823 billion usd,22.023 billion usd
3.868 billion usd,21.958 billion usd
2.521 billion usd,6.433 billion usd
3.664 billion usd,16.079 billion usd
3.480 billion usd,23.174 billion usd
4.019 billion usd,3.511 billion usd
4.080 billion usd,15.318 billion usd
3.677 billion usd,19.417 billion usd
0.638 billion usd,19.980 billion usd
2.604 billion usd,32.064 billion usd
2.709 billion usd,23.800 billion usd
2.232 billion usd,
0.086 billion usd,37.793 billion usd
3.759 billion usd,23.093 billion usd
3.965 billion usd,20.132 billion usd
3.911 billion usd,22.747 billion usd
,20.538 billion usd
,22.847 billion usd
2.799 billion usd,2.017 billion usd
3.099 billion usd,13.396 billion usd
3.507 billion usd,27.795 billion usd
3.235 billion usd,8.503 billion usd
4.482 billion usd,28.259 billion usd
,21.483 billion usd
3.582 billion usd,22.924 billion usd
3.109 billion usd,30.689 billion usd
3.094 billion usd,17.541 billion usd
