00-avengers-total_liabilities_in_usd
"45,890 million usd"
"41,829 million usd"
"7,137 million usd"
"5,348 million usd"
"4,824 million usd"
"24,370 million usd"
""
"57,114 million usd"
"17,184 million usd"
""
"1,982 million usd"
"2,088 million usd"
"19,490 million usd"
"6,391 million usd"
""
"6,385 million usd"
"10,112 million usd"
"1,876 million usd"
"171,870 million usd"
"12,493 million usd"
"59,534 million usd"
"8,540 million usd"
"3,038 million usd"
"54,766 million usd"
""
"5,723 million usd"
"772,090 million usd"
"20,003 million usd"
"15,215 million usd"
"7,857 million usd"
"10,795 million usd"
"6,841 million usd"
"14,215 million usd"
"25,906 million usd"
"70,693 million usd"
"44,363 million usd"
"2,265 million usd"
"9,903 million usd"
"125,280 million usd"
"68,572 million usd"
"34,124 million usd"
"22,264 million usd"
"24,692 million usd"
""
"7,328 million usd"
"2,345 million usd"
"259,090 million usd"
773 million usd
"18,049 million usd"
"9,601 million usd"
250 million usd
""
"6,214 million usd"
"82,093 million usd"
"3,244 million usd"
"24,307 million usd"
""
"34,850 million usd"
"10,558 million usd"
"14,984 million usd"
"72,554 million usd"
"5,679 million usd"
"4,718 million usd"
"4,563 million usd"
527 million usd
"26,307 million usd"
"151,560 million usd"
654 million usd
"5,764 million usd"
"39,174 million usd"
515 million usd
767 million usd
"1,245 million usd"
"6,953 million usd"
"40,295 million usd"
"4,763 million usd"
"9,143 million usd"
515 million usd
"8,494 million usd"
"95,881 million usd"
"79,532 million usd"
"12,058 million usd"
75 million usd
"8,565 million usd"
"3,293 million usd"
"41,200 million usd"
"8,740 million usd"
"1,008,700 million usd"
"14,411 million usd"
"5,289 million usd"
"748,300 million usd"
"10,270 million usd"
"9,367 million usd"
"3,851 million usd"
"3,526 million usd"
464 million usd
"1,740 million usd"
"42,624 million usd"
"154,770 million usd"
"7,045 million usd"
"14,484 million usd"
"25,107 million usd"
"58,857 million usd"
"8,835 million usd"
"7,798 million usd"
"12,899 million usd"
"8,871 million usd"
"4,183 million usd"
"11,268 million usd"
"4,163 million usd"
"756,730 million usd"
647 million usd
"5,238 million usd"
"12,201 million usd"
"6,059 million usd"
"168,920 million usd"
"58,735 million usd"
"2,484 million usd"
184 million usd
"2,016 million usd"
""
"6,081 million usd"
"1,720 million usd"
"6,261 million usd"
"1,315 million usd"
"7,210 million usd"
"4,895 million usd"
"61,855 million usd"
"5,538 million usd"
"40,609 million usd"
""
"10,234 million usd"
"2,253 million usd"
"144,610 million usd"
"25,786 million usd"
"710,400 million usd"
"1,301 million usd"
"190,620 million usd"
360 million usd
"3,203 million usd"
"4,877 million usd"
"2,539 million usd"
"96,029 million usd"
"14,301 million usd"
"36,575 million usd"
"14,530 million usd"
"19,537 million usd"
"78,261 million usd"
"7,380 million usd"
"164,990 million usd"
"64,383 million usd"
"31,014 million usd"
"1,280 million usd"
"2,402 million usd"
"15,608 million usd"
"8,164 million usd"
"62,754 million usd"
"38,116 million usd"
"4,880 million usd"
"40,479 million usd"
"18,425 million usd"
"106,460 million usd"
983 million usd
"22,656 million usd"
"25,333 million usd"
"3,276 million usd"
"164,390 million usd"
""
"2,221 million usd"
"26,035 million usd"
"6,581 million usd"
"137,200 million usd"
"95,261 million usd"
"271,840 million usd"
"12,994 million usd"
"93,227 million usd"
"7,885 million usd"
"4,401 million usd"
"14,458 million usd"
"7,004 million usd"
"53,646 million usd"
"47,529 million usd"
"12,093 million usd"
"2,146 million usd"
"102,280 million usd"
"19,500 million usd"
"509,070 million usd"
"18,701 million usd"
"9,165 million usd"
"4,005 million usd"
"48,695 million usd"
""
"7,436 million usd"
"170,670 million usd"
"9,700 million usd"
"9,320 million usd"
"2,285 million usd"
""
"74,248 million usd"
"10,810 million usd"
"2,189 million usd"
"9,129 million usd"
"332,330 million usd"
"5,429 million usd"
"444,110 million usd"
"3,263 million usd"
"37,728 million usd"
"68,061 million usd"
"30,651 million usd"
"2,216 million usd"
"1,915 million usd"
"22,974 million usd"
"5,690 million usd"
"22,338 million usd"
"5,193 million usd"
"3,033 million usd"
"23,190 million usd"
"70,524 million usd"
"42,729 million usd"
"41,829 million usd"
"82,536 million usd"
"16,016 million usd"
"4,115 million usd"
"4,009 million usd"
"34,835 million usd"
"46,986 million usd"
"6,603 million usd"
"25,025 million usd"
"5,162 million usd"
"14,617 million usd"
""
"82,762 million usd"
"3,785 million usd"
"8,726 million usd"
"2,321 million usd"
"13,583 million usd"
"10,810 million usd"
"3,229 million usd"
"1,344 million usd"
498 million usd
"31,073 million usd"
"4,855 million usd"
"2,727 million usd"
"1,441 million usd"
"5,857 million usd"
"3,542 million usd"
"6,167 million usd"
"18,049 million usd"
"11,167 million usd"
"105,340 million usd"
"34,828 million usd"
"13,281 million usd"
"81,398 million usd"
"32,851 million usd"
"7,528 million usd"
""
"3,676 million usd"
"239,780 million usd"
"5,058 million usd"
"2,210 million usd"
650 million usd
"10,278 million usd"
"6,418 million usd"
"27,172 million usd"
"5,212 million usd"
"9,315 million usd"
"21,036 million usd"
"2,107 million usd"
"7,180 million usd"
"27,470 million usd"
"6,418 million usd"
"45,921 million usd"
"13,292 million usd"
"3,354 million usd"
"9,188 million usd"
341 million usd
"14,038 million usd"
"66,372 million usd"
"8,964 million usd"
"2,158 million usd"
"2,664 million usd"
"288,590 million usd"
"42,199 million usd"
"177,170 million usd"
"2,071 million usd"
"66,721 million usd"
"775,550 million usd"
"41,378 million usd"
"38,794 million usd"
"6,641 million usd"
"2,664 million usd"
"1,148 million usd"
"6,249 million usd"
"7,039 million usd"
"9,028 million usd"
626 million usd
"22,883 million usd"
"41,449 million usd"
""
"3,806 million usd"
"2,408 million usd"
"3,154 million usd"
"238,140 million usd"
"4,108 million usd"
"283,830 million usd"
"69,410 million usd"
"12,190 million usd"
""
517 million usd
"29,726 million usd"
"14,322 million usd"
"71,661 million usd"
"8,417 million usd"
624 million usd
"6,808 million usd"
"10,538 million usd"
