10-DeBiGa-market_cap,10-DeBiGa-revenue
doll_71.5 m,doll_1.3 b
doll_3.7 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
0,doll_1.3 b
doll_796.6 m,doll_1.3 b
doll_4.5 b,doll_1.3 b
0,doll_1.3 b
doll_27.6 b,doll_1.3 b
doll_11.0 b,doll_1.3 b
doll_3.4 b,doll_1.3 b
doll_15.5 b,doll_1.3 b
doll_5.0 b,doll_1.3 b
0,doll_1.3 b
doll_1.4 b,doll_1.3 b
doll_1.1 b,doll_1.3 b
doll_2.6 b,doll_1.3 b
doll_809.5 m,doll_1.3 b
doll_2.0 b,doll_1.3 b
doll_11.4 b,doll_1.3 b
doll_1.4 b,doll_1.3 b
doll_1.1 b,doll_1.3 b
doll_3.6 b,doll_1.3 b
doll_95.7 m,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_745.3 m,doll_1.3 b
doll_1.0 b,doll_1.3 b
doll_1.2 b,doll_1.3 b
doll_2.0 b,doll_1.3 b
doll_4.2 b,doll_1.3 b
doll_3.8 b,doll_1.3 b
doll_2.4 b,doll_1.3 b
doll_6.2 b,doll_1.3 b
doll_3.6 b,doll_1.3 b
doll_4.7 b,doll_1.3 b
doll_1.6 b,doll_1.3 b
doll_321.7 m,doll_1.3 b
doll_666.0 m,doll_1.3 b
doll_4.1 b,doll_1.3 b
doll_6.0 b,doll_1.3 b
doll_7.5 b,doll_1.3 b
doll_2.0 b,doll_1.3 b
doll_3.2 b,doll_1.3 b
doll_637.6 m,doll_1.3 b
0,doll_1.3 b
doll_5.1 b,doll_1.3 b
doll_1.7 b,doll_1.3 b
doll_834.4 m,doll_1.3 b
doll_22.5 b,doll_1.3 b
doll_4.0 b,doll_1.3 b
doll_8.5 b,doll_1.3 b
doll_3.2 b,doll_1.3 b
doll_2.5 b,doll_1.3 b
doll_259.0 m,doll_1.3 b
doll_2.0 b,doll_1.3 b
doll_999.8 m,doll_1.3 b
doll_3.5 b,doll_1.3 b
doll_2.5 b,doll_1.3 b
doll_1.8 b,doll_1.3 b
doll_4.5 b,doll_1.3 b
doll_17.1 b,doll_1.3 b
doll_3.6 b,doll_1.3 b
doll_603.4 m,doll_1.3 b
doll_2.3 b,doll_1.3 b
doll_490.9 m,doll_1.3 b
0,doll_1.3 b
doll_1.7 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_17.3 m,doll_1.3 b
doll_221.3 m,doll_1.3 b
doll_2.1 b,doll_1.3 b
doll_1.2 b,doll_1.3 b
doll_2.7 b,doll_1.3 b
doll_1.2 b,doll_1.3 b
doll_3.3 b,doll_1.3 b
doll_1.7 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_4.1 b,doll_1.3 b
doll_522.2 m,doll_1.3 b
doll_9.9 b,doll_1.3 b
doll_26.2 b,doll_1.3 b
doll_1.7 b,doll_1.3 b
doll_600.7 m,doll_1.3 b
doll_791.0 m,doll_1.4 b
0,doll_1.4 b
doll_1.4 b,doll_1.4 b
doll_10.3 b,doll_1.4 b
0,doll_1.4 b
doll_1.3 b,doll_1.4 b
0,doll_1.4 b
doll_2.8 b,doll_1.4 b
doll_1.4 b,doll_1.4 b
doll_2.1 b,doll_1.4 b
doll_1.8 b,doll_1.4 b
doll_411.0 m,doll_1.4 b
doll_1.9 b,doll_1.4 b
doll_2.0 b,doll_1.4 b
doll_4.1 b,doll_1.4 b
doll_3.7 b,doll_1.4 b
doll_871.6 m,doll_1.4 b
doll_1.7 b,doll_1.4 b
doll_5.0 b,doll_1.4 b
doll_1.5 b,doll_1.4 b
doll_4.7 b,doll_1.4 b
doll_2.8 b,doll_1.4 b
doll_1.9 b,doll_1.4 b
doll_7.9 b,doll_1.4 b
doll_13.2 b,doll_1.4 b
doll_1.9 b,doll_1.4 b
doll_5.0 b,doll_1.4 b
doll_925.4 m,doll_1.4 b
doll_1.2 b,doll_1.4 b
doll_510.9 m,doll_1.4 b
doll_1.1 b,doll_1.4 b
doll_1.4 b,doll_1.4 b
doll_728.4 m,doll_1.4 b
doll_45.6 b,doll_1.4 b
doll_3.0 b,doll_1.4 b
doll_3.3 b,doll_1.4 b
doll_7.0 b,doll_1.4 b
doll_970.4 m,doll_1.4 b
0,doll_1.4 b
doll_1.3 b,doll_1.4 b
0,doll_1.4 b
doll_1.2 b,doll_1.4 b
doll_614.3 m,doll_1.4 b
0,doll_1.4 b
doll_1.9 b,doll_1.4 b
doll_15.7 b,doll_1.4 b
doll_2.0 b,doll_1.4 b
doll_6.9 b,doll_1.4 b
doll_452.9 m,doll_1.4 b
doll_289.9 m,doll_1.4 b
doll_2.9 b,doll_1.4 b
doll_3.2 b,doll_1.4 b
doll_682.0 m,doll_1.4 b
doll_5.5 b,doll_1.4 b
doll_34.0 b,doll_1.4 b
doll_179.1 m,doll_1.4 b
doll_7.3 b,doll_1.4 b
doll_141.6 m,doll_1.4 b
doll_473.5 m,doll_1.4 b
doll_3.2 b,doll_1.4 b
doll_803.5 m,doll_1.4 b
doll_1.7 b,doll_1.4 b
doll_1.2 b,doll_1.4 b
doll_4.2 b,doll_1.4 b
doll_1.6 b,doll_1.4 b
doll_1.8 b,doll_1.4 b
doll_3.5 b,doll_1.4 b
doll_323.6 m,doll_1.4 b
doll_1.8 b,doll_1.4 b
doll_3.0 b,doll_1.4 b
doll_1.1 b,doll_1.4 b
doll_2.1 b,doll_1.4 b
doll_1.0 b,doll_1.4 b
doll_504.1 m,doll_1.4 b
doll_2.6 b,doll_1.4 b
doll_8.4 b,doll_1.4 b
doll_10.6 b,doll_1.4 b
doll_5.2 b,doll_1.4 b
doll_905.5 m,doll_1.4 b
doll_11.7 b,doll_1.4 b
doll_1.9 b,doll_1.4 b
doll_2.5 b,doll_1.4 b
doll_244.2 m,doll_1.4 b
doll_3.4 b,doll_1.4 b
doll_3.3 b,doll_1.4 b
doll_3.6 b,doll_1.4 b
0,doll_1.4 b
doll_7.6 b,doll_1.4 b
doll_4.3 b,doll_1.4 b
doll_3.6 b,doll_1.4 b
doll_2.8 b,doll_1.4 b
doll_55.8 m,doll_1.4 b
0,doll_1.4 b
doll_1.2 b,doll_1.4 b
doll_1.1 b,doll_1.4 b
doll_1.7 b,doll_1.4 b
doll_805.5 m,doll_1.4 b
doll_4.9 b,doll_1.4 b
doll_3.9 b,doll_1.4 b
doll_549.9 m,doll_1.4 b
doll_6.6 b,doll_1.4 b
0,doll_1.4 b
doll_3.4 b,doll_1.4 b
doll_3.7 b,doll_1.4 b
doll_1.3 b,doll_1.4 b
doll_2.2 b,doll_1.4 b
doll_2.0 b,doll_1.4 b
doll_1.6 b,doll_1.4 b
doll_2.0 b,doll_1.4 b
0,doll_1.4 b
0,doll_1.4 b
doll_5.3 b,doll_1.4 b
doll_2.2 b,doll_1.4 b
doll_4.0 b,doll_1.4 b
doll_4.1 b,doll_1.4 b
doll_894.2 m,doll_1.4 b
0,doll_1.4 b
doll_5.3 b,doll_1.4 b
doll_638.2 m,doll_1.4 b
doll_1.8 b,doll_1.4 b
doll_7.1 b,doll_1.4 b
doll_174.4 m,doll_1.4 b
doll_8.3 b,doll_1.4 b
doll_3.1 b,doll_1.4 b
doll_5.8 b,doll_1.4 b
doll_1.9 b,doll_1.4 b
doll_9.5 b,doll_1.4 b
doll_1.5 b,doll_1.4 b
doll_4.5 b,doll_1.4 b
doll_1.6 b,doll_1.4 b
doll_13.9 b,doll_1.4 b
doll_1.2 b,doll_1.4 b
0,doll_1.4 b
doll_13.5 b,doll_1.4 b
doll_3.1 b,doll_1.4 b
doll_383.7 m,doll_1.4 b
doll_2.1 b,doll_1.4 b
doll_397.9 m,doll_1.4 b
doll_751.3 m,doll_1.4 b
doll_1.8 b,doll_1.4 b
doll_591.6 m,doll_1.4 b
doll_2.4 b,doll_1.4 b
doll_386.7 m,doll_1.5 b
doll_853.9 m,doll_1.5 b
doll_3.8 b,doll_1.5 b
doll_2.3 b,doll_1.5 b
doll_4.0 b,doll_1.5 b
0,doll_1.5 b
doll_1.2 b,doll_1.5 b
doll_561.2 m,doll_1.5 b
doll_4.8 b,doll_1.5 b
doll_3.5 b,doll_1.5 b
doll_3.1 b,doll_1.5 b
doll_5.3 b,doll_1.5 b
doll_6.0 b,doll_1.5 b
doll_2.0 b,doll_1.5 b
doll_323.7 m,doll_1.5 b
doll_3.3 b,doll_1.5 b
doll_636.4 m,doll_1.5 b
doll_1.1 b,doll_1.5 b
doll_799.7 m,doll_1.5 b
doll_5.2 b,doll_1.5 b
doll_3.7 b,doll_1.5 b
