01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,07-silvestri-revenue_2017
"20,298,288",325.61,"20,298,288"
"4,195,789",325.42,"4,195,789"
"2,286,000",325.19,"2,286,000"
"19,489,369",324.99,"19,489,369"
"8,933,769",324.26,"8,933,769"
"799,170",322.41,"799,170"
"9,145,411",322.06,"9,145,411"
"5,394,020",320.92,"5,394,020"
"28,378,990",319.89,"28,378,990"
"1,084,812",319.07,"1,084,812"
"666,118",318.77,"666,118"
"21,841,341",318.30,"21,841,341"
"2,708,258",318.01,"2,708,258"
"376,440",317.99,"376,440"
"473,640",317.84,"473,640"
"2,606,296",317.63,"2,606,296"
"5,688,822",316.08,"5,688,822"
"2,013,403",315.16,"2,013,403"
"1,137,450",314.56,"1,137,450"
"1,280,989",313.98,"1,280,989"
"451,196",312.82,"451,196"
"815,449",309.97,"815,449"
"6,450,759",309.05,"6,450,759"
"1,064,498",308.66,"1,064,498"
"868,552",308.41,"868,552"
"5,381,108",308.37,"5,381,108"
"1,201,900",307.62,"1,201,900"
"1,016,480",306.70,"1,016,480"
"1,177,860",306.29,"1,177,860"
"657,377",306.22,"657,377"
"3,450,000",305.80,"3,450,000"
"102,139,979",305.66,"102,139,979"
"1,685,348",304.87,"1,685,348"
"3,119,000",304.26,"3,119,000"
"1,865,319",303.81,"1,865,319"
"524,552",303.44,"524,552"
"1,081,844",303.38,"1,081,844"
"572,798",302.65,"572,798"
"2,357,096",302.41,"2,357,096"
"679,247",301.53,"679,247"
"871,779",301.43,"871,779"
"762,200",301.40,"762,200"
"700,823",300.97,"700,823"
"1,518,678",297.51,"1,518,678"
"1,184,000",297.47,"1,184,000"
"3,118,698",297.46,"3,118,698"
"1,267,224",297.29,"1,267,224"
"574,323",297.08,"574,323"
"29,718,000",297.06,"29,718,000"
"571,513",296.93,"571,513"
"855,283",296.71,"855,283"
"732,924",295.97,"732,924"
"663,100",295.97,"663,100"
"1,334,213",293.41,"1,334,213"
"2,492,730",291.25,"2,492,730"
"842,600",290.92,"842,600"
"2,189,720",290.88,"2,189,720"
"621,500",288.59,"621,500"
"21,052,232",288.44,"21,052,232"
"488,940",288.19,"488,940"
"8,605,113",287.56,"8,605,113"
"721,090",287.38,"721,090"
"3,847,000",287.21,"3,847,000"
"3,465,675",286.81,"3,465,675"
"531,960",285.39,"531,960"
"3,386,414",284.74,"3,386,414"
"30,862,156",284.49,"30,862,156"
"2,159,010",284.10,"2,159,010"
"1,190,000",284.03,"1,190,000"
"5,923,571",283.29,"5,923,571"
"5,422,583",283.21,"5,422,583"
"2,593,649",283.01,"2,593,649"
"1,293,181",282.71,"1,293,181"
"628,388",282.63,"628,388"
"3,848,262",281.74,"3,848,262"
"2,295,632",281.19,"2,295,632"
"2,202,906",280.58,"2,202,906"
"5,924,389",280.36,"5,924,389"
"416,960",279.04,"416,960"
"9,838,779",278.58,"9,838,779"
"4,985,758",275.94,"4,985,758"
"499,484",275.83,"499,484"
"8,392,541",274.90,"8,392,541"
"10,982,110",274.52,"10,982,110"
"2,229,273",274.15,"2,229,273"
"19,088,830",273.47,"19,088,830"
"1,174,770",273.12,"1,174,770"
"1,061,642",273.03,"1,061,642"
"5,428,300",272.54,"5,428,300"
"824,450",272.18,"824,450"
"5,772,716",272.13,"5,772,716"
"1,771,758",271.97,"1,771,758"
"6,955,394",271.81,"6,955,394"
"1,627,160",271.64,"1,627,160"
"599,612",270.79,"599,612"
"749,940",270.68,"749,940"
"2,716,240",270.39,"2,716,240"
"1,310,532",268.98,"1,310,532"
"410,775",268.92,"410,775"
"2,191,733",268.20,"2,191,733"
"910,392",268.16,"910,392"
"691,110",268.08,"691,110"
"3,336,600",268.05,"3,336,600"
"3,743,740",267.75,"3,743,740"
"5,233,937",267.32,"5,233,937"
"1,304,073",266.84,"1,304,073"
"5,474,802",265.81,"5,474,802"
"1,375,943",264.32,"1,375,943"
"54,990,779",263.37,"54,990,779"
"1,158,042",263.34,"1,158,042"
"558,480",262.60,"558,480"
"1,156,596",261.42,"1,156,596"
"419,430",260.90,"419,430"
"1,276,483",260.22,"1,276,483"
"674,560",260.17,"674,560"
"1,272,558",259.83,"1,272,558"
"4,656,191",259.66,"4,656,191"
"2,257,390",259.32,"2,257,390"
"6,549,376",259.15,"6,549,376"
"15,711,602",258.92,"15,711,602"
"5,642,145",258.88,"5,642,145"
"1,650,756",258.30,"1,650,756"
"910,070",258.05,"910,070"
"3,904,618",257.60,"3,904,618"
"622,989",257.42,"622,989"
"580,537",257.35,"580,537"
"1,018,843",257.32,"1,018,843"
"5,573,000",256.90,"5,573,000"
"1,127,170",255.81,"1,127,170"
"433,540",255.07,"433,540"
"3,266,703",254.93,"3,266,703"
"644,440",254.41,"644,440"
"1,778,274",254.20,"1,778,274"
"3,498,275",254.09,"3,498,275"
"7,477,852",253.87,"7,477,852"
"6,242,232",253.68,"6,242,232"
"1,646,307",253.68,"1,646,307"
