07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct
"1,349,250",1349250,"1,349,250",438.38
"635,400",635400,"635,400",435.19
"1,013,181",1013181,"1,013,181",433.20
"1,481,398",1481398,"1,481,398",432.02
"564,910",564910,"564,910",431.82
"20,436,426",20436426,"20,436,426",430.92
"2,127,151",2127151,"2,127,151",427.38
"7,339,330",7339330,"7,339,330",427.36
"461,671",461671,"461,671",425.60
"4,176,347",4176347,"4,176,347",425.57
"569,646",569646,"569,646",421.70
"391,540",391540,"391,540",420.34
"6,035,116",6035116,"6,035,116",420.23
"826,430",826430,"826,430",420.04
"3,013,629",3013629,"3,013,629",418.96
"655,000",655000,"655,000",418.47
"2,635,420",2635420,"2,635,420",417.12
"1,454,711",1454711,"1,454,711",416.23
"2,148,122",2148122,"2,148,122",415.23
"1,304,060",1304060,"1,304,060",411.71
"1,090,920",1090920,"1,090,920",411.64
"2,577,297",2577297,"2,577,297",411.37
"4,356,500",4356500,"4,356,500",406.66
"340,309",340309,"340,309",404.97
"846,360",846360,"846,360",404.13
"1,061,327",1061327,"1,061,327",403.10
"792,093",792093,"792,093",402.58
"4,641,712",4641712,"4,641,712",402.13
"2,408,187",2408187,"2,408,187",400.90
"5,629,906",5629906,"5,629,906",399.83
"2,163,006",2163006,"2,163,006",399.44
"7,671,961",7671961,"7,671,961",398.90
"770,031",770031,"770,031",398.70
"303,615",303615,"303,615",398.69
"11,728,040",11728040,"11,728,040",398.15
"341,370",341370,"341,370",396.92
"608,053",608053,"608,053",396.52
"520,998",520998,"520,998",394.55
"6,863,940",6863940,"6,863,940",394.51
"1,965,560",1965560,"1,965,560",393.21
"1,543,824",1543824,"1,543,824",390.55
"464,354",464354,"464,354",390.53
"3,284,400",3284400,"3,284,400",389.87
"700,007",700007,"700,007",389.78
"3,915,724",3915724,"3,915,724",389.56
"1,127,652",1127652,"1,127,652",388.82
"1,401,463",1401463,"1,401,463",385.68
"681,460",681460,"681,460",385.16
"3,035,269",3035269,"3,035,269",383.45
"1,468,200",1468200,"1,468,200",381.19
"2,663,699",2663699,"2,663,699",380.80
"2,601,157",2601157,"2,601,157",380.13
"329,298",329298,"329,298",378.99
"2,136,626",2136626,"2,136,626",375.90
"5,602,132",5602132,"5,602,132",375.47
"1,459,655",1459655,"1,459,655",375.30
"411,858",411858,"411,858",373.76
"1,201,964",1201964,"1,201,964",373.42
"3,954,351",3954351,"3,954,351",373.09
"1,906,790",1906790,"1,906,790",372.95
"437,747",437747,"437,747",371.54
"595,800",595800,"595,800",369.96
"1,541,070",1541070,"1,541,070",368.02
"4,163,750",4163750,"4,163,750",367.32
"766,510",766510,"766,510",367.12
"3,688,264",3688264,"3,688,264",366.38
"2,508,842",2508842,"2,508,842",365.87
"1,982,251",1982251,"1,982,251",365.14
"6,328,462",6328462,"6,328,462",364.94
"443,694",443694,"443,694",364.90
"1,081,079",1081079,"1,081,079",362.48
"496,790",496790,"496,790",362.41
"110,835,763",110835763,"110,835,763",361.78
"573,145",573145,"573,145",361.24
"790,712",790712,"790,712",361.17
"22,060,642",22060642,"22,060,642",361.12
"12,200,275",12200275,"12,200,275",360.01
"699,907",699907,"699,907",359.98
"1,297,717",1297717,"1,297,717",359.62
"1,050,660",1050660,"1,050,660",359.61
"16,861,349",16861349,"16,861,349",358.59
"934,994",934994,"934,994",358.37
"736,000",736000,"736,000",357.44
"1,061,360",1061360,"1,061,360",356.25
"1,114,200",1114200,"1,114,200",356.21
"32,824,451",32824451,"32,824,451",355.67
"398,676",398676,"398,676",355.58
"45,981,552",45981552,"45,981,552",355.45
"3,389,300",3389300,"3,389,300",353.69
"3,525,720",3525720,"3,525,720",351.01
"1,698,358",1698358,"1,698,358",350.96
"645,633",645633,"645,633",350.83
"1,128,243",1128243,"1,128,243",350.12
"505,520",505520,"505,520",347.56
"516,640",516640,"516,640",347.12
"775,341",775341,"775,341",344.41
"771,504",771504,"771,504",343.11
"1,492,190",1492190,"1,492,190",342.81
"361,790",361790,"361,790",342.52
"8,935,361",8935361,"8,935,361",340.45
"1,389,534",1389534,"1,389,534",339.50
"857,590",857590,"857,590",339.50
"544,943",544943,"544,943",338.88
"1,593,667",1593667,"1,593,667",338.29
"2,091,995",2091995,"2,091,995",337.44
"9,235,130",9235130,"9,235,130",337.37
"743,130",743130,"743,130",337.22
"1,119,494",1119494,"1,119,494",336.69
"1,062,010",1062010,"1,062,010",333.49
"2,199,640",2199640,"2,199,640",331.97
"452,091",452091,"452,091",331.77
"2,510,930",2510930,"2,510,930",331.20
"630,660",630660,"630,660",331.08
"969,930",969930,"969,930",329.74
"499,815",499815,"499,815",329.62
"667,467",667467,"667,467",329.00
"691,140",691140,"691,140",328.98
"441,271",441271,"441,271",328.62
"917,735",917735,"917,735",328.53
"1,134,256",1134256,"1,134,256",327.77
"1,702,165",1702165,"1,702,165",326.52
"3,163,540",3163540,"3,163,540",326.09
"948,813",948813,"948,813",325.82
"20,298,288",20298288,"20,298,288",325.61
"4,195,789",4195789,"4,195,789",325.42
"2,286,000",2286000,"2,286,000",325.19
"19,489,369",19489369,"19,489,369",324.99
"8,933,769",8933769,"8,933,769",324.26
"799,170",799170,"799,170",322.41
"9,145,411",9145411,"9,145,411",322.06
"5,394,020",5394020,"5,394,020",320.92
"28,378,990",28378990,"28,378,990",319.89
"1,084,812",1084812,"1,084,812",319.07
"666,118",666118,"666,118",318.77
"21,841,341",21841341,"21,841,341",318.30
"2,708,258",2708258,"2,708,258",318.01
"376,440",376440,"376,440",317.99
"473,640",473640,"473,640",317.84
"2,606,296",2606296,"2,606,296",317.63
"5,688,822",5688822,"5,688,822",316.08
"2,013,403",2013403,"2,013,403",315.16
"1,137,450",1137450,"1,137,450",314.56
"1,280,989",1280989,"1,280,989",313.98
"451,196",451196,"451,196",312.82
"815,449",815449,"815,449",309.97
"6,450,759",6450759,"6,450,759",309.05
"1,064,498",1064498,"1,064,498",308.66
"868,552",868552,"868,552",308.41
"5,381,108",5381108,"5,381,108",308.37
"1,201,900",1201900,"1,201,900",307.62
"1,016,480",1016480,"1,016,480",306.70
"1,177,860",1177860,"1,177,860",306.29
"657,377",657377,"657,377",306.22
"3,450,000",3450000,"3,450,000",305.80
"102,139,979",102139979,"102,139,979",305.66
"1,685,348",1685348,"1,685,348",304.87
"3,119,000",3119000,"3,119,000",304.26
"1,865,319",1865319,"1,865,319",303.81
"524,552",524552,"524,552",303.44
"1,081,844",1081844,"1,081,844",303.38
"572,798",572798,"572,798",302.65
"2,357,096",2357096,"2,357,096",302.41
"679,247",679247,"679,247",301.53
"871,779",871779,"871,779",301.43
"762,200",762200,"762,200",301.40
"700,823",700823,"700,823",300.97
"1,518,678",1518678,"1,518,678",297.51
"1,184,000",1184000,"1,184,000",297.47
"3,118,698",3118698,"3,118,698",297.46
"1,267,224",1267224,"1,267,224",297.29
"574,323",574323,"574,323",297.08
"29,718,000",29718000,"29,718,000",297.06
"571,513",571513,"571,513",296.93
"855,283",855283,"855,283",296.71
"732,924",732924,"732,924",295.97
"663,100",663100,"663,100",295.97
"1,334,213",1334213,"1,334,213",293.41
"2,492,730",2492730,"2,492,730",291.25
"842,600",842600,"842,600",290.92
"2,189,720",2189720,"2,189,720",290.88
"621,500",621500,"621,500",288.59
"21,052,232",21052232,"21,052,232",288.44
"488,940",488940,"488,940",288.19
"8,605,113",8605113,"8,605,113",287.56
"721,090",721090,"721,090",287.38
"3,847,000",3847000,"3,847,000",287.21
"3,465,675",3465675,"3,465,675",286.81
"531,960",531960,"531,960",285.39
"3,386,414",3386414,"3,386,414",284.74
"30,862,156",30862156,"30,862,156",284.49
"2,159,010",2159010,"2,159,010",284.10
"1,190,000",1190000,"1,190,000",284.03
"5,923,571",5923571,"5,923,571",283.29
"5,422,583",5422583,"5,422,583",283.21
"2,593,649",2593649,"2,593,649",283.01
"1,293,181",1293181,"1,293,181",282.71
"628,388",628388,"628,388",282.63
"3,848,262",3848262,"3,848,262",281.74
"2,295,632",2295632,"2,295,632",281.19
"2,202,906",2202906,"2,202,906",280.58
"5,924,389",5924389,"5,924,389",280.36
"416,960",416960,"416,960",279.04
"9,838,779",9838779,"9,838,779",278.58
"4,985,758",4985758,"4,985,758",275.94
"499,484",499484,"499,484",275.83
"8,392,541",8392541,"8,392,541",274.90
"10,982,110",10982110,"10,982,110",274.52
"2,229,273",2229273,"2,229,273",274.15
"19,088,830",19088830,"19,088,830",273.47
"1,174,770",1174770,"1,174,770",273.12
"1,061,642",1061642,"1,061,642",273.03
"5,428,300",5428300,"5,428,300",272.54
"824,450",824450,"824,450",272.18
"5,772,716",5772716,"5,772,716",272.13
"1,771,758",1771758,"1,771,758",271.97
"6,955,394",6955394,"6,955,394",271.81
"1,627,160",1627160,"1,627,160",271.64
"599,612",599612,"599,612",270.79
"749,940",749940,"749,940",270.68
"2,716,240",2716240,"2,716,240",270.39
"1,310,532",1310532,"1,310,532",268.98
"410,775",410775,"410,775",268.92
"2,191,733",2191733,"2,191,733",268.20
"910,392",910392,"910,392",268.16
"691,110",691110,"691,110",268.08
"3,336,600",3336600,"3,336,600",268.05
"3,743,740",3743740,"3,743,740",267.75
"5,233,937",5233937,"5,233,937",267.32
"1,304,073",1304073,"1,304,073",266.84
"5,474,802",5474802,"5,474,802",265.81
"1,375,943",1375943,"1,375,943",264.32
"54,990,779",54990779,"54,990,779",263.37
"1,158,042",1158042,"1,158,042",263.34
"558,480",558480,"558,480",262.60
"1,156,596",1156596,"1,156,596",261.42
"419,430",419430,"419,430",260.90
"1,276,483",1276483,"1,276,483",260.22
"674,560",674560,"674,560",260.17
"1,272,558",1272558,"1,272,558",259.83
"4,656,191",4656191,"4,656,191",259.66
"2,257,390",2257390,"2,257,390",259.32
"6,549,376",6549376,"6,549,376",259.15
"15,711,602",15711602,"15,711,602",258.92
"5,642,145",5642145,"5,642,145",258.88
"1,650,756",1650756,"1,650,756",258.30
"910,070",910070,"910,070",258.05
"3,904,618",3904618,"3,904,618",257.60
"622,989",622989,"622,989",257.42
"580,537",580537,"580,537",257.35
"1,018,843",1018843,"1,018,843",257.32
"5,573,000",5573000,"5,573,000",256.90
"1,127,170",1127170,"1,127,170",255.81
"433,540",433540,"433,540",255.07
"3,266,703",3266703,"3,266,703",254.93
"644,440",644440,"644,440",254.41
"1,778,274",1778274,"1,778,274",254.20
"3,498,275",3498275,"3,498,275",254.09
"7,477,852",7477852,"7,477,852",253.87
"6,242,232",6242232,"6,242,232",253.68
"1,646,307",1646307,"1,646,307",253.68
"12,259,540",12259540,"12,259,540",253.65
"1,031,733",1031733,"1,031,733",253.55
"681,652",681652,"681,652",253.35
"1,055,100",1055100,"1,055,100",253.11
"3,350,270",3350270,"3,350,270",251.91
"32,428,296",32428296,"32,428,296",251.66
"1,084,616",1084616,"1,084,616",251.57
"1,482,100",1482100,"1,482,100",251.56
"5,031,697",5031697,"5,031,697",251.48
"2,178,629",2178629,"2,178,629",250.06
"2,363,526",2363526,"2,363,526",249.64
"1,809,858",1809858,"1,809,858",249.58
"9,100,083",9100083,"9,100,083",248.98
"547,084",547084,"547,084",248.88
"1,568,506",1568506,"1,568,506",248.43
"910,973",910973,"910,973",247.28
"2,195,780",2195780,"2,195,780",247.20
"5,325,214",5325214,"5,325,214",247.05
"1,954,609",1954609,"1,954,609",246.88
"658,317",658317,"658,317",246.63
"1,079,340",1079340,"1,079,340",245.48
