03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
1340430.0,doll_11.59 m,doll_11.59 m,doll_11.59 m,doll_11.7 m
228982.0,doll_1.98 m,doll_1.98 m,doll_1.98 m,doll_13.65 m
570564.0,doll_4.88 m,doll_4.88 m,doll_4.88 m,doll_42.93 m
651170.0,doll_5.59 m,doll_5.59 m,doll_5.59 m,doll_2.73 m
262280.0,doll_2.24 m,doll_2.24 m,doll_2.24 m,doll_88.58 m
400000.0,doll_3.4 m,doll_3.4 m,doll_3.4 m,doll_4.55 m
2133310.0,doll_18.03 m,doll_18.03 m,doll_18.03 m,doll_94.35 m
2025879.0,doll_17.06 m,doll_17.06 m,doll_17.06 m,doll_5.57 m
1815680.0,doll_15.25 m,doll_15.25 m,doll_15.25 m,doll_5.19 m
2264940.0,doll_18.94 m,doll_18.94 m,doll_18.94 m,doll_8.04 m
295731.0,doll_2.46 m,doll_2.46 m,doll_2.46 m,doll_7.7 m
305268.0,doll_2.18 m,doll_2.18 m,doll_2.18 m,doll_8.3 m
327218.0,doll_2.63 m,doll_2.63 m,doll_2.63 m,doll_7.21 m
191679.0,doll_1.58 m,doll_1.58 m,doll_1.58 m,doll_8.40 m
1349733.0,doll_11.09 m,doll_11.09 m,doll_11.09 m,doll_24.79 m
481510.0,doll_3.94 m,doll_3.94 m,doll_3.94 m,doll_2.87 m
812371.0,doll_6.64 m,doll_6.64 m,doll_6.64 m,doll_2.66 m
26112757.0,doll_210.95 m,doll_210.95 m,doll_210.95 m,doll_4.26 m
1575522.0,doll_12.68 m,doll_12.68 m,doll_12.68 m,doll_1.88 m
7415334.0,doll_60.07 m,doll_60.07 m,doll_60.07 m,doll_27.96 m
833230.0,doll_6.74 m,doll_6.74 m,doll_6.74 m,doll_121.31 m
1119178.0,doll_8.98 m,doll_8.98 m,doll_8.98 m,doll_1376.44 m
249818.0,doll_1.97 m,doll_1.97 m,doll_1.97 m,doll_5.1 m
6280267.0,doll_50.72 m,doll_50.72 m,doll_50.72 m,doll_7.47 m
5026349.0,doll_40.31 m,doll_40.31 m,doll_40.31 m,doll_1.36 m
440369.0,doll_3.52 m,doll_3.52 m,doll_3.52 m,doll_2.55 m
1315000.0,doll_10.5 m,doll_10.5 m,doll_10.5 m,doll_1.46 m
8811708.0,doll_70.18 m,doll_70.18 m,doll_70.18 m,doll_7.32 m
1134730.0,doll_9.02 m,doll_9.02 m,doll_9.02 m,doll_4.43 m
19757296.0,doll_155.6 m,doll_155.6 m,doll_155.6 m,doll_28.30 m
796207.0,doll_6.32 m,doll_6.32 m,doll_6.32 m,doll_11.3 m
2448858.0,doll_19.42 m,doll_19.42 m,doll_19.42 m,doll_4.54 m
13157000.0,doll_103.63 m,doll_103.63 m,doll_103.63 m,doll_8.81 m
10152222.0,doll_77.76 m,doll_77.76 m,doll_77.76 m,doll_6.0 m
500440.0,doll_3.92 m,doll_3.92 m,doll_3.92 m,doll_13.12 m
506730.0,doll_3.96 m,doll_3.96 m,doll_3.96 m,doll_25.60 m
225964.0,doll_1.75 m,doll_1.75 m,doll_1.75 m,doll_2.84 m
3989355.0,doll_30.41 m,doll_30.41 m,doll_30.41 m,doll_2.62 m
504357.0,doll_3.92 m,doll_3.92 m,doll_3.92 m,doll_6.68 m
548180.0,doll_4.25 m,doll_4.25 m,doll_4.25 m,doll_2.99 m
