05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
internet service provider,cádiz,zagreb,songpa district
film production studio,córdoba,zagreb,cologne
"adriatic pipeline, crude oil transportation",las rozas,zagreb,cologne
national sea transport,madrid,rijeka,cologne
"non-alcoholic beverages, part of fortenova group",barcelona,zagreb,miaoli county
"record label, defunct 1990",madrid,zagreb,miaoli county
brewery,madrid,karlovac,miaoli county
confectionery,madrid,osijek,miaoli county
confectionery,elorrio,bjelovar,miaoli county
industrial electronic appliances,derio,zagreb,mumbai
construction company,mondragón,split,
supermarket chain,madrid,zagreb,
shipyard,barcelona,kraljevica,
confectionery products,madrid,zagreb,
"subsidiary of fortenova group, frozen foods and various desserts",barcelona,zagreb,
managing company of the ploče seaport,zamudio,ploče,copenhagen
publisher,madrid,zagreb,san juan
record label,tres cantos,zagreb,"ayer keroh, malacca"
retail chain,málaga,zagreb,
digital television and wimax operator,barcelona,zagreb,yuanlin
fertilizer manufacturer,burgos,kutina,yuanlin
brewery,carballo,gospić,yuanlin
natural gas transmission,murcia,zagreb,yuanlin
pharmaceuticals,granada,zagreb,yuanlin
waterway infrastructure,madrid,split,yuanlin
food products,a coruña,koprivnica,yuanlin
"bank, defunct 2018",madrid,rijeka,yuanlin
"bank, part of intesa sanpaolo (italy)",bilbao,zagreb,yuanlin
electric vehicles,madrid,sveta nedelja,"menlo park, california"
"transmitters, electricity meters, formerly electrical components",barcelona,zagreb,irving
publishing house,arteixo,zagreb,irving
trunks manufacturing,madrid,zagreb,zhonghe
bank,madrid,split,zhonghe
record label,ormaiztegi,zagreb,one microsoft way
civil engineering,portillo de toledo,zagreb,suminoe
mobile phone operator,elche,zagreb,suminoe
school accessories,valencia,zagreb,suminoe
airline,madrid,zagreb,global village tech park
rolling stock production,zaragoza,zagreb,tokyo building
shipbuilding company,tavernes blanques,pula,tokyo building
publisher,murcia,zagreb,tokyo building
"civil engineering (tunnels, roads, viaducts and bridges)",madrid,zagreb,tokyo building
shipyard,palma,rijeka,tokyo building
dairy,palau-solità i plegamans,varaždin,hsinchu
sugar refinery,majadahonda,virovitica,hsinchu
film production company,barcelona,zagreb,"minato, tokyo"
primary exchange,madrid,zagreb,30 rockefeller plaza
bank,palma,zagreb,"boston, massachusetts"
brewery,tavernes blanques,zagreb,"boston, massachusetts"
public transport system operator,mondragón,zagreb,vevey
football,madrid,nicosia,vevey
football,vitoria-gasteiz,larnaca,vevey
football,valencia,limassol,"beaverton, oregon"
business-to-business portal,madrid,nicosia[8],"beaverton, oregon"
football,madrid,larnaca,"minato, tokyo"
basketball,bueu,nicosia,"minami-ku, kyoto"
football,madrid,nicosia,"minami-ku, kyoto"
volleyball,mallabia,nicosia,"minami-ku, kyoto"
football,ibiza,limassol,oslo
magazine and book publishing,redondela,nicosia,
hardware and electronics,barcelona,limassol,bagsværd
shipping,villarreal,limassol,bagsværd
bank,tres cantos,nicosia,bagsværd
cruise line,barcelona,limassol,bagsværd
central bank,madrid,nicosia,dhaka
airline,alcobendas,larnaca,
public broadcasting,alcobendas,nicosia,
civil aviation,madrid,nicosia,issy-les-moulineaux
college,madrid,nicosia,dublin
arts centre,madrid,paphos,dublin
bank,majorca,nicosia,"kadoma, osaka"
university,madrid,nicosia,oak brook
research institute,linares,limassol,one astor plaza
isp,martorell,nicosia,one astor plaza
cyprus english newspaper,getxo,nicosia,herzogenaurach
"mining, acquired in 1979",getxo,nicosia,tokyo
research institute,las rozas de madrid,nicosia,"harrison, new york"
new agency,madrid,nicosia,"st. louis, missouri"
supervision of port facilities,madrid,nicosia,petronas towers
"postal services, courier",madrid,nicosia,petronas towers
specialty retailers,madrid,nicosia,random house tower
exchange,madrid,nicosia,random house tower
university,molina de segura,limassol,new york city
cyprus english newspaper,málaga,nicosia,amsterdam
cyprus telecommunications,madrid,nicosia,amsterdam
football,barcelona,peristerona,amsterdam
power utility,arteixo,nicosia,bunky?
law firm,madrid,limassol,bunky?
infrastructure,ljubljana,nicosia,bunky?
infrastructure,zgornji brnik,nicosia,bunky?
university,novo mesto,nicosia,london
magazine,ivančna gorica,nicosia,london
university,žiri,limassol,"dallas, texas"
construction,kamnik,guernsey,"dallas, texas"
commercial insurance,maribor,nicosia,"dallas, texas"
bank,ljubljana,nicosia,
real estate development,begunje na gorenjskem,limassol,
"trading, financial services",kranj,limassol,
beverage company,velenje,limassol,london
mass transit,kranj,larnaca,london
brewery,koper,nicosia,"mascot, new south wales"
property development,novo mesto,paphos,"mascot, new south wales"
construction,ljubljana,nicosia,"mascot, new south wales"
pharmaceuticals,ljubljana,limassol,rabotoren
supermarket,ljubljana,nicosia,rabotoren
independent press,ljubljana,nicosia,slough
university,ljubljana,paphos,slough
broadcasting & entertainment,koper,nicosia,slough
broadcasting & entertainment,maribor,nicosia,
university,ljubljana,nicosia,
football,ljubljana,pafos,
hospital,ljubljana,paphos,repsol campus
mass transit,koper,paphos,"ota, tokyo"
oil & gas,ljubljana,larnaca,gerlingen
financial services,ljubljana,nicosia,gerlingen
transportation services,bratislava,limassol,munich
telecom,detva,nicosia,montreal
bank,bratislava,limassol,shell centre
aluminium,prešov,nicosia,worli
international christian satellite television,bratislava,nicosia,moscow
telecom,medzilaborce,nicosia,pyeongtaek
hospital,bratislava,strovolos,stockholm
research institute,bratislava,nicosia,stockholm
research institute,bratislava,nicosia,samsung digital city
research institute,čadca,nicosia,luxembourg city
hotels,bratislava,ayia napa,luxembourg city
airline,púchov,larnaca,san miguel avenue
insurance,istebné,nicosia,san miguel avenue
university,bratislava,nicosia,stockholm
university,bratislava,nicosia,stockholm
games developer,bratislava,nicosia,paris
retailer,veľký šariš,nicosia,dhahran
pornographic service,bratislava,nicosia,dhahran
"aircraft, part of penta investments (slovakia)",bratislava,odolena voda,dhahran
supermarkets,žiar nad hronom,prague,sas frösundavik office building
"circuits, electronics",bratislava,prague,"bangalore, karnataka"
security software,banská bystrica,prague,"bangalore, karnataka"
film studios,bratislava,prague,
brewery,bratislava,české budějovice,heroldsberg
brewery,bratislava,české budějovice,rueil-malmaison
postal services,bratislava,prague,rueil-malmaison
"bank, part of erste group (austria)",bratislava,prague,rueil-malmaison
weapons,bratislava,uherský brod[18],"toronto, ontario, canada[1]"
railways,bratislava,prague,scholastic building
telecom,veľký šariš,prague[19],ginza
bank,bratislava,prague,ginza
telecommunication infrastructure,košice,prague,wedemark
theatres,trebišov,prague,"boulder, colorado"
"trams, vehicles",bratislava,prague,"225 king street w., suite 200"
satellite service,hurbanovo,prague,"225 king street w., suite 200"
airline,bucharest,prague,"fremont, california"
central bank,buftea,prague,tokyo
hatcheries for hens and chickens,iași,studenec,tokyo
record label,alba iulia,brno,sydney
phones and security devices,găești,jablonec nad nisou,cherepovets
liqueur,mioveni,karlovy vary,cherepovets
aircraft components,bucharest,velešín,geneva
musical instruments,cluj-napoca,brno,shenzhen bao'an international airport
toys,bucharest,nový hrádek,shenzhen bao'an international airport
clothing,bucharest,prague,shenzhen bao'an international airport
beverages,bucharest,ostrava,munich
bank,bucharest,prague,munich
rail,bacău,prague,munich
"trucks, defunct 2002",ștei,jablonec nad nisou,munich
print media,cluj-napoca,prague,chaoyang district
optics,craiova,přerov,chaoyang district
heavy construction,bucharest,prague[21],chaoyang district
glass,bucharest,karlovy vary,seocho-dong
fixed and mobile operator,bucharest,prague,mall of asia complex
coal mining,cluj-napoca,ostrava,boulevard haussmann
pianos,mangalia,hradec králové,beijing
brewery,bucharest,plzeň,seoul
glasswares,bucharest,jablonec nad nisou,"park city, utah"
electronics,bucharest,nové město na moravě,"park city, utah"
"software, part of red hat (us)",cluj-napoca,brno,plze?
"brewery, now part of heineken (netherlands)",bucharest,krušovice,bolechowo
porcelain,bucharest,nové sedlo,"minato, tokyo"
mass transport vehicles,năvodari,plzeň,"minato-ku, tokyo"
defunct 1999,bucharest,plzeň,"dallas, texas"
satellite service,bucharest,prague,shinjuku
travel agency,bucharest,brno,shinjuku
record label,bucharest,prague,london
trucks,brașov,kopřivnice,london
"now volný, a.s., internet services",brașov,prague,nariman point
automobiles,bucharest,kolín,"pleasanton, california"
iron & steel,bucharest,třinec,"pleasanton, california"
bank,bucharest,prague,"pleasanton, california"
chemicals,bucharest,české budějovice,"pleasanton, california"
"mobile operator, part of vodafone (uk)",bucharest,prague,"pleasanton, california"
"engines, defunct 2008",bucharest,prague,wattens
tractors,otopeni,brno,wattens
"bank, defunct 2006",iaşi,prague,wattens
business consulting,bucharest,virum,wattens
pharmaceuticals,cluj-napoca,hørsholm,wattens
magazines,bucharest,copenhagen,10 hudson yards
financial services,cluj-napoca,copenhagen,
health care support,cluj-napoca,copenhagen,mumbai
architecture,bucharest,aarhus,mumbai
"food cooperative, dairy",bucharest,viby j,london
hotels,bucharest,copenhagen,london
"audio, electronics",bucharest,struer,mumbai
clothing,bucharest,brande,mumbai
architecture,bucharest,copenhagen,mumbai
furniture and design,porto,herning,pune
packaging,porto,gentofte,pune
architecture,porto,aarhus,pune
brewing,trofa,copenhagen,vancouver
fibre cement manufacturer,lisbon,aalborg,tencent binhai mansion
"food, agriculture",lisbon,hørsholm,tencent binhai mansion
architecture,vila franca de xira,copenhagen,tencent binhai mansion
medical devices,oeiras,fredensborg,tencent binhai mansion
"supermarkets, formerly fdb",porto,copenhagen,welwyn garden city
airport,coimbra,copenhagen,13101 tesla road
food and beverage,lisbon,frederikssund,
technology,anadia,gentofte,telstra corporate centre
consulting,porto,kongens lyngby,telstra corporate centre
food processing,lisbon,nyborg,"providence, rhode island, us"
shipping,matosinhos,hellerup,"providence, rhode island, us"
shipping,matosinhos,copenhagen,"providence, rhode island, us"
industrial equipment,santa maria da feira,nordborg,"providence, rhode island, us"
biopharma,coimbra,copenhagen,new taipei city
farm supply,lisbon,karise,new taipei city
food processing,campo maior,randers,amsterdam
retail chain,matosinhos,højbjerg,"katsushika, tokyo"
bank,lisbon,copenhagen,tour total
climate control solutions,lisbon,skive,tour total
"shipping, logistics",lisbon,copenhagen,"north sydney, new south wales"
architecture,lisbon,copenhagen,"nihonbashi, ch??, tokyo"
seed producer,lisbon,roskilde,"nihonbashi, ch??, tokyo"
railway,marinha grande,copenhagen,"nihonbashi, ch??, tokyo"
transport and logistics,oeiras,hedehusene,"irving, texas"
building materials,lisbon,copenhagen,"irving, texas"
shoes,porto,bredebro,"irving, texas"
media,cascais,copenhagen,"irving, texas"
healthcare,oliveira de frades,copenhagen,"san francisco, california"
engineering,oeiras,copenhagen,istanbul
stores,lisbon,copenhagen,hsinchu science park
food services analytical solutions,lisbon,hillerød,hsinchu science park
fuel price risk management,lisbon,middelfart,london
audiological diagnostics,porto,ballerup,london
pumps,cascais,bjerringbro,london
audio equipment,lisbon,ry,willis tower
chemicals,lisbon,copenhagen,willis tower
coatings,lisbon,lyngby-taarbæk,gothenburg
architecture,lisbon,copenhagen,gothenburg
jewelry,porto,copenhagen,manisa
sportswear,lisbon,aarhus,manisa
clothing,lisbon,copenhagen,"jersey city, new jersey"
video games,lisbon,copenhagen,"columbus, ohio"
facility services,lisbon,copenhagen,denver
"airline, defunct 2020",torres novas,copenhagen,hanoi
engineering,lisbon,odense,hanoi
retail chain,lisbon,aarhus,hanoi
bank,oliveira de azeméis,silkeborg,hanoi
engineering,porto,copenhagen,hanoi
fur coop,lisbon,copenhagen,geneva
sustainable personal care products,maia,copenhagen,geneva
pharmaceuticals,maia,copenhagen,geneva
wind power equipment,oeiras,lunderskov,ho chi minh city
lighting,oeiras,copenhagen,"newbury, berkshire, england, uk"
pharmaceuticals,lisbon,copenhagen,heidenheim an der brenz
