05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
bicycles,copenhagen,lugo,
racing gear,vejle,volpiano,
automatic test equipment,holbæk,volpiano,
helmets,copenhagen,inverigo,
shoes,copenhagen,turin,
firearms,copenhagen,gardone val trompia,
"steel, machinery, oil & gas, mining",copenhagen,milan,
fitness equipment,roskilde,cesena,
motorbikes,copenhagen,modena,
ferries line,faxe,naples,
fashion,copenhagen,sant'elpidio a mare,
fashion,copenhagen,milan,
"brandy, part of sazerac company (us)",copenhagen,livorno,
banking,copenhagen,bergamo,
banking,copenhagen,porta nuova,
banking,copenhagen,bologna,
jewelry,vallensbæk,arezzo,
fashion,copenhagen,milan,
fashion house,århus,milan,
"scooters, part of piaggio",copenhagen,pontedera,
heavy equipment,lystrup,lugo,
"motorbikes, production ceased",billund,pescara,
footwear,copenhagen,albizzate,
coachbuilder,fredericia,turin,
musical instruments,middelfart,mondaino,
diesel engines,hørsholm,cento,
"food, pasta",aarhus,torre annunziata,
motorbikes,allerød,coriano,
construction,lynge,milan,
bicycles,ledøje-smørum,rossano veneto,
fashion,hvidovre,milan,
coachbuilder,odolena voda,rho,
pharmaceuticals,prague,bresso,
amusement rides,prague,vicenza,
"appliances, part of electrolux (sweden)",prague,pordenone,
private bank,prague,riga,
wind tunnels,české budějovice,sigulda,
national airline,české budějovice,riga,
shipping,prague,riga,
terminal,prague,ventspils,
"bank, defunct 1995",uherský brod,riga,
central bank,prague,riga,
record label,prague,riga,
brewery,prague,cēsis,
bank,prague,riga,
armored vehicles,prague,riga,
daily newspaper,prague,riga,
coffee chain,prague,riga,
computers and electronics,prague,riga,
"automotive, defunct 1940",prague,riga,
defunct 2013,studenec,riga,
pharmaceutical,brno,riga,
cargo airline. defunct 2012,jablonec nad nisou,riga,
mobile phone designer,karlovy vary,riga,
confectionery,velešín,riga,
telecom and isp,brno,riga,
electrical utility,nový hrádek,riga,
gsm,prague,riga,
shipping,ostrava,riga,
beverages,prague,riga,
natural gas,prague,riga,
"bank, defunct 2011",jablonec nad nisou,riga,
postal service,prague,riga,
record label,přerov,riga,
bank,prague,riga,
pharmaceutical,karlovy vary,olaine,
bank,prague,riga,
"bank, part of privatbank (ukraine)",ostrava,riga,
airline,hradec králové,riga,
bank,plzeň,riga,
"vehicles, defunct 1998",jablonec nad nisou,riga,
general retail and supermarkets,nové město na moravě,riga,
"automobiles, defunct 1923",brno,riga,
microwave data equipment,krušovice,riga,
bank,nové sedlo,riga,
trading cards and stickers,plzeň,riga,
airline,plzeň,mārupe,
"electronics, defunct 1999",prague,riga,
fertilizer,brno,jonava,
brewery,prague,alytus,
retail clothing,kopřivnice,vilnius,
"charter airline, defunct 2013",prague,vilnius,
aviation support,kolín,vilnius,
aviation leasing and support,třinec,vilnius,
cargo airline,prague,vilnius,
charter airline,české budějovice,vilnius,
shipyard,prague,klaipėda,
bicycles,prague,šiauliai,
restaurant chain,brno,vilnius,
airline,prague,karmėlava,
ceramic tile,nicosia,vilnius,
laser manufacturing,larnaca,vilnius,
brewery,limassol,šiauliai,
brewery,nicosia,panevėžys,
"natural gas, part of lietuvos energija",larnaca,vilnius,
power,nicosia,vilnius,
postal service,nicosia,vilnius,
retail chain,nicosia,vilnius,
charter airline,limassol,vilnius,
distillery,nicosia,kaunas,
brewery,limassol,vilnius,
telecom,limassol,vilnius,
commercial bank,nicosia,kaunas,
retail chain,limassol,vilnius,
brewery,nicosia,kaunas,
investments,larnaca,vilnius,
bank,nicosia,munsbach,
"steel, merged into arcelormittal 2006",nicosia,luxembourg city,
steel,nicosia,luxembourg city,
electronic office equipment,paphos,luxembourg city,
bank,nicosia,luxembourg city,
bank,nicosia,luxembourg city,
bank,limassol,leudelange,
bank,nicosia,luxembourg city,
"investments, financial services",nicosia,luxembourg city,
brewery,nicosia,bascharage,
supermarkets,nicosia,bereldange,
cargo airline,nicosia,sandweiler,
electrical and gas distribution,nicosia,strassen,
central bank,nicosia,luxembourg city,
healthcare,nicosia,luxembourg city,
industrial manufacturing,nicosia,mamer,
luxury restaurants and clubs,limassol,luxembourg city,
private equity,nicosia,luxembourg city,
publishing,nicosia,luxembourg city,
insurance,peristerona,luxembourg city,
"financials, construction, hotels",nicosia,luxembourg city,
investments,limassol,howald,
eyewear,nicosia,luxembourg city,
bank,nicosia,luxembourg city,
investments,nicosia,luxembourg city,
newspaper,nicosia,luxembourg city,
"airline, defunct 1990",limassol,luxembourg city,
luxury brands holding,guernsey,luxembourg city,
airline,nicosia,sandweiler,
animation studio,nicosia,doncols,
primary exchange,limassol,luxembourg city,
financial holdings,limassol,leudelange,
animation,limassol,howald,
brewery,larnaca,luxembourg city,
real estate,nicosia,capellen,
telecommunications,paphos,luxembourg city,
"radio, defunct 1992",nicosia,luxembourg city,
workplace design,limassol,luxembourg city,
investments,nicosia,luxembourg city,
gas valves,nicosia,lintgen,
media group,paphos,kirchberg,
publisher,nicosia,luxembourg city,
satellite operator,nicosia,betzdorf,
bank,nicosia,luxembourg city,
national railway,pafos,luxembourg city,
"charter airline, defunct 2012",paphos,luxembourg city,
streaming media,paphos,luxembourg city,
"aviation, hospitality",larnaca,luxembourg city,
cinema chain,nicosia,luxembourg city,
cargo airline,limassol,bertrange,
airline,nicosia,luqa,
bank,limassol,swatar,
bank,nicosia,santa venera,
central bank,nicosia,valletta,
winery,nicosia,valletta,
"telephone, dsl",strovolos,marsa,
"bank, part of hsbc (uk)",nicosia,valletta,
bank,nicosia,valletta,
post,nicosia,marsa,
airline,ayia napa,luqa,
mass media publisher,larnaca,pietà,
"internet, telecom",nicosia,birkirkara[1],
gambling,nicosia,st julian's,
production,nicosia,marsa,
magazine,nicosia,valletta,
brewery,nicosia,birkirkara,
gambling,nicosia,gżira,
part of monaco telecom,rijeka,luqa,
"installations, climate controls",zagreb,utrecht,
,zagreb,utrecht,
bank,omišalj,amsterdam,
payment processor,opatija,amsterdam,
bicycles,rovinj,heerenveen,
life insurance,zagreb,the hague,
food retailer,zagreb,zaandam,
"chemicals, paints, coatings",zagreb,amsterdam,
"brewery, part of heineken international",dubrovnik,zoeterwoude,
part of maersk (denmark),zagreb,the hague,
tires,zagreb,amsterdam,
engineering consultancy,split,amsterdam,
photolithography equipment,zagreb,veldhoven,
bank,split,the hague,
trade credit insurances,čakovec,amsterdam,
confectionery retailer,koprivnica,veenendaal,
startch,zagreb,veendam,
brewery,zagreb,lieshout,
furniture,zagreb,uden,
online news platform,zagreb,utrecht,
travel website,zagreb,amsterdam,
online auction,zagreb,amsterdam,
development company,zagreb,amsterdam,
defunct 2013,zagreb,amsterdam,
airline,zagreb,lijnden,
part of paccar (us),zagreb,eindhoven,
shipbuilder,zagreb,gorinchem,
shipping,zagreb,breda,
sports cars,buje,lelystad,
"coffee, tea",zagreb,utrecht,
nutrition,slavonski brod,heerlen,
messaging,zagreb,amsterdam,
publisher,split,amsterdam,
television,zagreb,amsterdam,
financial software,zagreb,delft,
investment firm,zagreb,amsterdam,
luxury yacht manufacturer,zagreb,haarlem,
sensors for motion control,zagreb,heerlen,
dairy,zagreb,amersfoort,
surveyors,zagreb,leidschendam,
logistics,zagreb,amsterdam,
brewery,zagreb,enschede,
part of sony interactive entertainment (us),zagreb,amsterdam,
clothing,zagreb,amsterdam,
support services,ozalj,leiden,
brewery,zagreb,amsterdam,
variety and housewares,zagreb,amsterdam,
font software,vodnjan,de bilt,
travel website,zagreb,groningen,
lingerie and nightwear,zagreb,hilversum,
window blindings,zagreb,rotterdam,
home goods,zagreb,leiden,
financial services,zagreb,amsterdam,
,rijeka,schiphol-rijk,
"telecom, isp",zagreb,amsterdam,
food retailer,zagreb,veghel,
online food ordering,karlovac,amsterdam,
part of air france-klm (france),osijek,amstelveen,
auditors,bjelovar,amstelveen,
telecom,zagreb,the hague,
all-terrain automotive,split,best,
car lease,zagreb,amsterdam,
electrical distributor,kraljevica,arnhem,
alcoholic beverages,zagreb,amsterdam,
airline,zagreb,schiphol-oost,
state railways,ploče,utrecht,
supplier of parts for japanese and korean cars,zagreb,amsterdam,
part of danone (france),zagreb,amsterdam,
"electricity, gas, heat",zagreb,amsterdam,
semiconductors and electronics,zagreb,eindhoven,
"copiers, printers",kutina,venlo,
confectionary,gospić,lainate/breda,
electronics,zagreb,eindhoven,
postal services,zagreb,the hague,
part of naspers (south africa),split,amsterdam,
parking garages,koprivnica,maastricht,
financial services,rijeka,utrecht,
hr consulting,zagreb,diemen,
construction,sveta nedelja,bunnik,
marine construction,zagreb,papendrecht,
"manufacturing, defunct 2015",zagreb,gouda,
operator of airports and airport terminals,zagreb,schiphol,
marine engineering and construction,split,rotterdam,
oil systems and services,zagreb,schiedam,
radio-controlled cars,zagreb,heemstede,
trading,zagreb,utrecht,
food retailer,zagreb,amsterdam,
automotive,zagreb,zeewolde,
aerospace support,zagreb,naarden,
"television, social media, multimedia",pula,hilversum,
telecom,zagreb,amsterdam,
"mobile, part of kpn",zagreb,alphen aan den rijn,
part of thales group (france),rijeka,hengelo,
accounting,varaždin,amsterdam,
part of postnl,virovitica,hoofddorp,
navigation software,zagreb,amsterdam,
confectionery,zagreb,amsterdam,
airline,zagreb,schiphol-oost,
bank,zagreb,zeist,
computer peripherals,zagreb,dordrecht,
airline,sofia,schiphol-rijk,
luxury yacht manufacturer,sofia,heerenveen,
bus manufacturing,sofia,valkenswaard,
part of vdl groep,kazanlak,born,
staffing,panagyurishte,amsterdam,
,pazardzhik,amsterdam,
publisher,sofia,haarlem,
commodity trading,sofia,rotterdam,
joint venture between liberty global (us) and vodafone (uk),sofia,maastricht,
construction,sofia,amersfoort,
pipes,sofia,zwolle,
clothing,sofia,utrecht,
application frameworks,sofia,amsterdam,
publisher and information services,sofia,alphen aan den rijn,
clothing,sofia,alphen aan den rijn,
video games,sofia,warsaw,
sportswear and casual wear products,sofia,wieliczka,
mining,sofia,turek,
"newspapers, advertising, cinemas, radio",sofia,warsaw,
online auction hosting,sofia,poznań,
,sofia,warsaw,
household appliances,sofia,wronki,
financial software,sofia,rzeszów,
universal bank,sofia,warsaw,
universal bank,sofia,warsaw,
"brewery, part of lvmh (france)",sofia,żyrardów,
coal mine,sofia,bełchatów,
supermarkets,pirdop,kostrzyn,
furniture,sofia,biłgoraj,
salt mine,sofia,bochnia,
coal mine,sofia,lublin voivodeship,
"components for the car industry, chemical materials",sofia,boryszew,
learning software,sofia,kraków,
brewery,sofia,łomża,
"brewery, part of carlsberg group (denmark)",sofia,warsaw,
video games,sofia,warsaw,
high-end chemical products,sofia,łódź,
software house,ruse,kraków,
supermarkets,sofia,krotoszyn,
"chocolates, cakes and snacks",sofia,warsaw,
brewery,sofia,elbląg,
holding company,sofia,warsaw,
power generation,plovdiv,poznań,
telecommunications software,shumen,łódź,
supermarkets,sofia,komorniki,
railroad vehicles,sofia,chrzanów,
defunct 1992,sofia,bielsko-biała,
,sofia,warsaw,
general manufacturing,plovdiv,kraśnik,
industrial chains,sofia,katowice,
copper and silver mine,sofia,gaworzyce,
natural gas transmission,varna,warsaw,
copper and silver mine,burgas,polkowice,
"fertilizers, plastics, pigments",sofia,tarnów,
oil production and refining,sofia,gdańsk,
coal mine,sofia,gubin,
coal mine,sofia,ruda śląska,
frozen foods and fruit drinks,sofia,warsaw,
"bank, part of ing group (netherlands)",sofia,katowice,
make-up products,blagoevgrad,przemyśl,
"courier, package delivery and express mail service",ruse,kraków,
media conglomerate,sofia,warsaw,
department stores,sofia,warsaw,
coal mines,sofia,jastrzębie-zdrój,
construction company,sofia,warsaw,
copper and silver mine,sofia,lubin,
television,sofia,warsaw,
salt mines,sofia,kłodawa,
"brewery, part of asahi breweries (japan)",sofia,poznań,
coal mine,sofia,katowice,
"brewery, part of kompania piwowarska",sofia,poznań,
iron and steel production,varna,warsaw,
help desk software,svilengrad,wrocław,
"airline, flag carrier",sofia,warsaw,
retail chain,karlovo,gdańsk,
food and drink,zaventem,wadowice,
part of vue,ghent,warsaw,
telecom networks,antwerp,warsaw,
brewery,liege,brzesko,
merged with cd projekt in 2011[3],brussels,warsaw,
"telecom, part of orange s.a. (france)",brussels,warsaw,
railway vehicles,mortsel,bydgoszcz,
natural gas,brussels,warsaw,
oil refiner,hove,płock,
mobile provider,ghent,warsaw,
mobile provider,leuven,warsaw,
postal service,antwerp,warsaw,
broadcaster,antwerp,warsaw,
state railways,liège,warsaw,
"television, part of telewizja polsat",ronse,warsaw,
state power,aalter,warsaw,
shipping,brussels,szczecin,
bank,kortrijk,warsaw,
insurance,brussels,warsaw,
agricultural mchinery,wielsbeke,narew,
public transportation,brussels,białystok,
passenger rail,kortrijk,warsaw,
power,leuven,konstancin-jeziorna,
food,brussels,pudliszki,
i/t,brussels,warsaw,
department stores and toys,brussels,warsaw,
bus manufacturer,brussels,bolechowo,
video games,seraing,wrocław,
cable manufacturer,louvain-la-neuve,bydgoszcz,
public broadcasting,turnhout,warsaw,
"mobile network, part of deutsche telekom (germany)",eeklo,warsaw,
"tv channel, part of tvn group",zedelgem,warsaw,
"tv channel, part of tvn group",brussels,warsaw,
"media group, includes tvn",halle,warsaw,
juice and beverage,antwerp,tymbark,
tractors,antwerp,lublin,
brewery holding,mechelen,rakszawa[5],
"former salt mine, now attraction",hooglede,wieliczka,
trailers,brussels,wieluń,
grocery,zwijndrecht,poznań,
"firearms, weapons",brussels,tarnów,
brewery,ghent,białystok,
brewery,malle,żywiec,
paper,brussels,porto,
office supplies,malle,porto,
bank,seraing,porto,
pharma,liège,trofa,
state bank,antwerp,lisbon,
public transportation,brussels,lisbon,
brewery,wavre,vila franca de xira,
"semiconductor, defunct 2009",brussels,oeiras,
port wine,brussels,porto,
software,turnhout,coimbra,
cement,brussels,lisbon,
motorcycling helmets,sint-niklaas,anadia,
publisher,leuven,porto,
passenger rail,liège,lisbon,
fish & cannedfish,ghent,matosinhos,
"supermarket, part of sonae",aalst,matosinhos,
cork,beerse,santa maria da feira[11],
software,roeselare,coimbra,
postal services,antwerp,lisbon,
coffee,brussels,campo maior,
electronics,brussels,matosinhos,
electrical generation,ghent,lisbon,
arms,ghent,lisbon,
natural gas distribution,meulebeke,lisbon,
software developer,charleroi,lisbon,
"health care, energy, logistics",leuven,lisbon,
engineering,leuven,marinha grande,
"television, publisher",beerse,oeiras,
food retail,ostend,lisbon,
"dairy, water",brussels,porto,
plastic,brussels,cascais,
construction,gerpinnes,oliveira de frades,
media distribution,balen,oeiras,
pharma,leuven,lisbon,
mobile provider,turnhout,lisbon,
bank,brussels,lisbon,
engineering and infrastructure,brussels,porto,
video games,liège,cascais,
telecom,duffel,lisbon,
information technology,brussels,lisbon,
bank,paal,lisbon,
supermarket chain,péruwelz,lisbon,
publisher,leuven,porto,
"telecommunications, part of altice (netherlands)",oostrozebeke,lisbon,
specialist enterprise software,brussels,lisbon,
state media,brussels,lisbon,
electrical distribution,brussels,lisbon,
paper,turnhout,torres novas,
"telecom, isp",tienen,lisbon,
"cement, paper",mechelen,lisbon,
manufacturing,brussels,oliveira de azeméis,
construction,waregem,porto,
"television, part of impresa",zaventem,lisbon,
part of sonae,mechelen,maia,
"retail, financials, industrials, telecom",leuven,maia,
agribusiness,brussels,oeiras,
"food and beverage, merger of sumolis and compal",antwerp,oeiras,
"cigarettes, part of philip morris international (us)",zaventem,lisbon,
airline,brussels,lisbon,
broadcaster,brussels,oeiras,
paper,brussels,setúbal,
insurance,brussels,lisbon,
health publisher,brussels,lisbon,
metal works,turnhout,lisbon,
brewery,koningshooikt,matosinhos,
"student accommodation platform, travel, real estate",antwerp,lisbon,
"telecommunications, travel, industrials, real estate",brussels,viseu,
porcelain,gavere,ílhavo,
magazines and newspapers,brussels,bucharest,
supermarket chain,antwerp,buftea,
research and drug manufacturing,ghent,iași,
porcelain,liège,alba iulia,
appliances,brussels,găești,
car manufacturer,vienna,mioveni,
"bank and financial services, part of erste group (austria)",klagenfurt,bucharest,
bank,rottenmann,cluj-napoca,
airline,ried im innkreis,bucharest,
"bank, majority owned by société générale (france)",premstätten,bucharest,
railways,graz,bucharest,
hotel holdings,altenmarkt im pongau,bucharest,
hypermarkets,vienna,bacău,
food producer,braunau am inn,ștei,
cosmetics,vienna,cluj-napoca,
"automotive, part of ford otosan (türkiye)",schwechat,craiova,
cad software,eggelsberg,bucharest,
railways and rolling stock,vienna,bucharest,
media,klosterneuburg,bucharest,
clothing and accessories,vienna,cluj-napoca,
"shipyard, part of damen group (netherlands)",waidhofen an der ybbs,mangalia,
"supermarkets, part of delhaize group (belgium)",vienna,bucharest,
passenger metro,wiener neudorf,bucharest,
furniture retailer,vienna,bucharest,
"food processor, part of frieslandcampina (netherlands)",vienna,cluj-napoca,
"mobile network, founded as ""dialog"". part of orange s.a. (france)",vienna,bucharest,
"integrated oil and gas, part of omv (austria)",vienna,bucharest,
"refinery, part of rompetrol",vienna,năvodari,
postal administration,klagenfurt,bucharest,
"bank, part of raiffeisen bank international (austria)",traun,bucharest,
telecom,vienna,bucharest,
print and broadcast,wiener neustadt,bucharest,
private passenger rail,amstetten,brașov,
truck and bus manufacturer,wolfurt,brașov,
part of kmg international,vienna,bucharest,
sanitary supplies,vienna,bucharest,
"telecom, defunct 2014",linz,bucharest,
business software,ried im innkreis,bucharest,
information software,vienna,bucharest,
anti-virus software,jenbach,bucharest,
flag carrier,linz,otopeni,
home electronics,vienna,iaşi,
"founded as romtelecom, part of deutsche telekom (germany)",deutsch-wagram,bucharest,
pharma,vienna,cluj-napoca,
"financials, retail, real estate, media, construction",höchst,bucharest,
railways,vienna,cluj-napoca,
file sharing,vienna,cluj-napoca,
"game developer, part of ubisoft (france)",vienna,bucharest,
"telecom, part of liberty global (us)",vienna,bucharest,
"brewery, part of asahi breweries (japan)",mattighofen,bucharest,
"technology, construction, defense",lenzing,bucharest,
"founded as connex gsm, part of vodafone (uk)",vienna,bucharest,
"pharma, part of sanofi (france)",graz,bucharest,
"airline, defunct 2010",graz,bratislava,
defense manufacturing,vienna,detva,
infrastructure construction,vienna,bratislava[11],
commercial electronics,schwechat,prešov,
it security,vienna,bratislava,
glass products,floridsdorf,medzilaborce,
"commercial bank, defunct 2009",vienna,bratislava,
investments,vienna,bratislava,
real estate development,vienna,bratislava,
vacuum tubes,vienna,čadca,
commercial bank,vienna,bratislava,
"tires, part of continental ag (germany)",salzburg,púchov,
ferroalloys,lauterach,istebné,
"mobile network, part of orange s.a. (france)",vienna,bratislava,
investments,breitenwang,bratislava,
commercial bank,graz,bratislava,
"brewery, part of asahi breweries (japan)",vienna,veľký šariš,
"airline, defunct 2007",fuschl am see,bratislava,
"telecom, part of deutsche telekom (germany)",vienna,bratislava,
aluminum,leonding,žiar nad hronom,
music publisher,gunskirchen,bratislava,
state-owned post,pasching,banská bystrica,
"commercial bank, part of erste group (austria)",vienna,bratislava,
"electric utility, part of enel (italy)",grödig,bratislava,
natural gas,sankt ulrich bei steyr,bratislava,
"oil refining, part of mol group (hungary)",sankt ulrich bei steyr,bratislava,
off-line navigation,floridsdorf,bratislava,
"commercial bank, part of raiffeisen bank international (austria)",vienna,bratislava,
"mobile network, part of ppf (netherlands)",klagenfurt,bratislava,
"brewery, part of asahi breweries (japan)",wattens,veľký šariš,
oil transport,vienna,bratislava,
"steel, part of u.s. steel (us)",vienna,košice,
"railway, shipping containers",vienna,trebišov,
state-owned railway,graz,bratislava,
"brewery, part of heineken international (netherlands)",vienna,hurbanovo,
"internet, software development",vienna,ljubljana,
"national airline, defunct 2019",vienna,zgornji brnik,
motorhomes,linz,novo mesto,
automotive,vienna,ivančna gorica,
sport and fashion footwear,dornbirn,žiri,
language technology,,kamnik,
internet service provider,,maribor,
retail complex,,ljubljana,
sports equipment,,begunje na gorenjskem,
"tires, part of goodyear tire and rubber company (us)",,kranj,
household appliances and personal electronics,,velenje,
defunct 1990,,kranj,
"food and beverage, financials, travel & leisure, energy",,koper,
pharmaceuticals,,novo mesto,
heavy machinery,,ljubljana,
airport,,ljubljana,
supermarkets,,ljubljana,
mobile provider,,ljubljana,
oil retailer,,ljubljana,
port,,koper,
postal service,,maribor,
state railway,,ljubljana,
"construction, civil engineering, defunct 2015",,ljubljana,
"airline, part of mng airlines (turkey)",,ljubljana,
"mopeds, motors, defunct 2019",,koper,
software development,,ljubljana,
video games,,ljubljana,
api management software,,barcelona[3],
"energy, telecommunications, transportation, environment",,seville,
"transportation, telecommunications, logistics",,barcelona,
construction,,alcobendas,
steel,,madrid,
construction,,madrid,
"collectibles, defunct",,madrid,
video game developer,,barcelona,
pharmaceutical,,barcelona,
travel and tourism software,,madrid,
"shipbuilding, defunct 2004",,fene,
entertainment,,san sebastián de los reyes,
"appliances, part of bsh hausgeräte (germany)",,zaragoza,
banking group,,bilbao,
banking,,madrid,
banking,,sabadell,
"banking, largest bank in europe as of fall 2008[4]",,santander,
"banking, part of banco santander",,madrid,
banking,,madrid,
textiles,,vic,
"bolsas y mercados españoles, exchange",,madrid,
media,,alcobendas,
hospitality,,barcelona,
"dairy, water",,madrid,
drone manufacturer,,moià,
"confectionery, part of perfetti van melle (italy)",,barcelona,
"automotive components, alternative propulsion, biodiesel",,bilbao,
infrastructure,,madrid,
"petroleum, owned by mubadala investment company (uae)",,madrid,
"pipelines, transportation and storage of oil products",,madrid,
"aeronautics, defunct 1999, absorbed into eads/airbus",,madrid,
railway vehicles & equipment manufacturing,,beasain,
construction contracting,,barcelona,
postal service,,madrid,
clothing retailer,,madrid,
part of seat,,martorell,
biopharmaceutical,,cádiz,
food processing,,córdoba,
groceries,,las rozas,
food processing,,madrid,
"manufacturing; nissan motors took complete control of motors iberica, ebro trucks umbrella company, in 1987",,barcelona,
groceries,,madrid,
natural gas distribution & transportation,,madrid,
"energy, part of enel (italy)",,madrid,
"groceries, part of mondragon corporation",,elorrio,
fibre optics,,derio,
"appliances, defunct 2013, owns the brands edesa, aspes, mastercook, brandt and de dietrich, part of mondragon corporation",,mondragón,
construction,,madrid,
watches,,barcelona,
"industrials, financials",,madrid[5],
construction,,barcelona,
renewable energy,,zamudio,
"natural gas distribution & transportation, power generation",,madrid,
"aeronautics, financials, defense & security, health care, information security, transportation, telecommunications",,tres cantos,
"manufacturing, defunct 2008",,málaga,
"water services, distribution, treatment",,barcelona,
automotive interiors,,burgos,
"food, fishing",,carballo,
oil & gas distribution,,murcia,
mattresses,,granada,
mortars and adhesives,,madrid,
brewery,,a coruña,
groceries,,madrid,
energy,,bilbao,
flag carrier airline,,madrid,
mobile phone chargers,,barcelona,
food processing,,barcelona,
"world's largest clothing retailer[6] and owns brands like zara, massimo dutti, bershka, pull and bear, oysho, zara home, often and stradivarius",,arteixo,
"aeronautics, defence",,madrid,
real estate,,madrid,
bus manufacturing,,ormaiztegi,
clothing,,portillo de toledo,
retail,,elche,
banking,,valencia,
"groceries, part of cadbury (uk)",,madrid,
confectionery,,zaragoza,
handcraft,,tavernes blanques,
food,,murcia,
brewery,,madrid,
pearls,,palma,
clothing retail,,palau-solità i plegamans,
insurance,,majadahonda,
cloud services,,barcelona,
broadcasting,,madrid,
hotels,,palma,
groceries,,tavernes blanques,
"includes orbea, eroski, fagor and irizar",,mondragón,
insurance non-profit,,madrid,
"manufacturing, part of newell brands (us)",,vitoria-gasteiz,
"consumer goods, pharmaceuticals",,valencia,
"shipbuilding, defence ships",,madrid,
hotel chain,,madrid,
"shipbuilding, ship repair",,bueu,
construction,,madrid,
bicycles,,mallabia,
entertainment,,ibiza,
"food, fishing",,redondela,
publishing,,barcelona,
manufacturing,,villarreal,
broadcasting,,tres cantos,
media,,barcelona,
multinational security,,madrid,
video game developer,,alcobendas,
energy grid,,alcobendas,
passenger rail,,madrid,
petroleum,,madrid,
state media,,madrid,
hotels,,majorca,
construction,,madrid,
"automotive, defunct 2011",,linares,
"automotive, part of volkswagen group (germany)",,martorell,
construction and engineering,,getxo,
"aeronautics, part of sener",,getxo,
railway vehicles engineering,,las rozas de madrid,
oil and gas infrastructure,,madrid,
"telecom, broadband",,madrid,
pizza chain,,madrid,
internet,,madrid,
building materials,,madrid,
confectionery,,molina de segura,
"electronics, defunct 2008",,málaga,
"mobile network, part of vodafone (uk)",,madrid,
low-cost airline,,barcelona,
"retailer, part of inditex",,arteixo,
entertainment,,madrid,
cell-based biotech,,uppsala,
"vegetable oils, fats",,malmö,
seafood,,gothenburg,
"fishing reels, part of newell brands (us)",,svängsta[5],
it consulting,,stockholm,
podcast streaming software,,stockholm,
fashion,,stockholm,
consulting,,stockholm,
"defunct natural gas, now part of linde ag",,luleå,
retail department stores,,stockholm,
heavy industry,,lund,
industrial separators,,landskrona,
metal forming machinery,,ulricehamn,
state pharma,,stockholm,
mobile services,,stockholm,
3d printing,,mölndal,
"manufacturer, defunct 1988",,västerås,
"robotics, automation",,västerås/zürich,
locks,,stockholm,
"defunct 1999, now merged into astrazeneca (uk)",,södertälje,
industrials,,nacka,
"trucks, part of nissan (japan)",,mölnlycke,
automotive safety,,stockholm,
video games,,stockholm,
stock broker,,stockholm,
"retail holdings, part of axel johnson group",,stockholm,
diversified holdings,,stockholm,
"grocery chain, part of axel johnson ab",,stockholm,
"network cameras, part of canon inc. (japan)",,lund,
"defence, part of bae systems (uk)",,örnsköldsvik,
part of snap-on (us),,enköping,
internet service provider,,stockholm,
ballpoint pens and pencils,,gothenburg,
controllable pitch propellers,,gothenburg,
online gambling,,stockholm,
part of ge healthcare (us),,uppsala,
paper,,solna,
office supplies,,stockholm,
probiotic,,stockholm,
fashion,,stockholm,
arms,,karlskoga,
shipyard,,lidingö,
mining,,stockholm,
"defunct, now a part of volvo construction equipment",,eskilstuna,
flooring,,malmö,
media group,,stockholm,
airline,,malmö,
"triple play services, part of telenor (norway)",,stockholm[8],
toys,,malmö,
investments,,stockholm,
air filtration,,stockholm,
financial services,,stockholm,
state gambling operator,,stockholm,
personal health care,,upplands väsby,
clothing,,stockholm,
hardware stores,,insjön,
musical instruments,,stockholm,
chocolate,,stockholm,
wireless security,,stockholm,
triple play services,,stockholm,
"merged into tele2, retained as a brand",,stockholm,
"retail chain, defunct 2008",,stockholm,
investments,,malmö,
telecommunications,,stockholm,
"computer division of saab, defunct",,linköping,
farm machines,,tumba,
ferry line,,visby,
research,,stockholm,
"shipyard, part of saab group since 2017",,docksta,
"iron, part of ssab",,borlänge,
telecom products,,malmö,
games,,nacka,
video games,,stockholm,
printing,,mölnlycke,
appliances,,stockholm,
radiation therapy,,stockholm,
synthesizers,,gothenburg,
shelving,,malmö,
e-commerce,,borås,
information technology,,kista,
"directory, search services",,stockholm,
global royalty-free soundtrack,,stockholm,
communication technology,,stockholm,
"welding, part of colfax corporation (us)",,gothenburg,
state power,,eskilstuna,
"office products, part of j.w. childs associates (us)",,stockholm,
research,,lund,
lighting,,habo,
video games,,stockholm,
clothing,,stockholm,
outdoor clothing,,örnsköldsvik,
ship design,,uddevalla,
"rural bank, defunct 1997",,stockholm,
currency exchange,,stockholm,
video games,,helsingborg,
golf clothing,,växjö,
"ice cream, subsidiary of unilever (uk and the netherlands)",,stockholm,
swedish superstore,,falkenberg,
medical technology,,gothenburg,
"steel buildings, defunct 2005. merged into skanska",,hässleholm,
state logistics,,solna,
"consumer goods, industrials",,stockholm,
security,,gothenburg,
retail clothing,,stockholm,
outdoor equipment,,torsång,
musical instruments,,älvdalen,
automotive parts,,landskrona,
sailing yachts,,ellös,
bank,,stockholm,
cameras,,gothenburg,
beds,,köping,
gloves,,hestra,
metrology,,stockholm,
industrial communications,,halmstad,
powdered metals,,höganäs,
paper,,stockholm,
motorcycles,,mattighofen,
commercial tools,,stockholm,
"lifts and cranes, part of cargotec (finland)",,hudiksvall,
software,,uppsala,
retailing group,,stockholm,
software,,linköping,
bank,,malmö,
software,,uppsala,
railways,,solna,
data security,,stockholm,
