01-DDD-datejoined,04-iGMM-datejoined
3/8/2018,2/17/2021
12/21/2020,3/25/2021
6/17/2021,3/26/2021
2/15/2022,4/13/2021
4/27/2021,4/27/2021
10/6/2020,4/29/2021
5/5/2021,5/7/2021
11/11/2019,6/24/2021
6/16/2021,7/1/2021
6/12/2019,7/13/2021
2/23/2022,7/21/2021
6/15/2021,8/3/2021
2/22/2018,5/18/2021
7/28/2021,8/31/2021
10/6/2021,9/13/2021
4/12/2022,9/28/2021
11/1/2018,10/13/2021
12/10/2021,11/10/2021
5/25/2021,12/7/2021
12/1/2021,12/7/2021
10/8/2019,12/2/2021
4/23/2019,12/9/2021
8/17/2020,1/12/2022
9/24/2020,1/12/2022
9/9/2015,1/31/2022
8/24/2021,2/8/2022
10/27/2015,2/9/2022
8/18/2020,2/22/2022
6/1/2021,4/12/2022
6/1/2021,4/7/2022
4/19/2022,5/17/2022
8/26/2020,7/15/2022
3/25/2021,7/18/2022
5/4/2021,9/19/2022
4/29/2021,12/9/2021
7/15/2020,1/1/2016
6/1/2021,3/27/2019
5/19/2021,7/20/2017
5/1/2020,1/14/2019
5/6/2019,2/11/2021
2/21/2017,6/15/2021
8/20/2015,9/15/2018
8/6/2019,4/29/2022
4/15/2022,7/13/2015
3/31/2021,12/10/2020
3/30/2022,6/16/2021
9/15/2021,9/16/2021
1/27/2021,10/6/2021
2/16/2022,2/8/2022
3/16/2022,12/16/2019
10/12/2021,8/10/2022
3/9/2022,7/27/2021
8/20/2021,3/1/2022
8/13/2021,6/14/2022
3/7/2022,9/27/2022
2/23/2022,4/21/2022
4/28/2021,3/20/2014
12/16/2021,10/7/2015
6/23/2021,4/14/2016
2/25/2021,8/15/2016
8/23/2017,5/16/2019
6/9/2021,5/21/2019
8/25/2021,1/9/2020
9/9/2021,11/12/2020
10/24/2022,1/14/2021
11/30/2017,2/8/2021
8/3/2021,3/9/2021
11/17/2020,3/30/2021
4/20/2018,5/20/2021
4/9/2018,6/2/2021
3/1/2021,6/22/2021
3/22/2021,10/12/2021
9/13/2021,5/23/2022
4/5/2022,5/24/2022
5/17/2021,8/11/2021
10/17/2019,9/15/2021
2/23/2021,9/15/2021
4/28/2020,10/13/2021
4/14/2015,10/18/2021
6/30/2021,10/28/2021
11/29/2021,11/16/2021
2/22/2022,11/30/2021
7/5/2021,11/30/2021
5/30/2018,12/20/2021
8/24/2022,12/28/2021
7/13/2021,1/13/2022
5/13/2021,2/22/2022
6/22/2021,2/22/2022
6/9/2022,3/15/2022
12/8/2022,3/31/2022	
9/14/2021,4/6/2022
5/20/2019,5/3/2022
12/18/2018,5/17/2022
