01-DDD-valuation,04-iGMM-valuation
doll_1.4b,doll_1.9
doll_1.3b,doll_1.9
doll_1.4b,doll_1.9
doll_1.4b,doll_1.94
doll_1.4b, doll_1.94 
doll_1.4b,doll_1.9
doll_1.4b,doll_1.9
doll_1.4b,doll_1.87
doll_1.4b,doll_1.85
doll_1.4b,doll_1.83
doll_1.4b,doll_1.85
doll_1.4b,doll_1.8
doll_1.4b,doll_1.8
doll_1.4b,doll_1.8
doll_1.4b,doll_1.8
doll_1.4b,doll_1.8
doll_1.42b,doll_1.8
doll_1.4b,doll_1.79
doll_1.45b,doll_1.78
doll_1.45b,doll_1.75
doll_1.43b,doll_1.75
doll_1.47b,doll_1.75
doll_1.45b,doll_1.8
doll_1.49b,doll_1.73
doll_1.43b,doll_1.7
doll_1.48b,doll_1.7
doll_1.46b,doll_1.7
doll_1.48b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.69
doll_1.5b,doll_1.66
doll_1.45b,doll_1.66
 doll_1.50 b,doll_1.6
doll_1.45b,doll_1.7
 doll_1.50 b,doll_1.7
doll_1.44b,doll_1.7
doll_1.45b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.7
doll_1.5b,doll_1.65
doll_1.5b,doll_1.65
doll_1.5b,doll_1.62
doll_1.5b,doll_1.62
doll_1.5b,doll_1.7
doll_1.5b,doll_1.61
doll_1.5b,doll_1.65
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_2.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.36
doll_1.5b,doll_1.36
doll_1.5b,doll_1.5
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.7
doll_2b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.6
doll_1.5b,doll_1.59
doll_1.5b,doll_1.58
doll_1.5b, doll_1.57 
doll_1.5b, doll_1.57 
doll_1.5b,doll_1.55
doll_1.5b,doll_1.55
doll_1.5b,doll_1.55
doll_1.5b,doll_1.55
doll_1.5b,doll_1.55
doll_1.5b,doll_1.53
doll_1.5b,doll_1.52
doll_1.5b,doll_1.52
doll_1.5b,doll_1.51
doll_1.5b,doll_1.5
doll_1.52b,doll_1.5
doll_1.5b,doll_1.5
doll_1.5b,doll_1.5
doll_1.55b,doll_1.5
 doll_1.57 b,doll_1.5
doll_1.55b,doll_1.5
doll_1.53b,doll_1.5
 doll_1.57 b,doll_1.5
doll_1.52b,doll_1.5
doll_1.58b,doll_1.5
doll_1.55b,doll_1.5
doll_1.55b,doll_1.5
doll_1.59b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.55b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.36b,doll_1.5
doll_1.6b,doll_2
doll_1.6b,doll_1.5
doll_1.7b,doll_1.5
doll_1.6b,doll_1.5
doll_1.5b,doll_1.5
doll_1.6b,doll_1.5
doll_1.36b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_2.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.6b,doll_1.5
doll_1.7b,doll_1.5
doll_1.62b,doll_1.5
doll_1.65b,doll_1.5
doll_1.62b,doll_1.5
doll_1.65b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.66b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.61b,doll_1.5
doll_1.7b,doll_1.5
doll_1.6b,doll_1.5
doll_1.65b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b,doll_1.5
doll_1.7b, doll_1.50 
doll_1.7b, doll_1.50 
