07-silvestri-employees_2020,03-gren-employees_number_2020,01-DDD-number_of_employees_2020
34.0,34.0,34
15.0,15.0,15
55.0,55.0,55
6.0,6.0,6
16.0,16.0,16
28.0,28.0,28
75.0,75.0,75
18.0,18.0,18
14.0,14.0,14
141.0,141.0,141
30.0,30.0,30
161.0,161.0,161
57.0,57.0,57
,,none
25.0,25.0,25
3.0,3.0,3
36.0,36.0,36
50.0,50.0,50
46.0,46.0,46
6.0,6.0,6
184.0,184.0,184
12.0,12.0,12
67.0,67.0,67
50.0,50.0,50
17.0,17.0,17
102.0,102.0,102
34.0,34.0,34
23.0,23.0,23
36.0,36.0,36
8.0,8.0,8
287.0,287.0,287
43.0,43.0,43
8.0,8.0,8
72.0,72.0,72
15.0,15.0,15
22.0,22.0,22
5.0,5.0,5
22.0,22.0,22
18.0,18.0,18
178.0,178.0,178
3.0,3.0,3
120.0,120.0,120
16.0,16.0,16
33.0,33.0,33
44.0,44.0,44
29.0,29.0,29
280.0,280.0,280
30.0,30.0,30
43.0,43.0,43
1500.0,1500.0,1500
12.0,12.0,12
19.0,19.0,19
77.0,77.0,77
16.0,16.0,16
371.0,371.0,371
17.0,17.0,17
55.0,55.0,55
38.0,38.0,38
186.0,186.0,186
21.0,21.0,21
35.0,35.0,35
23.0,23.0,23
25.0,25.0,25
183.0,183.0,183
47.0,47.0,47
35.0,35.0,35
15.0,15.0,15
4.0,4.0,4
30.0,30.0,30
40.0,40.0,40
9.0,9.0,9
22.0,22.0,22
2.0,2.0,2
26.0,26.0,26
4.0,4.0,4
395.0,395.0,395
4.0,4.0,4
40.0,40.0,40
73.0,73.0,73
17.0,17.0,17
8.0,8.0,8
47.0,47.0,47
90.0,90.0,90
38.0,38.0,38
269.0,269.0,269
47.0,47.0,47
20.0,20.0,20
16.0,16.0,16
20.0,20.0,20
23.0,23.0,23
47.0,47.0,47
47.0,47.0,47
81.0,81.0,81
9.0,9.0,9
22.0,22.0,22
20.0,20.0,20
14.0,14.0,14
40.0,40.0,40
15.0,15.0,15
23.0,23.0,23
39.0,39.0,39
18.0,18.0,18
27.0,27.0,27
116.0,116.0,116
60.0,60.0,60
600.0,600.0,600
57.0,57.0,57
37.0,37.0,37
36.0,36.0,36
31.0,31.0,31
26.0,26.0,26
39.0,39.0,39
,,none
27.0,27.0,27
32.0,32.0,32
51.0,51.0,51
200.0,200.0,200
48.0,48.0,48
53.0,53.0,53
16.0,16.0,16
24.0,24.0,24
25.0,25.0,25
49.0,49.0,49
130.0,130.0,130
227.0,227.0,227
79.0,79.0,79
13.0,13.0,13
68.0,68.0,68
11.0,11.0,11
4.0,4.0,4
79.0,79.0,79
130.0,130.0,130
456.0,456.0,456
13.0,13.0,13
24.0,24.0,24
37.0,37.0,37
11.0,11.0,11
32.0,32.0,32
54.0,54.0,54
34.0,34.0,34
64.0,64.0,64
32.0,32.0,32
14.0,14.0,14
10.0,10.0,10
71.0,71.0,71
27.0,27.0,27
724.0,724.0,724
35.0,35.0,35
26.0,26.0,26
30.0,30.0,30
31.0,31.0,31
15.0,15.0,15
220.0,220.0,220
59.0,59.0,59
7.0,7.0,7
21.0,21.0,21
12.0,12.0,12
5.0,5.0,5
24.0,24.0,24
20.0,20.0,20
98.0,98.0,98
122.0,122.0,122
121.0,121.0,121
221.0,221.0,221
250.0,250.0,250
105.0,105.0,105
22.0,22.0,22
35.0,35.0,35
15.0,15.0,15
32.0,32.0,32
75.0,75.0,75
20.0,20.0,20
8.0,8.0,8
130.0,130.0,130
20.0,20.0,20
13.0,13.0,13
37.0,37.0,37
70.0,70.0,70
22.0,22.0,22
5.0,5.0,5
21.0,21.0,21
22.0,22.0,22
95.0,95.0,95
27.0,27.0,27
47.0,47.0,47
87.0,87.0,87
730.0,730.0,730
16.0,16.0,16
113.0,113.0,113
50.0,50.0,50
104.0,104.0,104
1.0,1.0,1
34.0,34.0,34
23.0,23.0,23
6.0,6.0,6
39.0,39.0,39
1000.0,1000.0,1000
13.0,13.0,13
9.0,9.0,9
15.0,15.0,15
105.0,105.0,105
25.0,25.0,25
15.0,15.0,15
21.0,21.0,21
10.0,10.0,10
12.0,12.0,12
19.0,19.0,19
791.0,791.0,791
5.0,5.0,5
105.0,105.0,105
22.0,22.0,22
25.0,25.0,25
67.0,67.0,67
12.0,12.0,12
5.0,5.0,5
27.0,27.0,27
45.0,45.0,45
12.0,12.0,12
150.0,150.0,150
53.0,53.0,53
5.0,5.0,5
