08-slytherin-revenue,07-silvestri-revenue_2020,03-gren-revenue_2020_eu,01-DDD-revenue_2020_euro
"31,334,340","2,916,337",2916337.0,"2,916,337"
5.0,"5,355,215",5355215.0,"5,355,215"
37.22,"7,103,702",7103702.0,"7,103,702"
12.22,"8,208,450",8208450.0,"8,208,450"
21.46,"14,597,418",14597418.0,"14,597,418"
4.68,"3,059,130",3059130.0,"3,059,130"
7.51,"12,171,118",12171118.0,"12,171,118"
355.88,"3,403,055",3403055.0,"3,403,055"
4.66,"19,798,875",19798875.0,"19,798,875"
"16,483,836","4,981,938",4981938.0,"4,981,938"
"8,593,220","2,051,370",2051370.0,"2,051,370"
"3,548,132","1,673,382",1673382.0,"1,673,382"
"3,374,120","5,087,783",5087783.0,"5,087,783"
4.7,"2,556,640",2556640.0,"2,556,640"
19.51,"2,720,319",2720319.0,"2,720,319"
2.09,"40,546,000",40546000.0,"40,546,000"
5.07,"3,669,217",3669217.0,"3,669,217"
2.94,"1,994,200",1994200.0,"1,994,200"
25.53,"2,003,989",2003989.0,"2,003,989"
7.30,"1,900,000",1900000.0,"1,900,000"
"3,837,994","2,818,000",2818000.0,"2,818,000"
"8,036,749","18,168,170",18168170.0,"18,168,170"
8.9,"13,816,792",13816792.0,"13,816,792"
18.79,"3,598,050",3598050.0,"3,598,050"
8.72,"12,824,155",12824155.0,"12,824,155"
10.11,"2,306,045",2306045.0,"2,306,045"
18.62,"16,388,546",16388546.0,"16,388,546"
9.96,"3,174,000",3174000.0,"3,174,000"
413.91,"1,914,500",1914500.0,"1,914,500"
2.39,"9,235,946",9235946.0,"9,235,946"
"7,778,203","21,818,000",21818000.0,"21,818,000"
"25,901,607","54,150,622",54150622.0,"54,150,622"
"14,934,485","14,641,523",14641523.0,"14,641,523"
"10,335,899","2,344,440",2344440.0,"2,344,440"
14.4,"15,049,845",15049845.0,"15,049,845"
20.53,"8,900,000",8900000.0,"8,900,000"
11.67,"4,058,269",4058269.0,"4,058,269"
32.75,"2,943,020",2943020.0,"2,943,020"
2.02,"70,179,000",70179000.0,"70,179,000"
1.07,"1,596,167",1596167.0,"1,596,167"
31.80,"2,941,537",2941537.0,"2,941,537"
9.81,"4,989,872",4989872.0,"4,989,872"
19.63,"1,740,660",1740660.0,"1,740,660"
"13,312,033","1,881,768",1881768.0,"1,881,768"
"7,758,091","7,050,124",7050124.0,"7,050,124"
16.4,"16,067,551",16067551.0,"16,067,551"
18.40,"4,640,710",4640710.0,"4,640,710"
4.67,"22,952,660",22952660.0,"22,952,660"
2.11,"26,199,717",26199717.0,"26,199,717"
3.22,"7,264,130",7264130.0,"7,264,130"
4.43,"3,400,580",3400580.0,"3,400,580"
28.14,"5,402,302",5402302.0,"5,402,302"
2.15,"7,825,138",7825138.0,"7,825,138"
"2,133,691","3,004,290",3004290.0,"3,004,290"
"64,223,085","108,500,233",108500233.0,"108,500,233"
"22,532,771","11,218,211",11218211.0,"11,218,211"
3.1,"38,428,858",38428858.0,"38,428,858"
7.17,"2,409,255",2409255.0,"2,409,255"
3.29,"21,793,194",21793194.0,"21,793,194"
140.50,"2,971,846",2971846.0,"2,971,846"
3.23,"2,037,320",2037320.0,"2,037,320"
2.66,"31,396,438",31396438.0,"31,396,438"
95.11,"4,297,790",4297790.0,"4,297,790"
1.11,"15,639,618",15639618.0,"15,639,618"
72.60,"3,396,000",3396000.0,"3,396,000"
"4,752,777","12,468,548",12468548.0,"12,468,548"
"11,662,200","7,342,811",7342811.0,"7,342,811"
"4,959,694","11,067,681",11067681.0,"11,067,681"
12.2,"6,673,050",6673050.0,"6,673,050"
9.00,"5,581,540",5581540.0,"5,581,540"
9.09,"13,085,484",13085484.0,"13,085,484"
5.08,"22,072,700",22072700.0,"22,072,700"
13.53,"1,718,442",1718442.0,"1,718,442"
34.99,"4,266,770",4266770.0,"4,266,770"
1.14,"5,339,538",5339538.0,"5,339,538"
7.96,"3,980,920",3980920.0,"3,980,920"
"7,435,887","22,436,395",22436395.0,"22,436,395"
"4,009,330","12,062,697",12062697.0,"12,062,697"
"13,655,743","28,140,196",28140196.0,"28,140,196"
8.6,"10,802,997",10802997.0,"10,802,997"
54.42,"38,002,441",38002441.0,"38,002,441"
4.47,"3,812,785",3812785.0,"3,812,785"
70.47,"1,514,111",1514111.0,"1,514,111"
14.61,"58,422,800",58422800.0,"58,422,800"
33.79,"1,696,320",1696320.0,"1,696,320"
33.07,"3,019,110",3019110.0,"3,019,110"
418.72,"2,576,602",2576602.0,"2,576,602"
"5,141,555","31,852,584",31852584.0,"31,852,584"
"6,945,000","9,694,310",9694310.0,"9,694,310"
"29,264,500","7,519,236",7519236.0,"7,519,236"
7.6,"2,277,791",2277791.0,"2,277,791"
27.00,"16,089,160",16089160.0,"16,089,160"
80.59,"3,428,464",3428464.0,"3,428,464"
570.89,"19,169,652",19169652.0,"19,169,652"
13.90,"5,512,134",5512134.0,"5,512,134"
1.57,"6,806,664",6806664.0,"6,806,664"
3.62,"3,306,191",3306191.0,"3,306,191"
4.25,"14,674,011",14674011.0,"14,674,011"
16.64,"7,064,900",7064900.0,"7,064,900"
"9,789,240","12,806,965",12806965.0,"12,806,965"
"15,365,580","12,489,032",12489032.0,"12,489,032"
"19,102,902","1,577,296",1577296.0,"1,577,296"
"3,531,674","10,168,214",10168214.0,"10,168,214"
24.8,"26,446,798",26446798.0,"26,446,798"
97.51,"6,937,737",6937737.0,"6,937,737"
4.07,"1,951,232",1951232.0,"1,951,232"
22.46,"5,206,032",5206032.0,"5,206,032"
6.85,"18,356,623",18356623.0,"18,356,623"
15.55,"9,018,160",9018160.0,"9,018,160"
249.93,"2,064,141",2064141.0,"2,064,141"
80.62,"2,800,000",2800000.0,"2,800,000"
4.63,"7,161,145",7161145.0,"7,161,145"
"35,938,000","19,458,114",19458114.0,"19,458,114"
"6,630,617","3,580,500",3580500.0,"3,580,500"
"4,379,548","17,078,846",17078846.0,"17,078,846"
4.4,"11,604,670",11604670.0,"11,604,670"
25.0,"9,220,216",9220216.0,"9,220,216"
67.11,"25,335,854",25335854.0,"25,335,854"
33.96,"2,062,749",2062749.0,"2,062,749"
7.36,"4,999,802",4999802.0,"4,999,802"
2.48,"2,297,210",2297210.0,"2,297,210"
27.27,"468,257,487",468257487.0,"468,257,487"
"1,063.16","2,643,580",2643580.0,"2,643,580"
"6,393,680","3,646,507",3646507.0,"3,646,507"
"14,175,780","101,726,265",101726265.0,"101,726,265"
"4,328,799","56,122,322",56122322.0,"56,122,322"
2.6,"3,211,868",3211868.0,"3,211,868"
