08-slytherin-founded,01-DDD-founding_year,03-gren-founding_year,07-silvestri-founding_year
2011,2016.0,2016.0,2016.0
2011,2016.0,2016.0,2016.0
2015,2016.0,2016.0,2016.0
2014,2010.0,2010.0,2010.0
2012,2013.0,2013.0,2013.0
2011,2011.0,2011.0,2011.0
2012,2016.0,2016.0,2016.0
2013,2010.0,2010.0,2010.0
2006,2005.0,2005.0,2005.0
2015,2013.0,2013.0,2013.0
2011,2014.0,2014.0,2014.0
2015,2010.0,2010.0,2010.0
2016,2003.0,2003.0,2003.0
2015,2013.0,2013.0,2013.0
2011,2003.0,2003.0,2003.0
2011,2013.0,2013.0,2013.0
2015,2007.0,2007.0,2007.0
2013,2010.0,2010.0,2010.0
2007,1999.0,1999.0,1999.0
2015,2011.0,2011.0,2011.0
2002,2016.0,2016.0,2016.0
2014,2003.0,2003.0,2003.0
2011,2015.0,2015.0,2015.0
2012,2015.0,2015.0,2015.0
2009,2011.0,2011.0,2011.0
2008,2014.0,2014.0,2014.0
2013,2015.0,2015.0,2015.0
2014,2015.0,2015.0,2015.0
2001,2015.0,2015.0,2015.0
2009,1975.0,1975.0,1975.0
2015,2010.0,2010.0,2010.0
2007,2011.0,2011.0,2011.0
2016,2014.0,2014.0,2014.0
2015,2016.0,2016.0,2016.0
2012,2014.0,2014.0,2014.0
2017,2010.0,2010.0,2010.0
2016,2014.0,2014.0,2014.0
2015,2016.0,2016.0,2016.0
2014,2017.0,2017.0,2017.0
2015,2010.0,2010.0,2010.0
2012,2014.0,2014.0,2014.0
2008,2017.0,2017.0,2017.0
2010,2012.0,2012.0,2012.0
2014,2014.0,2014.0,2014.0
2015,2013.0,2013.0,2013.0
2005,2010.0,2010.0,2010.0
2012,2000.0,2000.0,2000.0
2005,2015.0,2015.0,2015.0
2015,2012.0,2012.0,2012.0
2014,2013.0,2013.0,2013.0
2009,2016.0,2016.0,2016.0
2013,2015.0,2015.0,2015.0
2004,2016.0,2016.0,2016.0
1980,2016.0,2016.0,2016.0
2014,2013.0,2013.0,2013.0
2012,2008.0,2008.0,2008.0
2005,2006.0,2006.0,2006.0
1994,2013.0,2013.0,2013.0
2017,2006.0,2006.0,2006.0
2016,2010.0,2010.0,2010.0
2003,2013.0,2013.0,2013.0
2013,2016.0,2016.0,2016.0
2014,2010.0,2010.0,2010.0
2015,2003.0,2003.0,2003.0
2010,2009.0,2009.0,2009.0
2001,2010.0,2010.0,2010.0
2014,2009.0,2009.0,2009.0
2013,2005.0,2005.0,2005.0
2014,2014.0,2014.0,2014.0
