02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters,10-DeBiGa-headquarters
madrid,nicosia,"st. louis, missouri","['moscow', 'russia']"
madrid,nicosia,petronas towers,"['madras', 'hollywood']"
madrid,nicosia,petronas towers,"['mumbai', 'maharashtra', 'india']"
madrid,nicosia,random house tower,"['mumbai', 'maharashtra', 'india']"
madrid,nicosia,random house tower,"['mumbai', 'india']"
molina de segura,limassol,new york city,"['bangalore', 'india']"
málaga,nicosia,amsterdam,"['kolkata', 'west bengal', 'india']"
madrid,nicosia,amsterdam,"['mumbai', 'maharashtra']"
barcelona,peristerona,amsterdam,"['chennai', 'tamil nadu', 'india']"
arteixo,nicosia,bunky?,"['mumbai', 'india']"
madrid,limassol,bunky?,"['mumbai', 'maharashtra', 'india']"
ljubljana,nicosia,bunky?,"['ahmedabad', 'gujarat']"
zgornji brnik,nicosia,bunky?,['tarko-sale']
novo mesto,nicosia,london,"['geneva', 'switzerland']"
ivančna gorica,nicosia,london,['moscow']
žiri,limassol,"dallas, texas","['ufa', 'russia']"
kamnik,guernsey,"dallas, texas",['moscow']
maribor,nicosia,"dallas, texas","['warsaw', 'poland']"
ljubljana,nicosia,,[]
begunje na gorenjskem,limassol,,"['petromcity', 'bucharest', 'romania']"
kranj,limassol,,['lisbon']
velenje,limassol,london,"['płock', 'poland']"
kranj,larnaca,london,"['bergen', 'norway']"
koper,nicosia,"mascot, new south wales",['gdańsk']
novo mesto,paphos,"mascot, new south wales","['vadapalani, chennai']"
ljubljana,nicosia,"mascot, new south wales","['mumbai', 'india']"
ljubljana,limassol,rabotoren,"['hyderabad', 'madras']"
ljubljana,nicosia,rabotoren,"['mumbai', 'maharashtra', 'india']"
ljubljana,nicosia,slough,"['oslo', 'norway']"
ljubljana,paphos,slough,"['oslo', 'norway']"
koper,nicosia,slough,"['stavanger', 'norway']"
maribor,nicosia,,"['mumbai', 'india']"
ljubljana,nicosia,,"['oslo', 'norway']"
ljubljana,pafos,,"['oslo', 'norway']"
ljubljana,paphos,repsol campus,['fornebu']
koper,paphos,"ota, tokyo","['reykjavík', 'iceland']"
ljubljana,larnaca,gerlingen,"['athens, greece']"
ljubljana,nicosia,gerlingen,"['berlin, germany', 'paris, france']"
bratislava,limassol,munich,"['babelsberg', 'potsdam', 'brandenburg']"
detva,nicosia,montreal,['germany']
bratislava,limassol,shell centre,['chişinău']
prešov,nicosia,worli,"['milan ', 'italy']"
bratislava,nicosia,moscow,"['genoa', 'italy']"
medzilaborce,nicosia,pyeongtaek,"['milan', 'italy']"
bratislava,strovolos,stockholm,"['rome', 'italy']"
bratislava,nicosia,stockholm,"['dublin', 'republic of ireland', 'mallusk', 'county antrim', 'northern ireland']"
bratislava,nicosia,samsung digital city,['budapest']
čadca,nicosia,luxembourg city,"['athens', 'greece']"
bratislava,ayia napa,luxembourg city,['east berlin']
