02-GioPonSpiz-sector,05-MalPatSaj-sector
petroleum products,food products
conventional electricity,nonferrous metals
railroads,automobiles
automobiles,publishing
furnishings,pharmaceuticals
clothing & accessories,broadcasting & entertainment
publishing,food products
furnishings,speciality chemicals
full line insurance,broadcasting & entertainment
recreational products,pharmaceuticals
automobiles,farming & fishing
food retailers & wholesalers,auto parts
aerospace & defense,software
shipbuilding,brewers
automobiles,industrial suppliers
furnishings,consumer electronics
footwear,personal products
banks,software
banks,industrial suppliers
banks,broadcasting & entertainment
banks,consumer electronics
banks,heavy construction
automobiles,clothing & accessories
food products,brewers
recreational products,vaccine
defense,commercial vehicles & trucks
automobiles,broadcasting & entertainment
shipbuilding,automobiles
clothing & accessories,pharmaceuticals
food retailers & wholesalers,commercial vehicles & trucks
defense,specialty retailers
food products,personal products
automobiles,commodity chemicals
footwear,recreational products
recreational products,business support services
automobiles,defense
automobiles,medical equipment
brewers,vaccine
brewers,pharmaceuticals
brewers,recreational services
brewers,broadcasting & entertainment
brewers,commercial vehicles & trucks
automobiles,banks
airlines,airlines
clothing & accessories,industrial suppliers
publishing,speciality chemicals
recreational products,automobiles
footwear,airlines
tires,-
clothing & accessories,publishing
recreational products,railroads
clothing & accessories,banks
commercial vehicles & trucks,investment services
clothing & accessories,broadcasting & entertainment
pharmaceuticals,recreational services
industrial engineering,banks
auto parts,delivery services
clothing & accessories,fixed line telecommunications
consumer electronics,asset managers
consumer electronics,industrial machinery
clothing & accessories,delivery services
footwear,industrial machinery
food products,aerospace
clothing & accessories,defense
building materials & fixtures,industrial machinery
airlines,recreational products
automobiles,broadcasting & entertainment
publishing,automobile
footwear,specialty retailers
real estate holding & development,personal products
recreational products,food products
beverages,medical equipment
clothing & accessories,banks
durable household products,industrial machinery
clothing & accessories,banks
durable household products,electricity
clothing & accessories,nondurable household products
commercial vehicles & trucks,industrial machinery
commercial vehicles & trucks,nondurable household products
commercial vehicles & trucks,food retailers & wholesalers
commercial vehicles & trucks,industrial suppliers
commercial vehicles & trucks,electricity
commercial vehicles & trucks,consumer electronics
publishing,aerospace
furnishings,consumer electronics
recreational products,mobile telecommunications
toys,airlines
pharmaceuticals,speciality chemicals
recreational products,nondurable household products
distillers & vintners,durable household products
food products,industrial machinery
publishing,industrial machinery
recreational products,toys
auto parts,durable household products
recreational products,aerospace
industrial machinery,aerospace
recreational products,clothing & accessories
clothing & accessories,automobiles
food retailers & wholesalers,automobiles
food retailers & wholesalers,-
food products,transportation services
clothing & accessories,fixed line telecommunications
travel & tourism,health care providers
recreational products,health care providers
auto parts,-
automobiles,food products
clothing & accessories,speciality chemicals
industrial machinery,durable household products
recreational products,industrial machinery
publishing,furnishings
food products,airlines
recreational products,beverages
automobiles,containers & packaging
auto parts,industrial suppliers
durable household products,business support services
publishing,biotechnology
recreational products,consumer electronics
footwear,publishing
clothing & accessories,consumer electronics
clothing & accessories,marine transportation
automobiles,aerospace
automobiles,reinsurance
electronic & electrical equipment,marine transportation
electronic & electrical equipment,food products
multiutilities,defense
alternative electricity,building materials & fixtures
recreational products,industrial machinery
clothing & accessories,aerospace
clothing & accessories,industrial suppliers
multiutilities,-
automobiles,industrial machinery
integrated oil & gas,industrial machinery
clothing & accessories,heavy construction
clothing & accessories,specialty chemicals
food retailers & wholesalers,
clothing & accessories,automobiles
airlines,business support services
automobiles,commercial vehicles & trucks
publishing,publishing
recreational products,clothing & accessories
food products,financial services
durable household products,real estate
iron & steel,industrial suppliers
defense,commodity chemicals
automobiles,semiconductors
recreational products,specialty retailers
recreational products,durable household products
paper,industrial machinery
publishing,recreational products
clothing & accessories,clothing & accessories
automobiles,industrial machinery
food products,clothing & accessories
shipbuilding,clothing & accessories
travel & tourism,aerospace
automobiles,speciality chemicals
shipbuilding,waste & disposal services
defense,food retailers
automobiles,food retailers & wholesalers
property & casualty insurance,speciality chemicals
tires,banks
automobiles,industrial machinery
brewers,food products
defense,industrial suppliers
automobiles,industrial machinery
clothing & accessories,industrial machinery
recreational products,industrial machinery
durable household products,brewers
clothing & accessories,industrial machinery
durable household products,industrial machinery
distillers & vintners,industrial machinery
recreational services,nondurable household products
automobiles,speciality chemicals
recreational products,recreational products
recreational products,recreational products
publishing,electrical components & equipment
clothing & accessories,food retailers & wholesalers
automobiles,clothing & accessories
automobiles,software
aerospace,recreational products
clothing & accessories,consumer electronics
clothing & accessories,brewers
auto parts,transportation services
consumer services,airlines
recreational products,airlines
automobiles,commercial vehicles & trucks
iron & steel,commercial vehicles & trucks
mobile telecommunications,software
clothing & accessories,industrial suppliers
recreational products,commercial vehicles & trucks
furnishings,diversified industrials
multiutilities,distillers & vintners
commercial rail vehicles,clothing & accessories
automobiles,recreational products
beverages,recreational products
heavy construction,durable household products
durable household products,beverages
automobiles,electrical components & equipment
shipbuilding,automobiles
banks,automobiles
recreational products,pharmaceuticals
automobiles,aerospace
automobiles,broadline retailers
airlines,consumer electronics
building materials & fixtures,commercial vehicles & trucks
automobiles,consumer electronics
automobiles,nondurable household products
commercial vehicles & trucks,reinsurance
clothing & accessories,food products
clothing & accessories,software
clothing & accessories,software
recreational products,food retailers & wholesalers
clothing & accessories,food products
broadline retailers,automobiles
footwear,automobiles
durable household products,industrial vehicles & trucks
automobiles,building materials & fixtures
automobiles,broadline retailers
automobiles,medical equipment
auto parts,brewers
beverages,speciality chemicals
automobiles,food retailers & wholesalers
clothing & accessories,heavy construction
aerospace & defense,industrial machinery
airlines,food retailers & wholesalers
food products,automobiles
clothing & accessories,broadcasting & entertainment
clothing & accessories,software
clothing & accessories,clothing & accessories
clothing & accessories,industrial machinery
clothing & accessories,brewers
auto parts,industrial suppliers
