05-MalPatSaj-name,07-silvestri-name,08-slytherin-name
tyson foods,tyson foods,tyson foods
repsol,repsol,repsol 
sumitomo,sumitomo,sumitomo
holcim,holcim,holcim
altria group,altria group,altria group
applied materials,applied materials,applied materials
daimler truck holding,daimler truck holding,daimler truck holding
zijin mining group,zijin mining group,zijin mining group
the saudi national bank,the saudi national bank,the saudi national bank
richemont,richemont,richemont
kering,kering,kering
saudi electricity,saudi electricity,saudi electricity
danone,danone,danone
nippon steel,nippon steel,nippon steel 
lg chem,lg chem,lg chem
discover financial services,discover financial services,discover financial services
couche tard,couche tard,couche tard
huaxia bank,huaxia bank,huaxia bank
nn group,nn group,nn group
fannie mae,fannie mae,fannie mae
fresenius,fresenius,fresenius
marsh & mclennan,marsh & mclennan,marsh & mclennan
ameriprise financial,ameriprise financial,ameriprise financial
becton dickinson,becton dickinson,becton dickinson
panasonic,panasonic,panasonic
ms&ad insurance,ms&ad insurance,ms&ad insurance
orix,orix,orix
citic securities,citic securities,citic securities
first abu dhabi bank,first abu dhabi bank,first abu dhabi bank
bce,bce,bce
schlumberger,schlumberger,schlumberger
texas instruments,texas instruments,texas instruments
bank rakyat indonesia (bri),bank rakyat indonesia (bri),bank rakyat indonesia (bri)
standard chartered,standard chartered,standard chartered
crh,crh,crh
bank of beijing,bank of beijing,bank of beijing
paramount,paramount,paramount
bank of jiangsu,bank of jiangsu,bank of jiangsu
dupont de nemours,dupont de nemours,dupont de nemours
gree electric appliances,gree electric appliances,gree electric appliances
indian oil,indian oil,indian oil
dollar general,dollar general,dollar general
kraft heinz company,kraft heinz company,kraft heinz company
wilmar international,wilmar international,wilmar international
freddie mac,freddie mac,freddie mac
hewlett packard enterprise,hewlett packard enterprise,hewlett packard enterprise
japan tobacco,japan tobacco,japan tobacco
poste italiane,poste italiane,poste italiane
united overseas bank,united overseas bank,united overseas bank
china unicom,china unicom,china unicom
valero energy,valero energy,valero energy
csx,csx,csx
danske bank,danske bank,danske bank
fortescue metals group,fortescue metals group,fortescue metals group
china railway construction,china railway construction,china railway construction
moderna,moderna,moderna
woolworths,woolworths,woolworths
anhui conch cement,anhui conch cement,anhui conch cement
adobe,adobe,adobe
hartford financial services,hartford financial services,hartford financial services
state street,state street,state street
al rajhi bank,al rajhi bank,al rajhi bank
power construction corporation of china,power construction corporation of china,power construction corporation of china
shin-etsu chemical,shin-etsu chemical,shin-etsu chemical
fiserv,fiserv,fiserv
regeneron pharmaceuticals,regeneron pharmaceuticals,regeneron pharmaceuticals
eneos holdings,eneos holdings,eneos holdings
tata consultancy services,tata consultancy services,tata consultancy services
sompo,sompo,sompo
omv group,omv group,omv group
swiss life holding,swiss life holding,swiss life holding
bank of shanghai,bank of shanghai,bank of shanghai
american tower,american tower,american tower
pioneer natural resources,pioneer natural resources,pioneer natural resources
sun hung kai properties,sun hung kai properties,sun hung kai properties
wanhua chemical group,wanhua chemical group,wanhua chemical group
sampo,sampo,sampo
china merchants shekou industrial zone holdings,china merchants shekou industrial zone holdings,china merchants shekou industrial zone holdings
haier smart home,haier smart home,haier smart home
eaton,eaton,eaton
sk,sk,sk
johnson controls international,johnson controls international,johnson controls international
jbs,jbs,jbs
saudi telecom,saudi telecom,saudi telecom
jardine matheson,jardine matheson,jardine matheson
canadian national railway,canadian national railway,canadian national railway
stryker,stryker,stryker
nokia,nokia,nokia
mitsubishi electric,mitsubishi electric,mitsubishi electric
nissan motor,nissan motor,nissan motor
tata steel,tata steel,tata steel
heineken,heineken,heineken
bae systems,bae systems,bae systems
etisalat,etisalat,etisalat
bt group,bt group,bt group
ctbc financial,ctbc financial,ctbc financial
novatek,novatek,novatek
greenland holdings group,greenland holdings group,greenland holdings group
rwe group,rwe group,rwe group
daikin industries,daikin industries,daikin industries
aegon,aegon,aegon
baidu,baidu,baidu
ericsson,ericsson,ericsson
canon,canon,canon
lennar,lennar,lennar
bank of nanjing,bank of nanjing,bank of nanjing
philips,philips,philips
keurig dr pepper,keurig dr pepper,keurig dr pepper
china yangtze power,china yangtze power,china yangtze power
dnb bank,dnb bank,dnb bank
emerson electric,emerson electric,emerson electric
imperial brands,imperial brands,imperial brands
boeing,boeing,boeing
general mills,general mills,general mills
axis bank,axis bank,axis bank
national bank of canada,national bank of canada,national bank of canada
the estée lauder companies,the estã©e lauder companies,the estée lauder companies
cnh industrial,cnh industrial,cnh industrial
fairfax financial,fairfax financial,fairfax financial
adidas,adidas,adidas
michelin group,michelin group,michelin group
norfolk southern,norfolk southern,norfolk southern
principal financial group,principal financial group,principal financial group
sempra,sempra,sempra
fortum,fortum,fortum
grupo mexico,grupo mexico,grupo mexico
d.r. horton,d.r. horton,d.r. horton
l3harris technologies,l3harris technologies,l3harris technologies
naspers,naspers,naspers
standard bank group,standard bank group,standard bank group
tc energy,tc energy,tc energy
norilsk nickel,norilsk nickel,norilsk nickel
naturgy energy group,naturgy energy group,naturgy energy group
waste management,waste management,waste management
henkel,henkel,henkel
mediatek,mediatek,mediatek
recruit holdings,recruit holdings,recruit holdings 
hengli petrochemical,hengli petrochemical,hengli petrochemical
xcel energy,xcel energy,xcel energy
corteva,corteva,corteva
synchrony financial,synchrony financial,synchrony financial
toyota tsusho,toyota tsusho,toyota tsusho
toyota industries,toyota industries,toyota industries
astrazeneca,astrazeneca,astrazeneca
sunac china holdings,sunac china holdings,sunac china holdings
china evergrande group,china evergrande group,china evergrande group
bridgestone,bridgestone,bridgestone
emirates nbd,emirates nbd,emirates nbd
daiwa house industry,daiwa house industry,daiwa house industry
jd.com,jd.com,jd.com
kinder morgan,kinder morgan,kinder morgan
china national building,china national building,china national building
fifth third bank,fifth third bank,fifth third bank
firstrand,firstrand,firstrand
carrefour,carrefour,carrefour
fujitsu,fujitsu,fujitsu
seb ab,seb ab,seb ab
surgutneftegas,surgutneftegas,surgutneftegas
new china life insurance,new china life insurance,new china life insurance
barrick gold,barrick gold,barrick gold
dsv panalpina,dsv panalpina,dsv panalpina
talanx,talanx,talanx
vodafone,vodafone,vodafone
nintendo,nintendo,nintendo
hana financial group,hana financial group,hana financial group
hyundai mobis,hyundai mobis,hyundai mobis
ntpc,ntpc,ntpc
maybank,maybank,maybank
cme group,cme group,cme group
taqa,taqa,taqa
pernod ricard,pernod ricard,pernod ricard
bank mandiri,bank mandiri,bank mandiri
femsa,femsa,femsa
paccar,paccar,paccar
consolidated edison,consolidated edison,consolidated edison
mitsui fudosan,mitsui fudosan,mitsui fudosan
evergreen marine corp. (taiwan),evergreen marine corp. (taiwan),evergreen marine corp. (taiwan)
komatsu,komatsu,komatsu
shaanxi coal industry,shaanxi coal industry,shaanxi coal industry
lenovo group,lenovo group,lenovo group
fast retailing,fast retailing,fast retailing
london stock exchange,london stock exchange,london stock exchange
vonovia,vonovia,vonovia
aviva,aviva,aviva
sherwin-williams,sherwin-williams,sherwin-williams
fujifilm holdings,fujifilm holdings,fujifilm holdings
intuit,intuit,intuit
lam research,lam research,lam research
erste group bank,erste group bank,erste group bank
lincoln national,lincoln national,lincoln national
carrier global,carrier global,carrier global
dish network,dish network,dish network
china coal energy,china coal energy,china coal energy
continental,continental,continental
vtb bank,vtb bank,vtb bank
murata manufacturing,murata manufacturing,murata manufacturing
larsen & toubro,larsen & toubro,larsen & toubro
ally financial,ally financial,ally financial
netease,netease,netease
bank central asia,bank central asia,bank central asia
volvo car,volvo car,volvo car
intact financial,intact financial,intact financial
orsted,orsted,orsted
cummins,cummins,cummins
williams,williams,williams
capgemini,capgemini,capgemini
prologis,prologis,prologis
thales,thales,thales
bouygues,bouygues,bouygues
banorte,banorte,banorte
ck asset holdings,ck asset holdings,ck asset holdings
orange,orange,orange
kuehne & nagel international,kuehne & nagel international,kuehne & nagel international
bunge,bunge,bunge
