09-wissel-company_status,10-DeBiGa-company_status
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,dissolved
,active
,dissolved
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,dissolved
,dissolved
,active
,dissolved
,dissolved
,active
,active
,active
,dissolved
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,liquidation
,active
,active
,liquidation
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,liquidation
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
