,index,address,est_of_ownership,hhid,industry,name,country,sic_code,type
154,154,"via monte penice 7, milano, 20138, milano, italy",1993,h-it0071659145,"transportation, communications, electric, gas, and sanitary services",sky italia srl,italy,television station (4833),corporation
155,155,"via mantova 166, parma, 43122, parma, italy",1988,h-it0049411330,manufacturing,barilla g. e r. fratelli spa,italy,mfg macaroni/spaghetti (2098),corporation
156,156,"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",1999,h-it0043242537,"transportation, communications, electric, gas, and sanitary services",alitalia societa' aerea italiana spa,italy,scheduled air transportation (4512),corporation
157,157,"via giovanni battista pirelli 19, milano, 20124, milano, italy",1980,h-it0068385552,services,bolton group srl,italy,business services (7389),corporation
158,158,"via giovanni battista pirelli 19, milano, 20124, milano, italy",2010,h-it0020453108,"finance, insurance, and real estate",factor holding srl,italy,holding company (6719),corporation
159,159,"via monzambano 10, roma, 00185, roma, italy",1950,h-it0049402331,"transportation, communications, electric, gas, and sanitary services",anas spa,italy,transportation services (4789),corporation
160,160,"via gaetano de castillia 6/a, milano, 20124, milano, italy",2003,h-it0074296558,"finance, insurance, and real estate",maire tecnimont spa,italy,holding company (6719),corporation
161,161,"via mike bongiorno 9, milano, 20124, milano, italy",1991,h-it0065500911,wholesale trade,samsung electronics italia spa,italy,whol appliances/tv/radio (5064),corporation
162,162,"via tiburtina 1159, roma, 00156, roma, italy",1962,h-it0011169516,retail trade,renault italia spa,italy,ret new/used automobiles (5511),corporation
163,163,"corso como 17, milano, 20154, milano, italy",1947,h-it0010264795,"finance, insurance, and real estate",axa assicurazioni spa,italy,life insurance carrier (6311),corporation
164,164,"via furlanelli 69, verano brianza, 20843, monza e brianza, italy",1990,h-it0062356658,retail trade,mediamarket spa,italy,ret misc general merchandise (5399),corporation
165,165,"piazza lodi 7, cremona, 26100, cremona, italy",1979,h-it0020650884,"finance, insurance, and real estate",finarvedi spa,italy,holding company (6719),corporation
166,166,"via spilamberto 30/c, castelvetro di modena, 41014, modena, italy",1988,h-it0047540028,manufacturing,inalca spa,italy,meat packing plant (2011),corporation
167,167,"viale altiero spinelli 30, roma, 00157, roma, italy",2007,h-it0075933586,"finance, insurance, and real estate",banca nazionale del lavoro spa,italy,national commercial bank (6021),corporation
168,168,"via francesco caracciolo 51, milano, 20155, milano, italy",1999,h-it0073082406,"transportation, communications, electric, gas, and sanitary services",fastweb spa,italy,telephone communications (4813),corporation
169,169,"viale del lavoro 20, belfiore, 37050, verona, italy",1986,h-it0053224930,"finance, insurance, and real estate",finbre spa,italy,subdivider/developer (6552),corporation
170,170,"viale del lavoro 20, belfiore, 37050, verona, italy",1975,h-it0037877445,retail trade,maxi di srl,italy,ret groceries (5411),corporation
171,171,"piazza adriano olivetti 1, milano, 20139, milano, italy",2007,h-it0073228761,"finance, insurance, and real estate",swisscom italia srl,italy,holding company (6719),corporation
172,172,"via benigno crespi 23, milano, 20159, milano, italy",1952,h-it0065538978,"finance, insurance, and real estate",zurich investments life spa,italy,life insurance carrier (6311),corporation
173,173,"via del fante 21, verona, 37122, verona, italy",1987,h-it0056068484,"finance, insurance, and real estate",arca vita spa,italy,life insurance carrier (6311),corporation
174,174,"via valpantena 18/g, verona, 37142, verona, italy",1983,h-it0050197304,manufacturing,agricola tre valli societa' cooperativa,italy,poultry processing (2015),corporation
