02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
financials,consumer goods,consumer electronics,full line insurance,automobiles,länsförsäkringar,imperia automobiles,creative technology
financials,health care,financial services,banks,biotechnology,länsförsäkringar bank,innogenetics,crédit agricole
consumer goods,industrials,"wholesale trade, retail & consumer services, clothing & clothing accessories",farming & fishing,building materials and fixtures,lantmännen,jan de nul,crocs
consumer services,health care,financial services,gambling,pharmaceuticals,leovegas,janssen pharmaceutica,credit suisse
consumer services,industrials,"heavy equipment, automotive",apparel retailers,commercial vehicles and trucks,lindex,jonckheere,cummins
consumer services,industrials,consumer electronics,airlines,delivery services,linjeflyg,katoen natie,currys plc
basic materials,financials,conglomerate,general mining,banks,lkab,kbc bank,cyient
industrials,financials,conglomerate,business support services,investment services,loomis,keytrade bank,cyrusone
oil & gas,consumer services,networking equipment,exploration & production,recreational services,lundin petroleum,kinepolis,d-link
consumer goods,technology,consumer goods,consumer electronics,software,luxor ab,larian studios,dabur
technology,consumer goods,"electrical equipment, chemicals",software,clothing and accessories,machinegames,libeco-lagae,daikin
utilities,consumer services,automotive,conventional electricity,food retailers and wholesalers,mälarenergi,louis delhaize group,mercedes-benz group
consumer services,technology,conglomerate construction materials,broadcasting & entertainment,computer services,maratone studios,luciad nv,dangote group
technology,technology,automotive,software,computer services,massive entertainment,materialise nv,daihatsu
technology,basic materials,food processing,software,nonferrous metals,mecel,metallo-chimique,danone
health care,consumer goods,font design branding,pharmaceuticals,consumer electronics,meda ab,mutoh europe nv,dalton maag
basic materials,industrials,font design branding,specialty chemicals,business support services,micromy,namahn,joshua darden
consumer services,consumer services,retail,broadcasting & entertainment,rail transport,modern times group,national railway company of belgium,decathlon (retailer)
technology,industrials,retail,software,diversified industrials,mojang,compagnie nationale à portefeuille (cnp),deepin
health care,basic materials,computer hardware computer software,medical equipment,general mining,mölnlycke health care,nyrstar,dell
consumer goods,technology,professional services,recreational products,computer hardware,monark,option n.v.,deloitte
technology,consumer services,professional services,software,publishing,mysql ab,proost,delta air lines
consumer goods,telecommunications,banking financial services,recreational products,mobile telecommunications,najad yachts,proximus,deutsche bank
technology,telecommunications,beverages,semiconductors,fixed line telecommunications,nanoradio,proximus group,diageo
financials,financials,restaurants,investment services,investment services,nasdaq nordic,regional investment company of wallonia,dine brands
industrials,basic materials,consumer electronics,heavy construction,aluminum,ncc ab,reynaers aluminium,currys plc
consumer services,financials,chemicals,publishing,asset managers,neogames,rhj international,dow chemical company
telecommunications,consumer goods,"retail, variety, discount",computer hardware,recreational products,neonode,ridley bikes,dollar tree
consumer services,consumer goods,software,airlines,recreational products,nextjet,saluc,docusign
consumer goods,consumer goods,agribusiness,durable household products,consumer electronics,nobia,septentrio,dole plc
consumer services,consumer goods,foodservice franchising,travel & tourism,clothing and accessories,nobina,seyntex,domino's pizza
industrials,industrials,entertainment,diversified industrials,aerospace,nohab,skytech,dude perfect
consumer services,financials,chemicals,broadline retailers,equity investment instruments,nordiska kompaniet,sofina,dupont
conglomerates,basic materials,information technology consulting outsourcing,-,specialty chemicals,nordstjernan,solvay s.a.,dxc technology
industrials,basic materials,household appliances,general industries,specialty chemicals,northstar,soudal,dyson (company)
consumer goods,consumer goods,e-commerce,clothing & accessories,food products,nudie jeans,sugar refinery of tienen,ebay
basic materials,telecommunications,video games,iron & steel,fixed line telecommunications,nyby bruk,telenet,electronic arts
technology,industrials,"aerospace, defense",telecommunications equipment,delivery services,nyfors,teleroute,embraer
oil & gas,industrials,electrical equipment,exploration & production,commercial vehicles and trucks,nynas,thermote & vanhalst,emerson electric
consumer goods,consumer services,typography,clothing & accessories,airlines,odd molly,thomas cook airlines belgium,emigre fonts
consumer goods,health care,oil and gas,auto parts,pharmaceuticals,öhlins,tibotec,eni
consumer services,health care,telecommunications networking,broadline retailers,biotechnology,onoff,tigenix,ericsson
health care,industrials,cosmetics,pharmaceuticals,business support services,orexo,tractebel,the estée lauder companies
consumer goods,industrials,telecommunication,personal products,business support services,oriflame,truvo,etisalat by e&
industrials,consumer services,telecommunication,building materials & fixtures,airlines,orrefors glassworks,tuifly belgium,eva air
industrials,health care,container shipping marine transportation,commercial vehicles & trucks,pharmaceuticals,oskarshamn shipyard,ucb,evergreen marine corporation
basic materials,consumer services,investment banking,iron & steel,broadcasting and entertainment,ovako,umedia,evercore
consumer goods,basic materials,energy: oil and gas,food products,general mining,pågen,umicore,exxonmobil
technology,industrials,food manufacturing,software,containers and packaging,paradox interactive,unibind,ezaki glico
industrials,basic materials,professional services,heavy construction,general mining,peab,union minière du haut katanga,ernst & young
technology,industrials,stationery,software,containers and packaging,peltarion,van genechten packaging,faber-castell
health care,industrials,telecommunications equipment,medical equipment,commercial vehicles and trucks,phadia,van hool,fairphone
health care,financials,retail,pharmaceuticals,life insurance,pharmacia,vanbreda international,fast retailing
consumer goods,consumer goods,sportswear sports equipment,food products,food products,polarbröd,vanparys,fbt (company)
industrials,industrials,e-commerce services transportation,delivery services,electronic equipment,postnord,velleman,fedex
industrials,industrials,food,delivery services,business support services,postnord sverige,vinçotte,ferrero spa
consumer goods,consumer services,sportswear sports goods,household goods,airlines,primus ab,vlm airlines,fila
consumer goods,consumer goods,sportswear sports goods,brewers,automobiles,pripps,volvo car gent,ficosa
industrials,financials,financial sector,building materials & fixtures,specialty finance,profoto,walloon sme finance and guarantee company,fis (company)
industrials,technology,type foundry,business support services,technology hardware,ps communication,zetes,font bureau
financials,consumer services,"type foundry, stock photography",real estate holding & development,airlines,ratos,air via,fontshop international
technology,consumer goods,cloud security cybersecurity network security,software,brewers,readsoft,ariana brewery,fortinet
health care,industrials,fashion,pharmaceuticals,defense,recipharm,armimex,fossil group
consumer services,industrials,electronics,travel & tourism,defense,rederi ab slite,arsenal ad,foxconn
technology,basic materials,"information technology, communications, education",software,nonferrous metals,remograph,asarel medet,fpt group
financials,consumer goods,document solutions digital imaging medical imaging cosmetics regenerative medicine stem cells biologics,banks,brewers,resurs holding,astika brewery,fujifilm
consumer goods,consumer services,computer hardware consulting cloud computing telecommunications data storage consumer electronics,automobiles,broadline retailers,saab automobile,aukro.bg,fujitsu
industrials,industrials,computer hardware consulting cloud computing telecommunications data storage consumer electronics,aerospace,construction & materials,saab group,balkanstroy,fujiya
technology,consumer services,conglomerate,software,travel & tourism,samlogic,balkantourist,future group
industrials,consumer services,retail,industrial engineering,record label,sandvik,balkanton,gamestop
consumer services,consumer services,retail,airlines,airlines,sas group,bh air,gap inc.
basic materials,technology,technology,paper,software,sca,black sea studios,garmin
technology,telecommunications,research & advisory services,software,fixed line telecommunications,scalado,blizoo,gartner
consumer services,consumer services,oil and gas,hotels,airlines,scandic hotels,bulgaria air,gazprom
consumer goods,financials,online media retail,automobiles,banks,scania ab,bulgarian agricultural and commercial bank,geeknet
technology,consumer services,conglomerate,software,airlines,seavus,bulgarian air charter,general electric
financials,financials,"electronics, household appliances",investment services,banks,seb group,bulgarian development bank,gree electric
technology,oil & gas,food processing,software,exploration & production,sector3 studios,bulgarian energy holding,general mills
industrials,financials,automotive,business support services,banks,securitas,bulgarian national bank,general motors
industrials,financials,financial services,business support services,banks,securitas direct,bulgarian postbank,assicurazioni generali
