02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
industrials,consumer services,,commercial vehicles & trucks,restaurants & bars,zetor,čili,
financials,consumer services,,banks,airlines,živnostenská banka,dot lt,
consumer services,industrials,,sports,building materials & fixtures,ac omonia,dvarčionių keramika,
consumer services,industrials,,sports,electronic equipment,aek larnaca fc,ekspla,
consumer services,consumer goods,,sports,brewers,ael f.c.,gubernija,
industrials,consumer goods,,business support services,brewers,allbiz,kalnapilis,
consumer services,utilities,,sports,gas distribution,anorthosis f.c.,lietuvos dujos,
consumer services,utilities,,sports,conventional electricity,apoel b.c.,lietuvos energija,
consumer services,consumer services,,sports,delivery services,apoel fc,lietuvos paštas,
consumer services,consumer services,,sports,broadline retailers,apoel v.c.,maxima group,
consumer services,consumer services,,sports,airlines,apollon limassol,small planet airlines,
consumer services,consumer goods,,publishing,distillers & vintners,armida publications,stumbras,
technology,consumer goods,,computer hardware,brewers,asbis,tauras,
industrials,telecommunications,,marine transportation,fixed line telecommunications,austrian lloyd ship management,teo lt,
financials,financials,,banks,banks,bank of cyprus,ūkio bankas,
consumer services,consumer services,,travel & tourism,broadline retailers,celestyal cruises,vilniaus prekyba,
financials,consumer goods,,banks,brewers,central bank of cyprus,volfas engelman,
consumer services,financials,,travel & leisure,investment services,charlie airlines,žia valda,
consumer services,financials,,broadcasting,banks,cyprus broadcasting corporation,advanzia bank,
consumer services,basic materials,,air traffic management,iron & steel,cyprus civil aviation authority,arcelor,
consumer services,basic materials,,education,iron & steel,cyprus college,arcelormittal,
consumer services,technology,,education,technology hardware & equipment,cyprus college of art,artec 3d,
financials,financials,,banks,banks,cyprus development bank,banque de luxembourg,
consumer services,financials,,education,banks,cyprus institute of marketing,banque et caisse d'épargne de l'état,
technology,financials,,research,banks,cyprus int. instit. for environ. & public health,banque raiffeisen,
telecommunications,financials,,fixed line telecom,banks,cyprus internet exchange,bgl bnp paribas,
consumer services,financials,,publishing,investment services,cyprus mail,bip investment partners,
basic materials,consumer goods,,general mining,brewers,cyprus mines corporation,brasserie nationale,
technology,consumer services,,research,food retailers & wholesalers,cyprus neuroscience and technology institute,cactus,
consumer services,industrials,,media,delivery services,cyprus news agency,cargolux,
consumer services,utilities,,ship traffic management,multiutilities,cyprus ports authority,creos luxembourg,
industrials,financials,,delivery services,banks,cyprus postal services,central bank of luxembourg,
consumer services,health care,,general retailers,health care providers,cyprus state fairs authority,centre hospitalier de luxembourg,
financials,industrials,,investment services,diversified industrials,cyprus stock exchange,ceratizit,
consumer services,consumer services,,education,restaurants & bars,cyprus university of technology,cipriani s.a.,
consumer services,financials,,publishing,asset managers,cyprus weekly,cvc capital partners,
telecommunications,consumer services,,fixed line telecom,publishing,cyta,editpress,
consumer services,financials,,sports,full line insurance,doxa katokopias fc,foyer s.a.,
utilities,conglomerates,,conventional electricity,-,electricity authority of cyprus,general mediterranean holding,
consumer services,financials,,legal,specialty finance,elias neocleous & co llc,genii capital,
utilities,consumer goods,,electricity,personal products,euroafrica interconnector,gold & wood,
utilities,financials,,electricity,banks,euroasia interconnector,kbl european private bankers,
consumer services,financials,,education,investment services,european university cyprus,kulczyk investments,
consumer services,consumer services,,publishing,publishing,financial mirror,lëtzebuerger journal,
consumer services,consumer services,,education,airlines,frederick university,lionair,
industrials,consumer goods,,heavy construction,clothing & accessories,joannou & paraskevaides,luvanis,
financials,consumer services,,full line insurance,airlines,health insurance organisation,luxair,
financials,consumer services,,banks,broadcasting & entertainment,hellenic bank,luxanimation,
financials,financials,,real estate development,investment services,imperio properties,luxembourg stock exchange,
financials,financials,,investment services,investment services,ironfx,luxempart,
consumer goods,consumer services,,soft drinks,broadcasting & entertainment,keo,melusine,
consumer services,consumer goods,,travel & leisure,brewers,larnaca international airport,mousel,
consumer goods,financials,,brewers,real estate holding & development,leon beer,orco,
financials,telecommunications,,real estate development,fixed line telecommunications,leptos estates,p&tluxembourg,
industrials,consumer services,,heavy construction,broadcasting & entertainment,lois builders,radio luxembourg,
health care,industrials,,pharmaceuticals,business support services,medochemie,regus,
consumer services,financials,,food retailers & wholesalers,investment services,metro foods trading,reinet investments,
consumer services,industrials,,publishing,industrial machinery,moufflon publications,rotarex,
consumer services,consumer services,,education,broadcasting & entertainment,neapolis university paphos,rtl group,
consumer services,consumer services,,media,publishing,nova cyprus,saint-paul luxembourg,
consumer services,telecommunications,,media,mobile telecommunications,omega tv cyprus,ses s.a.,
consumer services,financials,,education,banks,open university of cyprus,société nationale de crédit et d'investissement,
consumer services,industrials,,sports,railroads,pafos fc,société nationale des chemins de fer luxembourgeois,
consumer services,consumer services,,health,airlines,paphos general hospital,strategic airlines luxembourg,
consumer services,consumer services,,travel & leisure,broadcasting & entertainment,paphos international airport,streamworks international,
oil & gas,consumer services,,exploration & production,airlines,petrolina,techniques d'avant garde,
financials,consumer services,,investment services,recreational services,pevex management,utopia group,
industrials,industrials,,industrial transportation,delivery services,port of limassol,west air luxembourg,
telecommunications,consumer services,,fixed line telecom,airlines,primetel plc,air malta,
financials,financials,,banks,banks,rcb bank,aps bank,
basic materials,financials,,industrial metals & mining,banks,rusal,bank of valletta,
consumer services,financials,,broadcasting & entertainment,banks,sat-7,central bank of malta,
telecommunications,consumer goods,,fixed line telecom,distillers & vintners,telepassport telecommunications,emmanuel delicata,
consumer services,telecommunications,,health,fixed line telecommunications,the american heart institute,go,
technology,financials,,research,banks,the cyprus institute,hsbc bank malta,
technology,financials,,research,banks,the muscular dystropy research foundation,lombard bank,
technology,industrials,,research,delivery services,the cyprus institute of neurology and genetics,maltapost,
consumer services,consumer services,,hospitality,airlines,tsokkos,medavia,
consumer services,consumer services,,travel & leisure,publishing,tus airways,media.link communications,
financials,telecommunications,,life insurance,fixed line telecommunications,universal life,melita,
consumer services,consumer services,,education,gambling,university of cyprus,multilotto,
consumer services,consumer services,,education,broadcasting & entertainment,university of nicosia,one productions,
technology,consumer services,,software,publishing,wargaming,sagħtar,
consumer services,consumer goods,,broadline retailers,brewers,woolworths,simonds farsons cisk,
technology,consumer services,,software,gambling,xhamster,unibet,
industrials,telecommunications,,commercial vehicles & trucks,mobile telecommunications,3. maj,epic,
industrials,industrials,,business support services,electrical components & equipment,3lhd,aalberts,
telecommunications,transport,,mobile telecommunications,"bus, ferry and train services",a1 hrvatska,abellio,
oil & gas,financials,,exploration & production,banks,lng hrvatska,abn amro,
consumer services,financials,,travel & tourism,payments industry,adriatic croatia international club,adyen,
consumer goods,consumer goods,,tobacco,recreational products,adris grupa,accell group,
consumer goods,financials,,food products,life insurance,agrokor,aegon n.v.,
consumer services,consumer services,,broadcasting & entertainment,food retailers & wholesalers,aquarius records,ahold delhaize,
consumer goods,basic materials,,food products,specialty chemicals,atlantic grupa,akzonobel,
industrials,consumer goods,,marine transportation,brewers,atlantska plovidba,amstel brewery,
consumer goods,industrials,,distillers & vintners,transportation services,badel 1862,apm terminals,
health care,consumer goods,,pharmaceuticals,automobiles parts,biognost,apollo vredestein b.v.,
industrials,industrials,,marine transportation,engineering,blue line international,arcadis,
telecommunications,industrials,,mobile telecommunications,industrial machinery,bonbon,asml holding,
industrials,financials,,commercial vehicles & trucks,banks,brodosplit,asn bank,
consumer goods,financials,,food products,non-life insurance,čakovečki mlinovi,atradius,
consumer goods,consumer services,,brewers,restaurants & bars,carlsberg croatia,australian homemade,
consumer goods,consumer goods,,soft drinks,food products,cedevita,avebe,
consumer services,consumer goods,,airlines,brewers,croatia airlines,bavaria brewery,
consumer services,consumer services,,broadcasting & entertainment,specialty retailers,croatia film,beter bed,
financials,technology,,full line insurance,internet,croatia osiguranje,blendle,
consumer services,consumer services,,broadcasting & entertainment,travel & tourism,croatia records,booking.com,
financials,technology,,banks,internet,croatian national bank,catawiki,
consumer services,real estate,,broadcasting & entertainment,real estate investment and services,croatian radiotelevision,chipshol,
industrials,industrials,,railroads,commercial vehicles & trucks,croatian railways,cnh global,
technology,consumer services,,software,airlines,croteam,corendon dutch airlines,
industrials,consumer goods,,commercial vehicles & trucks,automobiles,crotram,daf trucks,
industrials,industrials,,electrical components & equipment,industrial transportation & defense,dalekovod,damen group,
consumer services,industrials,,broadcasting & entertainment,marine transportation,dallas records,dockwise,
industrials,consumer goods,,electronic equipment,automobiles,digitron,donkervoort,
industrials,consumer goods,,diversified industrials,soft drinks,dok-ing,douwe egberts,
industrials,health care,,diversified industrials,pharmaceuticals,ðuro ðaković,dsm,
telecommunications,technology,,mobile telecommunications,internet,ericsson nikola tesla,ebuddy,
consumer services,consumer services,,airlines,publishing,european coastal airlines,elsevier,
consumer goods,consumer services,,food products,broadcasting & entertainment,fortenova group,endemol,
consumer goods,technology,,soft drinks,software,franck,exact software,
technology,financials,,software,investment services,geofoto,exor,
consumer services,consumer goods,,publishing,recreational products,hanza media,feadship,
consumer services,industrials,,broadcasting & entertainment,industrial automation,hit records,fraba,
industrials,consumer goods,,business support services,food products,hönigsberg & deutsch,frieslandcampina,
utilities,oil & gas,,conventional electricity,exploration & production,hrvatska elektroprivreda,fugro,
industrials,industrials,,delivery services,delivery services,hrvatska pošta,general logistics systems,
financials,consumer goods,,banks,brewers,hrvatska poštanska banka,grolsch brewery,
industrials,technology,,transportation services,software,hrvatske autoceste,guerrilla games,
telecommunications,consumer goods,,fixed line telecommunications,apparel retailers,hrvatski telekom,g-star raw,
industrials,oil & gas,,defense,oil equipment & services,hs produkt,heerema marine contractors,
technology,consumer goods,,software,brewers,in2,heineken international,
oil & gas,consumer goods,,exploration & production,variety,ina,hema,
technology,technology,,software,software,infobip,high-logic,
industrials,consumer services,,heavy construction,travel & tourism,ingra,hotels.nl,
industrials,consumer services,,heavy construction,apparel retailers,institut igh,hunkemöller,
technology,industrials,,internet,building,iskon internet,hunter douglas,
consumer services,consumer services,,broadcasting & entertainment,home improvement retailers,jadran film,ikea,
oil & gas,financials,,pipelines,banks,jadranski naftovod,ing group,
industrials,technology,,marine transportation,datacentres,jadrolinija,interxion,
consumer goods,telecommunications,,soft drinks,fixed line telecommunications,jamnica,iptp networks,
consumer services,consumer goods,,broadcasting & entertainment,food retailers & wholesalers,jugoton,jumbo,
consumer goods,technology,,brewers,consumer digital services,karlovačka pivovara,just eat takeaway,
consumer goods,consumer services,,food products,airlines,kandit,klm,
consumer goods,industrials,,food products,business support services,koestlin,kpmg,
industrials,telecommunications,,electronic equipment,fixed line telecommunications,končar group,kpn,
industrials,consumer goods,,heavy construction,automobiles,konstruktor-split,landfighter,
consumer services,consumer services,,food retailers & wholesalers,rental and leasing services,konzum,leaseplan,
industrials,utilities,,commercial vehicles & trucks,conventional electricity,kraljevica shipyard,liander,
consumer goods,consumer goods,,food products,distillers & vintners,kraš,lucas bols,
consumer goods,consumer services,,food products,airlines,ledo,martinair,
industrials,industrials,,transportation services,railroads,luka ploče,nederlandse spoorwegen,
consumer services,consumer goods,,publishing,auto parts,matica hrvatska,nipparts,
consumer services,consumer goods,,broadcasting & entertainment,food products,menart records,nutricia,
consumer services,utilities,,broadline retailers,multiutilities,narodni trgovački lanac,nuon energy,
technology,technology,,internet,semiconductors,odašiljači i veze,nxp semiconductors,
basic materials,technology,,commodity chemicals,electronic office equipment,petrokemija,océ,
consumer goods,consumer goods,,brewers,food products,pivovara ličanka,perfetti van melle,
utilities,consumer goods,,gas distribution,consumer electronics,plinacro,philips,
health care,industrials,,pharmaceuticals,delivery services,pliva,postnl,
industrials,technology,,transportation services,consumer digital services,plovput,prosus,
consumer goods,consumer services,,food products,parking,podravka,q-park,
financials,financials,,banks,banks,primorska banka,rabobank,
financials,industrials,,banks,business support services,privredna banka zagreb,randstad holding,
consumer goods,industrials,,automobiles,heavy construction,rimac automobili,royal bam group,
industrials,industrials,,electronic equipment,heavy construction,riz,royal boskalis westminster,
consumer services,industrials,,publishing,electrical components & equipment,školska knjiga,royal imtech n.v.,
consumer goods,industrials,,durable household products,transportation services,sljeme,royal schiphol group,
financials,industrials,,banks,heavy construction,splitska banka,royal van oord,
consumer services,oil & gas,,broadcasting & entertainment,oil equipment & services,suzy,sbm offshore,
industrials,consumer goods,,business support services,recreational products,tehnika,serpent model racing cars,
telecommunications,industrials,,mobile telecommunications,diversified industrials,tomato,shv holdings,
consumer goods,consumer goods,,nondurable household products,food retailers & wholesalers,toz penkala,spar,
consumer services,consumer goods,,airlines,automobiles,trade air,spyker cars,
industrials,industrials,,commercial vehicles & trucks,aerospace,tžv gredelj,stork b.v.,
industrials,consumer services,,commercial vehicles & trucks,broadcasting & entertainment,uljanik,talpa network,
consumer services,telecommunications,,publishing,fixed line telecommunications,v.b.z.,tele2 netherlands,
industrials,telecommunications,,transportation services,mobile telecommunications,viadukt,telfort,
industrials,industrials,,commercial vehicles & trucks,defence & electronics,viktor lenac shipyard,thales nederland,
consumer goods,industrials,,food products,financial administration,vindija,tmf group,
consumer goods,industrials,,food products,delivery services,viro,tnt express,
consumer services,technology,,broadcasting & entertainment,software,zagreb film,tomtom,
financials,consumer goods,,financial services,food products,zagreb stock exchange,tony's chocolonely,
financials,consumer services,,banks,airlines,zagrebačka banka,transavia,
consumer goods,financials,,brewers,banks,zagrebačka pivovara,triodos bank,
industrials,technology,,transportation services,computer hardware,zagrebački električni tramvaj,trust,
consumer services,consumer services,,airlines,airlines,air via,tui fly netherlands,
consumer goods,consumer goods,,brewers,recreational products,ariana brewery,vanguard dutch marine,
industrials,industrials,,defense,commercial vehicles & trucks,armimex,vdl bus & coach,
industrials,consumer goods,,defense,automobile,arsenal ad,vdl nedcar,
basic materials,industrials,,nonferrous metals,business training & employment agencies,asarel medet,vedior,
consumer goods,telecommunications,,brewers,mobile telecommunications,astika brewery,veon,
consumer services,consumer services,,broadline retailers,publishing,aukro.bg,verenigde nederlandse uitgeverijen,
industrials,energy,,construction & materials,"oil, gas & coal",balkanstroy,vitol,
consumer services,telecommunications,,travel & tourism,mobile telecommunications,balkantourist,vodafone netherlands,
consumer services,industrials,,record label,heavy construction,balkanton,volkerwessels,
consumer services,industrials,,airlines,building materials & fixtures,bh air,wavin,
technology,consumer goods,,software,apparel retailers,black sea studios,we,
telecommunications,technology,,fixed line telecommunications,software,blizoo,wercker,
consumer services,industrials,,airlines,business support services,bulgaria air,wolters kluwer,
financials,consumer goods,,banks,apparel retailers,bulgarian agricultural and commercial bank,zeeman,
consumer services,technology,,airlines,software,bulgarian air charter,11 bit studios,
financials,consumer goods,,banks,textile,bulgarian development bank,4f,
oil & gas,basic materials,,exploration & production,coal,bulgarian energy holding,adamów coal mine,
financials,consumer goods and services,,banks,mass media,bulgarian national bank,agora,
financials,consumer services,,banks,e-commerce,bulgarian postbank,allegro,
industrials,financials,,delivery services,banks,bulgarian posts,alior bank,
industrials,consumer goods,,railroads,durable household products,bulgarian state railways,amica,
consumer goods,technology,,tobacco,software,bulgartabac,asseco,
industrials,financials,,delivery services,banks,cargoair,bank millennium,
financials,financials,,banks,banks,central cooperative bank,bank pekao,
conglomerates,consumer goods,,-,brewers,chimimport,belvedere vodka,
consumer services,basic materials,,specialty retailers,coal,corecom,bełchatów coal mine,
basic materials,consumer services,,nonferrous metals,food retailers & wholesalers,cumerio med,biedronka,
consumer services,consumer goods,,broadcasting & entertainment,household goods,diema,black red white,
financials,basic materials,,banks,general mining,dsk bank,bochnia salt mine,
financials,basic materials,,full line insurance,coal,dzi,bogdanka coal mine,
consumer services,automotive industry,,publishing,automotive trade,economedia,boryszew,
consumer services,technology,,publishing,software,egmont bulgaria,brainly,
consumer services,consumer goods,,publishing,brewers,era,browar łomża,
consumer services,consumer goods,,gambling,brewers,eurofootball,carlsberg polska,
consumer services,technology,,food retailers & wholesalers,software,fantastico,cd projekt,
financials,chemical industry,,banks,specialty chemicals,first investment bank,ciech,
financials,technology,,banks,software,girdap,comarch,
technology,consumer services,,software,food retailers & wholesalers,haemimont games,dino,
consumer services,consumer products,,airlines,confectionary,heli air services,e. wedel,
consumer services,consumer goods,,hotels,brewers,hotel rodina,elbrewery,
financials,industrials,,banks,diversified industrials,hvb bank biochim,elektrim,
consumer goods,utilities,,brewers,conventional electricity,kamenitza,enea sa,
consumer goods,technology,,brewers,software,karlsberg bulgaria ad,ericpol,
consumer services,consumer services,,broadcasting & entertainment,food retailers & wholesalers,kino nova,eurocash,
industrials,industrials,,defense,commercial vehicles & trucks,kintex,fablok,
basic materials,consumer goods,,iron & steel,automobiles,kremikovtzi ad,fabryka samochodów małolitrażowych,
consumer services,consumer goods,,broadcasting & entertainment,automobiles,"m3 communications group, inc",fabryka samochodów osobowych,
consumer goods,industrials,,recreational products,diversified industrials,maxeurope,fłt-kraśnik,
telecommunications,industrials,,mobile telecommunications,diversified industrials,mtel,fasing s.a.,
conglomerates,basic materials,,-,nonferrous metals,multigroup,gaworzyce mine,
industrials,utilities,,marine transportation,gas distribution,navibulgar,gaz-system,
oil & gas,basic materials,,exploration & production,nonferrous metals,lukoil neftochim burgas,głogów głęboki-przemysłowy mine,
utilities,chemical industry,,conventional electricity,specialty chemicals,nek ead,grupa azoty,
telecommunications,oil & gas,,fixed line telecommunications,exploration & production,neterra,grupa lotos,
technology,basic materials,,software,coal,nimero,gubin coal mine,
technology,basic materials,,software,coal,ontotext,halemba coal mine,
oil & gas,consumer goods,,pipelines,food products,overgas,hortex,
oil & gas,financials,,pipelines,banks,petrol ad,ing bank śląski,
consumer goods,consumer goods,,brewers,cosmetics,pirinsko pivo,inglot,
basic materials,consumer services,,specialty chemicals,logistics,prista oil,inpost,
consumer services,consumer services,,publishing,broadcasting & entertainment,prosveta publishing house,iti group,
financials,consumer services,,banks,retail,raiffeisen bulgaria,jabłkowski brothers,
consumer goods,basic materials,,food products,coal,sucreries raffineries bulgares,jsw,
consumer services,industrials,,consumer electronics,engineering and machinery,technomarket,k. rudzki i s-ka,
telecommunications,basic materials,,mobile telecommunications,nonferrous metals,telenor bulgaria,kghm polska miedź,
industrials,consumer services,,defense,broadcasting & entertainment,terem,kino polska,
financials,basic materials,,banks,general mining,texim bank,kłodawa salt mine,
financials,consumer goods,,banks,brewers,unicredit bulbank,kompania piwowarska,
financials,basic materials,,banks,coal,unionbank,kompania węglowa,
financials,consumer goods,,banks,brewers,united bulgarian bank,lech browary wielkopolski,
industrials,industrials,,shipbuilding,engineering company,varna shipyard,"lilpop, rau i loewenstein",
consumer goods,technology,,food products,software,vitta foods,livechat software,
telecommunications,consumer services,,fixed line telecommunications,airlines,vivacom,lot polish airlines,
industrials,consumer services,,commercial vehicles & trucks,apparel retailers,vrz karlovo,lpp,
consumer services,food,,airlines,food concern,abelag aviation,maspex,
health care,consumer services,,biotechnology,recreational services,ablynx,multikino,
conglomerates,telecommunications,,-,fixed line telecommunications,ackermans & van haaren,netia,
industrials,consumer goods,,industrial engineering,brewers,af compressors,okocim brewery,
financials,technology,,real estate holding and development,computer hardware,ag real estate,optimus s.a.,
financials,telecommunications,,consumer finance,mobile telecommunications,ageas,orange polska,
technology,industrials,,computer services,commercial vehicles & trucks,agfa-gevaert,pesa sa,
industrials,oil & gas,,business support services,exploration & production,agoria,pgnig,
technology,oil & gas,,computer services,exploration & production,aim productions,pkn orlen,
consumer goods,telecommunications,,food products,mobile telecommunications,alpro,play,
consumer goods,telecommunications,,brewers,mobile telecommunications,anheuser-busch inbev,plus,
utilities,consumer services,,water,delivery services,antwerp water works,poczta polska,
utilities,consumer services,,water,broadcasting & entertainment,aquafin,polcast television,
industrials,industrials,,delivery services,railroads,asl airlines belgium,polish state railways,
consumer goods,consumer services,,clothing and accessories,broadcasting & entertainment,associated weavers,polsat,
consumer goods,utilities,,farming and fishing,conventional electricity,aveve,polska grupa energetyczna,
industrials,industrials,,delivery services,delivery services,aviapartner,polsteam,
technology,financials,,computer hardware,banks,barco,pko bp,
industrials,financials,,business support services,full line insurance,base,pzu,
consumer goods,consumer goods,,clothing and accessories,machinery,beaulieu international group,pronar,
financials,consumer services,,real estate holding and development,travel & tourism,befimmo,pks,
basic materials,consumer services,,specialty chemicals,travel & tourism,bekaert,przewozy regionalne,
consumer services,utilities,,restaurants and bars,conventional electricity,belgian beer café,pse (polskie sieci elektroenergetyczne),
financials,food products,,specialty finance,fruit and vegetable processing,belgian investment company for developing countries,pudliszki,
industrials,technology,,delivery services,software,bpost,qumak,
consumer services,consumer services,,airlines,general retailers,brussels airlines,smyk department store,
financials,industrials,,specialty finance,commercial vehicles & trucks,brussels regional investment company,solaris bus & coach,
basic materials,technology,,iron and steel,software,cockerill sambre,techland,
basic materials,industrials,,general mining,diversified industrials,carmeuse,tele-fonika kable,
consumer goods,consumer services,,toys,broadcasting & entertainment,cartamundi,telewizja polska,
consumer goods,telecommunications,,food products,mobile telecommunications,cavalier chocolate,t-mobile polska,
industrials,consumer services,,commercial vehicles and trucks,broadcasting & entertainment,claeys,tvn24,
financials,consumer services,,real estate services,broadcasting & entertainment,cofinimmo,tvn 7,
consumer services,consumer services,,food retailers and wholesalers,broadcasting & entertainment,colruyt group,tvn group,
industrials,consumer goods,,marine transportation,soft drinks,compagnie maritime belge,tymbark,
consumer goods,automotive inductry,,food products,agricultural machinery,confiserie roodthooft,ursus sa,
consumer services,consumer goods,,travel and tourism,brewers,de lijn,van pur,
basic materials,consumer services,,commodity chemicals,recreational services,deceuninck,wieliczka salt mine,
consumer goods,automotive industry,,food products,utility vehicles,delhaize group,wielton,
industrials,consumer services,,heavy construction,food retailers & wholesalers,deme,żabka,
consumer services,industrials,,specialized consumer services,defense,d'ieteren,zmt sa,
consumer goods,consumer goods,,clothing and accessories,brewers,domo group,żubrówka,
consumer goods,consumer goods,,nondurable household products,brewers,ecover,żywiec brewery,
financials,basic materials,,financial services,paper,effortel,altri,
consumer goods,industrials,,building materials and fixtures,industrial suppliers,etap lighting,ambar – ideas on paper s.a.,
health care,financials,,biotechnology,banks,eurogentec,banco comercial português,
technology,health care,,telecommunications equipment,pharmaceuticals,evs broadcast equipment,bial,
technology,financials,,computer hardware,banks,ferranti computer systems,caixa geral de depósitos,
oil and gas,consumer services,,exploration and production,travel & tourism,fluxys,carris,
basic materials,consumer goods,,general mining,brewers,forrest group,central de cervejas,
financials,technology,,equity investment instruments,semiconductors,gimv,chipidea,
consumer goods,wine making,,food products,port wine,godiva chocolatier,churchill's port,
consumer services,technology,,publishing,software,group joos,ciberbit,
industrials,industrials,,diversified industrials,building materials & fixtures,groupe bruxelles lambert,cimpor,
consumer goods,consumer goods,,food products,clothing & accessories,guylian,cms-helmets,
technology,consumer services,,computer services,publishing,imec,cofina,
consumer goods,consumer services,,automobiles,travel & tourism,imperia automobiles,comboios de portugal,
health care,consumer goods,,biotechnology,food products,innogenetics,conservas ramirez,
industrials,consumer services,,building materials and fixtures,food retailers & wholesalers,jan de nul,continente,
health care,basic materials,,pharmaceuticals,industrial suppliers,janssen pharmaceutica,corticeira amorim,
industrials,technology,,commercial vehicles and trucks,software,jonckheere,critical software,
industrials,industrials,,delivery services,delivery services,katoen natie,"ctt correios de portugal, s.a. (ctt)",
financials,consumer goods,,banks,food products,kbc bank,delta cafés,
financials,industrials,,investment services,electronic equipment,keytrade bank,efacec,
consumer services,utilities,,recreational services,conventional electricity,kinepolis,energias de portugal (edp),
technology,industrials,,software,defense,larian studios,fábrica nacional de munições de armas ligeiras,
consumer goods,utilities,,clothing and accessories,gas distribution,libeco-lagae,galp energia,
consumer services,technology,,food retailers and wholesalers,software,louis delhaize group,glintt,
technology,conglomerates,,computer services,-,luciad nv,grupo josé de mello,
technology,industrials,,computer services,general industries,materialise nv,iberomoldes,
basic materials,consumer services,,nonferrous metals,media,metallo-chimique,impresa,
consumer goods,consumer services,,consumer electronics,retail,mutoh europe nv,jerónimo martins,
industrials,consumer goods,,business support services,food & beverage,namahn,lactogal,
consumer services,industrials,,rail transport,diversified industrials,national railway company of belgium,logoplaste,
industrials,industrials,,diversified industrials,heavy construction,compagnie nationale à portefeuille,martifer,
basic materials,consumer services,,general mining,broadcasting & entertainment,nyrstar,media capital,
technology,health care,,computer hardware,pharmaceuticals,option n.v.,medinfar,
consumer services,telecommunications,,publishing,mobile telecommunications,proost,meo,
telecommunications,financials,,mobile telecommunications,banks,proximus,montepio,
telecommunications,industrials,,fixed line telecommunications,general industries,proximus group,mota-engil,
financials,technology,,investment services,software,regional investment company of wallonia,move interactive,
basic materials,telecommunications,,aluminum,fixed line telecommunications,reynaers aluminium,nos,
financials,technology,,asset managers,software,rhj international,novabase,
consumer goods,financials,,recreational products,banks,ridley bikes,novo banco,
consumer goods,consumer services,,recreational products,food retailers & wholesalers,saluc,pingo doce,
consumer goods,consumer services,,consumer electronics,publishing,septentrio,porto editora,
consumer goods,telecommunications,,clothing and accessories,fixed line telecommunications,seyntex,portugal telecom,
industrials,technology,,aerospace,software,skytech,quidgest,
financials,consumer services,,equity investment instruments,broadcasting & entertainment,sofina,rádio e televisão de portugal,
basic materials,utilities,,specialty chemicals,conventional electricity,solvay s.a.,redes energéticas nacionais (ren),
basic materials,basic materials,,specialty chemicals,paper,soudal,renova,
consumer goods,telecommunications,,food products,fixed line telecommunications,sugar refinery of tienen,sapo,
telecommunications,industrials,,fixed line telecommunications,building materials & fixtures,telenet,semapa,
industrials,industrials,,delivery services,diversified industrials,teleroute,simoldes,
industrials,industrials,,commercial vehicles and trucks,heavy construction,thermote & vanhalst,soares da costa,
consumer services,consumer services,,airlines,broadcasting & entertainment,thomas cook airlines belgium,sic,
health care,industrials,,pharmaceuticals,diversified industrials,tibotec,sonae indústria,
health care,conglomerates,,biotechnology,-,tigenix,sonae,
industrials,consumer goods,,business support services,farming & fishing,tractebel,sovena group,
industrials,consumer goods,,business support services,food products,truvo,sumol + compal,
consumer services,consumer goods,,airlines,tobacco,tuifly belgium,tabaqueira,
health care,consumer services,,pharmaceuticals,airlines,ucb,tap air portugal,
consumer services,consumer services,,broadcasting and entertainment,broadcasting & entertainment,umedia,televisão independente,
basic materials,basic materials,,general mining,paper,umicore,the navigator company,
industrials,financials,,containers and packaging,full line insurance,unibind,tranquilidade,
basic materials,consumer services,,general mining,publishing,union minière du haut katanga,tupam editores,
industrials,industrials,,containers and packaging,diversified industrials,van genechten packaging,umm,
industrials,consumer goods,,commercial vehicles and trucks,brewers,van hool,unicer brewery,
financials,technology,,life insurance,internet,vanbreda international,uniplaces,
consumer goods,conglomerates,,food products,-,vanparys,visabeira,
industrials,consumer goods,,electronic equipment,durable household products,velleman,vista alegre,
industrials,consumer services,,business support services,publishing,vinçotte,adevărul holding,
consumer services,consumer services,,airlines,food retailers & wholesalers,vlm airlines,angst,
consumer goods,health care,,automobiles,pharmaceuticals,volvo car gent,antibiotice iași,
financials,consumer goods,,specialty finance,durable household products,walloon sme finance and guarantee company,apulum,
technology,consumer goods,,technology hardware,durable household products,zetes,arctic s.a.,
consumer goods,consumer goods,,food products,automobiles,agrana,automobile dacia,
industrials,financials,,industrial machinery,banks,pewag group,banca comercială română (bcr),
industrials,financials,,electronic equipment,banks,aht cooling systems,banca transilvania,
consumer goods,consumer services,,durable household products,airlines,ammerer bed company,blue air,
technology,financials,,semiconductors,banks,ams ag,brd – groupe société générale,
industrials,industrials,,industrial machinery,railroads,andritz,căile ferate române,
consumer goods,consumer services,,recreational products,hotels,atomic skis,continental hotels,
consumer goods,consumer services,,durable household products,retail services,augarten porcelain,dedeman,
industrials,consumer goods,,diversified industrials,food products,amag austria metall ag,european drinks & foods,
financials,consumer goods,,banks,personal products,austria wirtschaftsservice gesellschaft,farmec,
consumer services,consumer goods,,airlines,automobiles,austrian airlines,ford romania,
industrials,technology,,electronic equipment,software,b&r,gecad software,
financials,industrials,,banks,railroads,bank austria,grup feroviar român,
