founded,industry,headquarters,name,size,website
1959,logistics & supply chain,"london, united kingdom",stolt-nielsen limited careers,"5,001 to 10,000 employees",www.stolt-nielsen.com
2005,financial services,"new york, ny",payoneer careers,"1,001 to 5,000 employees",www.payoneer.com
1937,defense & space,"ashburn, va",saab defense and security usa careers,"501 to 1,000 employees",www.saabusa.com
1999,legal services,"pontiac, mi",the dobrusin law firm careers,1 to 50 employees,www.patentco.com
1996,marketing & advertising,"calgary, ab",critical mass careers,"501 to 1,000 employees",www.criticalmass.com
1972,venture capital & private equity,"menlo park, ca",sequoia capital careers,51 to 200 employees,www.sequoiacap.com
1988,computer software,"louisville, kentucky",infocon careers,51 to 200 employees,www.infoconn.com
1896,government administration,"salt lake city, ut",utah state legislature careers,51 to 200 employees,www.le.utah.gov
2017,computer software,"san francisco, ca",the ai foundation careers,1 to 50 employees,www.aifoundation.com
2004,information technology & services,"fairfax, va",widepoint careers,51 to 200 employees,www.widepoint.com
2004,computer software,"provo, ut",xant careers,201 to 500 employees,www.xant.ai
1982,marketing & advertising,"new york, ny",mrm careers,"1,001 to 5,000 employees",www.mrm.com
2011,telecommunications,"plantation, fl",magic leap careers,"1,001 to 5,000 employees",www.magicleap.com
1882,"transportation, trucking & rail","honolulu, hi",matson careers,"1,001 to 5,000 employees",www.matson.com
2011,computer software,"zagreb, croatia",axilis careers,51 to 200 employees,www.axilis.com
1999,computer software,"pleasanton, ca",servicechannel careers,201 to 500 employees,www.servicechannel.com
1977,automotive,"detroit, mi",urban science careers,"501 to 1,000 employees",www.urbanscience.com
1998,retail,"miami, fl",citco usa careers,"5,001 to 10,000 employees",www.citco.com
1983,computer hardware,"new taipei city, taiwan",chenbro careers,"1,001 to 5,000 employees",www.chenbro.com
2019,marketing & advertising,"coeur d'alene, idaho",hagadone media careers,51 to 200 employees,www.hagadonemediagroup.com
2018,consumer electronics,"carlsbad, ca",arlo careers,201 to 500 employees,www.arlo.com
2016,computer software,"philadelphia, pa",fishtown analytics careers,1 to 50 employees,fishtownanalytics.com
2014,utilities,"tulsa, ok",one gas careers,"1,001 to 5,000 employees",www.onegas.jobs
2012,computer software,"boston, ma",salsify careers,201 to 500 employees,www.salsify.com
1965,research,"richland, wa",pacific northwest national lab careers,"1,001 to 5,000 employees",www.pnnl.gov
2019,"leisure, travel & tourism","new york, ny",pride tours nyc careers,1 to 50 employees,www.pridetoursnyc.com
2000,information services,"turin, italy",mediaservice careers,1 to 50 employees,mediaservice.net
1891,hospital & health care,"columbus, oh",ohiohealth careers,"10,000+ employees",www.ohiohealth.com
2005,computer software,"new york, ny",lineate careers,51 to 200 employees,www.lineate.com
2004,oil & energy,"houston, tx",ambyint careers,51 to 200 employees,ambyint.com
2013,information technology & services,"san jose, ca",vexata careers,51 to 200 employees,www.vexata.com
2015,research,"arlington, va",qntfy careers,1 to 50 employees,www.qntfy.com
2007,semiconductors,"santa clara, ca",adesto technologies careers,201 to 500 employees,adestotech.com
1999,computer software,"austin, tx",zilliant careers,201 to 500 employees,resources.zilliant.com
2000,information technology & services,"piscataway, nj",valuemomentum careers,"1,001 to 5,000 employees",www.valuemomentum.com
2012,information services,"new york, ny",7park data careers,51 to 200 employees,www.7parkdata.com
1951,aviation & aerospace,"melville, ny",flightsafety international careers,"1,001 to 5,000 employees",www.flightsafety.com
2011,marketing & advertising,"san francisco, ca",vungle careers,201 to 500 employees,www.vungle.com
2003,information technology & services,"san jose, ca",jade global careers,"1,001 to 5,000 employees",www.jadeglobal.com
1989,food & beverages,"rosemont, il",us foods careers,"10,000+ employees",www.usfoods.com
1968,information technology & services,"santa monica, ca",kas engineering careers,1 to 50 employees,www.kasengineering.com
2019,management consulting,"houston, tx",kaulz consulting careers,1 to 50 employees,www.kaulzconsulting.com
2017,insurance,"san francisco, ca",newfront careers,201 to 500 employees,www.newfront.com
2010,information technology & services,"naperville, il",streamlinx careers,1 to 50 employees,www.streamlinx.com
1914,retail,"seattle, wa",brooks running careers,"501 to 1,000 employees",www.brooksrunning.com
1912,"leisure, travel & tourism","pullach, germany",sixt careers,"5,001 to 10,000 employees",www.sixt.com
1924,consumer goods,"brookfield, wi",milwaukee tool careers,"5,001 to 10,000 employees",www.milwaukeetool.com
2017,computer & network security,"menlo park, ca",moac careers,1 to 50 employees,www.moac.io
1915,internet,"cape town, africa",naspers careers,"10,000+ employees",www.naspers.com
2001,logistics & supply chain,"branford, ct",periship careers,1 to 50 employees,www.periship.com
2008,e-learning,"washington, dc",everfi careers,"501 to 1,000 employees",www.everfi.com
1996,retail,"los angeles, ca",iherb careers,"501 to 1,000 employees",www.iherb.com
2009,medical device,"san francisco, ca",optokey careers,1 to 50 employees,optokey.com
1997,philanthropy,"southeastern, pa",vanguard charitable careers,51 to 200 employees,www.vanguardcharitable.org
2015,computer games,"chicago, il",level ex careers,51 to 200 employees,www.levelex.com
1991,computer software,"kirkland, wa",zemax careers,51 to 200 employees,www.zemax.com
2015,logistics & supply chain,"waltham, ma","6 river systems, inc. careers",201 to 500 employees,6river.com
2000,information technology & services,"seattle, wa",blue sky projects careers,1 to 50 employees,www.blueskyprojects.com
2001,computer networking,"minneapolis, mn",netspi careers,51 to 200 employees,www.netspi.com
2014,computer networking,"san jose, ca",pulse secure careers,"501 to 1,000 employees",pulsesecure.net
2003,consumer electronics,"rogaland, norway",navico careers,"5,001 to 10,000 employees",navico.com
1993,hospital & health care,"bakersfield, ca",kern family health care careers,201 to 500 employees,www.kernhealthsystems.com
1989,computer software,"cranbury, nj",infragistics careers,51 to 200 employees,www.infragistics.com
2011,computer software,"santa clara, ca",doit international careers,201 to 500 employees,www.doit-intl.com
2012,computer software,"san francisco, ca",periscope data careers,51 to 200 employees,periscopedata.com
1999,investment management,"boston, ma",arrowstreet capital careers,201 to 500 employees,www.arrowstreetcapital.com
1902,utilities,"st. louis, mo",ameren careers,"5,001 to 10,000 employees",www.ameren.com
1958,retail,"miami, fl",starboard cruise services careers,"1,001 to 5,000 employees",www.starboardcruise.com
1931,government administration,"little rock, ar",arkansas department of education careers,201 to 500 employees,www.arkansased.gov
1999,internet,"midvale, ut",overstock careers,"1,001 to 5,000 employees",www.overstock.com
1848,civic & social organization,"washington, dc",dnc careers,201 to 500 employees,www.democrats.org
1997,information technology & services,"london, united kingdom",qualitest careers,"1,001 to 5,000 employees",www.qualitestgroup.com
2008,information technology & services,"aurora, il",simplify healthcare careers,201 to 500 employees,www.simplifyhealthcare.com
2017,entertainment,"los angeles, ca",takko careers,1 to 50 employees,takkoapp.com
1994,computer software,"san mateo, ca",avistar careers,51 to 200 employees,avistar.com
1999,computer software,"wakefield, ma",apache software foundation careers,"5,001 to 10,000 employees",www.apache.org
2014,financial services,"new york, ny",voya financial careers,"5,001 to 10,000 employees",www.voya.com
1896,consumer goods,"arcola, il",the libman company careers,"501 to 1,000 employees",libman.com
2014,internet,"san francisco, ca",checkr careers,201 to 500 employees,www.checkr.com
2015,automotive,"palo alto, ca",nauto careers,51 to 200 employees,www.nauto.com
1986,marketing & advertising,"santa monica, ca",rpa careers,"501 to 1,000 employees",www.rpa.com
2015,computer software,"fullerton, ca",kraferd careers,1 to 50 employees,www.kraferd.com
1982,retail,"lyndhurst, nj",h mart careers,"5,001 to 10,000 employees",www.hmart.com
2001,computer software,"stockholm, sweden",itiviti careers,"1,001 to 5,000 employees",www.itiviti.com
1997,"apparel, fashion & luxury","new york, ny",theory careers,"501 to 1,000 employees",www.theory.com
2015,internet,"miami, fl",willing careers,1 to 50 employees,www.willing.com
1983,investment management,"washington, dc",aristotle careers,51 to 200 employees,www.aristotle.com
1859,information technology & services,"north canton, oh",diebold nixdorf careers,"10,000+ employees",dieboldnixdorf.com
1978,semiconductors,"boise, id",micron careers,"10,000+ employees",www.micron.net
1990,information technology & services,"boston, ma",publicis sapient careers,"10,000+ employees",www.publicissapient.com
2012,information technology & services,"san diego, ca",wardbrew careers,1 to 50 employees,www.wardbrew.com
2019,business supplies & equipment,"hyderabad, india",eversai careers,1 to 50 employees,www.eversai.com
2007,medical device,"redwood city, ca",heartflow careers,201 to 500 employees,www.heartflow.com
1981,pharmaceuticals,"lausanne, switzerland",galderma careers,"5,001 to 10,000 employees",www.galderma.com
2012,research,"new york, ny",numerati careers,1 to 50 employees,numeratipartnersllc.com
2015,computer software,"san francisco, ca",leapyear careers,51 to 200 employees,leapyear.io
2016,marketing & advertising,"matthews, nc",big idea group careers,1 to 50 employees,www.abigideagroup.com
1864,financial services,"tokyo, japan",mufg careers,"10,000+ employees",www.mufg.jp
1927,materials & manufacturing,"atlanta, ga",georgia-pacific careers,"10,000+ employees",www.gp.com
1967,automotive,"seoul, south korea",hyundai motor careers,"10,000+ employees",worldwide.hyundai.com
2011,broadcast & online media,"playa vista, ca",fullscreen careers,"501 to 1,000 employees",www.fullscreen.com
2017,computer software,"san francisco, ca",rideos careers,1 to 50 employees,www.rideos.ai
1865,financial services,"london, united kingdom",hsbc careers,"10,000+ employees",www.hsbc.com
2004,information technology & services,"san francisco, ca",digital realty careers,"501 to 1,000 employees",www.digitalrealty.com
1965,retail,"san diego, ca",petco careers,"10,000+ employees",www.petco.com
1962,retail,"northbrook, il",crate & barrel careers,"5,001 to 10,000 employees",www.crateandbarrel.com
2007,hospital & health care,"los angeles, ca",private health management careers,51 to 200 employees,www.privatehealth.com
2005,insurance,"el dorado hills, ca",patra corporation careers,201 to 500 employees,www.patracorp.com
1856,medical device,"watford, england",smith & nephew careers,"10,000+ employees",www.smith-nephew.com
2020,computer software,"san francisco, ca",nyana careers,1 to 50 employees,nyana.io
2018,"leisure, travel & tourism","denver, co",alterra mountain company careers,"10,000+ employees",www.alterramtnco.com
1864,financial services,"paris, france",sociã©tã© gã©nã©rale careers,"10,000+ employees",www.societegenerale.com
2017,biotechnology,"stamford, ct",sema4 careers,"501 to 1,000 employees",www.sema4.com
2013,computer software,"holmdel, nj",avlino careers,1 to 50 employees,www.avlino.com
1950,restaurants,"canton, ma",dunkin donuts careers,51 to 200 employees,www.dunkindonuts.com
2017,hospital & health care,"greenville, sc",prisma health careers,"10,000+ employees",careers.prismahealth.org
2011,staffing & recruiting,"milwaukee, wi",experis careers,"10,000+ employees",www.experis.us
1919,food & beverages,"chicago, il",conagra brands careers,"10,000+ employees",www.conagrabrands.com
2008,"health, wellness & fitness","dallas, tx",healthmine careers,51 to 200 employees,www.healthmine.com
2008,financial services,"toronto, on",thomson reuters careers,"10,000+ employees",www.thomsonreuters.com
1980,information technology & services,"troy, mi",syntel careers,"10,000+ employees",www.atos-syntel.net
1973,computer software,"detroit, mi",compuware careers,"501 to 1,000 employees",www.compuware.com
1992,information technology & services,"powell, oh",ohio computer medix careers,1 to 50 employees,www.ohiocomputermedix.com
1902,consumer goods,"london, united kingdom",british american tobacco careers,"10,000+ employees",www.bat.com
2011,information technology & services,"san jose, ca",zoom careers,"1,001 to 5,000 employees",www.zoom.com
2003,oil & energy,"the woodlands, tx",strike careers,"5,001 to 10,000 employees",www.strikeusa.com
1994,management consulting,"london, united kingdom",proxima careers,201 to 500 employees,www.proximagroup.com
2017,automotive,"torrance, ca",canoo careers,201 to 500 employees,www.canoo.com
2015,computer software,"evora, portugal",datasonar careers,1 to 50 employees,www.datasonar.eu
2015,computer software,"oakland, ca",worklete careers,1 to 50 employees,www.worklete.com
1978,trade & development,"the hague, netherlands",netherlands foreign investment agency careers,51 to 200 employees,investinholland.com
1999,defense & space,"huntsville, al",radiance technologies careers,"501 to 1,000 employees",www.radiancetech.com
2017,internet,"chicago, il",veo careers,51 to 200 employees,www.veoride.com
2000,internet,"new york, ny",admarketplace careers,51 to 200 employees,www.admarketplace.com
1997,information technology & services,"san francisco, ca",heflin search partners careers,1 to 50 employees,www.heflinsearch.com
2005,entertainment,"simi valley, ca",tangerine global careers,1 to 50 employees,tangerineglobal.com
1959,retail,"enon, oh",speedway careers,"10,000+ employees",speedway.com
1998,computer software,"princeto, nj",zycus careers,"1,001 to 5,000 employees",www.zycus.com
2018,materials & manufacturing,"tempe, az",renature careers,51 to 200 employees,www.renatureinc.com
1807,newspapers & publishing,"hoboken, nj",wiley careers,"1,001 to 5,000 employees",www.wiley.com
2000,information technology & services,"nanterre, france",thales careers,"10,000+ employees",www.thalesgroup.com
2015,internet,"austin, tx",outdoorsy careers,51 to 200 employees,www.outdoorsy.com
2014,internet,"palo alto, ca",arc.dev careers,1 to 50 employees,www.arc.dev
2010,e-learning,"new york, ny",voxy careers,51 to 200 employees,voxy.com
1983,automotive,"paris, il",north american lighting careers,"1,001 to 5,000 employees",www.nal.com
1989,investment management,"toronto, ontario",ontario teachers'â pension plan careers,"1,001 to 5,000 employees",www.otpp.com
2011,computer software,"berkeley, ca",leadgenius careers,1 to 50 employees,leadgenius.com
2013,computer software,"zagreb, croatia",sartura careers,1 to 50 employees,www.sartura.hr
2016,hospital & health care,"jacksonville, fl",revmed group careers,1 to 50 employees,www.revmed.com
1867,pharmaceuticals,"dublin, ireland",mallinckrodt pharmaceuticals careers,"1,001 to 5,000 employees",www.mallinckrodt.com
1984,computer networking,"san jose, ca",cisco careers,"10,000+ employees",www.cisco.com
1995,environmental services,"oakland, ca",energy solutions careers,51 to 200 employees,www.energy-solution.com
1947,retail,"stockholm, sweden",h&m careers,"10,000+ employees",www.hm.com
2015,computer software,"los angeles, ca",heslil careers,1 to 50 employees,www.heslil.com
2007,information technology & services,"canberra, act",citadel careers,201 to 500 employees,www.citadelgroup.com
2017,investment management,"bangalore, karnataka",paytm money careers,201 to 500 employees,paytmmoney.com
2019,real estate,"brooklyn, ny",savvy careers,1 to 50 employees,www.savvyscreen.com
2000,internet,"needham, ma",tripadvisor careers,"1,001 to 5,000 employees",www.tripadvisor.com
2014,computer software,"san francisco, ca",aptible careers,51 to 200 employees,www.aptible.com
1970,research,"palo alto, ca",parc careers,201 to 500 employees,parc.com
2015,computer hardware,"huntsville, al","abaco systems, inc. careers",51 to 200 employees,www.abaco.com
1982,computer software,"eden prairie, mn",helpsystems careers,"1,001 to 5,000 employees",www.helpsystems.com
2008,retail,"orlando, fl",victory tailgate careers,51 to 200 employees,victorytailgate.com
2007,computer software,"bellevue, wa",acumatica careers,201 to 500 employees,www.acumatica.com
1988,real estate,"greenbelt, md",the bozzuto group careers,"1,001 to 5,000 employees",www.bozzuto.com
1980,information technology & services,"winston-salem, nc",inmar careers,"1,001 to 5,000 employees",www.inmar.com
2005,telecommunications,"richardson, tx",mavenir careers,"1,001 to 5,000 employees",mavenir.com
2012,computer software,"san mateo, ca",snowflake careers,"501 to 1,000 employees",www.snowflake.com
2006,retail,"moscow, russia",x5 retail group careers,"10,000+ employees",www.x5.ru
2010,computer software,"lyon, france",inova software careers,51 to 200 employees,www.inova-software.com
2015,computer software,"chicago, il",ballotready careers,1 to 50 employees,www.ballotready.org
1993,computer software,"king of prussia, pa",qlik careers,"1,001 to 5,000 employees",www.qlik.com
1933,aviation & aerospace,"cedar rapids, ia",collins aerospace careers,"10,000+ employees",www.collinsaerospace.com
2015,internet,"new york, ny","knockaway, inc. careers",1 to 50 employees,www.knock.com
1961,"health, wellness & fitness","louisville, ky",humana careers,"10,000+ employees",www.humana.com
2015,biotechnology,"london, united kingdom",orchard therapeutics careers,201 to 500 employees,www.orchard-tx.com
2018,internet,"new york, ny",tracer careers,1 to 50 employees,tracer.tech
2003,defense & space,"herndon, va",compass careers,51 to 200 employees,www.cmpsinc.com
1971,retail,"wilton, ct",cyclingsportsgroup careers,"501 to 1,000 employees",www.cyclingsportsgroup.com
1999,semiconductors,"schiphol, netherlands",lumileds careers,"5,001 to 10,000 employees",www.lumileds.com
2003,computer hardware,"carlsbad, ca",maxlinear careers,201 to 500 employees,www.maxlinear.com
2006,financial services,"newton, ma",first help financial careers,51 to 200 employees,www.firsthelpfinancial.com
1961,"apparel, fashion & luxury","milan, italy",luxottica careers,"10,000+ employees",www.luxottica.com
2012,information technology & services,"chicago, il",modelop careers,1 to 50 employees,www.modelop.com
2003,chemicals,"wichita, ks",invista careers,"5,001 to 10,000 employees",www.invista.com
1902,mechanical & industrial engineering,"palm beach gardens, fl",carrier careers,"10,000+ employees",www.carrier.com
1996,environmental services,"san juan capistrano, ca",yorke engineering careers,51 to 200 employees,www.yorkeengr.com
2010,computer & network security,"san francisco, ca",kenna security careers,51 to 200 employees,www.kennasecurity.com
2018,computer software,"santa monica, ca",buildops careers,1 to 50 employees,buildops.com
2017,computer & network security,"palo alto, ca",truu careers,1 to 50 employees,www.truu.a
1994,computer hardware,"milpitas, ca",headway technologies careers,"501 to 1,000 employees",www.headway.com
1989,computer hardware,"taipei, taiwan",asus careers,"10,000+ employees",www.asus.com
2005,computer software,"irvine, ca",clubspeed careers,51 to 200 employees,clubspeed.com
1882,government administration,"long beach, ca",city of long beach careers,"5,001 to 10,000 employees",www.longbeach.gov
1906,oil & energy,"columbus, oh",american electric power careers,"10,000+ employees",www.aep.com
2011,computer software,"new york, ny",enigma careers,51 to 200 employees,enigma.com
2017,real estate,"san francisco, ca",zenlist careers,1 to 50 employees,zenlist.com
2012,human resources,"new york, ny",justworks careers,201 to 500 employees,www.justworks.com
2009,information technology & services,"macomb, mi",solid cage careers,1 to 50 employees,www.solidcage.com
1983,retail,"elgin, il",colony display careers,201 to 500 employees,www.colonydisplay.com
2012,information technology & services,"santa ana, ca",verys careers,201 to 500 employees,verys.com
1976,retail,"hauts-de-france, france",decathlon france careers,"10,000+ employees",www.decathlon.com
1999,semiconductors,"phoenix, az",onsemi careers,"10,000+ employees",www.onsemi.com
1997,entertainment,"new york, ny",the orchard careers,201 to 500 employees,www.theorchard.com
1987,biotechnology,"luxembourg, luxembourg",eurofins careers,"10,000+ employees",www.eurofins.com
1989,internet,"atlanta, ga",rentpath careers,"501 to 1,000 employees",www.rentpath.com
2020,information technology & services,"san ramon, ca",riiid labs careers,51 to 200 employees,www.riiidlabs.ai
1955,retail,"kansas city, mo",h&r block careers,"10,000+ employees",www.hrblock.com
2012,computer software,"san francisco, ca",miro careers,"501 to 1,000 employees",miro.com
2014,entertainment,"burbank, ca",stx entertainment careers,51 to 200 employees,stxentertainment.com
1982,information technology & services,"reading, united kingdom",mastek careers,"1,001 to 5,000 employees",www.mastek.com
1989,financial services,"irvine, ca",hyundai capital america careers,"1,001 to 5,000 employees",www.hyundaicapitalamerica.com
2000,information technology & services,"mumbai, india",eclerx careers,"10,000+ employees",www.eclerx.com
1914,financial services,"boston, ma",federal reserve bank of boston careers,"1,001 to 5,000 employees",www.bostonfed.org
2019,banking,"los angeles, ca",comcard careers,1 to 50 employees,comcard.us
2007,marketing & advertising,"kansas city, mo",yoodle careers,1 to 50 employees,www.yoodle.com
1926,financial services,"new york, ny",mckinsey & company careers,"10,000+ employees",www.mckinsey.com
2016,information technology & services,"dã¼sseldorf, germany",cognigy careers,1 to 50 employees,www.cognigy.com
2003,internet,"amsterdam, netherlands",backbase careers,"501 to 1,000 employees",www.backbase.com
1886,utilities,"camden, nj",american water careers,"5,001 to 10,000 employees",www.amwater.com
1930,"transportation, trucking & rail","winnipeg, canada",new flyer careers,"5,001 to 10,000 employees",www.newflyer.com
2000,information technology & services,"seattle, wa",avanade careers,"10,000+ employees",www.avanade.com
1962,utilities,"rome, italy",enel careers,"10,000+ employees",www.enel.com
1981,non-profit organization,"bengaluru, karnataka",the art of living careers,"10,000+ employees",www.artofliving.org
2003,telecommunications,"belmont, ca",ringcentral careers,"1,001 to 5,000 employees",www.ringcentral.com
1919,automotive,"columbus, in",cummins careers,"10,000+ employees",www.cummins.com
2004,computer software,"diamond bar, ca",liferay careers,"501 to 1,000 employees",www.liferay.com
1958,investment management,"kansas city, mo",american century investments careers,"1,001 to 5,000 employees",ipro.americancentury.com
1988,biotechnology,"tarrytown, ny",regeneron careers,"5,001 to 10,000 employees",www.regeneron.com
2019,information technology & services,"dallas, tx",emergere careers,51 to 200 employees,www.emergertech.com
1938,"libraries, museums & institutions","ann arbor, mi",proquest careers,"1,001 to 5,000 employees",www.proquest.com
1985,computer networking,"huntsville, al",adtran careers,"1,001 to 5,000 employees",www.adtran.com
1969,management consulting,"fairfax, va",icf careers,"5,001 to 10,000 employees",www.icf.com
2016,information technology & services,"madrid, spain",minsait careers,"1,001 to 5,000 employees",www.minsait.com
2012,"health, wellness & fitness","san francisco, ca",calm careers,51 to 200 employees,www.calm.com
2016,computer software,"indianapolis, in",lifeomic careers,51 to 200 employees,www.lifeomic.com
1996,retail,"baltimore, md",under armour careers,"10,000+ employees",www.underarmour.com
2011,telecommunications,"costa mesa, ca",ultra mobile careers,51 to 200 employees,www.ultramobile.com
2014,financial services,"nairobi, kenya",cellulant careers,201 to 500 employees,www.cellulant.com
1991,information technology & services,"san francisco, ca",pro unlimited careers,"1,001 to 5,000 employees",www.prounlimited.com
2010,computer & network security,"london, united kingdom",gatekeeper careers,51 to 200 employees,www.gatekeeperhq.com
1991,electrical & electronic manufacturing,"vaughan, canada",mircom group of companies careers,"501 to 1,000 employees",www.mircom.com
2015,information technology & services,"san mateo, ca",second measure careers,51 to 200 employees,secondmeasure.com
2016,human resources,"lagos, nigeria",vbs careers,201 to 500 employees,www.vbslimited.com.ng
2006,internet,"tel aviv, israel",kenshoo careers,"501 to 1,000 employees",www.kenshoo.com
2010,computer software,"milpitas, ca",gridx careers,51 to 200 employees,www.gridx.com
1958,information technology & services,"mclean, va",mitre careers,"5,001 to 10,000 employees",www.mitre.org
2005,computer software,"north hollywood, ca",mediaplatform careers,1 to 50 employees,www.mediaplatform.com
1897,biotechnology,"basel, switzerland",lonza careers,"10,000+ employees",www.lonza.com
1999,computer software,"palo alto, ca",accellion careers,51 to 200 employees,www.accellion.com
1981,investment management,"singapore, singapore",gic careers,"1,001 to 5,000 employees",gic.com.sg
2013,computer software,"venice, ca",gem careers,1 to 50 employees,gem.co
1990,computer games,"santa monica, ca",activision blizzard careers,"5,001 to 10,000 employees",www.activisionblizzard.com
2014,cosmetics,"nashville, tn",smiledirectclub careers,"1,001 to 5,000 employees",www.smiledirectclub.com
2012,internet,"san francisco, ca",clever careers,51 to 200 employees,clever.com
2015,computer software,"san francisco, ca",vim careers,51 to 200 employees,www.getvim.com
2010,information technology & services,"vienna, va",aveshka careers,201 to 500 employees,www.aveshka.com
2017,retail,"new york, ny",line corp. careers,1 to 50 employees,linefriends.com
1965,semiconductors,"norwood, ma",analog devices careers,"10,000+ employees",www.analog.com
2015,medical device,"san francisco, ca",verily careers,201 to 500 employees,www.verily.com
2000,computer software,"bellevue, wa",k2 careers,"501 to 1,000 employees",www.k2.com
1970,food & beverages,"houston, tx",sysco careers,"10,000+ employees",www.sysco.com
2020,financial services,"tempe, az",bankfolio careers,1 to 50 employees,bankfolio.app
2013,information services,"seattle, wa",livestories careers,1 to 50 employees,www.livestories.com
1864,marketing & advertising,"chicago, il",r.r. donnelley careers,"10,000+ employees",www.rrdonnelley.com
1991,information technology & services,"glen ellyn, il",innovative systems careers,201 to 500 employees,www.innovativesys.com
1994,hospital & health care,"providence, ri",lifespan careers,"10,000+ employees",www.lifespan.org
2000,management consulting,"new york, ny",fractal careers,"1,001 to 5,000 employees",www.fractal.ai
2012,semiconductors,"san jose, ca",svxr careers,1 to 50 employees,www.svxr.com
1994,computer software,"richardson, tx",medeanalytics careers,201 to 500 employees,medeanalytics.com
1999,financial services,"draper, ut",progressive leasing careers,"1,001 to 5,000 employees",www.progleasing.com
1993,computer software,"coppell, tx",clear c2 careers,51 to 200 employees,www.clearc2.com
1924,entertainment,"beverly hills, ca",mgm careers,201 to 500 employees,www.mgm.com
2013,cosmetics,"london, strand",charlotte tilbury beauty careers,"501 to 1,000 employees",www.charlottetilbury.com
2011,design,"portland, or",industry careers,1 to 50 employees,www.industrypdx.com
2013,financial services,"boston, ma",circle careers,51 to 200 employees,www.circle.com
2011,internet,"pittsburgh, pa",duolingo careers,201 to 500 employees,www.duolingo.com
2019,internet,"los angeles, ca",vinovest careers,1 to 50 employees,www.vinovest.co
1977,medical device,"seattle, wa",path careers,"1,001 to 5,000 employees",www.path.org
1994,computer software,"nashua, nh",microdesk careers,201 to 500 employees,www.microdesk.com
2004,information technology & services,"irving, tx",veritis careers,51 to 200 employees,www.veritis.com
2006,semiconductors,"san jose, ca",global equipment services careers,51 to 200 employees,www.geservs.com
2012,financial services,"san francisco, ca",ripple careers,201 to 500 employees,www.ripple.com
1988,defense & space,"king of prussia, pa",tdi careers,51 to 200 employees,www.tditek.com
2015,financial services,"san mateo, ca",checkbook careers,1 to 50 employees,www.checkbook.io
1912,electrical & electronic manufacturing,"oak brook, il",continental electrical construction careers,"501 to 1,000 employees",www.cecco.com
1970,human resources,"greensboro, nc",center for creative leadership careers,"501 to 1,000 employees",www.ccl.org
1999,internet,"buenos aires, argentina",mercado libre careers,"10,000+ employees",www.mercadolibre.com.mx
2012,management consulting,"houston, tx",stellium careers,51 to 200 employees,www.stellium.com
2007,medical device,"redwood city, ca",auris health careers,"501 to 1,000 employees",www.aurishealth.com
1985,computer software,"scottsdale, az",jda software careers,"5,001 to 10,000 employees",www.blueyonder.com
1995,hospital & health care,"rockledge, fl",health first careers,"5,001 to 10,000 employees",www.hf.org
2008,information services,"london, united kingdom",alphasights careers,"1,001 to 5,000 employees",www.alphasights.com
1923,broadcast & online media,"burbank, ca",warner bros. entertainment careers,"10,000+ employees",www.warnerbros.com
1981,medical device,"danvers, ma",abiomed careers,"1,001 to 5,000 employees",www.abiomed.com
1999,information technology & services,"tampa, fl",system soft technologies careers,"501 to 1,000 employees",sstech.us
2004,financial services,"indianapolis, indiana",anthem careers,"10,000+ employees",www.antheminc.com
2014,computer software,"washington, dc",ad hoc llc careers,201 to 500 employees,adhoc.team
2002,information technology & services,"broomfield, co",betsol careers,"501 to 1,000 employees",www.betsol.com
