foundation_year,headquarter,industry,name,ownership
2005,"chennai, tamil nadu, india",bpo,enoah isolution,private
2004,"chennai, tamil nadu, india",real estate,casagrand,private
2013,"becharaji, india",auto components,skh y-tec,private
1996,"delhi,nct, india",power,gmr energy,public
2016,"mumbai,maharashtra, india",edtech,bridgelabz solutions,
1968,"panaji/panjim, goa, india",pharma,wallace pharmaceuticals,private
2000,"bronx, new york, united states (usa)",healthcare,phycare solutions,private
2004,"salem, tamil nadu, india",education & training,indian public school,private
2001,"noida, uttar pradesh, india",edtech,ebiz.com,private
2010,"santa clara, california, united states (usa)",it services & consulting,hashedin by deloitte,private
1967,"stockholm, schaffhausen, sweden",beauty & personal care,oriflame,private
1956,"new delhi, india",printing & publishing,mbd group,private
1972,"ernakulam, kerala, india",ports & shipping,cochin shipyard,private
1975,"west chester, pennsylvania, united states (usa)",telecom,ctdi,private
1967,"stockholm, schaffhausen, sweden",beauty & personal care,oriflame,private
2010,"santa clara, california, united states (usa)",it services & consulting,hashedin by deloitte,private
2001,"noida, uttar pradesh, india",edtech,ebiz.com,private
2012,"new york, united states (usa)",healthcare,par formulations,private
2009,"new york, new york, usa",financial services,berkadia,private
2013,"kolkata,west bengal, india",internet,flipkart health+,private
1993,"chicago, illinois, united states (usa)",it services & consulting,thoughtworks,private
1980,"gandhinagar, gujarat, india",oil & gas,gujarat gas,public
1985,"mumbai, maharashtra, india",pharma,inventia healthcare,private
1996,"delhi, india",healthcare,centre for sight,private
1952,"stamford, connecticut, united states (usa)",analytics & kpo,gartner india research and advisory services,private
1998,"gurgaon/gurugram, haryana, india",auto components,valvoline cummins,private
2004,"chennai, tamil nadu, india",it services & consulting,imarque solutions,private
2016,"windermere,",bpo,sequential technology international,private
2012,"gurgaon, india",financial services,taraashna financial services,private
1939,"new delhi, india",education & training,s chand group,public
1886,"racine, wisconsin, united states (usa)",beauty & personal care,s.c johnson products,private
2005,"kolkata, west bengal, india",engineering & construction,tuaman engineering,private
1926,"paris, france",marketing & advertising,publicis,private
2002,"gurgaon, india",engineering & construction,a2z group,private
1956,"jaipur, rajasthan, india",broadcasting,rajasthan patrika,private
2010,"delhi/ncr, delhi, india",management consulting,trivium education services,private
1969,"hemel hempstead, hertfordshire, england",bpo,nga hr,private
2011,"gurgaon,haryana, india",internet,healthkart,private
1941,"manipal, karnataka, india",printing & publishing,manipal technologies,private
1990,"kolkata, west bengal, india",iron & steel,tata metaliks,public
2000,"delhi/ncr, delhi, india",architecture & interior design,ozone overseas,private
2009,"tel aviv, israel",agro chemicals,adama,private
1990,"kolkata, west bengal, india",iron & steel,tata metaliks,public
1956,"jaipur, rajasthan, india",broadcasting,rajasthan patrika,private
1996,"hyderabad/secunderabad, telangana, india",pharma,ra chem pharma,private
2000,"delhi/ncr, delhi, india",architecture & interior design,ozone overseas,private
2010,"delhi/ncr, delhi, india",management consulting,trivium education services,private
1997,"chennai, tamil nadu, india",consumer electronics & appliances,zebronics,private
2015,"chennai, tamil nadu, india",fmcg,waycool foods and products,private
1930,"mumbai, maharashtra, india",fmcg,bajaj consumer care,public
1996,"new delhi, delhi, india",other,infodrive,private
0,,it services & consulting,omega healthcare solutions,
1995,"mumbai, maharashtra, india",financial services,nippon india mutual fund,jv
2019,"new delhi, india",internet,bada business,
1993,"pune, india",engineering & construction,neilsoft,private
1896,"erlangen, germany",healthcare,siemens healthineers,
1997,"san mateo,california, united states",it services & consulting,rakuten,private
2012,"noida, uttar pradesh, india",it services & consulting,polestar solutions & services india,private
2001,"chennai, india",bpo,sundaram business services,private
1980,"mumbai, maharashtra, india",real estate,oberoi realty,public
1998,"san jose, california, united states (usa)",it services & consulting,calsoft,private
2004,"delhi/ncr, delhi, india",power,shyam indus power solutions,private
1993,"mumbai, india",financial services,care ratings,public
1913,"glenview, illinois, united states (usa)",consumer goods,signode,private
1836,"rueil-malmaison, france",electrical equipment,schneider electric infrastructure,public
2002,"kolkata, west bengal, india",fashion & textile,vedant fashions,private
2004,"gurgaon/gurugram, haryana, india",auto components,asti electronics india,private
1991,"mumbai, maharashtra, india",financial services,andromeda sales and distribution,private
1998,"mumbai, maharashtra, india",analytics & kpo,axis my india,private
2011,"okemos (mi), usa",it services & consulting,creative synergies group,private
1957,"mumbai, maharashtra, india",beauty & personal care,hygienic research institute,private
2007,"mumbai,maharashtra, india",consumer electronics & appliances,sedemac mechatronics,private
1991,"mumbai, maharashtra, india",financial services,andromeda sales and distribution,private
1994,"dublin, ireland{republic}",auto components,delphi automotive systems,public
1957,"mumbai, maharashtra, india",beauty & personal care,hygienic research institute,private
2012,"noida, uttar pradesh, india",it services & consulting,polestar solutions & services india,private
2007,"mumbai,maharashtra, india",consumer electronics & appliances,sedemac mechatronics,private
1998,"san jose, california, united states (usa)",it services & consulting,calsoft,private
2002,"kolkata, west bengal, india",fashion & textile,vedant fashions,private
1836,"rueil-malmaison, france",electrical equipment,schneider electric infrastructure,public
2004,"gurgaon/gurugram, haryana, india",auto components,asti electronics india,private
1991,"mumbai, maharashtra, india",industrial machinery,rochem separation systems,
1993,"bareilly, india",food processing,b.l agro oils,
2010,"rockford, il, united states",it services & consulting,figmd,private
0,"ahmedabad, gujarat, india",healthcare,sterling hospitals,public
2017,"bangalore,karnataka, india",logistics,loadshare networks,private
1958,"istanbul, turkey",aviation,celebi delhi cargo terminal management,
1924,"paris, france",oil & gas,total,private
1865,"chennai, tamil nadu, india",banking,allahabad bank,private
1931,"mumbai, maharashtra, india",food processing,bajaj hindusthan,public
1970,"gurgaon/gurugram, haryana, india",auto components,technico industries,private
1912,"aberdeen city, aberdeen, scotland",oil & gas,wood group,private
1948,"genoa, italy",travel & tourism,costa cruise lines,private
1958,"gurgaon/gurugram, haryana, india",logistics,tci supply chain solutions,private
2012,"pohang-si, south korea",iron & steel,posco maharashtra steel,private
1985,"dubai, dubai, united arab emirates (uae)",aviation,emirates airlines,private
1991,"pune, maharashtra, india",industrial automation,cotmac electronics,private
2007,"gurgaon, india",auto components,koyo bearings india,private
1959,"ahmedabad, gujrat, india",automobile,cargo motors,private
1942,"chennai, tamil nadu, india",real estate,vgn projects estates,private
2000,"noida, india",fintech,netambit infosource & e-services,private
1906,"mumbai, maharashtra, india",banking,svc co-operative bank,private
0,,analytics & kpo,self practice,
0,"krishnagiri, india",semiconductors,tata electronics,
1979,"ahmedabad, gujarat, india",pharma,lincoln pharmaceuticals,public
1950,"monrovia, california, united states (usa)",non-profit,world vision,private
1976,"kolkata, west bengal, india",industrial machinery,tega industries,public
1902,"gurgaon/gurugram, haryana, india",chemicals,shalimar paints,public
2012,"chennai, tamil nadu, india",logistics,proconnect integrated logistics,private
1999,"mumbai, maharashtra, india",financial services,hdfc mutual fund,
2004,"gurgaon/gurugram, haryana, india",facility management services,nimbus harbor facilities management,private
2013,"noida, uttar pradesh, india",electronics manufacturing,halonix technologies,private
1905,"oslo , norway",agro chemicals,yara fertilisers,
1988,"kolkata, west bengal, india",electrical equipment,laser power & infra,private
2014,"bangalore/bengaluru, karnataka, india",retail,prione business services,private
1931,"johannesburg, southafrica",bpo,smollan group,private
1972,"hyderabad/secunderabad, telangana, india",urban transport,associated road carriers,private
2013,"hyderabad,telangana, india",healthcare,callhealth,private
1992,"houston, united states (usa)",oil & gas,dorf ketal chemicals,llc
1984,"naju,jeollanam-do, south korea",power,korea plant service and engineering,private
2016,"hyderabad, india",building material,welspun flooring,public
2007,"patna, india",non-profit,brlps,
2015,"mumbai, maharashtra, india",internet,weddingz.in,private
1760,"london, unitedkingdom",retail,hamleys,private
2008,"noida, uttar pradesh, india",it services & consulting,rv solutions,private
1976,"hedehusene, denmark",logistics,dsv - global transport and logistics,
2016,,chemicals,jsw paints,
2018,"ahmedabad, gujarat, india",oil & gas,torrent gas,private
2015,"vadodara/baroda, gujarat, india",education & training,parul university,private
1918,"mumbai, maharashtra, india",banking,the saraswat co-operative bank,public
2009,"hoffman estates, illinois, united states (usa)",retail,sears holdings,private
1893,"paris, france",animation & vfx,technicolor,private
1994,"los angeles , united states",gaming,pole to win,private
1982,"vijayawada, andhra pradesh, india",logistics,navata road transport,partnership
2004,"hyderabad/secunderabad, telangana, india",it services & consulting,vsoft technologies,private
2004,"detroit, michigan, united states of america",it services & consulting,caresoft global,private
1990,"chennai, tamil nadu, india",logistics,flyjac logistics,private
2016,"gurgaon, india",retail,v-bazaar retail,
1952,"delhi/ncr, new delhi, india",healthcare,esic hospital,private
1995,"gurgaon/gurugram, haryana, india",auto components,spm autocomp,private
2011,"gurgaon/gurugram, haryana, india",auto components,sekisui dljm molding,jv
0,,industrial machinery,padget electronics,
1987,"bangalore/bengaluru, karnataka, india",pharma,bal pharma,public
1990,"chennai, tamil nadu, india",it services & consulting,mmc infotech services,private
1997,"campbell, california, united states (usa)",it services & consulting,saama technologies,private
1986,"ahmedabad, gujarat, india",industrial machinery,harsha engineers,private
1988,"chennai, tamil nadu, india",investment banking / venture capital / private equity,belstar investment and finance,private
1956,"tokyo, japan",auto components,keihin india manufacturing,
1939,"ernakulam, kerala, india",automobile,popular vehicles and services,private
2016,"thane,maharashtra, india",building material,infra.market,private
1983,"hyderabad/secunderabad, telangana, india",engineering & construction,madhucon projects,public
1986,"montreuil,seine-saint-denis, france",gaming,ubisoft entertainment,private
1993,"mumbai, india",printing & publishing,lipi data systems,private
2004,"cologne, germany",chemicals,lanxess,private
1976,"mumbai, maharashtra, india",law enforcement & security,bombay intelligence security,private
1998,"kochi/cochin, kerala, india",healthcare,amrita institute of medical sciences and research,private
1983,"faridabad, haryana, india",auto components,studds accessories,private
1956,"gurgaon/gurugram, haryana, india",auto components,munjal kiriu industries,private
2015,"ahmedabad, gujarat, india",healthcare,zydus hospital,public
1972,"dubai, united arab emirates (uae)",chemicals,fosroc chemicals india,private
1941,"chennai, tamil nadu, india",building material,the kcp,public
1978,"noida, uttar pradesh, india",consumer electronics & appliances,ang india,public
1990,"delhi/ncr, delhi, india",pharma,modi mundi pharma,private
1978,"noida, uttar pradesh, india",consumer electronics & appliances,ang india,public
2002,"kolkata, west bengal, india",metals & mining,brg iron and steel co.,private
1921,"illinois, usa",medical equipment,hollister medical,
1941,"chennai, tamil nadu, india",building material,the kcp,public
1956,"gurgaon/gurugram, haryana, india",auto components,munjal kiriu industries,private
1949,"new delhi, india",education & training,the institute of chartered accountants,
1972,"dubai, united arab emirates (uae)",chemicals,fosroc chemicals india,private
1974,"nagpur, maharashtra, india",engineering & construction,d.p. jain & co. infrastructure pvt .,private
1928,"naperville, united states",waste management,nalco water,private
2007,"new york, new york, united states (usa)",it services & consulting,biz 2 credit info services,private
0,,it services & consulting,ltimindtree,
0,,,ubs business solutions,
2000,"ahmedabad, gujarat, india",pharma,concord biotech,public
1994,"mumbai, maharashtra, india",real estate,mahindra lifespace developers,public
1968,"thane, maharashtra, india",real estate,puranik builders,public
1959,"noida, uttar pradesh, india",semiconductors,autometers alliance,private
1987,"delhi/ncr, new delhi, india",logistics,agarwal packers & movers,public
2011,"mumbai,maharashtra, india",internet,box8,private
1926,"mumbai, india",building material,the indian hume pipe co.,public
1983,"dubai, dubai, united arab emirates (uae)",ports & shipping,drydocks world dubai,llc
2014,"vadodara/baroda, gujrat, india",hardware & networking,accord synergy,public
1999,"delhi/ncr, new delhi, india",beverage,barista coffee company,private
1980,"mumbai, maharashtra, india",investment banking / venture capital / private equity,dboi global services,private
1982,"safat, kuwait",industrial machinery,al ahleia switchgear,private
1995,"stockholm, stockholm, sweden",pharma,recipharm pharmaservices,private
1973,"municipility of sant feliu de llobregat, spain",fashion & textile,pepe jeans,private
1990,"raipur, chhattisgarh, india",metals & mining,monnet group,public
1859,"essen, germany",industrial machinery,thyssenkrupp industrial solutions,
2008,"bangalore/bengaluru, karnataka, india",retail,vision express,private
1951,"kolkata, west bengal, india",building material,srmb srijan,
1984,"london, united states (usa)",printing & publishing,pulsus healthtech group,public
2016,"chandigarh, india",software product,omninos solutions,
2011,"bengaluru/bangalore, karnataka, united states",it services & consulting,cleartax,private
1994,"mumbai, maharashtra, india",broadcasting,star,
1961,"mumbai, maharashtra, india",pharma,acg worldwide,private
1961,"pune, maharashtra, india",industrial machinery,premium transmission,private
2001,"noida, uttar pradesh, india",other,luxor writing instruments,private
2004,"navi mumbai, maharashtra, india",engineering & construction,walplast products,private
1945,"taipei, taiwan",engineering & construction,cec international,private
2015,"bangalore,karnataka, india",internet,rapido,private
1981,"pune, maharashtra, india",it services & consulting,pcs technology,public
1995,"gurgaon/gurugram, haryana, india",fashion & textile,ykk,private
2003,"kolkata, west bengal, india",building material,meghalaya cements,private
2011,"mumbai, maharashtra, india",recruitment,core integra consulting services,private
1972,"thane, india",banking,tjsb sahakari bank,private
1993,"hyderabad/secunderabad, telangana, india",agro chemicals,nacl industries,private
1995,"chennai, tamil nadu, india",fmcg,aachi foods,private
2001,"kolkata, west bengal, india",pharma,cordlife sciences india,private
2016,"mumbai, maharashtra, india",beverage,coolberg beverages,private
0,,bpo,sagility,
1959,"montreal, canada",engineering & construction,wsp consultants india,private
1979,"mumbai, maharashtra, india",it services & consulting,dixit infotech services,private
1995,"ghaziabad, uttar pradesh, india",real estate,gaursons,public
1974,"doha, qatar",oil & gas,qatar petroleum,other
1973,"kyoto, japan",industrial machinery,nidec corporation,private
1984,"mumbai, maharashtra, india",packaging,piramal glass,private
1997,"bangalore/bengaluru, karnataka, india",printing & publishing,siliconindia,private
1996,"noida, uttar pradesh, india",it services & consulting,bharat it services,public
1954,"delhi/ncr, new delhi, india",healthcare,sir ganga ram hospital,private
1907,"danbury, connecticut, united states (usa)",chemicals,praxair,private
2002,"hyderabad, india",it services & consulting,e-centric solutions,private
1995,"allahabad/prayagraj, uttar pradesh, india",financial services,sonata finance,private
2010,"pune,maharashtra, india",internet,faasos food services,private
2007,"kolkata, west bengal, india",non-profit,anudip foundation,ngo/npo
1957,"midland, michigan, united states (usa)",chemicals,the dow chemical company,private
1997,"kolkata, india",iron & steel,tata steel processing & distribution,private
2003,"hyderabad/secunderabad, telangana, india",retail,big c,private
1938,"kolkata, west bengal, india",other,mitra sk,private
2007,"bangalore/bengaluru, karnataka, india",it services & consulting,javi systems,private
1999,"chennai, tamil nadu, india",healthcare,kauvery hospital,public
1914,"mumbai, india",automobile,hinduja group,public
1969,"hoshiarpur, india",automobile,sonalika group of companies,private
1999,"chennai, tamil nadu, india",it services & consulting,saksoft,public
1906,"auburn hills, michigan, united states (usa)",auto components,nexteer automotive,private
2007,"noida, uttar pradesh, india",it services & consulting,itcons e-solutions,private
1975,"bangalore/bengaluru, karnataka, india",real estate,puravankara projects,private
1992,"quebec, canada",fashion & textile,woodland,private
1906,"kolkata, west bengal, india",insurance,national insurance company,private
2012,"bangalore,karnataka, india",retail,urban ladder,private
1889,"londonderry, northern ireland",fashion & textile,peter england,private
1996,"noida,uttar pradesh, india",media & entertainment,planetcast,public
1992,"delhi/ncr, delhi, india",education & training,seth m r jaipuria school,private
2004,"chantilly, virginia, united states (usa)",it services & consulting,qburst technologies,private
1982,"mumbai, india",bpo,datamatics business solutions,public
1976,"muscat, oman",engineering & construction,al tasnim enterprises,private
2008,"mumbai, maharashtra, india",power,bajaj energy,public
2002,"mumbai, maharashtra, india",insurance,health india tpa services,private
2007,"bubendorf, switzerland",healthcare,dishman carbogen amcis,
2019,"bangalore,karnataka, india",edtech,scaler academy,private
1843,"new britain, united states",industrial machinery,stanley black & decker,private
1998,"belagavi/belgaum, karnataka, india",food processing,shree renuka sugars,public
2005,"noida, uttar pradesh, india",it services & consulting,globtier infotech,private
2003,"new york, new york, united states (usa)",it services & consulting,fingent,private
1982,"rajkot, gujrat, india",automobile,atul auto,public
1965,"dallas, texas, united states (usa)",fitness & wellness,gold's gym,private
1987,"bangalore/bengaluru, karnataka, india",industrial machinery,bhavani industries,private
2006,"southfield, luxembourg",auto components,international automotive components,private
1996,"delhi/ncr, delhi, india",automobile,nippon audiotronix,private
1948,"graz, austria",automobile,avl,private
1993,"chennai, tamil nadu, india",media & entertainment,sun tv network,public
1999,"ahmedabad, gujrat, india",healthcare,claris lifesciences ahmedabad,public
2000,"bangalore/bengaluru, karnataka, india",bpo,invensis technologies,private
1995,"mumbai, india",hospitality,hardcastle restaurants,private
2007,"delhi/ncr, delhi, india",it services & consulting,sisl infotech,private
2003,"san jose, california, united states (usa)",it services & consulting,cyber infrastructure,private
1998,"new delhi, india",pharma,cipla industries,
0,"muscat, oman",pharma,mdc group of companies,private
2009,"bangalore,karnataka, india",financial services,chaitanya india fin credit,private
1996,"mumbai, maharashtra, india",engineering & construction,karamtara engineering,
1994,"bengaluru, india",automobile,mahindra electric,private
2012,"noida,uttar pradesh, india",retail,faballey,
2013,"san jose, california, usa",it services & consulting,tredence,private
1999,"hyderabad/secunderabad, telangana, india",analytics & kpo,elico healthcare services,private
1985,"bhopal, madhya pradesh, india",education & training,aisect,private
1999,"bangalore/bengaluru, karnataka, india",education & training,rooman technologies,private
2008,"nellore, andhra pradesh, india",ports & shipping,krishnapatnam port,private
1987,"bangalore/bengaluru, karnataka, us",telecom,radisys,private
2006,"gurgaon/gurugram, haryana, india",biotechnology,cryoviva biotech,private
1935,"gurgaon/gurugram, haryana, india",pharma,alchem international,private
1999,"bangalore/bengaluru, karnataka, india",real estate,mantri developers,private
2010,"indore, madhya pradesh, india",telecom,uniinfo telecom services,public
1997,"pune, maharashtra, india",automobile,rinder india,private
1881,"dubai, united arab emirates",engineering & construction,drake & scull international pjsc,private
1977,"new delhi, india",agro chemicals,hpm chemicals & fertilizers,private
2006,"ahmedabad, gujarat, india",media & entertainment,gtpl hathway,public
1935,"gurgaon/gurugram, haryana, india",pharma,alchem international,private
2006,"gurgaon/gurugram, haryana, india",biotechnology,cryoviva biotech,private
0,"gurgaon/gurugram, haryana, india",law enforcement & security,peregrine guarding,private
1977,"chennai, tamil nadu, india",pharma,fourrts india laboratories,private
1987,"bangalore/bengaluru, karnataka, us",telecom,radisys,private
1993,"gurgaon/gurugram, haryana, india",auto components,mark exhaust systems,public
1995,"boston, ma, united states (usa)",telecom,american tower corporation,private
1976,"visakhapatnam/vizag, andhra pradesh, india",engineering & construction,r.v.r. projects,private
1979,"mumbai, india",nbfc,shriram finance,
1986,"pune, maharashtra, india",real estate,vascon engineers,public
1985,"bhopal, madhya pradesh, india",education & training,aisect,private
1894,"derry township, pennsylvania, united states (usa)",food processing,the hershey company,private
2003,"skipton, north yorkshire, england",,qx global group,public
1995,"gurgaon/gurugram, haryana, india",financial services,pc financial services,private
2016,"chandler, united states (usa)",it services & consulting,apisero,
1900,"chennai, tamil nadu, india",agriculture,murugappa group,private
1954,"gurgaon/gurugram, haryana, india",fashion & textile,liberty shoes,public
1969,"st helier, new jersey, united states (usa)",it services & consulting,cpa global,private
0,"johannesburg, gauteng, south africa",other,hindustan field services,private
2014,"hyderabad,telangana, india",financial services,vaya finserv,private
2011,"mumbai, maharashtra, india",investment banking / venture capital / private equity,muthoot homefin india,private
1970,"mumbai, maharashtra, india",law enforcement & security,tops security,private
1946,"delhi/ncr, delhi, india",accounting & auditing,t r chadha & co llp,llp
2003,"dehradun, uttarakhand, india",education & training,university of petroleum & energy studies,private
1951,"mumbai, maharashtra, india",industrial machinery,ador welding,public
1960,"chennai, tamil nadu, india",industrial machinery,tidc india,private
1894,"hyderabad, india",electrical equipment,toshiba transmission & distribution systems,private
1986,"bangalore/bengaluru, karnataka, india",real estate,salarpuria sattva,private
2003,"dehradun, uttarakhand, india",education & training,university of petroleum & energy studies,private
1946,"delhi/ncr, delhi, india",accounting & auditing,t r chadha & co llp,llp
1931,"deerfield, united states",pharma,baxter pharmaceutical solutions llc.,
2011,"mumbai, maharashtra, india",investment banking / venture capital / private equity,muthoot homefin india,private
1969,"ghaziabad, uttar pradesh, india",consumer electronics & appliances,elin appliances,private
1989,"king of prussia,pennsylvania, united states",pharma,vertex,private
1875,"tokyo, japan",industrial machinery,toshiba,private
2014,"london, england",automobile,fiat chrysler automobiles,public
1994,"dallas, texas, united states (usa)",financial services,mr cooper,private
1890,"st. louis, unitedstates",industrial machinery,emerson climate technologies,
2004,"gurgaon/gurugram, haryana, india",it services & consulting,bravura solutions,private
2010,"delhi/ncr, new delhi, india",education & training,empower pragati,private
1938,"chennai, tamil nadu, india",insurance,united india insurance company,public
2006,"austin, united states",financial services,consero global solutions,private
2004,"kathmandu, nepal",building material,reliance cement company,private
2012,"mumbai,maharashtra, india",law enforcement & security,securens system,private
1988,"pune, maharashtra, india",fmcg,baramati agro,public
1910,"chicago, illinois, united states (usa)",pharma,abbott nutrition international,private
1963,"mumbai, maharashtra, india",pharma,samarth lifesciences,private
1979,"faridabad, haryana, india",industrial machinery,sterling tools,public
1915,"ahmedabad, gujarat, india",beverage,wagh bakri tea group,private
1987,"stockholm, sweden",it services & consulting,hexagon capability center,
1975,"bothell,washington, united states",internet,sterling talent solutions,private
1955,"kansas city, missouri, united states (usa)",it services & consulting,h&r block,private
2012,"pune, maharashtra, india",,global hospital pune india,private
2005,"dubai, uae",it services & consulting,mashreq global services,private
2012,"pune, maharashtra, india",,global hospital pune india,private
2005,"dubai, uae",it services & consulting,mashreq global services,private
2000,"greenwood village, co, japan",telecom,ntt global networks,public
0,,it services & consulting,ntt data business solutions,
2003,"bangalore/bengaluru, karnataka, india",analytics & kpo,markelytics solutions,private
2004,"heerlen, netherlands",it services & consulting,dsm infocom,private
1938,"chennai, tamil nadu, india",pharma,tablets (india),private
2009,"new york, united states (usa)",insurance,aig,
2003,"pune, india",it services & consulting,gs lab,private
1962,"vadodara/baroda, gujarat, india",agro chemicals,gujarat state fertilizers & chemicals,private
1986,"mumbai, maharashtra, india",pharma,midascare pharmaceuticals,private
1668,"mumbai, india",pharma,merck life science,private
1987,"gurgaon/gurugram, haryana, india",auto components,machino plastics,public
2004,"bengaluru, india",recruitment,verifacts services,private
2007,"noida, uttar pradesh, india",it services & consulting,corporate infotech,private
1978,"orlando, florida, united states",it services & consulting,prolifics corporation,private
1982,"dubai, dubai, united arab emirates (uae)",hospitality,emirates flight catering,public
1961,"hosapete, india",metals & mining,mspl,private
1940,"kolding, denmark",power,lm wind power,private
2008,"mumbai, india",aviation,aisats,private
1995,"delhi/ncr, delhi, india",it services & consulting,uneecops technologies,private
1984,"nagpur, maharashtra, india",pharma,zim laboratories,public
2009,"noida, uttar pradesh, india",education & training,billabong high international school,public
1851,"denver, colorado, united states (usa)",financial services,western union,private
1993,"delhi/ncr, delhi, india",pharma,zee laboratories,public
1964,"hyderabad/secunderabad, telangana, india",industrial machinery,puzzolana machinery fabricators,private
1970,"chennai, tamil nadu, india",pharma,medopharm,private
2016,"delhi,nct, india",retail,citykart retail,private
2002,"bangalore/bengaluru, karnataka, india",financial services,pierian services,private
0,,investment banking / venture capital / private equity,verity global solutions,
1982,"keonjhar, india",iron & steel,tata steel long products,public
0,,marketing & advertising,opporture,
1950,"burgos, burgos, spain",auto components,grupo antolin,private
1930,"dubai, dubai, united arab emirates (uae)",retail,al-futtaim group,private
1965,"bangalore/bengaluru, karnataka, india",industrial machinery,veer-o-- metals,private
2002,"chennai, india",printing & publishing,mobius knowledge services,private
2006,"bangalore/bengaluru, karnataka, india",it services & consulting,vindhya e-info media,private
2013,"bangalore/bengaluru, karnataka, india",healthcare,sakra world hospital,private
1848,"pantin, france",financial services,bnp paribas securities,private
1976,"banswara, rajasthan, india",fashion & textile,banswara syntex,public
0,"noida, uttar pradesh, india",retail,high street essentials,private
2011,"houston, texas, united states (usa)",bpo,knowledge splice services pvt ltd.,private
2015,"mumbai,maharashtra, india",education & training,speedlabs,private
1976,,fashion & textile,garware technical fibres,private
2017,"gurgaon/gurugram, haryana, india",furniture & furnishing,greenpanel industries,public
2008,"mohali,punjab, india",healthcare,ivy hospital,private
0,"mumbai, india",government,government of maharashtra,
2001,"gurgaon/gurugram, haryana, india",it services & consulting,espire infolabs,private
1945,"delhi/ncr, new delhi, india",government,csir,public
1924,"bangalore/bengaluru, karnataka, india",food processing,mtr foods,private
1994,"ludhiana, punjab, india",fmcg,kangaro industries,private
1872,"cologne, germany",law enforcement & security,tüv rheinland,private
2013,"delhi,nct, india",import & export,industrybuying.com,private
1969,"mumbai, maharashtra, india",pharma,themis medicare,public
2009,"meridian, id, united states (usa)",it services & consulting,in time tec visionsoft,private
1961,"bhubaneswar, odisha, india",iron & steel,indian metals & ferro alloys,public
1980,"vadodara/baroda, gujarat, india",industrial machinery,shaily engineering plastics,public
2002,"mumbai, maharashtra, india",analytics & kpo,cactus communications,private
2013,"gurgaon, india",logistics,vulcan express,private
2014,"sydney, australia",analytics & kpo,kalkine,private
1969,"ludhiana, punjab, india",fashion & textile,sel manufacturing co.,public
2003,"mumbai, maharashtra, india",insurance,policyboss.com,private
1939,"tokyo, japan",auto components,sanoh,
2016,"edinburgh, united kingdom (uk)",banking,natwest markets,private
0,,,ford india,
2013,"jaipur, rajasthan, india",it services & consulting,appcino technologies,private
1984,"noida, uttar pradesh, india",chemicals / agri inputs,polyplex,public
2001,"bangalore/bengaluru, karnataka, india",it services & consulting,molecular connections,private
1985,"chennai, tamil nadu, india",bpo,cameo corporate services,private
1967,"gurgaon/gurugram, haryana, india",agro chemicals,zuari agro chemicals,public
1990,"noida, uttar pradesh, india",bpo,mas callnet,private
2008,"delhi/ncr, delhi, india",engineering & construction,nippon koei india,private
1983,"palwal, haryana, india",oil & gas,dee piping system,private
2014,"pune,maharashtra, india",pharma,brinton pharmaceuticals,
1921,"new york, unitedstates",fashion & textile,van heusen,private
1968,"jacksonville, florida, united states (usa)",it services & consulting,sungard availability services,private
2009,"gurgaon/gurugram, haryana, india",it services & consulting,oodlestechnologies,private
1952,"trelleborg, baden-württemberg, sweden",industrial machinery,trelleborg,private
2010,"mumbai, maharashtra, india",it services & consulting,plada infotech services,private
2015,"delhi/ncr, delhi, india",education & training,pmkvy,public
1999,"pune, india",engineering & construction,millennium engineers & contractors,private
1988,"aurangabad, maharashtra, india",auto components,sanjeev auto parts manufacturers,private
1775,"kolkata, india",government,ordnance factory,other
1977,"pune, maharashtra, india",iron & steel,ismt,public
2009,"kolkata, west bengal, india",it services & consulting,nexval infotech,private
1990,"gurgaon/gurugram, haryana, india",healthcare,sentiss pharma,private
1975,"noida, india",auto components,calsonic kansei motherson auto products,private
1997,"mumbai, maharashtra, india",power,essar power,public
1996,"delhi/ncr, delhi, india",healthcare,rajiv gandhi cancer institute & research centre,ngo/npo
1999,"cary, united states",it services & consulting,aquity solutions,
2021,"bangalore,karnataka, india",edtech,skillvertex,
2016,"mumbai,maharashtra, india",fintech,incred finance,private
1986,"mountain view,california, united states",software product,synopsys,public
2000,"giridih, jharkhand, india",iron & steel,atibir industries,private
0,"mumbai,",it services & consulting,systems plus transformations,private
1991,"gurgaon/gurugram, haryana, india",auto components,padmini vna mechatronics,private
1999,"visakhapatnam/vizag, andhra pradesh, india",industrial machinery,synergies castings,public
2011,"gurgaon,haryana, india",internet,shopclues,private
2008,"noida,uttar pradesh, india",internet,homeshop18,private
1998,"hyderabad/secunderabad, telangana, india",it services & consulting,fluentgrid,private
1973,"bengaluru, india",industrial machinery,micromatic machine tools,public
2008,"tokyo, japan",animation & vfx,fujifilm,private
2014,"kanpur, uttar pradesh, india",food processing,namaste india foods,
1976,"mumbai, maharashtra, india",hospitality,tajsats air catering,public
2002,"delhi/ncr, delhi, india",logistics,trackon courier,private
1986,"pune, india",real estate,solitaire world,private
2000,"pune, india",industrial machinery,radheya machining,
2012,"chennai, india",recruitment,creative hands hr consultancy,private
2012,"noida,uttar pradesh, india",law enforcement & security,helloverify,
2018,"bangalore,karnataka, india",fintech,bharatpe,private
0,,internet,google operations center,
1970,"mumbai, maharashtra, india",pharma,gufic biosciences,public
