address,est_of_ownership,hhid,industry,name,country,sic_code,type
"corso regina margherita 165, torino, 10144, torino, italy",1928,h-it0021352054,"finance, insurance, and real estate",astm spa,italy,holding company (6719),corporation
"via amaseno 24, latina, 04100, latina, italy",1999,h-it0071980229,services,alessandro patane' srl,italy,computer related services (7379),corporation
"via puglia 15, torino, 10156, torino, italy",1974,h-it0002560879,manufacturing,fpt industrial spa,italy,mfg motor vehicle/car bodies (3711),corporation
"piazzale luigi cadorna 3, milano, 20123, milano, italy",1981,h-it0049397494,wholesale trade,luxottica group spa,italy,whol photo equipment/supplies (5043),corporation
"via lodovico seitz 47, treviso, 31100, treviso, italy",1992,h-it0075487071,"finance, insurance, and real estate",de' longhi spa,italy,holding company (6719),corporation
"via energy park 14, vimercate, 20871, monza e brianza, italy",2013,h-it0053437772,manufacturing,bridgestone europe nv sa,italy,mfg tires/inner tubes (3011),foreign company
"piazza iv novembre 5, milano, 20124, milano, italy",1995,h-it0073103470,services,gi group spa,italy,help supply services (7363),corporation
"via emilio cornalia 30, milano, 20124, milano, italy",1996,h-it0073419680,"finance, insurance, and real estate",cnp unicredit vita spa,italy,life insurance carrier (6311),corporation
"viale edoardo jenner 4, milano, 20159, milano, italy",1961,h-it0008538875,manufacturing,mapei spa,italy,mfg paints/allied products (2851),corporation
"via sassoferrato 1, milano, 20135, milano, italy",2007,h-it1046469591,"finance, insurance, and real estate",emme esse vi srl,italy,holding company (6719),corporation
"via torri bianche 6, vimercate, 20871, monza e brianza, italy",2002,h-it0072796405,services,nintendo of europe gmbh,italy,advertising agency (7311),foreign company
"piazza santa barbara 7, san donato milanese, 20097, milano, italy",1941,h-it0057455139,"finance, insurance, and real estate",snam spa,italy,holding company (6719),corporation
"corso di porta vittoria 4, milano, 20122, milano, italy",1999,h-it0051290006,"transportation, communications, electric, gas, and sanitary services",a2a energia spa,italy,electric services (4911),corporation
"via marchese campodisola 13, napoli, 80133, napoli, italy",1945,h-it0029356407,"transportation, communications, electric, gas, and sanitary services",grimaldi group spa,italy,water freight transportation (4449),corporation
"via valpantena 18/g, verona, 37142, verona, italy",1984,h-it0029714915,services,veronesi holding spa,italy,data processing/preparation (7374),corporation
"via felice matteucci 2, firenze, 50127, firenze, italy",1954,h-it0073428639,manufacturing,nuovo pignone international srl,italy,mfg general industrial machinery (3569),corporation
"via enrico mattei 50, dueville, 36031, vicenza, italy",1969,h-it0027831833,"finance, insurance, and real estate",gruppo unicomm spa,italy,holding company (6719),corporation
"via palermo 26/a, parma, 43122, parma, italy",1935,h-it0061929093,manufacturing,chiesi farmaceutici spa,italy,mfg pharmaceutical preparations (2834),corporation
"stradello marche 6, parma, 43121, parma, italy",1990,h-it0009252584,"finance, insurance, and real estate",valline srl,italy,holding company (6719),corporation
"viale giorgio ribotta 51, roma, 00144, roma, italy",1985,h-it0008914168,retail trade,eni fuel spa,italy,gasoline service station (5541),corporation
"via fratelli di dio 2, novate milanese, 20026, milano, italy",1944,h-it0008052069,"finance, insurance, and real estate",comifar spa,italy,misc business credit institutions (6159),corporation
"strada provinciale arceviese 139/a, fabriano, 60044, ancona, italy",1930,h-it0011430680,manufacturing,whirlpool emea spa,italy,mfg electric housewares/fans (3634),corporation
"via dell'unione europea 1, san donato milanese, 20097, milano, italy",1973,h-it0009532196,retail trade,bmw italia spa,italy,ret new/used automobiles (5511),corporation
"via bure vecchia nord 10, pistoia, 51100, pistoia, italy",1964,h-it0216517075,wholesale trade,conad nord ovest societa' cooperativa a r.l.,italy,whol general groceries (5141),corporation
"via santa reparata 43, firenze, 50129, firenze, italy",1891,h-it0027424928,"finance, insurance, and real estate",unicoop firenze soc coop,italy,real property lessor (6519),corporation
"via campalto 3/d, san martino buon albergo, 37036, verona, italy",1992,h-it0069606331,wholesale trade,spesa intelligente spa,italy,whol groceries (5149),corporation
"piazza salimbeni 3, siena, 53100, siena, italy",1472,h-it0028646150,"finance, insurance, and real estate",banca monte dei paschi di siena spa,italy,national commercial bank (6021),corporation
"viale giuseppe mazzini 14, roma, 00195, roma, italy",2001,h-it0052507467,"transportation, communications, electric, gas, and sanitary services",rai radiotelevisione italiana spa,italy,television station (4833),corporation
"via portici umberto i 5/3, malcesine, 37018, verona, italy",2018,h-it0062449729,"finance, insurance, and real estate",de la costa srl,italy,holding company (6719),corporation
"via monte baldo 20, villafranca di verona, 37062, verona, italy",2008,h-it0002216302,"finance, insurance, and real estate",calzedonia holding spa,italy,holding company (6719),corporation
"piazzetta giordano dell'amore 3, milano, 20121, milano, italy",1983,h-it0036432156,"finance, insurance, and real estate",eurizon capital sgr spa,italy,investment advisory service (6282),corporation
"via amilcare ponchielli 7, milano, 20129, milano, italy",2008,h-it0004175387,"finance, insurance, and real estate",finiper canova group spa,italy,holding company (6719),corporation
"via san carlo 8/20, modena, 41121, modena, italy",1867,h-it0051823365,"finance, insurance, and real estate",bper banca spa,italy,national commercial bank (6021),corporation
"via delle industrie 8, spinea, 30038, venezia, italy",1958,h-it0034418431,"finance, insurance, and real estate",gecos - generale di commercio e servizi spa,italy,holding company (6719),corporation
"via delle industrie 8, spinea, 30038, venezia, italy",1980,h-it0000168572,wholesale trade,gruppo pam spa,italy,whol general groceries (5141),corporation
"circonvallazione idroscalo snc, segrate, 20054, milano, italy",1927,h-it0070576246,services,ibm italia spa,italy,custom computer programming (7371),corporation
"viale europa 2, stezzano, 24040, bergamo, italy",1971,h-it0014781409,manufacturing,brembo spa,italy,mfg motor vehicle parts/accessories (3714),corporation
"via monte ortigara 5, bergamo, 24121, bergamo, italy",2004,h-it0002214997,"finance, insurance, and real estate",nuova fourb srl,italy,holding company (6719),corporation
"via monte penice 7, milano, 20138, milano, italy",1993,h-it0071659145,"transportation, communications, electric, gas, and sanitary services",sky italia srl,italy,television station (4833),corporation
"via mantova 166, parma, 43122, parma, italy",1988,h-it0049411330,manufacturing,barilla g. e r. fratelli spa,italy,mfg macaroni/spaghetti (2098),corporation
"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",1999,h-it0043242537,"transportation, communications, electric, gas, and sanitary services",alitalia societa' aerea italiana spa,italy,scheduled air transportation (4512),corporation
"via giovanni battista pirelli 19, milano, 20124, milano, italy",1980,h-it0068385552,services,bolton group srl,italy,business services (7389),corporation
"via giovanni battista pirelli 19, milano, 20124, milano, italy",2010,h-it0020453108,"finance, insurance, and real estate",factor holding srl,italy,holding company (6719),corporation
"via monzambano 10, roma, 00185, roma, italy",1950,h-it0049402331,"transportation, communications, electric, gas, and sanitary services",anas spa,italy,transportation services (4789),corporation
"via gaetano de castillia 6/a, milano, 20124, milano, italy",2003,h-it0074296558,"finance, insurance, and real estate",maire tecnimont spa,italy,holding company (6719),corporation
"via mike bongiorno 9, milano, 20124, milano, italy",1991,h-it0065500911,wholesale trade,samsung electronics italia spa,italy,whol appliances/tv/radio (5064),corporation
"via tiburtina 1159, roma, 00156, roma, italy",1962,h-it0011169516,retail trade,renault italia spa,italy,ret new/used automobiles (5511),corporation
"corso como 17, milano, 20154, milano, italy",1947,h-it0010264795,"finance, insurance, and real estate",axa assicurazioni spa,italy,life insurance carrier (6311),corporation
"via furlanelli 69, verano brianza, 20843, monza e brianza, italy",1990,h-it0062356658,retail trade,mediamarket spa,italy,ret misc general merchandise (5399),corporation
"piazza lodi 7, cremona, 26100, cremona, italy",1979,h-it0020650884,"finance, insurance, and real estate",finarvedi spa,italy,holding company (6719),corporation
"via spilamberto 30/c, castelvetro di modena, 41014, modena, italy",1988,h-it0047540028,manufacturing,inalca spa,italy,meat packing plant (2011),corporation
"viale altiero spinelli 30, roma, 00157, roma, italy",2007,h-it0075933586,"finance, insurance, and real estate",banca nazionale del lavoro spa,italy,national commercial bank (6021),corporation
"via francesco caracciolo 51, milano, 20155, milano, italy",1999,h-it0073082406,"transportation, communications, electric, gas, and sanitary services",fastweb spa,italy,telephone communications (4813),corporation
"viale del lavoro 20, belfiore, 37050, verona, italy",1986,h-it0053224930,"finance, insurance, and real estate",finbre spa,italy,subdivider/developer (6552),corporation
"viale del lavoro 20, belfiore, 37050, verona, italy",1975,h-it0037877445,retail trade,maxi di srl,italy,ret groceries (5411),corporation
"piazza adriano olivetti 1, milano, 20139, milano, italy",2007,h-it0073228761,"finance, insurance, and real estate",swisscom italia srl,italy,holding company (6719),corporation
"via benigno crespi 23, milano, 20159, milano, italy",1952,h-it0065538978,"finance, insurance, and real estate",zurich investments life spa,italy,life insurance carrier (6311),corporation
"via del fante 21, verona, 37122, verona, italy",1987,h-it0056068484,"finance, insurance, and real estate",arca vita spa,italy,life insurance carrier (6311),corporation
"via valpantena 18/g, verona, 37142, verona, italy",1983,h-it0050197304,manufacturing,agricola tre valli societa' cooperativa,italy,poultry processing (2015),corporation
"via michelino 59, bologna, 40127, bologna, italy",1962,h-it0017623804,wholesale trade,conad consorzio nazionale dettaglianti soc coop,italy,whol non durable goods (5199),corporation
"via della piovola 138, empoli, 50053, firenze, italy",2010,h-it0021553033,services,sesa spa,italy,management consulting services (8742),corporation
"viale egidio galbani 70, roma, 00156, roma, italy",1999,h-it0009518258,"transportation, communications, electric, gas, and sanitary services",terna rete elettrica nazionale spa,italy,electric services (4911),corporation
"via enrico stendhal 47, milano, 20144, milano, italy",2004,h-it0002491664,"finance, insurance, and real estate",moncler spa,italy,patent owner/lessor (6794),corporation
"corso giulio cesare 424/95/c, torino, 10156, torino, italy",1930,h-it0010302581,manufacturing,michelin italiana s.a.m.i. spa,italy,mfg tires/inner tubes (3011),corporation
"via enrico mattei 42, bologna, 40138, bologna, italy",1979,h-it0022984526,"transportation, communications, electric, gas, and sanitary services",brt spa,italy,trucking operator-non local (4213),corporation
"via lodovico seitz 47, treviso, 31100, treviso, italy",1968,h-it0009358986,manufacturing,de' longhi appliances srl,italy,mfg electric housewares/fans (3634),corporation
"via del serafico 89, roma, 00142, roma, italy",1929,h-it0008847908,retail trade,ford italia spa,italy,ret new/used automobiles (5511),corporation
"contrada della misericordia 14, vicenza, 36100, vicenza, italy",1988,h-it0039940438,"finance, insurance, and real estate",so.fi.d.a. spa,italy,misc business credit institutions (6159),corporation
