name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
altran,paris,1982,industrials,business support services,"engineering consulting, part of capgemini",,,,,,,,,,
amaury sport organisation,issy-les-moulineaux,1992[8],consumer services,recreational services,"sports events, part of éditions philippe amaury",,,,,,,,,,
arianegroup,issy-les-moulineaux,2015,industrials,aerospace & defense,"aerospace, defense and security",,,,,,,,,,
arianespace,courcouronnes,1980,industrials,aerospace,"commercial launch provider, part of arianegroup",,,,,,,,,,
arkane studios,lyon,1999,technology,software,video games,,,,,,,,,,
arte,strasburg,1991,consumer services,broadcasting & entertainment,french - german television,,,,,,,,,,
astrium,paris,2006,industrials,aerospace,"aerospace manufacturer, defunct 2013",,,,,,,,,,
at internet,bordeaux,1995,technology,internet,web analytics,,,,,,,,,,
atari sa,paris,1983,technology,software,"video games, formerly known as infogrames",,,,,,,,,,
atisreal,levallois-perret,2003,financials,real estate services,"property consultancy, defunct 2009",,,,,,,,,,
atos,bezons,1988,technology,software,software and it consulting,,,,,,,,,,
auchan,croix,1961,consumer services,food retailers & wholesalers,"retail food, supermarkets",,,,,,,,,,
axa,paris,1817,financials,full line insurance,"life, property insurance",,,,,,,,,,
babolat,lyon,1875,consumer goods,recreational products,sports equipment,,,,,,,,,,
baccarat,paris,1764,consumer goods,durable household products,"glassware, fine crystal",,,,,,,,,,
banijay,paris,2008,consumer services,broadcasting & entertainment,film and tv production and distribution,,,,,,,,,,
banque de l'indochine,paris,1875,financials,banks,"defunct 1974, now part of crédit agricole",,,,,,,,,,
bel group,paris,1865,consumer goods,food products,cheese,,,,,,,,,,
bnp paribas,paris,1848,financials,banks,banking group,,,,,,,,,,
bolloré,puteaux,1822,industrials,delivery services,logistics,,,,,,,,,,
bonduelle,villeneuve d'ascq,1853,consumer goods,food products,food,,,,,,,,,,
bouygues telecom,paris,1994,telecommunications,mobile telecommunications,part of bouygues,,,,,,,,,,
bouygues,paris,1952,conglomerates,-,"telecommunications, industrials, travel & leisure",,,,,,,,,,
brittany ferries,roscoff,1972,industrials,marine transportation,ferries,,,,,,,,,,
bugatti automobiles,molsheim,1998,consumer goods,automobiles,part of bugatti rimac (croatia),,,,,,,,,,
canal+,issy-les-moulineaux,1984,consumer services,broadcasting & entertainment,"television, part of vivendi",,,,,,,,,,
capgemini,paris,1967,industrials,business support services,technology consulting,,,,,,,,,,
carrefour,boulogne-billancourt,1958,consumer services,food retailers & wholesalers,hypermarkets,,,,,,,,,,
cartier,saint-ouen,1847,consumer goods,clothing & accessories,"jewelry, watches",,,,,,,,,,
celio,paris,1978,consumer services,apparel retailers,clothing retailer,,,,,,,,,,
