,market_cap,revenue,net_income,gbp
342,doll_25.479 b,0,0,doll_5.468999999999999 b
343,doll_4.965999999999999 b,0,0,doll_5.487 b
344,doll_6730.0 b,0,0,doll_5.493 b
345,doll_5.523 b,0,0,0
346,doll_5.5280000000000005 b,0,0,0
347,doll_6776.0 b,0,0,doll_5.531000000000001 b
348,doll_6809.0 b,0,0,doll_5.558 b
349,doll_4.261 b,0,0,doll_5.588 b
350,doll_3855.0 b,0,0,doll_4.496 b
351,doll_16.880000000000003 b,0,0,doll_4.5 b
352,doll_5524.0 b,0,0,doll_4.509 b
353,doll_4.513 b,0,0,0
354,doll_4.521 b,0,0,0
355,doll_4.104 b,0,0,doll_4.535 b
356,doll_4.556 b,0,0,0
357,doll_4.564 b,0,0,0
358,doll_3.4880000000000004 b,0,0,doll_4.574 b
359,doll_4.574 b,0,0,0
360,doll_4.577 b,0,0,0
361,doll_4.583 b,0,0,0
362,doll_5621.0 b,0,0,doll_4.589 b
363,doll_36.016000000000005 b,0,0,doll_4.598 b
364,doll_4.259 b,0,0,doll_4.601 b
365,doll_4.175 b,0,0,doll_4.613 b
366,doll_5676.0 b,0,0,doll_4.633 b
367,doll_21.762 b,0,0,doll_4.671 b
368,doll_4.686 b,0,0,0
369,doll_4.686 b,0,0,0
370,doll_4.707 b,0,0,0
371,doll_4043.0 b,0,0,doll_4.715 b
372,doll_4.7170000000000005 b,0,0,0
373,doll_4.769 b,0,0,0
374,doll_69.634 b,0,0,doll_4.773 b
375,doll_4.789 b,0,0,0
376,doll_95.325 b,0,0,doll_4.8 b
377,doll_4.814 b,0,0,0
378,doll_4.8149999999999995 b,0,0,0
379,doll_4.817 b,0,0,0
380,doll_6.042 b,0,0,doll_4.827 b
381,doll_4.846 b,0,0,0
382,doll_4159.0 b,0,0,doll_4.85 b
383,doll_4.85 b,0,0,0
384,doll_4.852 b,0,0,0
385,doll_1398.0 b,0,0,doll_4.8740000000000006 b
386,doll_6.511 b,0,0,doll_4.883 b
387,doll_5993.0 b,0,0,doll_4.892 b
388,doll_4.39 b,0,0,0
389,doll_27.951 b,0,0,doll_4.393 b
390,doll_3340.0 b,0,0,doll_4.398 b
391,doll_53692.0 b,0,0,doll_4.401 b
392,doll_5398.0 b,0,0,doll_4.406000000000001 b
393,doll_4.411 b,0,0,0
394,doll_4.423 b,0,0,0
395,doll_4.432 b,0,0,0
396,doll_4.432 b,0,0,0
397,doll_4.439 b,0,0,0
398,doll_4.478 b,0,0,0
399,doll_4.068 b,0,0,doll_4.495 b
400,doll_3.997 b,0,0,0
401,doll_31.327999999999996 b,0,0,doll_3.999 b
402,doll_4.013 b,0,0,0
403,doll_25.562 b,0,0,doll_4.017 b
404,doll_4.035 b,0,0,0
405,doll_4.049 b,0,0,0
406,doll_4.055 b,0,0,0
407,doll_4.064 b,0,0,0
408,doll_5.531000000000001 b,0,0,doll_4.077 b
409,doll_4.079 b,0,0,0
410,doll_4.083 b,0,0,0
411,doll_25.982 b,0,0,doll_4.083 b
412,doll_4.087 b,0,0,0
413,doll_3529.0 b,0,0,doll_4.116 b
414,doll_3.7329999999999997 b,0,0,doll_4.125 b
415,doll_4.127000000000001 b,0,0,0
416,doll_3.753 b,0,0,doll_4.147 b
417,doll_4.154 b,0,0,0
418,doll_4.16 b,0,0,0
419,doll_4.182 b,0,0,0
420,doll_4.191 b,0,0,0
421,doll_3.7950000000000004 b,0,0,doll_4.193 b
422,doll_5.255 b,0,0,doll_4.1979999999999995 b
423,doll_4.203 b,0,0,0
424,doll_4.2219999999999995 b,0,0,0
425,doll_26.885 b,0,0,doll_4.225 b
426,doll_4.239 b,0,0,0
427,doll_28.598000000000003 b,0,0,doll_4.2490000000000006 b
428,doll_5210.0 b,0,0,doll_4.253 b
