,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
256,,,doll_13.877 m,417 million usd,,,doll_82.931 m,doll_47.347 m,doll_35.584 m
257,,,doll_62.990 m,doll_26.016 m,,,doll_107.110 m,doll_41.290 m,doll_65.823 m
258,,,doll_16.226 m,doll_1.334 m,,,doll_76.249 m,doll_30.952 m,doll_45.297 m
259,,,doll_43.104 m,doll_4.281 m,,,doll_156.210 m,doll_44.608 m,doll_111.600 m
260,,,doll_86.615 m,doll_6.086 m,,,doll_96.296 m,doll_44.953 m,doll_51.343 m
261,,,doll_11.549 m,doll_4.397 m,,,doll_641.020 m,doll_43.460 m,doll_597.560 m
262,,,27 million usd,doll_-4.747 m,,,doll_7.881 m,doll_3.909 m,doll_3.972 m
263,,,doll_6.218 m,doll_2.214 m,,,doll_14.680 m,doll_2.727 m,doll_11.953 m
264,,,doll_10.411 m,doll_3.896 m,,,doll_22.119 m,doll_17.050 m,doll_5.069 m
265,,,doll_6.635 m,500 million usd,,,doll_27.918 m,doll_10.882 m,doll_17.036 m
266,,,doll_93.512 m,doll_3.819 m,,,doll_85.994 m,doll_24.939 m,doll_61.055 m
267,,,doll_14.759 m,doll_1.220 m,,,doll_28.468 m,doll_11.800 m,doll_16.668 m
268,,,doll_4.462 m,-421 million usd,,,doll_22.108 m,doll_15.702 m,doll_6.406 m
269,,,doll_36.400 m,,,,,,
270,,,doll_13.763 m,doll_2.648 m,,,doll_24.137 m,doll_14.976 m,doll_9.161 m
271,,,doll_19.628 m,doll_2.144 m,,,doll_34.027 m,doll_16.413 m,doll_17.614 m
272,,,doll_4.321 m,doll_1.042 m,,,doll_4.787 m,doll_3.018 m,doll_1.769 m
273,,,doll_17.931 m,doll_1.816 m,,,doll_29.097 m,doll_7.124 m,doll_21.973 m
274,,,doll_65.801 m,doll_5.203 m,,,doll_435.830 m,doll_37.881 m,doll_397.940 m
275,,,doll_11.777 m,doll_1.322 m,,,doll_14.222 m,doll_6.925 m,doll_7.298 m
276,,,doll_39.745 m,doll_4.907 m,,,doll_80.883 m,doll_40.211 m,doll_40.671 m
277,,,doll_62.540 m,,,,,,
278,,,doll_97.143 m,doll_22.891 m,,,doll_208.800 m,doll_83.121 m,doll_125.670 m
