,market_cap,revenue
381,0,doll_1.2 b
382,doll_561.2 m,doll_1.2 b
383,doll_1.3 b,doll_1.2 b
384,doll_119.3 m,doll_1.2 b
385,doll_3.8 b,doll_1.2 b
386,doll_2.1 b,doll_1.2 b
387,doll_790.9 m,doll_1.2 b
388,doll_1.3 b,doll_1.2 b
389,doll_1.1 b,doll_1.2 b
390,doll_1.3 b,doll_1.2 b
391,doll_22.4 b,doll_1.2 b
392,doll_2.5 b,doll_1.2 b
393,doll_603.2 m,doll_1.2 b
394,doll_5.6 b,doll_1.2 b
395,doll_2.5 b,doll_1.2 b
396,doll_1.1 b,doll_1.2 b
397,doll_1.9 b,doll_1.2 b
398,doll_1.1 b,doll_1.2 b
399,doll_3.8 b,doll_1.2 b
400,0,doll_1.2 b
401,doll_19.9 b,doll_1.2 b
402,0,doll_1.2 b
403,0,doll_1.2 b
404,doll_2.8 b,doll_1.2 b
405,doll_4.1 b,doll_1.2 b
406,doll_1.2 b,doll_1.2 b
407,doll_269.7 m,doll_1.2 b
408,0,doll_1.2 b
409,doll_3.1 b,doll_1.2 b
410,doll_157.1 m,doll_1.2 b
411,doll_1.2 b,doll_1.2 b
412,doll_18.7 b,doll_1.2 b
413,doll_8.0 b,doll_1.2 b
414,doll_228.5 m,doll_1.2 b
415,doll_2.9 b,doll_1.2 b
416,0,doll_1.2 b
417,doll_1.5 b,doll_1.2 b
418,doll_2.6 b,doll_1.2 b
419,doll_5.0 b,doll_1.2 b
420,doll_1.5 b,doll_1.2 b
421,doll_2.6 b,doll_1.2 b
422,doll_2.9 b,doll_1.2 b
423,doll_3.1 b,doll_1.2 b
424,doll_480.8 m,doll_1.2 b
425,doll_4.5 b,doll_1.2 b
426,doll_294.8 m,doll_1.2 b
427,doll_3.0 b,doll_1.2 b
428,doll_11.0 b,doll_1.2 b
429,doll_1.1 b,doll_1.2 b
430,doll_3.2 b,doll_1.2 b
431,doll_2.5 b,doll_1.2 b
432,doll_13.3 b,doll_1.2 b
433,doll_776.5 m,doll_1.2 b
434,doll_1.4 b,doll_1.2 b
435,doll_39.5 m,doll_1.2 b
436,doll_45.1 b,doll_1.2 b
437,doll_5.5 b,doll_1.2 b
438,doll_2.4 b,doll_1.2 b
439,doll_3.2 b,doll_1.2 b
440,doll_1.3 b,doll_1.2 b
441,doll_2.4 b,doll_1.2 b
442,doll_1.9 b,doll_1.2 b
443,doll_2.4 b,doll_1.2 b
444,doll_810.7 m,doll_1.2 b
445,doll_8.2 b,doll_1.2 b
446,doll_177.0 m,doll_1.2 b
447,doll_3.8 b,doll_1.2 b
448,doll_2.8 b,doll_1.2 b
449,doll_4.6 b,doll_1.2 b
450,doll_581.7 m,doll_1.2 b
451,doll_2.1 b,doll_1.2 b
452,doll_754.2 m,doll_1.2 b
453,doll_7.6 b,doll_1.2 b
454,doll_2.6 b,doll_1.2 b
455,doll_1.5 b,doll_1.2 b
456,doll_2.5 b,doll_1.2 b
457,0,doll_1.2 b
458,0,doll_1.2 b
459,doll_5.4 b,doll_1.2 b
460,doll_6.1 b,doll_1.2 b
461,doll_9.8 b,doll_1.2 b
462,doll_1.2 b,doll_1.2 b
463,doll_8.6 b,doll_1.2 b
464,doll_941.0 m,doll_1.2 b
465,doll_688.9 m,doll_1.2 b
466,doll_2.1 b,doll_1.2 b
467,doll_3.0 b,doll_1.2 b
468,doll_27.7 b,doll_1.2 b
469,doll_1.9 b,doll_1.2 b
470,doll_768.3 m,doll_1.2 b
471,doll_5.2 b,doll_1.2 b
472,doll_390.5 m,doll_1.2 b
473,doll_2.1 b,doll_1.2 b
474,doll_992.5 m,doll_1.2 b
475,doll_1.9 b,doll_1.2 b
476,doll_347.6 m,doll_1.2 b
477,doll_7.3 b,doll_1.3 b
478,doll_830.1 m,doll_1.3 b
479,doll_1.0 b,doll_1.3 b
480,doll_1.2 b,doll_1.3 b
481,doll_3.9 b,doll_1.3 b
482,doll_4.3 b,doll_1.3 b
483,doll_2.3 b,doll_1.3 b
484,doll_2.2 b,doll_1.3 b
485,doll_3.1 b,doll_1.3 b
486,doll_4.5 b,doll_1.3 b
487,0,doll_1.3 b
