,index,foundation_year,headquarter,industry,name,ownership
2339,2339,1994,"indore, madhya pradesh, india",pharma,symbiotec pharmalab,private
2340,2340,2003,"kolkata, west bengal, india",consumer electronics & appliances,kutchina,private
2341,2341,1994,"mumbai, maharashtra, india",pharma,rusan pharma,private
2342,2342,2002,"pune, maharashtra, india",iron & steel,tata bluescope steel,private
2343,2343,1995,"nagpur, maharashtra, india",chemicals / agri inputs,solar industries india,public
2344,2344,1994,"pune, maharashtra, india",healthcare,sahyadri hospital,private
2345,2345,2017,"mumbai,maharashtra, india",real estate,anarock property consultants,private
2346,2346,1972,"dublin, dublin, ireland",industrial machinery,ingersoll rand,public
2347,2347,2004,"hyderabad/secunderabad, telangana, india",it services & consulting,mantra technologies,llp
2348,2348,1976,"newbury,west berkshire, united kingdom",it services & consulting,micro focus,private
2349,2349,1991,"kolkata, west bengal, india",auto components,birla tyres,private
2350,2350,1978,"mumbai, maharashtra, india",real estate,runwal group,
2351,2351,2002,"santa clara, california, united states (usa)",semiconductors,applied materials,private
2352,2352,2001,"kolkata, west bengal, india",pharma,tcg lifesciences,public
2353,2353,1965,"delhi/ncr, new delhi, india",metals & mining,bharat aluminium company (balco),private
2354,2354,1944,"kolkata, west bengal, india",industrial machinery,gainwell commosales,private
2355,2355,1995,"mumbai,maharashtra, inda",it services & consulting,kiya.ai,
2356,2356,2003,"gurgaon/gurugram, haryana, india",real estate,bptp,private
2357,2357,2006,"municipality of gavã, spain",building material,roca bathroom products,private
2358,2358,1949,"mumbai, india",travel & tourism,sotc travel services,private
2359,2359,1947,"mumbai, maharashtra, india",edtech,jetking infotrain,public
2360,2360,0,,,anz support services,
2361,2361,2004,"ahmedabad, india",telecom,metrotelworks,private
2362,2362,2004,"milwaukee, wisconsin, united states (usa)",it services & consulting,thought focus,private
2363,2363,2014,"bangalore,karnataka, india",internet,porter,private
2364,2364,1996,"plymouth, mi, united states (usa)",auto components,adient,private
2365,2365,2015,"ahmedabad, gujarat, india",auto components,maxxis rubber,private
2366,2366,2004,"chennai, tamil nadu, india",fmcg,lotte india corporation,public
2367,2367,1906,"delhi/ncr, delhi, india",food processing,hamdard,ngo/npo
2368,2368,2018,"bangalore,karnataka, india",iron & steel,zetwerk manufacturing businesses,private
2369,2369,1997,"colonel sanders lane, louisville, united states (usa)",hospitality,yum!,private
2370,2370,1999,"santa clara, california, united states (usa)",pharma,agilent technologies,private
2371,2371,1993,"raleigh, north carolina, united states (usa)",it services & consulting,red hat,private
2372,2372,1962,"pune, maharashtra, india",food processing,nilons enterprises,private
2373,2373,1971,"gurgaon/gurugram, haryana, india",real estate,unitech,public
2374,2374,1985,"bangalore/bengaluru, karnataka, india",fashion & textile,himatsingka seide,public
2375,2375,1959,"london, united kingdom",government,csc uk,private
2376,2376,1997,"michigan, united states (usa)",auto components,mitsuba sical,public
2377,2377,1885,"ingelheim, germany",pharma,boehringer-ingelheim,private
2378,2378,1910,"mumbai, maharashtra, india",retail,samsonite,private
2379,2379,1989,"delhi/ncr, delhi, india",engineering & construction,nkg infrastructure,private
2380,2380,2005,"gurgaon, india",investment banking / venture capital / private equity,resurgent india,private
2381,2381,1990,"gurgaon/gurugram, haryana, india",auto components,roop automotives,private
2382,2382,2007,"mumbai, maharashtra, india",pharma,harman finochem,private
2383,2383,2003,"gurgaon/gurugram, haryana, india",furniture & furnishing,fenesta building systems,private
2384,2384,1998,"kuwait city, kuwait",engineering & construction,kirby building systems,private
2385,2385,1988,"delhi,nct, india",edtech,meritnation,private
2386,2386,1996,"chennai, tamil nadu, india",food processing,tirumala milk products,private
2387,2387,2007,"delhi,nct, india",media & entertainment,den networks,public
2388,2388,1943,"delft, netherland",retail,ikea,private
2389,2389,1998,"amsterdam, netherlands",healthcare,philips innovation campus,public
2390,2390,2016,"mumbai, maharashtra, india",logistics,stellar value chain solutions,private
2391,2391,1979,"bangalore/bengaluru, karnataka, india",fashion & textile,gokaldas exports,public
2392,2392,1975,"noida, india",auto components,samvardhana motherson group,
2393,2393,1965,"vadodara/baroda, gujarat, india",industrial machinery,netafim irrigation india,private
2394,2394,1997,"palo alto, california, united states (usa)",software product,tibco software,private
2395,2395,1974,"noida, india",agro chemicals,national fertilizers,public
2396,2396,0,,consumer electronics & appliances,johnson controls hitachi air conditioning,
2397,2397,1974,"vadodara/baroda, gujarat, india",electrical equipment,electrical research & development association,private
2398,2398,2006,"redmond, united states",it services & consulting,people tech group,private
2399,2399,2010,"pune, maharashtra, india",healthcare,krsnaa diagnostics,private
2400,2400,1922,"pune, maharashtra, india",auto components,cooper corporation,private
2401,2401,1964,"mumbai, maharashtra, india",biotechnology,acg associated capsules,
2402,2402,1991,"koppal, karnataka, india",iron & steel,kirloskar ferrous industries,public
2403,2403,2005,"hyderabad/secunderabad, telangana, india",clinical research,aizant drug research solutions,private
2404,2404,0,,consumer electronics & appliances,johnson controls hitachi air conditioning,
2405,2405,2000,"hyderabad/secunderabad, telangana, india",building material,myk laticrete,private
2406,2406,1974,"vadodara/baroda, gujarat, india",electrical equipment,electrical research & development association,private
2407,2407,1991,"hyderabad/secunderabad, telangana, india",hardware & networking,astra microwave products,public
2408,2408,1977,"mumbai, india",pharma,glenmark life sciences,public
2409,2409,2015,"singapore,singapore, singapore",internet,moglix,private
2410,2410,1990,"gurgaon/gurugram, haryana, india",automobile,prem motors,private
2411,2411,1984,"gurgaon, india",building material,ais glass solutions,private
2412,2412,1912,switzerland,metals & mining,holcim,private
2413,2413,1996,"delhi/ncr, new delhi, india",engineering & construction,angelique international,private
2414,2414,2010,"kolkata, west bengal, india",it services & consulting,webskitters,private
2415,2415,1981,"delhi/ncr, new delhi, india",packaging,cosmo films,public
2416,2416,1960,"gurgaon, india",building material,hindware,private
2417,2417,0,"hamilton, united states of america",financial services,apex group,
2418,2418,2005,"nashik,maharashtra, india",it services & consulting,esds software solutions,private
2419,2419,1987,"delhi/ncr, new delhi, india",engineering & construction,intercontinental consultants & technocrats,private
2420,2420,1987,"kanpur, india",fmcg,rspl ghari detergent,
2421,2421,2002,"kochi/cochin, kerala, india",it services & consulting,aabasoft,private
2422,2422,2014,"ahmedabad, gujrat, india",pharma,aculife healthcare,private
2423,2423,1965,"gurgaon/gurugram, haryana, india",pharma,msd pharmaceuticals,private
2424,2424,1967,"al-khobar, saudiarabia",engineering & construction,national contracting company,private
2425,2425,1988,"new delhi, delhi, india",it services & consulting,pc solutions,private
2426,2426,1986,"gurgaon/gurugram, haryana, india",auto components,bharat seats,public
2427,2427,2008,"mumbai, maharashtra, india",retail,easyday club,
2428,2428,2012,"bangalore,karnataka, india",edtech,datatrained,llp
2429,2429,1970,"north sydney, new south wales, australia",real estate,smec,private
2430,2430,1971,"abu dhabi, abu dhabi, united arab emirates (uae)",oil & gas,adnoc,private
2431,2431,1901,"pune, maharashtra, india",food processing,mothers recipe,private
2432,2432,1982,"holon,tel aviv, israel",it services & consulting,sapiens,private
2433,2433,1945,"fort worth,texas, united states",healthcare,alcon,public
2434,2434,1860,"uzwil, st. gallen, switzerland",industrial machinery,buhler,private
2435,2435,1955,"kolkata, west bengal, india",metals & mining,mn dastur & company,private
2436,2436,1998,"madison heights, usa",it services & consulting,netlink software,private
2437,2437,1935,"atlanta, atlanta, united states (usa)",financial services,invesco,private
2438,2438,1930,"delhi/ncr, new delhi, india",broadcasting,all india radio,private
2439,2439,1976,"pune, maharashtra, india",auto components,s. m. auto engineering,private
2440,2440,1984,"noida, india",healthcare,kailash hospital,public
2441,2441,2016,"gurgaon,haryana, india",edtech,doubtnut,private
2442,2442,2018,"santa clara, usa",it services & consulting,hitachi vantara,private
2443,2443,0,,automobile,mahindra automotives,
2444,2444,1988,"bengaluru/bangalore, karnataka, france",it services & consulting,alten,private
2445,2445,1817,"london, united kingdom",chemicals,johnson matthey,private
2446,2446,1963,"kolkata, west bengal, india",engineering & construction,techno electric & engineering company,public
2447,2447,2000,"hyderabad/secunderabad, telangana, india",engineering & construction,satyam venture engineering services,private
2448,2448,2015,"pune, maharashtra, india",it services & consulting,zimetrics technologies,
2449,2449,2004,"mumbai, india",insurance,mahindra insurance brokers,private
2450,2450,1993,"bangalore/bengaluru, karnataka, india",retail,coffee day,private
2451,2451,1986,"mumbai, maharashtra, india",it services & consulting,accelya solutions india limited,private
2452,2452,2008,"kolkata, west bengal, india",building material,amrit cement,private
2453,2453,1998,"houston, texas, united states (usa)",defence & aerospace,kellogg brown and root,public
2454,2454,1956,"lippo di calderara di reno, bologna, italy",industrial machinery,bonfiglioli transmissions,private
2455,2455,2007,"bangalore,karnataka, india",consumer electronics & appliances,jeeves consumer services,private
2456,2456,2006,"mumbai, india",retail,reliance fresh,private
2457,2457,1992,"mumbai, maharashtra, india",financial services,national stock exchange of india,private
2458,2458,1988,"bangalore/bengaluru, karnataka, india",auto components,hical technologies,private
2459,2459,2015,"bangalore,karnataka, india",internet,nestaway,private
2460,2460,1991,"chennai, india",it services & consulting,inspirisys solution,public
2461,2461,2010,"panchkula, india",bpo,altruist customer management india,
2462,2462,1984,"new delhi, delhi, india",financial services,religare,public
2463,2463,1937,"chennai, tamil nadu, india",banking,indian overseas bank,private
2464,2464,2008,"singapore, singapore",education & training,global indian international school,private
2465,2465,1990,"bedford, massachusetts, united states of america",it services & consulting,logixhealth,private
2466,2466,1961,"chennai, tamil nadu, india",industrial machinery,l&t valves,private
2467,2467,2011,"santa clara, united states",it services & consulting,tiger analytics,private
2468,2468,1958,"delhi/ncr, delhi, india",industrial machinery,lloyd insulations,private
2469,2469,2012,"mumbai,maharashtra, india",insurance,magma hdi general insurance,jv
2470,2470,1999,"chennai,tamil nadu, india",it services & consulting,indium software,private
2471,2471,1994,"solan, madhya pradesh, india",industrial machinery,indo farm equipment,private
2472,2472,2016,"bangalore,karnataka, india",internet,hungerbox,private
2473,2473,1936,"mumbai, maharashtra, india",fmcg,kores,private
2474,2474,2000,"delhi/ncr, delhi, india",real estate,gmr hyderabad international airport,private
2475,2475,1883,"lund, skane, sweden",industrial machinery,alfa laval,private
2476,2476,1992,"mumbai, maharashtra, india",chemicals,laxmi organic industries,public
2477,2477,1960,"pondicherry/puducherry, tamil nadu, india",non-profit,sri aurobindo society,ngo/npo
2478,2478,1970,"tokyo, japan",auto components,polyplastics industries (i),private
2479,2479,2015,"delhi,nct, india",telecom,excitel broadband,private
2480,2480,2012,"hyderabad/secunderabad, telangana, india",it services & consulting,karvy innotech,public
2481,2481,1998,"princeton, new jersey, united states (usa)",it services & consulting,gavs technologies,private
2482,2482,1977,"delhi/ncr, delhi, india",building material,orient bell,public
2483,2483,1984,"pune, maharashtra, india",metals & mining,mungi group,private
2484,2484,2012,"mumbai, india",recruitment,conviction hr,private
2485,2485,1996,"mumbai, maharashtra, india",engineering & construction,iot infrastructure & energy,private
2486,2486,1984,"delhi,nct, india",food processing,tops,private
2487,2487,2014,"gurgaon,haryana, india",hospitality,fabhotels,private
2488,2488,2011,"pune, india",it services & consulting,metro global business services,public
2489,2489,2009,"stuttgart, germany",other,carl zeiss,private
2490,2490,1975,"mumbai, maharashtra, india",chemicals,national organic chemical industries,public
2491,2491,2001,"lohr a. main, bavaria, germany",industrial machinery,bosch rexroth india,private
2492,2492,1958,"new delhi, india",automobile,mitsubishi electric automotive india,public
2493,2493,1975,"hyvinkää, finland",industrial machinery,konecranes,private
2494,2494,2000,"gurgaon/gurugram, haryana, india",it services & consulting,softwareone,private
2495,2495,1995,"mumbai, maharashtra, india",logistics,orix auto infrastructure services,public
2496,2496,1995,"mumbai, maharashtra, india",it services & consulting,dynacons systems & solutions,private
2497,2497,2004,"ahmedabad, gujrat, india",oil & gas,adani gas,public
2498,2498,1998,"new delhi, india",management consulting,ipe global,public
2499,2499,2000,"ahmedabad, gujrat, india",building material,asian granito india,public
2500,2500,2006,"pune, india",insurance,gallagher offshore support services,private
2501,2501,2004,"kolkata, west bengal, india",architecture & interior design,aludecor lamination,private
2502,2502,1865,"greensboro, united states (usa)",power,gilbarco veeder root,private
2503,2503,2013,"mumbai,maharashtra, india",investment banking / venture capital / private equity,neogrowth credit,private
2504,2504,1964,"chennai, tamil nadu, india",auto components,rane brake lining,public
2505,2505,1976,"delhi/ncr, delhi, india",engineering & construction,ircon international,private
2506,2506,1924,"delhi/ncr, delhi, india",printing & publishing,hindustan times,private
2507,2507,1959,"chennai, india",automobile,tube investments of india,public
2508,2508,1994,"detroit, michigan, united states (usa)",auto components,american axle & manufacturing,private
2509,2509,2006,"ahmedabad, india",recruitment,ims people,private
2510,2510,1989,"mumbai, maharashtra, india",it services & consulting,rolta india,public
2511,2511,1984,"bangalore/bengaluru, karnataka, india",defence & aerospace,aeronautical development agency,private
2512,2512,1983,"ahmedabad, gujarat, india",electronics manufacturing,hitachi hi-rel power electronics,private
2513,2513,1938,"toledo, ohio, united states (usa)",building material,owens corning,private
2514,2514,2010,"gurgaon,haryana, india",agriculture,origo commodities,private
2515,2515,2007,"thane, maharashtra, india",healthcare,jupiter hospital,private
2516,2516,1984,"chennai, india",consumer electronics & appliances,novateur electrical & digital systems,private
2517,2517,1990,"gurgaon/gurugram, haryana, india",fmcg,lt foods,public
2518,2518,1984,"nagpur, maharashtra, india",metals & mining,sunflag iron and steel,private
2519,2519,1978,"mumbai, maharashtra, india",travel & tourism,akbar travels,private
2520,2520,2006,"faridabad, haryana, india",metals & mining,cmr green technologies,public
2521,2521,1956,"gurgaon/gurugram, haryana, india",auto components,talbros,public
2522,2522,1992,"hanover,maryland, united states",telecom,ciena,private
2523,2523,2001,"kolkata, india",it services & consulting,mjunction services,jv
2524,2524,1958,"mumbai, maharashtra, india",education & training,iit bombay,public
2525,2525,1938,"latrobe, pennsylvania, united states (usa)",industrial machinery,kennametal,public
2526,2526,1953,"mumbai, maharashtra, india",building material,nitco,public
2527,2527,1988,"mysore, india",electrical equipment,kaynes technology,private
2528,2528,2009,"delhi/ncr, new delhi, india",printing & publishing,cordova publication,private
2529,2529,1976,"bangalore/bengaluru, karnataka, india",metals & mining,bmm ispat,public
2530,2530,2007,"hyderabad/secunderabad, telangana, india",analytics & kpo,gd research center,private
2531,2531,2003,"mumbai, india",real estate,omkar realtors and developers group,private
2532,2532,2005,"mumbai, maharashtra, india",internet,nature's basket,private
2533,2533,1975,"riyadh, saudiarabia",engineering & construction,el seif engineering contracting,private
2534,2534,2009,"gurgaon/gurugram, haryana, india",engineering & construction,kcc buildcon,private
2535,2535,2012,"noida,uttar pradesh, india",healthcare,healthcare at home,private
2536,2536,1996,"mumbai, maharashtra, india",printing / packaging,parksons packaging,private
2537,2537,2011,"bangalore, india",education & training,klay schools,private
2538,2538,1887,"trivandrum/thiruvananthapuram, kerala, india",financial services,muthoot pappachan group,private
2539,2539,1849,"charenton-le-pont, france",medical equipment,essilor,private
2540,2540,2001,"mumbai,maharashtra, india",edtech,learningmate solutions,private
2541,2541,1998,"delhi/ncr, new delhi, india",telecom,dishnet wireless,public
2542,2542,1979,"kanpur, uttar pradesh, india",fashion & textile,mirza international,public
2543,2543,1966,"ghaziabad, uttar pradesh, india",electrical equipment,east india udyog,public
2544,2544,1981,"chennai, tamil nadu, india",chemicals,pon pure chemical,private
2545,2545,1999,"chennai, tamil nadu, india",recruitment,buzzworks business services,private
2546,2546,1982,"mumbai, maharashtra, india",engineering & construction,pratibha industries,public
2547,2547,1988,"mumbai, maharashtra, india",edtech,mt educare,public
2548,2548,2008,"mumbai,maharashtra, india",internet,naaptol online shopping,private
2549,2549,1873,"stockholm, sweden",industrial machinery,epiroc,public
2550,2550,1907,"chennai, india",banking,indian bank,private
2551,2551,1931,"mumbai, maharashtra, india",fmcg,kokuyo camlin,public
2552,2552,2002,"chicago, illinois, united states (usa)",it services & consulting,quinnox,private
2553,2553,1896,"erlangen, germany",healthcare,siemens healthcare,private
2554,2554,1964,"jalna,maharashtra, india",agriculture,maharashtra hybrid seed company,private
2555,2555,1993,"mumbai, maharashtra, india",beauty & personal care,lotus herbals,private
2556,2556,2006,"mumbai, maharashtra, india",financial services,reliance money,private
2557,2557,1949,"chennai, tamil nadu, india",industrial machinery,ti cycles of india,public
2558,2558,1997,"sydney,new south wales, australia",it services & consulting,athenahealth technology,private
2559,2559,1949,"dubai, dubai, united arab emirates (uae)",beauty & personal care,supermax personal care,private
2560,2560,1997,"greater noida, uttar pradesh, india",electronics manufacturing,sunwoda,private
2561,2561,2017,"chennai, tamil nadu, india",it services & consulting,armsoftech.air,
2562,2562,1987,"santa clara, california, united states (usa)",it services & consulting,mcafee,private
2563,2563,1896,"zug,zug, switzerland",electrical equipment,landis+gyr,public
2564,2564,2007,"pune, maharashtra, india",engineering & construction,hyundai construction equipment,private
2565,2565,2003,"provo,utah, united states",software product,entrata india,private
2566,2566,1985,"minnetonka, minnesota, united states (usa)",hospitality,country inns & suites,private
2567,2567,1995,"bethesda, maryland, united states (usa)",hospitality,four points by sheraton,
2568,2568,0,,industrial machinery,hofincons infotech & industrial services,
2569,2569,1973,"hyderabad/secunderabad, telangana, india",agriculture,nuziveedu seeds,public
2570,2570,2001,"gurugram, india",pharma,windlas biotech,
2571,2571,1996,"noida, uttar pradesh, india",telecom,linkquest telecom,private
2572,2572,2013,"gurgaon,haryana, india",internet,cashify,private
2573,2573,1996,"ahmedabad, gujarat, india",engineering & construction,astral polytechnik,public
2574,2574,2006,"kolkata, west bengal, india",retail,citylife retail,private
2575,2575,2016,"bangalore,karnataka, india",law enforcement & security,mygate,private
2576,2576,2014,"saint-ouen, france",other,allianz partners,
2577,2577,1978,"pune, maharashtra, india",auto components,polybond india,private
2578,2578,1998,"hq - delhi/ncr, delhi, india",auto components,new holland fiat (india),private
2579,2579,1987,"dallas, texas, united states (usa)",it services & consulting,systems plus,private
2580,2580,1998,"hq - delhi/ncr, delhi, india",auto components,new holland fiat (india),private
2581,2581,1948,"anand, india",food processing,amul dairy,private
2582,2582,1996,"mumbai, maharashtra, india",accounting & auditing,bluechip corporate investment centre,private
2583,2583,2000,"mumbai, maharashtra, india",electronics manufacturing,selec controls,private
2584,2584,1995,"mumbai, maharashtra, india",recruitment,bonace engineers,private
2585,2585,1977,"hosur, tamil nadu, india",auto components,rajsriya automotive industries,private
2586,2586,1978,"pune, maharashtra, india",auto components,polybond india,private
2587,2587,2011,"gurgaon,haryana, india",it services & consulting,grey orange,private
2588,2588,1990,"pune, maharashtra, india",auto components,alicon castalloy,public
2589,2589,1957,"chennai, tamil nadu, india",healthcare,dr. agarwal's eye hospital,public
2590,2590,2014,"saint-ouen, france",other,allianz partners,
2591,2591,1993,"mumbai, maharashtra, india",furniture & furnishing,sleek international,private
2592,2592,2015,"bangalore,karnataka, india",internet,supr daily,private
2593,2593,1953,"mumbai, maharashtra, india",facility management services,writer corporation,private
2594,2594,1908,"mumbai, maharashtra, india",industrial machinery,walchandnagar industries,public
2595,2595,2004,"bangalore,karnataka, india",software product,algonomy,private
2596,2596,1963,"bangalore/bengaluru, karnataka, india",education & training,nttf,private
2597,2597,1999,"jalandhar, india",banking,capital small finance bank,
2598,2598,2000,"chennai, india",nbfc,repco home finance,public
2599,2599,2015,"hyderabad/secunderabad, telangana, india",bpo,nspira management services,private
2600,2600,2001,"franklin, tennesse, united states (usa)",it services & consulting,m*modal,private
2601,2601,1982,"gurgaon/gurugram, haryana, india",healthcare,park hospital,
2602,2602,2006,"delhi/ncr, delhi, india",fmcg,smart value products and services,private
2603,2603,1995,"muttenz, bael-country, switzerland",chemicals,clariant chemicals,public
2604,2604,1984,"richardson, texas, united states (usa)",fashion & textile,fossil group,private
2605,2605,0,,beverage,slmg beverages,
2606,2606,2006,"chennai, tamil nadu, india",it services & consulting,novac technology solutions,private
2607,2607,1966,"abu dhabi, abu dhabi, united arab emirates (uae)",retail,lulu group international,private
2608,2608,1925,"chuo city, tokyo, japan",chemicals,sumitomo chemical,private
2609,2609,1943,"kolkata, west bengal, india",banking,uco bank,public
2610,2610,1999,"white plains, united states",it services & consulting,smartdata enterprises,private
2611,2611,1965,"delhi/ncr, new delhi, india",electrical equipment,bch electric,private
2612,2612,1999,"kolkata, west bengal, india",recruitment,2coms,private
2613,2613,2004,"chennai, tamil nadu, india",agro chemicals,tagros chemicals,private
2614,2614,1969,"sydney, australia",investment banking / venture capital / private equity,macquarie group,private
2615,2615,1987,"dubai, united arab emirates (uae)",retail,joyalukkas,private
2616,2616,1990,"satara, maharashtra, india",emerging technologies,precision automation & robotics india,private
2617,2617,1871,"frankenthal, rhineland-palatinate, germany",industrial machinery,ksb pumps,private
2618,2618,1996,"jaipur, rajasthan, india",nbfc,kogta financial,public
2619,2619,2010,"noida,uttar pradesh, india",internet,traveltriangle,private
2620,2620,1974,"mumbai, maharashtra, india",financial services,shriram chits,private
2621,2621,1985,"kolkata, india",petrochemicals,haldia petrochemicals,private
2622,2622,1923,"lommel, belgium, europe",power,zf wind power,
2623,2623,1952,"agra, uttar pradesh, india",medical equipment,romsons group of industries,private
2624,2624,1946,"jaipur, rajasthan, india",auto components,nbc bearings,public
2625,2625,1940,"wichita, kansas, us",oil & gas,koch business solutions,private
2626,2626,2021,"greater noida, uttar pradesh, india",education & training,classcanyon,private
2627,2627,1997,"mumbai, india",animation & vfx,prime focus,public
2628,2628,1991,"gurgaon/gurugram, haryana, india",financial services,icra,public
2629,2629,1989,"bangalore/bengaluru, karnataka, india",fashion & textile,louis philippe,private
2630,2630,1968,"bangalore/bengaluru, karnataka, india",metals & mining,jindal aluminium,public
2631,2631,1930,"indore, india",beauty & personal care,prem henna,private
2632,2632,2011,"bridgeville, pennsylvania, united states (usa)",it services & consulting,accion labs,private
2633,2633,0,,,gyproc,
2634,2634,1950,"mumbai, maharashtra, india",chemicals,eastman chemical company,
2635,2635,1983,"mumbai, maharashtra, india",pharma,sun pharma laboratories,
2636,2636,2013,"shenzhen, guangdong, hong kong",consumer electronics & appliances,oneplus,public
2637,2637,2011,"mumbai, maharashtra, india",analytics & kpo,mahindra integrated business solutions,private
2638,2638,1992,"ahmedabad, gujarat, india",it services & consulting,hitech digital solutions,llp
2639,2639,1999,"new delhi, india",aviation,bird worldwide flight services,private
2640,2640,2015,"mumbai,maharashtra, india",internet,turtlemint,
2641,2641,2000,"bangalore/bengaluru, karnataka, india",building material,zuari cement,private
2642,2642,2012,"bangalore/bengaluru, karnataka, india",healthcare,healthifyme,private
2643,2643,1985,"ahmedabad, gujarat, india",agro chemicals,gsp crop science,private
2644,2644,2015,"seattle,washington, united states",internet,flyhomes,
2645,2645,1891,"södertälje, södertälje, sweden",auto components,scania,private
2646,2646,1933,"lestrem, france",beauty & wellness,roquette riddhi siddhi,private
2647,2647,1925,"bangalore/bengaluru, karnataka, india",banking,syndicate bank,public
2648,2648,2004,"delhi/ncr, new delhi, india",analytics & kpo,caretel infotech,private
2649,2649,1983,"idukki, kerala, india",food processing,eastern condiments,private
2650,2650,1885,"montreal, canada",engineering & construction,the louis berger group,private
2651,2651,1967,"chandigarh, chandigarh, india",beverage,kandhari beverages,private
2652,2652,1764,"delhi/ncr, delhi, india",healthcare,army medical corps,govt organisation
2653,2653,2012,"gurgaon/gurugram, haryana, india",semiconductors,carrier midea,private
2654,2654,1999,"kolkata, west bengal, india",it services & consulting,kaizen it services,private
2655,2655,2008,"kolkata, west bengal, india",logistics,aka logistics,public
2656,2656,2006,"mumbai, india",retail,reliancesmart.in,public
2657,2657,2008,"kolkata, west bengal, india",healthcare,desun hospital & heart institute,private
2658,2658,2012,"bangalore/bengaluru, karnataka, india",it services & consulting,danske it,private
2659,2659,1996,"bangalore/bengaluru, karnataka, india",engineering & construction,mfar constructions,private
2660,2660,1981,"jeddah, saudiarabia",engineering & construction,nesma & partners,private
2661,2661,2010,"mumbai,maharashtra, india",financial services,home first finance company india,private
2662,2662,2018,"mumbai,maharashtra, india",internet,toothsi,
2663,2663,0,,recruitment,wipro hr services,
2664,2664,0,,software product,ichhapurti.com,
2665,2665,2010,"mumbai, maharashtra, india",it services & consulting,orcapod consulting services,private
2666,2666,2001,"noida, uttar pradesh, india",telecom,telecom network solutions,private
2667,2667,2010,"gurgaon/gurugram, haryana, india",chemicals,jubilant agri and consumer products,private
2668,2668,2006,"chennai,tamil nadu, india",financial services,madura micro finance,private
2669,2669,1997,"mumbai, maharashtra, india",fitness & wellness,health total,private
2670,2670,1986,"mumbai, maharashtra, india",food processing,frigorifico allana,private
2671,2671,2000,"chennai, tamil nadu, india",it services & consulting,ivtl infoview technologies,private
2672,2672,1992,"ahmedabad, gujarat, india",it services & consulting,silver touch technologies,public
2673,2673,1975,"jakarta, singapore",fashion & textile,indorama,private
2674,2674,2007,"lucknow, uttar pradesh, india",food processing,gyan dairy,private
2675,2675,1998,"ahmedabad, india",clinical research,lambda therapeutic research,private
2676,2676,1930,"mumbai, maharashtra, india",pharma,raptakos brett and company,public
2677,2677,2007,"aurangabad, maharashtra, india",auto components,sata vikas india,jv
2678,2678,1967,"ahmedabad, gujarat, india",chemicals,jay chemical industries,private
2679,2679,1986,"ahmedabad, gujarat, india",chemicals,meghmani organics,public
2680,2680,2005,"petaling jaya, india",education & training,ec-council,private
2681,2681,1986,"mumbai, maharashtra, india",healthcare,seven hills hospital,private
2682,2682,1992,"san jose,california, united states",it services & consulting,netapp,private
2683,2683,1998,"mumbai,maharashtra, india",it services & consulting,ntt-netmagic,private
2684,2684,2010,"noida, india",recruitment,vayam info solutions,
2685,2685,2007,"new york, new york, united states (usa)",analytics & kpo,moody's analytics,private
2686,2686,1985,"amsterdam, north holland, netherlands",fashion & textile,tommy hilfiger,private
2687,2687,1942,"schwieberdinger, ludwigsburg, germany",industrial machinery,mann and hummel filter,private
2688,2688,1988,"mumbai, maharashtra, india",software product,63 moons technologies,public
2689,2689,1994,"mumbai, india",power,jsw energy,public
2690,2690,0,,metals & mining,vedanta limited,
2691,2691,1849,"new york city, new york, united states (usa)",pharma,pfizer products india,
2692,2692,2002,"new delhi, india",power,bses yamuna power,
2693,2693,1990,"pune, maharashtra, india",nbfc,electronica finance,public
2694,2694,1995,"noida, uttar pradesh, india",real estate,mahagun india,private
2695,2695,1996,"sunnyvale,california, united states",hardware & networking,juniper networks,private
2696,2696,2013,"gurgaon,haryana, india",healthcare,healthians,private
2697,2697,2009,"mumbai,maharashtra, india",sports & recreation,smaaash entertainment,private
2698,2698,1959,"pune, india",healthcare,ruby hall clinic,ngo/npo
2699,2699,2007,"munich, bavaria, germany",bpo,b2x service solutions,private
2700,2700,2015,"thane, maharashtra, india",financial services,5paisa capital,public
2701,2701,1991,"mumbai, maharashtra, india",pharma,amoli organics,
2702,2702,2013,"gurgaon,haryana, india",healthcare,healthians,private
2703,2703,1959,"pune, india",healthcare,ruby hall clinic,ngo/npo
2704,2704,1876,"kenosha, united states",fashion & textile,jockey,private
2705,2705,2010,"san mateo,california, united states",software product,freshworks,public
2706,2706,1989,"mumbai, maharashtra, india",power,tata power solar,public
2707,2707,2018,"bengaluru/bangalore, karnataka, india",edtech,basicfirst learning,private
2708,2708,1862,"delhi/ncr, new delhi, india",building material,ck birla group,private
2709,2709,1976,"abu dhabi, abu dhabi, united arab emirates (uae)",telecom,etisalat,public
2710,2710,1995,"delhi/ncr, new delhi, india",logistics,delhi metro rail corporation,public
2711,2711,2013,"bangalore,karnataka, india",automobile,ather energy,private
2712,2712,2000,"dallas, texas, united states (usa)",it services & consulting,hitachi consulting,private
2713,2713,2004,"ahmedabad, india",healthcare,corona remedies,private
2714,2714,1990,"hyderabad/secunderabad, telangana, india",building material,aparna enterprises,private
2715,2715,1988,"al jubail, saudiarabia",engineering & construction,azmeel contracting,private
2716,2716,2010,"bawal, india",auto components,roki minda co,private
2717,2717,2008,"new delhi, india",marketing & advertising,cpm india sales & marketing,private
2718,2718,2005,"pasig city, india",it services & consulting,telus international philippines,
