,index,founded,industry,headquarters,name,size,website
797,797,1984,computer networking,"san jose, ca",cisco careers,"10,000+ employees",www.cisco.com
798,798,1995,environmental services,"oakland, ca",energy solutions careers,51 to 200 employees,www.energy-solution.com
799,799,1947,retail,"stockholm, sweden",h&m careers,"10,000+ employees",www.hm.com
800,800,2015,computer software,"los angeles, ca",heslil careers,1 to 50 employees,www.heslil.com
801,801,2007,information technology & services,"canberra, act",citadel careers,201 to 500 employees,www.citadelgroup.com
802,802,2017,investment management,"bangalore, karnataka",paytm money careers,201 to 500 employees,paytmmoney.com
803,803,2019,real estate,"brooklyn, ny",savvy careers,1 to 50 employees,www.savvyscreen.com
804,804,2000,internet,"needham, ma",tripadvisor careers,"1,001 to 5,000 employees",www.tripadvisor.com
805,805,2014,computer software,"san francisco, ca",aptible careers,51 to 200 employees,www.aptible.com
806,806,1970,research,"palo alto, ca",parc careers,201 to 500 employees,parc.com
807,807,2015,computer hardware,"huntsville, al","abaco systems, inc. careers",51 to 200 employees,www.abaco.com
808,808,1982,computer software,"eden prairie, mn",helpsystems careers,"1,001 to 5,000 employees",www.helpsystems.com
809,809,2008,retail,"orlando, fl",victory tailgate careers,51 to 200 employees,victorytailgate.com
810,810,2007,computer software,"bellevue, wa",acumatica careers,201 to 500 employees,www.acumatica.com
811,811,1988,real estate,"greenbelt, md",the bozzuto group careers,"1,001 to 5,000 employees",www.bozzuto.com
812,812,1980,information technology & services,"winston-salem, nc",inmar careers,"1,001 to 5,000 employees",www.inmar.com
813,813,2005,telecommunications,"richardson, tx",mavenir careers,"1,001 to 5,000 employees",mavenir.com
814,814,2012,computer software,"san mateo, ca",snowflake careers,"501 to 1,000 employees",www.snowflake.com
815,815,2006,retail,"moscow, russia",x5 retail group careers,"10,000+ employees",www.x5.ru
816,816,2010,computer software,"lyon, france",inova software careers,51 to 200 employees,www.inova-software.com
817,817,2015,computer software,"chicago, il",ballotready careers,1 to 50 employees,www.ballotready.org
818,818,1993,computer software,"king of prussia, pa",qlik careers,"1,001 to 5,000 employees",www.qlik.com
819,819,1933,aviation & aerospace,"cedar rapids, ia",collins aerospace careers,"10,000+ employees",www.collinsaerospace.com
820,820,2015,internet,"new york, ny","knockaway, inc. careers",1 to 50 employees,www.knock.com
821,821,1961,"health, wellness & fitness","louisville, ky",humana careers,"10,000+ employees",www.humana.com
822,822,2015,biotechnology,"london, united kingdom",orchard therapeutics careers,201 to 500 employees,www.orchard-tx.com
823,823,2018,internet,"new york, ny",tracer careers,1 to 50 employees,tracer.tech
824,824,2003,defense & space,"herndon, va",compass careers,51 to 200 employees,www.cmpsinc.com
825,825,1971,retail,"wilton, ct",cyclingsportsgroup careers,"501 to 1,000 employees",www.cyclingsportsgroup.com
826,826,1999,semiconductors,"schiphol, netherlands",lumileds careers,"5,001 to 10,000 employees",www.lumileds.com
