04-iGMM-code,02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
cmi,et,et,et,et,2328
alz,hen,hen,hen,hen,k
are,cpng,cpng,cpng,cpng,hpe
sgo,ferg,ferg,ferg,ferg,600018
wst,ba.,ba.,ba.,ba.,ucb
6702,fitb,fitb,fitb,fitb,6752
awk,cbre,cbre,cbre,cbre,erf
cbre,awk,awk,awk,awk,sqm
fitb,6702,6702,6702,6702,3ad2
ba.,wst,wst,wst,wst,vmc
ferg,sgo,sgo,sgo,sgo,bt.a
600436,are,are,are,are,4901
6505,alz,alz,alz,alz,fre
dsm,cmi,cmi,cmi,cmi,maa
scmn,vws,vws,vws,vws,work
biib,1010,1010,1010,1010,ntrs
6178,wltw,wltw,wltw,wltw,xpev
crh,mtch,mtch,mtch,mtch,aena
0728,kdb,kdb,kdb,kdb,2603
es,ucg,ucg,ucg,ucg,wpl
601138,2882,2882,2882,2882,lyv
2914,cprt,cprt,cprt,cprt,600016
glw,spot,spot,spot,spot,aee
gmg,ndaq,ndaq,ndaq,ndaq,chd
oke,wy,wy,wy,wy,vrsn
mtd,5110,5110,5110,5110,fang
tlk,bll,bll,bll,bll,sgen
ppg,keys,keys,keys,keys,pltr
7182,4503,4503,4503,4503,dal
0960,ams,ams,ams,ams,edpr
601633,edf,edf,edf,edf,it
pcar,rci.b,rci.b,rci.b,rci.b,cdw
wege3,600438,600438,600438,600438,mos
bf.b,lvs,lvs,lvs,lvs,seb.a
barc,rwe,rwe,rwe,rwe,0027
2020,601919,601919,601919,601919,lr
z74,sivb,sivb,sivb,sivb,enph
600690,csx,csx,csx,csx,1113
clnx,0669,0669,0669,669,alb
0267,ntgy,ntgy,ntgy,ntgy,fe
2269,apa,apa,apa,apa,600188
0688,hrl,hrl,hrl,hrl,0002
abc,cern,cern,cern,cern,stmn
wec,aht,aht,aht,aht,len
rost,efx,efx,efx,efx,1303
8411,688981,688981,688981,688981,uri
kkr,paha,paha,paha,paha,axisbank
600048,tsco,tsco,tsco,tsco,sanb11
0066,siri,siri,siri,siri,mdb
6954,aot,aot,aot,aot,6503
knin,0001,0001,0001,1,lh
dfs,601319,601319,601319,601319,hig
tsn,expe,expe,expe,expe,ebk
hal,frc,frc,frc,frc,li
trow,phia,phia,phia,phia,9022
2412,gwo,gwo,gwo,gwo,tef
eqr,y92,y92,y92,y92,rblx
300122,sren,sren,sren,sren,601818
ajg,eix,eix,eix,eix,o
4689,wkl,wkl,wkl,wkl,soon
vrsk,on,on,on,on,
syd,cabk,cabk,cabk,cabk,slmnp
oew,sampo,sampo,sampo,sampo,7751
algn,exr,exr,exr,exr,dbk
fast,srt,srt,srt,srt,ifc
amp,dhi,dhi,dhi,dhi,dte
mt,gww,gww,gww,gww,luv
1876,600406,600406,600406,600406,ho
601998,knebv,knebv,knebv,knebv,u
ed,mkc,mkc,mkc,mkc,ksu
lng,9613,9613,9613,9613,pcg
odfl,002460,002460,002460,2460,cqp
0016,603501,603501,603501,603501,sand
yum,ibkr,ibkr,ibkr,ibkr,vna
imo,sibn,sibn,sibn,sibn,603392
avb,2881,2881,2881,2881,evo
g,tsco,tsco,tsco,tsco,5108
hxg,lisn,lisn,lisn,lisn,zbh
tls,anss,anss,anss,anss,300015
600887,601225,601225,601225,601225,601225
csu,300015,300015,300015,300015,anss
600000,zbh,zbh,zbh,zbh,lisn
dash,5108,5108,5108,5108,tsco
muv2,evo,evo,evo,evo,2881
601816,603392,603392,603392,603392,sibn
600276,vna,vna,vna,vna,ibkr
8766,sand,sand,sand,sand,603501
ph,cqp,cqp,cqp,cqp,002460
6273,pcg,pcg,pcg,pcg,9613
tt,ksu,ksu,ksu,ksu,mkc
ea,u,u,u,u,knebv
psx,ho,ho,ho,ho,600406
byra,luv,luv,luv,luv,gww
dim,dte,dte,dte,dte,dhi
cpg,ifc,ifc,ifc,ifc,srt
4568,dbk,dbk,dbk,dbk,exr
cap,7751,7751,7751,7751,sampo
sbac,slmnp,slmnp,slmnp,slmnp,cabk
dltr,,,,,on
aca,soon,soon,soon,soon,wkl
vol4,o,o,o,o,eix
1024,601818,601818,601818,601818,sren
dell,twlo,twlo,twlo,twlo,y92
bbva,rblx,rblx,rblx,rblx,gwo
bkr,tef,tef,tef,tef,phia
ec,9022,9022,9022,9022,frc
alc,li,li,li,li,heio
pru,ebk,ebk,ebk,ebk,2020
nzym.b,hig,hig,hig,hig,gmab
