00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
,,,,,,,first trust dynamic europe equity income fund,
,,,,,,,pensana plc,
,,,,,,,petropavlovsk plc,
,,,,,,,allergy therapeutics plc,
,,,,,,,instem plc,
,,,,,,,camellia plc,
,,,,,,,octopus aim vct plc,
,,,,,,,blancco technology group plc,
,,,,,,,james fisher and sons plc,
,,,,,,,zoetic international plc,
,,,,,,,time out group plc,
,,,,,,,bioventix plc,
,,,,,,,jersey electricity plc,
,,,,,,,ediston property investment company plc,
,,,,,,,pantheon international plc,
,,,,,,,blackrock latin american investment trust plc,
,,,,,,,ten entertainment group plc,
,,,,,,,twentyfour select monthly income fund limited,
,,,,,,,invesco perpetual uk smaller companies investment trust plc,
,,,,,,,everyman media group plc,
,,,,,,,oxford metrics plc,
,,,,,,,amino technologies plc,
,,,,,,,pharos energy plc,
,,,,,,,e-therapeutics plc,
,,,,,,,wynnstay group plc,
,,,,,,,shepherd neame ltd,
,,,,,,,the character group plc,
,,,,,,,chariot ltd.,
,,,,,,,gresham technologies plc,
,,,,,,,anpario plc,
,,,,,,,"alterola biotech, inc.",
,,,,,,,trident royalties plc,
,,,,,,,record plc,
,,,,,,,calnex solutions plc,
,,,,,,,aberdeen income credit strategies fund,
,,,,,,,sureserve group plc,
,,,,,,,castings plc,
,,,,,,,superdry plc,
,,,,,,,tmt investments plc,
,,,,,,,mind gym plc,
,,,,,,,h&t group plc,
,,,,,,,aquis exchange plc,
,,,,,,,knights group holdings plc,
,,,,,,,access intelligence plc,
,,,,,,,countrywide plc,
,,,,,,,caledonia mining corporation plc,
,,,,,,,carr's group plc,
,,,,,,,aberforth split level income trust plc,
,,,,,,,n brown group plc,
,,,,,,,bango plc,
,,,,,,,franchise brands plc,
,,,,,,,duke royalty limited,
,,,,,,,equals group plc,
,,,,,,,m&g credit income investment trust plc,
,,,,,,,stv group plc,
,,,,,,,blackrock north american income trust plc,
,,,,,,,arbuthnot banking group plc,
,,,,,,,proven vct plc,
,,,,,,,keystone positive change investment trust plc,
,,,,,,,chenavari toro income fund ltd,
,,,,,,,mercia asset management plc,
,,,,,,,jarvis securities plc,
,,,,,,,mpac group plc,
,,,,,,,majedie investments plc,
,,,,,,,shanta gold limited,
,,,,,,,d4t4 solutions plc,
,,,,,,,northern 3 vct plc,
,,,,,,,manolete partners plc,
,,,,,,,walker greenbank plc,
,,,,,,,warrego energy limited,
,,,,,,,inland homes plc,
,,,,,,,surface transforms plc,
,,,,,,,kropz plc,
,,,,,,,northern venture trust plc,
,,,,,,,ep global opportunities trust,
,,,,,,,topps tiles plc,
,,,,,,,downing one vct plc,
,,,,,,,zoo digital group plc,
,,,,,,,esken limited,
,,,,,,,the income & growth vct plc,
,,,,,,,costain group plc,
,,,,,,,amedeo air four plus ltd,
,,,,,,,arecor therapeutics plc,
,,,,,,,michelmersh brick holdings plc,
,,,,,,,powerhouse energy group plc,
,,,,,,,sanderson design group plc,
,,,,,,,eco animal health group plc,
,,,,,,,hss hire group plc,
,,,,,,,the property franchise group plc,
,,,,,,,b.p. marsh & partners plc,
,,,,,,,eckoh plc,
,,,,,,,edtechx holdings acquisition corp,
,,,,,,,vaccitech plc,
,,,,,,,assetco plc,
,,,,,,,phoenix global resources plc,
,,,,,,,nwf group plc,
,,,,,,,aferian plc,
,,,,,,,eagle eye solutions group plc,
,,,,,,,advanced oncotherapy plc,
,,,,,,,helios underwriting plc,
,,,,,,,octopus aim vct 2 plc,
,,,,,,,melodyvr group plc,
,,,,,,,up global sourcing holdings plc,
,,,,,,,nanoco group plc,
,,,,,,,icg-longbow senior secured uk property debt investments,
,,,,,,,gear4music (holdings) plc,
,,,,,,,smiths news plc,
,,,,,,,scancell holdings plc,
,,,,,,,kr1 plc,
,,,,,,,finsbury food group plc,
,,,,,,,mereo biopharma group plc,
,,,,,,,sourcebio international plc,
,,,,,,,aberdeen asia-pacific income investment company limited,
,,,,,,,diaceutics plc,
,,,,,,,afritin mining limited,
,,,,,,,geiger counter ltd,
,,,,,,,ferro-alloy resources limited,
,,,,,,,trans-siberian gold plc,
,,,,,,,triple point energy efficiency infrastructure company plc,
,,,,,,,the conygar investment company plc,
,,,,,,,flowtech fluidpower plc,
,,,,,,,oncimmune holdings plc,
,,,,,,,the city pub group plc,
,,,,,,,dewhurst plc,
,,,,,,,warpaint london plc,
,,,,,,,jpmorgan european investment trust plc,
,,,,,,,schroder bsc social impact trust plc,
,,,,,,,beeks trading corporation ltd.,
,,,,,,,nexus infrastructure plc,
,,,,,,,celtic plc,
,,,,,,,doric nimrod air three ltd,
,,,,,,,achilles therapeutics plc,
,,,,,,,belvoir group plc,
,,,,,,,albion development vct plc,
,,,,,,,quixant plc,
,,,,,,,new star investment trust plc,
,,,,,,,logistics development group plc,
,,,,,,,albion enterprise vct plc,
,,,,,,,dianomi plc,
,,,,,,,the fulham shore plc,
,,,,,,,open orphan plc,
,,,,,,,petronor e&p ltd,
,,,,,,,bluejay mining plc,
,,,,,,,j. smart & co. (contractors) plc,
,,,,,,,ig design group plc,
,,,,,,,bespoke capital acquisition corp.,
,,,,,,,marwyn value investors ltd,
,,,,,,,real estate investors plc,
,,,,,,,futura medical plc,
,,,,,,,shoe zone plc,
,,,,,,,onthemarket plc,
,,,,,,,geodrill limited,
,,,,,,,braemar shipping services plc,
,,,,,,,arena events group plc,
,,,,,,,trinity exploration & production plc,
,,,,,,,mcbride plc,
,,,,,,,purplebricks group plc,
,,,,,,,aquila energy efficiency trust plc,
,,,,,,,xpediator plc,
,,,,,,,virgin wines uk plc,
,,,,,,,inspiration healthcare group plc,
,,,,,,,savannah resources plc,
,,,,,,,woodbois limited,
,,,,,,,the alumasc group plc,
,,,,,,,accrol group holdings plc,
,,,,,,,enwell energy plc,
,,,,,,,ceiba investments ltd,
,,,,,,,caspian sunrise plc,
,,,,,,,science in sport plc,
,,,,,,,scs group plc,
,,,,,,,zephyr energy plc,
,,,,,,,iqgeo group plc,
,,,,,,,rainbow rare earths limited,
,,,,,,,gem diamonds limited,
,,,,,,,maven income and growth vct 4 plc,
,,,,,,,epe special opportunities limited,
,,,,,,,eleco plc,
,,,,,,,air partner plc,
,,,,,,,meridian mining s.e.,
,,,,,,,kkv secured loan fund limited,
,,,,,,,town centre securities plc,
,,,,,,,cake box holdings plc,
,,,,,,,argentex group plc,
,,,,,,,frenkel topping group plc,
,,,,,,,kooth plc,
,,,,,,,invinity energy systems plc,
,,,,,,,4d pharma plc,
,,,,,,,british smaller companies vct 2 plc,
,,,,,,,velocys plc,
,,,,,,,distribution finance capital holdings plc,
,,,,,,,portmeirion group plc,
,,,,,,,staffline group plc,
,,,,,,,kitwave group plc,
,,,,,,,gaming realms plc,
,,,,,,,netcall plc,
,,,,,,,crystal amber fund ld,
,,,,,,,capital & regional plc,
,,,,,,,northern 2 vct plc,
,,,,,,,personal group holdings plc,
,,,,,,,solid state plc,
,,,,,,,value and indexed property income trust plc,
,,,,,,,rbg holdings plc,
,,,,,,,bmo uk high income trust plc,
,,,,,,,dialight plc,
,,,,,,,foresight enterprise vct plc,
,,,,,,,artemis alpha trust plc,
,,,,,,,james cropper plc,
,,,,,,,rm plc,
,,,,,,,global value fund limited,
,,,,,,,palace capital plc,
,,,,,,,venator materials plc,
,,,,,,,epwin group plc,
,,,,,,,blackrock energy and resources income trust plc,
,,,,,,,studio retail group plc,
,,,,,,,foxtons group plc,
,,,,,,,henderson diversified income trust plc,
,,,,,,,circassia group plc,
,,,,,,,sigma capital group plc,
,,,,,,,middlefield canadian income pcc,
,,,,,,,aptitude software group plc,
,,,,,,,aberdeen standard equity income trust plc,
,,,,,,,creo medical limited,
,,,,,,,begbies traynor group plc,
,,,,,,,sdi group plc,
,,,,,,,aurora investment trust,
,,,,,,,curtis banks group plc,
,,,,,,,avacta group plc,
,,,,,,,quartix holdings plc,
,,,,,,,montanaro uk smaller companies trust,
,,,,,,,redx pharma plc,
,,,,,,,cc japan income & growth trust plc,
,,,,,,,afh financial group plc,
,,,,,,,schroder income growth fund plc,
,,,,,,,keystone law group plc,
,,,,,,,ekf diagnostics holdings plc,
,,,,,,,premier miton group plc,
,,,,,,,jpmorgan mid cap investment trust plc,
,,,,,,,troy income & growth trust plc,
,,,,,,,loungers plc,
,,,,,,,horizonte minerals plc,
,,,,,,,city of london investment group plc,
,,,,,,,jpmorgan us smaller co. inv tst plc,
,,,,,,,schroder japan growth fund plc,
,,,,,,,gooch & housego plc,
,,,,,,,aberdeen standard european logistics income plc,
,,,,,,,jpmorgan smaller companies investment trust plc,
,,,,,,,blackrock frontiers investment trust plc,
,,,,,,,afc energy plc,
,,,,,,,martin currie global portfolio investment trust,
,,,,,,,frp advisory group plc,
,,,,,,,audioboom group plc,
,,,,,,,pensionbee group plc,
,,,,,,,home reit plc,
,,,,,,,jpmorgan china growth & income plc,
,,,,,,,petrofac limited,
,,,,,,,scottish oriental smaller companies trust plc,
,,,,,,,polar capital global healthcare trust,
,,,,,,,mj gleeson plc,
,,,,,,,luxfer holdings plc,
,,,,,,,kistos plc,
,,,,,,,templeton emerging markets investment trust temit,
,,,,,,,compass pathways plc,
,,,,,,,jpmorgan asia growth & income plc,
,,,,,,,inspecs group plc,
,,,,,,,north american income trust (the) plc,
,,,,,,,jpmorgan elect plc managed growth,
,,,,,,,scapa group plc,
,,,,,,,impact healthcare reit plc,
,,,,,,,brunner investment trust plc,
,,,,,,,kin and carta plc,
,,,,,,,cineworld group plc,
,,,,,,,gcp asset backed income fund limited,
,,,,,,,aberdeen standard asia focus plc,
,,,,,,,silence therapeutics plc,
,,,,,,,dunedin income growth investment trust,
,,,,,,,sig plc,
,,,,,,,chesnara plc,
,,,,,,,twentyfour income ord,
,,,,,,,sthree plc,
,,,,,,,bluefield solar income fund limited,
,,,,,,,integrated diagnostics holdings plc,
,,,,,,,stenprop ltd,
,,,,,,,craneware plc,
,,,,,,,goco group plc,
,,,,,,,empiric student property plc,
,,,,,,,greatland gold plc,
,,,,,,,picton property income limited,
,,,,,,,harworth group plc,
,,,,,,,watkin jones plc,
,,,,,,,alternative credit investments plc,
,,,,,,,"young & co.'s brewery, plc",
,,,,,,,ergomed plc,
,,,,,,,mccarthy & stone plc,
,,,,,,,equiniti group plc,
,,,,,,,blackrock throgmorton trust plc,
,,,,,,,discoverie group plc,
,,,,,,,treatt plc,
,,,,,,,bh macro limited gbp,
,,,,,,,yellow cake plc,
,,,,,,,alpha fx group plc,
,,,,,,,chemring group plc,
,,,,,,,marlowe plc,
,,,,,,,cls holdings plc,
,,,,,,,kape technologies plc,
,,,,,,,jpmorgan euro small co. trust plc,
,,,,,,,vinacapital vietnam opportunity fund limited,
,,,,,,,emis group plc,
,,,,,,,smart metering systems plc,
,,,,,,,edinburgh worldwide investment trust plc,
,,,,,,,cosmos yatirim holding anonim sirketi,
,,,,,,,euro trend yatirim ortakligi a.s.,
,,,,,,,euro menkul kiymet yatirim ortakligi anonim sirketi,
,,,,,,,garanti yatirim ortakligi a.s.,
,,,,,,,denge yatirim holding a.s.,
,,,,,,,metro yatirim ortakligi a.s.,
,,,,,,,mmc sanayi ve ticari yatirimlar a.s.,
,,,,,,,bayrak ebt taban sanayi ve ticaret anonim sirketi,
,,,,,,,derimod konfeksiyon ayakkabi deri sanayi ve ticaret a.s.,
,,,,,,,izmir firça sanayi ve ticaret anonim sirketi,
,,,,,,,oylum sinai yatirimlar anonim sirketi,
,,,,,,,avrasya petrol ve turistik tesisler yatirimlar anonim sirketi,
,,,,,,,atlas menkul kiymetler yatirim ortakligi a.s.,
,,,,,,,vanet gida sanayi iç ve dis ticaret anonim sirketi,
,,,,,,,oyak yatirim ortakligi as,
,,,,,,,hilton food group plc,
,,,,,,,birko birlesik koyunlulular mensucat ticaret ve sanayi a.s.,
,,,,,,,premier foods plc,
,,,,,,,immunocore holdings plc,
,,,,,,,thg plc,
,,,,,,,apax global alpha limited,
,,,,,,,currys plc,
,,,,,,,gb group plc,
,,,,,,,supermarket income reit plc,
,,,,,,,centamin plc,
,,,,,,,vectura group plc,
,,,,,,,moneysupermarket.com group plc,
,,,,,,,murray income trust plc,
,,,,,,,victoria plc,
,,,,,,,euromoney institutional investor plc,
,,,,,,,ferroglobe plc,
,,,,,,,syncona limited,
,,,,,,,avi global trust plc,
,,,,,,,redde northgate plc,
,,,,,,,morgan sindall group plc,
,,,,,,,serica energy plc,
,,,,,,,clarkson plc,
,,,,,,,john wood group plc,
,,,,,,,cairn energy plc,
,,,,,,,edinburgh investment trust plc,
,,,,,,,coats group plc,
,,,,,,,yayla enerji üretim turizm ve insaat ticaret a.s.,
,,,,,,,rodrigo tekstil sanayi ve ticaret a.s.,
,,,,,,,vakif menkul kiymet yatirim ortakligi a.s.,
,,,,,,,özerden plastik sanayi ve ticaret a.s.,
,,,,,,,a.v.o.d. kurutulmus gida ve tarim ürünleri a.s.,
,,,,,,,burçelik vana sanayi ve ticaret a.s.,
,,,,,,,smartiks yazilim a.s.,
,,,,,,,creditwest faktoring anonim sirketi,
,,,,,,,pera gayrimenkul yatirim ortakligi as,
,,,,,,,mepet metro petrol ve tesisleri sanayi ticaret a.s.,
,,,,,,,eminis ambalaj sanayi ve ticaret a.s.,
,,,,,,,ersu meyve ve gida sanayii a.s.,
,,,,,,,metemtur otelcilik ve turizm isletmeleri a.s.,
,,,,,,,pergamon status dis ticaret a.s.,
,,,,,,,yesil gayrimenkul yatirim ortakligi a.s.,
,,,,,,,tgs dis ticaret anonim sirketi,
,,,,,,,royal hali iplik tekstil mobilya sanayi ve ticaret a.s.,
,,,,,,,dagi yatirim holding a.s.,
,,,,,,,idealist danismanlik a.s.,
,,,,,,,trend gayrimenkul yatirim ortakligi a.s.,
,,,,,,,emek elektrik endustrisi anonim sirketi,
,,,,,,,akdeniz yatirim holding a.s.,
,,,,,,,euro yatirim holding a.s.,
,,,,,,,sekuro plastik ambalaj sanayi a.s.,
,,,,,,,safkar ege sogutmacilik klima soguk hava tesisleri ihracat ithalat sanayi ve ticaret a.s.,
,,,,,,,global menkul degerler anonim sirketi,
,,,,,,,despec bilgisayar pazarlama ve ticaret anonim sirketi,
,,,,,,,temapol polimer plastik ve insaat sanayi ticaret a.s.,
,,,,,,,viking kagit ve selüloz a.s.,
,,,,,,,flap kongre toplanti hizmetleri otomotiv ve turizm a.s.,
,,,,,,,ostim endüstriyel yatirimlar ve isletme a.s.,
,,,,,,,saray matbaacilik kagitçilik kirtasiyecilik ticaret ve sanayi a.s.,
,,,,,,,serve film prodüksiyon eglence a.s.,
,,,,,,,seker finansal kiralama a.s.,
,,,,,,,burçelik bursa çelik döküm sanayii a.s.,
,,,,,,,senkron güvenlik ve iletisim sistemleri a.s.,
,,,,,,,merko gida sanayi ve ticaret a.s.,
,,,,,,,seyitler kimya sanayi a.s.,
,,,,,,,marti otel isletmeleri a.s.,
,,,,,,,uzertas boya sanayi ticaret ve yatirim anonim sirketi,
,,,,,,,ayes celik hasir ve cit sanayi a.s.,
,,,,,,,yesil yapi endüstrisi a.s.,
,,,,,,,hub girisim sermayesi yatirim ortakligi a.s.,
,,,,,,,oxford instruments plc,
,,,,,,,aj bell plc,
,,,,,,,synthomer plc,
,,,,,,,paragon banking group plc,
,,,,,,,contourglobal plc,
,,,,,,,impax asset management group plc,
,,,,,,,james halstead plc,
,,,,,,,hipgnosis songs fund limited,
,,,,,,,alphawave ip group plc,
,,,,,,,sirius real estate limited,
,,,,,,,blackrock world mining trust plc,
,,,,,,,impax environmental markets trust plc,
,,,,,,,marshalls plc,
,,,,,,,jpmorgan emerging markets investment trust plc,
,,,,,,,ceres power holdings plc,
,,,,,,,formet celik kapi sanayi ve ticaret a.s.,
,,,,,,,çelik halat ve tel sanayii a.s.,
,,,,,,,hammerson plc,
,,,,,,,datagate bilgisayar malzemeleri ticaret anonim sriketi,
,,,,,,,mega polietilen köpük sanayi ve ticaret anonim sirketi,
,,,,,,,marti gayrimenkul yatirim ortakligi a.s.,
,,,,,,,pinar su ve icecek sanayi ve ticaret a.s.,
,,,,,,,escort teknoloji yatirim a.s.,
,,,,,,,silverline endustri ve ticaret a.s.,
,,,,,,,kervansaray yatirim holding a.s.,
,,,,,,,gersan elektrik ticaret ve sanayi anonim sirketi,
,,,,,,,plastikkart akilli kart iletisim sistemleri sanayi ve ticaret a.s.,
,,,,,,,link bilgisayar sistemleri yazilimi ve donanimi sanayi ve ticaret a.s.,
,,,,,,,yonga mobilya sanayi ve ticaret a.s.,
,,,,,,,söktas tekstil sanayi ve ticaret a.s.,
,,,,,,,etiler gida ve ticari yatirimlar sanayi ve ticaret anonim sirketi,
,,,,,,,körfez gayrimenkul yatirim ortakligi a.s.,
,,,,,,,usak seramik sanayi a.s.,
,,,,,,,yesil yatirim holding anonim sirketi,
,,,,,,,ihlas ev aletleri imalat sanayi ve ticaret a.s.,
,,,,,,,cimbeton hazir beton ve prefabrik yapi elemanlari sanayi ve ticaret anonim sirketi,
,,,,,,,kafein yazilim hizmetleri ticaret a.s.,
,,,,,,,sodas sodyum sanayii a.s.,
,,,,,,,edip gayrimenkul yatirim sanayi ve ticaret a.s.,
,,,,,,,egeplast ege plastik ticaret ve sanayi anonim sirketi,
,,,,,,,demisas döküm emaye mamülleri sanayi anonim sirketi,
,,,,,,,frigo-pak gida maddeleri sanayi ve ticaret a.s.,
,,,,,,,bantas bandirma ambalaj sanayi ve ticaret a.s.,
,,,,,,,kuyumcukent gayrimenkul yatirimlari a.s.,
,,,,,,,tugçelik alüminyum ve metal mamulleri sanayi ve ticaret a.s.,
,,,,,,,mazhar zorlu holding a.s.,
,,,,,,,hateks hatay tekstil isletmeleri a.s.,
,,,,,,,sanifoam sünger sanayi ve ticaret a.s.,
,,,,,,,lider faktoring a.s.,
,,,,,,,dagi giyim sanayi ve ticaret a.s.,
,,,,,,,fonet bilgi teknolojileri anonim sirketi,
,,,,,,,karsu tekstil sanayii ve ticaret a.s.,
,,,,,,,isiklar enerji ve yapi holding a.s.,
,,,,,,,yaprak süt ve besi çiftlikleri sanayi ve ticaret a.s.,
,,,,,,,bastas baskent cimento sanayi ve ticaret anonim sirketi,
,,,,,,,arena bilgisayar sanayi ve ticaret a.s.,
,,,,,,,tek-art insaat ticaret turizm sanayi ve yatirimlar anonim sirketi,
,,,,,,,osmanli yatirim menkul degerler a.s.,
,,,,,,,menderes tekstil sanayi ve ticaret anonim sirketi,
,,,,,,,babcock international group plc,
,,,,,,,sumas suni tahta ve mobilya sanayi a.s.,
,,,,,,,personal assets trust,
,,,,,,,aggreko plc,
,,,,,,,balfour beatty plc,
,,,,,,,mercantile investment trust (the) plc,
,,,,,,,sequoia economic infrastructure inc ord,
,,,,,,,kainos group plc,
,,,,,,,qinetiq group plc,
,,,,,,,vivo energy plc,
,,,,,,,domino's pizza group plc,
,,,,,,,manchester united plc,
,,,,,,,serco group plc,
,,,,,,,the city of london investment trust plc,
,,,,,,,diversey holdings ltd,
,,,,,,,assura plc,
,,,,,,,ssp group plc,
,,,,,,,pets at home group plc,
,,,,,,,l.p.n. development public company ltd,
,,,,,,,stp&i public company ltd,
,,,,,,,noble development public company ltd,
,,,,,,,interlink telecom public company ltd,
,,,,,,,s.kijchai enterprise public company ltd,
,,,,,,,snc former public company ltd,
,,,,,,,maybank kim eng securities ,
,,,,,,,prime road power public company ltd,
,,,,,,,exotic food public company ltd,
,,,,,,,bg container glass public company ltd,
,,,,,,,kang yong electric public company ltd,
,,,,,,,asia plus group holdings public company ltd,
,,,,,,,amata vn public company ltd,
,,,,,,,sabina public company ltd,
,,,,,,,thai airways international public company ltd,
,,,,,,,sahamitr pressure container public company ltd,
,,,,,,,mc group public company ltd,
,,,,,,,siamrajathanee public company ltd,
,,,,,,,aim industrial growth freehold and leasehold real estate investment trust,
,,,,,,,p.c.s. machine group holding public company ltd,
,,,,,,,s&p syndicate public company ltd,
,,,,,,,a.j. plast public company ltd,
,,,,,,,the brooker group public company ltd,
,,,,,,,golden ventures leasehold real estate investment trust,
,,,,,,,after you public company ltd,
,,,,,,,humanica public company ltd,
,,,,,,,sermsuk public company ltd,
,,,,,,,quality houses property fund,
,,,,,,,sappe public company ltd,
,,,,,,,alucon public company ltd,
,,,,,,,somboon advance technology public company ltd,
,,,,,,,green river holding co. ltd,
,,,,,,,yggdrazil group public company ltd,
,,,,,,,the platinum group public company ltd,
,,,,,,,i.c.c. international public company ltd,
,,,,,,,mono next public company ltd,
,,,,,,,lalin property public company ltd,
,,,,,,,advanced information technology public company ltd,
,,,,,,,next capital public company ltd,
,,,,,,,triple i logistics public company ltd,
,,,,,,,praram 9 hospital public company ltd,
,,,,,,,lh shopping centers leasehold real estate investment trust,
,,,,,,,loxley public company ltd,
,,,,,,,better world green public company ltd,
,,,,,,,e for l aim public company ltd,
,,,,,,,fortune parts industry public company ltd,
,,,,,,,eastern power group public company ltd,
,,,,,,,do day dream public company ltd,
,,,,,,,j.s.p. property public company ltd,
,,,,,,,amanah leasing public company ltd,
,,,,,,,tong hua holding public company ltd,
,,,,,,,union auction public company ltd,
,,,,,,,millcon steel public company ltd,
,,,,,,,premier marketing public company ltd,
,,,,,,,muramoto electron ,
,,,,,,,ananda development public company ltd,
,,,,,,,country group holdings public company ltd,
,,,,,,,srivichaivejvivat public company ltd,
,,,,,,,nonthavej hospital public company ltd,
,,,,,,,unique engineering and construction public company ltd,
,,,,,,,samart digital public company ltd,
,,,,,,,thitikorn public company ltd,
,,,,,,,namyong terminal public company ltd,
,,,,,,,hwa fong rubber ,
,,,,,,,inter pharma public company ltd,
,,,,,,,netbay public company ltd,
,,,,,,,syn mun kong insurance public company ltd,
,,,,,,,united power of asia public company ltd,
,,,,,,,univentures public company ltd,
,,,,,,,agripure holdings public company ltd,
,,,,,,,samart corp public company ltd,
,,,,,,,j.r.w. utility public company ltd,
,,,,,,,sahacogen ,
,,,,,,,sena development public company ltd,
,,,,,,,diamond building products public company ltd,
,,,,,,,siam pan group public company ltd,
,,,,,,,t.k.s. technologies public company ltd,
,,,,,,,siam wellness group public company ltd,
,,,,,,,amarin printing and publishing public company ltd,
,,,,,,,m.c.s. steel public company ltd,
,,,,,,,seafresh industry public company ltd,
,,,,,,,micro leasing public company ltd,
,,,,,,,dod biotech public company ltd,
,,,,,,,thai nakarin hospital public company ltd,
,,,,,,,infraset public company ltd,
,,,,,,,sunsweet public company ltd,
,,,,,,,thai metal drum manufacturing public company ltd,
,,,,,,,thai steel cable public company ltd,
,,,,,,,s 11 group public company ltd,
,,,,,,,stars microelectronics ,
,,,,,,,dusit thani freehold and leasehold real estate investment trust,
,,,,,,,nok airlines public company ltd,
,,,,,,,uac global public company ltd,
,,,,,,,business alignment public company ltd,
,,,,,,,raimon land public company ltd,
,,,,,,,internet thailand public company ltd,
,,,,,,,jubilee enterprise public company ltd,
,,,,,,,jas asset public company ltd,
,,,,,,,jkn global media public company ltd,
,,,,,,,thanapiriya public company ltd,
,,,,,,,leo global logistics public company ltd,
,,,,,,,thai wacoal public company ltd,
,,,,,,,buriram sugar public company ltd,
,,,,,,,ladprao general hospital public company ltd,
,,,,,,,intermedical care and lab hospital public company ltd,
,,,,,,,team consulting engineering and management public company ltd,
,,,,,,,sriracha construction public company ltd,
,,,,,,,ekachai medical care public company ltd,
,,,,,,,tpc power holding public company ltd,
,,,,,,,mcot public company ltd,
,,,,,,,t.a.c. consumer public company ltd,
,,,,,,,thai plaspac public company ltd,
,,,,,,,beauty community public company ltd,
,,,,,,,lh hotel leasehold real estate investment trust,
,,,,,,,metro systems corp public company ltd,
,,,,,,,samart telcoms public company ltd,
,,,,,,,thai reinsurance public company ltd,
,,,,,,,mfec public company ltd,
,,,,,,,thailand prime property freehold and leasehold real estate investment trust,
,,,,,,,thai optical group public company ltd,
,,,,,,,tipco foods public company ltd,
,,,,,,,interlink communication public company ltd,
,,,,,,,power solution technologies public company ltd,
,,,,,,,laguna resorts & hotels public company ltd,
,,,,,,,property perfect public company ltd,
,,,,,,,stonehenge inter public company ltd,
,,,,,,,communication & system solution public company ltd,
,,,,,,,alt telecom public company ltd,
,,,,,,,amata summit growth freehold and leasehold real estate investment trust,
,,,,,,,chumporn palm oil industry public company ltd,
,,,,,,,the steel public company ltd,
,,,,,,,modernform group public company ltd,
,,,,,,,millionaire property fund,
,,,,,,,seafco public company ltd,
,,,,,,,toray textiles ,
,,,,,,,uob kay hian securities ,
,,,,,,,charoong thai wire and cable public company ltd,
,,,,,,,scan inter public company ltd,
,,,,,,,s prime growth leasehold real estate investment trust,
,,,,,,,team precision public company ltd,
,,,,,,,mfc asset management public company ltd,
,,,,,,,big camera corp public company ltd,
,,,,,,,news network corp public company ltd,
,,,,,,,symphony communication public company ltd,
,,,,,,,fn factory outlet public company ltd,
,,,,,,,dcon products public company ltd,
,,,,,,,inoue rubber ,
,,,,,,,sea oil public company ltd,
,,,,,,,syntec construction public company ltd,
,,,,,,,finansia syrus securities public company ltd,
,,,,,,,pacific pipe public company ltd,
,,,,,,,prinsiri public company ltd,
,,,,,,,bjc heavy industries public company ltd,
,,,,,,,thaire life assurance public company ltd,
,,,,,,,copperwired public company ltd,
,,,,,,,ttcl public company ltd,
,,,,,,,m.k. real estate development public company ltd,
,,,,,,,srithai superware public company ltd,
,,,,,,,thantawan industry public company ltd,
,,,,,,,i&i group public company ltd,
,,,,,,,nirvana daii public company ltd,
,,,,,,,susco public company ltd,
,,,,,,,nfc public company ltd,
,,,,,,,thai film industries public company ltd,
,,,,,,,ziga innovation public company ltd,
,,,,,,,bangkok sheet metal public company ltd,
,,,,,,,king wai group ,
,,,,,,,eastern star real estate public company ltd,
,,,,,,,cmo public company ltd,
,,,,,,,silicon craft technology public company ltd,
,,,,,,,n.c. housing public company ltd,
,,,,,,,aikchol hospital public company ltd,
,,,,,,,khonburi sugar public company ltd,
,,,,,,,svoa public company ltd,
,,,,,,,global consumer public company ltd,
,,,,,,,saam energy development public company ltd,
,,,,,,,trinity watthana public company ltd,
,,,,,,,triton holding public company ltd,
,,,,,,,ama marine public company ltd,
,,,,,,,united palm oil industry public company ltd,
,,,,,,,thai nippon rubber industry public co. ltd,
,,,,,,,crown seal public company ltd,
,,,,,,,asefa public company ltd,
,,,,,,,chai watana tannery group public company ltd,
,,,,,,,lee feed mill public company ltd,
,,,,,,,sahakol equipment public company ltd,
,,,,,,,aq estate public company ltd,
,,,,,,,information and communication networks public company ltd,
,,,,,,,shrinkflex ,
,,,,,,,capital engineering network public company ltd,
,,,,,,,aj advance technology public company ltd,
,,,,,,,wp energy public company ltd,
,,,,,,,wow factor public company ltd,
,,,,,,,union petrochemical public company ltd,
,,,,,,,sub sri thai public company ltd,
,,,,,,,sahamit machinery public company ltd,
,,,,,,,2s metal public company ltd,
,,,,,,,buakaew income fund,
,,,,,,,global connections public company ltd,
,,,,,,,s p v i public company ltd,
,,,,,,,major cineplex lifestyle leasehold property fund,
,,,,,,,asia metal public company ltd,
,,,,,,,pre-built public company ltd,
,,,,,,,thai sugar terminal public company ltd,
,,,,,,,eternal energy public company ltd,
,,,,,,,s. khonkaen foods public company ltd,
,,,,,,,thaivivat insurance public company ltd,
,,,,,,,mdx public company ltd,
,,,,,,,wattanapat hospital trang public company ltd,
,,,,,,,tpbi public company ltd,
,,,,,,,christiani & nielsen ,
,,,,,,,siam steel service center public company ltd,
,,,,,,,salee industry public company ltd,
,,,,,,,asia hotel public company ltd,
,,,,,,,east coast furnitech public company ltd,
,,,,,,,arinsiri land public company ltd,
,,,,,,,porn prom metal public company ltd,
,,,,,,,vichitbhan palmoil public company ltd,
,,,,,,,nation international edutainment public company ltd,
,,,,,,,chememan public company ltd,
