00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
equinor asa,general electric company,general electric company,"datadog, inc.",general electric company,greencoat uk wind plc,general electric company,ina invest holding ag,"palo alto networks, inc."
anheuser-busch inbev sa/nv,daimler ag,daimler ag,"dupont de nemours, inc.",daimler ag,atlantica sustainable infrastructure plc,daimler ag,noxel corp,emerson electric co.
caterpillar inc.,chubb limited,chubb limited,wanhua chemical group co. ltd,chubb limited,safestore holdings plc,chubb limited,"bettwork industries, inc.",capital one financial corporation
lockheed martin corporation,allianz se,allianz se,united overseas bank ltd,allianz se,homeserve plc,allianz se,zhongjin gold corp ltd,hong kong exchanges & clearing ltd
aia group,petróleo brasileiro s.a. - petrobras,petróleo brasileiro s.a. - petrobras,xcel energy inc.,petróleo brasileiro s.a. - petrobras,the renewables infrastructure group limited,petrã³leo brasileiro s.a. - petrobras,"inner mongolia junzheng energy & chemical group co.,ltd.","netease, inc."
rio tinto,airbus se,airbus se,welltower inc.,airbus se,international public partnerships ld,airbus se,srp groupe sa,deutsche post ag
sony,china life insurance company limited,china life insurance company limited,msci inc.,china life insurance company limited,renishaw plc,china life insurance company limited,solocal group sa,"block, inc."
tokyo electron ltd,"automatic data processing, inc.","automatic data processing, inc.",boc hong kong holdings ltd,"automatic data processing, inc.",travis perkins plc,"automatic data processing, inc.",generix group sadir,nutrien ltd.
u.s. bancorp,bp plc,bp plc,baxter international inc.,bp plc,technipfmc plc,bp plc,vranken-pommery monopole sa,cnooc limited
essilorluxottica sa,china shenhua energy company ltd,china shenhua energy company ltd,citic securities company ltd,china shenhua energy company ltd,watches of switzerland group plc,china shenhua energy company ltd,poujoulat sa,atlas copco ab
crown castle international corp. (reit),booking holdings inc.,booking holdings inc.,global payments inc.,booking holdings inc.,big yellow group plc,booking holdings inc.,ose immunotherapeutics sa,adyen n.v.
national australia bank limited,canadian national railway company,canadian national railway company,"agilent technologies, inc.",canadian national railway company,beazley plc,canadian national railway company,airo lam ltd,hapag-lloyd ag
"hca healthcare, inc.",enbridge inc.,enbridge inc.,"walgreens boots alliance, inc.",enbridge inc.,smithson investment trust plc,enbridge inc.,icds ltd,"banco santander, sa"
air liquide sa,schneider electric se,schneider electric se,"digital realty trust, inc.",schneider electric se,monks investment trust,schneider electric se,hindcon chemicals ltd,"fidelity national information services, inc."
shopify,deutsche telekom ag,deutsche telekom ag,oversea-chinese banking corp ltd,deutsche telekom ag,inchcape plc,deutsche telekom ag,renew energy global plc,"analog devices, inc."
cigna corporation,merck kommanditgesellschaft auf aktien,merck kommanditgesellschaft auf aktien,carrier global corporation,merck kommanditgesellschaft auf aktien,jet2 plc,merck kommanditgesellschaft auf aktien,shanti overseas ,eaton corporation plc
"mitsubishi ufj financial group, inc.","mondelez international, inc.","mondelez international, inc.",the bank of new york mellon corporation,"mondelez international, inc.",osb group plc,"mondelez international, inc.",par drugs and chemicals ltd,pioneer natural resources company
"micron technology, inc.","jd.com, inc.","jd.com, inc.",mplx lp,"jd.com, inc.",greggs plc,"jd.com, inc.",pansari developers ltd,nintendo co ltd
"marsh & mclennan companies, inc.",vulcan international corp,vulcan international corp,woolworths group limited,vulcan international corp,easyjet plc,vulcan international corp,lagnam spintex ltd,moody's corporation
cme group inc.,zoetis inc.,zoetis inc.,"intuitive surgical, inc.",zoetis inc.,virgin money uk plc,zoetis inc.,sel manufacturing company ltd,"uber technologies, inc."
glencore plc,csl limited,csl limited,experian plc,csl limited,londonmetric property plc,csl limited,nitiraj engineers ltd,sea limited
brookfield asset management inc.,3m company,3m company,resmed inc.,3m company,dr. martens plc,3m company,arvee laboratories ,"paychex, inc."
the blackstone group inc.,duke energy corporation,duke energy corporation,neste oyj,duke energy corporation,quilter plc,duke energy corporation,art nirman ltd,centene corporation
bank of nova scotia,bank of nova scotia,bank of nova scotia,"shanxi xinghuacun fen wine factory co.,ltd.",bank of nova scotia,games workshop group plc,bank of nova scotia,winsome yarns ltd,the kraft heinz company
duke energy corporation,the blackstone group inc.,the blackstone group inc.,"coinbase global, inc.",the blackstone group inc.,shaftesbury plc,the blackstone group inc.,gb global ltd,"roper technologies, inc."
3m company,brookfield asset management inc.,brookfield asset management inc.,nio limited,brookfield asset management inc.,ultra electronics holdings plc,brookfield asset management inc.,talwalkars healthclubs ltd,"mercadolibre, inc."
csl limited,glencore plc,glencore plc,"cloudflare, inc.",glencore plc,britvic plc,glencore plc,cox & kings financial service ltd,"illumina, inc."
zoetis inc.,cme group inc.,cme group inc.,danone sa,cme group inc.,dunelm group plc,cme group inc.,cura technologies ltd,safran sa
