02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
banks,banks,banks,banks,"furnishings, fixtures & appliances",drug manufacturers—general
oil & gas refining & marketing,oil & gas refining & marketing,insurance—life,oil & gas refining & marketing,reitresidential,banks
banks,banks,medical instruments & supplies,banks,softwareapplication,building materials
other industrial metals & mining,other industrial metals & mining,electronic gaming & multimedia,other industrial metals & mining,building materials,telecom services
communication equipment,communication equipment,medical care facilities,communication equipment,real estatedevelopment,utilities—regulated electric
internet content & information,internet content & information,other industrial metals & mining,internet content & information,reitdiversified,communication equipment
asset management,asset management,consulting services,asset management,reitresidential,tobacco
building products & equipment,building products & equipment,banks,building products & equipment,gold,electronic components
banks,banks,real estate—diversified,banks,information technology services,reit—diversified
reit—office,reit—office,integrated freight & logistics,reit—office,reitindustrial,oil & gas midstream
pharmaceutical retailers,pharmaceutical retailers,agricultural inputs,pharmaceutical retailers,health information services,diagnostics & research
diagnostics & research,diagnostics & research,insurance—property & casualty,diagnostics & research,diagnostics & research,telecom services
specialty business services,specialty business services,auto manufacturers,specialty business services,asset management,specialty chemicals
capital markets,capital markets,building products & equipment,capital markets,staffing & employment services,banks
medical instruments & supplies,medical instruments & supplies,integrated freight & logistics,medical instruments & supplies,asset management,real estate—development
banks,banks,household & personal products,banks,electrical equipment & parts,auto manufacturers
financial data & stock exchanges,financial data & stock exchanges,capital markets,financial data & stock exchanges,oil & gas midstream,farm & heavy construction machinery
reit—healthcare facilities,reit—healthcare facilities,semiconductors,reit—healthcare facilities,asset management,specialty industrial machinery
utilities—regulated electric,utilities—regulated electric,railroads,utilities—regulated electric,reitresidential,beverages—wineries & distilleries
banks,banks,oil & gas e&p,banks,shell companies,banks
chemicals,chemicals,banks,chemicals,asset management,leisure
chemicals,chemicals,beverages—brewers,chemicals,oil & gas midstream,telecom services
asset management,asset management,consulting services,asset management,information technology services,"furnishings, fixtures & appliances"
grocery stores,grocery stores,medical devices,grocery stores,asset management,telecom services
internet retail,internet retail,apparel manufacturing,internet retail,real estate services,conglomerates
specialty chemicals,specialty chemicals,banks,specialty chemicals,softwareapplication,biotechnology
chemicals,chemicals,auto manufacturers,chemicals,softwareapplication,real estate—development
insurance—life,insurance—life,conglomerates,insurance—life,airports & air services,medical distribution
medical instruments & supplies,medical instruments & supplies,utilities—independent power producers,medical instruments & supplies,specialty business services,utilities—regulated electric
,oil & gas integrated,software—infrastructure,oil & gas integrated,restaurants,apparel retail
oil & gas equipment & services,oil & gas equipment & services,specialty chemicals,oil & gas equipment & services,oil & gas equipment & services,utilities—independent power producers
banks,banks,reit—residential,banks,insurancelife,utilities—regulated gas
computer hardware,computer hardware,beverages—non-alcoholic,computer hardware,aerospace & defense,auto parts
broadcasting,broadcasting,utilities—regulated gas,broadcasting,oil & gas e&p,banks
farm & heavy construction machinery,farm & heavy construction machinery,farm & heavy construction machinery,farm & heavy construction machinery,staffing & employment services,banks
banks,banks,banks,banks,asset management,medical care facilities
discount stores,discount stores,insurance—property & casualty,discount stores,beveragesnon-alcoholic,                                        utilities—diversified                                    
reit—specialty,reit—specialty,packaged foods,reit—specialty,asset management,infrastructure operations
information technology services,information technology services,communication equipment,information technology services,specialty retail,healthcare plans
drug manufacturers—general,drug manufacturers—general,marine shipping,drug manufacturers—general,reitdiversified,specialty chemicals
restaurants,restaurants,biotechnology,restaurants,reitindustrial,textile manufacturing
medical instruments & supplies,medical instruments & supplies,consumer electronics,medical instruments & supplies,electronic gaming & multimedia,packaged foods
banks,banks,diagnostics & research,banks,oil & gas drilling,consulting services
oil & gas refining & marketing,oil & gas refining & marketing,chemicals,oil & gas refining & marketing,real estate services,                                        insurance—diversified                                    
electronic gaming & multimedia,electronic gaming & multimedia,farm & heavy construction machinery,electronic gaming & multimedia,oil & gas e&p,oil & gas e&p
specialty industrial machinery,specialty industrial machinery,travel services,specialty industrial machinery,asset management,capital markets
specialty industrial machinery,specialty industrial machinery,lodging,specialty industrial machinery,integrated freight & logistics,telecom services
specialty industrial machinery,specialty industrial machinery,scientific & technical instruments,specialty industrial machinery,asset management,software—infrastructure
insurance—property & casualty,insurance—property & casualty,semiconductors,insurance—property & casualty,softwareapplication,drug manufacturers—specialty & generic
drug manufacturers—general,drug manufacturers—general,entertainment,drug manufacturers—general,restaurants,software—application
railroads,railroads,specialty chemicals,railroads,asset management,real estate services
insurance—reinsurance,insurance—reinsurance,utilities—regulated electric,insurance—reinsurance,reitindustrial,information technology services
internet content & information,internet content & information,mortgage finance,internet content & information,industrial distribution,household & personal products
banks,banks,semiconductors,banks,insurancelife,                                        utilities—diversified                                    
software—application,software—application,telecom services,software—application,asset management,semiconductors
packaged foods,packaged foods,farm & heavy construction machinery,packaged foods,biotechnology,packaged foods
telecom services,telecom services,copper,telecom services,asset management,medical instruments & supplies
utilities—diversified,utilities—diversified,banks,utilities—diversified,asset management,airlines
aerospace & defense,aerospace & defense,household & personal products,aerospace & defense,entertainment,banks
waste management,waste management,electrical equipment & parts,waste management,specialty business services,insurance—diversified
specialty chemicals,specialty chemicals,tools & accessories,specialty chemicals,asset management,engineering & construction
packaged foods,packaged foods,steel,packaged foods,reitdiversified,beverages—brewers
software—infrastructure,software—infrastructure,drug manufacturers—general,software—infrastructure,specialty chemicals,semiconductor equipment & materials
auto manufacturers,auto manufacturers,auto parts,auto manufacturers,asset management,household & personal products
software—application,software—application,utilities—diversified,software—application,asset management,paper & paper products
beverages—wineries & distilleries,beverages—wineries & distilleries,utilities—regulated electric,beverages—wineries & distilleries,marine shipping,software—application
oil & gas refining & marketing,oil & gas refining & marketing,reit—healthcare facilities,oil & gas refining & marketing,asset management,other industrial metals & mining
medical instruments & supplies,medical instruments & supplies,electrical equipment & parts,medical instruments & supplies,asset management,solar
consulting services,consulting services,software—infrastructure,consulting services,asset management,capital markets
medical instruments & supplies,medical instruments & supplies,health information services,medical instruments & supplies,reitdiversified,reit—residential
grocery stores,grocery stores,utilities—diversified,grocery stores,diagnostics & research,insurance—reinsurance
oil & gas midstream,oil & gas midstream,medical instruments & supplies,oil & gas midstream,internet retail,diagnostics & research
telecom services,telecom services,specialty retail,telecom services,real estatediversified,                                        aluminum                                    
scientific & technical instruments,scientific & technical instruments,capital markets,scientific & technical instruments,capital markets,insurance—diversified
insurance—diversified,insurance—diversified,building materials,insurance—diversified,electrical equipment & parts,tobacco
reit—residential,reit—residential,credit services,reit—residential,scientific & technical instruments,insurance—life
oil & gas integrated,oil & gas integrated,specialty industrial machinery,oil & gas integrated,information technology services,engineering & construction
restaurants,restaurants,gold,restaurants,asset management,                                        telecom services                                    
real estate—development,real estate—development,household & personal products,real estate—development,electronic components,insurance—diversified
trucking,trucking,software—infrastructure,trucking,copper,insurance—property & casualty
oil & gas midstream,oil & gas midstream,oil & gas e&p,oil & gas midstream,asset management,conglomerates
utilities—regulated electric,utilities—regulated electric,biotechnology,utilities—regulated electric,aerospace & defense,airports & air services
banks,banks,software—infrastructure,banks,aerospace & defense,broadcasting
beverages—brewers,beverages—brewers,airlines,beverages—brewers,asset management,auto manufacturers
,steel,utilities—renewable,steel,asset management,semiconductors
asset management,asset management,information technology services,asset management,asset management,grocery stores
industrial distribution,industrial distribution,information technology services,industrial distribution,asset management,consulting services
medical devices,medical devices,agricultural inputs,medical devices,real estate services,rental & leasing services
,utilities—renewable,banks,utilities—renewable,leisure,health information services
airports & air services,airports & air services,resorts & casinos,airports & air services,biotechnology,packaged foods
consulting services,consulting services,specialty industrial machinery,consulting services,asset management,utilities—regulated gas
internet retail,internet retail,solar,internet retail,softwareinfrastructure,utilities—regulated gas
insurance brokers,insurance brokers,real estate—development,insurance brokers,asset management,tools & accessories
biotechnology,biotechnology,specialty chemicals,biotechnology,coking coal,railroads
reit—residential,reit—residential,utilities—diversified,reit—residential,engineering & construction,banks
telecom services,telecom services,thermal coal,telecom services,shell companies,marine shipping
asset management,asset management,utilities—regulated electric,asset management,asset management,utilities—diversified
oil & gas equipment & services,oil & gas equipment & services,medical instruments & supplies,oil & gas equipment & services,reitdiversified,resorts & casinos
farm products,farm products,residential construction,farm products,travel services,farm products
credit services,credit services,specialty chemicals,credit services,reitresidential,telecom services
integrated freight & logistics,integrated freight & logistics,rental & leasing services,integrated freight & logistics,asset management,utilities—diversified
specialty industrial machinery,specialty industrial machinery,banks,specialty industrial machinery,medical care facilities,information technology services
railroads,railroads,banks,railroads,medical instruments & supplies,drug manufacturers—general
real estate—development,real estate—development,electrical equipment & parts,real estate—development,asset management,scientific & technical instruments
asset management,asset management,software—infrastructure,asset management,asset management,packaging & containers
banks,banks,diagnostics & research,banks,asset management,utilities—regulated electric
oil & gas integrated,oil & gas integrated,insurance—diversified,oil & gas integrated,specialty industrial machinery,reit—specialty
grocery stores,grocery stores,utilities—diversified,grocery stores,residential construction,financial data & stock exchanges
real estate—development,real estate—development,auto manufacturers,real estate—development,asset management,                                        internet content & information                                    
specialty chemicals,specialty chemicals,railroads,specialty chemicals,oil & gas equipment & services,specialty business services
communication equipment,communication equipment,telecom services,communication equipment,asset management,insurance—life
real estate—development,real estate—development,electronic gaming & multimedia,real estate—development,publishing,banks
telecom services,telecom services,specialty industrial machinery,telecom services,restaurants,banks
specialty industrial machinery,specialty industrial machinery,real estate services,specialty industrial machinery,asset management,internet content & information
insurance—diversified,insurance—diversified,biotechnology,insurance—diversified,auto & truck dealerships,insurance brokers
specialty industrial machinery,specialty industrial machinery,gambling,specialty industrial machinery,asset management,banks
auto parts,auto parts,auto parts,auto parts,asset management,specialty industrial machinery
oil & gas integrated,oil & gas integrated,medical devices,oil & gas integrated,reitdiversified,specialty industrial machinery
financial data & stock exchanges,financial data & stock exchanges,medical care facilities,financial data & stock exchanges,asset management,security & protection services
telecom services,telecom services,thermal coal,telecom services,electronic components,reit—office
oil & gas e&p,oil & gas e&p,software—application,oil & gas e&p,specialty business services,building products & equipment
banks,banks,confectioners,banks,auto & truck dealerships,medical instruments & supplies
apparel retail,apparel retail,specialty retail,apparel retail,consulting services,information technology services
utilities—regulated electric,utilities—regulated electric,insurance—life,utilities—regulated electric,asset management,utilities—regulated water
medical distribution,medical distribution,oil & gas integrated,medical distribution,asset management,real estate services
real estate—development,real estate—development,capital markets,real estate—development,asset management,banks
biotechnology,biotechnology,semiconductors,biotechnology,softwareapplication,aerospace & defense
conglomerates,conglomerates,chemicals,conglomerates,rental & leasing services,industrial distribution
telecom services,telecom services,information technology services,telecom services,packaged foods,leisure
"furnishings, fixtures & appliances","furnishings, fixtures & appliances",packaged foods,"furnishings, fixtures & appliances",other industrial metals & mining,thermal coal
