02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
software—infrastructure,software—infrastructure,financial data & stock exchanges,software—infrastructure,other industrial metals & mining,auto manufacturers
building materials,building materials,internet content & information,building materials,asset management,conglomerates
gold,gold,specialty business services,gold,internet content & information,utilities—independent power producers
utilities—diversified,utilities—diversified,insurance—life,utilities—diversified,reitdiversified,software—infrastructure
asset management,asset management,banks,asset management,security & protection services,specialty chemicals
auto manufacturers,auto manufacturers,banks,auto manufacturers,credit services,reit—residential
communication equipment,communication equipment,internet content & information,communication equipment,softwareapplication,beverages—non-alcoholic
internet content & information,internet content & information,insurance brokers,internet content & information,drug manufacturersspecialty & generic,utilities—regulated gas
health information services,health information services,banks,health information services,asset management,farm & heavy construction machinery
grocery stores,grocery stores,specialty industrial machinery,grocery stores,shell companies,banks
oil & gas midstream,oil & gas midstream,specialty industrial machinery,oil & gas midstream,specialty business services,insurance—property & casualty
household & personal products,household & personal products,security & protection services,household & personal products,softwareapplication,packaged foods
internet retail,internet retail,reit—office,internet retail,lumber & wood production,communication equipment
industrial distribution,industrial distribution,building products & equipment,industrial distribution,oil & gas e&p,marine shipping
aerospace & defense,aerospace & defense,medical instruments & supplies,aerospace & defense,industrial distribution,biotechnology
banks,banks,information technology services,banks,capital markets,consumer electronics
real estate services,real estate services,utilities—regulated water,real estate services,asset management,                                        diagnostics & research                                    
utilities—regulated water,utilities—regulated water,real estate services,utilities—regulated water,shell companies,chemicals
information technology services,information technology services,banks,information technology services,reitretail,farm & heavy construction machinery
medical instruments & supplies,medical instruments & supplies,aerospace & defense,medical instruments & supplies,reitdiversified,building materials
building products & equipment,building products & equipment,industrial distribution,building products & equipment,capital markets,telecom services
reit—office,reit—office,drug manufacturers—general,reit—office,other industrial metals & mining,business equipment & supplies
security & protection services,security & protection services,oil & gas refining & marketing,security & protection services,leisure,medical care facilities
specialty industrial machinery,specialty industrial machinery,specialty chemicals,specialty industrial machinery,personal services,reit—residential
specialty industrial machinery,specialty industrial machinery,telecom services,specialty industrial machinery,communication equipment,software—application
banks,banks,drug manufacturers—general,banks,asset management,asset management
