00-avengers-employees,04-iGMM-employees,08-slytherin-employees,10-DeBiGa-employees
"28,445","1,384",76,
"4,965","10,059",82," 54,492"
"29,707","82,000",18," 3,238"
"82,852","39,035",5," 61,201"
"101,000",,361," 31,968"
"34,000","18,612",73," 8,256"
"16,922","22,000",118," 73,516"
"59,000","6,705",336," 16,700"
,"17,000",not found," 137,000"
"35,700","49,224",16," 40,000"
"25,000","22,000",not found," 7,529"
,"133,294",200," 20,341"
"2,780","25,000",228," 2,400"
"350,864","5,900",59," 3,380"
"51,000","33,409",17," 39,000"
,,76," 22,531"
"220,000","5,385",39," 9,367"
"3,247","17,047",5, 418
,"18,645",20," 2,870"
"97,660","1,046",15," 22,540"
"9,300","4,948",491," 18,370"
,"3,346",115," 12,000"
"79,000","16,700",not found," 158,000"
"65,100","31,264",3," 26,038"
"85,000","18,600",43," 57,062"
"78,000","30,300",not found," 13,871"
"4,303","21,159",32," 1,550"
"14,462","288,729",198," 23,663"
"60,000","18,000",118," 38,500"
,"8,623",18," 36,000"
"25,000","2,349",3," 5,400"
"17,200","78,490",186," 2,839"
"202,000",,1," 74,621"
"3,030",,749," 22,097"
,"8,504",not found," 26,728"
"58,000","4,019",32," 52,450"
"49,100","81,770",86," 7,500"
"5,696",,not found," 12,558"
"18,700","23,268",1," 200,000"
,"84,900",72," 4,506"
"57,000","1,594",185," 87,927"
"9,794","18,000",58," 204,815"
,"9,700",not found," 38,784"
"54,300","5,895",32," 154,364"
"4,783","19,500",not found," 47,539"
"1,600","18,004",not found, 38
"48,254",385,88," 110,940"
"2,800","16,000",27," 3,153"
"38,000","43,397",4," 63,227"
"500,000","40,000",not found," 18,500"
"58,000","9,111",95," 2,526"
"34,912","22,965",not found,
"142,000","2,742",not found," 21,358"
"77,958",44,"2,200"," 18,905"
"58,975","19,626","2,435"," 9,610"
"35,000","10,046",not found," 243,612"
"21,000","12,000",not found," 77,400"
"46,631","6,288","2,153"," 278,922"
"3,458",,34," 9,227"
,"10,600",396," 196,159"
"37,245","96,216",not found," 55,381"
"35,000","4,156","1,015"," 61,200"
"122,000","23,992",200, 941
"33,427","33,045",not found," 2,847"
"45,000","2,970",14," 15,600"
"10,529","5,166","1,821"," 20,817"
"77,398","66,947",18," 49,300"
"18,421","11,149",not found," 12,451"
"12,447","22,536","1,370"," 44,065"
"2,400","16,665",not found," 63,174"
"57,955","3,000",11," 28,500"
"28,000","11,000","1,513"," 36,987"
,"164,177",112," 4,700"
,"1,254",not found," 81,600"
"11,321","18,442",18," 52,000"
464,"320,808",40," 22,914"
,"420,000",not found," 99,299"
"210,067","7,900",not found," 2,877"
"9,793","155,000",74," 135,304"
"20,000","84,597",not found," 9,864"
"7,970","75,278",not found," 5,916"
"4,719","74,920",not found," 38,000"
"12,614","14,506",17," 6,938"
